Running Reverse KL,Running Forward KL,Real Det Return,Itration,Real Sto Return
14.9394,156.5399,2229.89,123,1843.88
15.3487,156.6604,2270.22,124,1870.2
15.2299,156.7306,2232.8,125,1873.88
15.2663,156.7371,2276.1,126,1887.11
15.101,156.6763,2274.07,127,1855.63
15.3332,156.5992,2227.71,128,1867.29
15.1087,156.5863,2235.45,129,1826.56
15.572,156.6279,2245.38,130,1878.07
14.8077,156.6597,2217.27,131,1839.03
15.4593,156.5876,2250.04,132,1893.25
15.2054,156.7759,2206.35,133,1855.15
15.2263,156.7311,2243.74,134,1865.03
15.1281,156.572,2252.68,135,1853.16
15.2724,156.6964,2212.84,136,1836.33
15.1208,156.6691,2240.83,137,1922.51
15.0923,156.6779,2237.05,138,1882.38
15.4144,156.7316,2253.85,139,1888.46
15.3254,156.5353,2223.41,140,1879.18
15.0359,156.7112,2239.13,141,1859.64
15.2328,156.5717,2233.99,142,1912.99
15.0395,156.6875,2265.05,143,1859.36
15.0069,156.5006,2260.03,144,1863.81
15.1776,156.5812,2290.24,145,1902.78
15.3627,156.8275,2280.21,146,1904.87
15.2257,156.7212,2272.11,147,1876.01
15.2517,156.5926,2276.22,148,1922.61
15.2257,156.6196,2260.97,149,1895.33
15.0211,156.7299,2187.49,150,1851.86
15.1963,156.6915,2263.21,151,1894.08
15.0359,156.5941,2260.91,152,1915.17
15.1027,156.7102,2281.47,153,1868.92
15.0265,156.5617,2249.18,154,1873.9
15.2887,156.6861,2258.75,155,1900.39
15.3462,156.6533,2299.55,156,1897.13
14.8841,156.6327,2203.35,157,1859.42
14.7259,156.661,2227.71,158,1851.48
15.0344,156.688,2268.59,159,1880.65
14.9179,156.5602,2270.09,160,1894.73
15.1926,156.8197,2256.25,161,1870.74
14.94,156.6777,2280.57,162,1925.51
15.1831,156.7456,2245.32,163,1868.02
15.2136,156.6105,2294.5,164,1935.62
15.38,156.739,2266.13,165,1906.59
15.0536,156.5233,2283.25,166,1932.62
14.8853,156.7852,2222.6,167,1835.41
15.0498,156.542,2258.0,168,1892.24
14.8565,156.5424,2273.79,169,1887.36
14.9734,156.7579,2286.99,170,1904.17
14.9104,156.5171,2279.53,171,1890.22
14.9275,156.5057,2216.26,172,1914.79
15.0758,156.6143,2270.13,173,1892.93
15.2691,156.6921,2282.84,174,1912.56
15.278,156.7472,2276.51,175,1898.98
15.1198,156.5901,2308.44,176,1949.99
14.9736,156.601,2266.32,177,1901.86
15.1821,156.6366,2317.18,178,1928.69
15.0675,156.6284,2243.81,179,1907.26
14.8831,156.6894,2261.4,180,1867.04
14.9863,156.5713,2284.08,181,1896.7
15.0185,156.5193,2282.67,182,1926.12
14.9236,156.5811,2267.9,183,1916.54
15.0975,156.6359,2280.41,184,1903.96
15.3027,156.6178,2299.76,185,1903.86
14.8337,156.5169,2287.85,186,1883.81
14.9825,156.5911,2221.9,187,1889.23
15.1452,156.686,2314.29,188,1927.7
15.2983,156.5123,2318.56,189,1920.12
14.7991,156.5974,2306.06,190,1922.81
14.9493,156.627,2285.27,191,1926.75
15.0989,156.7178,2280.23,192,1909.62
14.9468,156.5583,2316.2,193,1892.29
15.0126,156.5423,2301.62,194,1918.43
15.0881,156.6896,2311.05,195,1933.81
14.9139,156.5359,2294.99,196,1927.35
15.0065,156.7031,2282.69,197,1906.03
15.0998,156.5685,2298.3,198,1899.68
15.1603,156.5562,2319.26,199,1928.69
15.2464,156.5307,2316.02,200,1918.41
15.2031,156.6758,2311.15,201,1925.55
15.3457,156.7296,2329.58,202,1942.42
15.1058,156.629,2320.6,203,1924.44
15.269,156.6189,2322.0,204,1958.34
15.2853,156.6003,2297.73,205,1948.14
15.0751,156.5742,2296.44,206,1946.77
15.2594,156.4304,2314.96,207,1951.54
15.2517,156.6985,2307.51,208,1954.97
15.0927,156.5155,2319.11,209,1954.34
15.2754,156.5794,2308.06,210,1945.6
15.1,156.5777,2328.54,211,1951.3
15.1279,156.6104,2310.19,212,1940.35
15.3779,156.7007,2319.13,213,1961.2
15.1042,156.6807,2287.26,214,1927.44
15.2717,156.6975,2311.95,215,1936.27
15.0374,156.4895,2300.92,216,1932.26
15.2272,156.5746,2334.28,217,1936.43
15.1331,156.6839,2304.21,218,1943.69
15.1628,156.5405,2298.17,219,1933.52
14.9926,156.5107,2293.74,220,1939.92
14.8722,156.4689,2283.93,221,1924.23
15.0273,156.655,2336.07,222,1946.85
15.0285,156.5227,2315.05,223,1940.37
14.9887,156.6304,2322.4,224,1961.32
14.8852,156.5913,2309.94,225,1950.9
15.0455,156.5088,2318.58,226,1927.38
14.9844,156.5946,2321.82,227,1937.45
14.9519,156.71,2298.99,228,1943.85
15.0071,156.4298,2331.81,229,1950.54
14.9706,156.5982,2306.6,230,1920.54
15.0481,156.5317,2318.81,231,1958.21
14.9756,156.4963,2323.73,232,1969.25
15.092,156.6976,2318.1,233,1957.42
15.1302,156.5983,2309.7,234,1952.5
14.9509,156.6803,2303.77,235,1944.13
15.121,156.5417,2339.9,236,1944.77
15.0789,156.4425,2323.44,237,1952.66
15.0859,156.5986,2336.77,238,1957.43
15.0292,156.6703,2330.29,239,1958.55
14.8495,156.4941,2340.89,240,1969.46
14.9079,156.5687,2295.65,241,1933.74
14.9348,156.5451,2313.12,242,1965.53
15.0329,156.7503,2326.21,243,1959.93
14.9555,156.5576,2328.43,244,1960.86
14.9856,156.6924,2321.76,245,1944.3
14.9382,156.6199,2338.42,246,1957.42
15.0638,156.6237,2331.46,247,1958.15
14.8792,156.5455,2317.31,248,1944.44
14.9383,156.5807,2310.73,249,1933.57
14.8799,156.5512,2341.24,250,1942.64
15.0553,156.6748,2321.09,251,1951.9
14.8968,156.5835,2342.88,252,1960.71
14.8257,156.6186,2321.07,253,1938.94
15.029,156.5922,2338.89,254,1962.81
14.8157,156.6382,2334.21,255,1945.18
15.0295,156.6864,2317.57,256,1926.2
14.9745,156.6282,2346.28,257,1961.86
14.8419,156.4768,2324.47,258,1924.84
14.9993,156.5807,2343.17,259,1942.24
14.8983,156.5507,2319.06,260,1934.09
14.8458,156.5118,2336.36,261,1956.24
14.9417,156.644,2338.09,262,1942.77
14.973,156.5648,2329.8,263,1941.13
14.886,156.5762,2308.76,264,1923.53
14.9249,156.6678,2329.5,265,1933.62
14.9605,156.7189,2309.17,266,1931.33
14.9333,156.5825,2325.25,267,1917.36
15.0094,156.5878,2348.32,268,1949.7
14.8622,156.7308,2322.2,269,1942.69
14.8759,156.458,2333.9,270,1938.46
14.9461,156.6627,2334.13,271,1948.5
14.8391,156.6565,2346.85,272,1963.27
14.9135,156.5078,2328.56,273,1930.76
15.0588,156.6622,2320.5,274,1952.99
14.9573,156.4931,2326.95,275,1952.69
15.0055,156.4782,2335.88,276,1965.42
15.1024,156.4933,2347.38,277,1967.25
14.8904,156.6091,2331.78,278,1950.47
14.9767,156.6445,2321.97,279,1932.97
15.0609,156.4407,2332.8,280,1955.99
14.8723,156.6131,2325.44,281,1919.66
14.9996,156.6461,2316.39,282,1963.41
15.0356,156.6807,2330.11,283,1951.86
15.0433,156.6454,2327.32,284,1942.73
14.8201,156.6105,2305.58,285,1946.16
14.9048,156.717,2320.73,286,1942.41
15.1705,156.6154,2344.17,287,1964.12
15.0295,156.5781,2306.76,288,1944.0
15.0824,156.5944,2312.72,289,1941.29
15.0064,156.5614,2326.26,290,1947.65
14.9227,156.6443,2340.31,291,1965.5
15.0424,156.6396,2343.28,292,1942.68
15.0372,156.6979,2336.17,293,1948.92
15.0948,156.7063,2332.06,294,1947.33
14.9962,156.6719,2334.6,295,1934.31
14.9917,156.6184,2331.89,296,1962.29
15.0964,156.5492,2332.74,297,1961.95
15.0536,156.5156,2340.33,298,1961.96
14.9121,156.5396,2300.08,299,1939.91
14.9235,156.6192,2316.81,300,1938.99
15.1503,156.5314,2341.35,301,1943.02
15.0199,156.5043,2341.79,302,1956.05
15.1706,156.5311,2335.65,303,1956.3
15.0098,156.4175,2327.79,304,1951.08
15.0546,156.5765,2339.33,305,1962.8
15.0131,156.5661,2339.11,306,1963.37
15.0593,156.6429,2330.84,307,1941.55
15.0376,156.5773,2332.93,308,1951.55
14.8995,156.2954,2337.68,309,1964.51
15.0993,156.5081,2332.62,310,1945.48
15.0563,156.4988,2355.43,311,1974.53
15.0004,156.4794,2344.32,312,1951.54
14.8219,156.5939,2296.05,313,1927.53
14.9991,156.4678,2313.46,314,1949.78
15.0126,156.4771,2343.42,315,1941.55
14.9414,156.5598,2321.8,316,1951.05
14.994,156.5484,2311.39,317,1931.01
15.0017,156.5929,2297.98,318,1940.38
14.865,156.6022,2314.83,319,1954.16
14.8794,156.5076,2307.33,320,1898.47
14.7629,156.5955,2333.88,321,1912.24
14.847,156.6051,2318.49,322,1941.52
14.957,156.628,2307.09,323,1932.49
14.9446,156.4702,2324.14,324,1934.63
14.9191,156.5189,2330.54,325,1941.83
14.9049,156.5642,2331.09,326,1933.63
14.8463,156.2938,2311.22,327,1930.14
15.021,156.4937,2340.12,328,1938.18
14.8736,156.554,2332.79,329,1939.22
15.0908,156.5707,2336.71,330,1955.56
14.9703,156.5897,2201.4,331,1922.93
14.8942,156.5569,2338.29,332,1952.45
14.8606,156.6741,2329.9,333,1917.62
15.1033,156.6798,2326.36,334,1946.21
14.9177,156.4705,2342.58,335,1947.1
15.0284,156.414,2355.63,336,1967.45
15.0516,156.5515,2337.55,337,1939.11
14.952,156.6241,2356.34,338,1976.31
15.1334,156.4691,2356.72,339,1955.55
15.0255,156.4143,2341.95,340,1937.51
15.0592,156.4883,2344.51,341,1949.61
15.0488,156.5817,2341.06,342,1950.38
15.0253,156.6957,2367.02,343,1952.86
15.1386,156.6276,2346.39,344,1933.75
15.1662,156.4714,2338.76,345,1948.01
15.0414,156.5611,2350.83,346,1948.53
15.1627,156.5679,2361.77,347,1984.43
15.1052,156.5652,2220.58,348,1960.15
15.1232,156.6124,2335.59,349,1965.65
15.1533,156.5884,2363.06,350,1962.24
15.1051,156.5311,2340.6,351,1921.24
15.0242,156.6536,2351.41,352,1958.1
15.0732,156.5704,2356.68,353,1972.09
14.9115,156.5678,2338.63,354,1948.52
15.0832,156.6023,2342.14,355,1966.36
15.0369,156.6169,2068.33,356,1934.23
15.1018,156.4639,2361.95,357,1950.63
15.0242,156.5645,2357.54,358,1964.44
15.1176,156.5122,2365.61,359,1966.08
15.0428,156.5799,2326.56,360,1968.13
15.0428,156.5309,2127.22,361,1824.92
15.0198,156.4975,2293.88,362,1853.16
14.9411,156.5649,2261.53,363,1832.33
14.8499,156.6496,2331.55,364,1878.97
15.1467,156.6096,2324.88,365,1878.89
15.0127,156.6267,2363.16,366,1921.99
14.9117,156.5571,2319.16,367,1910.9
14.953,156.5866,2320.84,368,1914.32
15.0522,156.5217,2328.6,369,1910.01
15.0492,156.639,2355.99,370,1946.06
15.1665,156.4721,2372.14,371,1949.46
15.039,156.5929,2333.81,372,1943.43
15.0446,156.5614,2317.85,373,1902.27
15.0546,156.5288,2332.47,374,1916.07
15.0378,156.6667,2352.03,375,1930.54
14.9847,156.5894,2357.42,376,1945.44
15.0316,156.6536,2334.52,377,1936.78
15.0057,156.5647,2203.33,378,1934.03
14.9894,156.569,2354.51,379,1939.05
15.0664,156.5236,2357.92,380,1936.43
15.0307,156.5494,2348.16,381,1939.14
14.8494,156.5518,2349.8,382,1940.41
15.28,156.6348,2343.96,383,1950.8
15.0111,156.6605,2332.21,384,1961.89
15.0064,156.5027,2334.78,385,1950.85
15.2562,156.688,2359.68,386,1964.93
14.9775,156.4987,2332.85,387,1950.65
15.1573,156.6014,2326.09,388,1962.44
15.1438,156.7903,2352.18,389,1951.08
15.0934,156.6182,2356.89,390,1947.56
15.0444,156.5947,2365.67,391,1966.1
15.0934,156.5186,2361.82,392,1969.53
15.0113,156.5637,2351.61,393,1962.73
15.0299,156.5225,2327.81,394,1946.98
14.9506,156.537,2059.13,395,1956.04
15.1677,156.5491,2362.43,396,1975.24
15.1767,156.5883,2084.33,397,1953.59
15.1956,156.5636,2073.56,398,1941.85
14.9546,156.6127,2342.78,399,1849.85
15.1837,156.5223,2368.22,400,1970.25
15.185,156.5769,2354.52,401,1966.45
15.0174,156.5137,2215.53,402,1955.65
15.0392,156.6536,2199.48,403,1955.2
15.1422,156.4615,2335.82,404,1967.3
15.0786,156.4926,2373.67,405,1991.21
15.1002,156.5666,2212.89,406,1957.42
15.0571,156.5879,2224.09,407,1932.95
15.1274,156.5546,2332.14,408,1949.46
15.0545,156.6209,2367.35,409,1957.2
14.9836,156.4569,2348.35,410,1965.53
14.9341,156.6096,2348.83,411,1952.12
15.0396,156.4423,2338.41,412,1965.92
15.0346,156.4688,2341.97,413,1974.92
15.2626,156.6267,2374.21,414,1981.39
15.086,156.5365,2361.23,415,1952.26
14.9763,156.6778,2334.23,416,1950.92
15.0096,156.5214,2078.51,417,1948.83
15.1225,156.682,2327.01,418,1967.71
14.923,156.5576,2346.49,419,1940.25
14.8662,156.6155,2343.5,420,1943.15
14.8816,156.5711,2355.94,421,1953.68
15.0364,156.4606,2356.43,422,1964.79
15.1291,156.5384,2213.52,423,1966.58
14.973,156.6163,2082.6,424,1950.64
14.8569,156.6142,2209.16,425,1927.43
14.9733,156.5045,2089.88,426,1965.46
15.0352,156.5574,2367.23,427,1963.02
15.2701,156.5874,2352.51,428,1988.65
15.0616,156.5311,2351.23,429,1970.63
15.1443,156.5863,2359.62,430,1961.23
15.1362,156.558,2355.48,431,1977.81
15.118,156.6841,2352.33,432,1960.95
15.1316,156.5613,2340.52,433,1964.31
15.1601,156.4359,2217.68,434,2005.57
15.0312,156.5925,2355.05,435,1973.85
15.1734,156.5667,2367.12,436,1965.62
15.0296,156.6797,2332.29,437,1976.36
15.0827,156.6705,2344.37,438,1984.72
