Running Env Steps,Real Sto Return,Running Update Time,Reward Loss,Running Reverse KL,Real Det Return,Running Forward KL,Itration
215000,1660.25,43,-6467.26708984375,16.1169,2045.8,157.1707,43
220000,1646.14,44,-6657.35595703125,16.0433,2003.39,157.4259,44
225000,1663.52,45,-6926.5576171875,15.9295,2043.84,157.3118,45
230000,1669.46,46,-7041.275390625,16.29,1991.53,157.4334,46
235000,1656.44,47,-7197.22412109375,15.8686,2023.8,157.3857,47
240000,1731.35,48,-7538.06201171875,16.9482,2066.56,157.5856,48
245000,1679.05,49,-7469.8232421875,15.7765,2016.63,157.2422,49
250000,1675.86,50,-7928.9814453125,15.6361,1939.49,157.2247,50
255000,1665.19,51,-8052.2890625,15.8851,2048.04,157.2578,51
260000,1695.72,52,-8248.783203125,16.2505,2102.25,157.1283,52
265000,1699.04,53,-8375.4697265625,15.9129,2042.63,157.2433,53
270000,1716.03,54,-8636.0986328125,16.0668,2044.56,157.2802,54
275000,1684.02,55,-8912.36328125,15.7842,1952.12,156.9695,55
280000,1664.53,56,-9102.880859375,15.5615,2009.5,157.2739,56
285000,1719.22,57,-9270.048828125,16.0185,2100.21,157.1585,57
290000,1715.0,58,-9460.1259765625,16.1104,2113.65,156.9279,58
295000,1672.1,59,-9741.890625,15.4842,1981.11,157.066,59
300000,1741.61,60,-9848.912109375,15.987,2098.61,157.1658,60
305000,1708.88,61,-10122.9541015625,16.0084,2006.72,157.3563,61
310000,1725.51,62,-10271.6591796875,15.845,2065.29,157.1319,62
315000,1730.62,63,-10414.49609375,16.0297,2080.96,157.0091,63
320000,1749.85,64,-10644.884765625,16.121,2100.15,156.9102,64
325000,1680.06,65,-10867.4150390625,15.5443,2022.76,157.1096,65
330000,1764.3,66,-11125.787109375,15.9946,2110.65,156.9914,66
335000,1719.98,67,-11358.8818359375,15.4744,2036.28,156.9241,67
340000,1698.18,68,-11645.5908203125,15.5161,1933.43,157.1235,68
345000,1736.96,69,-11749.548828125,15.7142,2091.8,157.052,69
350000,1740.74,70,-11968.2412109375,15.975,2095.4,157.0298,70
355000,1772.58,71,-12260.0791015625,15.987,2142.33,156.8402,71
360000,1755.74,72,-12517.9990234375,15.8898,2061.92,157.1804,72
365000,1745.96,73,-12647.693359375,15.7652,2088.43,157.2604,73
370000,1747.69,74,-12912.3662109375,15.6455,2043.15,157.0386,74
375000,1759.1,75,-13064.1103515625,15.9488,2114.72,157.0107,75
380000,1781.88,76,-13316.1884765625,15.6057,2076.48,156.9859,76
385000,1805.45,77,-13499.486328125,16.0032,2138.02,157.0032,77
390000,1773.69,78,-13708.9033203125,15.9634,2130.3,156.8408,78
395000,1789.99,79,-13949.9208984375,16.083,2147.35,157.2202,79
400000,1812.9,80,-13999.63671875,15.5208,2163.91,156.9689,80
405000,1780.36,81,-14414.6005859375,15.8961,2135.39,156.9554,81
410000,1771.95,82,-14578.20703125,15.9139,2134.01,156.8726,82
415000,1761.29,83,-14772.8369140625,15.6724,2128.93,156.8939,83
420000,1753.69,84,-14919.2978515625,15.5428,2137.62,156.9959,84
425000,1797.22,85,-15122.431640625,15.8139,2153.05,156.8942,85
430000,1786.84,86,-15425.5830078125,15.8086,2142.98,156.7255,86
435000,1754.87,87,-15704.66796875,15.6779,2093.51,157.1233,87
440000,1771.05,88,-16001.9970703125,15.7559,2128.62,157.1897,88
445000,1782.74,89,-16074.16015625,15.7282,2117.68,156.7203,89
450000,1767.09,90,-16480.458984375,15.4918,2124.56,156.8945,90
455000,1787.87,91,-16568.619140625,15.6258,2110.88,156.9498,91
460000,1770.49,92,-16817.501953125,15.547,2120.83,156.8431,92
465000,1750.35,93,-17239.66796875,15.2757,2036.04,157.0815,93
470000,1876.65,94,-17385.830078125,16.1124,2197.43,156.976,94
475000,1793.27,95,-17582.162109375,15.7516,2105.38,156.9318,95
480000,1788.15,96,-17966.669921875,16.2131,2164.64,157.2641,96
485000,1802.22,97,-18068.826171875,15.9961,2172.58,157.1514,97
490000,1784.66,98,-18258.7109375,15.7184,2127.07,157.0014,98
495000,1794.36,99,-18595.544921875,15.6171,2131.4,156.8782,99
500000,1777.73,100,-18769.376953125,15.5568,2152.17,156.818,100
505000,1764.9,101,-18995.984375,15.0998,2155.09,156.9052,101
510000,1803.62,102,-19268.376953125,15.6073,2154.14,156.8001,102
515000,1853.37,103,-19488.818359375,15.6751,2191.48,157.0662,103
520000,1816.14,104,-19603.025390625,15.6734,2146.22,156.9731,104
525000,1808.12,105,-19889.46484375,15.6726,2121.01,156.9416,105
530000,1789.92,106,-20190.068359375,15.2188,2059.09,156.6823,106
535000,1774.73,107,-20374.068359375,15.1424,2085.16,156.9609,107
540000,1827.79,108,-20648.068359375,15.6979,2193.97,156.8697,108
545000,1805.88,109,-20755.39453125,15.6282,2170.11,156.8984,109
550000,1825.42,110,-21075.220703125,15.7563,2166.07,156.8528,110
555000,1844.47,111,-21233.37890625,15.8755,2195.61,156.8245,111
560000,1786.1,112,-21562.2421875,15.5879,2158.21,156.9341,112
565000,1846.65,113,-21812.24609375,15.4847,2168.13,156.7618,113
570000,1822.84,114,-22110.58203125,15.5153,2161.13,156.8059,114
575000,1844.89,115,-22343.22265625,15.8158,2204.11,156.683,115
580000,1816.6,116,-22763.9765625,15.8144,2151.15,156.9396,116
585000,1791.35,117,-22976.6796875,15.4558,2095.69,156.8527,117
590000,1829.38,118,-23100.775390625,15.9223,2204.18,156.8878,118
595000,1829.66,119,-23265.216796875,15.786,2188.43,156.7978,119
600000,1837.32,120,-23300.08984375,15.6189,2190.11,156.7873,120
605000,1805.2,121,-23579.60546875,15.7102,2118.08,156.8938,121
610000,1837.58,122,-23723.08203125,15.5056,2182.8,156.5876,122
615000,1800.81,123,-23953.98828125,15.525,2148.85,156.9905,123
620000,1791.42,124,-24065.376953125,15.2101,2129.47,156.8434,124
625000,1819.48,125,-24174.65625,15.5382,2159.33,156.8101,125
630000,1769.14,126,-24838.658203125,15.527,2102.4,157.0603,126
635000,1886.02,127,-24687.1015625,15.9985,2210.35,156.9337,127
640000,1813.67,128,-24783.7890625,15.271,2125.17,156.8545,128
645000,1825.01,129,-24865.439453125,15.376,2147.44,156.9427,129
650000,1862.66,130,-25512.14453125,15.7572,2222.23,156.8742,130
655000,1819.53,131,-25441.970703125,15.4472,2172.44,156.8235,131
660000,1825.26,132,-25826.322265625,15.5887,2127.15,156.8258,132
665000,1783.72,133,-25960.10546875,15.378,2143.14,156.9307,133
670000,1842.9,134,-25947.66796875,15.6377,2171.87,156.7984,134
675000,1850.47,135,-26353.49609375,15.8338,2201.31,156.907,135
680000,1830.2,136,-26690.828125,15.8271,2153.06,156.8264,136
685000,1823.28,137,-26840.380859375,15.4195,2159.91,156.7186,137
690000,1812.58,138,-26835.8671875,15.2262,2198.06,156.8665,138
695000,1762.76,139,-27140.337890625,15.041,2088.77,156.7473,139
700000,1837.58,140,-27278.130859375,15.4617,2109.43,156.733,140
705000,1844.03,141,-27580.916015625,15.4084,2181.4,156.871,141
710000,1857.39,142,-27856.23828125,15.4212,2192.54,156.7687,142
715000,1841.84,143,-27961.59765625,15.4677,2172.2,156.7483,143
720000,1858.06,144,-28344.69140625,15.7021,2191.48,156.7462,144
725000,1812.99,145,-28422.89453125,15.1477,2070.03,156.877,145
730000,1875.11,146,-28704.794921875,15.698,2190.59,156.8616,146
735000,1857.43,147,-29016.267578125,15.6954,2194.33,156.8087,147
740000,1873.62,148,-29173.72265625,15.7383,2205.32,156.8891,148
745000,1874.02,149,-29306.015625,15.6983,2173.31,156.6555,149
750000,1846.88,150,-29789.552734375,15.6706,2188.74,156.963,150
755000,1880.69,151,-29797.740234375,15.5733,2160.56,156.904,151
760000,1847.02,152,-29942.572265625,15.504,2195.11,156.8913,152
765000,1858.87,153,-30179.525390625,15.3963,2144.68,156.7442,153
770000,1846.02,154,-30405.86328125,15.3542,2137.18,156.7719,154
775000,1900.11,155,-30692.671875,16.0794,2245.47,156.7894,155
780000,1835.25,156,-30677.23828125,15.155,2147.99,156.5627,156
785000,1857.97,157,-31131.650390625,15.4023,2203.37,156.9271,157
790000,1884.66,158,-31412.326171875,15.4182,2182.39,156.7605,158
795000,1807.61,159,-31488.822265625,15.2665,2156.3,156.8508,159
800000,1855.52,160,-31663.251953125,15.3363,2166.62,156.6963,160
805000,1898.25,161,-32012.04296875,16.0223,2205.94,156.7908,161
810000,1851.64,162,-32254.45703125,15.5807,2196.76,156.8608,162
815000,1882.63,163,-32549.568359375,15.4943,2187.55,156.7896,163
820000,1870.66,164,-32752.91015625,15.7646,2196.35,156.7713,164
825000,1870.0,165,-32961.71875,15.3993,2197.31,156.8288,165
830000,1899.23,166,-33304.4765625,15.4138,2210.28,156.7267,166
835000,1849.56,167,-33470.04296875,15.2861,2141.2,156.8146,167
840000,1856.09,168,-33533.07421875,15.5942,2211.37,156.8435,168
845000,1886.2,169,-34104.98828125,15.689,2213.48,156.7753,169
850000,1870.98,170,-34004.65625,15.9001,2217.28,156.7785,170
855000,1887.46,171,-34364.46875,15.5156,2206.65,156.7019,171
860000,1894.51,172,-34489.71484375,15.3344,2213.57,156.6074,172
865000,1869.32,173,-35045.13671875,15.383,2209.89,156.7578,173
870000,1884.88,174,-35342.27734375,15.4479,2205.9,157.02,174
875000,1862.52,175,-35251.4609375,15.1722,2175.47,156.6418,175
880000,1835.03,176,-35639.703125,15.0715,2151.0,156.8199,176
885000,1867.78,177,-35836.6484375,15.4167,2208.36,156.7556,177
890000,1899.47,178,-36059.1875,15.6108,2225.05,156.7747,178
895000,1916.27,179,-36489.9375,15.559,2274.94,156.7052,179
900000,1907.32,180,-36634.1171875,15.224,2236.4,156.6589,180
905000,1880.2,181,-36863.05078125,15.3586,2210.6,156.5475,181
910000,1874.69,182,-37082.6796875,15.0372,2206.65,156.6622,182
915000,1880.09,183,-37152.83984375,15.165,2196.35,156.6843,183
920000,1894.82,184,-37550.8203125,15.3504,2235.04,156.6279,184
925000,1897.11,185,-37856.203125,15.2654,2197.3,156.6529,185
930000,1884.85,186,-38462.2265625,15.3599,2262.35,156.7196,186
935000,1865.99,187,-38563.63671875,15.4354,2216.67,156.7715,187
940000,1914.56,188,-38891.69140625,15.7003,2247.14,156.7935,188
945000,1902.56,189,-39140.9140625,15.6817,2276.16,156.715,189
950000,1853.77,190,-38820.546875,14.9941,2207.59,156.6296,190
955000,1893.94,191,-39367.99609375,15.4239,2192.53,156.7905,191
960000,1870.51,192,-39307.05859375,15.2131,2193.02,156.6721,192
965000,1883.85,193,-39784.2109375,15.3212,2226.18,156.7052,193
970000,1927.59,194,-39889.71875,15.2567,2250.57,156.6946,194
975000,1924.95,195,-40087.2734375,15.2843,2288.59,156.4815,195
980000,1928.41,196,-40331.5546875,15.2191,2258.34,156.7187,196
985000,1908.41,197,-40549.76953125,15.433,2283.58,156.734,197
990000,1867.74,198,-40459.74609375,15.3286,2210.32,156.7415,198
995000,1904.76,199,-40761.95703125,15.4939,2230.61,156.7383,199
1000000,1891.45,200,-40941.53515625,15.7119,2249.23,156.8138,200
1005000,1882.75,201,-41375.3828125,15.643,2250.33,156.8458,201
1010000,1899.38,202,-41443.9609375,15.7088,2256.06,156.8161,202
1015000,1872.47,203,-41658.53125,15.5616,2250.86,156.813,203
1020000,1872.55,204,-41700.53515625,15.4683,2236.09,156.7779,204
1025000,1901.07,205,-41983.38671875,15.5889,2255.55,156.6758,205
1030000,1910.38,206,-42039.19921875,15.4858,2238.49,156.7648,206
1035000,1913.39,207,-42078.32421875,15.59,2241.08,156.7749,207
1040000,1904.93,208,-42418.87890625,15.4294,2222.06,156.7828,208
1045000,1896.27,209,-42723.62109375,15.4803,2250.72,156.7945,209
1050000,1889.39,210,-42633.7109375,15.5115,2257.22,156.8618,210
1055000,1900.67,211,-43075.546875,15.5546,2273.82,156.8692,211
1060000,1920.64,212,-43050.54296875,15.5321,2255.45,156.7743,212
1065000,1914.25,213,-43388.53515625,15.492,2265.53,156.6087,213
1070000,1901.8,214,-43447.8515625,15.6139,2276.26,156.7648,214
1075000,1912.07,215,-43607.23828125,15.5991,2292.97,156.9232,215
1080000,1928.2,216,-43750.48046875,15.5289,2293.1,156.7914,216
1085000,1913.88,217,-43936.890625,15.4225,2280.68,156.9029,217
1090000,1889.61,218,-44149.67578125,15.4929,2263.14,156.7711,218
1095000,1879.65,219,-44068.01171875,15.3634,2242.24,156.8763,219
1100000,1887.76,220,-44298.4765625,15.4169,2244.56,156.8571,220
1105000,1890.22,221,-44464.828125,15.334,2228.01,156.9053,221
1110000,1910.13,222,-44417.921875,15.5781,2272.88,156.7113,222
1115000,1918.66,223,-44657.1015625,15.7311,2289.65,156.71,223
1120000,1886.55,224,-44752.1328125,15.472,2263.07,156.825,224
1125000,1888.9,225,-44780.05859375,15.3024,2274.13,156.812,225
1130000,1908.52,226,-44943.1484375,15.5261,2269.92,156.8835,226
1135000,1913.39,227,-45203.875,15.5394,2274.2,156.8644,227
1140000,1923.78,228,-45217.7578125,15.4828,2286.56,156.5312,228
1145000,1892.63,229,-45669.8359375,15.3555,2281.38,156.8051,229
1150000,1901.92,230,-45485.296875,15.4452,2294.02,156.8299,230
1155000,1901.81,231,-45556.05859375,15.3663,2264.37,156.8247,231
1160000,1901.19,232,-45750.0625,15.3822,2270.74,156.7969,232
1165000,1912.71,233,-45882.0546875,15.3658,2272.65,156.7266,233
1170000,1882.35,234,-46147.9140625,15.3732,2270.22,156.7661,234
1175000,1886.64,235,-46204.7890625,15.5498,2284.4,156.7501,235
1180000,1890.45,236,-46319.7734375,15.4167,2236.11,156.8549,236
1185000,1905.57,237,-46329.80859375,15.5781,2281.02,156.855,237
1190000,1907.73,238,-46549.9609375,15.6751,2274.11,156.8772,238
1195000,1914.2,239,-46693.09375,15.3105,2267.22,156.8045,239
1200000,1896.89,240,-46680.30859375,15.367,2270.0,156.9775,240
1205000,1908.09,241,-46925.0390625,15.4879,2277.93,156.7722,241
1210000,1887.51,242,-46964.7109375,15.3696,2264.58,156.8198,242
1215000,1897.34,243,-47158.375,15.382,2284.42,156.4948,243
1220000,1865.59,244,-47105.75390625,15.1787,2247.64,156.5467,244
1225000,1899.49,245,-47348.72265625,15.5541,2277.44,156.687,245
1230000,1901.86,246,-47581.86328125,15.4195,2261.81,156.7862,246
1235000,1925.15,247,-47659.640625,15.5341,2284.41,156.9036,247
1240000,1902.88,248,-47729.17578125,15.4032,2275.15,156.7944,248
1245000,1926.47,249,-47692.68359375,15.2719,2294.37,156.9012,249
1250000,1902.87,250,-47991.05859375,15.4878,2242.07,156.7151,250
1255000,1894.28,251,-48244.78515625,15.3051,2281.74,156.8078,251
1260000,1902.24,252,-48325.87109375,15.4385,2279.68,156.7086,252
1265000,1917.84,253,-48305.62890625,15.4176,2276.74,156.8647,253
1270000,1909.0,254,-48416.03515625,15.343,2290.42,156.6649,254
1275000,1898.25,255,-48711.35546875,15.467,2274.27,156.4982,255
1280000,1906.69,256,-48663.18359375,15.4793,2296.32,156.8833,256
1285000,1910.16,257,-49010.0625,15.5335,2291.83,156.6607,257
1290000,1891.53,258,-48966.07421875,15.1923,2268.6,156.5965,258
1295000,1921.38,259,-49080.85546875,15.3435,2288.59,156.8058,259
1300000,1923.44,260,-49490.1875,15.3363,2277.09,156.7168,260
1305000,1897.73,261,-49518.5859375,15.1946,2247.9,156.7941,261
1310000,1922.88,262,-49442.7734375,15.2634,2282.05,156.5909,262
1315000,1900.15,263,-49854.5234375,15.2709,2292.61,156.7045,263
1320000,1952.78,264,-49814.90625,15.3958,2317.2,156.5995,264
1325000,1918.89,265,-49813.63671875,15.3257,2271.54,156.5786,265
1330000,1905.71,266,-50208.83203125,15.2271,2301.84,156.8077,266
1335000,1917.81,267,-50052.04296875,15.3692,2304.99,156.76,267
1340000,1927.36,268,-50206.7421875,15.3145,2274.64,156.6917,268
1345000,1932.78,269,-50139.546875,15.3869,2290.69,156.7351,269
1350000,1928.84,270,-50366.1015625,15.3819,2294.09,156.7649,270
1355000,1932.77,271,-50416.29296875,15.3547,2292.51,156.7072,271
1360000,1938.42,272,-50603.703125,15.4772,2277.72,156.7159,272
1365000,1913.27,273,-50670.296875,15.3826,2286.15,156.8125,273
1370000,1914.84,274,-50854.62890625,15.3633,2268.45,156.7939,274
1375000,1960.11,275,-50952.515625,15.4439,2320.85,156.5919,275
1380000,1919.82,276,-51050.16015625,15.039,2238.02,156.6038,276
1385000,1926.09,277,-51254.0546875,15.444,2278.63,156.7898,277
1390000,1927.15,278,-51376.62109375,15.4239,2301.79,156.8538,278
1395000,1939.27,279,-51323.3515625,15.3639,2268.69,156.8616,279
1400000,1946.72,280,-51446.59765625,15.4286,2268.14,156.6754,280
1405000,1924.8,281,-51539.65234375,15.2091,2279.28,156.5527,281
1410000,1934.52,282,-51623.62109375,15.5213,2294.23,156.6024,282
1415000,1952.3,283,-51731.78515625,15.3063,2287.05,156.6746,283
1420000,1909.31,284,-51899.48046875,15.2811,2235.38,156.596,284
1425000,1915.7,285,-52075.01171875,15.3248,2266.53,156.7292,285
1430000,1928.09,286,-52135.53125,15.3617,2269.01,156.6214,286
1435000,1938.56,287,-52288.28125,15.461,2274.88,156.8076,287
1440000,1933.27,288,-52383.68359375,15.3823,2264.54,156.7278,288
1445000,1928.3,289,-52581.8671875,15.5253,2290.8,156.764,289
1450000,1933.8,290,-52618.45703125,15.5601,2272.49,156.9378,290
1455000,1923.01,291,-52602.453125,15.4626,2295.48,156.9341,291
1460000,1938.43,292,-52764.83203125,15.4416,2313.82,156.6299,292
1465000,1951.1,293,-52915.88671875,15.5265,2280.3,156.7892,293
1470000,1940.91,294,-52904.45703125,15.4681,2294.26,156.8231,294
1475000,1939.97,295,-53053.18359375,15.4095,2259.09,156.796,295
1480000,1948.5,296,-53272.98828125,15.5845,2291.73,156.9257,296
1485000,1932.54,297,-53412.80859375,15.6774,2297.99,156.694,297
1490000,1944.41,298,-53364.30078125,15.4659,2304.82,156.8433,298
1495000,1929.41,299,-53357.05078125,15.4683,2269.32,156.8352,299
1500000,1954.76,300,-53476.33203125,15.6787,2304.77,156.8126,300
1505000,1926.28,301,-53515.546875,15.6111,2279.76,156.5469,301
1510000,1948.23,302,-53651.19140625,15.5431,2296.3,156.5254,302
1515000,1937.7,303,-53634.17578125,15.5092,2280.79,156.64,303
1520000,1941.59,304,-53844.59375,15.6856,2309.9,156.5715,304
1525000,1942.53,305,-54025.3515625,15.5896,2323.3,156.6658,305
1530000,1942.73,306,-54212.37890625,15.5957,2288.32,156.6952,306
1535000,1921.26,307,-54219.5703125,15.3929,2304.75,156.7472,307
1540000,1932.31,308,-54166.546875,15.2803,2277.67,156.6137,308
1545000,1915.08,309,-54370.94921875,15.3062,2283.93,156.7123,309
1550000,1924.9,310,-54260.265625,15.2832,2301.06,156.7754,310
1555000,1941.08,311,-54419.234375,15.4923,2292.22,156.6661,311
1560000,1929.46,312,-54701.8359375,15.3595,2284.7,156.4868,312
1565000,1936.39,313,-54640.875,15.3672,2280.32,156.6375,313
1570000,1922.32,314,-54913.51171875,15.336,2279.64,156.7922,314
1575000,1937.03,315,-54902.44140625,15.478,2288.14,156.743,315
1580000,1930.23,316,-54972.84375,15.1721,2308.48,156.6296,316
1585000,1929.42,317,-55105.92578125,15.3968,2292.27,156.6045,317
1590000,1928.61,318,-55129.109375,15.5445,2284.65,156.758,318
1595000,1938.99,319,-55175.140625,15.3636,2291.7,156.6566,319
1600000,1957.79,320,-55464.94921875,15.4085,2315.81,156.5826,320
1605000,1932.14,321,-55416.65234375,15.2814,2294.06,156.6862,321
1610000,1946.25,322,-55433.77734375,15.3745,2296.37,156.5822,322
1615000,1951.84,323,-55513.4375,15.3125,2317.41,156.4971,323
1620000,1946.42,324,-55758.69140625,15.318,2296.07,156.6114,324
1625000,1909.03,325,-55804.9921875,15.3485,2280.89,156.6012,325
1630000,1947.57,326,-56053.50390625,15.3688,2297.86,156.7137,326
1635000,1966.47,327,-55914.65625,15.3765,2299.37,156.6089,327
1640000,1941.4,328,-56117.3359375,15.3002,2287.99,156.7289,328
1645000,1941.61,329,-56040.26953125,15.2578,2294.05,156.787,329
1650000,1959.46,330,-56175.93359375,15.262,2306.77,156.7093,330
1655000,1944.74,331,-56421.3828125,15.445,2319.25,156.5554,331
1660000,1946.59,332,-56663.2578125,15.3544,2308.7,156.7442,332
1665000,1949.13,333,-56634.9765625,15.3272,2317.89,156.6267,333
1670000,1906.69,334,-56672.91015625,15.126,2279.34,156.6749,334
1675000,1973.41,335,-56977.38671875,15.3016,2328.33,156.557,335
1680000,1946.37,336,-56865.84765625,15.2144,2318.32,156.6832,336
1685000,1937.47,337,-56935.27734375,15.1564,2299.13,156.6691,337
1690000,1934.21,338,-57131.609375,15.2869,2296.91,156.851,338
1695000,1970.19,339,-57122.0234375,15.3813,2313.38,156.6566,339
1700000,1953.21,340,-57378.19921875,15.4626,2332.27,156.658,340
1705000,1942.73,341,-57396.35546875,15.2252,2315.46,156.5924,341
1710000,1925.37,342,-57347.32421875,15.2093,2303.36,156.7517,342
1715000,1958.37,343,-57406.5078125,15.2544,2327.56,156.5838,343
1720000,1934.95,344,-57375.65234375,15.1395,2275.35,156.5312,344
1725000,1954.99,345,-57699.32421875,15.1477,2293.53,156.6619,345
1730000,1923.85,346,-57634.73828125,15.0683,2272.1,156.6783,346
1735000,1953.33,347,-57831.96875,15.3915,2318.78,156.8721,347
1740000,1951.94,348,-57970.9296875,15.3082,2294.05,156.7431,348
1745000,1951.69,349,-58020.02734375,15.3392,2314.65,156.8617,349
1750000,1927.37,350,-58158.35546875,15.4027,2294.75,156.7831,350
1755000,1910.83,351,-58030.05078125,15.2315,2249.97,156.7085,351
1760000,1939.19,352,-58077.39453125,15.2331,2264.68,156.7822,352
1765000,1913.54,353,-58348.6953125,15.4149,2291.23,156.7725,353
1770000,1928.76,354,-58502.1484375,15.3566,2303.83,156.6038,354
1775000,1932.06,355,-58382.88671875,15.3458,2278.98,156.6873,355
1780000,1931.51,356,-58800.67578125,15.3548,2285.73,156.7195,356
1785000,1924.51,357,-58922.68359375,15.3445,2271.63,156.6897,357
1790000,1933.09,358,-59047.046875,15.471,2287.51,156.729,358
1795000,1936.0,359,-59082.01171875,15.1457,2284.16,156.8027,359
1800000,1933.79,360,-59028.5234375,15.3535,2313.99,156.7936,360
1805000,1934.39,361,-59218.7890625,15.3082,2295.73,156.7672,361
1810000,1952.93,362,-59133.5078125,15.1699,2296.68,156.6498,362
1815000,1928.29,363,-59367.15625,15.2425,2269.6,156.7992,363
1820000,1957.76,364,-59511.67578125,15.3341,2314.36,156.6974,364
1825000,1942.66,365,-59729.75390625,15.3556,2339.88,156.6749,365
1830000,1933.57,366,-59699.7265625,15.3838,2307.8,156.887,366
1835000,1932.4,367,-59873.7421875,15.3512,2301.28,156.7362,367
1840000,1958.02,368,-60066.06640625,15.26,2338.7,156.7653,368
1845000,1965.81,369,-60090.578125,15.2927,2333.63,156.7456,369
1850000,1957.1,370,-60376.62109375,15.3994,2335.64,156.7331,370
1855000,1969.39,371,-60368.59765625,15.2706,2328.45,156.7972,371
1860000,1961.05,372,-60267.19921875,15.2561,2315.95,156.8023,372
1865000,1946.45,373,-60172.65625,15.1593,2287.91,156.6624,373
1870000,1934.66,374,-60395.8046875,15.204,2257.79,156.5842,374
1875000,1949.26,375,-60694.9140625,15.3172,2326.16,156.634,375
1880000,1946.15,376,-60488.08984375,15.3634,2310.5,156.7525,376
1885000,1943.48,377,-61004.82421875,15.2853,2322.99,156.8592,377
1890000,1960.88,378,-60800.44140625,15.2878,2328.84,156.6718,378
1895000,1946.14,379,-61017.70703125,15.3004,2307.26,156.6596,379
1900000,1944.51,380,-61341.53515625,15.3361,2316.29,156.744,380
1905000,1967.32,381,-61381.55859375,15.3572,2316.53,156.7347,381
1910000,1939.15,382,-61301.05859375,15.1559,2338.26,156.7012,382
1915000,1956.64,383,-61203.22265625,15.1508,2325.6,156.727,383
1920000,1942.4,384,-61442.625,15.2634,2307.82,156.6499,384
1925000,1964.13,385,-61523.57421875,15.2543,2336.99,156.6832,385
1930000,1972.14,386,-61720.40625,15.3203,2315.2,156.69,386
1935000,1972.76,387,-61757.09375,15.3795,2317.03,156.7087,387
1940000,1961.2,388,-62080.03515625,15.213,2327.04,156.7106,388
1945000,1961.75,389,-62315.77734375,15.4,2342.64,156.811,389
1950000,1954.37,390,-62286.58984375,15.2657,2341.47,156.8016,390
1955000,1932.97,391,-61927.8984375,14.9437,2316.56,156.78,391
1960000,1937.61,392,-62386.26171875,15.26,2304.06,156.7252,392
1965000,1959.86,393,-62698.3671875,15.3872,2332.15,156.6289,393
