Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Real Sto Return
343.7962,50,-6045.7666015625,242.5316,250000,50,741.53,1394.85
332.0862,51,-5648.1220703125,211.7766,255000,51,1004.49,1239.83
331.774,52,-6018.9248046875,219.6228,260000,52,900.95,1692.64
323.4234,53,-5658.2041015625,189.6139,265000,53,2584.42,2048.27
299.8079,54,-4763.0732421875,158.709,270000,54,689.58,2146.77
290.4932,55,-4575.9560546875,135.6184,275000,55,958.72,2228.5
304.8327,56,-4454.9326171875,160.3841,280000,56,1015.7,3034.12
278.481,57,-2933.381591796875,86.8535,285000,57,1553.28,2702.74
303.6155,58,-5488.9775390625,177.7742,290000,58,1869.2,2226.86
298.2691,59,-4296.57373046875,128.9937,295000,59,1306.65,2699.18
326.4161,60,-6203.08984375,188.0129,300000,60,1368.88,1721.69
308.0436,61,-5540.49755859375,160.3914,305000,61,1366.88,2794.21
283.101,62,-4017.90283203125,112.9202,310000,62,1585.18,2589.91
301.3523,63,-4502.82080078125,124.1866,315000,63,1732.47,2905.24
289.7085,64,-4088.4853515625,114.5419,320000,64,1822.15,2794.79
306.1391,65,-4824.1396484375,133.1905,325000,65,1728.82,1930.56
305.7208,66,-4612.74853515625,131.8393,330000,66,2875.57,1574.43
304.1157,67,-5211.86279296875,135.082,335000,67,1727.46,2630.21
315.2339,68,-5587.1015625,155.9957,340000,68,2505.32,1931.91
300.7606,69,-4137.7548828125,113.5987,345000,69,2234.35,2478.04
306.4245,70,-4793.31884765625,129.2717,350000,70,3112.06,4259.21
310.1497,71,-5355.8857421875,162.9397,355000,71,2573.71,2684.27
292.0329,72,-3578.3310546875,96.0924,360000,72,3120.22,4011.02
303.7785,73,-4355.771484375,109.0155,365000,73,1770.61,3173.29
303.521,74,-4678.80712890625,123.8878,370000,74,3138.28,3523.08
308.6751,75,-5196.525390625,123.9922,375000,75,2128.44,4215.17
307.9216,76,-4391.16650390625,109.0553,380000,76,3736.09,4232.32
310.197,77,-4262.40234375,100.6216,385000,77,3440.38,3649.17
312.144,78,-4167.4921875,103.9498,390000,78,4395.34,4268.21
309.6217,79,-4716.21630859375,118.5135,395000,79,4565.64,4171.64
300.8671,80,-3797.61083984375,98.376,400000,80,3036.33,4499.49
337.3151,81,-6814.08984375,171.6891,405000,81,2824.2,2973.08
309.7058,82,-5052.97900390625,115.7955,410000,82,3875.36,3809.14
325.4459,83,-6458.416015625,169.7262,415000,83,3247.05,2247.67
334.8771,84,-7229.9326171875,186.6625,420000,84,1941.54,2032.14
309.5376,85,-5923.8583984375,127.2861,425000,85,5004.19,3773.07
328.1485,86,-6813.74609375,185.6027,430000,86,4352.01,2582.02
303.0335,87,-4674.54052734375,105.5371,435000,87,4954.79,3860.73
324.5936,88,-6093.2919921875,139.8084,440000,88,4395.15,2928.73
301.1438,89,-4865.33740234375,89.8139,445000,89,4874.34,3857.92
305.5911,90,-5385.55224609375,89.3135,450000,90,5026.75,4381.48
308.725,91,-6282.51904296875,122.5978,455000,91,4961.05,4243.2
356.9945,92,-8950.5849609375,231.4624,460000,92,4310.31,1981.15
297.5361,93,-5882.5634765625,84.706,465000,93,2634.49,4841.48
300.0521,94,-6008.33984375,91.1093,470000,94,4974.67,4923.37
301.6801,95,-5696.35205078125,87.0446,475000,95,2960.4,4187.39
304.2568,96,-5563.19970703125,106.4673,480000,96,5173.51,4331.37
301.0332,97,-5351.38818359375,80.6516,485000,97,4966.43,4116.87
296.4589,98,-6000.1435546875,94.1335,490000,98,3948.45,4769.7
314.9602,99,-7748.0400390625,134.4946,495000,99,3815.55,3816.77
291.8547,100,-6536.21875,78.5563,500000,100,5080.53,5039.0
304.5545,101,-7542.62353515625,99.1595,505000,101,5229.79,4222.78
304.9901,102,-7281.20068359375,94.0772,510000,102,5114.73,4953.74
299.3404,103,-7207.8798828125,82.8652,515000,103,4901.62,4955.48
303.8784,104,-7778.4443359375,102.7308,520000,104,5039.78,4635.13
300.6722,105,-7269.54150390625,89.3793,525000,105,3891.54,4658.22
287.4675,106,-7218.3134765625,77.6141,530000,106,5213.28,4641.3
294.3516,107,-7358.31640625,82.4397,535000,107,4872.92,4298.47
301.9493,108,-8342.18359375,88.5844,540000,108,5254.69,4871.55
303.6583,109,-7702.81298828125,92.8983,545000,109,4782.38,5060.82
313.5034,110,-8679.4013671875,112.1978,550000,110,4630.87,3749.24
321.7174,111,-9033.1640625,171.787,555000,111,5238.76,2872.97
306.1855,112,-8390.1376953125,94.7101,560000,112,5215.9,4951.7
307.5862,113,-8749.8759765625,97.5066,565000,113,3554.66,4716.77
298.1591,114,-8502.2724609375,98.5011,570000,114,4419.8,4188.51
309.2486,115,-9271.2939453125,95.9527,575000,115,4415.44,4799.96
308.6686,116,-8873.556640625,111.0303,580000,116,4875.73,4892.74
302.7652,117,-8649.7734375,86.4233,585000,117,5166.6,4386.79
301.347,118,-9307.46484375,116.5074,590000,118,5277.9,4056.61
309.1141,119,-10191.9990234375,97.0025,595000,119,5287.53,4732.22
308.9505,120,-9476.888671875,109.7651,600000,120,3896.17,3874.61
316.2416,121,-10853.521484375,98.1248,605000,121,5223.09,4427.4
306.0076,122,-10004.7373046875,101.4288,610000,122,5198.01,4840.89
306.0075,123,-9945.2197265625,100.7532,615000,123,5284.43,4278.25
317.0896,124,-10906.6533203125,106.388,620000,124,5222.11,4313.22
300.4103,125,-10457.61328125,93.4181,625000,125,5002.43,4999.1
302.5025,126,-9990.9833984375,119.3948,630000,126,5203.81,3370.11
299.0339,127,-10041.0263671875,86.147,635000,127,4370.68,4454.44
299.6195,128,-10614.5380859375,93.3714,640000,128,5309.82,4676.41
308.8733,129,-10142.6796875,125.6737,645000,129,5303.57,3542.86
312.3945,130,-11319.390625,120.9006,650000,130,4469.93,4002.76
302.661,131,-10884.5205078125,97.6093,655000,131,3912.4,4314.34
301.2164,132,-11105.0927734375,84.4923,660000,132,5245.35,5133.3
303.3345,133,-11153.7890625,86.9308,665000,133,4176.08,4877.4
313.1842,134,-11913.201171875,122.6418,670000,134,5099.78,4309.31
308.8317,135,-11540.4990234375,112.2986,675000,135,5255.65,4021.97
313.1512,136,-11854.2138671875,110.0212,680000,136,5300.46,2603.41
318.4508,137,-11631.8232421875,134.6548,685000,137,5013.92,4292.6
310.0512,138,-11458.57421875,114.3216,690000,138,4530.14,4094.41
300.7019,139,-10859.951171875,87.6072,695000,139,3269.05,4386.16
306.4526,140,-11482.8828125,101.9874,700000,140,5333.69,4387.3
303.7659,141,-11795.068359375,89.3336,705000,141,5301.99,4379.97
333.3102,142,-11960.4814453125,198.0168,710000,142,4999.5,2673.29
306.46,143,-11861.9501953125,103.0971,715000,143,4938.99,4717.84
300.1234,144,-11875.3740234375,113.7747,720000,144,5295.68,4277.39
315.9076,145,-12573.4521484375,138.2767,725000,145,4950.36,4170.79
289.6564,146,-11827.73046875,83.3445,730000,146,3842.69,5013.18
305.5739,147,-12616.4833984375,104.5407,735000,147,3985.42,4263.04
292.2622,148,-11909.505859375,84.5284,740000,148,4737.22,3785.16
291.4868,149,-12539.9130859375,79.979,745000,149,4822.79,4752.55
298.9693,150,-12095.6005859375,98.3254,750000,150,5302.0,3499.17
297.0626,151,-12389.4921875,97.0891,755000,151,5307.15,4304.77
289.0224,152,-12599.6650390625,78.3496,760000,152,4853.47,5134.41
294.16,153,-12952.876953125,81.5569,765000,153,4734.5,4939.44
298.8664,154,-13370.626953125,83.4574,770000,154,4970.81,4955.63
306.2513,155,-12564.765625,128.8255,775000,155,5380.17,4200.03
296.333,156,-13225.7451171875,88.4575,780000,156,5394.32,4514.04
296.0899,157,-13151.5234375,98.7153,785000,157,5372.56,4869.31
309.9909,158,-12545.3359375,140.8544,790000,158,5334.41,2851.5
289.2418,159,-12606.7734375,74.6696,795000,159,5361.46,4642.73
293.4164,160,-12633.9248046875,91.4323,800000,160,5092.47,4732.65
295.8616,161,-13084.1708984375,97.6357,805000,161,5394.97,5132.43
290.8163,162,-12997.892578125,83.1708,810000,162,5359.86,5089.17
298.5866,163,-12984.5537109375,107.4795,815000,163,5373.72,4440.43
293.8167,164,-13834.3544921875,76.9428,820000,164,5367.99,5148.92
290.8073,165,-13649.587890625,83.4907,825000,165,5273.71,5249.54
298.8829,166,-14299.091796875,85.6736,830000,166,4035.87,5047.6
291.289,167,-12817.69921875,76.5058,835000,167,5367.69,5040.56
289.1099,168,-13123.5556640625,72.8254,840000,168,5366.46,5195.81
293.4366,169,-13710.63671875,82.366,845000,169,4066.03,4837.53
287.6648,170,-12451.427734375,73.701,850000,170,5384.19,5091.8
290.8152,171,-13067.5390625,85.4048,855000,171,5303.79,4954.14
288.3361,172,-12809.2587890625,97.8042,860000,172,3955.46,5023.75
285.2075,173,-13664.427734375,72.1262,865000,173,5183.58,4959.72
294.1866,174,-13431.80859375,88.5834,870000,174,5351.52,5042.79
301.8302,175,-13628.96875,113.4208,875000,175,5170.1,4224.93
287.324,176,-13685.068359375,73.001,880000,176,5415.98,5001.61
277.5736,177,-12972.111328125,64.3432,885000,177,5373.85,4985.64
272.089,178,-12969.14453125,60.3626,890000,178,5417.01,5184.78
279.7475,179,-12110.3486328125,71.0329,895000,179,5417.34,4831.23
282.2089,180,-14339.6953125,72.5466,900000,180,5385.29,5155.87
270.7352,181,-13357.845703125,56.0708,905000,181,5056.59,4988.25
281.7029,182,-13614.18359375,67.3241,910000,182,5415.61,4967.8
284.0364,183,-12896.138671875,64.1916,915000,183,5402.64,4777.6
276.3333,184,-13407.5732421875,73.8667,920000,184,5409.6,4201.56
281.7973,185,-13843.5654296875,69.5352,925000,185,5379.03,5190.97
284.6822,186,-13860.8759765625,72.6802,930000,186,5425.21,4717.75
281.3168,187,-13753.9423828125,65.8555,935000,187,5428.46,5027.56
277.1913,188,-13551.83984375,68.4819,940000,188,5412.91,5003.25
286.5671,189,-14261.55859375,76.3863,945000,189,5348.12,4576.58
292.7792,190,-14306.7880859375,99.5573,950000,190,5397.67,4906.86
291.1956,191,-14350.1875,81.7255,955000,191,5405.69,4477.34
290.7807,192,-14652.2177734375,82.4406,960000,192,5400.86,5029.19
290.8201,193,-14380.1416015625,88.9857,965000,193,5454.44,4867.46
286.3004,194,-14013.0224609375,73.5052,970000,194,2100.55,4996.29
281.4402,195,-14733.296875,63.8211,975000,195,5437.37,5049.86
277.3737,196,-14242.951171875,64.7294,980000,196,5416.84,5279.91
281.9243,197,-14395.5712890625,62.4625,985000,197,5386.2,5003.61
278.1046,198,-14577.458984375,61.8795,990000,198,3743.79,5028.93
284.151,199,-14628.6171875,67.8638,995000,199,5182.08,5060.28
273.3441,200,-14030.28515625,56.1821,1000000,200,1153.72,4953.96
279.2412,201,-14223.259765625,59.4769,1005000,201,1887.36,5067.48
282.0877,202,-14791.7236328125,63.8921,1010000,202,1990.16,4763.66
284.6151,203,-14733.4921875,64.5532,1015000,203,3881.25,5191.13
280.0195,204,-14834.931640625,60.6937,1020000,204,5201.39,4417.35
283.6886,205,-14798.4580078125,66.7858,1025000,205,5228.39,4729.27
279.3165,206,-14388.5078125,61.7055,1030000,206,5386.85,4728.47
286.8554,207,-14530.677734375,80.0978,1035000,207,5380.72,4689.18
287.7602,208,-15423.994140625,68.6355,1040000,208,4900.14,4886.36
301.792,209,-14871.2998046875,132.9921,1045000,209,4827.02,3868.09
293.7537,210,-15067.0185546875,98.9879,1050000,210,4937.96,3937.95
287.9292,211,-15450.197265625,77.5546,1055000,211,5348.1,4940.12
288.5281,212,-15228.7451171875,73.8147,1060000,212,4981.53,4381.23
287.1205,213,-15194.3564453125,72.4893,1065000,213,5398.68,4854.46
288.5603,214,-15334.62109375,75.9553,1070000,214,5300.2,4806.92
290.8643,215,-15097.65234375,81.9568,1075000,215,5291.56,4413.8
290.0543,216,-15522.794921875,83.6477,1080000,216,4873.92,4369.33
293.1,217,-15512.9912109375,85.5785,1085000,217,4752.76,4569.9
286.1138,218,-14708.0703125,81.1731,1090000,218,5317.26,4639.01
286.6158,219,-14853.8544921875,81.4794,1095000,219,5319.27,4717.73
293.1064,220,-15005.0771484375,92.1849,1100000,220,5289.84,4315.87
292.5559,221,-15981.859375,89.3676,1105000,221,5311.15,4756.14
306.7994,222,-13523.8857421875,126.211,1110000,222,4893.71,3446.72
293.5312,223,-14886.955078125,85.3945,1115000,223,3702.11,3936.1
286.9828,224,-15475.115234375,75.5548,1120000,224,4965.31,4505.66
295.8816,225,-14639.7265625,95.4573,1125000,225,4528.06,3988.02
313.321,226,-14598.6630859375,108.6018,1130000,226,1866.0,2725.83
299.7599,227,-14788.5205078125,94.5176,1135000,227,2681.15,4099.13
308.332,228,-14226.134765625,123.3814,1140000,228,1537.63,2902.22
292.8632,229,-15117.2236328125,113.0548,1145000,229,995.21,3306.76
304.6486,230,-16238.9296875,108.2271,1150000,230,2357.82,3880.34
327.2034,231,-14884.23828125,171.6399,1155000,231,1694.89,2100.88
332.0715,232,-14858.3779296875,154.3854,1160000,232,2406.61,2595.09
324.5036,233,-14170.814453125,207.085,1165000,233,3636.35,2116.55
321.6145,234,-15069.5478515625,156.1278,1170000,234,4491.37,3288.24
347.455,235,-15346.0869140625,218.1073,1175000,235,3589.45,2342.84
329.149,236,-15992.7421875,177.8217,1180000,236,3027.01,2824.25
364.9288,237,-15393.48046875,254.594,1185000,237,919.38,1591.86
360.2551,238,-16163.076171875,279.9528,1190000,238,1065.08,1286.38
351.1661,239,-16365.3603515625,246.5844,1195000,239,927.06,1638.39
319.9201,240,-16413.689453125,168.378,1200000,240,2606.25,2496.96
326.9802,241,-15218.5263671875,196.0029,1205000,241,2288.59,1956.39
324.5152,242,-15666.54296875,148.4957,1210000,242,2949.68,2077.28
309.0458,243,-15402.3759765625,171.6662,1215000,243,1481.14,2741.54
311.4255,244,-16169.8662109375,129.9569,1220000,244,2508.67,3669.64
323.2007,245,-14643.4267578125,188.7712,1225000,245,1544.61,1729.9
323.3534,246,-14547.1435546875,213.5583,1230000,246,1602.0,2120.81
417.4373,247,-14013.939453125,311.174,1235000,247,545.22,811.85
401.1751,248,-13799.634765625,308.4063,1240000,248,1401.16,886.23
395.095,249,-11468.11328125,267.4261,1245000,249,1042.43,1053.69
362.8156,250,-12706.470703125,214.8637,1250000,250,1577.51,1746.25
382.6785,251,-11254.943359375,271.7,1255000,251,674.61,1300.4
367.974,252,-13268.4150390625,235.2455,1260000,252,2054.13,1603.42
378.6571,253,-10037.0029296875,278.9171,1265000,253,1096.12,835.13
355.7496,254,-12124.8955078125,614.0514,1270000,254,1493.28,2196.55
348.6986,255,-12923.5810546875,226.3743,1275000,255,2215.84,1890.54
380.1044,256,-11779.1044921875,227.6378,1280000,256,1489.06,1857.94
399.1712,257,-10231.0888671875,260.9224,1285000,257,972.56,946.46
459.8344,258,-5831.3388671875,829.2473,1290000,258,437.45,622.81
485.4945,259,-7518.564453125,570.8743,1295000,259,573.19,622.95
478.8397,260,-8368.5185546875,338.9352,1300000,260,661.21,579.44
440.6277,261,-12458.9287109375,329.1736,1305000,261,1076.13,709.82
421.4658,262,-12369.95703125,315.4797,1310000,262,1006.76,623.07
400.6912,263,-10496.15625,1001.0471,1315000,263,795.97,779.57
428.5313,264,-11537.88671875,764.2732,1320000,264,899.81,871.1
440.8194,265,-15827.3828125,552.654,1325000,265,534.27,517.2
455.1834,266,-14899.0,580.5352,1330000,266,400.81,458.27
426.9264,267,-14041.2939453125,748.027,1335000,267,439.81,464.68
460.1756,268,-15207.951171875,884.5096,1340000,268,395.68,457.69
481.2187,269,-17535.6796875,1286.7116,1345000,269,279.04,330.18
590.1396,270,-18372.47265625,1537.3962,1350000,270,159.64,182.31
497.3834,271,-18521.697265625,1177.5788,1355000,271,250.89,239.5
503.269,272,-18140.423828125,1160.5599,1360000,272,308.43,290.98
502.4783,273,-18143.04296875,1287.1469,1365000,273,354.29,344.49
478.4419,274,-18390.28515625,1447.321,1370000,274,286.9,314.13
467.0094,275,-17641.068359375,814.5441,1375000,275,267.65,343.53
498.767,276,-15369.5732421875,611.4331,1380000,276,336.78,261.86
474.9238,277,-18825.09375,1974.072,1385000,277,310.23,316.96
518.6303,278,-18646.1484375,1924.693,1390000,278,286.33,269.25
518.5926,279,-17275.986328125,1012.4097,1395000,279,307.87,322.58
470.0485,280,-18984.6640625,2213.8905,1400000,280,251.16,289.94
490.8794,281,-19016.109375,2323.8885,1405000,281,230.02,262.1
534.7822,282,-16802.466796875,1304.1944,1410000,282,205.91,230.12
544.1414,283,-18400.37890625,1287.1129,1415000,283,234.99,244.37
595.7395,284,-19346.076171875,2172.3382,1420000,284,153.6,154.36
579.2458,285,-19386.703125,1925.9236,1425000,285,175.41,200.45
508.0797,286,-19179.029296875,1963.899,1430000,286,248.32,238.75
520.3796,287,-19166.822265625,1437.3933,1435000,287,284.05,246.68
551.4239,288,-19347.0078125,1378.5609,1440000,288,257.8,241.2
543.5089,289,-19394.642578125,2391.744,1445000,289,237.38,258.67
533.2396,290,-19453.76171875,2188.9437,1450000,290,244.01,245.75
552.196,291,-19474.5625,1878.8731,1455000,291,161.56,165.08
497.4458,292,-19240.46484375,2346.7925,1460000,292,346.85,344.76
519.3472,293,-19296.08984375,1752.6374,1465000,293,313.71,293.84
556.8305,294,-19194.240234375,2221.9427,1470000,294,191.92,152.2
548.6193,295,-19200.86328125,2119.8195,1475000,295,170.02,164.31
656.988,296,-19465.447265625,1821.4268,1480000,296,120.5,113.65
570.2203,297,-19163.849609375,2070.2193,1485000,297,149.55,139.15
523.7758,298,-19188.06640625,1617.3912,1490000,298,314.9,296.96
538.4081,299,-19008.48046875,1593.8525,1495000,299,219.57,193.39
705.512,300,-19543.162109375,1903.8585,1500000,300,97.88,110.01
560.6099,301,-19371.693359375,2116.9641,1505000,301,90.58,90.19
727.7096,302,-19566.53515625,3176.8371,1510000,302,84.69,100.35
740.2521,303,-19603.462890625,2027.5846,1515000,303,58.21,58.01
730.8657,304,-19515.6328125,2166.0389,1520000,304,56.25,56.31
734.4151,305,-19580.2734375,2286.7129,1525000,305,57.64,57.47
726.9251,306,-19654.017578125,1891.0252,1530000,306,54.4,55.37
739.4753,307,-19691.109375,1697.6851,1535000,307,56.74,55.62
739.9378,308,-19626.400390625,1897.655,1540000,308,55.33,55.53
740.4444,309,-19361.49609375,1177.4836,1545000,309,56.73,56.89
739.09,310,-19540.267578125,1608.0788,1550000,310,55.96,55.81
740.1784,311,-19572.826171875,913.4656,1555000,311,57.06,57.02
745.9,312,-19280.12109375,871.4002,1560000,312,58.23,58.95
744.2217,313,-19416.9765625,1223.6091,1565000,313,56.38,56.17
753.5703,314,-19261.833984375,798.2866,1570000,314,54.84,55.93
779.8031,315,-19428.169921875,935.7316,1575000,315,57.4,57.42
786.4739,316,-19723.673828125,1233.9175,1580000,316,58.43,58.02
750.7129,317,-19637.3359375,864.7139,1585000,317,57.42,57.36
754.1087,318,-19540.26171875,1879.4156,1590000,318,59.39,59.44
731.7775,319,-19363.798828125,1099.479,1595000,319,58.39,58.36
733.1927,320,-19389.19140625,918.1545,1600000,320,59.56,59.56
745.4756,321,-19044.11328125,828.6828,1605000,321,58.2,58.15
726.4835,322,-18832.8125,754.4327,1610000,322,59.66,59.14
548.8281,323,-19405.59765625,2336.9044,1615000,323,206.36,205.34
581.5551,324,-19507.01953125,1456.7886,1620000,324,66.7,59.78
739.516,325,-19709.0078125,3593.3546,1625000,325,68.48,76.14
744.9108,326,-19793.28515625,2869.9424,1630000,326,58.87,59.94
754.1093,327,-19778.095703125,3612.9788,1635000,327,60.0,59.84
757.7731,328,-19810.134765625,3607.8312,1640000,328,59.72,60.02
753.4649,329,-19815.025390625,3550.5502,1645000,329,58.99,58.81
726.912,330,-19675.048828125,750.8441,1650000,330,59.91,60.22
707.4026,331,-19221.248046875,858.7842,1655000,331,60.9,61.39
748.8285,332,-19519.66796875,1055.227,1660000,332,59.43,59.6
739.8102,333,-19407.25390625,745.0872,1665000,333,58.88,60.54
708.7482,334,-18515.7890625,561.041,1670000,334,60.61,61.13
709.8218,335,-18914.55859375,1463.9504,1675000,335,61.35,61.03
733.0348,336,-19717.978515625,850.4295,1680000,336,59.65,60.35
721.9724,337,-19750.392578125,1255.954,1685000,337,61.14,60.99
710.1918,338,-19563.484375,1230.761,1690000,338,62.01,62.51
645.9206,339,-19289.935546875,2063.6734,1695000,339,62.02,62.0
685.1098,340,-19255.4921875,1386.6272,1700000,340,63.04,62.89
737.2812,341,-18617.578125,654.5866,1705000,341,57.21,57.28
740.0808,342,-19654.45703125,692.3519,1710000,342,58.08,58.59
768.8173,343,-19363.033203125,2802.585,1715000,343,57.46,56.71
713.8946,344,-18024.669921875,503.9635,1720000,344,57.15,57.28
737.3795,345,-19637.828125,1448.1495,1725000,345,56.52,56.02
732.435,346,-19800.396484375,2976.8196,1730000,346,54.75,55.27
732.8947,347,-19636.703125,1151.7071,1735000,347,52.77,53.05
741.9386,348,-19679.828125,1505.7449,1740000,348,55.83,56.13
740.9521,349,-19643.873046875,1212.5577,1745000,349,56.42,56.72
748.8754,350,-19864.046875,1877.0267,1750000,350,56.57,55.79
748.3207,351,-19600.29296875,1108.5983,1755000,351,57.58,57.5
724.3917,352,-19529.642578125,969.2045,1760000,352,56.4,56.37
662.0903,353,-19178.09375,1143.0817,1765000,353,57.09,57.02
692.8351,354,-19170.888671875,1306.9245,1770000,354,57.45,57.44
708.3855,355,-19528.298828125,1750.2329,1775000,355,56.57,56.54
817.5084,356,-19825.642578125,2460.56,1780000,356,57.39,57.27
728.493,357,-19235.439453125,597.5591,1785000,357,57.66,57.69
728.5086,358,-19456.802734375,1227.2324,1790000,358,56.77,56.73
720.9881,359,-19301.158203125,1201.5199,1795000,359,56.26,56.61
731.932,360,-19523.48828125,1199.1748,1800000,360,56.13,56.15
699.136,361,-19502.328125,2003.6357,1805000,361,56.69,57.02
687.6733,362,-19302.2109375,1526.899,1810000,362,56.03,56.44
708.7596,363,-19350.341796875,1914.5416,1815000,363,56.3,56.19
716.5535,364,-19622.5625,1757.1292,1820000,364,57.08,56.85
694.3475,365,-19427.794921875,1505.0157,1825000,365,60.23,60.21
710.9722,366,-19265.48046875,1653.1054,1830000,366,59.62,59.58
719.9654,367,-19426.923828125,1994.3685,1835000,367,56.37,56.38
712.7993,368,-19531.478515625,1862.6465,1840000,368,57.87,57.77
734.5746,369,-19702.51953125,1970.9994,1845000,369,55.58,55.53
687.6879,370,-19411.880859375,1890.3989,1850000,370,59.0,58.97
663.5132,371,-19542.0390625,2160.1072,1855000,371,60.41,60.32
698.5374,372,-19540.615234375,1690.5135,1860000,372,57.82,57.4
689.8981,373,-19232.416015625,922.5622,1865000,373,59.37,59.32
716.2521,374,-19676.533203125,2087.139,1870000,374,57.34,57.34
747.9881,375,-19823.1640625,2930.1664,1875000,375,56.68,56.29
721.5036,376,-19757.51953125,1959.1157,1880000,376,69.99,74.38
694.6095,377,-19514.94140625,1313.2158,1885000,377,58.48,58.57
688.7633,378,-19676.40234375,2009.3838,1890000,378,57.93,57.76
725.7247,379,-19614.2890625,917.1711,1895000,379,58.25,58.16
645.0076,380,-19233.53515625,1201.1601,1900000,380,57.84,57.77
703.1601,381,-19651.890625,1849.1389,1905000,381,56.71,57.68
700.7077,382,-19672.40234375,1720.3058,1910000,382,57.77,57.72
720.488,383,-19730.0703125,1979.0244,1915000,383,59.17,58.4
660.9896,384,-19333.802734375,800.2751,1920000,384,59.25,59.35
662.1957,385,-19577.771484375,1828.5838,1925000,385,59.33,59.34
691.252,386,-19721.384765625,1767.692,1930000,386,59.23,59.18
672.5284,387,-19571.65625,1389.6555,1935000,387,60.39,60.42
708.1575,388,-19459.67578125,913.2088,1940000,388,61.3,61.22
710.6366,389,-19461.6484375,1511.5961,1945000,389,60.82,60.79
697.2554,390,-19530.478515625,1406.0551,1950000,390,62.8,62.81
654.7036,391,-19245.80859375,891.9058,1955000,391,61.45,61.45
654.7917,392,-19657.919921875,774.2373,1960000,392,60.82,60.83
706.8681,393,-19541.416015625,875.3633,1965000,393,59.82,59.82
688.3714,394,-19220.896484375,501.0144,1970000,394,63.0,63.01
669.7032,395,-19272.591796875,506.3889,1975000,395,60.67,60.66
682.0482,396,-19468.2265625,687.0937,1980000,396,63.04,63.04
