Reward Loss,Running Reverse KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps
-1355.95458984375,18.6418,53,53,1184.4,986.84,26.6992,265000
-1527.1231689453125,28.294,54,54,984.63,946.08,27.3679,270000
-1556.940673828125,23.4684,55,55,1130.37,1122.07,27.2591,275000
-1554.2337646484375,25.5233,56,56,1431.99,1169.67,27.4763,280000
-1582.62451171875,26.5855,57,57,1153.17,1015.04,27.3225,285000
-1642.9794921875,24.288,58,58,1466.28,1030.06,26.8668,290000
-1659.5269775390625,26.115,59,59,1132.45,1013.91,27.1291,295000
-1655.91796875,19.2932,60,60,2700.14,1053.57,26.8138,300000
-1799.305908203125,21.7684,61,61,995.12,923.65,26.6761,305000
-1803.0250244140625,17.8165,62,62,1041.33,1102.89,26.745,310000
-1898.2767333984375,21.9159,63,63,1028.66,1048.76,27.3301,315000
-1609.5311279296875,18.1518,64,64,965.03,948.02,26.921,320000
-1691.0543212890625,18.2863,65,65,984.95,1048.19,26.8347,325000
-1434.286376953125,15.6516,66,66,2019.64,1253.02,26.6485,330000
-1474.2811279296875,16.6376,67,67,1208.92,1248.93,26.8644,335000
-1159.5401611328125,16.1402,68,68,2725.34,1679.64,25.8534,340000
-1210.4539794921875,15.3857,69,69,1179.88,1173.44,26.2391,345000
-1322.33447265625,14.4769,70,70,1266.67,1323.6,26.3011,350000
-1413.0989990234375,14.5355,71,71,1004.07,1005.8,26.5013,355000
-1274.7813720703125,14.7376,72,72,2171.93,1392.2,26.0717,360000
-1252.631103515625,14.7116,73,73,1480.32,1599.57,26.4085,365000
-1442.6229248046875,14.937,74,74,992.06,966.16,26.6445,370000
-1201.1595458984375,14.2585,75,75,2037.19,1384.12,26.3829,375000
-1374.3841552734375,15.3911,76,76,1146.24,1312.37,26.3125,380000
-1317.3929443359375,14.224,77,77,1231.79,1057.59,26.5319,385000
-1533.94580078125,14.2,78,78,1838.93,1195.77,26.4505,390000
-1642.868896484375,14.1192,79,79,1091.05,1176.92,26.3749,395000
-2079.09521484375,20.5335,80,80,2287.03,1347.17,26.7683,400000
-1779.9847412109375,15.6206,81,81,1166.39,1188.62,26.9455,405000
-1876.793212890625,14.3576,82,82,3107.95,1582.61,26.6545,410000
-1866.654541015625,14.8451,83,83,1169.37,1454.41,26.6103,415000
-2205.991455078125,19.0664,84,84,3111.62,1569.79,26.5312,420000
-2303.487060546875,18.9035,85,85,1579.18,1140.02,26.6815,425000
-2127.53271484375,16.0036,86,86,2962.09,1313.56,26.52,430000
-1776.07470703125,18.5939,87,87,3057.17,1707.31,26.7162,435000
-1779.10302734375,14.5878,88,88,1116.58,1112.09,26.112,440000
-1714.626220703125,14.9958,89,89,1175.54,1907.93,26.4755,445000
-1858.5684814453125,14.4942,90,90,1262.4,1317.7,26.6502,450000
-1774.2337646484375,15.0072,91,91,2951.24,1857.84,26.1695,455000
-2067.5595703125,16.0458,92,92,2989.81,1878.25,26.7487,460000
-1635.8179931640625,17.5772,93,93,2881.44,1979.13,26.3684,465000
-1873.7177734375,16.1913,94,94,2300.91,1893.64,26.7692,470000
-2426.255615234375,16.5696,95,95,3122.92,2110.66,26.4731,475000
-1898.0986328125,18.9544,96,96,3088.09,2179.05,27.1691,480000
-2196.0361328125,17.0274,97,97,1710.04,1444.67,26.6429,485000
-2189.87744140625,18.7351,98,98,3100.42,2030.6,27.0085,490000
-2507.944091796875,18.4679,99,99,1670.5,1624.64,26.6328,495000
-2423.16357421875,19.4154,100,100,3086.27,1883.84,26.6639,500000
-2476.335693359375,18.4258,101,101,2888.64,2120.7,26.7592,505000
-2183.37255859375,16.5052,102,102,3027.84,1738.58,26.6864,510000
-2523.99267578125,19.2872,103,103,3060.93,2052.91,27.1684,515000
-1829.2264404296875,19.5815,104,104,3098.91,2570.67,28.0915,520000
-2304.408935546875,19.0339,105,105,3065.04,1709.44,27.1995,525000
-2616.570556640625,19.5326,106,106,2258.99,1802.41,27.0908,530000
-2628.687255859375,19.8087,107,107,2075.5,1965.29,27.6178,535000
-2613.409912109375,18.3738,108,108,3089.19,1861.48,27.5774,540000
-2107.304931640625,19.3231,109,109,3080.15,2329.26,27.7101,545000
-2530.52099609375,18.465,110,110,2957.48,1957.51,27.0594,550000
-2712.03125,19.3844,111,111,1894.79,2073.68,27.957,555000
-3135.925537109375,20.715,112,112,1587.41,1465.94,27.8038,560000
-2349.60693359375,18.9361,113,113,3108.94,2384.05,27.6411,565000
-2695.957763671875,20.1937,114,114,2310.32,1939.65,27.7857,570000
-3081.972412109375,20.0246,115,115,3102.58,2000.58,27.1864,575000
-2865.610107421875,19.4407,116,116,3121.27,2181.67,27.4929,580000
-2888.701904296875,20.0237,117,117,2401.55,2101.33,26.9438,585000
-3266.414306640625,21.2282,118,118,2321.16,1872.78,27.3837,590000
-3298.117919921875,21.1892,119,119,1335.3,1638.6,27.356,595000
-3331.38671875,20.3168,120,120,2079.02,1674.0,27.4079,600000
-2648.0380859375,19.2308,121,121,3124.06,2043.89,26.9443,605000
-2419.3974609375,19.4192,122,122,3149.83,2347.83,26.9213,610000
-3734.052734375,21.9719,123,123,2144.68,1535.42,27.4452,615000
-2995.0927734375,18.738,124,124,2012.05,1922.28,27.132,620000
-2732.56689453125,19.0087,125,125,3138.65,2536.17,26.8754,625000
-3150.4970703125,19.2974,126,126,2417.4,1997.25,27.506,630000
-3597.01220703125,19.7988,127,127,3142.74,1953.19,27.6718,635000
-2810.16943359375,19.2716,128,128,3104.18,2106.31,27.3994,640000
-2983.664794921875,18.5662,129,129,3114.4,2235.9,26.9429,645000
-2402.097412109375,18.7043,130,130,1593.08,2621.3,26.6115,650000
-3270.370849609375,19.6565,131,131,3103.99,1984.38,27.1608,655000
-2732.27099609375,19.039,132,132,656.86,1464.98,27.2568,660000
-2890.711669921875,19.1542,133,133,3098.05,2778.28,26.8715,665000
-2718.60986328125,19.2527,134,134,2158.33,2275.99,26.9819,670000
-2985.49658203125,18.6856,135,135,3127.44,2511.76,26.7324,675000
-2721.681396484375,19.4843,136,136,3121.16,2517.45,26.8687,680000
-3113.193115234375,19.3819,137,137,3130.3,2187.25,26.8933,685000
-4015.931396484375,22.2092,138,138,1297.23,1898.41,27.1499,690000
-3260.285400390625,20.3467,139,139,3124.03,2639.94,26.4748,695000
-3758.92236328125,22.6371,140,140,3082.83,2041.56,27.8901,700000
-3561.8525390625,20.773,141,141,3144.24,2423.24,26.9112,705000
-2778.278564453125,20.1301,142,142,1613.5,2077.48,26.8813,710000
-3012.4462890625,20.1895,143,143,3142.77,2703.29,26.7716,715000
-3352.965087890625,20.2823,144,144,3119.71,2514.52,27.4705,720000
-3735.416259765625,22.9008,145,145,3146.7,2337.56,26.9729,725000
-3152.37744140625,19.0918,146,146,3149.73,2939.64,26.5817,730000
-3453.397216796875,20.8515,147,147,3124.34,2264.76,27.0355,735000
-3689.87158203125,21.6965,148,148,3126.04,2393.57,27.6894,740000
-3544.67822265625,20.1621,149,149,3149.14,2636.06,27.0507,745000
-3755.422119140625,22.6318,150,150,2888.08,2122.07,27.0953,750000
-3983.9462890625,23.8145,151,151,3112.2,2182.36,26.9452,755000
-3675.07421875,20.3199,152,152,3121.04,2552.5,26.5609,760000
-3829.7880859375,19.7158,153,153,3074.7,1796.31,27.3773,765000
-3728.642822265625,21.6969,154,154,3147.19,2707.59,27.3817,770000
-3760.165771484375,20.3476,155,155,3127.05,2571.19,26.9327,775000
-3329.54931640625,20.545,156,156,3134.57,2788.95,27.8736,780000
-3689.070068359375,18.765,157,157,3096.75,2643.7,26.7807,785000
-3473.4794921875,20.2277,158,158,3138.23,2439.99,27.5545,790000
-3695.73095703125,19.0573,159,159,3110.86,2430.59,27.0175,795000
-3914.29345703125,19.4372,160,160,3143.63,2164.09,27.1727,800000
-3684.958251953125,18.5203,161,161,3149.22,2356.72,26.6999,805000
-3541.62890625,18.6551,162,162,3128.32,2318.44,26.6829,810000
-3816.6826171875,19.6182,163,163,3112.35,2526.65,26.7382,815000
-3673.631103515625,19.3231,164,164,3133.75,2413.38,26.8589,820000
-4755.7490234375,20.909,165,165,2078.61,2366.41,27.4823,825000
