Running Forward KL,Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Reverse KL,Real Det Return,Reward Loss
27.6483,93,93,1546.2,465000,14.1307,2638.94,-373.7264099121094
26.0354,94,94,2727.09,470000,12.5025,3328.43,-159.15692138671875
28.6912,95,95,1197.8,475000,14.8085,1181.06,-384.1788330078125
27.0233,96,96,1763.68,480000,14.2017,1473.15,-298.9316711425781
26.0649,97,97,1975.18,485000,17.0436,3322.01,-249.3959197998047
27.6767,98,98,1481.4,490000,14.5996,3246.68,-338.3199157714844
26.6657,99,99,1936.77,495000,31.0413,3295.66,-288.92010498046875
25.7952,100,100,3111.9,500000,13.9461,3340.35,-162.14364624023438
25.8642,101,101,2541.64,505000,13.7197,3366.74,-136.8931884765625
27.1003,102,102,1600.42,510000,18.7595,3347.18,-260.8203125
25.6386,103,103,2896.34,515000,14.3292,3374.4,-165.2886505126953
26.7837,104,104,2898.78,520000,12.9292,3393.6,-171.9318084716797
25.6298,105,105,2503.58,525000,15.5681,3416.9,-200.97119140625
25.6231,106,106,2589.56,530000,14.3689,3396.91,-166.26864624023438
27.882,107,107,1624.84,535000,21.7517,3345.87,-377.0505676269531
25.8828,108,108,2839.24,540000,21.3912,3376.35,-194.0347900390625
26.7428,109,109,2266.73,545000,14.2156,3283.0,-269.5267333984375
25.3609,110,110,2544.58,550000,12.7407,3344.33,-211.388671875
25.8079,111,111,3053.59,555000,12.1086,3261.32,-132.25033569335938
27.1214,112,112,1947.49,560000,48.279,3355.64,-427.7598876953125
26.3571,113,113,2951.39,565000,18.2459,3367.57,-179.79803466796875
25.4232,114,114,2647.43,570000,15.3332,3284.83,-181.00303649902344
24.4143,115,115,2541.62,575000,10.5701,1293.25,-195.4452667236328
25.0018,116,116,3313.18,580000,12.5754,3319.38,-155.00399780273438
26.5945,117,117,2454.9,585000,14.8842,3378.71,-264.67327880859375
25.054,118,118,3220.14,590000,11.758,3261.72,-181.7451171875
28.2347,119,119,1247.2,595000,12.8989,1819.99,-444.6620788574219
24.8214,120,120,2928.13,600000,12.7015,3353.07,-250.06124877929688
26.5561,121,121,2344.69,605000,12.4426,3258.65,-404.8907775878906
25.3317,122,122,2870.93,610000,11.5428,3341.92,-235.92022705078125
28.6693,123,123,1200.62,615000,11.6697,1276.32,-422.5881652832031
26.4397,124,124,1378.37,620000,12.2573,3376.24,-478.6081237792969
25.7032,125,125,2755.63,625000,30.8156,3409.9,-274.197998046875
27.2129,126,126,1900.72,630000,15.0777,2871.89,-422.9947204589844
28.4677,127,127,1164.34,635000,35.2189,2702.48,-637.8250732421875
25.1398,128,128,3074.87,640000,12.6469,3318.17,-150.97164916992188
28.3421,129,129,636.23,645000,11.0492,162.25,-499.3721618652344
25.6954,130,130,3261.58,650000,12.3354,3332.94,-165.345703125
24.7224,131,131,2843.28,655000,13.0516,3327.18,-212.10313415527344
25.0503,132,132,2523.52,660000,11.6739,3415.1,-237.06272888183594
23.9968,133,133,3356.17,665000,11.9955,3384.59,-132.3511962890625
26.3512,134,134,1809.64,670000,22.8272,3455.24,-528.2968139648438
25.4515,135,135,3191.85,675000,13.0591,3331.06,-210.64614868164062
24.2154,136,136,3308.78,680000,12.4656,3398.55,-145.451904296875
25.9123,137,137,3094.1,685000,15.688,3362.38,-290.9382629394531
27.4616,138,138,1486.35,690000,23.4512,3052.13,-598.6947021484375
26.6069,139,139,2352.5,695000,37.0275,3442.7,-493.8019104003906
28.2133,140,140,1218.35,700000,33.925,1997.09,-755.6237182617188
25.094,141,141,3229.65,705000,11.964,3318.98,-147.50302124023438
25.3431,142,142,3234.43,710000,15.5,3394.55,-207.45436096191406
24.5892,143,143,3233.93,715000,12.3271,3404.48,-143.959228515625
25.5543,144,144,2143.29,720000,20.7474,1823.64,-429.9271545410156
25.2295,145,145,3133.68,725000,12.8222,3383.53,-241.96136474609375
25.4753,146,146,2636.25,730000,15.5668,3462.62,-331.2441101074219
24.8838,147,147,2446.13,735000,13.8701,3386.05,-270.7080383300781
23.8301,148,148,3297.95,740000,11.377,3380.93,-198.11135864257812
24.8508,149,149,2659.72,745000,19.7239,3461.47,-326.67803955078125
24.5734,150,150,2779.79,750000,12.1598,3371.49,-191.21823120117188
25.5135,151,151,2589.37,755000,14.8004,3462.0,-392.2342834472656
24.6547,152,152,2352.54,760000,13.51,3430.22,-256.2259216308594
27.8599,153,153,1172.02,765000,23.2235,2896.93,-700.2880249023438
24.5716,154,154,3391.9,770000,12.0816,3364.47,-159.13075256347656
24.5992,155,155,2831.53,775000,12.6428,3291.21,-242.98570251464844
25.7559,156,156,2625.63,780000,13.6937,3430.26,-382.24993896484375
24.3064,157,157,3042.49,785000,11.8191,3425.9,-222.35304260253906
25.6238,158,158,3086.58,790000,16.7849,3440.54,-294.4941101074219
24.5108,159,159,3142.43,795000,11.7667,3373.42,-191.498046875
25.2392,160,160,2883.18,800000,17.5131,3414.33,-261.006591796875
25.9017,161,161,2203.95,805000,14.9969,3103.71,-520.1975708007812
27.2974,162,162,2053.46,810000,19.6966,2354.12,-662.5875244140625
25.9932,163,163,1729.06,815000,24.1303,3243.91,-600.737548828125
27.5566,164,164,1873.06,820000,31.6371,1567.1,-731.2694091796875
26.773,165,165,2331.11,825000,18.1214,3403.68,-535.7628173828125
24.9513,166,166,3254.36,830000,12.8786,3418.38,-267.01873779296875
26.907,167,167,1406.16,835000,24.4004,2277.92,-791.7401123046875
24.4005,168,168,3146.62,840000,11.9105,3369.18,-171.36495971679688
25.0865,169,169,3276.87,845000,12.0538,3347.37,-214.4397430419922
25.7848,170,170,2380.68,850000,16.0696,3474.17,-506.3104553222656
25.3464,171,171,2654.01,855000,13.731,3416.83,-245.6246337890625
25.3914,172,172,2628.11,860000,12.6479,3380.04,-247.13021850585938
25.9375,173,173,2494.36,865000,13.8609,3365.0,-407.1946105957031
25.9212,174,174,3224.26,870000,15.0966,3349.75,-327.5810852050781
26.5678,175,175,1810.75,875000,14.5493,3464.79,-595.148193359375
27.9373,176,176,1660.5,880000,15.8315,3103.77,-717.45263671875
25.6525,177,177,2482.86,885000,13.2171,3427.9,-526.065185546875
26.3924,178,178,2150.25,890000,18.0857,3246.71,-590.1112670898438
26.0183,179,179,2383.71,895000,14.5733,2171.43,-502.96783447265625
24.1832,180,180,3307.72,900000,12.0949,3274.78,-168.56759643554688
25.0874,181,181,2658.35,905000,12.3062,3343.14,-284.1727600097656
26.7882,182,182,2281.82,910000,22.7965,3368.34,-723.162353515625
25.1199,183,183,2663.49,915000,11.2318,3418.65,-295.4186706542969
26.4665,184,184,2359.76,920000,15.1351,3388.22,-673.66943359375
24.9978,185,185,3008.65,925000,12.3272,3417.18,-173.98953247070312
24.7783,186,186,3372.59,930000,12.7066,3388.45,-262.91131591796875
25.3036,187,187,2609.04,935000,11.0351,3467.02,-340.7199401855469
24.3236,188,188,3256.96,940000,12.5316,3449.99,-184.98098754882812
24.6017,189,189,3308.67,945000,12.5753,3408.37,-175.64785766601562
24.1115,190,190,2965.16,950000,13.4551,3417.99,-290.7477111816406
24.5742,191,191,3297.53,955000,12.4009,3390.7,-293.7203063964844
24.9716,192,192,2457.87,960000,25.752,3466.73,-531.8824462890625
25.4982,193,193,2770.21,965000,21.1135,3397.96,-539.5966796875
27.0966,194,194,1874.34,970000,41.1557,2154.07,-890.3319091796875
24.5496,195,195,2696.88,975000,14.2336,3397.59,-397.4450988769531
26.6896,196,196,2733.06,980000,13.1417,2584.41,-564.447265625
26.0699,197,197,2210.43,985000,19.0702,3409.56,-520.3555908203125
24.9371,198,198,1980.01,990000,22.58,3195.86,-598.3743286132812
27.7039,199,199,1242.91,995000,25.8504,1963.0,-1057.072265625
