Running Update Time,Real Sto Return,Reward Loss,Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps
41,3125.14,-24.946645736694336,41,3151.32,15.7033,24.2646,205000
42,3121.62,1.4132559299468994,42,3149.29,17.0865,24.7036,210000
43,3100.62,-34.55249786376953,43,3154.82,16.5678,25.0361,215000
44,2627.71,-40.295562744140625,44,3173.19,16.0826,23.7884,220000
45,2555.15,-47.6539421081543,45,3167.09,15.7723,23.9512,225000
46,3100.32,-26.127517700195312,46,3127.08,18.3247,25.6202,230000
47,1673.22,-61.565399169921875,47,1300.55,15.102,23.976,235000
48,2222.89,-104.6263656616211,48,3171.86,15.9719,23.6016,240000
49,2637.02,-75.73779296875,49,3165.12,15.5613,23.6687,245000
50,2577.24,-27.650371551513672,50,3160.4,16.4134,23.4208,250000
51,2593.39,-42.585880279541016,51,3138.15,16.3513,24.791,255000
52,2535.15,-144.63339233398438,52,2188.05,16.4542,24.2225,260000
53,2598.99,-110.29376220703125,53,3187.66,16.0918,23.4065,265000
54,3130.39,-47.447235107421875,54,3138.91,17.9808,24.795,270000
55,2638.67,-108.33065795898438,55,3150.8,15.8841,22.4615,275000
56,2068.4,-159.28924560546875,56,2259.84,16.9807,23.8495,280000
57,2046.09,-93.37569427490234,57,3192.79,15.7551,23.4673,285000
58,2307.38,-108.4664535522461,58,3220.78,15.749,23.4982,290000
59,1996.32,-156.4560546875,59,3197.33,16.1212,23.2747,295000
60,2066.99,-120.0958251953125,60,3183.94,15.2077,23.8293,300000
61,2109.51,-162.82447814941406,61,1463.41,16.5639,23.8744,305000
62,2192.17,-121.83374786376953,62,3208.97,16.2772,23.1561,310000
63,2907.33,-66.55807495117188,63,3184.09,16.1518,22.9355,315000
64,2781.39,-94.27916717529297,64,3192.19,14.8255,22.3645,320000
65,3049.79,-93.85823059082031,65,3209.96,15.392,22.8268,325000
66,2957.6,-91.5738754272461,66,3212.83,14.9565,22.6299,330000
67,2828.79,-142.1157684326172,67,3237.86,14.6166,23.0079,335000
68,2290.57,-115.94926452636719,68,3173.51,15.2599,23.0228,340000
69,2575.34,-127.82546997070312,69,3216.9,15.3522,23.0203,345000
70,3209.09,-96.30692291259766,70,3211.96,17.1725,22.9938,350000
71,2985.03,-92.89337921142578,71,3248.78,15.735,23.6345,355000
72,3155.64,-117.04692840576172,72,3172.94,16.2884,22.9778,360000
73,3198.96,-92.5235595703125,73,3189.14,16.1112,23.0582,365000
74,2502.26,-155.4562530517578,74,3149.39,16.0684,22.9771,370000
75,3137.97,-124.43389129638672,75,3185.7,15.6756,22.3619,375000
76,3071.76,-110.58941650390625,76,3214.49,15.9899,22.5876,380000
77,2710.07,-113.50785064697266,77,3182.08,15.458,23.0222,385000
78,3127.43,-140.8896484375,78,3233.59,14.9646,22.0306,390000
79,2672.05,-173.92196655273438,79,3070.41,14.6696,22.0075,395000
80,2990.17,-142.44046020507812,80,3222.13,14.7921,22.1473,400000
81,3178.37,-143.60748291015625,81,3251.72,15.1821,22.2335,405000
82,3193.85,-136.24307250976562,82,3241.35,16.4867,22.8265,410000
83,3097.46,-143.67279052734375,83,3248.32,15.9915,23.1358,415000
84,3247.36,-147.03082275390625,84,3224.5,15.2546,21.7248,420000
85,2850.08,-185.5953369140625,85,3190.55,14.2043,22.0737,425000
86,2802.8,-160.44088745117188,86,3116.58,14.5779,22.7064,430000
87,2917.45,-191.88314819335938,87,3157.62,14.884,21.8505,435000
88,2623.02,-204.60684204101562,88,3095.68,13.8668,22.1478,440000
89,2655.07,-178.05123901367188,89,3220.35,14.504,21.9818,445000
90,2714.35,-219.54025268554688,90,3235.91,15.0196,22.773,450000
91,2641.51,-218.1087646484375,91,2886.03,14.8802,22.1793,455000
92,2989.93,-173.82687377929688,92,3249.59,14.3733,21.6767,460000
93,2209.07,-212.14031982421875,93,3232.56,14.0142,22.597,465000
94,2689.37,-217.25686645507812,94,3294.78,15.0118,21.8432,470000
95,2865.05,-205.07115173339844,95,3220.77,13.9158,21.8696,475000
96,3222.12,-162.84877014160156,96,3268.77,15.4667,22.5123,480000
97,2635.69,-194.8639373779297,97,3264.23,13.8882,21.7595,485000
98,3177.71,-186.32174682617188,98,3252.1,14.5976,22.1508,490000
99,2571.08,-176.13601684570312,99,3232.71,13.615,21.2972,495000
100,3025.75,-186.58297729492188,100,3322.08,13.7332,21.4144,500000
101,2999.73,-201.7228240966797,101,3258.88,13.5881,21.5411,505000
102,2668.97,-215.83056640625,102,3290.77,13.287,21.2669,510000
103,2884.69,-199.70989990234375,103,3230.04,14.2927,21.8489,515000
104,2994.62,-228.02198791503906,104,3297.88,14.2904,21.7205,520000
105,2936.25,-213.0460205078125,105,3114.86,14.2533,21.0161,525000
106,3199.32,-181.9517822265625,106,3242.52,15.0966,20.9388,530000
107,3180.18,-224.84451293945312,107,3298.53,14.6194,21.334,535000
108,3365.62,-214.1725616455078,108,3310.09,14.8225,21.7043,540000
109,3177.6,-218.03060913085938,109,3285.64,14.8045,21.6211,545000
110,2760.72,-236.4318084716797,110,3315.77,14.2627,21.5481,550000
111,2861.99,-257.3481140136719,111,3361.62,15.0869,21.724,555000
112,3208.36,-223.75082397460938,112,3290.74,14.9611,21.6041,560000
113,3282.41,-236.09153747558594,113,3240.69,15.6438,21.2707,565000
114,3286.68,-232.75765991210938,114,3289.05,14.6577,20.8252,570000
115,3151.95,-223.27142333984375,115,3247.23,14.6131,21.4431,575000
116,1963.97,-299.50567626953125,116,1601.23,15.02,22.3533,580000
117,2638.81,-226.73956298828125,117,3258.63,14.4688,21.102,585000
118,3172.41,-233.07728576660156,118,3286.6,14.4453,20.881,590000
119,3154.85,-236.87660217285156,119,3276.6,14.0941,21.0056,595000
120,3247.9,-229.27191162109375,120,3293.32,14.2735,20.8046,600000
121,3311.52,-230.0861358642578,121,3290.85,14.2538,21.3639,605000
122,2804.63,-285.7862243652344,122,3264.4,15.4226,22.7398,610000
123,3229.56,-245.03150939941406,123,3221.9,14.676,20.4745,615000
124,2646.08,-287.23699951171875,124,3293.37,14.6577,21.4867,620000
125,2890.2,-300.30291748046875,125,3296.41,14.0957,21.608,625000
126,3175.53,-268.07904052734375,126,3292.45,14.8292,21.3363,630000
127,3003.23,-264.0921630859375,127,3393.77,13.7644,21.0945,635000
128,3275.0,-260.93988037109375,128,3291.86,13.6149,20.6362,640000
129,2681.53,-327.52874755859375,129,3303.54,15.8465,22.0873,645000
130,3198.25,-296.6482849121094,130,3321.6,14.3182,21.5597,650000
131,2520.87,-333.5412902832031,131,2842.55,14.8112,21.8654,655000
132,2102.66,-362.3255615234375,132,1629.19,15.7959,22.8108,660000
133,2997.16,-313.8556213378906,133,3351.0,14.0335,21.2705,665000
134,2305.39,-348.70269775390625,134,2829.29,15.3369,22.4795,670000
135,2966.08,-341.9277648925781,135,3372.45,14.6229,22.2716,675000
136,3125.23,-282.2232971191406,136,3310.11,14.1559,21.078,680000
137,2576.92,-351.9169616699219,137,2644.12,15.3066,22.0235,685000
138,2100.03,-379.43328857421875,138,1819.18,16.6931,22.7132,690000
139,3012.01,-323.5931396484375,139,3361.53,14.1882,21.3944,695000
140,2840.45,-316.78973388671875,140,3341.47,13.3048,21.0287,700000
141,2239.43,-374.6076354980469,141,2898.46,16.0825,21.783,705000
142,3053.79,-329.48846435546875,142,3331.94,13.8215,20.555,710000
143,2844.75,-341.1915588378906,143,3322.61,13.593,21.1193,715000
144,2857.1,-383.5822448730469,144,3363.2,15.1063,21.7663,720000
145,3252.77,-345.76416015625,145,3342.93,14.0432,20.816,725000
146,2947.45,-348.7558898925781,146,3373.37,13.7732,20.7261,730000
147,2745.33,-376.9229431152344,147,3224.14,15.5538,21.8013,735000
148,2459.76,-390.0269470214844,148,2462.69,15.1132,22.1602,740000
149,2378.12,-420.8179931640625,149,1890.53,16.3528,22.2059,745000
150,2897.42,-389.9319152832031,150,2698.58,15.0217,21.9612,750000
151,2752.54,-416.4339294433594,151,3133.42,14.5106,22.6734,755000
152,2483.78,-395.2354431152344,152,2997.34,16.6013,21.4811,760000
153,2350.35,-397.2549133300781,153,3319.46,14.916,22.0468,765000
154,2605.53,-425.64404296875,154,2680.25,17.2554,22.1493,770000
155,2518.11,-392.18035888671875,155,3382.6,15.3324,21.9284,775000
156,2784.6,-400.8603210449219,156,3427.72,14.7926,21.8886,780000
157,3042.7,-415.390380859375,157,3406.35,14.615,21.5345,785000
158,2567.37,-420.72222900390625,158,2535.63,14.7825,21.5163,790000
159,1798.77,-458.6824645996094,159,1563.89,18.0401,22.2719,795000
160,2380.35,-438.1548156738281,160,2958.79,14.7193,21.3479,800000
161,2489.45,-450.566162109375,161,2072.05,14.9442,22.0775,805000
162,2104.37,-471.27197265625,162,1898.44,16.3485,22.112,810000
163,2026.6,-471.3109130859375,163,1629.49,14.396,23.1642,815000
164,2054.02,-488.5303649902344,164,3294.92,15.4356,22.4196,820000
165,1855.79,-470.0964050292969,165,3240.28,12.238,23.2122,825000
166,2563.56,-461.25628662109375,166,2270.02,12.4706,21.9147,830000
167,2370.1,-461.1510925292969,167,3208.37,12.1776,22.1096,835000
168,2114.83,-496.0301208496094,168,2595.34,12.1849,22.5019,840000
169,2294.53,-485.8101501464844,169,2819.03,12.5009,22.424,845000
170,2325.53,-490.8835144042969,170,2569.65,11.6947,22.0323,850000
171,2670.14,-479.4468994140625,171,2366.63,11.9085,22.1962,855000
172,1854.7,-499.83270263671875,172,1832.63,12.8434,22.4136,860000
173,2197.07,-441.0198669433594,173,3054.88,13.1278,21.4092,865000
174,2183.81,-527.9236450195312,174,2234.69,21.121,22.838,870000
175,1821.95,-507.7698974609375,175,2895.88,15.0173,21.7512,875000
176,2229.28,-512.6301879882812,176,2324.02,15.5094,21.4521,880000
177,2241.55,-522.8191528320312,177,2027.07,14.2667,22.0866,885000
178,1947.6,-541.7383422851562,178,1508.87,13.929,21.8615,890000
179,2845.32,-541.0888671875,179,2844.61,13.6396,21.9587,895000
180,2614.1,-502.6918640136719,180,3431.73,13.4723,21.6264,900000
181,1947.34,-603.2123413085938,181,2125.6,12.7903,22.2136,905000
182,2955.96,-537.2799072265625,182,3453.85,14.1471,21.8466,910000
183,2274.79,-582.1658325195312,183,3349.9,12.7522,21.844,915000
184,1986.28,-638.5272827148438,184,1925.51,12.3014,22.5615,920000
185,1613.62,-638.1729125976562,185,2388.87,13.648,22.4768,925000
186,2649.14,-472.4468078613281,186,3409.55,12.3961,19.9295,930000
187,2106.66,-654.239990234375,187,1707.67,12.0845,22.9371,935000
188,2111.92,-620.8228759765625,188,3330.59,11.9051,22.1776,940000
189,2376.98,-601.19091796875,189,3458.05,15.4519,21.5157,945000
190,2600.93,-564.7090454101562,190,3364.93,11.9295,20.9487,950000
191,2538.05,-558.5615234375,191,3441.15,12.6309,21.962,955000
192,2558.37,-581.417236328125,192,3460.76,12.1806,21.2737,960000
193,2954.86,-493.0445861816406,193,3413.52,13.9346,20.8334,965000
194,2825.13,-520.6365356445312,194,3472.54,12.2956,20.9274,970000
195,3388.93,-467.47015380859375,195,3364.58,13.7662,20.1549,975000
196,2500.6,-636.4625244140625,196,2992.56,12.8938,21.813,980000
197,2432.44,-596.894775390625,197,3573.27,13.021,21.8232,985000
198,2512.2,-616.7520141601562,198,3017.06,12.3714,20.959,990000
199,2577.56,-673.533447265625,199,3473.53,12.7412,22.3716,995000
