Running Env Steps,Reward Loss,Running Update Time,Real Sto Return,Running Forward KL,Itration,Real Det Return,Running Reverse KL
290000,-1553.093017578125,58,317.89,28.6886,58,317.07,54.5603
295000,-971.9215698242188,59,1009.47,25.3646,59,1149.9,27.3709
300000,-2650.771728515625,60,268.74,30.8293,60,247.89,174.1509
305000,-2854.901611328125,61,174.01,33.2278,61,174.18,186.0378
310000,-2687.1611328125,62,247.41,31.1149,62,217.61,97.2978
315000,-2772.068115234375,63,199.12,30.34,63,197.63,109.9669
320000,-1078.988525390625,64,138.73,28.9649,64,143.08,20.1963
325000,-2201.552490234375,65,175.54,31.0088,65,175.59,34.6743
330000,-1645.529052734375,66,357.43,30.1297,66,353.58,28.2241
335000,-2976.638916015625,67,325.96,30.717,67,333.91,141.5523
340000,-3005.52734375,68,369.62,29.8968,68,359.89,144.7038
345000,-2972.5341796875,69,336.24,29.6184,69,380.28,164.222
350000,-3031.8408203125,70,456.85,29.6923,70,402.54,160.4629
355000,-3321.419677734375,71,307.43,29.3813,71,325.05,172.2662
360000,-3226.9228515625,72,382.5,29.859,72,423.26,156.6173
365000,-1722.5521240234375,73,1483.08,28.9971,73,1569.14,26.0581
370000,-2013.9251708984375,74,894.13,28.5782,74,699.91,40.8098
375000,-1983.26416015625,75,1006.27,31.2002,75,765.84,38.0412
380000,-1936.6875,76,467.12,31.6483,76,573.6,17.1756
385000,-978.310546875,77,689.67,29.4636,77,621.93,14.157
390000,-1890.724609375,78,472.9,29.2965,78,428.32,64.0471
395000,-2663.75830078125,79,556.4,29.7728,79,590.3,130.1811
400000,-2797.236328125,80,255.52,29.4858,80,276.87,124.2386
405000,-1077.9130859375,81,612.4,27.9567,81,598.14,19.7958
410000,-1794.0238037109375,82,1109.22,28.1258,82,1316.79,29.1438
415000,-1546.768798828125,83,1402.68,27.6496,83,1398.48,13.7936
420000,-1486.181640625,84,1762.42,29.8002,84,1574.46,22.7037
425000,-2340.359130859375,85,806.39,33.1841,85,804.53,18.3769
430000,-1594.7431640625,86,1332.15,27.5656,86,1502.42,18.1471
435000,-2124.18408203125,87,961.94,26.5711,87,976.67,33.7829
440000,-1744.3699951171875,88,1387.88,26.8892,88,1502.76,25.2907
445000,-1383.9849853515625,89,1355.5,27.809,89,1296.42,16.1506
450000,-2079.1142578125,90,881.89,26.3743,90,1137.73,35.5878
455000,-1783.5501708984375,91,1779.48,26.7088,91,1773.19,15.7133
460000,-2420.830810546875,92,1486.45,27.5637,92,1476.79,22.3218
465000,-2367.58251953125,93,826.37,31.0967,93,826.17,19.8571
470000,-1697.2327880859375,94,1784.03,29.119,94,1823.09,16.5827
475000,-2039.17529296875,95,1134.42,28.4634,95,1189.11,34.6598
480000,-2926.656005859375,96,980.69,30.1438,96,1007.34,16.352
485000,-3669.328369140625,97,965.63,37.3535,97,965.27,48.2119
490000,-3566.645263671875,98,977.32,36.8112,98,977.0,27.4949
495000,-3452.7099609375,99,978.71,36.3985,99,978.72,26.5442
500000,-1722.4248046875,100,1172.4,28.0275,100,965.85,33.7943
505000,-3818.952880859375,101,831.43,28.6283,101,853.76,136.346
510000,-1529.53515625,102,1326.16,26.0166,102,1256.57,22.0245
515000,-1599.62744140625,103,897.51,28.5211,103,1125.38,13.6106
520000,-1429.635009765625,104,509.01,29.2443,104,669.37,15.4779
525000,-1156.0882568359375,105,823.52,27.801,105,1101.67,14.1356
530000,-1736.5384521484375,106,1263.42,28.2754,106,1152.51,15.1785
535000,-2166.8037109375,107,955.46,27.6061,107,902.85,20.5241
540000,-1945.5548095703125,108,1202.4,24.935,108,1264.57,23.2942
545000,-2157.857666015625,109,1044.03,26.7645,109,1157.72,19.0427
550000,-2090.09375,110,1158.03,26.7737,110,1241.14,23.9197
555000,-1847.608642578125,111,1330.07,28.4348,111,1408.54,15.1938
560000,-1712.518798828125,112,1425.6,27.548,112,1628.98,17.6106
565000,-1647.729736328125,113,1789.36,29.294,113,1822.09,20.4537
570000,-2096.572021484375,114,848.64,28.6198,114,1162.84,15.844
575000,-2109.978271484375,115,921.25,32.8968,115,890.81,19.9186
580000,-2817.709716796875,116,903.94,32.8705,116,912.54,18.6556
585000,-1664.583984375,117,1333.19,27.3294,117,1243.33,12.3113
590000,-3236.785400390625,118,903.65,25.1643,118,723.05,83.3403
595000,-1433.9365234375,119,1576.18,26.9924,119,1484.03,12.8163
600000,-1446.4390869140625,120,1460.0,25.9472,120,1427.37,26.0807
605000,-2186.453857421875,121,890.64,28.669,121,918.67,24.6476
610000,-1532.06103515625,122,1056.43,26.1984,122,1297.96,25.1681
615000,-1027.298583984375,123,1904.08,23.6623,123,2227.84,12.9109
620000,-2053.933349609375,124,1197.09,25.9915,124,1084.5,15.4148
625000,-313.58251953125,125,920.91,26.4925,125,769.13,14.4803
630000,-1131.346435546875,126,1848.62,24.579,126,1754.97,11.7736
635000,-2088.966064453125,127,746.84,28.1856,127,748.72,16.2582
640000,-2358.477783203125,128,1906.9,27.6661,128,1789.19,25.2371
645000,-1847.594482421875,129,1901.86,26.9529,129,1911.15,13.9712
650000,-3472.1689453125,130,508.42,29.0558,130,596.17,52.8962
655000,-2183.212158203125,131,924.5,31.7197,131,958.34,17.7229
660000,-4693.80712890625,132,389.22,33.6406,132,406.91,82.6387
665000,-1463.5565185546875,133,2013.57,25.3667,133,1813.52,13.3774
670000,-3871.500244140625,134,987.56,27.4267,134,1224.47,83.7911
675000,-1909.0611572265625,135,1899.93,24.7343,135,1879.1,11.6862
680000,-2183.30908203125,136,2120.63,24.7257,136,1883.42,25.7695
685000,-1915.1676025390625,137,1894.23,23.2158,137,1955.86,11.794
690000,-1918.8050537109375,138,1930.0,24.3305,138,2054.49,13.6184
695000,-2056.77734375,139,2107.26,26.3155,139,2023.46,14.2367
700000,-2438.2080078125,140,1869.32,27.8648,140,1766.17,15.6311
705000,-3857.607421875,141,724.11,29.2342,141,712.47,44.498
710000,-4042.537841796875,142,1152.14,26.6147,142,1293.59,40.2199
715000,-2456.245361328125,143,1550.82,25.4991,143,1684.13,27.4526
720000,-4612.11572265625,144,729.07,29.2706,144,569.48,89.5133
725000,-3337.822509765625,145,1219.72,23.9053,145,1179.1,53.2525
730000,-2479.296142578125,146,991.32,23.8473,146,1080.74,24.1912
735000,-2251.307861328125,147,902.63,26.7771,147,961.19,13.9672
740000,-3368.493896484375,148,694.49,26.1941,148,755.53,63.5751
745000,-2196.240966796875,149,839.36,26.2768,149,1067.22,18.056
750000,-2875.6455078125,150,956.61,23.6573,150,707.78,26.309
755000,-1663.0767822265625,151,1313.84,23.0557,151,1552.22,18.7605
760000,-1675.6815185546875,152,1608.06,22.4117,152,1696.76,11.9824
765000,-2180.685546875,153,723.18,25.4079,153,585.69,15.8172
770000,-1891.79052734375,154,565.39,25.9613,154,631.42,13.7303
775000,-2291.861083984375,155,1749.1,25.1342,155,1398.52,19.2985
780000,-3332.995849609375,156,820.83,25.362,156,926.72,24.3964
785000,-1938.483642578125,157,1489.66,25.1812,157,1438.9,13.4545
790000,-2357.27392578125,158,1492.55,25.7589,158,1921.43,17.3028
795000,-2636.631103515625,159,938.94,25.7057,159,978.69,30.0671
800000,-1987.2139892578125,160,1336.85,25.4315,160,1195.47,14.5973
805000,-1971.6690673828125,161,1651.36,24.6744,161,1838.95,11.4054
810000,-2077.000244140625,162,1905.66,25.0633,162,1756.2,11.5634
815000,-2433.26806640625,163,1840.63,25.7034,163,1713.81,12.1926
820000,-2565.813232421875,164,1563.17,26.8952,164,1719.06,13.0914
825000,-2361.412841796875,165,1559.69,26.1418,165,1699.84,14.6266
830000,-2527.990966796875,166,1720.99,25.2186,166,1821.88,11.542
835000,-2916.072021484375,167,1679.54,25.3193,167,1680.03,13.5585
840000,-2611.558349609375,168,894.12,25.3311,168,945.8,12.2295
845000,-2282.51611328125,169,492.14,26.7716,169,520.29,13.3542
850000,-2943.26708984375,170,190.4,26.6562,170,461.6,13.9245
855000,-2669.4345703125,171,790.75,26.78,171,827.85,28.8022
860000,-2436.326171875,172,572.39,26.7577,172,820.84,12.9457
865000,-2518.451416015625,173,762.93,27.0527,173,771.14,22.8292
870000,-2653.672607421875,174,549.86,27.399,174,574.03,13.9996
875000,-5077.20166015625,175,601.68,27.7373,175,828.24,43.954
880000,-3914.861083984375,176,251.78,27.1211,176,237.23,48.1874
885000,-5062.435546875,177,307.26,30.1122,177,283.34,122.3192
890000,-5055.16357421875,178,264.66,29.7301,178,265.42,96.5379
895000,-3796.2529296875,179,333.16,27.1489,179,610.4,26.4924
900000,-4492.7861328125,180,254.26,29.0945,180,340.87,36.3879
905000,-5232.60205078125,181,92.66,30.9819,181,144.46,30.5447
910000,-4702.576171875,182,238.05,27.788,182,162.39,34.9944
915000,-6072.66064453125,183,18.13,30.8452,183,15.98,67.7999
920000,-4362.58544921875,184,868.56,26.9941,184,685.76,13.9659
925000,-8130.298828125,185,159.58,36.2112,185,175.12,134.9724
930000,-5290.767578125,186,256.68,35.6468,186,236.41,40.1956
935000,-4255.4765625,187,858.42,31.9693,187,796.71,16.495
940000,-5471.3525390625,188,390.94,30.3004,188,385.64,17.0009
945000,-3612.642578125,189,739.76,28.4121,189,917.63,13.3591
950000,-5156.32080078125,190,469.31,32.2033,190,487.85,20.5896
955000,-5350.337890625,191,525.05,30.7536,191,591.77,25.2727
960000,-5620.474609375,192,373.49,29.8346,192,485.54,16.3635
965000,-5731.63427734375,193,199.2,30.1848,193,239.58,22.194
970000,-3841.8837890625,194,804.64,24.6602,194,690.38,14.5892
975000,-5584.224609375,195,511.51,28.009,195,426.63,14.4273
980000,-5551.48095703125,196,396.34,26.9584,196,423.21,15.1288
985000,-4949.1142578125,197,741.18,24.5909,197,628.26,16.142
990000,-5741.10302734375,198,555.04,26.7665,198,521.15,165.8387
995000,-3954.681884765625,199,978.39,25.8991,199,1053.7,12.8178
