Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Itration
36.2754,1060.67,27.6724,340000,-2955.581298828125,1060.64,68,68
36.0637,1074.07,31.0075,345000,-2971.7548828125,1074.69,69,69
34.3441,1062.85,33.6961,350000,-2925.39111328125,1063.29,70,70
34.432,1049.96,33.4964,355000,-2973.704833984375,1050.92,71,71
36.4599,1052.33,31.9833,360000,-3205.239013671875,1050.82,72,72
35.1445,82.59,63.8387,365000,-2997.556396484375,81.88,73,73
35.936,13.41,216.5265,370000,-3245.308349609375,13.6,74,74
38.0604,-2.34,195.4111,375000,-1781.3226318359375,-2.49,75,75
35.7321,37.88,219.0238,380000,-3361.419921875,37.88,76,76
33.8815,68.03,43.7842,385000,-3283.30810546875,67.43,77,77
32.4166,120.71,38.5334,390000,-3011.185791015625,129.13,78,78
30.1999,211.36,20.2115,395000,-1812.7845458984375,227.32,79,79
31.6858,228.69,77.5566,400000,-2484.322021484375,237.09,80,80
30.5577,282.1,45.6949,405000,-2162.10107421875,320.24,81,81
31.8937,165.81,105.3811,410000,-2219.863037109375,187.07,82,82
30.7931,68.74,50.1808,415000,-2251.6123046875,72.61,83,83
36.5971,209.03,25.0227,420000,-3654.169677734375,126.8,84,84
36.3872,78.51,25.2614,425000,-3694.982421875,46.4,85,85
37.2883,66.3,25.1252,430000,-3815.812744140625,41.63,86,86
36.3547,991.4,28.7251,435000,-3721.732421875,990.67,87,87
34.2431,1004.83,19.8725,440000,-3426.917724609375,1006.07,88,88
34.1141,957.02,21.0856,445000,-3374.96044921875,950.99,89,89
34.3257,996.91,20.8183,450000,-3663.145751953125,995.56,90,90
34.257,989.43,20.4759,455000,-3623.7958984375,982.63,91,91
33.8505,962.58,18.6398,460000,-3373.41650390625,957.28,92,92
33.3125,967.05,19.1121,465000,-3325.9091796875,962.68,93,93
34.4393,1021.84,22.0214,470000,-4001.825927734375,1021.57,94,94
32.5822,934.35,33.1486,475000,-3994.86962890625,940.08,95,95
35.3708,1053.97,28.3537,480000,-4253.43994140625,1053.62,96,96
36.3877,1061.6,30.4523,485000,-4456.86865234375,1063.55,97,97
36.1489,1059.84,29.9484,490000,-4477.29296875,1058.56,98,98
35.4532,1063.78,28.4708,495000,-4496.47412109375,1062.79,99,99
33.3743,1056.96,25.598,500000,-4490.0361328125,1056.67,100,100
34.4565,1057.02,26.0893,505000,-4563.30029296875,1058.36,101,101
33.3363,1019.67,24.6335,510000,-4596.4013671875,1019.26,102,102
35.7091,1052.86,26.7918,515000,-4816.45361328125,1051.44,103,103
33.2999,951.64,52.4756,520000,-4700.36767578125,1008.4,104,104
32.3769,408.07,39.3475,525000,-4064.6875,479.34,105,105
32.0607,312.28,84.043,530000,-3625.41259765625,311.94,106,106
32.0576,326.21,115.4194,535000,-3605.74267578125,338.68,107,107
32.6436,389.4,141.1099,540000,-3698.952392578125,397.59,108,108
35.5344,976.46,38.7151,545000,-4946.6962890625,977.34,109,109
37.8244,977.48,42.3585,550000,-5023.76318359375,979.26,110,110
37.8039,980.52,35.8926,555000,-5041.109375,981.59,111,111
36.2853,989.7,24.4739,560000,-4951.50341796875,984.42,112,112
