Running Update Time,Real Sto Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Itration
58,1646.83,290000,199.5097,357.286,1688.19,-9862.794921875,58
59,1151.17,295000,245.8708,366.3157,1372.77,-10828.068359375,59
60,1185.17,300000,237.1544,361.1482,839.11,-10226.7412109375,60
61,1194.29,305000,220.089,364.7081,1139.33,-10369.5361328125,61
62,1057.26,310000,218.4225,374.9174,1115.94,-12249.75390625,62
63,1381.06,315000,223.5162,371.8843,835.39,-11097.166015625,63
64,1575.91,320000,250.3545,377.9974,1216.69,-10495.544921875,64
65,3320.09,325000,179.4633,351.3591,2485.23,-8045.06005859375,65
66,2717.21,330000,184.7327,349.863,1328.97,-9574.810546875,66
67,2405.99,335000,204.1162,358.7852,1054.18,-10153.8662109375,67
68,3406.78,340000,190.5119,351.0905,1702.27,-9086.59765625,68
69,2353.35,345000,166.0219,346.52,1236.38,-8482.841796875,69
70,1982.49,350000,180.7733,353.0223,1131.93,-8218.033203125,70
71,2648.37,355000,183.0423,345.2548,2267.21,-9955.6748046875,71
72,2196.91,360000,197.1247,357.0287,1034.34,-9727.306640625,72
73,3667.31,365000,169.9875,351.6945,2122.75,-7634.8515625,73
74,3519.87,370000,166.6187,343.5929,3038.13,-6273.49560546875,74
75,3540.74,375000,163.6253,344.9081,1627.12,-6956.5517578125,75
76,3309.56,380000,152.7783,342.1985,1713.51,-7018.97265625,76
77,3858.04,385000,164.6027,348.9403,1788.79,-7551.19287109375,77
78,3728.29,390000,145.7381,340.6873,1614.53,-7028.6396484375,78
79,4472.83,395000,148.6651,347.1607,4703.01,-5691.37109375,79
80,3713.89,400000,141.1785,342.8027,3463.34,-4479.787109375,80
81,3803.46,405000,147.0439,341.1569,3691.26,-6266.9990234375,81
82,3960.65,410000,157.4779,341.5287,4674.32,-5406.443359375,82
83,4110.11,415000,148.2078,342.2539,4215.55,-6323.95263671875,83
84,3768.69,420000,153.9318,343.7898,4311.63,-5815.71826171875,84
85,3741.71,425000,150.8569,344.3855,3756.5,-4972.779296875,85
86,3709.67,430000,162.24,345.9878,4449.16,-6923.04833984375,86
87,2918.89,435000,153.0687,344.1973,1971.05,-7716.67138671875,87
88,3720.37,440000,168.8514,349.6236,4389.6,-6322.41943359375,88
89,4383.21,445000,151.3748,343.1978,4725.57,-6330.21875,89
90,3769.6,450000,157.54,346.1942,3810.81,-7705.59130859375,90
91,4354.34,455000,152.9414,338.9535,3305.65,-8422.2529296875,91
92,4089.43,460000,160.0715,343.4165,1937.15,-7555.92333984375,92
93,4184.01,465000,163.792,348.895,4035.71,-6964.33837890625,93
94,3670.78,470000,141.6974,338.3846,4128.36,-6851.33056640625,94
95,2830.4,475000,155.2791,338.619,2960.12,-9799.4482421875,95
96,3748.47,480000,142.5823,337.5918,2175.76,-7691.36083984375,96
97,4253.23,485000,132.0138,330.9137,4324.23,-7853.89892578125,97
98,4070.08,490000,144.9087,336.185,2808.04,-8870.322265625,98
99,3220.29,495000,156.2342,339.2341,2599.81,-10122.2138671875,99
100,2588.13,500000,147.8983,335.9331,3115.26,-9563.619140625,100
101,2843.94,505000,176.1847,346.5081,3214.64,-10885.892578125,101
102,4475.09,510000,142.6074,333.3738,4210.84,-7253.90966796875,102
103,4592.35,515000,146.461,332.4529,4665.67,-7938.181640625,103
104,4617.45,520000,150.0264,335.2738,4729.27,-7819.69189453125,104
105,4377.16,525000,144.7339,330.5783,4649.95,-8756.8095703125,105
106,4432.27,530000,135.9005,326.1575,4776.74,-7891.4365234375,106
107,4655.72,535000,144.4569,330.4314,4685.76,-8360.947265625,107
108,4418.29,540000,160.222,341.6979,4648.68,-8890.2626953125,108
109,4432.31,545000,157.6003,340.6843,4676.16,-9257.419921875,109
110,4482.12,550000,160.1472,343.9942,4521.22,-8952.376953125,110
111,4153.63,555000,153.0042,338.8007,4396.87,-8666.587890625,111
112,4579.87,560000,141.0568,328.4803,4245.69,-8734.724609375,112
113,4576.92,565000,160.4603,339.1694,4193.38,-8625.087890625,113
114,4355.73,570000,149.9757,336.8012,4493.19,-8964.345703125,114
115,4520.7,575000,161.704,340.8001,4570.91,-8825.208984375,115
116,4725.23,580000,133.5189,327.8394,4265.07,-8971.130859375,116
117,4297.49,585000,162.44,344.3711,4561.45,-10030.255859375,117
118,4559.63,590000,139.7139,335.1237,4483.39,-9029.7705078125,118
119,4577.92,595000,156.5907,337.8805,3198.74,-9449.75,119
120,4533.02,600000,151.5549,338.0484,4564.7,-9480.9345703125,120
121,4349.46,605000,139.9964,335.2054,4585.16,-9655.865234375,121
122,4546.02,610000,147.6999,332.335,4611.63,-10011.4580078125,122
123,4357.86,615000,152.7676,335.5887,4533.96,-9896.708984375,123
124,4375.37,620000,143.7002,332.3488,4559.46,-9935.9677734375,124
125,4559.82,625000,147.3601,336.0561,4540.4,-10110.927734375,125
126,4217.52,630000,152.8528,342.6188,2750.93,-10621.1396484375,126
127,4454.55,635000,158.1948,340.2866,4492.14,-10599.24609375,127
128,4366.44,640000,149.0438,339.9448,4553.04,-10949.048828125,128
129,4488.01,645000,126.218,322.2487,4750.93,-9739.4345703125,129
130,4475.48,650000,138.4616,333.9198,4561.78,-10970.25,130
131,4334.26,655000,144.904,339.0526,4502.4,-11354.333984375,131
132,3987.74,660000,146.182,333.9923,4696.56,-11050.19140625,132
133,3987.48,665000,137.995,325.0841,4482.41,-10846.43359375,133
134,4135.07,670000,142.3737,329.304,4628.18,-11223.291015625,134
135,4084.25,675000,133.9923,333.3546,4704.57,-11149.80859375,135
136,4501.03,680000,158.2386,338.9149,4435.93,-12040.7412109375,136
137,4406.87,685000,130.2317,320.7283,4877.42,-10396.2802734375,137
138,4232.04,690000,134.43,328.9017,2996.4,-11265.681640625,138
139,4436.78,695000,146.8521,336.5299,4739.63,-11893.6748046875,139
140,4511.13,700000,142.1993,332.0303,4570.07,-11612.8466796875,140
141,4579.83,705000,150.8004,336.608,4465.33,-12207.0078125,141
142,4487.86,710000,129.2431,326.0745,4672.66,-11541.912109375,142
143,4415.84,715000,135.362,331.2811,4596.42,-11996.9638671875,143
144,4533.52,720000,138.731,330.3273,4791.85,-12115.7451171875,144
145,4584.99,725000,126.6204,329.289,4549.44,-11767.9443359375,145
146,4582.62,730000,136.05,324.5987,4524.7,-12072.9736328125,146
147,4609.38,735000,129.6825,329.9268,4362.03,-12384.0654296875,147
148,4275.52,740000,150.1409,340.4332,4616.76,-13057.380859375,148
149,4298.9,745000,156.3865,340.9022,4595.25,-13296.794921875,149
150,2570.96,750000,174.9417,353.5581,1511.39,-14054.6923828125,150
151,3308.13,755000,149.2918,340.2087,2006.55,-13195.5703125,151
152,3277.93,760000,198.5225,366.5558,2958.97,-15648.9111328125,152
153,4653.52,765000,124.5317,317.1868,3845.75,-12713.31640625,153
154,4638.38,770000,153.4101,335.2814,4604.68,-13478.6943359375,154
155,4658.85,775000,143.5116,332.0862,4708.23,-13452.4189453125,155
156,4584.98,780000,133.4037,320.9204,4742.35,-13207.6494140625,156
157,4847.36,785000,120.7173,315.1309,4895.64,-12476.263671875,157
158,4648.58,790000,125.5551,317.3963,4974.8,-12817.615234375,158
159,4881.18,795000,122.4461,310.684,4993.07,-12707.74609375,159
160,4730.28,800000,131.2743,322.7149,4756.25,-13591.5400390625,160
161,4895.94,805000,122.3726,320.5772,4952.02,-12718.8291015625,161
162,4739.35,810000,133.4873,331.268,4882.12,-14123.5869140625,162
163,4803.97,815000,108.0078,311.6852,4947.02,-12142.810546875,163
164,4589.37,820000,134.5775,330.6005,4736.27,-14356.4189453125,164
165,4703.82,825000,124.1696,320.8206,4539.12,-13471.166015625,165
166,4672.72,830000,134.3164,326.0199,4806.63,-14316.7041015625,166
167,4519.01,835000,163.1985,337.0863,4791.71,-15226.630859375,167
168,4561.89,840000,152.0745,332.0401,4652.93,-15033.712890625,168
169,4560.24,845000,145.3555,329.656,2538.21,-14726.7802734375,169
170,4161.47,850000,146.205,332.2065,4723.39,-15073.48046875,170
171,4491.74,855000,157.0279,343.6159,4532.19,-15156.6787109375,171
172,3939.91,860000,187.2838,349.2709,4481.27,-15606.6396484375,172
173,4506.01,865000,156.1675,338.5706,4585.0,-15213.955078125,173
174,4582.04,870000,136.6594,327.369,4723.32,-15023.103515625,174
175,4390.77,875000,155.8917,333.3087,4564.81,-15588.583984375,175
176,4566.03,880000,137.7787,330.7011,4411.26,-15411.3232421875,176
177,4659.12,885000,136.1455,319.7589,4807.97,-15450.4814453125,177
178,4742.78,890000,110.1272,312.559,4702.66,-14273.908203125,178
179,4547.65,895000,112.6689,311.6034,4962.52,-14113.9599609375,179
180,4761.18,900000,122.0517,324.7138,4729.25,-15040.9716796875,180
181,4587.11,905000,154.6208,340.2306,4636.65,-16014.81640625,181
182,4608.21,910000,144.9479,331.7949,4715.28,-15662.724609375,182
183,4547.49,915000,158.2258,344.8542,4086.19,-16359.8916015625,183
184,4764.34,920000,114.077,314.9533,4668.94,-14873.0986328125,184
185,4649.68,925000,111.5559,310.4488,4575.43,-14519.5869140625,185
186,4575.04,930000,145.0833,331.5773,4646.92,-15445.703125,186
187,4678.71,935000,143.0602,330.9957,4619.77,-15556.97265625,187
188,4579.65,940000,143.6698,332.6761,4633.41,-16071.6015625,188
189,4370.24,945000,158.0537,342.154,4633.61,-16423.787109375,189
190,4426.76,950000,111.5447,312.4911,4626.61,-14554.3564453125,190
191,4572.74,955000,122.7662,324.2522,4791.13,-15491.9443359375,191
192,3782.9,960000,157.394,344.6921,4546.18,-16370.8076171875,192
193,4391.14,965000,127.2345,318.601,4408.43,-15442.5029296875,193
194,4349.75,970000,151.5174,332.5852,4589.5,-16613.3828125,194
195,4322.47,975000,150.8934,335.5259,4551.46,-16264.4140625,195
196,4182.62,980000,134.197,325.2187,4551.01,-15934.9208984375,196
197,4398.81,985000,125.6768,322.2895,4634.83,-15866.6796875,197
198,4364.6,990000,147.5437,336.7789,4691.99,-16538.205078125,198
199,4236.8,995000,137.705,337.356,3233.63,-16479.84765625,199
200,4657.77,1000000,111.9743,314.1874,4570.35,-15321.4052734375,200
201,4583.2,1005000,133.0859,324.7904,4601.1,-16323.3486328125,201
202,4647.97,1010000,138.3333,324.3834,4659.61,-16454.89453125,202
203,4698.58,1015000,133.9792,321.6418,4626.26,-16209.302734375,203
204,4324.61,1020000,146.6475,330.2146,4590.07,-16859.333984375,204
205,4623.76,1025000,149.353,331.735,4705.18,-16904.076171875,205
206,4700.49,1030000,144.1917,331.5472,4624.34,-16555.423828125,206
207,4530.6,1035000,154.1269,335.0247,4565.62,-16864.828125,207
208,4330.68,1040000,157.3948,343.0215,4566.39,-17196.732421875,208
209,4770.49,1045000,132.5346,322.734,4612.06,-16359.443359375,209
210,4487.65,1050000,172.654,349.8622,4520.75,-17488.76171875,210
211,4254.25,1055000,160.758,337.8853,4519.48,-17037.8828125,211
212,3973.1,1060000,178.2881,352.2825,4533.93,-17625.6484375,212
213,4415.81,1065000,168.5284,351.091,4563.42,-17221.3359375,213
214,4236.77,1070000,176.1965,351.2695,4647.34,-17223.28515625,214
215,4256.24,1075000,166.5332,343.0377,4710.83,-17357.861328125,215
216,4481.91,1080000,174.7886,349.8131,4473.66,-17217.796875,216
217,4454.84,1085000,165.436,343.4809,4419.55,-17347.65625,217
218,4421.42,1090000,156.6736,341.1594,4553.03,-17229.125,218
219,4568.43,1095000,154.9297,340.4265,4387.67,-17120.814453125,219
220,4605.48,1100000,134.0933,323.8485,4603.93,-16803.53125,220
221,4573.76,1105000,141.554,327.8094,3939.32,-17002.15234375,221
222,4581.53,1110000,139.5477,331.5864,4585.0,-17158.03125,222
223,4702.18,1115000,128.0196,321.3015,2662.34,-16798.873046875,223
224,4284.15,1120000,137.4895,328.0675,3961.93,-16829.916015625,224
225,489.84,1125000,265.4078,427.7608,750.48,-17093.787109375,225
226,1305.55,1130000,241.3143,383.4109,1366.05,-17459.8359375,226
227,4345.64,1135000,180.5196,351.7422,4160.43,-18164.099609375,227
228,3848.66,1140000,140.6832,340.3166,4473.81,-17416.52734375,228
229,3819.92,1145000,165.3875,353.1829,4578.18,-17644.00390625,229
230,3795.57,1150000,148.5379,328.857,4362.94,-16573.052734375,230
231,4748.73,1155000,143.8804,335.3153,4634.5,-16837.26953125,231
232,3751.13,1160000,160.28,343.2459,4167.41,-16578.892578125,232
233,3759.47,1165000,130.4081,322.5875,4219.21,-16297.2587890625,233
234,4376.75,1170000,151.4058,334.7159,4225.73,-16895.595703125,234
235,3822.89,1175000,129.2906,325.6269,3716.21,-16803.005859375,235
236,4343.03,1180000,138.183,327.3833,4207.14,-17099.47265625,236
237,4403.76,1185000,133.1569,332.8213,3139.31,-17291.7734375,237
238,4451.06,1190000,139.424,311.6177,4617.01,-17072.70703125,238
239,4184.98,1195000,173.5148,335.7392,4622.8,-18134.333984375,239
240,3843.42,1200000,206.9392,346.6855,3353.63,-17510.783203125,240
241,3094.52,1205000,207.1432,320.0562,2937.52,-16729.81640625,241
242,4194.32,1210000,98.3221,299.2139,4816.37,-15442.74609375,242
243,4382.86,1215000,183.8923,344.3234,4617.28,-18330.224609375,243
244,3571.71,1220000,232.9622,368.0456,3496.03,-18278.86328125,244
245,2110.71,1225000,276.3306,388.2939,2208.41,-18047.771484375,245
246,3440.31,1230000,227.8457,375.1858,3631.34,-18531.88671875,246
247,2671.71,1235000,258.9433,379.4254,2133.07,-18449.71484375,247
248,211.98,1240000,322.0345,465.0872,229.32,-17904.837890625,248
249,376.0,1245000,309.2305,442.9028,398.28,-17461.82421875,249
250,345.19,1250000,361.8902,456.1716,351.51,-17426.1484375,250
251,145.86,1255000,352.4025,494.4655,113.28,-17056.048828125,251
252,249.6,1260000,299.9481,449.5269,224.49,-14728.9833984375,252
253,408.39,1265000,355.1057,432.672,340.69,-17054.740234375,253
254,497.42,1270000,286.3982,438.8687,419.01,-16116.212890625,254
255,308.1,1275000,274.6163,450.199,301.58,-14920.01953125,255
256,303.22,1280000,314.3539,435.2367,288.67,-14620.6962890625,256
257,237.31,1285000,304.7981,466.2967,236.01,-14227.607421875,257
258,307.76,1290000,374.2269,498.6767,312.42,-15423.123046875,258
259,277.81,1295000,351.703,471.5171,273.99,-13924.994140625,259
260,270.73,1300000,299.0875,496.755,314.59,-14834.064453125,260
261,327.59,1305000,392.4468,488.3599,292.1,-15248.2607421875,261
262,216.09,1310000,393.6699,469.2806,191.08,-16005.1533203125,262
263,125.75,1315000,520.6107,523.6584,126.21,-17104.6328125,263
264,128.92,1320000,381.858,557.04,126.59,-14348.291015625,264
265,199.98,1325000,434.2581,522.9946,180.43,-14890.083984375,265
266,217.55,1330000,391.0123,477.7688,200.8,-15274.6044921875,266
267,383.67,1335000,673.8597,457.9276,338.6,-17003.0703125,267
268,312.81,1340000,696.1354,474.2524,363.54,-17062.4921875,268
269,283.03,1345000,533.349,488.4155,358.44,-17456.6640625,269
270,311.87,1350000,534.8203,484.9602,234.32,-17364.8203125,270
271,302.93,1355000,366.8384,466.9787,281.19,-16289.712890625,271
272,191.03,1360000,482.0208,486.4008,192.36,-16466.037109375,272
273,175.48,1365000,1317.2899,496.8629,184.79,-18299.263671875,273
274,240.98,1370000,424.2233,484.4093,307.02,-16683.646484375,274
275,197.88,1375000,1930.6882,531.9169,188.15,-19005.00390625,275
276,168.48,1380000,2036.6135,553.2813,164.37,-19095.015625,276
277,147.74,1385000,2095.2039,543.1085,169.49,-17836.49609375,277
278,212.49,1390000,1635.3668,517.8631,168.32,-19011.38671875,278
279,211.77,1395000,1461.0778,550.4584,211.53,-17783.55859375,279
280,151.1,1400000,2064.9129,579.6823,140.49,-17675.54296875,280
281,281.02,1405000,879.6954,490.7665,389.42,-12928.1044921875,281
282,65.5,1410000,1251.2616,740.6221,64.55,-17861.69921875,282
283,343.62,1415000,1399.7915,499.6144,308.81,-19410.224609375,283
284,384.49,1420000,782.0168,478.9574,344.49,-15052.705078125,284
285,222.99,1425000,1100.4922,518.7771,251.99,-10984.9375,285
286,117.25,1430000,1671.7601,624.3169,119.2,-6407.58056640625,286
287,121.54,1435000,1388.2202,701.1877,121.09,-7442.6357421875,287
288,127.64,1440000,1566.153,645.8835,125.35,-5215.47802734375,288
289,69.08,1445000,633.7399,643.255,67.16,-12368.388671875,289
290,129.78,1450000,427.0306,540.9972,134.88,-14222.2685546875,290
291,59.88,1455000,843.3342,720.6123,57.97,-18593.6484375,291
292,69.96,1460000,1203.1362,704.9554,70.05,-17861.111328125,292
293,74.74,1465000,1784.7353,691.8259,72.73,-18015.349609375,293
294,58.38,1470000,1297.5451,735.6486,59.05,-18478.58203125,294
295,58.12,1475000,2000.5439,726.5406,58.08,-16021.880859375,295
296,60.37,1480000,1409.8409,719.2342,60.28,-16060.1787109375,296
297,273.9,1485000,1266.9891,545.1697,266.61,-19220.546875,297
298,341.75,1490000,772.7314,523.1901,303.33,-18635.35546875,298
299,310.33,1495000,500.9278,511.1955,271.75,-18174.6328125,299
300,279.53,1500000,420.7576,523.8107,277.27,-18300.03515625,300
301,225.06,1505000,535.5428,525.7675,221.05,-17920.6875,301
302,225.98,1510000,746.6402,545.4771,217.74,-18776.810546875,302
303,79.28,1515000,2052.9294,699.838,76.6,-14515.1806640625,303
304,64.27,1520000,537.3739,686.9216,65.21,-17856.73046875,304
305,69.11,1525000,601.2677,661.2939,71.42,-18024.60546875,305
306,65.9,1530000,1560.5113,691.0916,67.59,-17225.66015625,306
307,68.79,1535000,1606.2394,691.6466,68.57,-19029.90234375,307
308,72.74,1540000,1816.1052,624.7172,85.31,-18801.158203125,308
309,90.05,1545000,1467.9601,562.0468,111.05,-18528.06640625,309
310,78.04,1550000,2344.8616,610.4312,95.63,-18339.68359375,310
311,73.52,1555000,1241.8906,659.9312,73.54,-18398.890625,311
312,70.69,1560000,1588.8485,685.6172,67.81,-18248.650390625,312
313,67.83,1565000,1293.8528,658.5139,67.62,-17446.75390625,313
314,76.63,1570000,1851.9208,691.4,72.64,-18026.298828125,314
315,77.99,1575000,865.3309,588.9429,85.0,-18726.951171875,315
316,82.85,1580000,1443.8804,673.453,76.33,-19068.931640625,316
317,73.19,1585000,1125.0463,628.4,77.49,-18765.58984375,317
318,86.54,1590000,676.118,643.0336,78.3,-18232.564453125,318
319,86.41,1595000,456.0351,646.8072,83.19,-18191.787109375,319
320,71.22,1600000,338.62,618.9769,71.42,-17800.80859375,320
321,67.41,1605000,356.6492,606.0192,66.91,-18036.453125,321
322,66.15,1610000,609.0641,651.6588,64.88,-17924.66015625,322
323,66.86,1615000,323.1861,597.6345,66.32,-18066.994140625,323
324,65.71,1620000,314.2292,650.1486,65.11,-18082.32421875,324
325,66.4,1625000,325.8951,634.129,65.52,-17899.525390625,325
326,61.94,1630000,328.2651,636.1762,62.06,-18343.970703125,326
327,70.02,1635000,367.5744,636.6408,70.74,-18479.376953125,327
328,56.2,1640000,367.6579,655.2718,55.92,-18617.77734375,328
329,58.31,1645000,404.8031,643.8634,56.82,-18306.98828125,329
330,57.35,1650000,381.4464,631.1148,57.13,-18366.38671875,330
331,60.2,1655000,330.1577,638.8122,60.07,-18290.23046875,331
332,61.43,1660000,330.6288,647.1448,61.03,-18424.845703125,332
333,58.36,1665000,315.7922,615.4875,58.68,-18266.3203125,333
334,60.07,1670000,391.6175,638.3607,60.04,-18585.4140625,334
335,61.11,1675000,343.4607,622.8612,60.53,-18329.173828125,335
336,60.79,1680000,329.3227,623.689,60.26,-18361.611328125,336
337,59.04,1685000,326.6908,630.5271,59.55,-18336.3125,337
338,64.17,1690000,337.7503,610.4741,64.4,-18063.8046875,338
339,61.49,1695000,333.6077,624.7367,61.88,-18335.796875,339
340,62.39,1700000,369.0858,608.9518,61.6,-18431.95703125,340
341,61.2,1705000,402.6733,650.8054,60.62,-18917.50390625,341
342,62.67,1710000,301.8116,618.4559,62.69,-18768.85546875,342
343,63.2,1715000,301.6358,637.1831,63.54,-18611.84765625,343
344,62.28,1720000,329.0328,639.2192,62.74,-18556.685546875,344
345,63.35,1725000,309.759,648.6325,62.51,-18766.376953125,345
346,64.07,1730000,316.4261,650.4616,63.82,-18921.3828125,346
347,63.1,1735000,291.1109,648.277,64.2,-19120.5,347
348,62.9,1740000,310.0329,633.9743,62.56,-18845.875,348
349,62.82,1745000,445.8981,626.2811,62.59,-18626.982421875,349
350,68.34,1750000,351.7737,621.0559,68.51,-18212.166015625,350
351,67.13,1755000,334.535,637.5947,65.92,-18453.380859375,351
352,64.54,1760000,350.8068,624.9829,64.59,-18696.19921875,352
353,67.38,1765000,378.9787,625.1045,65.87,-18490.810546875,353
354,66.09,1770000,327.4006,649.6151,66.75,-18997.4375,354
355,68.1,1775000,438.5103,636.8006,67.41,-19121.74609375,355
356,62.89,1780000,369.2407,622.4249,62.51,-18925.41796875,356
357,64.36,1785000,332.1256,651.2398,63.22,-18693.302734375,357
358,63.17,1790000,316.8556,637.7913,64.32,-18387.916015625,358
359,68.08,1795000,349.2596,636.1118,66.89,-18920.546875,359
360,62.23,1800000,370.2283,622.0167,61.36,-18767.890625,360
361,65.65,1805000,331.8087,635.1201,64.55,-18705.24609375,361
362,62.3,1810000,337.1735,626.465,62.79,-18751.685546875,362
363,64.01,1815000,312.1757,644.2444,63.32,-18735.71875,363
364,61.11,1820000,383.792,624.9431,60.55,-18692.87109375,364
365,62.75,1825000,338.5704,625.8446,61.26,-18620.14453125,365
366,64.14,1830000,314.1376,640.2344,64.96,-18374.16015625,366
367,62.33,1835000,356.8452,637.4788,62.89,-19143.609375,367
368,60.08,1840000,358.757,628.4547,60.26,-19067.662109375,368
369,61.94,1845000,334.4832,619.1445,62.6,-18901.76171875,369
370,64.82,1850000,341.6245,643.6138,65.12,-19006.81640625,370
371,55.75,1855000,341.4659,650.8522,55.04,-19221.5078125,371
372,57.13,1860000,354.3967,659.5326,57.72,-18976.19140625,372
373,53.16,1865000,354.0748,626.9299,53.02,-19119.181640625,373
374,63.47,1870000,317.1964,620.3209,64.11,-18696.380859375,374
375,58.11,1875000,331.7947,648.746,57.86,-18900.271484375,375
376,59.71,1880000,382.2675,643.354,60.06,-19298.46875,376
377,63.82,1885000,333.8265,632.7004,64.24,-19199.03125,377
378,62.76,1890000,360.5864,629.0813,63.75,-19149.822265625,378
379,60.34,1895000,351.757,633.8538,58.69,-18676.697265625,379
380,66.0,1900000,340.6887,648.122,66.35,-19150.169921875,380
381,66.32,1905000,346.3453,651.0436,66.51,-19002.607421875,381
382,65.12,1910000,359.468,648.7641,66.38,-19234.86328125,382
383,65.0,1915000,336.9641,639.9557,63.82,-19197.94921875,383
384,63.2,1920000,385.5911,639.6669,64.68,-19221.15234375,384
385,63.69,1925000,464.6683,629.8361,63.12,-19200.755859375,385
386,65.58,1930000,391.7368,641.2761,65.74,-19300.14453125,386
387,63.89,1935000,328.0213,639.3487,63.65,-19302.1640625,387
388,60.58,1940000,321.7017,653.8659,61.91,-19139.521484375,388
389,62.36,1945000,324.3535,642.7708,62.75,-19159.0234375,389
390,63.77,1950000,333.535,641.1991,62.55,-19182.671875,390
391,62.42,1955000,333.3783,636.4976,61.52,-19071.41015625,391
392,61.65,1960000,330.0165,648.0852,60.64,-19191.513671875,392
393,63.79,1965000,409.2134,636.1576,64.52,-19084.080078125,393
394,61.8,1970000,415.6209,612.5776,63.12,-18878.76953125,394
395,64.38,1975000,316.9174,627.9076,64.38,-19058.6171875,395
396,62.92,1980000,481.0723,647.0558,64.6,-19275.5390625,396
397,63.33,1985000,338.8632,644.8642,63.08,-18901.1796875,397
398,58.76,1990000,334.0137,641.1855,57.11,-19109.138671875,398
399,58.63,1995000,349.6725,630.3461,59.0,-18952.416015625,399
400,64.48,2000000,294.3509,644.8211,63.83,-18717.64453125,400
401,64.34,2005000,320.9176,616.085,67.22,-19080.341796875,401
