Real Det Return,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps
3434.47,13.1338,74,74,-678.9016723632812,3163.24,19.8324,370000
3433.4,13.4677,75,75,-938.702880859375,3067.62,19.9085,375000
3478.76,13.5784,76,76,-688.9844360351562,3236.61,19.4387,380000
3458.32,13.1559,77,77,-668.8938598632812,3184.24,19.2754,385000
3432.95,13.2001,78,78,-816.6844482421875,3244.38,19.7542,390000
3446.61,13.1178,79,79,-713.5513305664062,3329.19,19.7417,395000
3441.9,13.2407,80,80,-701.0377197265625,3297.27,19.5461,400000
3389.89,14.0512,81,81,-842.5318603515625,3385.54,20.0902,405000
3485.53,13.2764,82,82,-805.1637573242188,3380.94,19.2152,410000
3465.28,13.8231,83,83,-772.6181640625,3371.9,19.4816,415000
3425.98,13.3275,84,84,-827.997314453125,3286.57,19.6334,420000
3470.36,13.3501,85,85,-799.5702514648438,3154.08,19.3843,425000
3440.16,13.504,86,86,-757.6307983398438,3417.1,19.0682,430000
3458.83,13.4399,87,87,-855.1985473632812,3260.55,19.1794,435000
3429.36,13.3877,88,88,-916.321044921875,3395.14,19.5575,440000
3389.92,13.2535,89,89,-861.3021240234375,3292.81,19.6109,445000
3447.31,13.2534,90,90,-990.1328735351562,2908.08,19.4711,450000
3439.19,12.7639,91,91,-807.746826171875,3412.94,18.5378,455000
3451.31,12.8405,92,92,-867.5089721679688,3275.64,19.3119,460000
3455.56,13.252,93,93,-1036.657958984375,2972.47,19.8279,465000
3402.07,12.7903,94,94,-911.068359375,3338.13,18.9506,470000
3383.68,13.0281,95,95,-951.7920532226562,3063.43,19.2708,475000
3405.49,13.3373,96,96,-1069.5565185546875,2857.12,19.6673,480000
3424.43,13.2886,97,97,-953.9443969726562,3092.1,19.3902,485000
3405.73,12.9848,98,98,-1064.0045166015625,3155.64,19.1813,490000
3454.3,12.8183,99,99,-1051.8807373046875,2749.25,19.1905,495000
3419.92,12.722,100,100,-959.8670654296875,3368.17,19.019,500000
3441.65,13.0605,101,101,-1121.2205810546875,3340.16,19.3935,505000
3404.23,12.6844,102,102,-1127.33544921875,3149.69,18.7975,510000
3374.8,12.7652,103,103,-1055.680908203125,3216.34,19.2465,515000
3390.59,12.4056,104,104,-972.3501586914062,3364.91,18.395,520000
3435.56,13.4624,105,105,-1083.845703125,3432.47,19.2582,525000
3438.24,12.7867,106,106,-1105.948974609375,3346.45,19.2342,530000
3409.98,13.081,107,107,-1041.91845703125,3328.16,18.8497,535000
3364.33,13.3057,108,108,-1168.2696533203125,3341.56,19.3905,540000
3420.28,12.952,109,109,-1086.852783203125,3374.7,19.1924,545000
3391.76,13.4961,110,110,-1186.7193603515625,3291.32,19.5651,550000
3406.56,12.9108,111,111,-1079.7747802734375,3315.54,18.9142,555000
3393.0,13.2873,112,112,-1297.739013671875,3390.71,19.4956,560000
3420.84,13.0586,113,113,-1144.0430908203125,3375.49,19.1138,565000
3399.86,12.3707,114,114,-1219.139404296875,3088.46,19.0486,570000
3394.82,13.2761,115,115,-1197.488525390625,3278.05,19.3099,575000
3399.84,12.544,116,116,-1120.390380859375,3026.51,18.8516,580000
3395.54,12.7095,117,117,-1309.0399169921875,3095.45,18.7391,585000
3388.75,13.246,118,118,-1293.555419921875,3407.12,19.3695,590000
3431.9,12.6588,119,119,-1342.9000244140625,3383.42,19.14,595000
3442.05,12.7245,120,120,-1194.4178466796875,3348.89,19.0224,600000
3399.77,13.2145,121,121,-1257.6209716796875,3309.11,19.0588,605000
3381.4,12.6022,122,122,-1255.862060546875,3335.52,19.0429,610000
3412.12,13.0491,123,123,-1331.7825927734375,3296.85,19.2203,615000
3379.54,12.2684,124,124,-1273.970703125,3089.53,18.5754,620000
3445.14,11.9994,125,125,-1423.787353515625,3186.98,19.1792,625000
3391.16,12.5588,126,126,-1307.3232421875,3326.35,18.8309,630000
3473.54,12.4368,127,127,-1522.6768798828125,3068.02,19.0991,635000
3436.48,12.5718,128,128,-1309.99853515625,3369.52,18.7912,640000
3469.13,12.4527,129,129,-1293.2742919921875,3176.3,18.6906,645000
3403.86,12.3459,130,130,-1317.04443359375,2951.24,18.5637,650000
3449.52,12.2426,131,131,-1444.4072265625,2797.76,19.3262,655000
3400.59,12.4891,132,132,-1345.3526611328125,3342.01,18.8222,660000
3396.95,12.271,133,133,-1460.3057861328125,3026.66,19.0981,665000
3441.46,12.3862,134,134,-1481.5418701171875,3203.21,19.1525,670000
3438.24,12.438,135,135,-1353.1925048828125,3295.41,18.8939,675000
3471.28,12.3872,136,136,-1718.7947998046875,2731.85,19.6845,680000
