Running Update Time,Running Env Steps,Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Reward Loss,Itration
29,145000,156.2796,4646.23,4136.26,15.5968,-4231.62451171875,29
30,150000,156.0611,4843.2,4153.61,15.1327,-4352.3486328125,30
31,155000,156.2348,4632.4,4415.45,15.9111,-4366.9111328125,31
32,160000,155.7822,5030.33,4605.27,15.281,-4412.83642578125,32
33,165000,156.1508,5091.0,4805.88,16.2685,-4430.76318359375,33
34,170000,155.7383,5362.83,5028.52,15.7189,-4468.9443359375,34
35,175000,154.9996,5782.53,5242.26,15.3045,-4481.35986328125,35
36,180000,155.5943,5703.63,5266.81,15.3235,-4740.30029296875,36
37,185000,155.1449,6065.33,5574.52,15.5743,-4759.74169921875,37
38,190000,154.945,6178.09,5631.96,15.7343,-4888.29541015625,38
39,195000,155.0682,6018.74,5664.99,15.8104,-4992.72265625,39
40,200000,154.4331,6381.6,5739.36,16.1486,-4910.234375,40
41,205000,154.379,6569.22,5911.59,16.0279,-5009.3525390625,41
42,210000,154.1002,6713.36,6263.01,16.9879,-4876.13720703125,42
43,215000,153.9662,6810.26,6223.71,16.5743,-5110.68017578125,43
44,220000,153.3771,6873.0,6460.72,16.1101,-5201.72412109375,44
45,225000,153.3296,7337.34,6724.76,15.8205,-5262.84765625,45
46,230000,153.3022,7115.93,6425.53,16.0106,-5425.8291015625,46
47,235000,153.4794,7060.33,6618.09,16.0753,-5533.541015625,47
48,240000,153.0005,7280.84,6662.56,16.4198,-5268.4482421875,48
49,245000,152.2401,7355.08,6896.24,15.4772,-5612.2646484375,49
50,250000,153.0545,7399.92,7173.49,17.363,-5441.56396484375,50
51,255000,152.8272,7776.75,6885.47,16.9317,-5691.9345703125,51
52,260000,152.3748,7820.55,7050.85,16.0609,-5750.669921875,52
53,265000,153.5948,7875.05,7295.72,17.7432,-5718.09326171875,53
54,270000,152.2448,8219.92,7406.03,17.166,-5663.75341796875,54
55,275000,151.9128,8192.95,7345.26,16.8027,-6013.50048828125,55
56,280000,151.3941,8057.41,7656.49,16.8837,-5869.642578125,56
57,285000,152.2913,8407.63,7816.82,17.1346,-6040.49853515625,57
58,290000,151.2429,8400.17,7675.48,17.4338,-5981.5693359375,58
59,295000,151.3196,8545.67,7998.22,16.3722,-6538.94677734375,59
60,300000,151.332,8932.92,8270.0,18.3413,-6121.4365234375,60
61,305000,151.3388,8794.05,8195.54,17.7991,-6314.95458984375,61
62,310000,150.9767,8918.82,8295.85,17.7118,-6302.044921875,62
63,315000,150.764,8970.51,8259.55,18.183,-6445.82763671875,63
64,320000,151.567,8943.31,8366.85,18.3958,-6492.16845703125,64
65,325000,150.0143,8617.08,8234.19,17.7884,-6675.54345703125,65
66,330000,150.3742,8964.46,8527.54,19.0029,-6600.82568359375,66
67,335000,150.5453,8736.37,8509.39,15.7942,-7335.57373046875,67
68,340000,150.3495,8745.91,8134.3,17.2188,-6795.91943359375,68
69,345000,150.704,9229.95,8629.46,18.1632,-7025.076171875,69
70,350000,149.8415,9134.46,8659.45,18.3549,-6989.67041015625,70
71,355000,150.0526,9140.68,8694.56,19.5305,-7089.63671875,71
72,360000,149.6395,8545.52,8125.88,16.4323,-7423.0537109375,72
73,365000,149.8984,9408.3,8943.44,18.4875,-7069.9326171875,73
74,370000,149.4007,9201.14,8819.39,18.4624,-7299.11279296875,74
75,375000,149.4446,8866.97,8204.43,17.3102,-7444.501953125,75
76,380000,149.5051,9396.28,8949.92,19.2147,-7474.5634765625,76
77,385000,149.2701,9768.18,9135.56,18.2994,-7240.03369140625,77
78,390000,151.2035,9647.23,9124.02,19.6183,-7753.0625,78
79,395000,149.7052,9573.43,9148.6,18.9389,-7589.69384765625,79
80,400000,149.6934,9192.31,8793.47,16.6097,-8623.7275390625,80
81,405000,149.2836,9715.54,9203.44,18.6011,-7918.18115234375,81
82,410000,150.1226,9741.08,9222.53,19.296,-8031.1083984375,82
83,415000,149.1182,9549.13,8998.16,17.7872,-8013.66748046875,83
84,420000,149.6875,9882.33,9248.08,19.309,-8199.4111328125,84
85,425000,150.3533,9672.72,9218.66,19.8983,-8346.1064453125,85
86,430000,149.5228,9782.31,9383.11,20.3871,-8330.40625,86
87,435000,148.763,9538.86,6908.74,17.1499,-8661.427734375,87
88,440000,149.5672,9653.24,9277.88,20.153,-8584.7265625,88
89,445000,149.4675,9884.13,9432.84,19.2815,-8319.5078125,89
90,450000,149.458,9858.78,9319.98,20.9897,-8721.44921875,90
91,455000,149.695,10065.09,9493.83,19.5278,-8923.88671875,91
92,460000,148.8605,10062.13,9111.27,18.6385,-8776.80078125,92
93,465000,149.7245,9884.26,9489.8,20.5291,-8935.7060546875,93
94,470000,149.6688,10085.07,9383.83,19.6926,-9020.3291015625,94
95,475000,150.3295,9815.79,9378.17,21.0046,-9388.861328125,95
96,480000,148.4271,10249.13,9719.2,19.6614,-8957.0517578125,96
97,485000,148.5368,9837.19,9469.54,19.1867,-9273.671875,97
98,490000,148.4204,10144.81,9189.32,17.2638,-9626.255859375,98
99,495000,148.4119,10149.09,8070.28,18.4902,-9145.765625,99
100,500000,148.8272,10093.13,9612.99,19.6147,-9692.7587890625,100
101,505000,148.6506,10237.05,9617.04,19.7562,-9599.0361328125,101
102,510000,148.8428,10105.82,9351.84,19.2277,-9714.603515625,102
103,515000,148.1427,10252.43,9467.51,18.3838,-9724.0087890625,103
104,520000,148.1585,10057.26,9162.23,17.4334,-10064.91796875,104
105,525000,149.551,9931.8,9591.25,20.4712,-10242.1533203125,105
106,530000,147.9146,9941.98,9021.44,18.6958,-9807.1748046875,106
107,535000,147.7979,9968.1,8719.09,16.1582,-11112.2744140625,107
108,540000,148.1687,10379.73,9540.23,18.9134,-10241.150390625,108
109,545000,147.8445,10349.79,9502.75,19.0052,-10489.96484375,109
110,550000,148.1502,10415.09,9912.08,18.6538,-10779.703125,110
111,555000,148.8423,9980.16,9551.3,19.7106,-10922.15625,111
112,560000,148.1419,10363.6,9424.32,20.432,-10666.6298828125,112
113,565000,149.0436,10194.83,9740.71,20.5191,-10983.06640625,113
114,570000,148.6033,10231.17,9772.06,20.5068,-11002.408203125,114
115,575000,149.2205,10428.93,9900.98,20.7711,-11213.9453125,115
116,580000,149.3455,9961.83,9577.56,21.4158,-11567.970703125,116
117,585000,147.2464,10076.57,9890.87,18.9985,-10978.8662109375,117
118,590000,147.2971,10442.86,9571.86,19.7741,-11157.62109375,118
119,595000,147.1994,10475.68,9794.97,18.8658,-11254.302734375,119
120,600000,147.2241,10215.85,9829.05,19.4729,-11276.6318359375,120
121,605000,147.7429,9420.45,9981.59,18.9689,-11645.1689453125,121
122,610000,147.6607,10468.68,9253.02,16.0831,-13117.67578125,122
123,615000,147.4149,10132.6,10018.33,18.642,-11598.9921875,123
124,620000,148.2577,10591.56,10146.5,20.122,-11805.1357421875,124
125,625000,148.5951,10484.56,10006.77,19.6646,-12272.4296875,125
126,630000,148.4625,10271.21,9894.97,20.2775,-12407.5107421875,126
127,635000,147.5592,10513.22,10016.95,19.3601,-12302.9423828125,127
128,640000,146.9368,10199.88,9548.9,17.8936,-13228.607421875,128
129,645000,148.6599,10529.31,9992.39,20.4894,-12662.421875,129
130,650000,148.6279,10453.08,10060.25,20.1865,-12758.0068359375,130
131,655000,147.2991,10697.38,10261.22,19.5985,-12443.111328125,131
132,660000,147.3018,10096.66,8606.98,18.2128,-13104.001953125,132
133,665000,147.7256,10626.49,10172.07,20.4206,-12888.1103515625,133
134,670000,149.2402,9867.37,9761.08,20.969,-13435.0458984375,134
135,675000,148.6311,10467.6,10087.84,20.6809,-13427.232421875,135
136,680000,147.628,10399.27,10080.71,19.836,-13255.580078125,136
137,685000,148.384,10209.62,9913.26,19.9626,-13812.4248046875,137
138,690000,146.6847,10784.6,10318.18,19.612,-13299.0546875,138
139,695000,147.4888,10641.59,10182.86,19.3518,-13332.904296875,139
140,700000,148.0326,10532.69,10091.5,20.6783,-14023.8291015625,140
141,705000,148.0191,10470.48,10124.77,20.2805,-13685.23828125,141
142,710000,148.004,10681.27,10250.05,20.4886,-14076.611328125,142
143,715000,147.6003,10434.88,10106.6,20.809,-14407.6259765625,143
144,720000,147.8182,10610.16,10149.66,19.8381,-14289.5556640625,144
145,725000,146.5059,10770.96,10061.34,18.9685,-14308.720703125,145
146,730000,148.0873,10589.26,10099.28,19.7013,-14603.7509765625,146
147,735000,146.9108,10842.44,10320.63,19.5342,-14264.884765625,147
148,740000,146.4449,10847.56,10282.8,19.2087,-14362.2763671875,148
149,745000,146.6589,10772.14,10339.79,19.6717,-14670.525390625,149
150,750000,146.5872,10562.2,10277.84,18.611,-14777.5498046875,150
151,755000,146.5276,10805.91,10296.75,19.9723,-14953.37890625,151
152,760000,147.8464,10791.76,10375.16,20.4,-15188.1376953125,152
153,765000,146.7794,11002.12,9430.77,18.0769,-15441.498046875,153
154,770000,146.5159,10847.58,10422.96,19.9809,-15184.923828125,154
155,775000,146.9752,10826.35,10331.53,19.3662,-15361.0166015625,155
156,780000,146.5605,11000.88,10507.48,19.3235,-15052.23828125,156
157,785000,146.8499,10751.27,9897.16,18.6358,-15271.708984375,157
158,790000,148.2726,10721.01,10349.83,20.0389,-15902.07421875,158
159,795000,146.7026,10868.04,10393.69,19.7655,-15824.74609375,159
160,800000,146.8205,10955.35,10262.12,19.8157,-15820.2626953125,160
161,805000,146.7052,10976.1,10182.25,19.187,-15976.8525390625,161
162,810000,146.4549,10965.78,10517.1,19.8776,-15963.9482421875,162
163,815000,146.3913,10688.4,10215.33,18.5125,-15755.98828125,163
164,820000,146.093,10849.98,10386.79,18.4069,-16031.10546875,164
165,825000,147.0748,10892.12,10485.05,19.291,-16197.2822265625,165
166,830000,144.9853,11119.88,10167.01,18.555,-16500.298828125,166
167,835000,146.8059,10934.63,10474.49,19.5483,-16654.96875,167
168,840000,146.5006,10923.52,10498.76,19.5603,-17114.544921875,168
169,845000,146.7197,10865.95,10436.07,19.5775,-17389.240234375,169
170,850000,146.6765,10992.2,10575.1,19.3441,-16839.275390625,170
171,855000,145.9112,11064.67,10157.48,18.9526,-17728.953125,171
172,860000,148.1669,10694.54,10324.03,19.8986,-17982.583984375,172
173,865000,146.5664,10933.7,10501.14,20.0223,-17173.5234375,173
174,870000,147.0996,10658.01,10376.35,20.5545,-17655.970703125,174
175,875000,146.0823,11127.13,10521.72,19.6686,-17674.361328125,175
176,880000,145.2957,10562.45,10133.83,19.1372,-17405.890625,176
177,885000,145.4524,11050.1,10541.38,17.5464,-18408.0703125,177
178,890000,146.7051,10977.31,10553.12,19.5393,-18203.64453125,178
179,895000,145.7279,11063.2,10516.94,18.3722,-17570.83203125,179
180,900000,146.2388,11026.11,10519.19,18.7591,-18155.25,180
181,905000,147.0634,10965.41,10485.38,19.2962,-18424.71875,181
182,910000,147.375,10867.28,10524.8,20.7088,-18791.587890625,182
183,915000,145.9724,11169.76,10730.16,18.8974,-18088.5234375,183
184,920000,146.1081,11167.31,10638.97,19.4183,-18442.81640625,184
185,925000,146.1462,11038.07,10649.13,19.513,-18323.69140625,185
186,930000,146.5204,10954.0,10433.78,18.8907,-18446.416015625,186
187,935000,146.8613,11041.01,10559.88,19.2249,-19427.21875,187
188,940000,146.0421,11010.15,10566.41,19.6507,-19426.505859375,188
189,945000,144.7189,11124.4,9756.46,18.4076,-19077.44140625,189
190,950000,145.2117,11063.87,10589.4,18.3807,-19558.923828125,190
191,955000,146.6309,11031.68,10630.37,19.6083,-19657.0,191
192,960000,146.2742,10469.58,9591.76,17.2264,-19930.880859375,192
193,965000,147.3967,10839.82,10275.39,19.0552,-20408.720703125,193
194,970000,146.4151,11108.14,10552.02,19.1516,-19978.91796875,194
195,975000,145.1114,11168.23,10498.53,17.3176,-20327.765625,195
196,980000,145.1337,11145.67,9922.74,17.8669,-19729.11328125,196
197,985000,146.6014,10951.51,10524.61,20.0594,-20320.154296875,197
198,990000,145.8431,10851.65,10535.83,18.1408,-20072.916015625,198
199,995000,145.0905,11214.79,10645.61,18.6048,-20395.033203125,199
200,1000000,145.2487,11118.72,10659.06,17.2282,-21132.25,200
201,1005000,145.7659,10798.43,9531.81,18.7537,-21335.01171875,201
202,1010000,146.6665,10978.41,10586.1,19.0578,-21448.3984375,202
203,1015000,146.9194,10847.42,10464.38,19.1096,-21503.62890625,203
204,1020000,145.5419,11112.63,9999.11,17.7776,-21828.390625,204
205,1025000,146.2428,11010.0,10377.46,18.8996,-21544.513671875,205
206,1030000,146.0656,11107.12,9626.73,18.151,-23026.81640625,206
207,1035000,146.0815,10817.21,9499.19,17.0837,-23900.576171875,207
208,1040000,145.8602,11216.63,10415.6,17.5531,-22081.595703125,208
209,1045000,145.7109,10733.96,9920.19,18.1685,-21741.12890625,209
210,1050000,146.2051,11092.35,10416.09,18.4843,-21966.33984375,210
211,1055000,145.8578,11247.18,10351.03,18.5674,-22313.232421875,211
212,1060000,145.9837,11182.47,10565.62,18.9745,-22406.765625,212
213,1065000,146.0697,11298.71,10212.04,18.3907,-22349.990234375,213
214,1070000,145.8091,10566.49,10365.23,17.5596,-23559.328125,214
215,1075000,145.5969,8294.78,7538.39,15.5835,-24453.13671875,215
216,1080000,144.7976,11217.54,10428.15,17.6776,-22166.333984375,216
217,1085000,145.959,8948.47,9407.51,16.7743,-24026.306640625,217
218,1090000,144.378,9877.41,7857.1,16.7371,-22264.0703125,218
219,1095000,146.0343,10739.47,9408.08,17.6367,-23488.33984375,219
220,1100000,145.4321,9489.31,8583.84,16.9404,-24228.248046875,220
221,1105000,144.7209,9149.21,9622.76,17.1302,-24167.4453125,221
222,1110000,146.0299,6461.82,6438.86,17.5705,-26565.146484375,222
223,1115000,145.5338,11226.45,10849.94,18.4928,-22704.751953125,223
224,1120000,145.1129,10690.3,9991.86,17.3522,-23151.22265625,224
225,1125000,145.1271,11034.68,9584.23,16.9366,-23702.021484375,225
226,1130000,145.3672,11024.73,10328.49,19.186,-23326.50390625,226
227,1135000,145.6534,10917.62,10261.61,16.5314,-24089.26171875,227
228,1140000,145.7244,11160.61,10865.47,18.7706,-23269.720703125,228
229,1145000,146.6927,7132.95,5711.29,14.6684,-27463.41015625,229
230,1150000,144.8092,11307.56,10343.79,16.7028,-23989.27734375,230
231,1155000,145.6756,10824.52,10025.48,18.0317,-23874.470703125,231
232,1160000,145.6489,9232.71,8722.22,17.4101,-25416.4765625,232
233,1165000,145.3939,10735.36,9381.72,17.4672,-24356.75,233
234,1170000,145.7316,10277.01,7564.79,17.4534,-25913.03515625,234
235,1175000,145.2783,11185.86,10352.91,16.8415,-24768.392578125,235
236,1180000,145.5026,10357.92,9429.73,17.8299,-24944.517578125,236
237,1185000,146.0725,7798.06,7474.94,16.0029,-26496.96484375,237
238,1190000,145.1352,8729.87,7718.47,17.5418,-24579.6875,238
239,1195000,145.7696,10157.49,8309.97,15.0273,-26969.705078125,239
240,1200000,145.883,10476.14,7089.15,15.5401,-25921.748046875,240
241,1205000,145.5027,10969.14,8018.76,16.2154,-26592.720703125,241
242,1210000,145.4589,10732.48,9013.44,17.8264,-25501.44140625,242
243,1215000,145.202,9967.32,8780.42,17.3756,-25933.65234375,243
244,1220000,146.2641,10305.81,6873.38,15.3053,-28552.19140625,244
245,1225000,146.0071,9678.79,7625.04,15.6328,-27797.431640625,245
246,1230000,147.7003,5822.65,4176.73,14.7868,-29826.298828125,246
247,1235000,144.6748,10170.44,9285.49,17.4005,-25279.3984375,247
248,1240000,145.3219,9447.41,6802.65,16.4206,-26547.73046875,248
249,1245000,145.4042,8711.19,8823.6,16.7307,-26355.546875,249
250,1250000,145.3317,10125.19,8590.88,15.9191,-26956.673828125,250
251,1255000,145.1534,7790.64,6700.92,15.1874,-27113.6640625,251
252,1260000,145.7197,9977.23,9351.66,15.3286,-27898.06640625,252
253,1265000,146.6583,9595.76,7307.2,15.116,-29129.6015625,253
254,1270000,146.0011,9438.68,6863.14,16.0252,-27936.349609375,254
255,1275000,145.0854,11581.64,10560.83,18.4549,-25888.0859375,255
256,1280000,145.7154,10950.72,9495.38,17.9859,-26238.767578125,256
257,1285000,145.7366,10134.24,7990.07,16.8148,-26835.130859375,257
258,1290000,145.6066,10033.02,10333.73,16.4785,-27182.087890625,258
259,1295000,144.7532,10976.63,9274.1,15.9315,-26934.064453125,259
260,1300000,146.4844,11280.72,7613.2,17.9859,-27014.966796875,260
261,1305000,145.9475,11260.46,8656.29,19.0258,-26918.435546875,261
262,1310000,145.4252,9448.34,9185.67,17.3256,-27347.486328125,262
263,1315000,146.2564,11413.03,10344.01,18.6471,-27265.515625,263
264,1320000,146.2876,11429.22,10628.12,17.9674,-27230.99609375,264
265,1325000,145.8475,11386.84,8764.76,16.4355,-27256.494140625,265
266,1330000,145.1801,11547.47,10688.97,16.7072,-27554.6796875,266
267,1335000,146.6041,11439.35,9919.23,18.4073,-27986.77734375,267
268,1340000,145.5079,10990.58,10230.45,18.4709,-26908.818359375,268
269,1345000,144.8208,11491.88,9151.28,15.9812,-27932.751953125,269
270,1350000,145.1343,11541.67,10925.66,17.9157,-27754.498046875,270
271,1355000,144.6199,11533.48,10821.51,17.585,-27060.34765625,271
272,1360000,145.1411,11258.7,10980.7,17.4296,-26846.599609375,272
273,1365000,145.2115,11739.62,10334.72,17.4375,-27163.91796875,273
274,1370000,145.4384,11786.44,10314.55,18.3253,-28387.9765625,274
275,1375000,145.4099,11556.33,11200.01,19.0398,-27126.939453125,275
276,1380000,145.2976,11575.27,11042.73,17.9711,-27471.484375,276
277,1385000,145.4477,10956.91,10648.34,17.0454,-28313.47265625,277
278,1390000,145.3832,11682.03,11105.72,18.1949,-27915.92578125,278
279,1395000,145.2391,11674.13,11071.86,17.9713,-27518.9140625,279
280,1400000,144.8504,11550.43,10838.69,17.1091,-28052.951171875,280
281,1405000,145.7566,11701.36,11012.59,17.3996,-28622.373046875,281
282,1410000,144.7742,11609.32,11134.76,17.8293,-27710.3984375,282
283,1415000,145.5851,11823.19,10207.45,18.3683,-28461.97265625,283
284,1420000,145.5222,11640.05,10563.97,16.7333,-29814.2734375,284
285,1425000,146.6453,11668.59,11202.2,18.9695,-28934.88671875,285
286,1430000,145.1577,11706.75,11036.04,17.8012,-29178.095703125,286
287,1435000,145.5149,11711.74,10794.61,18.0821,-28176.318359375,287
288,1440000,144.1104,11800.21,10982.49,17.6696,-28211.83984375,288
289,1445000,145.0641,11777.16,10390.02,17.8699,-28825.02734375,289
290,1450000,145.3713,11935.42,10910.46,18.3402,-28750.1171875,290
291,1455000,145.2447,11905.65,11272.01,18.3949,-28834.599609375,291
292,1460000,145.0017,11889.42,11118.55,18.8983,-29259.849609375,292
293,1465000,146.3265,12008.29,11230.39,18.4026,-30009.30859375,293
294,1470000,144.9825,11983.68,10913.19,18.4455,-29199.857421875,294
295,1475000,145.7037,11505.52,10838.43,18.6613,-29599.2421875,295
296,1480000,145.0999,11716.6,10010.85,16.2891,-30512.72265625,296
297,1485000,144.1958,11840.51,10809.78,18.3689,-29633.490234375,297
298,1490000,145.0168,11571.35,11140.76,17.9206,-29965.14453125,298
299,1495000,144.4928,11778.18,11289.09,16.8152,-29466.568359375,299
300,1500000,145.5215,11750.11,11115.01,18.9478,-29477.779296875,300
301,1505000,144.8325,11526.13,11352.32,18.9031,-29124.46484375,301
302,1510000,145.2093,12051.55,11123.02,19.7375,-29583.083984375,302
303,1515000,144.2339,11757.19,11327.42,17.7033,-28673.978515625,303
304,1520000,145.8709,11826.13,11415.81,19.305,-30082.544921875,304
305,1525000,145.7807,12159.71,11520.16,18.4876,-30146.908203125,305
306,1530000,144.431,11852.24,11298.51,17.9241,-29404.978515625,306
307,1535000,144.428,12013.6,11434.31,18.6315,-29955.962890625,307
308,1540000,145.1765,11921.02,11062.54,18.7918,-30685.4921875,308
309,1545000,145.3806,11792.37,11465.61,18.8833,-30402.138671875,309
310,1550000,145.6861,11862.61,11438.31,19.3299,-30059.666015625,310
311,1555000,145.3126,11599.51,11212.7,18.4323,-29296.57421875,311
312,1560000,145.4178,12176.58,11537.46,18.6385,-30893.91796875,312
313,1565000,144.7418,12136.07,11318.0,18.8024,-31483.900390625,313
314,1570000,145.3619,11956.27,11511.46,19.0738,-30660.845703125,314
315,1575000,144.3415,11967.0,11437.17,18.0262,-30456.103515625,315
316,1580000,145.7349,12163.84,11566.33,19.4182,-31673.76171875,316
317,1585000,144.7832,12140.12,11447.09,18.9508,-30786.796875,317
318,1590000,145.6147,11940.29,10896.0,18.5577,-31760.75390625,318
319,1595000,144.7607,12164.42,11544.26,18.8668,-30547.33984375,319
320,1600000,144.201,11749.15,11288.07,18.5182,-30619.57421875,320
321,1605000,144.9275,11936.21,11342.79,19.0153,-31463.248046875,321
322,1610000,144.6028,12115.39,11535.56,18.8683,-31073.134765625,322
323,1615000,144.7611,12232.13,11723.85,18.8657,-31323.2265625,323
324,1620000,144.492,12158.63,11559.45,19.7865,-32162.99609375,324
325,1625000,144.2493,12139.1,11605.2,19.2112,-31559.431640625,325
326,1630000,145.3414,12300.3,11490.6,19.7376,-32843.7421875,326
327,1635000,145.7677,12226.08,11601.61,18.9358,-32478.66796875,327
328,1640000,144.476,12139.07,11588.66,19.1349,-31884.31640625,328
329,1645000,144.9041,12134.36,11560.61,19.0305,-32020.9765625,329
330,1650000,145.0395,12020.74,11516.58,19.5378,-30866.0546875,330
331,1655000,145.3541,12263.75,11720.36,19.979,-32315.333984375,331
332,1660000,144.9022,12126.51,11678.51,20.1725,-32547.46484375,332
333,1665000,144.4969,12316.23,11662.65,19.4763,-31687.91015625,333
334,1670000,145.5532,11526.26,11056.01,18.4583,-32001.078125,334
335,1675000,144.6839,12130.21,11578.84,18.841,-32482.642578125,335
336,1680000,145.6013,12220.45,11748.18,19.9493,-33539.6171875,336
337,1685000,145.8626,12231.21,11746.57,19.7925,-32930.47265625,337
338,1690000,145.9977,12062.52,11616.71,19.1671,-33349.234375,338
339,1695000,145.8655,12263.84,11661.53,19.4451,-33396.546875,339
340,1700000,143.6491,12318.42,11770.85,19.4061,-32219.544921875,340
341,1705000,144.614,12220.42,11759.3,19.1632,-33056.91015625,341
342,1710000,144.6222,12321.78,11727.26,19.0408,-34213.94921875,342
343,1715000,144.6802,11673.88,11335.8,18.3341,-33905.578125,343
344,1720000,144.9955,12063.56,11511.45,18.9006,-34252.97265625,344
345,1725000,143.6496,12327.5,11812.38,19.1105,-33915.11328125,345
346,1730000,145.9365,12198.91,11734.47,20.0953,-34769.28125,346
347,1735000,145.8934,12141.19,11539.22,18.9396,-34541.36328125,347
348,1740000,144.5058,12349.27,11403.19,17.5622,-33851.734375,348
349,1745000,144.7348,12298.92,11815.93,18.8172,-34306.28515625,349
350,1750000,144.9427,12265.82,11606.07,19.6884,-35602.68359375,350
351,1755000,145.1735,12096.66,11706.23,18.0963,-33950.24609375,351
352,1760000,144.9456,12490.7,11842.14,20.3272,-35734.296875,352
353,1765000,144.2857,12420.95,11840.82,19.6195,-34827.40234375,353
354,1770000,145.3231,12440.5,11366.12,20.1484,-35838.46484375,354
355,1775000,144.5905,12395.97,11125.71,18.7854,-35657.53125,355
356,1780000,144.4812,12473.15,11974.04,19.2239,-35461.2421875,356
357,1785000,145.0573,12353.6,11963.12,17.9564,-36160.12109375,357
358,1790000,144.4905,12425.02,11912.14,20.5213,-36041.11328125,358
359,1795000,144.9671,12445.02,11890.19,19.8294,-35865.80078125,359
360,1800000,143.624,12366.89,11899.16,17.6545,-34636.1796875,360
361,1805000,143.7925,12322.38,11753.35,19.5664,-36657.875,361
362,1810000,144.4388,11960.88,11346.35,19.7973,-36830.1171875,362
363,1815000,144.8873,12297.4,11215.77,19.069,-36940.54296875,363
364,1820000,143.7883,12369.34,11000.79,18.1936,-36020.01171875,364
365,1825000,143.7691,10425.45,11052.1,16.8747,-36061.0,365
366,1830000,144.419,12348.68,11802.78,19.5697,-37180.85546875,366
367,1835000,144.8148,12084.75,11477.0,18.7766,-36400.34765625,367
368,1840000,145.1549,12328.52,11763.67,19.9087,-37954.07421875,368
369,1845000,145.0742,12323.59,11112.19,19.9881,-38272.37890625,369
370,1850000,143.8827,12384.61,11859.0,19.126,-37474.7890625,370
371,1855000,144.8197,12325.97,11248.27,19.6259,-37763.80078125,371
372,1860000,144.7881,12182.7,11664.56,19.0111,-38064.30078125,372
373,1865000,144.4482,12197.64,11801.76,19.8445,-38541.28515625,373
374,1870000,143.9411,12185.26,11753.06,17.9939,-38382.33203125,374
375,1875000,144.5994,11615.79,11562.37,17.8577,-37877.30859375,375
376,1880000,143.6475,11662.24,11418.27,17.1569,-37355.89453125,376
377,1885000,144.4786,12230.18,11372.38,19.3579,-38699.34375,377
378,1890000,144.1521,12334.4,11247.49,19.5445,-38441.98828125,378
379,1895000,144.5011,11480.7,9782.76,18.8894,-38820.703125,379
380,1900000,145.3523,11836.14,10923.31,17.9324,-38298.8515625,380
381,1905000,144.2771,12237.46,11398.9,18.2785,-38153.16796875,381
382,1910000,143.9507,12216.43,11550.11,18.604,-37839.546875,382
383,1915000,143.8811,12089.27,11657.95,17.9875,-38897.89453125,383
384,1920000,144.4669,11392.39,11532.53,19.3363,-38902.55078125,384
385,1925000,144.3569,12140.86,11676.32,18.9665,-40653.39453125,385
386,1930000,144.8055,12042.73,11416.86,18.2644,-39847.54296875,386
387,1935000,144.9479,12241.0,11162.43,19.9669,-41191.75390625,387
388,1940000,144.6616,12024.95,11389.13,18.0602,-40137.32421875,388
389,1945000,145.2654,11828.39,11439.76,19.0352,-40686.390625,389
390,1950000,143.4104,12329.52,11762.0,18.6629,-39314.796875,390
