Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss
44,44,984.26,46.9645,220000,984.18,43.6736,-265.7378234863281
45,45,224.52,21.9411,225000,242.34,41.4929,-183.8586883544922
46,46,1033.91,33.6454,230000,1033.97,43.8366,-293.7127990722656
47,47,7.0,50.0491,235000,7.01,42.0222,-324.3423156738281
48,48,1002.38,29.9522,240000,1002.49,43.8495,-278.9209289550781
49,49,992.55,62.764,245000,992.48,42.317,-323.141357421875
50,50,982.02,52.9697,250000,982.23,45.0839,-305.0433044433594
51,51,988.75,34.8986,255000,992.07,42.7124,-329.198974609375
52,52,802.4,36.3782,260000,708.88,41.6561,-369.78021240234375
53,53,234.91,60.596,265000,232.3,44.1952,-336.922607421875
54,54,978.15,65.5548,270000,978.19,43.7335,-340.5252380371094
55,55,991.15,48.1491,275000,991.19,46.9465,-374.846923828125
56,56,1034.55,29.4389,280000,1034.2,45.9635,-372.652587890625
57,57,1009.82,32.9348,285000,1010.69,44.5153,-384.5486145019531
58,58,1012.07,45.9805,290000,1012.08,44.4492,-433.2812194824219
59,59,1009.87,32.0421,295000,1016.24,44.5056,-392.21307373046875
60,60,1003.84,56.0548,300000,968.65,46.709,-437.2860412597656
61,61,974.13,57.2387,305000,973.98,46.9663,-430.04913330078125
62,62,1032.44,43.5207,310000,1032.14,43.0268,-422.1210632324219
63,63,1037.08,53.8052,315000,1036.96,43.4433,-442.9601745605469
64,64,1038.56,54.2567,320000,1038.55,41.9991,-463.43524169921875
65,65,1031.15,44.7398,325000,1031.13,44.7679,-464.7164001464844
66,66,995.6,46.2663,330000,995.34,47.2198,-501.6291198730469
67,67,1040.11,47.4717,335000,1039.9,43.3339,-496.5279846191406
68,68,1033.1,47.3591,340000,1033.34,43.3134,-505.4215087890625
69,69,997.74,42.7291,345000,998.38,46.3381,-559.5738525390625
70,70,970.99,56.9982,350000,970.85,43.7731,-524.1615600585938
71,71,987.05,33.5748,355000,987.31,44.229,-521.1625366210938
72,72,1003.01,49.8091,360000,1003.44,45.0498,-565.7974853515625
73,73,984.69,44.1398,365000,984.14,44.6107,-559.3659057617188
74,74,986.19,50.0174,370000,986.17,45.3998,-599.5560913085938
75,75,1029.25,36.4412,375000,1028.29,45.0859,-608.0125732421875
76,76,1027.05,37.9948,380000,1015.96,45.7103,-586.0538940429688
77,77,1029.57,38.6902,385000,1029.44,43.0728,-609.8753662109375
78,78,980.24,37.7783,390000,979.07,43.5692,-574.4690551757812
79,79,1010.47,38.4683,395000,1031.55,42.376,-637.5242919921875
80,80,996.81,45.0791,400000,996.98,46.1911,-635.5245361328125
81,81,975.85,28.6242,405000,1006.88,42.0552,-596.9508666992188
82,82,125.78,106.2806,410000,133.3,38.638,-572.007080078125
83,83,953.41,54.5954,415000,951.03,43.9856,-663.1115112304688
84,84,985.72,46.2429,420000,986.18,45.6153,-663.1119384765625
85,85,1015.41,41.3488,425000,1015.36,45.5929,-680.4295043945312
86,86,1017.26,37.466,430000,1016.46,45.2187,-684.6993408203125
87,87,985.92,44.7414,435000,984.62,44.3186,-704.5189208984375
88,88,996.89,32.0599,440000,995.33,42.6506,-700.8961791992188
89,89,1020.96,25.318,445000,1021.14,41.594,-618.665283203125
90,90,307.77,44.6053,450000,305.72,36.909,-620.5245971679688
91,91,935.63,25.2946,455000,691.38,35.3401,-654.7732543945312
92,92,317.51,59.9837,460000,314.68,38.2108,-689.0798950195312
93,93,326.9,50.753,465000,425.89,37.1707,-677.3126220703125
94,94,1003.82,25.9096,470000,1001.72,41.5343,-731.9365844726562
95,95,1044.73,25.1536,475000,1041.6,43.5756,-764.508544921875
96,96,1025.91,27.7208,480000,1026.69,42.3207,-763.342529296875
97,97,998.62,23.4067,485000,996.97,43.694,-717.9341430664062
98,98,1010.88,42.438,490000,1010.66,42.3933,-871.127197265625
99,99,1027.25,37.1715,495000,1026.42,45.0115,-824.3681640625
100,100,265.24,82.2044,500000,262.61,38.9196,-701.8759155273438
101,101,366.67,114.0784,505000,362.05,39.7879,-728.7192993164062
102,102,296.36,58.1251,510000,287.86,43.4489,-840.476806640625
103,103,993.97,51.9474,515000,993.39,46.091,-906.5095825195312
104,104,996.85,53.9003,520000,996.5,46.3384,-919.4447631835938
105,105,1009.11,37.3709,525000,1008.13,43.5746,-921.9830322265625
106,106,1032.18,23.1768,530000,1033.57,41.1833,-772.527587890625
107,107,1027.33,38.1959,535000,1027.06,41.8692,-939.9845581054688
108,108,931.6,33.3574,540000,931.53,40.9966,-917.375732421875
109,109,753.31,41.4191,545000,653.95,39.495,-932.9644165039062
110,110,994.49,35.7934,550000,992.86,42.9047,-941.9924926757812
111,111,1048.1,30.2953,555000,1048.35,42.5545,-932.2495727539062
112,112,1017.2,26.0331,560000,1020.85,42.478,-924.7681884765625
113,113,220.63,20.4124,565000,169.33,39.9102,-809.5278930664062
114,114,279.87,49.6894,570000,278.77,39.7973,-867.224853515625
115,115,242.79,54.6459,575000,240.88,38.656,-865.03466796875
116,116,1042.13,40.1119,580000,1042.22,42.7859,-993.5343627929688
117,117,983.48,45.2842,585000,983.07,45.9216,-1013.71240234375
118,118,470.53,21.1139,590000,434.79,37.7442,-811.7988891601562
119,119,481.7,31.6744,595000,482.07,39.4209,-934.9795532226562
120,120,1033.66,31.5152,600000,1033.44,41.4508,-1024.180908203125
121,121,1061.7,28.2662,605000,1042.27,38.8157,-1015.4073486328125
122,122,1044.14,43.5125,610000,906.58,42.8746,-1072.1129150390625
123,123,314.83,49.1082,615000,340.94,42.5224,-1109.0169677734375
124,124,578.93,21.0595,620000,596.85,40.3072,-919.5963134765625
125,125,24.45,41.4276,625000,25.37,40.6818,-1081.5152587890625
126,126,196.09,23.4426,630000,216.6,39.1478,-779.50048828125
127,127,799.17,30.4546,635000,574.02,38.3917,-811.3089599609375
128,128,998.24,42.7674,640000,997.76,45.2717,-1133.5040283203125
129,129,990.06,42.054,645000,989.73,44.5814,-1150.4927978515625
130,130,1004.58,34.4678,650000,1004.47,45.3898,-1156.2757568359375
131,131,1001.61,37.9279,655000,1000.98,45.2621,-1178.7757568359375
132,132,1008.04,42.3876,660000,1007.51,43.9736,-1220.26171875
133,133,323.98,29.039,665000,302.36,39.894,-568.4267578125
134,134,1000.35,45.8886,670000,998.84,44.9825,-1258.0946044921875
135,135,1001.44,44.4439,675000,1001.83,45.6642,-1268.0499267578125
136,136,1033.66,44.7471,680000,1034.64,42.3258,-1241.6336669921875
137,137,1041.55,36.995,685000,1042.49,42.1666,-1238.7171630859375
138,138,1003.92,40.3939,690000,1005.32,46.0009,-1269.7669677734375
139,139,979.33,62.4067,695000,979.35,45.3445,-1268.02001953125
140,140,208.54,24.4305,700000,204.86,36.1426,-81.41827392578125
141,141,486.89,35.8556,705000,503.44,35.5421,-1042.770751953125
142,142,739.0,31.2417,710000,652.79,35.3486,-1048.364501953125
143,143,1010.01,34.3364,715000,1009.31,43.9993,-1320.9049072265625
144,144,1021.98,28.0283,720000,1023.42,42.3621,-1266.1531982421875
145,145,970.38,54.107,725000,970.14,43.6802,-1341.3284912109375
146,146,970.91,46.906,730000,972.81,42.9714,-1344.070556640625
147,147,685.22,40.0372,735000,635.04,40.1317,-1229.91796875
148,148,685.07,33.9649,740000,606.61,40.1656,-1155.318115234375
149,149,534.75,25.8379,745000,506.9,38.3524,-945.6614990234375
150,150,678.93,24.613,750000,635.76,38.346,-1140.0416259765625
151,151,687.41,26.6314,755000,648.37,40.4703,-1320.818603515625
152,152,723.44,35.4719,760000,686.32,39.0765,-1219.928466796875
153,153,507.72,27.1546,765000,483.8,36.552,-1106.9783935546875
154,154,261.89,23.9156,770000,266.11,38.5362,-1008.3482055664062
155,155,407.93,52.8257,775000,579.63,37.3296,-1153.7308349609375
156,156,609.05,17.8294,780000,666.12,35.2033,-768.5728759765625
157,157,92.95,53.5753,785000,93.75,44.1018,-1505.5001220703125
158,158,8.78,211.7577,790000,8.64,45.2429,-1392.6439208984375
159,159,322.92,63.3927,795000,296.53,38.1471,-1014.4844970703125
160,160,1002.1,35.0281,800000,1001.82,42.5622,-1490.7943115234375
161,161,1006.56,27.7461,805000,1005.47,44.7314,-1408.8331298828125
162,162,1009.76,27.5027,810000,1010.62,43.9556,-1491.4083251953125
163,163,1000.47,24.0961,815000,1002.51,42.8245,-1477.0633544921875
164,164,1001.33,35.7825,820000,1001.1,43.8347,-1547.3360595703125
165,165,1004.11,22.5232,825000,1003.82,42.652,-1357.4075927734375
166,166,997.74,26.4336,830000,995.61,43.7451,-1428.829345703125
167,167,309.35,30.1663,835000,455.82,38.9082,-1271.968505859375
168,168,277.86,31.9631,840000,339.9,39.0664,-1311.349853515625
169,169,79.79,79.2378,845000,80.69,39.6205,-1487.4112548828125
170,170,177.28,20.4591,850000,177.18,37.4289,-421.38983154296875
171,171,251.93,21.6511,855000,252.28,37.8919,-1129.9364013671875
172,172,996.98,33.2087,860000,996.85,44.413,-1624.0653076171875
173,173,987.43,43.1165,865000,988.0,43.8211,-1663.704833984375
174,174,1005.77,23.4107,870000,1008.06,42.1062,-1564.7421875
175,175,1020.95,25.8848,875000,1020.99,43.2939,-1629.2906494140625
176,176,1022.04,28.2423,880000,1027.37,42.6005,-1634.186767578125
177,177,1053.47,38.0061,885000,1053.91,44.8183,-1780.3009033203125
178,178,1034.98,36.8978,890000,1035.21,43.9133,-1756.0390625
179,179,623.56,50.5578,895000,604.12,40.9354,-1670.013916015625
180,180,1027.63,34.726,900000,1024.57,43.5621,-1722.018310546875
181,181,1041.2,28.9321,905000,1026.39,41.1129,-1719.3597412109375
182,182,1053.24,33.1852,910000,1055.85,43.6196,-1813.5823974609375
183,183,1056.62,31.2032,915000,628.49,41.4454,-1736.940185546875
184,184,1049.35,32.5968,920000,1050.42,44.0523,-1833.0113525390625
185,185,1059.47,29.1675,925000,899.08,42.426,-1794.0379638671875
186,186,1060.98,30.9822,930000,992.65,40.3124,-1825.1832275390625
187,187,1061.03,37.6365,935000,1047.53,43.4047,-1899.9869384765625
188,188,818.19,23.812,940000,722.67,38.9034,-1686.3299560546875
189,189,1025.27,46.8525,945000,1025.06,42.9322,-1934.94921875
190,190,987.25,34.7622,950000,992.41,44.3649,-1879.6895751953125
191,191,998.59,28.7226,955000,993.2,43.4436,-1841.8829345703125
192,192,1005.07,28.5811,960000,1000.48,43.5573,-1905.588623046875
193,193,998.36,33.2997,965000,997.39,43.998,-1949.5240478515625
194,194,124.18,31.6208,970000,122.56,41.1285,-1930.1171875
195,195,994.43,25.5195,975000,993.27,43.5287,-1907.8333740234375
196,196,1002.91,34.2213,980000,1010.29,42.049,-1912.73486328125
197,197,983.96,57.0307,985000,983.75,45.7221,-2094.421630859375
198,198,203.62,45.7906,990000,203.81,39.6598,-1838.701171875
199,199,1026.74,39.2732,995000,1027.01,42.9533,-2102.66455078125
