Running Reverse KL,Reward Loss,Itration,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return
10.5773,-1891.4215087890625,127,127,635000,1569.3,20.024,3378.02
56.122,-4928.869140625,128,128,640000,1331.41,22.2922,3359.9
26.2579,-3407.22802734375,129,129,645000,1412.45,21.5745,3250.09
15.9774,-3421.7373046875,130,130,650000,1770.35,21.2501,2908.5
19.3238,-4570.2607421875,131,131,655000,1371.59,22.4132,2448.33
19.2199,-3006.779541015625,132,132,660000,1646.15,20.612,3537.68
13.2839,-1946.0369873046875,133,133,665000,2319.74,20.5651,3528.53
29.9556,-3155.282958984375,134,134,670000,1828.71,21.3026,2565.31
38.4852,-5100.29296875,135,135,675000,1475.57,22.3659,1794.56
16.5442,-3451.169921875,136,136,680000,1446.47,21.7932,1189.7
23.3669,-3407.066162109375,137,137,685000,784.6,21.3998,393.21
15.5337,-4145.62890625,138,138,690000,42.2,23.7403,14.5
20.7118,-4632.97998046875,139,139,695000,1645.19,21.7828,3350.89
19.1997,-4533.28759765625,140,140,700000,1190.99,23.0638,2090.55
30.7861,-3810.03955078125,141,141,705000,1573.81,21.8177,3327.48
14.8934,-4315.76806640625,142,142,710000,1405.12,22.027,1589.84
45.7846,-4653.60400390625,143,143,715000,1714.3,23.3486,2624.92
11.9189,-3729.4521484375,144,144,720000,971.31,22.8473,3130.15
28.9001,-4939.50146484375,145,145,725000,707.65,23.7851,1134.27
26.5713,-3632.98193359375,146,146,730000,1812.65,21.675,3157.63
18.9016,-3116.116455078125,147,147,735000,421.18,21.1509,76.0
29.9622,-5283.95849609375,148,148,740000,827.18,23.496,505.29
47.9391,-5942.0927734375,149,149,745000,1119.17,22.9941,2386.89
15.6204,-3531.620361328125,150,150,750000,1869.57,21.3158,2822.34
17.9407,-4333.09423828125,151,151,755000,1190.2,22.7435,3330.98
29.506,-6818.66015625,152,152,760000,878.25,24.9484,1434.86
13.6788,-5008.70556640625,153,153,765000,1587.61,23.4914,1355.53
19.5431,-4302.7724609375,154,154,770000,1090.29,22.4421,1621.47
23.7042,-5934.23193359375,155,155,775000,903.83,23.738,1048.89
30.315,-4302.64404296875,156,156,780000,1822.05,23.0038,2837.95
19.5832,-5016.27197265625,157,157,785000,1158.23,23.0607,1008.29
25.2588,-4788.75,158,158,790000,23.26,24.4434,20.99
22.0861,-3921.446044921875,159,159,795000,1370.11,23.1241,2322.64
28.5003,-5018.357421875,160,160,800000,1335.93,23.9256,937.21
22.4306,-4772.5869140625,161,161,805000,1241.53,23.6984,2791.01
81.7748,-6914.6416015625,162,162,810000,717.78,24.8646,1095.19
18.7693,-5588.830078125,163,163,815000,955.34,24.9396,1476.5
25.1049,-7114.23291015625,164,164,820000,823.33,25.8828,714.31
18.4933,-4140.44189453125,165,165,825000,1032.97,22.3059,2306.32
35.5726,-5559.8203125,166,166,830000,1378.78,23.2975,1218.85
28.1477,-5427.90673828125,167,167,835000,949.19,23.3715,3184.24
17.4312,-3687.90966796875,168,168,840000,2021.63,21.0356,3486.75
31.1659,-4300.2578125,169,169,845000,1992.39,21.7455,3398.69
47.4481,-5606.9267578125,170,170,850000,1254.65,24.361,3384.4
27.1826,-4409.8701171875,171,171,855000,1850.3,21.5449,3411.87
16.7102,-4030.60986328125,172,172,860000,1061.47,21.506,2592.97
13.8802,-3133.37939453125,173,173,865000,2111.99,21.2874,3447.02
33.6225,-4596.22021484375,174,174,870000,2287.82,21.8344,3416.04
17.0421,-3797.257568359375,175,175,875000,576.13,21.783,129.61
26.6583,-3544.99658203125,176,176,880000,1247.7,21.3273,3459.25
33.6165,-5178.5576171875,177,177,885000,1652.65,23.8601,1580.11
34.3913,-5736.6826171875,178,178,890000,1280.97,24.0081,1656.39
44.7698,-6641.85205078125,179,179,895000,2076.48,21.7789,895.75
14.9403,-4554.6376953125,180,180,900000,1357.05,22.1004,3020.01
24.5816,-5881.275390625,181,181,905000,807.11,23.4504,1171.08
27.3265,-5784.2509765625,182,182,910000,1675.15,24.5179,1862.46
48.8274,-6718.04541015625,183,183,915000,67.96,23.5361,54.63
25.3007,-5891.48486328125,184,184,920000,1423.4,23.3918,1482.98
22.9375,-4897.12841796875,185,185,925000,1631.1,23.0246,2678.09
10.8152,-4816.228515625,186,186,930000,1181.38,23.7565,1549.98
10.9261,-4562.556640625,187,187,935000,1546.06,22.6099,2320.09
42.4255,-7379.28173828125,188,188,940000,706.13,24.5203,867.06
16.7048,-4055.9462890625,189,189,945000,1794.18,22.9168,3486.28
10.9358,-3523.78076171875,190,190,950000,1797.56,22.1706,2912.87
11.3041,-5674.181640625,191,191,955000,1003.98,24.9462,1198.95
11.4853,-4742.7060546875,192,192,960000,1965.85,23.5623,3160.84
10.8681,-5041.61962890625,193,193,965000,1478.03,23.1016,3251.12
11.7132,-5205.880859375,194,194,970000,1342.94,24.6313,2848.32
18.8658,-5442.47998046875,195,195,975000,1571.7,24.0942,2979.77
28.0778,-5618.51123046875,196,196,980000,1545.82,23.3886,2957.26
22.513,-6316.73388671875,197,197,985000,1275.13,25.725,1804.41
28.8204,-6327.75439453125,198,198,990000,994.75,23.475,308.24
11.7245,-5322.658203125,199,199,995000,607.14,23.2941,713.49
