Running Update Time,Running Env Steps,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL,Itration
37,185000,24.765,1324.84,-1837.1656494140625,2509.75,36.2862,37
38,190000,25.5517,1191.83,-1739.8251953125,1174.59,46.0022,38
39,195000,26.0242,1011.26,-2078.322265625,967.61,28.2969,39
40,200000,24.1193,1481.28,-1706.939208984375,2984.28,41.036,40
41,205000,25.5112,977.1,-2006.60791015625,843.49,41.1568,41
42,210000,23.0924,1580.73,-1490.0458984375,1089.61,22.0371,42
43,215000,25.1113,1227.75,-1942.1107177734375,1125.05,84.0954,43
44,220000,26.1909,1212.68,-2002.1845703125,1019.31,53.3305,44
45,225000,26.2404,1229.49,-2222.601318359375,1112.58,71.4893,45
46,230000,27.4642,248.19,-2062.32666015625,183.54,57.1413,46
47,235000,24.577,1383.62,-1702.8189697265625,748.35,59.5717,47
48,240000,24.2896,2178.25,-1067.1192626953125,3114.23,29.4841,48
49,245000,25.1939,1304.63,-1498.79248046875,1091.96,45.7999,49
50,250000,24.5083,1436.94,-1652.78955078125,1247.78,37.9797,50
51,255000,24.101,1975.29,-1423.378662109375,2984.44,13.5065,51
52,260000,24.8404,1278.92,-2046.3914794921875,1605.71,21.1392,52
53,265000,26.5622,928.53,-3074.38525390625,383.36,86.732,53
54,270000,26.5729,1137.13,-2638.235595703125,963.63,88.239,54
55,275000,25.4225,1088.99,-2613.68896484375,988.36,19.1375,55
56,280000,22.876,1494.38,-1504.343505859375,2748.11,32.2616,56
57,285000,22.5729,1831.7,-1649.73046875,3023.12,35.5295,57
58,290000,22.5981,1960.91,-1968.318115234375,2381.7,37.6238,58
59,295000,23.5597,1851.36,-2124.542236328125,1476.43,24.8123,59
60,300000,25.2806,1352.53,-2969.365478515625,1112.44,49.3884,60
61,305000,22.9496,1026.35,-2040.183837890625,2520.23,42.1516,61
62,310000,21.6261,2351.28,-1207.633544921875,3204.37,21.618,62
63,315000,24.6331,1311.33,-2377.84326171875,1364.3,43.7293,63
64,320000,23.3867,1130.02,-2429.72412109375,1727.26,40.4305,64
65,325000,23.6572,1496.86,-2615.454345703125,2645.75,27.6539,65
66,330000,23.4433,1777.99,-2645.737060546875,1724.64,53.0984,66
67,335000,25.4811,1386.91,-3055.0380859375,916.07,29.3456,67
68,340000,25.5382,1034.26,-3396.232177734375,944.92,37.7712,68
69,345000,26.6619,1091.74,-3827.097412109375,923.1,40.837,69
70,350000,24.8028,1651.24,-2940.237548828125,2765.12,37.8526,70
71,355000,22.4646,1455.33,-2751.687255859375,1108.75,39.8005,71
72,360000,25.6493,1070.96,-3995.56591796875,998.2,62.4764,72
73,365000,22.1283,2023.86,-2303.278076171875,3260.03,20.9354,73
74,370000,24.9186,1151.5,-3525.014404296875,1339.54,53.8917,74
75,375000,23.0155,1256.75,-3190.33154296875,1623.1,46.4367,75
76,380000,23.7578,1401.49,-3177.65185546875,2713.06,79.1561,76
77,385000,25.4942,977.83,-4167.05712890625,873.88,45.2125,77
78,390000,21.2363,1694.53,-2716.5029296875,2198.19,23.0331,78
79,395000,22.0535,517.01,-2984.620361328125,1857.55,33.593,79
80,400000,24.4666,1385.91,-3932.811279296875,1527.84,24.644,80
81,405000,25.449,1219.83,-4216.4384765625,1194.56,60.3525,81
82,410000,21.3652,1203.56,-2655.507568359375,3002.39,26.0325,82
83,415000,21.149,2146.16,-2632.280029296875,1042.62,27.0099,83
84,420000,21.1319,2087.92,-2335.6396484375,1379.42,31.4643,84
85,425000,20.6548,2398.59,-2441.554931640625,3267.68,29.4583,85
86,430000,25.5461,951.03,-5103.71630859375,915.42,70.7096,86
87,435000,21.4866,1674.44,-2961.363037109375,1602.27,29.3349,87
88,440000,18.8225,1776.43,-903.140625,3354.66,13.2631,88
89,445000,25.5248,976.34,-4972.921875,977.16,65.2607,89
90,450000,19.9708,2304.41,-1399.84765625,3380.17,18.7907,90
91,455000,23.5602,1267.24,-4540.06884765625,1102.08,41.1229,91
92,460000,23.7192,1145.25,-4734.54638671875,998.65,50.4483,92
93,465000,25.9769,558.83,-5446.3544921875,3403.0,53.0938,93
94,470000,22.585,1805.96,-4248.671875,3310.3,29.9077,94
95,475000,19.8259,1820.59,-2246.726806640625,3339.76,29.1349,95
96,480000,21.6713,1875.08,-2850.1484375,1730.79,33.1278,96
97,485000,20.3651,2263.74,-2529.3779296875,3318.57,23.3771,97
98,490000,22.6476,1239.03,-4782.84130859375,1490.61,54.9513,98
99,495000,19.6449,972.26,-2187.724609375,647.47,23.378,99
100,500000,20.3622,822.2,-2049.544189453125,625.79,21.0109,100
101,505000,19.6694,2393.84,-2571.906005859375,3430.94,30.9371,101
102,510000,20.3535,2540.91,-2427.728271484375,3344.25,21.429,102
103,515000,24.2466,1042.92,-5253.9375,1092.03,54.5005,103
104,520000,23.0652,1697.29,-5061.24462890625,3320.66,70.8305,104
105,525000,19.975,2327.5,-2126.32958984375,3450.25,25.7846,105
106,530000,20.3783,2653.79,-2085.603515625,3385.89,30.9235,106
107,535000,22.604,1154.43,-5267.6435546875,1323.71,36.9834,107
108,540000,19.1589,1908.43,-1523.185791015625,3324.97,16.109,108
109,545000,22.6137,1160.33,-5404.91552734375,1760.0,31.1575,109
110,550000,19.9263,1731.22,-2138.405517578125,3437.4,23.9779,110
111,555000,22.1613,1970.58,-3717.35302734375,3506.26,26.2787,111
112,560000,22.4296,1681.57,-4786.56494140625,2551.01,32.8057,112
113,565000,24.5836,771.36,-5262.56494140625,490.3,35.8978,113
114,570000,22.8848,1004.5,-5930.99560546875,1249.71,24.3444,114
115,575000,21.6718,1420.44,-4851.72216796875,1367.49,36.0147,115
116,580000,19.2429,1565.44,-3333.347412109375,3365.25,31.7405,116
117,585000,22.724,963.74,-5758.826171875,1074.06,44.9647,117
118,590000,21.6171,1591.63,-5144.4111328125,1501.11,34.7262,118
119,595000,18.8363,2856.25,-1726.3692626953125,3458.71,16.2484,119
120,600000,21.2702,1333.75,-5553.56982421875,1634.37,39.9412,120
121,605000,22.0198,1317.09,-5150.37890625,1390.51,37.9763,121
122,610000,22.7769,1522.6,-6631.0947265625,1667.84,70.7767,122
123,615000,20.5385,2609.29,-2771.77685546875,3437.26,21.801,123
124,620000,20.8183,2474.42,-2760.453857421875,3392.24,22.1269,124
125,625000,19.811,2131.76,-2953.217529296875,3502.98,23.6584,125
126,630000,20.5067,1633.17,-4148.6015625,3088.54,26.4879,126
127,635000,22.3938,1224.44,-6320.26708984375,2917.98,31.7258,127
128,640000,20.7229,1659.32,-4406.216796875,2775.53,27.5227,128
129,645000,19.595,3177.11,-2131.26806640625,3516.57,24.2724,129
130,650000,20.7614,2410.8,-2391.220703125,3465.67,18.7068,130
131,655000,20.7423,2227.7,-2580.535888671875,2809.93,14.6679,131
132,660000,20.5267,1740.21,-3264.6435546875,3372.09,20.6374,132
133,665000,20.5919,2098.76,-3351.459716796875,2860.89,17.3331,133
134,670000,19.9899,1950.25,-3077.33642578125,2331.37,13.842,134
135,675000,21.5619,1810.72,-5276.12841796875,1811.04,22.0455,135
136,680000,21.0094,1198.15,-4913.876953125,1520.6,39.6778,136
137,685000,20.5444,2362.42,-3297.15283203125,3434.95,17.8724,137
138,690000,21.3766,1872.84,-5375.208984375,3302.97,36.0726,138
139,695000,21.1391,1197.06,-6395.541015625,3016.76,36.2208,139
140,700000,19.7331,2040.36,-3303.212890625,3447.87,26.9518,140
141,705000,20.8105,2061.28,-4772.4814453125,3234.17,28.595,141
142,710000,20.0971,1862.23,-4866.47021484375,3091.98,27.029,142
143,715000,20.8325,1873.03,-5658.2412109375,3477.22,34.6454,143
144,720000,19.6535,2214.42,-3512.868896484375,3450.28,19.1469,144
145,725000,20.5122,1131.34,-729.151611328125,641.35,12.4089,145
146,730000,20.1316,1778.34,-4345.47412109375,3152.79,33.0056,146
147,735000,21.986,1887.51,-4565.99951171875,2193.62,25.3038,147
148,740000,21.8499,241.51,-6581.6962890625,44.77,33.4253,148
149,745000,19.2362,2596.57,-2684.05126953125,1659.76,18.5588,149
150,750000,20.3573,2123.01,-4375.5478515625,3233.81,37.6442,150
151,755000,21.9757,1759.47,-6061.412109375,3443.79,18.1383,151
152,760000,20.7171,1427.16,-6041.07763671875,3101.75,57.7111,152
153,765000,19.8176,828.25,-2506.785400390625,2571.98,19.9936,153
154,770000,23.2022,804.91,-8356.4326171875,1167.96,22.9599,154
155,775000,24.3298,1199.56,-8341.1220703125,1679.25,90.8299,155
156,780000,22.4943,1227.45,-6794.755859375,2245.64,44.354,156
157,785000,22.9102,1221.49,-7311.3330078125,2547.52,69.5945,157
158,790000,25.2471,772.72,-9948.494140625,729.12,109.606,158
159,795000,22.2876,1354.86,-7463.25244140625,2126.43,65.6317,159
160,800000,20.2976,2065.85,-5003.18994140625,1595.09,30.485,160
161,805000,22.516,1429.07,-7474.30615234375,2383.28,48.4194,161
162,810000,24.5063,1377.7,-8727.736328125,2547.48,50.8702,162
163,815000,22.6697,1645.87,-6742.11962890625,3486.22,20.3423,163
164,820000,21.9934,1744.07,-7933.630859375,3444.49,60.4127,164
165,825000,20.9753,2074.84,-4068.704345703125,3399.12,24.6466,165
166,830000,19.8877,1875.8,-3158.546630859375,3448.57,14.3478,166
167,835000,23.1072,1459.19,-7939.38427734375,2276.5,22.6248,167
168,840000,20.5434,2316.47,-3897.115966796875,1935.48,29.3614,168
169,845000,21.025,1990.44,-5984.9091796875,2453.97,35.7893,169
170,850000,21.6812,1877.89,-7085.62646484375,3061.97,19.9832,170
171,855000,20.5719,1406.1,-6356.9677734375,1893.04,35.8972,171
172,860000,22.0212,1987.83,-6532.046875,3266.79,28.8593,172
173,865000,22.2078,1857.06,-6023.1748046875,3529.6,21.7527,173
174,870000,21.9376,1923.28,-6956.9580078125,1665.99,42.9017,174
175,875000,22.9956,448.17,-8296.7265625,161.3,51.7206,175
176,880000,22.4393,1135.17,-7904.17529296875,2859.46,37.311,176
177,885000,21.38,1269.39,-6840.39013671875,1821.86,41.1491,177
178,890000,20.6425,1907.82,-7031.2900390625,2945.72,42.4382,178
179,895000,22.6281,1413.07,-8717.4150390625,2094.9,38.2346,179
180,900000,22.4673,1194.47,-8422.732421875,3431.21,38.0446,180
181,905000,22.7707,747.31,-10240.73046875,985.41,96.0406,181
182,910000,23.5541,1000.25,-8664.412109375,2981.68,31.4079,182
183,915000,23.3125,888.51,-10466.5322265625,948.75,63.6207,183
184,920000,24.2268,865.12,-10973.4130859375,621.81,40.3716,184
185,925000,24.8868,889.52,-10744.998046875,1197.71,37.9483,185
186,930000,30.0786,418.88,-14123.7958984375,339.15,126.9952,186
187,935000,22.9667,1146.62,-7343.7548828125,1087.36,26.708,187
188,940000,22.0693,2531.43,-5767.72705078125,3414.32,29.2542,188
189,945000,24.0318,1249.69,-8847.9072265625,1330.44,35.5989,189
190,950000,22.7146,1708.18,-6211.8095703125,3024.66,23.3773,190
191,955000,20.7354,2015.05,-5208.65380859375,3429.07,24.3605,191
192,960000,21.805,2129.44,-6451.82080078125,3279.41,36.6746,192
193,965000,22.6285,1684.17,-10546.171875,1716.42,53.02,193
194,970000,20.337,2268.44,-7005.52734375,3409.03,56.1717,194
195,975000,21.8679,1695.94,-7123.240234375,2901.54,27.9666,195
196,980000,20.1054,3184.91,-788.1985473632812,3497.03,12.4626,196
197,985000,22.581,1644.26,-7496.1845703125,706.18,25.9034,197
198,990000,21.578,2050.58,-7991.62841796875,1559.1,57.2891,198
199,995000,21.1539,1908.97,-6206.50732421875,3383.58,49.7746,199
