Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Itration,Real Det Return,Running Reverse KL
67,335000,1740.36,-2288.002197265625,156.9976,67,2120.18,15.2571
68,340000,1740.43,-2340.48046875,156.9728,68,2139.35,15.6117
69,345000,1777.01,-2353.302490234375,156.8627,69,2150.35,15.669
70,350000,1750.8,-2381.75537109375,156.7762,70,2114.47,15.4708
71,355000,1803.77,-2447.461669921875,156.9793,71,2164.24,15.4598
72,360000,1780.48,-2482.833984375,157.1084,72,2149.18,15.4387
73,365000,1781.41,-2518.59130859375,156.8567,73,2120.47,15.5177
74,370000,1742.48,-2573.197998046875,156.8704,74,2141.76,15.3316
75,375000,1760.59,-2627.25537109375,156.9943,75,2131.19,15.5895
76,380000,1792.39,-2652.62939453125,156.9101,76,2143.1,15.2561
77,385000,1773.58,-2702.206298828125,157.1414,77,2109.02,15.3651
78,390000,1786.61,-2728.663818359375,157.0579,78,2164.82,15.5938
79,395000,1768.38,-2785.638916015625,156.9828,79,2149.8,15.4928
80,400000,1784.07,-2811.8837890625,156.8779,80,2144.36,15.5421
81,405000,1781.98,-2883.02685546875,157.0789,81,2136.8,15.6384
82,410000,1800.37,-2878.143798828125,156.8048,82,2184.84,15.4897
83,415000,1814.86,-2933.874267578125,156.8888,83,2176.85,15.6566
84,420000,1767.94,-2996.24951171875,156.9495,84,2153.34,15.48
85,425000,1796.47,-3017.971923828125,156.824,85,2172.43,15.496
86,430000,1774.4,-3052.00634765625,156.8864,86,2167.77,15.5745
87,435000,1774.95,-3124.584228515625,157.113,87,2152.08,15.3269
88,440000,1818.07,-3133.045654296875,156.7718,88,2148.26,15.3812
89,445000,1762.22,-3213.137939453125,156.964,89,2082.78,15.2426
90,450000,1816.32,-3233.9697265625,156.9825,90,2224.21,15.6872
91,455000,1777.73,-3291.3759765625,156.9803,91,2151.46,15.4091
92,460000,1826.02,-3332.813720703125,156.8957,92,2189.65,15.7964
93,465000,1807.1,-3361.479736328125,156.9949,93,2161.47,15.5578
94,470000,1838.45,-3434.61083984375,156.9017,94,2196.68,15.684
95,475000,1811.28,-3457.56103515625,156.6898,95,2174.3,15.2369
96,480000,1786.19,-3505.00537109375,156.891,96,2153.84,15.2642
97,485000,1799.67,-3563.57568359375,156.7357,97,2121.86,15.1437
98,490000,1797.65,-3591.5283203125,156.9775,98,2174.38,15.2546
99,495000,1809.85,-3634.10205078125,156.9453,99,2175.43,15.5389
100,500000,1830.39,-3692.637451171875,157.0079,100,2166.84,15.5094
101,505000,1808.94,-3726.6953125,156.8129,101,2168.81,15.4006
102,510000,1776.84,-3768.509765625,156.8339,102,2157.53,14.9735
103,515000,1865.21,-3805.439208984375,157.0585,103,2219.87,15.928
104,520000,1836.43,-3867.642333984375,156.8086,104,2184.21,15.6472
105,525000,1820.13,-3918.046142578125,156.8646,105,2189.26,15.2325
106,530000,1828.78,-3961.431884765625,156.8723,106,2199.57,15.349
107,535000,1845.21,-4013.702392578125,156.8389,107,2149.21,15.4938
108,540000,1806.05,-4068.369873046875,156.9703,108,2167.02,15.3537
109,545000,1808.07,-4107.14208984375,156.8011,109,2173.22,15.4664
110,550000,1826.31,-4134.30224609375,156.8599,110,2201.03,15.4468
111,555000,1840.81,-4197.85400390625,156.8623,111,2228.02,15.8208
112,560000,1810.38,-4223.38916015625,156.7217,112,2212.72,15.2491
113,565000,1850.87,-4259.44677734375,156.6588,113,2226.03,15.7622
114,570000,1827.97,-4330.71533203125,156.8896,114,2220.54,15.4392
115,575000,1865.76,-4394.76318359375,156.7259,115,2235.38,15.7054
116,580000,1835.89,-4440.21337890625,156.9889,116,2191.01,15.5843
117,585000,1864.55,-4475.83056640625,156.8171,117,2200.59,15.4355
118,590000,1834.95,-4548.34765625,156.7357,118,2209.27,15.4869
119,595000,1826.08,-4569.5625,156.8141,119,2188.26,15.3888
120,600000,1869.98,-4619.96826171875,156.6035,120,2211.54,15.4054
121,605000,1841.62,-4693.14501953125,156.8759,121,2206.49,15.4899
122,610000,1849.66,-4752.369140625,156.8595,122,2224.55,15.6101
123,615000,1828.64,-4770.39453125,156.7661,123,2184.05,15.394
124,620000,1872.94,-4844.52294921875,156.9585,124,2220.71,15.9013
125,625000,1816.57,-4893.76220703125,156.7929,125,2155.29,15.1595
126,630000,1873.61,-4937.07958984375,156.664,126,2243.75,15.4868
127,635000,1872.66,-5023.40625,156.9,127,2239.91,15.889
128,640000,1783.1,-5030.98876953125,156.7815,128,2148.93,14.9966
129,645000,1798.5,-5121.3671875,156.9584,129,2144.47,15.3311
130,650000,1749.61,-5226.42138671875,156.8799,130,2130.45,15.0731
131,655000,1613.69,-5220.69677734375,156.7207,131,1810.78,14.7821
132,660000,-454.67,-5822.076171875,160.8335,132,-513.65,28.4312
133,665000,-224.52,-5812.59765625,158.6633,133,-219.1,17.2042
134,670000,-200.44,-5692.50390625,157.9352,134,-361.06,13.6516
135,675000,-166.57,-5870.80908203125,158.9382,135,-165.38,14.737
136,680000,-222.77,-6096.46044921875,157.1797,136,-173.85,19.0545
137,685000,-233.7,-6074.9609375,158.9399,137,-348.24,14.7628
138,690000,-538.44,-5984.8193359375,158.0417,138,-572.85,26.1217
139,695000,-438.52,-6063.287109375,158.7708,139,-398.53,13.9721
140,700000,-373.82,-6366.8427734375,158.1546,140,-345.38,18.2084
141,705000,-343.21,-6343.7529296875,158.4249,141,-357.35,17.9639
142,710000,-278.78,-6421.20947265625,158.0482,142,-239.02,13.8145
143,715000,-697.77,-6511.4189453125,158.2893,143,-726.16,18.7846
144,720000,-288.58,-6697.7060546875,157.8732,144,-290.64,29.5999
145,725000,-378.65,-6584.47607421875,158.367,145,-145.78,17.5571
146,730000,-510.95,-6893.6611328125,159.8679,146,-386.53,24.4935
147,735000,-120.96,-6706.369140625,158.0788,147,-146.28,18.091
148,740000,-32.11,-6953.84423828125,158.6626,148,-75.28,18.9935
149,745000,1152.3,-6322.5166015625,157.0289,149,1444.14,14.5258
150,750000,980.71,-6536.13671875,157.1453,150,1684.64,14.0029
151,755000,866.34,-6588.60595703125,157.7495,151,-153.38,13.0191
152,760000,1350.51,-6429.41552734375,156.9189,152,1845.6,14.1602
153,765000,1580.7,-6387.9091796875,156.7467,153,2031.48,14.6964
154,770000,1580.92,-6357.3095703125,156.7556,154,1906.65,14.9017
155,775000,1639.57,-6414.1923828125,156.7506,155,2008.54,14.8804
156,780000,1619.48,-6482.810546875,156.9918,156,2066.43,15.2014
157,785000,1691.34,-6525.81396484375,156.9051,157,2007.38,15.093
158,790000,1024.25,-6809.1533203125,156.8852,158,446.21,14.077
159,795000,1395.2,-6729.50927734375,156.6263,159,676.59,13.5129
160,800000,1722.41,-6659.52294921875,156.9589,160,2120.18,15.3439
161,805000,1508.28,-6840.81298828125,156.9735,161,731.1,14.35
162,810000,1614.0,-6782.46142578125,156.7576,162,1772.92,14.88
163,815000,-602.02,-7357.7333984375,158.4476,163,-540.96,15.4438
164,820000,524.8,-7126.22705078125,156.9493,164,9.56,12.2004
165,825000,-286.93,-7508.18310546875,159.8938,165,-254.59,19.6049
166,830000,1520.03,-6972.17724609375,156.9429,166,839.28,14.6104
167,835000,1601.3,-6940.9931640625,156.7476,167,2029.06,14.7975
168,840000,936.5,-7223.390625,156.8481,168,407.59,14.6017
169,845000,652.85,-7395.61083984375,156.9158,169,394.15,14.2393
170,850000,1422.69,-7100.19580078125,156.814,170,1655.93,15.0516
171,855000,1210.33,-7134.6767578125,156.804,171,1413.74,14.3465
172,860000,1727.89,-7174.6806640625,156.8213,172,-28.38,15.282
173,865000,240.99,-7470.78759765625,156.7842,173,-219.15,13.7865
174,870000,1752.37,-7229.58154296875,156.7643,174,2105.29,15.3488
175,875000,1806.19,-7289.04931640625,156.9407,175,2153.1,15.483
176,880000,1677.94,-7328.14208984375,156.663,176,758.67,15.0884
177,885000,1716.35,-7364.17333984375,156.7967,177,1991.5,15.3959
178,890000,1673.92,-7397.03125,156.7483,178,1990.22,14.7132
179,895000,1712.4,-7487.12841796875,156.971,179,2124.31,15.5691
180,900000,1767.81,-7456.43798828125,156.9174,180,2127.29,15.4934
181,905000,1772.8,-7531.50244140625,156.9654,181,2154.58,15.2102
182,910000,1797.36,-7581.6708984375,156.997,182,2199.44,15.4861
183,915000,1777.49,-7589.82080078125,157.0004,183,2166.1,15.6212
184,920000,1799.63,-7564.6611328125,156.81,184,2184.94,15.4493
185,925000,1722.0,-7631.6298828125,156.7978,185,2059.45,14.7748
186,930000,1802.07,-7647.685546875,156.9756,186,2199.08,15.4776
187,935000,1795.27,-7719.28515625,157.0483,187,2147.42,15.5727
188,940000,1818.45,-7632.73583984375,156.7261,188,2189.48,14.9429
189,945000,1809.01,-7681.74365234375,156.6491,189,2217.86,15.2595
190,950000,1794.51,-7718.65185546875,156.6957,190,2169.43,15.2369
191,955000,1794.84,-7711.37744140625,156.6193,191,2137.31,14.8937
192,960000,1826.58,-7736.212890625,156.8673,192,2173.58,15.3072
193,965000,1811.42,-7804.41748046875,156.8386,193,2238.65,15.3083
194,970000,1810.14,-7811.05859375,156.9919,194,2211.44,15.6165
195,975000,1819.7,-7800.15283203125,156.7472,195,2181.15,14.9027
196,980000,1855.12,-7853.94775390625,156.705,196,2230.1,15.206
197,985000,1787.78,-7941.0751953125,156.9353,197,2160.29,15.0892
198,990000,1856.2,-7941.6064453125,156.8345,198,2219.97,15.4013
199,995000,1852.26,-8015.416015625,157.0412,199,2253.82,15.7221
200,1000000,1834.27,-8013.794921875,156.9429,200,2184.41,15.4792
201,1005000,1843.71,-8033.42041015625,156.9293,201,2238.67,15.5387
202,1010000,1868.35,-8054.3603515625,156.8788,202,2236.98,15.4084
203,1015000,1862.78,-8102.35400390625,156.8126,203,2194.13,15.4287
204,1020000,1853.92,-8076.205078125,156.7281,204,2228.76,15.4639
205,1025000,1865.56,-8120.25537109375,156.9443,205,2231.54,15.5359
206,1030000,1850.1,-8154.6533203125,156.9062,206,2219.53,15.3979
207,1035000,1872.47,-8160.513671875,156.7669,207,2208.01,15.4442
208,1040000,1855.75,-8234.861328125,156.9451,208,2237.2,15.4774
209,1045000,1847.8,-8250.49609375,156.7643,209,2230.3,15.53
210,1050000,1845.06,-8236.2119140625,156.7898,210,2233.51,15.4336
211,1055000,1860.58,-8285.51953125,156.7848,211,2222.07,15.4341
212,1060000,1853.92,-8309.2099609375,156.8002,212,2208.07,15.1912
213,1065000,1886.18,-8343.9921875,156.8488,213,2225.81,15.5889
214,1070000,1867.48,-8367.333984375,157.0007,214,2199.94,15.4445
215,1075000,1880.16,-8390.119140625,156.8091,215,2193.64,15.5957
216,1080000,1848.66,-8384.2705078125,156.7242,216,2229.09,15.5103
217,1085000,1854.51,-8454.185546875,156.8812,217,2208.63,15.4724
218,1090000,1872.13,-8443.6015625,156.7268,218,2214.89,15.5603
219,1095000,1857.39,-8483.1875,156.9517,219,2222.96,15.519
220,1100000,1861.88,-8507.1103515625,156.9378,220,2225.8,15.5153
221,1105000,1869.33,-8547.1796875,156.9182,221,2235.91,15.7832
222,1110000,1863.36,-8540.931640625,156.8224,222,2223.37,15.5509
223,1115000,1841.79,-8580.32421875,156.8429,223,2197.66,15.5911
224,1120000,1837.08,-8577.4423828125,156.9409,224,2197.17,15.3908
225,1125000,1884.18,-8627.7607421875,156.7766,225,2227.55,15.8592
226,1130000,1872.94,-8622.9384765625,157.0029,226,2219.84,15.6273
227,1135000,1868.79,-8667.9736328125,156.8389,227,2210.66,15.6173
228,1140000,1888.53,-8691.53125,156.7626,228,2225.97,15.6231
229,1145000,1889.24,-8687.673828125,156.9671,229,2223.66,15.5116
230,1150000,1892.9,-8766.458984375,156.955,230,2242.26,15.6982
231,1155000,1877.37,-8775.5830078125,156.9609,231,2212.18,15.6859
232,1160000,1874.87,-8761.1015625,156.7018,232,2202.03,15.486
233,1165000,1854.67,-8798.2109375,156.9454,233,2200.11,15.4731
234,1170000,1886.67,-8856.296875,156.8551,234,2224.41,15.7844
235,1175000,1876.6,-8854.15234375,156.8348,235,2212.22,15.5463
236,1180000,1851.63,-8876.583984375,156.9433,236,2217.54,15.466
237,1185000,1856.64,-8882.4501953125,157.0176,237,2208.96,15.5687
238,1190000,1869.52,-8907.83984375,156.8589,238,2212.66,15.5457
239,1195000,1869.71,-8980.5859375,156.9033,239,2232.09,15.8097
240,1200000,1885.23,-8980.7998046875,157.0465,240,2212.97,15.6055
241,1205000,1880.44,-9007.580078125,156.8074,241,2220.15,15.6658
242,1210000,1869.08,-9034.3359375,156.9633,242,2226.87,15.6383
243,1215000,1863.3,-9047.3564453125,156.8114,243,2209.61,15.4919
244,1220000,1869.44,-9068.53515625,156.8834,244,2215.23,15.4278
245,1225000,1889.4,-9083.7900390625,156.8203,245,2225.48,15.5986
246,1230000,1893.13,-9122.341796875,156.8355,246,2228.29,15.7222
247,1235000,1879.19,-9155.6630859375,156.7939,247,2248.9,15.6271
248,1240000,1854.5,-9197.0810546875,156.9456,248,2227.82,15.6376
249,1245000,1894.96,-9232.3046875,156.7269,249,2248.83,15.8152
250,1250000,1878.21,-9253.4638671875,156.8417,250,2230.84,15.7417
251,1255000,1865.42,-9247.599609375,156.8064,251,2227.6,15.5866
252,1260000,1863.17,-9261.125,156.7872,252,2225.31,15.4932
253,1265000,1888.65,-9310.1416015625,156.8114,253,2236.71,15.5992
254,1270000,1889.77,-9312.0087890625,156.7869,254,2244.05,15.6247
255,1275000,1888.35,-9342.7890625,156.7935,255,2215.07,15.4464
256,1280000,1906.36,-9400.21875,156.6329,256,2270.87,15.6561
257,1285000,1867.83,-9397.5546875,156.8132,257,2232.69,15.433
258,1290000,1863.84,-9444.94140625,156.8622,258,2215.14,15.5575
259,1295000,1900.41,-9449.125,156.8185,259,2246.1,15.6599
260,1300000,1876.81,-9494.4462890625,157.0296,260,2232.97,15.6029
261,1305000,1890.23,-9516.9716796875,156.9621,261,2243.34,15.6053
262,1310000,1893.37,-9549.5966796875,156.7188,262,2229.42,15.4986
263,1315000,1891.25,-9593.8017578125,156.9439,263,2240.85,15.5556
264,1320000,1899.98,-9590.822265625,156.74,264,2254.32,15.6067
265,1325000,1882.24,-9602.9580078125,156.8633,265,2249.25,15.5481
266,1330000,1908.56,-9636.359375,156.7773,266,2239.39,15.7854
267,1335000,1895.99,-9703.1611328125,156.7255,267,2251.99,15.5305
268,1340000,1898.39,-9706.0927734375,156.9635,268,2250.79,15.6919
269,1345000,1890.81,-9725.193359375,156.8684,269,2228.34,15.5571
270,1350000,1897.37,-9753.515625,156.8637,270,2232.75,15.6244
271,1355000,1870.85,-9759.7763671875,156.775,271,2207.08,15.4415
272,1360000,1874.38,-9804.3154296875,156.9154,272,2213.64,15.4317
273,1365000,1890.24,-9837.283203125,156.92,273,2232.52,15.6978
274,1370000,1895.17,-9826.2060546875,156.8182,274,2229.67,15.4449
275,1375000,1894.73,-9880.2841796875,156.8617,275,2250.45,15.6807
276,1380000,1902.34,-9888.1630859375,156.755,276,2249.85,15.5203
277,1385000,1881.16,-9897.27734375,156.7278,277,2248.2,15.4675
278,1390000,1886.38,-9924.7724609375,156.7937,278,2234.86,15.5672
279,1395000,1881.18,-9937.3173828125,156.8147,279,2243.84,15.4149
280,1400000,1910.14,-9960.7265625,156.726,280,2269.78,15.5523
281,1405000,1906.15,-9999.330078125,156.8389,281,2286.71,15.7163
282,1410000,1907.92,-10029.1708984375,156.8811,282,2257.91,15.5834
283,1415000,1892.65,-10055.19140625,156.7089,283,2265.36,15.6344
284,1420000,1885.71,-10091.1806640625,156.7003,284,2251.01,15.5665
285,1425000,1882.61,-10087.080078125,156.8944,285,2242.58,15.5721
286,1430000,1882.49,-10114.2568359375,156.7733,286,2235.06,15.5176
287,1435000,1907.59,-10107.1142578125,156.8568,287,2257.11,15.4629
288,1440000,1890.92,-10156.22265625,156.8634,288,2258.21,15.5401
289,1445000,1904.88,-10166.9169921875,156.8799,289,2261.35,15.5994
290,1450000,1898.04,-10171.431640625,156.9525,290,2248.13,15.5546
291,1455000,1916.89,-10197.11328125,156.8502,291,2262.29,15.6364
292,1460000,1891.07,-10227.0244140625,156.8923,292,2223.43,15.5169
293,1465000,1926.96,-10267.728515625,156.7316,293,2272.0,15.6081
294,1470000,1908.68,-10285.5341796875,156.8813,294,2264.03,15.5699
295,1475000,1902.82,-10306.23046875,156.8798,295,2280.34,15.4936
296,1480000,1880.04,-10300.5693359375,156.6607,296,2243.49,15.4397
297,1485000,1908.97,-10370.7333984375,156.8147,297,2268.87,15.565
298,1490000,1908.45,-10342.115234375,156.9983,298,2243.87,15.4887
299,1495000,1913.17,-10394.16796875,156.7875,299,2279.37,15.4806
300,1500000,1902.45,-10416.8095703125,156.9398,300,2277.13,15.5141
301,1505000,1883.01,-10418.1875,156.7702,301,2241.18,15.377
302,1510000,1900.35,-10415.5361328125,156.7429,302,2257.09,15.625
303,1515000,1905.82,-10463.8515625,156.9419,303,2267.18,15.5783
304,1520000,1894.24,-10434.966796875,156.7612,304,2243.3,15.4854
305,1525000,1920.95,-10477.837890625,156.6978,305,2288.17,15.5734
306,1530000,1918.37,-10484.8408203125,156.7327,306,2262.82,15.6073
307,1535000,1900.84,-10533.033203125,156.7622,307,2250.19,15.5503
308,1540000,1916.05,-10531.9140625,156.9808,308,2251.48,15.656
309,1545000,1879.77,-10546.2451171875,156.688,309,2220.34,15.422
310,1550000,1915.64,-10562.3505859375,157.0006,310,2270.23,15.6015
311,1555000,1892.97,-10564.83984375,156.9173,311,2234.16,15.4926
312,1560000,1907.78,-10560.521484375,156.7342,312,2246.48,15.4249
313,1565000,1913.26,-10592.3740234375,156.7425,313,2265.49,15.4877
314,1570000,1898.79,-10623.7978515625,156.7577,314,2272.3,15.4638
315,1575000,1891.69,-10613.611328125,156.7787,315,2256.01,15.4504
316,1580000,1886.25,-10631.6875,156.9052,316,2227.05,15.4102
317,1585000,1888.8,-10658.5556640625,156.998,317,2237.99,15.4824
318,1590000,1885.13,-10686.0078125,156.5688,318,2281.24,15.3513
319,1595000,1898.89,-10709.369140625,156.8105,319,2260.2,15.4984
320,1600000,1902.6,-10692.056640625,156.9257,320,2234.18,15.2495
321,1605000,1893.34,-10706.484375,156.8264,321,2252.57,15.2821
322,1610000,1875.33,-10734.73828125,156.6565,322,2227.62,15.2906
323,1615000,1888.29,-10735.4267578125,156.6674,323,2240.07,15.3853
324,1620000,1911.81,-10764.775390625,156.6877,324,2247.08,15.3528
325,1625000,1893.44,-10792.8232421875,156.7939,325,2235.17,15.3322
326,1630000,1886.63,-10800.712890625,156.6781,326,2231.39,15.3801
327,1635000,1874.56,-10788.49609375,156.7423,327,2229.83,15.235
328,1640000,1875.53,-10802.0458984375,156.9338,328,2216.6,15.2928
329,1645000,1885.3,-10810.912109375,156.7647,329,2241.94,15.3878
330,1650000,1915.72,-10870.771484375,156.8061,330,2248.25,15.5308
331,1655000,1898.19,-10837.318359375,156.7448,331,2256.36,15.3118
332,1660000,1892.96,-10882.751953125,156.7544,332,2251.28,15.3671
333,1665000,1885.47,-10917.494140625,156.801,333,2241.87,15.3891
334,1670000,1886.71,-10887.6953125,156.899,334,2235.28,15.0703
335,1675000,1884.17,-10918.234375,156.7548,335,2261.32,15.4588
336,1680000,1894.85,-10963.55078125,156.86,336,2265.23,15.386
337,1685000,1899.69,-10994.1416015625,156.8001,337,2279.44,15.3431
338,1690000,1904.4,-10979.005859375,156.7712,338,2248.71,15.2473
339,1695000,1910.77,-11023.6591796875,156.7479,339,2273.88,15.4577
340,1700000,1896.27,-10985.4833984375,156.7178,340,2272.06,15.4427
341,1705000,1899.18,-11094.212890625,156.8636,341,2258.3,15.3293
342,1710000,1884.75,-11042.1123046875,156.711,342,2264.27,15.3408
343,1715000,1887.9,-11045.078125,156.8336,343,2246.03,15.1127
344,1720000,1890.64,-11136.41015625,156.9277,344,2271.78,15.3357
345,1725000,1882.04,-11102.330078125,156.9804,345,2268.36,15.3497
346,1730000,1900.87,-11135.0126953125,156.7476,346,2258.29,15.3485
347,1735000,1907.18,-11119.4833984375,156.6259,347,2258.58,15.2433
348,1740000,1904.42,-11160.7685546875,156.81,348,2263.39,15.2079
349,1745000,1878.82,-11185.615234375,156.7283,349,2248.97,15.0921
350,1750000,1896.98,-11182.787109375,156.8567,350,2245.3,15.2227
351,1755000,1886.14,-11199.9951171875,156.8034,351,2250.33,15.2096
352,1760000,1893.12,-11203.8251953125,156.8799,352,2231.47,15.2434
353,1765000,1889.04,-11211.021484375,156.777,353,2247.05,15.2254
354,1770000,1902.2,-11228.5029296875,156.7203,354,2260.88,15.3578
355,1775000,1885.47,-11299.0146484375,157.0522,355,2264.19,15.189
356,1780000,1878.26,-11284.89453125,156.7459,356,2226.52,15.095
357,1785000,1868.28,-11313.4892578125,156.9173,357,2251.48,15.2344
358,1790000,1893.08,-11330.58203125,156.8435,358,2262.46,15.2314
359,1795000,1905.56,-11342.02734375,156.8971,359,2278.94,15.226
360,1800000,1898.9,-11364.583984375,156.8489,360,2234.79,15.34
361,1805000,1917.63,-11390.3115234375,157.0032,361,2263.05,15.4559
362,1810000,1903.05,-11387.0947265625,156.7043,362,2274.21,15.2355
363,1815000,1898.49,-11392.79296875,156.7825,363,2270.34,15.2946
364,1820000,1894.8,-11413.587890625,156.8047,364,2264.53,15.2481
365,1825000,1901.79,-11414.21875,156.6969,365,2257.19,15.2146
366,1830000,1907.98,-11433.7001953125,156.7396,366,2267.72,15.2
367,1835000,1901.29,-11464.81640625,156.7991,367,2255.42,15.1682
368,1840000,1886.88,-11464.103515625,156.7399,368,2251.23,15.1667
369,1845000,1897.69,-11470.9765625,156.636,369,2249.48,15.1253
370,1850000,1876.47,-11476.4482421875,156.688,370,2241.64,15.0834
371,1855000,1887.72,-11541.642578125,156.837,371,2252.87,15.2222
372,1860000,1891.69,-11534.515625,156.7194,372,2256.57,15.1518
373,1865000,1878.93,-11523.765625,156.6812,373,2239.42,15.1181
374,1870000,1889.93,-11546.6748046875,156.8084,374,2250.02,15.1344
375,1875000,1881.88,-11597.919921875,156.792,375,2244.75,15.1165
376,1880000,1860.82,-11575.0810546875,156.6493,376,2209.54,15.1066
377,1885000,1885.43,-11623.41796875,156.712,377,2238.38,15.0544
378,1890000,1856.22,-11589.484375,156.7732,378,2228.74,14.9389
379,1895000,1874.94,-11619.142578125,156.7979,379,2261.85,14.998
380,1900000,1881.45,-11682.6416015625,156.6563,380,2266.66,14.9484
381,1905000,1887.21,-11667.9287109375,156.637,381,2263.96,14.8449
382,1910000,1879.38,-11712.9482421875,156.6022,382,2250.77,14.8208
383,1915000,1890.67,-11722.6142578125,156.6337,383,2264.09,14.8239
384,1920000,1892.82,-11724.916015625,156.7306,384,2264.24,14.9215
385,1925000,1880.56,-11770.7216796875,156.68,385,2263.29,14.9525
386,1930000,1885.26,-11760.0439453125,156.5348,386,2257.07,14.8
