Running Update Time,Running Reverse KL,Real Det Return,Itration,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return
119,23.7635,388.06,119,-2692.352783203125,595000,32.6692,412.68
120,24.059,736.87,120,-2725.88037109375,600000,32.6696,753.71
121,37.2794,88.33,121,-4507.39111328125,605000,34.6754,71.91
122,25.9971,1102.56,122,-3655.427978515625,610000,33.3767,1092.22
123,30.1528,1114.85,123,-3102.81494140625,615000,33.7086,1113.47
124,32.9884,1017.69,124,-4578.724609375,620000,34.024,1016.99
125,31.5065,995.2,125,-4617.4033203125,625000,34.1123,997.71
126,70.5972,661.12,126,-4024.466064453125,630000,33.2121,470.35
127,42.4056,206.18,127,-3828.39208984375,635000,33.1025,204.23
128,26.4664,268.22,128,-2841.12890625,640000,32.2903,281.43
129,23.0799,797.79,129,-2911.7041015625,645000,32.7664,911.54
130,26.6562,1008.88,130,-4492.68310546875,650000,33.5601,947.61
131,20.2674,392.7,131,-3668.84912109375,655000,33.2232,387.84
132,28.2174,984.45,132,-4772.3564453125,660000,34.6768,983.36
133,90.5476,178.34,133,-3845.1015625,665000,33.1489,168.67
134,76.1959,412.77,134,-3552.3017578125,670000,32.6048,417.01
135,22.8707,365.15,135,-3336.65625,675000,32.5437,372.02
136,21.1537,730.72,136,-4438.73779296875,680000,33.53,962.26
137,36.0701,210.55,137,-4062.26953125,685000,32.9673,220.28
138,23.6835,264.17,138,-4239.0205078125,690000,34.0538,267.41
139,21.3331,374.35,139,-4134.8486328125,695000,33.7505,371.63
140,21.7901,190.41,140,-4302.57763671875,700000,33.9104,194.47
141,81.5279,244.01,141,-3919.258544921875,705000,33.0992,237.38
142,43.1334,479.79,142,-3652.2099609375,710000,32.5645,524.01
143,19.9314,983.5,143,-3674.6396484375,715000,33.0355,919.09
144,21.4113,211.39,144,-4531.1494140625,720000,33.9979,219.51
145,22.0771,204.31,145,-4326.9326171875,725000,33.7304,198.05
146,21.3129,193.77,146,-4454.0390625,730000,33.5078,215.45
147,44.4205,465.15,147,-4517.59716796875,735000,33.0216,439.01
148,162.7722,72.67,148,-4705.1494140625,740000,37.4444,73.13
149,23.1163,205.7,149,-4203.15673828125,745000,32.0973,208.12
150,53.9835,555.65,150,-4066.902587890625,750000,32.1536,551.28
151,34.2694,98.06,151,-3966.386474609375,755000,32.137,98.63
152,28.7245,474.68,152,-4037.95068359375,760000,32.2319,532.65
153,29.2635,974.48,153,-5635.17431640625,765000,33.7172,975.71
154,20.7776,557.67,154,-5004.1767578125,770000,33.3212,446.17
155,26.9463,696.42,155,-5351.54248046875,775000,33.4327,806.4
156,24.2725,1044.49,156,-5210.12109375,780000,33.5326,1044.01
157,25.7036,1043.82,157,-4920.12548828125,785000,33.6212,1041.14
158,25.8332,1007.98,158,-5214.96337890625,790000,34.282,1007.66
159,20.9352,1082.9,159,-5034.71484375,795000,33.8219,1077.02
160,21.34,397.02,160,-5258.45458984375,800000,33.8702,381.06
161,20.2635,1037.92,161,-4985.31982421875,805000,33.4546,1054.09
162,30.0553,464.35,162,-5081.81298828125,810000,33.0854,515.37
163,123.2154,284.13,163,-4859.6279296875,815000,32.792,276.98
164,24.9471,988.05,164,-5982.21630859375,820000,34.6022,1012.97
165,107.5987,512.46,165,-5131.05615234375,825000,32.2143,517.43
166,42.1314,825.77,166,-4726.08447265625,830000,31.9409,762.82
167,31.499,686.1,167,-4758.4755859375,835000,32.9853,780.85
168,38.9548,562.4,168,-5158.71630859375,840000,32.1034,548.81
169,43.4916,512.8,169,-4964.74609375,845000,32.684,551.43
170,21.0076,1067.09,170,-5501.1025390625,850000,33.6368,1065.31
171,19.4431,307.53,171,-5461.4267578125,855000,32.3973,299.66
172,21.5784,382.09,172,-5197.85400390625,860000,32.8193,418.43
173,19.1073,1094.28,173,-5159.9658203125,865000,33.5497,1104.86
174,19.9921,1116.24,174,-5450.18212890625,870000,33.5708,1115.02
175,19.2934,1071.87,175,-5446.4169921875,875000,33.638,1070.81
176,48.9519,629.73,176,-5153.1708984375,880000,32.3841,632.3
177,46.3846,793.38,177,-5165.1806640625,885000,32.3026,799.08
178,174.0825,136.32,178,-5819.73095703125,890000,34.9817,133.48
179,22.8481,537.08,179,-5323.98486328125,895000,33.6384,595.03
180,46.9927,181.59,180,-5984.7978515625,900000,31.8131,186.32
181,46.3235,464.76,181,-5710.3505859375,905000,31.3768,463.96
182,76.8954,120.08,182,-5645.37890625,910000,31.4458,123.34
183,24.5281,789.41,183,-5410.1455078125,915000,32.5063,833.21
184,162.878,132.56,184,-5995.42919921875,920000,33.7514,217.58
185,26.6753,987.46,185,-5229.94677734375,925000,32.3624,854.15
186,21.2546,600.64,186,-5161.69970703125,930000,32.9624,528.29
187,20.5086,1038.48,187,-6080.607421875,935000,33.6975,1038.97
188,25.7726,1009.95,188,-6916.9677734375,940000,34.3835,1012.98
189,26.0983,1044.76,189,-7230.26611328125,945000,35.745,1043.99
190,88.0118,665.81,190,-5721.89501953125,950000,32.3218,482.66
191,102.8584,301.97,191,-6333.90283203125,955000,33.5007,289.14
192,36.2924,842.85,192,-5447.9013671875,960000,32.8554,781.54
193,40.8886,1004.99,193,-7975.79931640625,965000,38.4724,1004.62
194,32.5158,1022.26,194,-7921.22900390625,970000,38.1926,1022.1
195,22.9668,540.29,195,-6993.6884765625,975000,33.9547,554.32
196,28.0663,1027.24,196,-7763.4931640625,980000,34.7442,1026.06
197,41.1863,766.27,197,-6752.19873046875,985000,33.4278,685.09
198,21.8017,436.26,198,-6985.8515625,990000,33.7158,528.7
199,35.2869,1013.71,199,-8051.8291015625,995000,35.7952,1013.97
