Running Forward KL,Itration,Running Reverse KL,Real Det Return,Real Sto Return
42.4291,148,17.4388,4305.75,3795.09
42.2368,149,18.2136,4228.73,4119.77
42.2824,150,18.5843,4347.94,3729.26
42.2565,151,18.2757,4324.36,4150.72
42.7528,152,16.7223,4367.52,3333.64
41.3994,153,18.3607,4354.79,3736.75
42.0862,154,18.7671,4320.08,4253.42
41.9334,155,19.13,4387.27,3744.73
41.9753,156,18.0344,4366.78,3845.14
42.0594,157,17.6049,4359.12,4222.97
41.9622,158,17.4031,4339.82,4209.03
41.7074,159,18.1982,4394.41,4075.21
41.6207,160,18.3088,4397.08,4267.41
42.1374,161,19.0396,4294.99,4077.7
42.6041,162,19.8598,4350.28,4256.02
42.0275,163,18.3147,4420.86,4097.95
42.0654,164,18.6451,4402.55,4251.56
42.1745,165,18.4136,4289.66,4188.1
41.8837,166,17.8702,4287.79,4184.98
41.9912,167,16.2954,4303.41,4177.31
42.0803,168,17.3916,4302.05,4214.47
41.8222,169,17.0036,4264.44,4231.59
42.4545,170,18.4407,4365.73,4255.86
41.8123,171,18.2272,4342.31,4228.51
41.8624,172,17.899,4433.95,4285.95
42.3849,173,18.1327,4360.08,4230.6
42.0868,174,18.8509,4389.71,4138.04
41.8519,175,18.3792,4359.49,4268.33
42.5408,176,19.0593,4393.72,4273.77
41.8179,177,17.038,4353.06,4257.3
42.2096,178,19.2084,4361.93,4281.38
41.7985,179,18.1383,4345.64,4263.59
41.9098,180,17.5559,4442.26,4312.04
41.7661,181,18.7363,4358.4,4272.1
42.0311,182,17.3184,4429.16,4330.14
41.7186,183,17.0975,4397.58,4292.81
41.9464,184,17.2897,4421.17,4322.98
41.9407,185,18.2673,4342.05,4261.52
41.6407,186,17.4321,4408.32,4274.29
42.3417,187,18.1673,4366.51,4256.64
41.0958,188,17.1439,4401.4,4285.09
41.8157,189,17.6338,4429.28,4328.64
41.7521,190,17.0369,4468.92,4186.82
41.818,191,18.7668,4411.02,4306.56
42.7345,192,20.1289,4474.8,4367.53
41.1765,193,16.8694,4481.83,4356.99
42.1402,194,18.434,4437.33,4305.94
41.3658,195,16.9643,4479.78,4311.96
42.4809,196,20.2752,4436.68,4298.8
41.2838,197,17.2132,4371.98,4317.26
41.7038,198,16.9478,4383.63,4261.74
41.7868,199,17.9733,4505.39,4263.33
41.8137,200,17.6744,4389.43,4332.36
41.5034,201,17.4748,4420.42,4312.92
41.4561,202,18.2504,4466.07,4387.54
41.4258,203,17.3595,4449.39,4336.75
41.6124,204,18.623,4501.42,4375.29
41.3408,205,17.5987,4444.22,4343.87
41.2393,206,17.4804,4470.71,4195.41
41.7006,207,17.6145,4441.85,4347.17
41.5013,208,18.0578,4495.8,4405.59
41.2482,209,16.804,4534.85,4251.19
41.2546,210,17.5179,4482.66,4373.44
41.2863,211,20.5434,4521.58,4231.9
41.0523,212,16.5758,4494.98,4382.2
41.3203,213,15.9696,4496.87,4388.36
40.9953,214,24.4215,4471.9,4064.66
41.1305,215,16.6901,4497.45,4204.18
41.639,216,16.7882,4519.55,3717.05
41.1847,217,17.1604,4543.29,4375.37
41.5209,218,17.3934,4521.08,4382.34
41.3479,219,17.3597,4562.97,3979.91
41.5404,220,17.7376,4559.42,4296.73
41.6485,221,17.9307,4528.39,4297.21
41.4046,222,18.9637,4512.69,4300.5
41.783,223,13.7233,4570.7,4108.99
41.5151,224,19.1783,4575.71,3934.96
41.0637,225,17.6524,4539.17,4015.54
42.1709,226,17.1738,4567.34,3623.11
40.8796,227,19.143,4471.41,3539.9
41.8605,228,14.19,4403.47,3100.86
41.681,229,16.399,4508.04,3856.08
41.2381,230,15.3685,4571.58,4194.73
41.3638,231,26.7564,4606.93,4223.23
41.5567,232,16.447,4605.13,4232.71
40.8961,233,17.0163,4603.96,4372.14
41.5766,234,19.304,4625.89,4165.06
41.4493,235,15.2495,4610.61,4282.69
41.4825,236,16.5027,4536.46,4349.46
41.4315,237,19.3489,4015.24,3727.99
41.5398,238,21.5084,2775.67,3577.97
41.4107,239,13.7096,1900.07,3658.47
41.4751,240,20.1852,4535.73,3544.11
40.7246,241,21.4922,3340.78,3541.35
41.4994,242,13.1455,1596.1,2197.4
41.5721,243,17.2132,1612.46,3186.05
41.5432,244,13.9454,1075.85,1738.54
41.962,245,26.7659,3123.64,2864.85
41.5043,246,17.7603,2332.14,3572.93
41.7005,247,15.4361,1430.24,3177.6
43.4901,248,13.4751,2444.81,2892.41
41.3063,249,15.1635,1996.87,2494.5
41.422,250,13.6739,2716.44,2299.14
41.4357,251,14.1461,1589.15,2122.83
42.2283,252,14.0057,1900.29,2702.36
40.46,253,16.9605,3192.21,3548.02
40.9415,254,14.4168,4580.21,3978.69
41.2209,255,14.898,4282.53,3886.01
41.3458,256,15.0314,4571.19,3371.14
41.2993,257,14.4784,3350.65,3303.36
40.5371,258,15.4766,4565.64,4135.63
40.2704,259,16.6257,4562.92,4513.14
40.7404,260,16.2592,4527.91,4468.32
40.6616,261,16.7925,4581.73,4298.78
40.481,262,16.3465,4562.15,4536.96
40.2547,263,16.3702,4404.2,4316.61
40.4044,264,15.5539,4641.43,4341.89
40.3856,265,15.3363,4588.02,4495.66
40.2563,266,16.1512,4527.17,4499.66
40.7887,267,16.4117,4630.07,4274.6
40.5201,268,16.7738,4600.67,4552.08
40.3004,269,15.726,4607.64,4520.38
40.707,270,15.2043,4651.23,4310.93
40.4213,271,16.1005,4659.03,3932.43
40.3299,272,15.6641,4627.21,4490.44
40.3304,273,16.2373,4613.84,4522.58
40.7934,274,14.7117,4524.71,4131.5
40.6521,275,16.6991,4643.63,3910.95
40.3811,276,15.96,4662.62,4353.53
39.9589,277,15.5833,4629.7,4309.02
40.6309,278,16.0432,4687.21,4390.58
40.3231,279,16.0873,4691.93,4111.07
40.5869,280,16.2891,4687.48,4475.63
40.2597,281,15.6342,4691.35,4228.7
40.3691,282,16.1407,4667.02,3961.36
40.8415,283,15.021,4610.31,4098.28
40.362,284,16.0153,4663.4,4434.64
40.1641,285,16.0414,4605.52,4569.66
40.525,286,15.6262,4638.58,4375.37
39.9627,287,15.8243,4645.0,4325.38
40.245,288,16.1679,4683.65,4073.28
40.5468,289,16.7279,4662.3,4561.64
40.4755,290,16.2999,4634.1,3986.1
40.3269,291,16.394,4648.19,4395.99
40.6875,292,16.0831,4598.49,4518.43
39.6419,293,15.4003,4708.89,4586.23
40.0808,294,15.4356,4679.14,4189.3
40.2729,295,15.2628,4701.32,4546.6
40.3772,296,13.9169,4649.3,4424.97
40.0448,297,15.3468,4682.21,4376.04
40.1362,298,14.2302,4735.34,4346.25
40.6593,299,14.4079,4705.14,3776.59
40.4432,300,16.0514,4655.47,4597.41
40.2568,301,14.9681,4688.99,4222.77
40.4513,302,16.23,4662.07,4554.95
40.3191,303,15.2304,4779.35,4270.33
40.4484,304,15.6666,4571.58,4416.21
40.2348,305,13.5079,4787.59,4101.53
40.1598,306,15.4178,4728.98,4367.08
40.7201,307,15.0843,4701.04,4619.43
40.0043,308,15.9933,4727.6,4417.29
40.3303,309,15.1281,4686.54,3780.53
40.0449,310,15.9695,4705.92,4176.85
39.8431,311,15.2624,4677.06,4564.56
40.5847,312,15.6686,4666.94,4525.02
40.2526,313,16.6481,4683.5,4616.58
40.4376,314,16.3926,4678.23,4398.54
40.4142,315,16.7915,4709.44,4379.8
40.6131,316,15.232,4650.76,4206.26
40.4769,317,15.8365,4633.7,4574.16
40.6144,318,15.3625,4691.02,4605.32
40.1876,319,15.7644,4772.96,4478.41
40.2643,320,16.0017,4737.89,4612.36
40.2892,321,16.5295,4790.34,4654.23
40.2069,322,19.189,4777.3,3950.54
50.7582,323,21.4582,334.48,345.91
49.9225,324,30.1478,316.62,445.64
50.2494,325,27.8077,318.44,375.8
45.2004,326,24.4386,1396.68,1108.69
44.2774,327,20.4176,1816.83,1512.73
42.0501,328,21.048,3730.86,3705.85
43.0018,329,17.7873,3971.95,3518.13
42.0851,330,17.8275,4228.76,3645.23
42.1862,331,17.588,4600.85,3842.02
41.6033,332,17.1049,4655.01,4586.84
41.4962,333,24.9188,4733.63,4064.07
41.3776,334,18.9909,4753.78,4598.46
41.5066,335,19.8991,4696.55,4602.49
40.8685,336,17.7052,4640.19,4590.54
40.8394,337,17.7625,4719.66,4628.48
40.5467,338,17.6377,4692.22,4588.79
40.7428,339,18.2409,4693.63,4419.7
41.0698,340,18.1652,4707.78,4529.26
40.8744,341,18.0086,4700.75,4571.88
40.9942,342,18.3206,4681.75,4556.06
40.8784,343,17.279,4733.6,4481.59
40.5006,344,18.0833,4738.64,4618.67
40.6362,345,17.3982,4695.47,4600.67
40.7601,346,17.1443,4673.86,4572.63
40.548,347,17.048,4657.27,4570.78
40.6417,348,17.048,4616.67,4517.84
40.2733,349,16.5753,4665.34,4394.61
40.4517,350,16.6903,4720.26,4636.8
40.3839,351,16.8545,4647.05,4565.32
40.55,352,16.8202,4678.53,4393.24
40.5124,353,16.9065,4700.49,4592.76
40.8835,354,16.0006,4645.69,4552.48
40.3257,355,16.5772,4683.03,4401.09
40.0153,356,15.7907,4667.6,4449.89
40.2902,357,16.0254,4647.04,4550.57
40.3553,358,16.9983,4689.68,4477.27
40.3356,359,16.8643,4714.9,4101.36
40.3703,360,16.1332,4629.86,4532.3
40.2999,361,18.4146,4673.16,4507.07
40.2656,362,16.3495,4625.42,4555.17
40.5933,363,16.7378,4621.17,4523.78
40.2774,364,16.1077,4652.99,4557.12
40.2801,365,16.3262,4671.96,4236.95
40.3769,366,16.9986,4675.94,4605.54
40.6092,367,16.3441,4110.97,4573.65
40.6141,368,16.2722,4688.33,4452.13
40.8974,369,16.5369,4706.15,4611.86
40.3333,370,17.7553,4678.97,4604.45
39.8174,371,16.0675,4706.23,4429.09
40.2656,372,19.1322,4727.8,4501.54
40.9034,373,17.5402,4699.5,4469.59
40.4458,374,15.9633,4710.2,4607.38
40.7901,375,16.1311,4679.93,4002.04
40.846,376,15.8938,4713.66,4636.44
39.9439,377,16.416,4664.27,4525.94
40.7241,378,16.9079,4685.19,4416.61
40.6922,379,16.3618,4661.04,4594.48
40.2785,380,16.4344,4700.23,4427.71
40.4005,381,16.378,4722.78,4238.45
40.3014,382,17.3674,4702.25,4391.41
40.2171,383,15.7058,4696.28,4589.85
40.3069,384,16.3151,4675.42,3879.73
40.3154,385,15.9825,3862.75,4312.25
40.4556,386,15.2501,4668.38,3954.5
40.8065,387,15.5593,3995.22,4279.49
40.5513,388,16.2713,4607.89,4538.97
40.1895,389,15.3706,4701.66,4603.31
39.8991,390,15.987,4689.06,4370.22
40.3407,391,15.6783,4664.65,4549.87
40.1367,392,16.0518,4668.4,4569.78
40.0781,393,15.9292,4685.8,4561.15
40.3146,394,15.6343,4661.6,4538.81
39.8717,395,15.768,4642.22,4553.04
40.1119,396,16.3236,4704.38,4590.3
39.8715,397,16.0579,4678.86,4561.09
39.9445,398,15.914,4664.98,4564.03
39.8722,399,15.6808,4657.7,4567.5
39.9951,400,15.9938,4595.39,4522.48
40.393,401,15.8357,4615.54,4327.88
40.0312,402,16.5784,4641.9,4537.0
39.7288,403,15.7134,4648.36,4524.36
40.6785,404,16.2259,4601.39,4522.86
39.8759,405,16.1615,4654.07,4535.38
40.8469,406,16.2623,4626.66,4520.02
39.9316,407,16.3282,4636.47,4549.31
40.29,408,15.9566,4662.63,4558.21
39.8863,409,15.6032,4626.61,4545.77
40.4806,410,20.2674,4654.01,4544.55
40.2699,411,16.5238,4619.37,4528.55
40.0156,412,15.9311,4620.15,4514.28
40.6457,413,16.4276,4568.82,4499.56
40.35,414,16.1161,4629.91,4556.27
40.4278,415,15.7968,4584.05,4495.81
40.2951,416,15.8484,4623.55,4529.02
40.2597,417,16.4899,4601.35,4506.57
40.3269,418,16.0194,4597.07,4511.99
40.4684,419,17.1114,4611.64,4530.11
40.3306,420,16.5326,4638.37,4547.35
39.9469,421,15.9336,4662.67,4562.2
40.1765,422,16.1609,4603.4,4533.1
39.8818,423,16.1221,4674.58,4599.55
39.9602,424,18.4351,4657.54,4457.09
39.9256,425,16.4137,4661.39,4575.99
40.6606,426,16.4075,4624.4,4574.74
40.1095,427,15.7461,4620.34,4556.07
40.327,428,16.1981,4579.02,4346.05
40.289,429,16.813,4611.43,4531.65
40.1564,430,16.6402,4664.23,4600.95
40.5392,431,16.1719,4682.99,4611.57
40.3083,432,18.573,4683.2,4433.97
40.3215,433,16.6317,4675.91,4440.68
40.1105,434,16.1253,4640.29,4584.26
40.1172,435,29.4652,4672.33,4231.6
39.8551,436,16.7078,4673.41,4598.85
40.9897,437,29.2169,4698.58,4609.49
40.3388,438,16.8711,4693.96,4608.8
40.2467,439,16.7314,4687.51,4620.07
40.3061,440,17.087,4681.83,4623.47
