Itration,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss,Running Update Time
132,15.3441,2999.11,660000,2155.38,24.5937,-2529.639404296875,132
133,14.3892,2944.92,665000,2910.85,25.2404,-1914.8131103515625,133
134,15.6286,3030.79,670000,2644.82,24.9245,-2088.437255859375,134
135,13.8742,2906.92,675000,2742.45,24.751,-2021.3946533203125,135
136,30.037,716.94,680000,2028.83,26.6855,-2876.3193359375,136
137,15.0875,680.53,685000,2460.08,26.4078,-2405.055419921875,137
138,14.8409,2945.76,690000,2955.65,25.585,-2244.581298828125,138
139,16.8845,2112.02,695000,1778.73,25.1342,-3163.080322265625,139
140,14.9128,3036.84,700000,2962.29,24.9805,-2013.635498046875,140
141,16.9666,2534.6,705000,1752.38,24.5476,-3250.67431640625,141
142,15.3095,2955.22,710000,2987.74,24.9137,-2259.556640625,142
143,13.825,3065.35,715000,3005.99,23.784,-2132.666259765625,143
144,13.7253,3070.68,720000,2141.69,23.7347,-2333.030517578125,144
145,15.5387,3040.89,725000,3010.59,25.9665,-2084.26025390625,145
146,14.7139,2771.96,730000,2701.92,25.6282,-2499.10302734375,146
147,15.1336,2852.25,735000,2934.74,25.2779,-2337.864013671875,147
148,14.5633,2991.57,740000,3011.17,24.6346,-2229.427490234375,148
149,13.9751,2815.13,745000,2447.38,24.2511,-2711.62451171875,149
150,23.5911,3144.62,750000,2529.06,23.7226,-3103.51611328125,150
151,15.2954,3082.4,755000,3079.38,25.299,-2392.53466796875,151
152,14.8378,2823.22,760000,2846.33,25.1512,-2661.971435546875,152
153,14.692,3100.93,765000,3068.66,24.745,-2367.697265625,153
154,15.0281,3084.49,770000,3014.66,24.9496,-2354.5615234375,154
155,15.1122,3060.52,775000,3030.98,24.5789,-2299.90380859375,155
156,13.8819,3134.79,780000,3111.21,23.483,-2234.056396484375,156
157,14.6836,3035.96,785000,3054.99,24.2884,-2410.9990234375,157
158,15.3695,3086.09,790000,2881.18,25.1274,-2604.24462890625,158
159,15.5208,3054.59,795000,3019.6,25.6838,-2522.561279296875,159
160,14.9538,3069.8,800000,3024.9,24.443,-2581.738525390625,160
161,15.1337,3043.87,805000,2540.06,24.4309,-2628.835205078125,161
162,15.4393,2962.44,810000,3002.37,25.4241,-2679.36865234375,162
163,15.1241,3141.1,815000,3136.69,24.5144,-2590.710205078125,163
164,14.9784,2844.4,820000,2858.53,25.4215,-2837.854248046875,164
165,14.1052,3039.8,825000,2995.84,23.9199,-2631.23095703125,165
166,12.35,3157.48,830000,2324.17,22.7904,-2739.0185546875,166
167,15.0887,3051.7,835000,3065.01,24.3303,-2493.125732421875,167
168,15.2488,3154.53,840000,3130.67,23.988,-2433.365478515625,168
169,15.1457,3085.11,845000,3068.53,24.1157,-2413.14111328125,169
170,14.6698,3065.09,850000,3034.65,24.808,-2918.941162109375,170
171,15.8327,2895.41,855000,2998.45,26.2303,-2982.69921875,171
172,16.0722,2916.11,860000,2970.79,25.9339,-3108.284423828125,172
173,14.5049,3133.18,865000,3021.56,24.0674,-2641.58154296875,173
174,15.4573,3104.1,870000,3078.93,25.1093,-2836.5302734375,174
175,15.681,3061.62,875000,3046.22,25.3925,-2949.533203125,175
176,14.4146,3093.47,880000,3066.73,24.4416,-2899.474609375,176
177,14.4921,3138.3,885000,2907.22,24.2612,-2815.82958984375,177
178,14.0756,3105.77,890000,2977.01,24.6281,-3184.260986328125,178
179,15.3208,2974.52,895000,3028.52,25.0807,-2974.2724609375,179
180,14.3102,3143.67,900000,3114.69,23.7669,-2863.65576171875,180
181,14.5222,3178.0,905000,3098.75,24.0955,-2981.123291015625,181
182,15.3544,2989.85,910000,3032.38,25.5165,-3107.160400390625,182
183,14.6559,3173.47,915000,2401.2,24.4253,-3018.578369140625,183
184,15.402,3125.95,920000,3045.32,24.3648,-2952.6083984375,184
185,14.8263,3134.26,925000,3124.18,24.626,-3174.179931640625,185
186,14.3468,3125.33,930000,3051.82,24.8073,-3210.39111328125,186
187,14.3858,3184.82,935000,3061.28,24.0544,-2964.379150390625,187
188,14.7832,3159.15,940000,2988.08,24.497,-3139.6376953125,188
189,14.8938,3150.84,945000,3131.63,24.912,-3446.652099609375,189
190,14.7132,3173.31,950000,3024.36,24.4991,-3340.94970703125,190
191,14.4642,3203.78,955000,3147.76,23.8005,-3186.931884765625,191
192,15.9812,3164.66,960000,3037.4,25.7079,-3550.516357421875,192
193,15.7558,3154.94,965000,3095.28,25.0079,-3354.55859375,193
194,15.1183,3109.21,970000,2484.44,24.4699,-3283.929931640625,194
195,13.9778,3202.01,975000,2823.71,24.7481,-3673.8408203125,195
196,14.2561,3196.49,980000,2893.65,24.4796,-3600.878173828125,196
197,16.1238,3181.22,985000,3195.86,24.7245,-3371.05615234375,197
198,15.8282,3195.76,990000,3172.8,24.831,-3330.803955078125,198
199,15.0639,3142.74,995000,1849.02,24.6129,-3400.0263671875,199
