Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Reverse KL
239,4929.77,5031.16,38.8548,17.4361
240,4946.41,5015.29,38.4653,17.7718
241,4927.03,4931.75,38.7464,17.0604
242,4932.26,4976.98,39.2552,16.8818
243,4735.55,5008.47,39.0583,17.9082
244,4885.54,4969.51,39.351,18.1077
245,4888.54,5006.36,38.7689,16.7858
246,4946.49,5056.88,38.9617,17.9658
247,4924.2,5034.06,38.9522,16.8308
248,4874.91,5004.8,39.5614,18.2826
249,3621.47,5053.83,40.0153,23.7403
250,2840.43,4453.15,39.7694,17.5574
251,4702.66,4810.53,41.5363,21.7989
252,1815.95,4151.73,42.2045,23.6104
253,3917.59,4899.57,41.9512,24.0665
254,3073.56,4609.83,40.952,19.1703
255,698.93,36.24,47.3375,24.4617
256,629.51,629.81,45.1189,15.6104
257,2531.99,4739.64,40.405,21.9103
258,1444.81,1347.98,43.1581,21.6771
259,4679.05,4908.89,42.1221,24.315
260,4707.91,4950.64,40.9808,23.401
261,3977.09,4184.98,41.5496,21.9238
262,4289.65,4742.71,41.3907,22.1385
263,4777.03,4867.34,40.927,21.5457
264,4896.18,4977.57,40.832,21.5909
265,4797.05,4875.61,40.1291,20.9934
266,4850.68,4928.3,40.5584,20.8301
267,4658.48,4795.22,40.6463,20.7248
268,4737.6,4929.22,40.1158,19.7519
269,3498.54,3300.43,40.2943,20.7736
270,4452.08,4765.68,40.2418,20.2716
271,4537.71,4835.55,39.098,19.4215
272,4635.67,4930.17,39.4174,19.5952
273,4953.32,5065.01,39.5667,19.5917
274,4895.21,5010.03,40.2394,20.2966
275,4468.9,4964.74,39.4993,20.954
276,4895.58,4999.41,39.8028,19.171
277,4935.37,5048.72,39.2089,18.4159
278,4859.09,4979.56,38.8811,18.5839
279,4895.64,4996.73,39.6326,19.6007
280,4877.23,4979.39,39.9358,17.6976
281,4700.07,5014.58,39.6397,19.8302
282,4891.87,5006.98,39.1723,18.6481
283,4832.75,4948.01,38.4945,18.6845
284,4854.61,4969.97,39.5872,18.8755
285,4885.05,4997.53,40.2725,19.8027
286,4867.76,4969.74,39.8466,18.5878
287,4842.55,4977.44,39.4732,19.4923
288,4790.63,4902.61,39.3507,18.9604
289,4868.61,5024.44,39.7488,19.9115
290,4866.37,5011.14,39.2295,19.3699
291,2846.92,4262.21,39.8304,17.0576
292,4857.16,5027.13,39.055,18.9124
293,4887.07,5024.63,39.2244,18.9796
294,4940.05,5067.11,38.6104,18.7905
295,4896.49,5027.06,38.8277,18.4285
296,4902.38,5020.84,39.7173,18.6659
297,4914.06,5039.58,38.5216,17.7164
298,4927.97,5048.3,39.7384,19.0018
299,4941.64,5063.28,39.7376,18.8286
300,4938.13,5055.24,39.2802,18.7438
301,4946.27,5080.61,38.6807,18.0548
302,4917.94,5041.19,39.3653,18.5488
303,4927.9,5041.85,38.9989,18.2021
304,4943.92,5074.72,39.1245,18.6465
305,4913.87,5061.26,39.2211,18.689
306,4904.52,5045.78,39.2641,18.4547
307,4950.2,5066.51,39.1356,18.7706
308,4960.73,5081.97,39.5857,18.6949
309,4933.05,5064.7,39.3759,18.7786
310,4974.17,5095.17,39.0747,19.462
311,4944.09,5058.81,39.1491,18.79
312,4901.58,5032.61,39.6693,18.668
313,4945.33,5037.64,39.0303,18.593
314,4906.42,5034.59,39.38,17.9586
315,4893.53,5037.82,39.9021,18.695
316,227.99,225.29,51.0919,22.9227
317,4642.09,4721.06,43.3026,24.3732
318,2870.12,2839.2,41.4537,20.3305
319,4510.2,4849.09,40.5407,20.2845
320,4267.81,4742.76,40.2186,19.4781
321,4202.28,4711.89,39.198,17.4877
322,4803.07,4878.01,40.0891,20.4168
323,4799.32,4900.71,40.3614,21.613
324,4811.64,4932.91,39.5375,19.4324
325,4810.85,4942.37,39.9308,19.4176
326,4819.5,4922.89,38.9541,18.4926
327,4885.61,4972.53,38.8535,18.368
328,4870.93,4965.75,39.4275,19.0731
329,4913.96,5056.49,39.0519,18.7392
330,4828.94,5003.85,38.0577,17.9588
331,4869.09,4967.7,39.0767,18.6443
332,4879.43,5004.8,38.8853,18.4202
333,4894.52,4971.39,39.8051,18.92
334,4900.99,5000.98,39.2727,18.6406
335,4926.76,5039.57,38.8567,18.0334
336,4919.68,5035.91,39.1544,18.4582
337,4905.28,4982.33,39.3886,18.0711
338,4941.74,5035.74,39.1537,18.4839
339,4942.12,5036.56,38.9733,18.0981
340,4888.15,4980.11,39.2412,18.3599
341,4869.94,4964.61,39.2193,18.5326
342,4882.6,4993.64,38.7335,18.2953
343,4939.15,5046.36,38.5576,17.7177
344,4953.13,5080.77,37.888,17.3013
345,4932.66,5063.9,38.5099,17.6512
346,4913.12,5047.1,38.4894,16.9523
347,4897.24,5020.89,38.662,17.3865
348,4920.65,5028.12,38.9236,17.374
349,4887.88,4974.16,39.2622,17.478
350,4873.9,4992.33,39.001,17.527
351,4915.78,5028.6,38.6136,17.1544
352,4938.0,5039.48,38.4271,16.9114
353,4918.05,5001.36,38.528,17.3972
354,4902.65,4988.45,38.3806,17.1625
355,4931.22,5029.22,38.6959,17.3046
356,4908.28,4991.4,38.5643,17.1788
357,4928.58,5024.8,38.5494,17.425
358,4951.79,5067.82,38.5624,17.4321
359,4927.41,5024.96,38.729,17.5732
360,4935.61,5028.8,38.809,17.3852
361,4946.99,5066.38,38.4735,16.9803
362,4850.77,5071.7,37.7499,17.0203
363,4963.29,5074.62,37.7133,16.4254
364,4967.01,5053.79,38.5568,17.6067
365,4934.99,5037.83,38.7144,17.1924
