Real Det Return,Itration,Running Env Steps,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return,Running Update Time
3336.31,74,370000,13.4936,21.0706,-873.7424926757812,3315.19,74
3235.62,75,375000,13.8872,21.3907,-1004.3523559570312,3245.38,75
3326.98,76,380000,12.9002,20.5304,-871.4559936523438,3312.7,76
3317.88,77,385000,12.4722,20.1635,-824.369140625,3311.05,77
3301.54,78,390000,12.6289,19.7847,-908.8388061523438,3305.6,78
3318.74,79,395000,12.4431,20.2705,-850.1425170898438,3041.77,79
3302.83,80,400000,13.8641,21.428,-965.0813598632812,3296.86,80
3330.11,81,405000,12.9449,20.681,-946.673583984375,3258.92,81
3349.8,82,410000,12.4558,20.882,-1068.7227783203125,3270.93,82
3392.38,83,415000,12.9535,20.4793,-878.1966552734375,3252.69,83
3361.62,84,420000,13.418,21.0955,-989.9781494140625,3329.1,84
3353.31,85,425000,12.1351,20.6279,-1181.81103515625,2979.92,85
3328.87,86,430000,12.1587,21.0043,-1051.386962890625,3077.22,86
3347.51,87,435000,13.0161,20.2631,-994.5786743164062,3116.65,87
3410.54,88,440000,12.2454,19.979,-1275.04150390625,3072.7,88
3369.8,89,445000,12.3994,20.3921,-1563.4969482421875,2726.34,89
3368.04,90,450000,12.0795,19.5624,-1002.0744018554688,3330.09,90
3400.95,91,455000,12.3103,20.6508,-1077.1689453125,3015.38,91
3410.58,92,460000,12.7563,19.986,-1029.3394775390625,3382.22,92
3410.51,93,465000,13.2439,20.5259,-943.8045654296875,3332.46,93
3367.43,94,470000,12.0023,20.3104,-1302.4326171875,3128.15,94
3392.88,95,475000,13.7253,21.0773,-1452.6385498046875,2700.19,95
3372.8,96,480000,12.6519,20.6312,-1323.4239501953125,2912.72,96
3343.46,97,485000,12.548,20.4507,-1146.7989501953125,3232.88,97
3409.39,98,490000,12.1286,19.9562,-988.7083740234375,3171.68,98
3434.77,99,495000,12.2841,19.3909,-925.7125244140625,3239.18,99
3445.23,100,500000,12.9308,20.4168,-1149.501953125,3346.75,100
3390.73,101,505000,11.9139,19.0883,-968.851806640625,3369.65,101
3361.96,102,510000,12.3976,19.939,-1439.605712890625,2709.33,102
3410.75,103,515000,11.7176,19.1691,-1047.362060546875,3045.24,103
3416.2,104,520000,12.2665,19.6612,-1122.5706787109375,3360.2,104
3421.38,105,525000,12.5698,19.7197,-1083.462890625,3236.97,105
3420.56,106,530000,12.2541,19.8063,-1647.6502685546875,2615.17,106
3384.75,107,535000,12.0953,20.0828,-1342.3651123046875,3016.88,107
3391.63,108,540000,12.482,20.2279,-1163.589599609375,3396.24,108
3411.36,109,545000,13.4155,20.5817,-1199.747802734375,3389.72,109
3436.02,110,550000,11.6069,19.0154,-1024.8953857421875,3349.22,110
3420.38,111,555000,11.9695,19.517,-1217.232177734375,2951.72,111
3374.76,112,560000,12.8464,20.8399,-1730.3287353515625,3285.51,112
3369.66,113,565000,11.7611,19.3224,-1149.8018798828125,3269.02,113
3365.07,114,570000,11.0394,19.0801,-1211.9102783203125,3048.68,114
3359.29,115,575000,11.6319,18.9116,-1184.22998046875,3359.57,115
3409.02,116,580000,12.7188,19.8512,-1209.6729736328125,3357.41,116
3373.72,117,585000,12.7555,19.9624,-1269.2197265625,3262.98,117
3377.19,118,590000,11.5438,19.1303,-1174.3946533203125,3344.42,118
3402.5,119,595000,11.5284,18.7007,-1190.1962890625,3344.03,119
3417.95,120,600000,12.5451,20.5164,-1430.97802734375,3139.73,120
3373.43,121,605000,11.4518,18.8142,-1275.816650390625,3317.11,121
3381.05,122,610000,13.4793,20.1907,-1408.8297119140625,3360.36,122
3365.24,123,615000,12.5077,20.2847,-1389.6630859375,3220.67,123
3359.06,124,620000,12.4174,19.0673,-1319.0517578125,3348.6,124
3476.51,125,625000,13.1727,19.9122,-1156.25048828125,3442.23,125
3416.22,126,630000,11.1876,19.1103,-1364.435302734375,3165.89,126
3384.33,127,635000,11.7918,19.1517,-1255.9659423828125,3371.98,127
3420.2,128,640000,12.9484,19.4566,-1249.855712890625,3402.28,128
3388.6,129,645000,12.4051,19.0573,-1391.1192626953125,3376.12,129
3383.46,130,650000,11.3874,20.0407,-1424.0538330078125,3275.56,130
3381.91,131,655000,11.4827,18.4037,-1191.704345703125,3347.21,131
3398.7,132,660000,11.6062,17.8768,-1133.3819580078125,3380.27,132
3443.87,133,665000,11.8924,19.6881,-1248.9825439453125,3116.87,133
3362.68,134,670000,12.2522,18.5557,-1454.717041015625,3348.86,134
3415.5,135,675000,11.4911,17.5139,-1171.33203125,3399.54,135
3406.35,136,680000,11.8046,18.8112,-1218.1612548828125,3396.72,136
3399.31,137,685000,11.6775,18.3124,-1273.2601318359375,3375.77,137
3424.32,138,690000,11.9762,18.3866,-1194.9515380859375,3407.03,138
3377.81,139,695000,11.7183,18.2001,-1454.39990234375,3347.45,139
3396.17,140,700000,11.5092,17.6133,-1249.939208984375,3370.85,140
3375.78,141,705000,10.7783,17.8624,-1445.3861083984375,3343.76,141
3437.23,142,710000,11.6698,17.7764,-1120.3004150390625,3412.5,142
3414.75,143,715000,11.3809,18.3047,-1166.2291259765625,3277.13,143
3417.48,144,720000,11.1335,17.8291,-1050.4298095703125,3323.26,144
3432.58,145,725000,11.1533,17.1756,-1131.0255126953125,3415.32,145
3428.09,146,730000,11.4096,18.048,-1181.151123046875,3426.21,146
3476.5,147,735000,11.1081,18.4081,-1103.727783203125,3300.21,147
3402.71,148,740000,12.2778,18.8588,-1515.862548828125,3344.68,148
3446.71,149,745000,11.6588,18.1392,-1105.531982421875,3402.33,149
3419.73,150,750000,10.549,16.9633,-1072.928466796875,3369.98,150
3436.25,151,755000,11.5433,17.6748,-1276.72802734375,3403.52,151
3475.54,152,760000,11.9279,17.5356,-1069.523193359375,3450.31,152
3432.91,153,765000,11.0721,17.3664,-1181.0760498046875,3315.47,153
3464.58,154,770000,11.328,18.127,-1236.8065185546875,3459.17,154
3453.64,155,775000,11.4096,17.3679,-1206.3486328125,3432.86,155
3436.48,156,780000,11.521,18.0731,-1323.3408203125,3263.91,156
3374.78,157,785000,10.7362,18.0614,-1340.9334716796875,3146.82,157
3433.8,158,790000,10.8711,18.1219,-1245.0699462890625,3332.49,158
3466.06,159,795000,11.6127,18.4549,-1214.6568603515625,3423.6,159
3476.0,160,800000,11.9613,18.6828,-1021.4111938476562,3236.7,160
3449.22,161,805000,10.9012,16.6241,-1138.175048828125,3428.13,161
3398.92,162,810000,11.6738,17.6595,-1415.5814208984375,3382.98,162
3438.66,163,815000,12.3149,19.2317,-2276.44580078125,2647.48,163
3452.26,164,820000,10.8531,17.3802,-1153.1158447265625,3394.48,164
3457.83,165,825000,10.7822,17.6851,-1300.90234375,3168.7,165
3413.58,166,830000,10.1888,16.954,-1263.7843017578125,3413.09,166
3467.26,167,835000,10.3716,18.0034,-1084.4825439453125,3361.03,167
3425.35,168,840000,11.2321,17.5119,-1445.1658935546875,3401.34,168
3458.34,169,845000,11.7967,19.3488,-1514.1907958984375,3195.76,169
3429.83,170,850000,11.4969,18.5762,-1304.534423828125,2996.83,170
3430.12,171,855000,11.2323,17.5077,-1269.4539794921875,3404.29,171
3425.48,172,860000,10.3775,17.4606,-1513.18701171875,3387.59,172
3470.04,173,865000,11.2118,17.9463,-1200.5054931640625,3448.71,173
3414.2,174,870000,10.509,17.8827,-1579.759521484375,3291.89,174
3451.77,175,875000,10.9134,17.2851,-1280.3521728515625,3402.08,175
3476.26,176,880000,10.7846,17.269,-981.9337768554688,3371.41,176
3459.59,177,885000,10.8849,17.6629,-1306.435546875,3264.73,177
3397.47,178,890000,10.8293,17.4497,-1357.5106201171875,3387.56,178
3413.92,179,895000,10.7881,18.1089,-1521.21630859375,3372.72,179
3454.04,180,900000,10.2542,16.8026,-1052.928955078125,3261.9,180
3412.17,181,905000,11.2772,18.3408,-1730.5093994140625,3299.25,181
3423.13,182,910000,11.6463,18.0366,-1589.563720703125,3399.11,182
3439.09,183,915000,11.1778,17.1246,-1220.3770751953125,3435.49,183
3414.31,184,920000,10.7282,17.0894,-1600.48779296875,3390.68,184
3445.13,185,925000,11.3475,17.2314,-1290.842529296875,3396.59,185
3458.98,186,930000,10.9583,17.6231,-1302.6162109375,3359.74,186
3424.86,187,935000,10.975,17.6115,-1489.3050537109375,3372.13,187
3427.29,188,940000,10.8511,17.2522,-1355.2567138671875,3309.9,188
3459.28,189,945000,11.6961,17.6729,-1267.724609375,3438.56,189
3450.71,190,950000,10.8609,19.038,-1798.542236328125,3196.39,190
3464.11,191,955000,10.8226,17.779,-1209.286376953125,3160.64,191
3477.0,192,960000,11.4332,17.5065,-1226.025146484375,3464.83,192
3445.33,193,965000,11.0777,18.0706,-1894.9462890625,3159.28,193
3455.42,194,970000,9.8742,17.5346,-1651.416015625,3029.62,194
3435.66,195,975000,10.3211,16.2685,-1302.62158203125,3404.14,195
3424.13,196,980000,11.029,17.1281,-1324.708740234375,3393.32,196
3455.7,197,985000,11.4674,17.431,-1321.5068359375,3434.06,197
3440.41,198,990000,11.7987,17.933,-1420.7156982421875,3438.65,198
3464.66,199,995000,11.5607,18.0917,-1351.265625,3318.5,199
