Real Det Return,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Env Steps,Running Reverse KL,Itration
4741.87,207,4550.81,-16764.537109375,289.5462,1035000,94.5466,207
4708.72,208,4938.97,-17131.615234375,301.2684,1040000,105.3053,208
2137.06,209,4149.41,-16918.720703125,290.6479,1045000,97.4887,209
3771.48,210,3582.66,-17170.705078125,306.9766,1050000,142.8639,210
1877.85,211,4287.11,-17188.556640625,304.0132,1055000,140.3738,211
2083.28,212,3672.37,-17135.6015625,301.053,1060000,142.7594,212
4464.81,213,3524.78,-16844.13671875,286.83,1065000,103.3679,213
2482.88,214,4632.61,-17104.361328125,297.5262,1070000,119.465,214
5251.24,215,4716.87,-17021.38671875,290.759,1075000,95.3311,215
4029.39,216,3892.58,-17054.984375,297.5785,1080000,128.708,216
4710.78,217,4916.82,-16914.359375,297.6347,1085000,134.8614,217
4101.29,218,4660.01,-17116.05859375,298.9294,1090000,125.8334,218
5037.04,219,3912.64,-16545.3046875,287.6083,1095000,104.7972,219
4232.49,220,3805.15,-16836.990234375,291.6482,1100000,108.2229,220
5188.24,221,4576.55,-16912.9609375,288.6313,1105000,102.5581,221
5088.17,222,4083.48,-17076.9609375,289.4952,1110000,99.0936,222
4498.65,223,3578.29,-17034.322265625,288.3177,1115000,104.1266,223
5074.77,224,4582.54,-16691.611328125,288.2697,1120000,97.6985,224
5010.26,225,3959.56,-17186.64453125,291.8981,1125000,129.4245,225
5308.91,226,4980.21,-16950.72265625,284.0008,1130000,94.3324,226
5294.92,227,4268.68,-17022.7734375,292.9345,1135000,125.9227,227
5325.35,228,4632.25,-16792.439453125,287.4617,1140000,88.4735,228
4574.12,229,4313.88,-17079.205078125,286.5664,1145000,92.483,229
5329.43,230,3978.76,-16976.24609375,283.0736,1150000,77.5666,230
5025.1,231,4646.77,-16913.787109375,281.7482,1155000,88.7138,231
4999.99,232,3942.01,-17221.421875,295.2486,1160000,137.5829,232
5052.53,233,4766.08,-17073.546875,286.4413,1165000,79.9676,233
4480.96,234,4405.38,-17161.9140625,290.3546,1170000,93.6551,234
4539.41,235,4282.29,-17468.634765625,304.6978,1175000,142.7435,235
5341.13,236,4196.27,-17435.48828125,288.4592,1180000,98.1249,236
4370.81,237,3638.7,-17697.017578125,302.3922,1185000,122.3669,237
2967.12,238,3670.82,-17680.294921875,296.3576,1190000,99.4379,238
4052.51,239,3808.36,-17704.244140625,298.941,1195000,98.0499,239
3143.88,240,3076.78,-18131.509765625,314.891,1200000,140.9059,240
4642.86,241,3884.03,-17757.5078125,296.5519,1205000,94.1206,241
4769.28,242,4888.03,-17841.544921875,296.14,1210000,115.7465,242
2077.32,243,4363.99,-17925.41796875,310.8955,1215000,125.9129,243
