Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Env Steps,Running Update Time
2240.9,156.9197,-28946.22265625,15.3876,147,1877.3,735000,147
2192.24,156.6445,-29207.146484375,15.3175,148,1876.59,740000,148
2207.08,156.9634,-29331.619140625,15.6893,149,1857.18,745000,149
2132.5,156.7428,-29466.59375,15.4508,150,1872.07,750000,150
2270.83,156.8295,-29789.76953125,15.7356,151,1911.39,755000,151
2214.16,156.7376,-30099.916015625,15.6306,152,1920.15,760000,152
2257.53,156.8793,-30099.53125,15.7047,153,1903.13,765000,153
2241.37,156.7648,-30449.6171875,15.7146,154,1905.78,770000,154
2219.56,156.7277,-30582.9609375,15.3914,155,1861.96,775000,155
2236.64,156.8161,-30563.05859375,15.4227,156,1891.52,780000,156
2127.87,156.6018,-30934.009765625,15.2003,157,1879.87,785000,157
2213.95,156.6917,-31210.232421875,15.5038,158,1888.08,790000,158
2209.63,156.6704,-31550.59765625,15.2686,159,1886.69,795000,159
2224.87,156.8204,-31787.603515625,15.4922,160,1884.52,800000,160
2254.42,156.7214,-32024.58203125,15.8863,161,1912.0,805000,161
2224.62,156.6723,-32263.900390625,15.5655,162,1892.16,810000,162
2179.75,156.9109,-32567.572265625,15.4671,163,1888.24,815000,163
2192.3,156.7667,-32623.2109375,15.2768,164,1896.69,820000,164
2210.72,156.7547,-32930.078125,15.5852,165,1875.31,825000,165
2257.32,156.6947,-33401.3515625,15.6698,166,1908.36,830000,166
2191.76,156.741,-33463.15625,15.4352,167,1872.7,835000,167
2244.77,156.6261,-33560.1015625,15.4798,168,1932.0,840000,168
2263.61,156.7029,-33847.640625,15.5784,169,1907.4,845000,169
2253.19,156.6641,-34057.015625,15.4268,170,1896.55,850000,170
2169.42,156.7651,-34287.6953125,15.1621,171,1830.66,855000,171
2227.71,156.6695,-34656.6015625,15.5563,172,1860.04,860000,172
2240.28,156.6291,-34675.859375,15.4512,173,1931.33,865000,173
2235.52,156.5609,-35134.51953125,15.3638,174,1894.79,870000,174
2245.99,156.7506,-35292.78125,15.3651,175,1873.19,875000,175
2194.65,156.659,-35448.265625,15.4078,176,1871.99,880000,176
2201.3,156.548,-35492.7578125,15.0782,177,1872.96,885000,177
2263.76,156.8419,-36018.765625,15.2928,178,1790.67,890000,178
2193.05,156.6094,-36079.63671875,15.1386,179,1888.04,895000,179
2252.22,156.5426,-36383.69921875,15.2766,180,1883.21,900000,180
2185.72,156.6572,-36670.44921875,15.2847,181,1874.6,905000,181
2278.77,156.7258,-36981.4921875,15.3787,182,1926.82,910000,182
2170.93,156.8346,-37320.26953125,15.3251,183,1873.06,915000,183
2226.34,156.6246,-37478.03515625,15.2701,184,1900.75,920000,184
2198.01,156.6581,-37810.59375,15.2793,185,1868.3,925000,185
2235.66,156.7841,-37911.37109375,15.3479,186,1875.17,930000,186
2203.17,156.5818,-38410.1328125,15.2187,187,1882.27,935000,187
2259.96,156.7564,-38353.83984375,15.2663,188,1919.02,940000,188
2294.65,156.5808,-38777.0625,15.5909,189,1932.57,945000,189
2251.44,156.7705,-38674.14453125,15.2781,190,1910.29,950000,190
2198.08,156.844,-38934.59375,14.9415,191,1839.5,955000,191
2274.22,156.6449,-39481.64453125,15.4482,192,1928.91,960000,192
2285.13,156.6833,-39685.15625,15.4488,193,1927.84,965000,193
2257.09,156.5499,-39611.0546875,15.3185,194,1922.74,970000,194
2208.2,156.6801,-39895.234375,15.2885,195,1875.8,975000,195
2227.88,156.6955,-40227.5390625,15.1653,196,1879.03,980000,196
2238.94,156.8688,-40695.2265625,15.5467,197,1927.9,985000,197
2291.77,156.6994,-40695.05078125,15.3652,198,1935.14,990000,198
2188.21,156.8889,-40795.9140625,15.4377,199,1891.41,995000,199
2244.91,156.5922,-41154.49609375,15.4977,200,1909.68,1000000,200
2261.97,156.6605,-41277.08984375,15.3369,201,1916.37,1005000,201
2254.49,156.6595,-41486.875,15.3209,202,1901.1,1010000,202
2266.54,156.6905,-41626.38671875,15.3529,203,1916.97,1015000,203
2254.96,156.6396,-41777.91015625,15.3958,204,1911.93,1020000,204
2258.51,156.5059,-41940.0234375,15.4429,205,1906.51,1025000,205
2277.49,156.4897,-42010.70703125,15.3546,206,1930.88,1030000,206
2268.4,156.608,-42224.75390625,15.3732,207,1904.45,1035000,207
2248.17,156.6708,-42321.10546875,15.2653,208,1903.55,1040000,208
2267.15,156.5389,-42531.515625,15.3843,209,1932.82,1045000,209
2264.82,156.4275,-42716.71875,15.2421,210,1914.73,1050000,210
2255.47,156.6887,-42937.1171875,15.2698,211,1922.35,1055000,211
2276.55,156.7373,-43158.94140625,15.4334,212,1919.51,1060000,212
2263.09,156.5984,-43130.65234375,15.3204,213,1906.19,1065000,213
2259.12,156.7288,-43237.65234375,15.2636,214,1910.96,1070000,214
2255.82,156.454,-43422.09765625,15.1175,215,1911.63,1075000,215
2231.86,156.6311,-43579.28515625,15.2321,216,1906.74,1080000,216
2242.92,156.6661,-43695.64453125,15.1492,217,1905.05,1085000,217
2251.32,156.6239,-43868.671875,15.1847,218,1904.54,1090000,218
2253.91,156.5843,-43878.42578125,15.249,219,1911.23,1095000,219
2234.22,156.5988,-44063.8359375,15.268,220,1902.16,1100000,220
2222.14,156.6031,-44236.9921875,15.1992,221,1881.84,1105000,221
2252.02,156.6049,-44224.26953125,15.2259,222,1911.33,1110000,222
2266.92,156.5855,-44441.17578125,15.1432,223,1924.61,1115000,223
2232.02,156.5924,-44654.53125,15.0467,224,1913.59,1120000,224
2262.21,156.6129,-45032.07421875,15.3066,225,1890.38,1125000,225
2271.4,156.7742,-44866.8671875,15.3344,226,1913.35,1130000,226
2247.87,156.4937,-45120.33984375,15.244,227,1910.56,1135000,227
2267.67,156.6468,-45317.73828125,15.3065,228,1923.4,1140000,228
2258.71,156.6641,-45404.28515625,15.3988,229,1913.75,1145000,229
2246.65,156.6337,-45361.0,15.3128,230,1921.87,1150000,230
2233.52,156.6142,-45548.5078125,15.171,231,1902.78,1155000,231
2273.38,156.5533,-45649.21484375,15.3733,232,1912.07,1160000,232
2287.37,156.4874,-45760.98828125,15.2099,233,1909.54,1165000,233
2265.46,156.7241,-45915.8515625,15.3535,234,1911.17,1170000,234
2277.38,156.6434,-46186.3203125,15.3243,235,1916.43,1175000,235
2280.47,156.5397,-46191.28125,15.3675,236,1915.16,1180000,236
2278.69,156.6487,-46293.125,15.2699,237,1916.89,1185000,237
2282.12,156.6249,-46511.10546875,15.469,238,1915.91,1190000,238
2277.96,156.5969,-46512.65625,15.3857,239,1924.9,1195000,239
2241.11,156.5379,-46619.4921875,15.2141,240,1900.45,1200000,240
2266.06,156.6647,-46769.703125,15.2822,241,1915.11,1205000,241
2245.54,156.5185,-47020.23828125,15.4044,242,1914.65,1210000,242
2267.1,156.5434,-46968.31640625,15.3139,243,1923.96,1215000,243
2238.44,156.6751,-47186.984375,15.2407,244,1922.0,1220000,244
2251.82,156.6198,-47368.15625,15.3269,245,1912.45,1225000,245
2248.17,156.7175,-47494.37109375,15.2713,246,1927.57,1230000,246
2240.62,156.5167,-47628.109375,15.517,247,1906.01,1235000,247
2261.25,156.6009,-47728.859375,15.3835,248,1913.7,1240000,248
2232.43,156.5797,-47744.515625,15.3666,249,1901.63,1245000,249
2243.96,156.5005,-48066.6484375,15.2551,250,1934.7,1250000,250
2242.22,156.7789,-48121.21875,15.2721,251,1900.77,1255000,251
2228.28,156.5297,-48126.3515625,15.2611,252,1918.46,1260000,252
2241.97,156.7627,-48199.03515625,15.2037,253,1927.4,1265000,253
2257.66,156.6593,-48490.6875,15.1389,254,1914.22,1270000,254
2298.42,156.6989,-48601.66796875,15.4767,255,1958.62,1275000,255
2262.09,156.6495,-48866.53515625,15.3122,256,1926.96,1280000,256
2258.56,156.6321,-48930.5859375,15.439,257,1923.08,1285000,257
2255.57,156.7193,-48976.046875,15.3708,258,1903.51,1290000,258
2251.42,156.6311,-49214.35546875,15.3286,259,1915.35,1295000,259
2237.0,156.6575,-49411.91015625,15.3686,260,1910.99,1300000,260
2252.32,156.6212,-49327.8515625,15.2745,261,1918.37,1305000,261
2254.05,156.3978,-49413.78125,15.3844,262,1917.63,1310000,262
2238.88,156.6813,-49634.875,15.333,263,1906.96,1315000,263
2202.43,156.3182,-49616.55078125,15.2357,264,1886.28,1320000,264
2245.19,156.7005,-49833.73828125,15.326,265,1897.45,1325000,265
2252.0,156.6432,-50027.61328125,15.2355,266,1919.0,1330000,266
2218.89,156.6734,-49945.38671875,15.1633,267,1905.45,1335000,267
2245.84,156.5134,-50335.99609375,15.397,268,1914.19,1340000,268
2258.12,156.5329,-50095.2734375,15.3953,269,1904.51,1345000,269
2242.61,156.582,-50533.78125,15.2825,270,1908.64,1350000,270
2257.3,156.6781,-50518.98828125,15.5018,271,1913.27,1355000,271
2282.22,156.6614,-50651.42578125,15.4041,272,1924.76,1360000,272
2277.05,156.7558,-50800.4140625,15.5903,273,1927.78,1365000,273
2240.86,156.7151,-50948.92578125,15.3984,274,1890.03,1370000,274
2240.97,156.6847,-50980.71484375,15.2723,275,1895.21,1375000,275
2252.23,156.6963,-51148.21875,15.3458,276,1888.3,1380000,276
2267.71,156.5625,-51009.82421875,15.34,277,1913.49,1385000,277
2257.54,156.6294,-51365.328125,15.4064,278,1924.17,1390000,278
2254.33,156.6235,-51327.37109375,15.367,279,1904.7,1395000,279
2233.72,156.645,-51425.52734375,15.3576,280,1901.33,1400000,280
2275.8,156.3155,-51681.11328125,15.3949,281,1916.77,1405000,281
2262.8,156.4536,-51778.5390625,15.331,282,1883.0,1410000,282
2250.65,156.6692,-51741.59375,15.3747,283,1884.45,1415000,283
2255.59,156.6251,-51885.05859375,15.2822,284,1878.49,1420000,284
2277.04,156.5874,-52006.7109375,15.2869,285,1911.62,1425000,285
2273.6,156.5807,-52215.34375,15.3474,286,1895.8,1430000,286
2286.39,156.6049,-52307.25390625,15.3705,287,1908.33,1435000,287
2283.23,156.6344,-52422.74609375,15.1654,288,1913.02,1440000,288
2275.09,156.7533,-52619.52734375,15.5598,289,1907.49,1445000,289
2295.0,156.6146,-52581.671875,15.4368,290,1912.93,1450000,290
2307.53,156.6884,-52722.91015625,15.3749,291,1924.94,1455000,291
2259.26,156.6728,-52993.87890625,15.3259,292,1901.76,1460000,292
2289.33,156.6724,-52968.234375,15.3417,293,1906.38,1465000,293
2288.13,156.6782,-52956.8125,15.4055,294,1907.29,1470000,294
2281.6,156.7073,-53261.875,15.4746,295,1910.01,1475000,295
2283.09,156.651,-53308.09375,15.3103,296,1917.02,1480000,296
2295.2,156.7186,-53381.05078125,15.467,297,1908.06,1485000,297
2312.57,156.6966,-53655.5859375,15.5582,298,1915.75,1490000,298
2301.12,156.5284,-53611.70703125,15.3195,299,1937.16,1495000,299
2319.26,156.7077,-53654.53125,15.5089,300,1920.96,1500000,300
2321.95,156.6487,-53743.82421875,15.2993,301,1939.87,1505000,301
2308.27,156.7213,-53773.78515625,15.3931,302,1930.51,1510000,302
2322.34,156.7625,-54091.21875,15.4244,303,1936.0,1515000,303
2302.9,156.7894,-54036.5546875,15.4912,304,1904.79,1520000,304
2308.93,156.5661,-54234.33984375,15.3267,305,1944.74,1525000,305
2313.45,156.7094,-54394.8515625,15.5711,306,1921.29,1530000,306
2306.37,156.6869,-54427.046875,15.4955,307,1933.27,1535000,307
2317.84,156.6273,-54525.65625,15.5043,308,1926.57,1540000,308
2322.39,156.7021,-54554.6875,15.5806,309,1921.69,1545000,309
2309.74,156.7902,-54646.09375,15.3377,310,1933.73,1550000,310
2295.26,156.6521,-54875.890625,15.2904,311,1930.4,1555000,311
2310.14,156.6774,-54991.546875,15.5356,312,1930.28,1560000,312
2303.28,156.6748,-55101.8984375,15.3964,313,1933.6,1565000,313
2303.76,156.6016,-54944.984375,15.4058,314,1937.08,1570000,314
2306.61,156.6567,-55207.1171875,15.7036,315,1944.68,1575000,315
2289.21,156.6315,-55324.20703125,15.3578,316,1925.93,1580000,316
2323.19,156.3606,-55217.3359375,15.39,317,1928.08,1585000,317
2299.58,156.7008,-55282.92578125,15.5323,318,1950.44,1590000,318
2309.02,156.6653,-55450.0,15.5259,319,1942.48,1595000,319
2292.52,156.7564,-55639.79296875,15.3208,320,1937.12,1600000,320
2322.27,156.4914,-55679.19140625,15.3944,321,1941.66,1605000,321
2304.43,156.5309,-55647.2421875,15.4859,322,1949.1,1610000,322
2314.59,156.7059,-55963.36328125,15.304,323,1960.72,1615000,323
2319.43,156.4732,-56118.87109375,15.5809,324,1961.67,1620000,324
2312.24,156.5358,-56046.08984375,15.4198,325,1948.79,1625000,325
2300.91,156.767,-56000.69921875,15.4159,326,1942.64,1630000,326
2305.2,156.6331,-56151.44921875,15.2558,327,1922.16,1635000,327
2270.63,156.6195,-56314.80859375,15.2501,328,1918.1,1640000,328
2318.41,156.6835,-56506.13671875,15.3819,329,1954.16,1645000,329
2311.24,156.5915,-56522.41015625,15.3864,330,1932.53,1650000,330
2306.53,156.6713,-56631.81640625,15.4881,331,1923.74,1655000,331
2333.98,156.7989,-56829.65625,15.4303,332,1937.64,1660000,332
2316.01,156.7671,-56714.65234375,15.4773,333,1942.54,1665000,333
2301.5,156.6698,-56955.00390625,15.2931,334,1926.95,1670000,334
2322.21,156.6327,-56983.6953125,15.3955,335,1937.58,1675000,335
2317.26,156.7156,-57140.015625,15.376,336,1951.48,1680000,336
2321.78,156.7344,-57311.7109375,15.4841,337,1949.77,1685000,337
2323.77,156.7744,-57446.61328125,15.4537,338,1958.72,1690000,338
2330.08,156.4771,-57342.7578125,15.3003,339,1942.0,1695000,339
2309.95,156.669,-57530.9296875,15.6312,340,1941.82,1700000,340
2321.9,156.6281,-57687.59375,15.2844,341,1941.65,1705000,341
2334.05,156.606,-57803.7421875,15.2034,342,1941.7,1710000,342
2330.56,156.7314,-57790.84765625,15.195,343,1951.44,1715000,343
2313.66,156.6168,-57889.94921875,15.3501,344,1948.74,1720000,344
2329.77,156.5387,-57959.01171875,15.4186,345,1924.43,1725000,345
2336.64,156.7139,-58157.046875,15.3973,346,1941.73,1730000,346
2346.85,156.7231,-58138.45703125,15.3229,347,1933.26,1735000,347
2344.43,156.3913,-58325.48828125,15.3509,348,1962.36,1740000,348
2329.36,156.6183,-58588.2421875,15.4596,349,1941.79,1745000,349
2333.69,156.5505,-58492.51953125,15.3862,350,1964.34,1750000,350
2308.54,156.7867,-58583.10546875,15.3184,351,1945.09,1755000,351
2315.64,156.6874,-58490.21484375,15.1825,352,1914.68,1760000,352
2318.07,156.6446,-58706.046875,15.2792,353,1937.56,1765000,353
2325.84,156.5569,-58793.421875,15.465,354,1953.03,1770000,354
2309.77,156.8047,-58924.78515625,15.3175,355,1940.92,1775000,355
2299.4,156.5757,-58929.5078125,15.2576,356,1931.06,1780000,356
2319.96,156.6625,-59176.72265625,15.2657,357,1945.81,1785000,357
2318.05,156.6173,-59436.95703125,15.1347,358,1957.03,1790000,358
2327.4,156.7351,-59278.984375,15.439,359,1953.56,1795000,359
2344.48,156.4977,-59378.10546875,15.3163,360,1959.56,1800000,360
2319.35,156.6443,-59460.96875,15.2539,361,1949.66,1805000,361
2320.02,156.6995,-59646.8515625,15.2648,362,1948.46,1810000,362
2331.21,156.5315,-59721.359375,15.1876,363,1944.72,1815000,363
2333.66,156.5413,-59831.7109375,15.2873,364,1953.16,1820000,364
2340.94,156.5652,-59874.515625,15.2361,365,1957.74,1825000,365
2324.95,156.6569,-59993.29296875,15.3646,366,1932.11,1830000,366
2323.17,156.426,-60050.890625,15.1428,367,1949.53,1835000,367
2336.12,156.658,-60217.4765625,15.2784,368,1959.38,1840000,368
2312.26,156.7243,-60072.01171875,15.2604,369,1953.44,1845000,369
2316.74,156.5681,-60461.52734375,15.2764,370,1976.49,1850000,370
2351.66,156.6577,-60642.7734375,15.4079,371,1965.03,1855000,371
2329.46,156.6515,-60691.296875,15.2619,372,1936.65,1860000,372
2355.52,156.5427,-60818.55078125,15.4846,373,1976.18,1865000,373
2322.24,156.6083,-60753.82421875,15.2656,374,1962.3,1870000,374
2336.89,156.4864,-60849.5390625,15.4482,375,1962.59,1875000,375
2305.81,156.5747,-61042.38671875,15.1466,376,1955.02,1880000,376
2330.57,156.6808,-61239.921875,15.1546,377,1945.62,1885000,377
2348.61,156.6818,-61288.4609375,15.0121,378,1941.36,1890000,378
2325.61,156.5806,-61259.7109375,15.1655,379,1970.44,1895000,379
2341.11,156.5687,-61308.734375,15.1018,380,1961.08,1900000,380
2307.43,156.6854,-61504.75390625,15.1593,381,1953.54,1905000,381
2318.9,156.5728,-61662.65625,15.0696,382,1929.14,1910000,382
2318.18,156.618,-61766.46484375,15.1952,383,1956.8,1915000,383
2335.25,156.5464,-61678.98046875,15.3326,384,1942.05,1920000,384
2330.73,156.599,-62068.6328125,15.2435,385,1972.83,1925000,385
2350.61,156.5406,-62126.6875,15.2276,386,1968.55,1930000,386
2342.28,156.6093,-62251.4921875,15.374,387,1970.32,1935000,387
2348.54,156.709,-62390.703125,15.3848,388,1977.09,1940000,388
2360.03,156.567,-62603.92578125,15.3582,389,1970.12,1945000,389
2325.16,156.5486,-62269.62890625,15.4387,390,1967.3,1950000,390
2332.44,156.6767,-62600.22265625,15.1325,391,1980.58,1955000,391
2339.43,156.5828,-62697.47265625,15.3024,392,1972.22,1960000,392
2328.22,156.6345,-62651.16796875,15.3877,393,1954.97,1965000,393
