Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Running Reverse KL
1957.78,-11784.1953125,2306.33,276,156.5322,1380000,276,15.0429
1942.98,-11888.736328125,2305.15,277,156.4947,1385000,277,15.3033
1964.05,-11909.9267578125,2305.93,278,156.3907,1390000,278,15.1797
1948.8,-11955.0498046875,2331.89,279,156.3617,1395000,279,15.2779
1973.86,-11967.2314453125,2322.83,280,156.4421,1400000,280,15.2141
1966.93,-12015.7626953125,2329.0,281,156.4213,1405000,281,15.2304
1961.41,-12035.9462890625,2321.71,282,156.5467,1410000,282,15.226
1981.24,-12062.419921875,2345.19,283,156.4819,1415000,283,15.0839
1963.43,-12141.98828125,2332.74,284,156.4884,1420000,284,15.257
1956.85,-12183.82421875,2320.82,285,156.5065,1425000,285,15.2307
1962.66,-12184.00390625,2322.55,286,156.5054,1430000,286,15.1612
1934.76,-12217.81640625,2330.7,287,156.4739,1435000,287,15.0707
1963.97,-12266.853515625,2313.93,288,156.6087,1440000,288,15.1139
1967.26,-12311.0029296875,2321.32,289,156.5814,1445000,289,15.2311
1964.12,-12339.9482421875,2321.33,290,156.4328,1450000,290,15.088
1967.16,-12324.0537109375,2310.73,291,156.5952,1455000,291,15.2551
1960.1,-12428.0283203125,2301.53,292,156.6051,1460000,292,15.2728
1971.24,-12460.1337890625,2323.88,293,156.5506,1465000,293,15.3208
1954.95,-12462.4765625,2313.15,294,156.5363,1470000,294,15.162
1956.69,-12500.8193359375,2328.42,295,156.6742,1475000,295,15.1202
1935.95,-12536.9677734375,2306.62,296,156.5188,1480000,296,15.3406
1957.83,-12540.7958984375,2315.3,297,156.5137,1485000,297,15.1566
1963.31,-12600.0048828125,2315.17,298,156.5575,1490000,298,15.2635
1970.47,-12604.5224609375,2308.9,299,156.6859,1495000,299,15.1584
1957.36,-12659.783203125,2323.48,300,156.4677,1500000,300,15.1867
1971.14,-12711.9873046875,2305.54,301,156.6141,1505000,301,15.0712
1974.37,-12721.5615234375,2312.6,302,156.6389,1510000,302,15.2246
1966.71,-12707.12109375,2309.63,303,156.6046,1515000,303,15.1765
1974.8,-12724.2578125,2320.72,304,156.4414,1520000,304,15.2759
1970.8,-12775.2001953125,2318.65,305,156.5878,1525000,305,15.1653
1986.63,-12785.62890625,2334.71,306,156.5401,1530000,306,15.0797
1964.47,-12816.875,2288.39,307,156.6194,1535000,307,15.2189
1978.33,-12837.0244140625,2316.44,308,156.4964,1540000,308,15.2497
1978.38,-12895.369140625,2309.38,309,156.6813,1545000,309,15.2609
1974.02,-12943.716796875,2303.86,310,156.6998,1550000,310,15.2821
1962.92,-12987.78515625,2308.47,311,156.4495,1555000,311,15.2164
1956.83,-12969.298828125,2305.62,312,156.6256,1560000,312,15.2023
1958.24,-13009.298828125,2306.61,313,156.5881,1565000,313,15.2135
1970.45,-13028.1279296875,2314.79,314,156.4464,1570000,314,15.337
1938.73,-12989.357421875,2293.58,315,156.5018,1575000,315,15.1583
1964.81,-13077.0380859375,2308.94,316,156.5707,1580000,316,15.2608
1968.96,-13029.0,2313.94,317,156.4902,1585000,317,15.0326
1965.54,-13157.2060546875,2315.15,318,156.5771,1590000,318,15.2046
1968.72,-13158.328125,2305.92,319,156.6133,1595000,319,15.0663
1978.26,-13222.2978515625,2308.73,320,156.5726,1600000,320,15.3955
1951.11,-13249.212890625,2308.69,321,156.6673,1605000,321,15.3788
1961.21,-13253.109375,2308.63,322,156.6239,1610000,322,15.3084
1966.36,-13276.787109375,2314.65,323,156.487,1615000,323,15.2338
1973.58,-13325.70703125,2317.04,324,156.7744,1620000,324,15.3604
1982.3,-13329.2822265625,2317.02,325,156.5454,1625000,325,15.2879
1959.69,-13364.42578125,2305.76,326,156.6037,1630000,326,15.355
1988.91,-13412.5380859375,2325.49,327,156.5935,1635000,327,15.4729
1967.58,-13397.6376953125,2329.66,328,156.5279,1640000,328,15.2796
1979.73,-13469.91015625,2336.21,329,156.6637,1645000,329,15.2387
1961.11,-13488.7373046875,2323.93,330,156.6771,1650000,330,15.5249
1975.06,-13457.12890625,2341.95,331,156.56,1655000,331,15.1641
1971.33,-13514.4716796875,2346.87,332,156.5431,1660000,332,15.1807
1986.62,-13548.4814453125,2342.55,333,156.4663,1665000,333,15.2063
1984.06,-13551.9638671875,2328.78,334,156.7386,1670000,334,15.3132
1982.64,-13626.7490234375,2321.78,335,156.4544,1675000,335,15.3411
1983.35,-13607.7421875,2341.64,336,156.4496,1680000,336,15.209
1962.36,-13620.84765625,2328.13,337,156.5298,1685000,337,15.361
1982.94,-13686.0947265625,2340.77,338,156.6327,1690000,338,15.2118
1990.55,-13712.1064453125,2344.17,339,156.6334,1695000,339,15.2572
1978.7,-13741.28125,2337.18,340,156.6906,1700000,340,15.4549
1969.61,-13782.0849609375,2350.37,341,156.4789,1705000,341,15.2127
1977.38,-13798.59765625,2341.81,342,156.7298,1710000,342,15.4376
1962.32,-13821.3427734375,2341.36,343,156.423,1715000,343,15.3314
1987.61,-13848.447265625,2339.33,344,156.5705,1720000,344,15.1649
