Itration,Running Update Time,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return
49,49,16.3702,245000,2520.79,22.4086,-297.1709899902344,3360.67
50,50,18.6599,250000,3306.93,22.2792,-288.4103698730469,3308.71
51,51,14.6439,255000,3161.98,22.2611,-302.3495178222656,3297.73
52,52,14.1352,260000,3257.72,21.5319,-310.79705810546875,3302.28
53,53,13.1397,265000,3282.59,20.9275,-277.4447021484375,3298.41
54,54,13.4466,270000,3257.58,21.3157,-336.5307312011719,3280.34
55,55,15.0956,275000,2779.12,22.0731,-329.9139099121094,3356.7
56,56,14.0421,280000,3293.15,21.8365,-338.441162109375,3333.93
57,57,14.1136,285000,3306.41,22.0031,-373.3004455566406,3328.05
58,58,13.7646,290000,3298.41,21.1901,-324.4292297363281,3328.64
59,59,13.4614,295000,3013.5,21.7901,-353.2911682128906,3315.18
60,60,15.6146,300000,3275.41,22.6898,-371.1572265625,3344.3
61,61,13.8211,305000,3292.23,21.7727,-358.6146545410156,3336.48
62,62,13.7714,310000,2844.3,22.1385,-399.3158264160156,3337.73
63,63,13.9357,315000,3229.73,22.0408,-409.1434631347656,3339.68
64,64,15.2148,320000,3340.75,22.3671,-383.6950988769531,3364.59
65,65,15.6405,325000,3326.28,22.5523,-405.34307861328125,3334.82
66,66,15.7221,330000,3300.95,22.3833,-373.37213134765625,3374.96
67,67,14.5071,335000,3247.13,22.1573,-408.11517333984375,3341.63
68,68,14.4582,340000,3357.33,22.0325,-432.5103759765625,3367.65
69,69,14.5237,345000,3263.14,21.5884,-441.9048767089844,3284.05
70,70,15.3135,350000,3377.77,22.2501,-428.4207763671875,3400.77
71,71,15.6368,355000,3304.04,22.03,-444.302978515625,3315.03
72,72,15.0687,360000,2850.04,21.9726,-459.4161071777344,3390.92
73,73,14.6878,365000,3320.67,21.5302,-443.4322204589844,3343.58
74,74,14.5013,370000,3299.21,21.5252,-449.625,3342.72
75,75,14.7981,375000,3315.09,21.8463,-486.4263000488281,3336.49
76,76,14.7118,380000,3348.63,22.0674,-485.0564880371094,3371.97
77,77,13.6052,385000,3124.72,21.218,-467.0695495605469,3330.22
78,78,14.5781,390000,3328.74,21.7436,-485.4316101074219,3345.07
79,79,13.7898,395000,3244.64,21.018,-500.3683776855469,3336.34
80,80,13.9065,400000,3333.56,21.0645,-473.3466796875,3337.22
81,81,13.7754,405000,3285.28,21.2337,-494.1448059082031,3354.4
82,82,14.9738,410000,3315.58,22.0889,-546.8883056640625,3330.27
83,83,15.0793,415000,3213.94,22.5227,-563.1328125,3339.59
84,84,13.7703,420000,3351.58,20.8021,-497.55230712890625,3367.56
85,85,15.663,425000,3309.62,21.9691,-597.503662109375,3317.11
86,86,13.8851,430000,3322.18,21.3546,-563.5479736328125,3329.73
87,87,14.6505,435000,3367.43,21.9939,-547.6495361328125,3392.77
88,88,14.8736,440000,3246.2,21.589,-547.5560913085938,3389.22
89,89,14.1607,445000,3394.24,21.3061,-511.4803466796875,3402.95
90,90,13.8654,450000,3352.37,21.7975,-551.9686889648438,3379.69
91,91,13.6005,455000,3365.7,20.8883,-512.868408203125,3383.29
92,92,14.4665,460000,3340.2,21.462,-585.52392578125,3357.94
93,93,14.3074,465000,3359.94,20.9145,-522.3634033203125,3374.85
94,94,13.5991,470000,3394.44,21.2605,-516.5283813476562,3416.77
95,95,14.3265,475000,3396.13,21.0518,-553.6140747070312,3429.27
96,96,13.4958,480000,3360.55,20.6747,-584.6353149414062,3377.2
97,97,14.1157,485000,3372.64,21.2839,-577.2161865234375,3376.14
98,98,13.67,490000,3345.35,20.847,-595.7178955078125,3365.26
99,99,14.2505,495000,3068.12,20.4816,-573.4981689453125,3432.27
100,100,12.1995,500000,3386.39,19.6668,-503.44647216796875,3409.49
101,101,12.8834,505000,3365.23,20.3711,-579.6790771484375,3373.84
102,102,14.5361,510000,3359.04,21.6322,-605.3138427734375,3411.56
103,103,13.1605,515000,3392.53,20.2873,-562.811279296875,3407.39
104,104,13.3115,520000,3422.01,20.2861,-553.2944946289062,3427.02
105,105,13.6464,525000,3355.57,20.6626,-626.7276611328125,3359.29
106,106,13.5118,530000,3381.72,20.654,-613.7373657226562,3399.37
107,107,14.5283,535000,3219.2,20.5397,-596.712890625,3436.03
108,108,12.7574,540000,3325.16,20.0474,-562.2070922851562,3422.54
109,109,13.0247,545000,3398.54,20.2914,-603.1624755859375,3423.91
110,110,13.1387,550000,3387.78,20.2099,-645.0220947265625,3398.73
111,111,13.4413,555000,3403.07,20.2678,-577.7361450195312,3408.74
112,112,13.4857,560000,3415.79,20.8847,-645.1753540039062,3426.16
113,113,13.364,565000,3426.14,20.4768,-600.2364501953125,3414.91
114,114,12.5145,570000,3403.12,20.3177,-616.5726928710938,3425.77
115,115,12.7238,575000,3374.25,20.1348,-623.5943603515625,3385.31
116,116,11.569,580000,3382.47,18.6919,-568.0238647460938,3385.91
117,117,12.6516,585000,3275.22,20.2224,-630.8521118164062,3445.17
118,118,13.0027,590000,3420.34,20.4167,-630.6505126953125,3435.47
119,119,13.6135,595000,3403.14,20.6657,-621.0084228515625,3423.05
120,120,13.812,600000,3452.68,20.5675,-610.7540283203125,3467.81
121,121,12.9024,605000,3414.94,20.0534,-645.863037109375,3444.41
122,122,12.5194,610000,3153.92,20.0937,-694.1487426757812,3407.46
123,123,12.3818,615000,3414.89,19.8035,-589.5148315429688,3452.25
124,124,12.2008,620000,3258.31,20.1273,-682.4119262695312,3460.16
125,125,13.3727,625000,3386.39,20.7692,-778.042236328125,3394.45
126,126,12.9132,630000,3421.98,19.7745,-661.3906860351562,3433.02
127,127,13.4356,635000,3405.48,20.195,-670.630615234375,3411.95
128,128,12.5751,640000,3382.33,19.6025,-705.1232299804688,3394.63
129,129,12.1681,645000,3424.3,19.7715,-641.23486328125,3436.11
130,130,13.0281,650000,3416.82,20.507,-780.7201538085938,3422.18
131,131,11.7486,655000,3393.93,19.0478,-632.4345703125,3433.27
132,132,12.7232,660000,3433.1,19.4664,-672.7599487304688,3437.73
133,133,13.5849,665000,3434.59,19.9815,-709.0214233398438,3466.72
134,134,12.2042,670000,3391.97,19.1769,-745.2183227539062,3415.71
135,135,12.9751,675000,3443.87,20.0979,-708.224853515625,3470.18
136,136,12.1608,680000,3201.05,19.9637,-749.5369873046875,3448.24
137,137,13.2457,685000,3192.23,20.0083,-789.4074096679688,3444.62
138,138,12.1287,690000,3348.11,19.6872,-710.9732666015625,3407.16
139,139,12.8751,695000,3339.09,19.8302,-835.064453125,3352.19
140,140,12.8429,700000,3420.07,19.7475,-750.5711669921875,3418.25
141,141,12.1214,705000,3417.82,19.1561,-754.1860961914062,3405.98
142,142,12.1128,710000,3429.45,19.2602,-718.11474609375,3438.84
143,143,11.5913,715000,3314.82,19.2964,-746.6334228515625,3464.9
144,144,12.5721,720000,3417.51,19.4181,-763.9737548828125,3423.54
145,145,12.615,725000,3393.39,19.1009,-792.4972534179688,3403.32
146,146,13.0985,730000,3401.1,19.7442,-845.0761108398438,3417.54
147,147,12.9384,735000,3259.68,19.6399,-717.5244140625,3489.14
148,148,11.5532,740000,3304.78,19.2861,-780.5511474609375,3455.02
149,149,12.1181,745000,3322.96,19.1604,-806.3753051757812,3409.61
150,150,11.9127,750000,3384.5,18.1026,-732.4953002929688,3389.67
151,151,12.5601,755000,3391.01,19.6677,-698.190673828125,3461.0
152,152,12.7807,760000,3428.03,18.8221,-755.2884521484375,3432.24
153,153,12.6532,765000,3397.22,18.6201,-792.2875366210938,3397.01
154,154,17.5102,770000,3085.71,19.1692,-859.9164428710938,3435.89
155,155,12.4512,775000,3426.14,18.8541,-748.6723022460938,3425.39
156,156,12.349,780000,3413.52,19.2189,-811.2982177734375,3434.55
157,157,11.6564,785000,3295.05,18.4669,-743.2571411132812,3467.34
158,158,11.6096,790000,3439.2,18.4188,-711.1586303710938,3453.07
159,159,12.0558,795000,3402.42,18.8405,-812.5046997070312,3425.46
160,160,12.0318,800000,3268.35,18.793,-807.5755004882812,3453.57
161,161,11.8711,805000,3406.59,18.2814,-816.259521484375,3414.6
162,162,11.7091,810000,3342.62,18.5809,-786.1865234375,3419.56
163,163,11.0451,815000,3371.3,18.0104,-728.4238891601562,3445.63
164,164,11.6955,820000,3404.07,18.8155,-849.039306640625,3439.47
165,165,11.3303,825000,3205.86,18.28,-687.8751220703125,3494.69
166,166,11.9068,830000,3416.16,18.3141,-757.9238891601562,3409.46
167,167,10.7333,835000,3380.89,17.7769,-711.6617431640625,3425.45
168,168,11.6686,840000,3340.06,17.9799,-855.3259887695312,3425.75
169,169,12.4727,845000,3440.42,19.429,-913.9534301757812,3465.45
170,170,12.733,850000,2700.59,19.0305,-914.5992431640625,3422.87
171,171,11.7064,855000,3430.16,17.9772,-735.8209228515625,3426.27
172,172,11.8162,860000,3225.34,18.9385,-949.310546875,3411.75
173,173,11.3212,865000,3417.8,18.3082,-770.8362426757812,3470.94
174,174,11.2757,870000,3450.85,17.5179,-751.7341918945312,3441.61
175,175,13.824,875000,3069.7,18.9688,-924.2969970703125,3437.26
176,176,12.0267,880000,3307.86,18.5389,-986.2274780273438,3412.19
177,177,11.5068,885000,3214.34,18.8904,-867.6206665039062,3443.61
178,178,11.2052,890000,3418.3,17.8453,-882.2845458984375,3431.64
179,179,14.263,895000,3333.68,18.9992,-940.0262451171875,3445.78
180,180,12.0001,900000,3400.06,18.7784,-945.2557373046875,3409.14
181,181,11.3992,905000,3086.39,18.0391,-874.6109008789062,3427.2
182,182,11.8793,910000,3286.81,18.4088,-974.8917846679688,3391.97
183,183,11.9598,915000,3398.68,18.424,-900.0100708007812,3443.26
184,184,19.3844,920000,3326.04,19.1308,-958.0885620117188,3441.92
185,185,11.7079,925000,3293.66,19.1343,-1068.715087890625,3394.12
186,186,12.5288,930000,3374.64,18.4142,-917.3139038085938,3426.21
187,187,13.1467,935000,3293.49,19.0261,-995.9313354492188,3390.17
188,188,11.4928,940000,3357.09,18.0614,-868.9486694335938,3429.18
189,189,12.2887,945000,3170.0,19.234,-1037.133544921875,3431.26
190,190,26.7264,950000,3146.13,19.1114,-1074.1031494140625,3432.51
191,191,21.1173,955000,2368.64,19.1078,-1114.9102783203125,3434.78
192,192,11.1127,960000,3072.61,18.3493,-1053.060791015625,3454.6
193,193,11.4566,965000,3264.07,18.1945,-1061.1541748046875,3417.98
194,194,13.0037,970000,3423.21,18.2416,-996.4376220703125,3451.54
195,195,11.052,975000,3264.86,18.0268,-973.3753662109375,3408.39
196,196,11.7211,980000,3108.78,18.7252,-1121.41015625,3441.36
197,197,13.7446,985000,3320.53,18.5867,-997.9722900390625,3436.18
198,198,11.7878,990000,2521.91,18.8028,-1061.1904296875,3429.6
199,199,11.3981,995000,3340.85,18.0152,-1059.6243896484375,3430.01
