Itration,Running Update Time,Real Sto Return,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL
95,95,3322.38,3454.7,-66.06304931640625,11.6691,475000,23.4285
96,96,3306.06,3447.26,-80.90151977539062,12.14,480000,24.3402
97,97,3420.04,3458.0,-81.49606323242188,11.9476,485000,23.9629
98,98,3348.8,3440.01,-83.54141998291016,11.2496,490000,23.6497
99,99,3299.72,3430.43,-108.51539611816406,11.6916,495000,23.7425
100,100,3394.84,3432.17,-82.14336395263672,11.638,500000,23.7024
101,101,3351.35,3440.34,-95.5941390991211,11.499,505000,24.2465
102,102,3400.11,3436.1,-78.36839294433594,11.6912,510000,23.5644
103,103,3413.68,3451.17,-85.93587493896484,11.7603,515000,23.4432
104,104,3373.88,3425.72,-90.31495666503906,12.4728,520000,24.7003
105,105,3403.77,3444.37,-80.62064361572266,11.4518,525000,23.2223
106,106,3388.17,3422.39,-84.0155029296875,11.816,530000,23.3341
107,107,3391.19,3416.74,-87.72249603271484,11.9607,535000,23.7858
108,108,3414.6,3457.0,-86.6466293334961,10.9726,540000,23.1115
109,109,3316.34,3347.19,-111.26071166992188,11.7241,545000,24.19
110,110,3392.59,3421.76,-96.67910766601562,11.6527,550000,23.6693
111,111,3355.48,3429.84,-88.81581115722656,11.3723,555000,23.5493
112,112,3396.56,3434.5,-95.00211334228516,11.8147,560000,23.7311
113,113,3411.03,3451.78,-89.52647399902344,11.523,565000,23.477
114,114,3305.21,3432.35,-88.83341979980469,11.2349,570000,23.2614
115,115,3331.46,3457.09,-92.68657684326172,11.9308,575000,23.687
116,116,3400.97,3431.25,-109.68550872802734,11.0906,580000,23.4991
117,117,3396.44,3442.94,-89.37654113769531,11.3309,585000,23.0555
118,118,3413.27,3439.33,-89.25367736816406,11.4202,590000,23.0292
119,119,3386.87,3424.44,-98.4365463256836,11.561,595000,23.4222
120,120,3387.44,3429.25,-102.84855651855469,11.2207,600000,23.4668
121,121,3401.32,3443.3,-89.31355285644531,11.3189,605000,23.1848
122,122,3402.0,3433.11,-105.74817657470703,11.9019,610000,24.0691
123,123,3406.15,3442.91,-92.5398178100586,11.3719,615000,23.1
124,124,3374.45,3411.51,-104.85462951660156,11.6215,620000,23.5618
125,125,3387.73,3416.75,-98.43377685546875,11.5171,625000,23.1842
126,126,3407.2,3455.17,-101.57473754882812,10.7507,630000,23.126
127,127,3389.99,3434.06,-97.47755432128906,11.0816,635000,23.0662
128,128,3403.55,3438.82,-98.48509979248047,10.9371,640000,22.6253
129,129,3172.24,3427.87,-129.33258056640625,10.6891,645000,23.6225
130,130,3436.14,3453.52,-97.95409393310547,11.703,650000,23.4725
131,131,3374.62,3421.09,-113.45484924316406,11.4312,655000,23.4841
132,132,3402.51,3438.74,-109.52083587646484,11.3123,660000,23.1419
133,133,3361.36,3403.69,-109.49726104736328,11.351,665000,23.8093
134,134,3401.09,3445.44,-121.98329162597656,11.7769,670000,24.319
135,135,3408.93,3446.2,-106.69739532470703,11.0755,675000,23.1243
136,136,3410.81,3437.23,-112.24279022216797,11.4716,680000,23.1259
137,137,3343.76,3446.54,-107.42528533935547,11.3185,685000,23.4317
138,138,3394.87,3422.69,-109.85054016113281,11.6469,690000,23.5717
139,139,3408.5,3450.39,-108.16999053955078,11.0955,695000,22.6514
140,140,3425.07,3458.77,-107.41191864013672,11.7532,700000,23.5641
141,141,3132.27,3451.75,-138.18820190429688,11.1676,705000,23.6074
142,142,3430.45,3464.92,-111.002685546875,11.447,710000,23.1822
143,143,3331.54,3457.09,-141.81761169433594,12.6524,715000,23.6095
144,144,3407.25,3455.8,-115.19454193115234,10.9282,720000,22.8185
145,145,3419.28,3453.23,-127.19741821289062,11.5785,725000,23.5523
146,146,3339.85,3461.29,-125.54521942138672,11.4193,730000,23.2344
147,147,3420.57,3453.44,-134.05029296875,11.3685,735000,23.4194
148,148,3276.5,3453.56,-123.29214477539062,11.1026,740000,23.3087
149,149,3396.97,3441.81,-121.14608001708984,10.6942,745000,22.3978
150,150,3333.39,3437.03,-125.45035552978516,11.264,750000,23.0843
151,151,3421.07,3451.47,-126.55464172363281,11.3196,755000,22.658
152,152,3412.38,3460.74,-129.47305297851562,11.5917,760000,23.359
153,153,3417.59,3452.0,-141.21966552734375,11.9261,765000,23.2571
154,154,3413.29,3446.99,-139.34397888183594,11.8199,770000,23.7313
155,155,3358.0,3449.11,-134.1234893798828,11.1875,775000,23.0285
156,156,3394.95,3427.07,-141.63755798339844,11.0462,780000,22.8671
157,157,3429.96,3461.69,-126.00428009033203,10.8106,785000,22.6879
158,158,3401.84,3427.35,-144.067138671875,11.9437,790000,23.3117
159,159,3417.36,3452.52,-139.54148864746094,11.3449,795000,23.1128
160,160,3422.28,3440.59,-145.39370727539062,11.554,800000,23.0266
161,161,3408.13,3452.61,-146.507080078125,11.2627,805000,23.3132
162,162,3393.77,3430.09,-141.9201202392578,10.5594,810000,22.4912
163,163,3406.05,3442.06,-142.5921630859375,11.1857,815000,22.8754
164,164,3409.91,3453.38,-158.76426696777344,11.7645,820000,23.3288
165,165,3417.59,3458.16,-153.9945526123047,11.8641,825000,23.0948
166,166,3403.13,3434.02,-152.8592071533203,11.2398,830000,23.011
167,167,3410.16,3432.29,-157.6804962158203,11.5381,835000,23.219
168,168,3385.62,3427.39,-161.34239196777344,11.4634,840000,23.3002
169,169,3379.75,3432.65,-178.8667755126953,14.3648,845000,23.2417
170,170,3435.77,3474.4,-144.72377014160156,10.8508,850000,22.8472
171,171,3406.48,3444.52,-164.2787628173828,11.1392,855000,23.1722
172,172,3397.48,3424.93,-156.1356658935547,10.9574,860000,22.8091
173,173,3415.79,3457.74,-158.61509704589844,11.207,865000,22.7016
174,174,3396.14,3428.58,-166.1793975830078,11.6005,870000,23.4229
175,175,3398.53,3433.14,-163.91944885253906,11.1667,875000,23.0384
176,176,3406.85,3447.33,-161.6850128173828,11.2901,880000,23.2516
177,177,3440.89,3468.38,-159.12094116210938,11.3334,885000,23.1111
178,178,3403.41,3434.97,-164.06179809570312,11.2934,890000,23.1444
179,179,2946.04,3445.52,-176.24560546875,12.1463,895000,23.9394
180,180,3439.52,3467.92,-176.20420837402344,11.7988,900000,23.5306
181,181,3380.47,3418.67,-170.82232666015625,11.062,905000,23.1157
182,182,3419.21,3455.02,-168.12115478515625,11.1,910000,23.0745
183,183,3414.94,3440.53,-171.1058807373047,11.3686,915000,23.3725
184,184,3417.48,3456.39,-173.10963439941406,11.4153,920000,23.1039
185,185,3432.08,3466.26,-185.05735778808594,11.5176,925000,23.4304
186,186,3422.37,3447.69,-173.4407958984375,11.3653,930000,22.9049
187,187,3409.15,3446.28,-182.56930541992188,11.5784,935000,23.1661
188,188,3435.69,3475.29,-173.8741455078125,11.4714,940000,23.3403
189,189,3441.78,3472.67,-181.10279846191406,11.862,945000,23.5436
190,190,3400.31,3441.61,-184.94775390625,11.3555,950000,22.8733
191,191,3431.16,3462.8,-177.03399658203125,11.4214,955000,23.1397
192,192,3413.88,3453.85,-181.60768127441406,11.3456,960000,23.0384
193,193,3408.5,3441.99,-171.2153778076172,10.8283,965000,22.9089
194,194,3381.64,3404.94,-188.35353088378906,11.1149,970000,22.9042
195,195,3362.45,3453.93,-184.10189819335938,11.0168,975000,22.7817
196,196,3425.45,3455.73,-187.97727966308594,11.0351,980000,22.6033
197,197,3410.26,3440.12,-179.20701599121094,10.8661,985000,22.2587
198,198,3432.18,3449.93,-191.830078125,11.0278,990000,22.843
199,199,3399.66,3432.77,-184.40455627441406,10.7111,995000,22.5269
