Running Update Time,Real Sto Return,Running Forward KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Reverse KL
153,1850.74,156.4987,153,-6491.5478515625,765000,2155.56,15.3843
154,1866.76,156.6939,154,-6557.6455078125,770000,2194.89,15.5672
155,1841.59,156.8071,155,-6626.1806640625,775000,2203.14,15.6715
156,1875.76,156.7697,156,-6678.17041015625,780000,2191.24,15.4508
157,1852.01,156.7772,157,-6727.37109375,785000,2218.31,15.549
158,1838.85,156.9586,158,-6803.943359375,790000,2144.25,15.5491
159,1877.87,156.7767,159,-6828.216796875,795000,2212.95,15.5201
160,1882.19,156.6814,160,-6836.05419921875,800000,2233.75,15.4333
161,1908.12,157.0013,161,-6963.255859375,805000,2227.66,16.2195
162,1879.95,156.6633,162,-6984.97607421875,810000,2228.2,15.4664
163,1894.09,156.7467,163,-6981.02978515625,815000,2201.36,15.5325
164,1853.43,156.8247,164,-7108.6044921875,820000,2176.05,15.3017
165,1862.2,156.8306,165,-7153.74169921875,825000,2208.38,15.9176
166,1874.22,156.8719,166,-7155.89208984375,830000,2214.28,15.1932
167,1890.58,156.8045,167,-7186.70263671875,835000,2260.98,15.8369
168,1866.98,156.7794,168,-7271.64794921875,840000,2197.99,15.41
169,1857.09,156.6298,169,-7304.19677734375,845000,2177.25,15.4797
170,1862.27,156.6274,170,-7341.990234375,850000,2171.4,15.2669
171,1878.97,156.5424,171,-7418.93017578125,855000,2174.25,15.5556
172,1843.35,156.5517,172,-7402.984375,860000,2171.56,15.3003
173,1894.64,156.5438,173,-7421.02587890625,865000,2201.82,15.4045
174,1864.55,156.7034,174,-7498.48046875,870000,2213.06,15.4656
175,1865.84,156.6701,175,-7566.50732421875,875000,2229.63,15.3176
176,1927.25,156.4844,176,-7589.1162109375,880000,2255.62,15.6995
177,1851.25,156.6749,177,-7667.955078125,885000,2142.91,15.3183
178,1883.23,156.8027,178,-7721.81396484375,890000,2217.88,15.5645
179,1887.71,156.7834,179,-7769.22216796875,895000,2214.83,15.3516
180,1894.77,156.765,180,-7865.13671875,900000,2205.17,15.6977
181,1903.06,156.7989,181,-7889.8505859375,905000,2229.9,15.5794
182,1886.18,156.6948,182,-7861.296875,910000,2221.53,15.4586
183,1896.18,156.8145,183,-7918.3837890625,915000,2220.26,15.4791
184,1884.9,156.8445,184,-7976.0751953125,920000,2196.47,15.2942
185,1885.82,156.6872,185,-8006.89892578125,925000,2248.92,15.4672
186,1892.96,156.6412,186,-8063.8896484375,930000,2233.44,15.6133
187,1882.13,156.7819,187,-8114.67626953125,935000,2165.37,15.5015
188,1879.17,156.6526,188,-8102.11669921875,940000,2233.58,15.1201
189,1904.38,156.7112,189,-8170.88720703125,945000,2217.17,15.5246
190,1880.96,156.6822,190,-8157.5078125,950000,2202.27,15.4154
191,1892.89,156.9009,191,-8212.4091796875,955000,2242.26,15.7497
192,1897.13,156.8146,192,-8235.197265625,960000,2211.24,15.51
193,1858.89,156.713,193,-8264.4970703125,965000,2157.63,15.1032
194,1942.57,156.6463,194,-8295.322265625,970000,2252.73,15.8876
195,1878.24,156.6351,195,-8341.2412109375,975000,2219.15,15.2557
196,1920.3,156.6957,196,-8353.0849609375,980000,2244.84,15.3309
197,1886.49,156.8374,197,-8357.1015625,985000,2240.02,15.661
198,1887.4,156.7076,198,-8388.1630859375,990000,2222.29,15.3191
199,1911.07,156.4574,199,-8385.615234375,995000,2239.86,15.3154
200,1910.05,156.7622,200,-8480.6923828125,1000000,2224.68,15.4905
201,1908.18,156.5072,201,-8500.966796875,1005000,2237.98,15.3421
202,1910.04,156.5629,202,-8541.7763671875,1010000,2259.91,15.4775
203,1906.11,156.6552,203,-8580.130859375,1015000,2229.38,15.3495
204,1914.33,156.7608,204,-8573.810546875,1020000,2249.62,15.3399
205,1886.58,156.6654,205,-8608.9033203125,1025000,2231.76,15.3102
206,1903.41,156.6924,206,-8670.673828125,1030000,2244.61,15.3985
207,1899.41,156.6322,207,-8698.0361328125,1035000,2248.48,15.2675
208,1909.16,156.7707,208,-8757.8583984375,1040000,2239.21,15.4921
209,1898.9,156.7637,209,-8777.63671875,1045000,2237.6,15.3274
210,1903.39,156.5726,210,-8787.2265625,1050000,2251.05,15.2282
211,1914.11,156.701,211,-8847.9404296875,1055000,2242.76,15.5168
212,1889.86,156.6412,212,-8857.9892578125,1060000,2227.61,15.4443
213,1893.51,156.6833,213,-8899.375,1065000,2243.75,15.5088
214,1907.2,156.7954,214,-8922.5966796875,1070000,2226.09,15.4312
215,1899.79,156.7762,215,-8947.697265625,1075000,2261.09,15.3974
216,1920.66,156.6656,216,-9008.634765625,1080000,2252.78,15.5353
217,1899.61,156.7359,217,-9016.2275390625,1085000,2253.15,15.4635
218,1916.57,156.7846,218,-9049.869140625,1090000,2269.4,15.4152
219,1903.38,156.6748,219,-9087.19921875,1095000,2259.72,15.4964
220,1915.87,156.6572,220,-9117.232421875,1100000,2274.18,15.5079
221,1914.87,156.8062,221,-9145.9228515625,1105000,2249.56,15.3721
222,1896.16,156.6851,222,-9187.970703125,1110000,2227.12,15.2221
223,1908.42,156.8368,223,-9216.8837890625,1115000,2246.71,15.4929
224,1925.06,156.6893,224,-9241.0361328125,1120000,2257.07,15.5487
225,1901.82,156.6091,225,-9256.234375,1125000,2251.87,15.2369
226,1919.16,156.7082,226,-9303.0693359375,1130000,2256.56,15.4823
227,1896.39,156.6953,227,-9332.2900390625,1135000,2248.09,15.5136
228,1892.46,156.6652,228,-9362.599609375,1140000,2228.1,15.275
229,1913.8,156.7287,229,-9390.5234375,1145000,2235.8,15.3496
230,1903.41,156.6686,230,-9426.232421875,1150000,2245.49,15.3249
231,1894.67,156.5703,231,-9483.2177734375,1155000,2243.59,15.4109
232,1893.06,156.5919,232,-9480.005859375,1160000,2258.88,15.3313
233,1907.98,156.6638,233,-9556.4921875,1165000,2266.24,15.442
234,1886.88,156.6314,234,-9584.3779296875,1170000,2227.75,15.4096
235,1910.09,156.6581,235,-9589.0751953125,1175000,2247.4,15.4607
236,1901.65,156.6627,236,-9631.8935546875,1180000,2246.62,15.5517
237,1935.71,156.6974,237,-9635.650390625,1185000,2269.89,15.48
238,1902.3,156.7958,238,-9691.5185546875,1190000,2232.68,15.5426
239,1918.72,156.7473,239,-9722.216796875,1195000,2282.75,15.6273
240,1909.65,156.7543,240,-9723.4619140625,1200000,2253.67,15.4292
241,1904.24,156.7756,241,-9780.623046875,1205000,2227.88,15.52
242,1903.39,156.7637,242,-9820.7373046875,1210000,2255.61,15.4787
243,1908.67,156.6886,243,-9833.6005859375,1215000,2247.25,15.5129
244,1897.44,156.7457,244,-9831.9951171875,1220000,2240.69,15.4119
245,1881.17,156.6753,245,-9837.98828125,1225000,2161.39,15.1634
246,1910.26,156.6732,246,-9930.962890625,1230000,2260.23,15.4722
247,1895.67,156.8144,247,-9916.19921875,1235000,2240.41,15.3811
248,1911.12,156.6361,248,-9953.0888671875,1240000,2231.39,15.2882
249,1920.56,156.6705,249,-9995.43359375,1245000,2252.05,15.5316
250,1916.24,156.6505,250,-9988.79296875,1250000,2227.86,15.3592
251,1921.12,156.6514,251,-10025.35546875,1255000,2238.49,15.2536
252,1880.7,156.5947,252,-10073.0830078125,1260000,2190.85,15.2116
253,1910.57,156.6641,253,-10077.87109375,1265000,2232.17,15.3378
254,1897.09,156.8655,254,-10149.6396484375,1270000,2209.09,15.3359
255,1898.32,156.6438,255,-10131.1005859375,1275000,2232.71,15.1438
256,1925.97,156.6603,256,-10182.0263671875,1280000,2243.94,15.5525
257,1904.79,156.7457,257,-10203.83203125,1285000,2254.03,15.4539
258,1920.24,156.698,258,-10250.9736328125,1290000,2231.77,15.3651
259,1905.23,156.9171,259,-10290.001953125,1295000,2239.0,15.6227
260,1918.75,156.6275,260,-10285.880859375,1300000,2269.98,15.533
261,1939.85,156.6894,261,-10313.94921875,1305000,2269.22,15.5437
262,1909.0,156.6268,262,-10357.4599609375,1310000,2253.46,15.4548
263,1914.14,156.6559,263,-10405.146484375,1315000,2266.51,15.3795
264,1923.49,156.6959,264,-10418.19140625,1320000,2244.46,15.4386
265,1921.43,156.6333,265,-10438.369140625,1325000,2248.09,15.4948
266,1943.69,156.8311,266,-10496.974609375,1330000,2257.22,15.6292
267,1926.78,156.7138,267,-10504.0390625,1335000,2276.47,15.4705
268,1924.35,156.6929,268,-10495.111328125,1340000,2266.9,15.3972
269,1914.81,156.6321,269,-10537.2392578125,1345000,2270.84,15.5294
270,1924.06,156.6685,270,-10591.1728515625,1350000,2283.33,15.6026
271,1901.98,156.7572,271,-10633.400390625,1355000,2273.28,15.493
272,1905.81,156.6688,272,-10617.302734375,1360000,2279.91,15.2258
273,1923.1,156.7117,273,-10658.15234375,1365000,2271.24,15.4936
274,1920.93,156.7316,274,-10663.1416015625,1370000,2277.89,15.5553
275,1913.54,156.4993,275,-10709.9296875,1375000,2258.56,15.4259
276,1927.06,156.7003,276,-10722.892578125,1380000,2294.4,15.5115
277,1906.19,156.6597,277,-10715.8408203125,1385000,2266.44,15.3638
278,1907.92,156.597,278,-10788.8359375,1390000,2285.34,15.4886
279,1918.54,156.7486,279,-10807.291015625,1395000,2288.9,15.4099
280,1917.74,156.6962,280,-10823.267578125,1400000,2261.34,15.5781
281,1918.48,156.5707,281,-10863.5458984375,1405000,2268.31,15.4055
282,1933.18,156.7135,282,-10896.9921875,1410000,2286.23,15.5697
283,1931.69,156.7546,283,-10935.517578125,1415000,2279.65,15.8679
284,1920.09,156.7305,284,-10929.58984375,1420000,2261.28,15.5516
285,1904.09,156.6265,285,-10967.08984375,1425000,2269.75,15.5038
286,1939.63,156.7376,286,-10984.0244140625,1430000,2267.6,15.6292
287,1927.78,156.6453,287,-10995.8603515625,1435000,2278.08,15.6291
288,1939.95,156.6083,288,-11030.3466796875,1440000,2297.88,15.7328
289,1927.0,156.5668,289,-11027.1806640625,1445000,2299.35,15.6736
290,1922.52,156.7625,290,-11041.2685546875,1450000,2264.77,15.4679
291,1911.66,156.6297,291,-11081.298828125,1455000,2275.54,15.511
292,1937.45,156.8036,292,-11094.271484375,1460000,2308.56,15.8066
293,1935.05,156.8722,293,-11139.9658203125,1465000,2305.06,15.6173
294,1922.78,156.7792,294,-11157.201171875,1470000,2279.63,15.6895
295,1950.38,156.6365,295,-11160.8017578125,1475000,2280.49,15.6258
296,1943.3,156.6877,296,-11171.3271484375,1480000,2280.75,15.5391
297,1919.02,156.7113,297,-11185.1025390625,1485000,2248.94,15.5284
298,1930.93,156.775,298,-11179.015625,1490000,2285.68,15.5951
299,1919.68,156.6239,299,-11222.869140625,1495000,2272.36,15.4381
300,1952.2,156.6435,300,-11227.6337890625,1500000,2307.36,15.7058
301,1941.35,156.7743,301,-11254.4775390625,1505000,2274.03,15.512
302,1936.57,156.6295,302,-11300.7900390625,1510000,2288.33,15.5112
303,1934.81,156.8449,303,-11281.46875,1515000,2288.63,15.6138
304,1922.14,156.7999,304,-11331.0927734375,1520000,2270.03,15.3399
305,1927.46,156.7751,305,-11340.8154296875,1525000,2271.75,15.4768
306,1924.07,156.813,306,-11339.91796875,1530000,2274.98,15.5096
307,1940.09,156.5595,307,-11383.6630859375,1535000,2265.95,15.4375
308,1955.16,156.5762,308,-11333.412109375,1540000,2294.9,15.4335
309,1939.0,156.6451,309,-11403.482421875,1545000,2289.65,15.5325
310,1942.82,156.8446,310,-11458.1396484375,1550000,2295.5,15.6054
311,1928.7,156.6772,311,-11438.650390625,1555000,2268.21,15.4166
312,1918.27,156.7126,312,-11456.3291015625,1560000,2275.58,15.4393
313,1943.39,156.8346,313,-11482.73046875,1565000,2288.15,15.6597
314,1928.21,156.6683,314,-11569.5595703125,1570000,2299.56,15.7651
315,1956.31,156.6507,315,-11494.9951171875,1575000,2284.59,15.4194
316,1944.13,156.7714,316,-11539.4951171875,1580000,2296.25,15.4304
317,1931.01,156.8187,317,-11601.703125,1585000,2247.47,14.7632
318,1954.38,156.8648,318,-11564.1982421875,1590000,2287.03,15.5937
319,1943.2,156.5643,319,-11613.3623046875,1595000,2285.51,15.4539
320,1951.79,156.6688,320,-11606.408203125,1600000,2304.05,15.5414
321,1932.44,156.785,321,-11620.66796875,1605000,2310.38,15.4231
322,1914.48,156.68,322,-11668.2578125,1610000,2293.63,15.587
323,1948.27,156.7447,323,-11647.439453125,1615000,2278.76,15.5392
324,1931.86,156.6677,324,-11651.2001953125,1620000,2269.53,15.4588
325,1926.13,156.6496,325,-11746.66796875,1625000,2287.65,15.4411
326,1900.91,156.8322,326,-11708.3837890625,1630000,2263.25,15.2596
327,1931.84,156.7734,327,-11729.435546875,1635000,2284.05,15.4308
328,1932.68,156.7784,328,-11745.4775390625,1640000,2299.94,15.3812
329,1925.19,156.7459,329,-11780.21875,1645000,2275.94,15.4291
330,1914.23,156.738,330,-11801.4267578125,1650000,2267.32,15.374
331,1922.78,156.6815,331,-11764.13671875,1655000,2268.42,15.284
332,1930.19,156.6494,332,-11798.0927734375,1660000,2259.8,15.2377
333,1934.15,156.7177,333,-11852.2412109375,1665000,2296.79,15.4271
334,1888.36,156.6986,334,-11838.708984375,1670000,2237.0,15.1547
335,1914.59,156.7591,335,-11821.3095703125,1675000,2238.81,15.2177
336,1909.5,156.8116,336,-11859.16015625,1680000,2242.03,15.314
337,1937.92,156.6499,337,-11899.66796875,1685000,2284.09,15.5867
338,1898.89,156.6905,338,-11889.44921875,1690000,2231.85,15.2865
339,1919.67,156.6708,339,-11919.7353515625,1695000,2269.29,15.2527
340,1923.62,156.7279,340,-11947.7841796875,1700000,2253.06,15.2236
341,1916.24,156.6673,341,-11972.314453125,1705000,2262.27,15.3874
342,1931.37,156.664,342,-11939.9423828125,1710000,2250.08,15.1333
343,1917.47,156.6933,343,-11998.328125,1715000,2252.28,15.2097
344,1917.79,156.6955,344,-12009.0830078125,1720000,2265.77,15.2235
345,1951.75,156.7676,345,-12046.2109375,1725000,2291.68,15.3424
346,1925.23,156.7276,346,-12061.294921875,1730000,2279.61,15.3906
347,1919.43,156.6805,347,-12033.8857421875,1735000,2269.1,15.1254
348,1928.02,156.7049,348,-12076.2216796875,1740000,2255.6,15.3325
349,1915.15,156.7042,349,-12077.2255859375,1745000,2275.71,15.3567
350,1942.05,156.6667,350,-12095.5751953125,1750000,2281.77,15.3351
351,1933.76,156.6131,351,-12101.572265625,1755000,2261.37,15.2135
352,1934.16,156.5626,352,-12098.890625,1760000,2258.64,15.153
353,1933.12,156.6209,353,-12127.2333984375,1765000,2280.58,15.1634
354,1948.28,156.6327,354,-12178.45703125,1770000,2272.72,15.263
355,1933.32,156.4711,355,-12192.318359375,1775000,2294.86,15.2797
356,1917.66,156.738,356,-12196.48828125,1780000,2223.55,15.1243
357,1926.01,156.6304,357,-12231.705078125,1785000,2253.64,15.1767
358,1921.83,156.6873,358,-12241.8427734375,1790000,2261.73,15.1534
359,1909.06,156.6554,359,-12256.2333984375,1795000,2259.87,15.2218
360,1946.27,156.7373,360,-12291.830078125,1800000,2277.36,15.283
361,1940.99,156.6121,361,-12320.33203125,1805000,2268.59,14.7727
362,1931.51,156.5493,362,-12340.0107421875,1810000,2278.74,15.1588
363,1944.45,156.7374,363,-12404.0732421875,1815000,2285.02,15.3119
364,1922.47,156.8084,364,-12440.81640625,1820000,2296.38,15.431
365,1940.6,156.6425,365,-12375.8447265625,1825000,2259.96,15.1791
366,1907.16,156.6902,366,-12462.8701171875,1830000,2258.59,15.0947
367,1909.49,156.5735,367,-12433.701171875,1835000,2263.27,15.1531
368,1938.16,156.5313,368,-12456.2138671875,1840000,2291.26,15.2603
369,1928.98,156.6555,369,-12474.515625,1845000,2251.35,15.2418
370,1881.69,156.6914,370,-12499.0869140625,1850000,2256.94,15.1876
371,1916.84,156.6408,371,-12506.123046875,1855000,2265.39,15.2452
372,1914.59,156.6126,372,-12525.3828125,1860000,2233.59,15.2058
373,1917.58,156.8369,373,-12545.744140625,1865000,2247.04,15.4256
374,1922.34,156.6846,374,-12803.8828125,1870000,2267.81,14.5216
375,1925.82,156.7594,375,-12650.740234375,1875000,2253.8,15.2345
376,1929.23,156.6583,376,-12629.0458984375,1880000,2239.13,15.1867
377,1909.47,156.7448,377,-12652.66796875,1885000,2240.75,15.095
378,1928.49,156.6757,378,-12661.71484375,1890000,2272.88,15.2875
379,1930.51,156.6382,379,-12709.2431640625,1895000,2277.61,15.5071
380,1952.97,156.6477,380,-12695.087890625,1900000,2306.96,15.3758
381,1947.42,156.816,381,-12745.421875,1905000,2287.18,15.4761
382,1944.07,156.7487,382,-12750.4306640625,1910000,2263.39,15.2656
383,1904.35,156.7444,383,-12742.5732421875,1915000,2199.95,15.1545
384,1918.55,156.7608,384,-12785.197265625,1920000,2234.16,15.2086
385,1913.98,156.5824,385,-12818.3271484375,1925000,2256.36,15.1923
