Running Reverse KL,Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Itration
44.8859,66,29.1524,393.72,330000,491.24,-2314.31591796875,66
17.7651,67,28.0352,2027.49,335000,1659.29,-1403.0894775390625,67
21.5733,68,27.8914,2207.08,340000,843.94,-1774.30078125,68
13.8157,69,25.3509,2363.61,345000,2198.21,-1247.0150146484375,69
11.9746,70,24.7926,2047.44,350000,1714.71,-1152.022705078125,70
48.8438,71,25.9639,1293.13,355000,1043.69,-1982.0133056640625,71
14.9225,72,25.001,2717.59,360000,2724.3,-892.2993774414062,72
18.2877,73,26.8626,2515.75,365000,2513.27,-968.4708251953125,73
14.5525,74,25.3331,262.58,370000,1209.92,-1450.7529296875,74
23.0237,75,26.8358,2018.09,375000,1863.88,-1212.2587890625,75
13.8724,76,25.7654,2492.21,380000,2436.68,-1206.6278076171875,76
13.0836,77,26.8591,2272.13,385000,2179.44,-1263.69580078125,77
11.9647,78,27.6459,1439.55,390000,1537.67,-1585.2147216796875,78
11.9027,79,27.1251,2116.56,395000,2184.52,-1232.2127685546875,79
12.9473,80,25.5941,2120.61,400000,2134.8,-1246.916259765625,80
13.968,81,23.6903,1284.35,405000,1520.52,-1644.87255859375,81
14.0485,82,27.2048,1852.9,410000,1905.81,-2073.304443359375,82
11.9777,83,25.2062,2253.01,415000,2202.49,-960.5206298828125,83
14.3465,84,27.011,2087.39,420000,2110.39,-1498.752197265625,84
12.72,85,24.6409,2119.87,425000,1988.01,-1073.0225830078125,85
15.1444,86,28.1604,1529.67,430000,1617.57,-2236.6015625,86
12.6791,87,29.1518,1322.66,435000,1400.62,-2595.10693359375,87
18.5389,88,30.0536,1094.96,440000,1207.81,-3020.593017578125,88
17.7692,89,28.9356,904.15,445000,1324.02,-2485.445068359375,89
12.5594,90,27.7147,1637.73,450000,1516.82,-2212.111328125,90
18.2168,91,29.1489,1016.61,455000,1081.44,-3076.787353515625,91
32.8714,92,25.9813,844.01,460000,413.35,-1829.9085693359375,92
15.4343,93,27.0677,179.68,465000,896.99,-1496.0877685546875,93
14.7374,94,24.8858,1525.93,470000,1645.6,-565.597412109375,94
35.4063,95,26.1429,382.86,475000,566.24,-2076.804443359375,95
12.6049,96,24.9508,1281.23,480000,1866.93,-2219.490234375,96
36.4648,97,26.8175,892.2,485000,838.61,-3315.783447265625,97
13.7234,98,25.0385,1295.88,490000,1469.99,-1971.061767578125,98
23.6855,99,32.4423,1043.36,495000,995.54,-3907.071044921875,99
17.8142,100,24.7253,2025.75,500000,1497.39,86.412841796875,100
15.8561,101,25.516,1706.35,505000,2126.14,-1515.602294921875,101
18.0439,102,27.9414,1529.76,510000,1518.39,-2017.314697265625,102
16.459,103,25.0805,2710.26,515000,2527.0,-1271.213623046875,103
12.9802,104,25.4204,1352.09,520000,1496.04,-1925.3375244140625,104
21.8,105,28.874,1420.98,525000,1422.04,-2978.97314453125,105
13.1801,106,27.1642,2182.62,530000,1523.9,-2121.484619140625,106
11.8286,107,24.3575,2329.7,535000,2126.35,-1924.2669677734375,107
17.4438,108,24.7198,2359.67,540000,2405.03,-1731.888671875,108
19.0941,109,24.4364,2838.89,545000,1967.39,-2019.406005859375,109
14.6187,110,23.876,1712.97,550000,2125.9,-1852.144775390625,110
14.5779,111,28.3581,1618.88,555000,2099.89,-1539.7249755859375,111
17.2133,112,26.3477,2629.03,560000,2554.67,-1106.212158203125,112
20.6767,113,36.5841,1031.43,565000,1029.13,-4473.77392578125,113
13.8682,114,26.8409,1077.58,570000,1297.31,-2380.6279296875,114
13.3841,115,25.3182,2547.41,575000,2494.35,-1435.8465576171875,115
15.8068,116,26.1336,2543.99,580000,2339.72,-1357.6942138671875,116
19.3933,117,25.0421,2714.17,585000,2096.58,-1908.9027099609375,117
13.42,118,25.2123,2427.28,590000,2152.73,-1222.7833251953125,118
14.0062,119,27.797,1356.15,595000,1540.66,-2972.552734375,119
17.131,120,25.5876,2847.6,600000,2863.3,-1498.5289306640625,120
16.7627,121,25.3644,2799.93,605000,2833.46,-1047.55419921875,121
18.249,122,26.1896,2754.89,610000,1772.19,-1324.3858642578125,122
21.3106,123,33.3128,1032.17,615000,1041.21,-4643.7392578125,123
16.6755,124,26.5841,2431.03,620000,2417.3,-1597.118408203125,124
49.37,125,26.2432,796.43,625000,692.25,-4466.17822265625,125
98.5082,126,27.4181,611.94,630000,549.14,-4113.951171875,126
46.8148,127,29.0088,518.79,635000,443.78,-5066.04833984375,127
103.0117,128,27.8223,584.23,640000,593.36,-3803.144775390625,128
35.7067,129,26.628,703.57,645000,803.03,-4025.38232421875,129
15.3874,130,27.0387,2571.3,650000,774.35,-3620.50439453125,130
58.4076,131,25.3804,960.38,655000,760.56,-3420.343017578125,131
15.2519,132,24.3369,2479.77,660000,1945.9,-937.310546875,132
15.4866,133,23.7419,2167.35,665000,2520.37,-1960.0172119140625,133
42.5548,134,24.158,1405.33,670000,1179.64,-3555.801025390625,134
20.4203,135,24.6151,2516.52,675000,1982.42,-2785.990966796875,135
38.7339,136,26.4064,71.32,680000,185.26,-4217.99755859375,136
23.4869,137,26.0675,481.64,685000,322.11,-4763.2275390625,137
30.0868,138,25.7649,460.62,690000,841.32,-2928.05126953125,138
16.3005,139,25.6987,2821.47,695000,2859.61,-1238.834716796875,139
31.2212,140,24.2547,923.87,700000,871.28,-4651.2236328125,140
12.2577,141,22.7343,2758.49,705000,2651.6,-2206.41015625,141
25.5161,142,24.0868,980.5,710000,814.76,-3908.25244140625,142
28.6358,143,26.6619,809.17,715000,792.64,-4446.4873046875,143
22.3274,144,23.5661,2784.11,720000,2208.34,-1729.4779052734375,144
24.797,145,23.3561,2729.48,725000,1700.1,-3152.25634765625,145
15.9397,146,24.7924,2553.82,730000,2523.4,-1522.854248046875,146
33.9026,147,25.2856,1643.9,735000,1406.89,-4665.857421875,147
27.8515,148,26.9799,783.26,740000,599.3,-5172.064453125,148
19.2965,149,24.6883,1893.17,745000,1192.48,-4186.41015625,149
22.889,150,25.5618,2117.26,750000,1820.6,-2980.10009765625,150
14.0301,151,24.6166,2119.97,755000,1727.63,-3375.943603515625,151
13.5678,152,23.9983,2485.63,760000,2384.39,-1790.3468017578125,152
13.4268,153,23.4789,2712.94,765000,2676.46,-1753.2847900390625,153
20.0949,154,26.2189,382.13,770000,494.01,-5322.0048828125,154
37.9343,155,23.3937,2183.62,775000,1603.51,-3136.36474609375,155
37.0194,156,26.8299,1232.13,780000,987.61,-5225.7578125,156
13.2511,157,25.4339,2025.07,785000,1816.85,-2573.716064453125,157
38.2862,158,38.9924,976.52,790000,975.46,-6152.78466796875,158
14.4413,159,28.6496,2108.55,795000,2075.67,-3263.587646484375,159
20.416,160,26.6439,1163.85,800000,812.12,-4851.84619140625,160
15.8805,161,25.1911,262.01,805000,820.9,-2640.603515625,161
13.9805,162,25.3212,1916.72,810000,1469.62,-3450.9169921875,162
14.3385,163,22.8692,2743.84,815000,2717.73,-1213.467529296875,163
17.2147,164,26.5387,343.61,820000,892.62,-5607.52490234375,164
23.2686,165,29.539,406.34,825000,546.43,-6174.07177734375,165
26.0507,166,27.5838,396.0,830000,593.27,-6294.4013671875,166
19.9238,167,27.3048,332.43,835000,388.24,-5009.3828125,167
11.6219,168,27.7259,990.53,840000,518.2,-3635.1455078125,168
24.6524,169,35.2079,1008.68,845000,1005.8,-6118.14013671875,169
22.0428,170,36.5755,969.85,850000,987.06,-6987.318359375,170
44.878,171,39.5605,971.73,855000,970.44,-6718.04443359375,171
16.9597,172,25.5662,2867.78,860000,2805.99,-1227.0994873046875,172
16.1714,173,26.1444,2213.04,865000,1763.89,-2952.26953125,173
34.8904,174,26.7016,1469.93,870000,1234.85,-5470.44873046875,174
36.14,175,36.0042,980.4,875000,978.87,-6972.41650390625,175
20.2649,176,24.0256,910.37,880000,1000.61,-6533.6357421875,176
17.4314,177,24.0037,1299.39,885000,1725.98,-2455.19873046875,177
16.7916,178,28.8701,1931.53,890000,1532.9,-2855.54296875,178
26.5807,179,37.0535,1021.49,895000,1023.75,-7093.6064453125,179
20.1169,180,23.0731,1990.52,900000,1564.09,-2505.2939453125,180
14.8275,181,21.863,3415.69,905000,2840.93,-1011.2514038085938,181
16.8986,182,25.115,2893.98,910000,2870.11,-2525.3076171875,182
28.0802,183,24.6207,2488.45,915000,1864.62,-3449.3759765625,183
59.8429,184,23.2341,987.13,920000,1694.01,-4123.8671875,184
67.9872,185,24.0659,986.05,925000,1766.76,-4895.81005859375,185
44.6146,186,25.5603,484.37,930000,1546.2,-5420.73583984375,186
23.417,187,22.7143,3305.0,935000,2763.04,-2875.497802734375,187
11.6568,188,21.2364,3271.95,940000,3024.5,-1689.789306640625,188
29.616,189,23.9927,1260.31,945000,1680.97,-4577.2109375,189
11.2734,190,22.0001,2927.68,950000,2702.06,-2197.9189453125,190
38.2332,191,23.5337,574.72,955000,2227.52,-4362.61083984375,191
14.2106,192,23.1305,2662.95,960000,2239.41,-3552.962158203125,192
20.9493,193,25.7299,81.99,965000,494.01,-3884.426513671875,193
37.4738,194,25.5459,2528.4,970000,1902.32,-5535.11767578125,194
23.9486,195,36.2831,993.36,975000,987.13,-7764.54052734375,195
17.51,196,30.8132,1542.28,980000,1535.69,-4474.3720703125,196
16.0144,197,29.6501,1293.8,985000,1388.69,-6431.23291015625,197
18.3151,198,24.0961,1051.57,990000,1306.64,-5135.60009765625,198
15.0598,199,21.4148,3298.59,995000,2587.46,-1923.5556640625,199
