Running Update Time,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Reward Loss,Running Env Steps,Running Forward KL
44,14.0053,698.59,704.55,44,-1790.6739501953125,220000,47.7054
45,13.2667,1062.19,950.91,45,-1877.9044189453125,225000,46.7159
46,13.2082,1015.63,974.27,46,-1709.6827392578125,230000,46.4835
47,13.047,1367.62,1611.62,47,-1883.11376953125,235000,46.5402
48,22.4748,1003.17,1048.62,48,-1961.7803955078125,240000,46.6483
49,15.1033,1094.97,1064.52,49,-2159.18603515625,245000,45.5627
50,13.7456,1611.14,1871.61,50,-2074.6240234375,250000,46.959
51,14.1264,1444.11,1275.64,51,-2054.72265625,255000,46.0916
52,12.8388,1552.23,1944.48,52,-1922.6121826171875,260000,45.9056
53,15.5041,1414.19,2115.24,53,-2284.25537109375,265000,45.9156
54,18.644,1078.01,1466.63,54,-2523.72412109375,270000,46.8047
55,14.0198,1083.53,1420.34,55,-2317.6875,275000,46.8515
56,14.8474,1886.65,1090.95,56,-2383.3974609375,280000,46.3915
57,15.2508,1390.67,1818.79,57,-2477.048828125,285000,46.8439
58,24.4137,1777.8,1796.28,58,-2663.454833984375,290000,46.2621
59,14.9328,2463.88,2344.9,59,-2054.473876953125,295000,45.69
60,15.2642,2460.2,2755.0,60,-2013.825439453125,300000,45.6024
61,16.5321,2928.85,3001.71,61,-1944.23828125,305000,44.9467
62,15.3019,2746.93,2683.03,62,-1999.218994140625,310000,44.99
63,16.8015,3344.36,3396.69,63,-1947.969482421875,315000,45.0749
64,15.9151,3204.25,2612.24,64,-2062.49169921875,320000,45.1032
65,15.1831,2744.94,3298.79,65,-2036.858154296875,325000,45.522
66,16.2912,3098.75,3475.94,66,-1699.25,330000,44.6289
67,15.8338,2546.14,3215.42,67,-1768.35400390625,335000,45.3213
68,18.6838,3485.07,3613.34,68,-1956.0235595703125,340000,45.2954
69,17.7791,3355.58,3490.92,69,-1930.2548828125,345000,45.0686
70,16.4422,3128.17,3476.17,70,-2129.405517578125,350000,45.363
71,17.4531,3366.97,3528.68,71,-1903.380615234375,355000,45.3829
72,17.7743,3351.42,3613.45,72,-2050.596923828125,360000,45.0857
73,17.3321,3411.22,3411.54,73,-1985.8394775390625,365000,44.9632
74,17.3253,3362.67,3453.42,74,-2089.560791015625,370000,45.0663
75,16.7784,3320.7,3541.61,75,-2196.726318359375,375000,45.3565
76,19.2568,3635.38,3682.75,76,-2039.33642578125,380000,45.8691
77,19.7516,3513.28,3600.45,77,-2041.493408203125,385000,45.5788
78,18.6942,3463.45,3555.57,78,-2007.0302734375,390000,45.3624
79,18.9393,3465.28,3609.07,79,-2152.357421875,395000,45.1829
80,18.7296,3378.09,3481.19,80,-2252.251708984375,400000,45.6387
81,21.0629,3385.4,3443.58,81,-2425.850830078125,405000,46.0676
82,19.4976,3413.29,3515.49,82,-2232.33642578125,410000,45.9773
83,16.8388,3393.71,3416.13,83,-2249.726806640625,415000,44.9351
84,18.2932,3445.62,3516.79,84,-2228.845458984375,420000,44.9068
85,19.9414,3549.07,3629.93,85,-2258.017822265625,425000,45.5832
86,19.3904,3582.65,3660.76,86,-2293.5986328125,430000,45.7935
87,19.724,3431.17,3357.67,87,-2300.63671875,435000,45.7645
88,17.5766,3476.09,3487.2,88,-2379.73876953125,440000,44.7556
89,18.6071,3494.14,3532.03,89,-2805.6484375,445000,45.606
90,22.669,3562.39,3553.31,90,-2736.116455078125,450000,45.1852
91,84.8559,-15.36,-15.68,91,-5500.18017578125,455000,58.8514
92,19.3113,907.29,1459.06,92,-2482.0146484375,460000,45.6993
93,19.593,3576.94,3606.59,93,-2630.99365234375,465000,45.8638
94,19.195,3720.71,3759.64,94,-2453.611328125,470000,45.7173
95,19.6549,3597.49,3615.38,95,-2479.4228515625,475000,46.1962
96,17.7579,3596.21,3634.27,96,-2576.07080078125,480000,45.4061
97,19.1142,3586.49,3621.26,97,-2596.77685546875,485000,45.7569
98,16.8361,3413.21,3587.61,98,-2784.344482421875,490000,45.0543
99,17.53,3740.28,3892.33,99,-2507.3447265625,495000,44.8403
100,18.0222,3673.4,3661.09,100,-2894.986083984375,500000,45.3185
101,17.7254,3732.01,3782.99,101,-2520.290283203125,505000,44.9616
102,19.198,3856.63,3862.77,102,-2551.67529296875,510000,45.1624
103,19.119,3729.43,3723.83,103,-2716.21533203125,515000,44.9932
104,14.6992,3627.98,3622.49,104,-2961.039794921875,520000,44.7807
105,19.4625,3767.88,3724.59,105,-2757.46875,525000,45.4865
106,16.8375,3715.81,3766.34,106,-2763.37890625,530000,45.0583
107,18.737,3886.89,3846.96,107,-2799.121337890625,535000,44.9553
108,18.5757,3845.37,3840.3,108,-2896.1123046875,540000,44.7354
109,18.9258,3732.08,3701.03,109,-2771.080810546875,545000,44.9905
110,18.7452,3741.83,3767.77,110,-3005.769775390625,550000,45.0167
111,18.5887,3864.35,3846.87,111,-2891.37451171875,555000,44.9191
112,17.6747,3756.82,3795.65,112,-2959.95263671875,560000,45.343
113,19.1039,3780.32,3772.35,113,-3019.763427734375,565000,45.7293
114,18.4367,3710.6,3734.11,114,-3072.5595703125,570000,44.875
115,16.4789,3695.75,3778.47,115,-3126.084716796875,575000,44.8037
116,20.1284,3835.97,3867.52,116,-2895.1298828125,580000,45.8692
117,17.9711,3755.99,3880.27,117,-3061.28076171875,585000,44.8151
118,18.3206,3710.29,3775.65,118,-3060.84619140625,590000,44.8074
119,18.8632,3791.54,3811.29,119,-3138.74267578125,595000,45.3957
120,17.4402,3746.46,3838.76,120,-3112.948486328125,600000,45.0716
121,18.4745,3659.69,3765.44,121,-3293.066162109375,605000,44.9515
122,17.2553,3820.62,3934.34,122,-3223.175048828125,610000,44.1764
123,18.6765,3830.81,3785.89,123,-3099.46484375,615000,44.9547
124,18.4966,3733.47,3754.48,124,-3237.7265625,620000,44.9725
125,18.3857,3700.56,3840.62,125,-3498.810546875,625000,45.0906
126,18.9799,3837.62,3802.89,126,-3335.102294921875,630000,44.8096
127,18.397,3854.85,3900.82,127,-3436.641357421875,635000,44.8584
128,16.9943,3795.5,3843.07,128,-3277.2001953125,640000,44.4242
129,16.5206,3762.92,3767.93,129,-3192.90576171875,645000,44.1784
130,17.7856,3810.35,3936.58,130,-3476.16748046875,650000,44.8906
131,19.1999,3849.96,3753.54,131,-3409.904296875,655000,44.864
132,18.3292,3875.54,3861.74,132,-3619.722900390625,660000,45.1095
133,17.8572,3790.94,3749.06,133,-3495.70703125,665000,44.7223
134,16.3253,3642.93,3868.03,134,-3469.82373046875,670000,44.1753
135,17.1752,3854.76,4009.32,135,-3493.849853515625,675000,44.0146
136,17.9187,3810.84,3966.59,136,-3540.63232421875,680000,44.4924
137,17.7031,3858.23,3873.85,137,-3530.728759765625,685000,44.4019
138,16.9922,3838.17,3973.89,138,-3450.6474609375,690000,44.264
139,18.1492,3851.25,3850.14,139,-3687.931640625,695000,44.4945
140,18.0284,3856.26,3865.93,140,-3698.374267578125,700000,44.4927
141,19.1512,3959.27,3988.45,141,-3525.545166015625,705000,44.5305
142,18.2753,3836.49,3866.65,142,-3704.18212890625,710000,44.3553
143,19.5316,3915.95,4003.18,143,-3611.955322265625,715000,44.9027
144,17.2033,3767.97,3933.3,144,-3911.45458984375,720000,44.6914
145,18.1309,3897.08,3983.95,145,-3722.918212890625,725000,44.5724
146,16.9978,3815.02,3939.8,146,-3921.4130859375,730000,44.5846
147,17.8547,3847.39,3956.08,147,-3768.728271484375,735000,44.2769
148,19.5149,3943.84,3982.0,148,-4003.0263671875,740000,44.6732
149,16.6772,3904.71,4016.43,149,-3853.680419921875,745000,43.9228
150,18.4992,3844.04,3900.16,150,-4057.507080078125,750000,44.8349
151,17.0657,3857.71,3981.78,151,-3926.14697265625,755000,44.1446
152,18.7345,3888.25,4005.7,152,-3752.90185546875,760000,44.8274
153,17.4083,3919.64,3989.25,153,-3961.957763671875,765000,44.0271
154,18.5802,3924.9,3967.33,154,-3839.41357421875,770000,43.7922
155,18.1163,4035.28,4055.33,155,-3952.092529296875,775000,44.2276
156,18.0518,3955.45,4032.08,156,-4034.992431640625,780000,44.1648
157,18.3439,3904.86,4024.27,157,-3970.3759765625,785000,44.1287
158,17.4917,3794.07,3912.96,158,-4219.65283203125,790000,44.4653
159,17.939,3983.63,4113.88,159,-4040.320068359375,795000,44.4125
160,17.2365,3885.22,3974.75,160,-4198.74462890625,800000,44.1437
161,18.0156,3920.97,3981.26,161,-4294.3447265625,805000,44.2128
162,17.8361,3937.67,3948.38,162,-4110.38330078125,810000,44.2251
163,18.7773,3922.16,4042.13,163,-4235.03466796875,815000,44.475
164,18.6579,4016.32,4060.52,164,-4500.01904296875,820000,44.8008
165,18.5026,3994.56,4081.07,165,-4344.01513671875,825000,44.0284
166,19.333,4016.99,4030.46,166,-4518.73291015625,830000,44.2433
167,18.1672,3905.83,3965.72,167,-4448.37353515625,835000,43.796
168,18.1271,4099.32,4161.03,168,-4519.90771484375,840000,43.8537
169,19.4313,4022.94,4117.58,169,-4436.1357421875,845000,44.6895
170,18.4125,3973.09,4093.97,170,-4397.52294921875,850000,44.0751
171,17.4848,3965.18,4076.95,171,-4406.14453125,855000,43.9228
172,17.9677,4016.53,4078.39,172,-4372.38330078125,860000,43.3965
173,17.1852,4017.83,4067.28,173,-4618.4208984375,865000,43.9657
174,17.8938,4059.21,4122.05,174,-4579.0771484375,870000,44.1581
175,18.7083,3991.66,4083.06,175,-4837.87353515625,875000,44.6238
176,17.4722,4105.94,4208.96,176,-4543.10302734375,880000,43.9465
177,18.5537,3981.78,4021.04,177,-4709.404296875,885000,44.1367
178,18.8586,4020.0,4097.66,178,-4820.767578125,890000,44.5214
179,18.2155,3886.78,3950.59,179,-4788.833984375,895000,44.2055
180,17.6062,3937.05,4090.91,180,-4704.39013671875,900000,43.9837
181,17.3795,3959.66,4076.82,181,-4680.10986328125,905000,43.8726
182,17.2299,3966.24,4032.13,182,-5206.7763671875,910000,44.084
183,17.0856,3864.2,3999.39,183,-4975.4755859375,915000,43.8562
184,19.1262,4141.28,4187.46,184,-4794.158203125,920000,43.7333
185,18.5006,4013.02,4087.06,185,-4992.080078125,925000,43.7551
186,18.1431,4001.63,4112.17,186,-5060.3310546875,930000,44.1032
187,15.6292,3979.54,4157.55,187,-5045.35986328125,935000,43.5893
188,17.082,3948.08,4018.43,188,-5140.7294921875,940000,43.6357
189,18.8933,4038.27,4176.15,189,-4944.3642578125,945000,43.6013
190,16.931,3775.72,4071.01,190,-5318.31640625,950000,43.8157
191,17.393,3909.08,4068.64,191,-5300.6796875,955000,43.6739
192,18.4435,3965.32,4018.84,192,-5315.96728515625,960000,43.9661
193,19.1616,4051.46,4213.42,193,-5297.1376953125,965000,44.3666
194,17.8164,4128.99,4243.76,194,-5278.97509765625,970000,43.8756
195,17.8701,4090.55,4198.12,195,-5283.8603515625,975000,43.6231
196,19.137,4113.68,4184.99,196,-5402.001953125,980000,44.1037
197,17.893,4041.27,4100.48,197,-5520.037109375,985000,43.5684
198,17.5581,3995.58,4120.63,198,-5394.5078125,990000,43.6345
199,17.7316,3923.6,4053.75,199,-5504.7197265625,995000,43.9682
200,17.7646,4026.22,4056.83,200,-5503.77197265625,1000000,43.9853
201,17.9355,4034.89,4144.71,201,-5275.23046875,1005000,43.4614
202,18.0248,4040.43,4152.64,202,-5440.04833984375,1010000,43.0491
203,17.112,4097.05,4200.23,203,-5398.548828125,1015000,43.0284
204,18.8859,3999.48,4120.43,204,-5513.10302734375,1020000,43.7657
205,17.9433,4016.34,4125.98,205,-5567.9580078125,1025000,43.2978
206,18.3629,4063.68,4192.72,206,-5526.708984375,1030000,43.7161
207,18.6359,3977.81,4193.15,207,-5524.74169921875,1035000,43.1667
208,16.2415,3815.87,4182.99,208,-5437.14111328125,1040000,42.1041
209,16.2645,3954.2,4127.14,209,-5587.35009765625,1045000,43.0529
210,17.407,4076.25,4157.27,210,-5585.7646484375,1050000,43.3446
211,16.472,3957.39,4183.27,211,-5539.78857421875,1055000,42.3828
212,17.1897,4102.04,4172.46,212,-5656.533203125,1060000,43.0915
213,17.3831,4083.83,4181.96,213,-5602.17822265625,1065000,42.945
214,16.1991,4101.98,4235.09,214,-5909.86181640625,1070000,42.5007
215,16.6374,4139.02,4200.82,215,-5760.9384765625,1075000,42.2516
216,16.7257,4094.12,4216.04,216,-5779.90869140625,1080000,42.638
217,15.7535,4122.85,4265.25,217,-5748.7822265625,1085000,42.524
218,16.272,4102.11,4184.76,218,-5791.5703125,1090000,42.6984
219,15.4412,4023.32,4124.33,219,-5884.57763671875,1095000,42.1466
220,16.2027,4047.14,4175.81,220,-5846.8837890625,1100000,42.2115
221,16.3287,3962.47,4024.7,221,-6225.556640625,1105000,43.0079
222,17.7393,4104.19,4134.03,222,-6211.49365234375,1110000,43.5902
223,15.8255,3995.66,4139.66,223,-6299.39453125,1115000,42.579
224,16.8395,3442.5,4057.0,224,-6272.890625,1120000,43.1166
225,15.8879,4008.06,4181.71,225,-6262.6083984375,1125000,43.1105
226,16.3255,4063.06,4167.16,226,-6342.580078125,1130000,42.7364
227,16.4074,3985.45,4162.35,227,-6266.25146484375,1135000,42.547
228,15.6862,4055.37,4173.32,228,-6405.18212890625,1140000,42.6063
229,16.4047,3801.01,4270.82,229,-6414.35986328125,1145000,42.3727
230,15.4094,3936.6,4230.31,230,-6647.3798828125,1150000,42.3647
231,16.3677,4033.66,4206.65,231,-6507.94140625,1155000,42.7081
232,16.6705,4147.03,4279.14,232,-6489.234375,1160000,42.0632
233,16.6094,3923.86,4270.58,233,-6534.134765625,1165000,42.8507
234,17.2281,4199.94,4286.47,234,-6477.662109375,1170000,42.3674
235,16.6011,4238.7,4310.88,235,-6560.896484375,1175000,42.8315
236,17.1009,3863.29,4229.1,236,-6741.78759765625,1180000,43.4102
237,16.9067,4051.06,4194.08,237,-6661.408203125,1185000,43.2312
238,16.9517,4239.6,4329.73,238,-6617.1494140625,1190000,42.9804
239,14.0657,4080.15,4332.93,239,-7221.361328125,1195000,42.424
240,16.1343,4211.26,4268.05,240,-6807.20654296875,1200000,42.8231
241,15.3747,4032.55,4244.62,241,-6817.21826171875,1205000,42.9487
242,15.2295,4099.38,4273.18,242,-6921.9697265625,1210000,43.0485
243,16.7297,4040.05,3741.87,243,-6814.50439453125,1215000,42.8827
244,16.5259,4253.0,4074.03,244,-6875.89697265625,1220000,43.3022
245,20.7208,4201.31,4300.35,245,-7229.95947265625,1225000,42.6209
246,18.8112,4160.42,4314.11,246,-7192.12890625,1230000,42.821
247,20.1903,3571.95,4300.92,247,-7520.19970703125,1235000,42.6866
248,23.6898,4099.88,4242.68,248,-8417.8330078125,1240000,43.6226
249,18.4701,3604.89,3837.72,249,-7782.912109375,1245000,42.8296
250,15.0309,4144.68,4295.15,250,-7322.2431640625,1250000,42.3982
251,17.0901,4182.17,4275.19,251,-7323.99072265625,1255000,42.8394
252,17.2358,4102.0,4150.52,252,-7333.73681640625,1260000,42.6446
253,16.1932,3806.94,4228.4,253,-7600.6513671875,1265000,43.0128
254,15.03,1020.75,1033.29,254,-9842.5703125,1270000,45.2469
255,56.9684,385.99,936.28,255,-13340.078125,1275000,49.5414
256,36.3608,737.08,1011.7,256,-12573.7041015625,1280000,47.1393
257,19.1894,3181.59,3790.0,257,-8477.1669921875,1285000,43.0196
258,14.8406,2994.0,3900.13,258,-8233.3935546875,1290000,42.404
259,17.9735,3854.84,4053.17,259,-8601.443359375,1295000,43.2546
260,17.6534,4124.53,4251.84,260,-8104.16748046875,1300000,43.0093
261,16.6249,3947.05,4084.11,261,-8254.51171875,1305000,42.4641
262,18.3079,4217.07,4291.29,262,-8097.25244140625,1310000,42.7954
263,17.2915,4190.91,4286.18,263,-8146.00537109375,1315000,42.3681
264,16.821,4009.38,4258.38,264,-8386.041015625,1320000,42.1425
265,15.1855,3564.6,4209.26,265,-8507.26953125,1325000,41.8976
266,14.9512,3582.52,4165.3,266,-8656.76171875,1330000,42.1525
267,16.4862,3985.16,4216.9,267,-8262.642578125,1335000,42.4496
268,16.3565,3890.95,4321.39,268,-8296.986328125,1340000,42.5061
269,15.2962,3483.06,4322.44,269,-8846.0107421875,1345000,42.4638
270,16.8178,4191.31,4323.82,270,-8679.39453125,1350000,43.0843
271,15.1907,3742.18,4351.83,271,-9017.947265625,1355000,42.7737
272,16.2175,3975.12,4316.06,272,-8157.0185546875,1360000,42.2502
273,16.4194,4193.28,4303.28,273,-8361.8388671875,1365000,41.9327
274,16.5281,4144.21,4334.97,274,-8584.380859375,1370000,42.9752
275,16.7178,4196.21,4278.86,275,-8536.697265625,1375000,42.73
276,16.265,4088.48,4291.9,276,-8584.091796875,1380000,42.3858
277,16.8915,4121.28,4227.3,277,-8797.2890625,1385000,42.5481
278,17.5601,4027.64,4222.99,278,-8803.552734375,1390000,42.8569
279,17.2757,4104.31,4236.01,279,-9065.86328125,1395000,43.0399
280,16.6975,4161.76,4273.47,280,-8968.4306640625,1400000,42.9014
281,15.7384,4118.43,4252.35,281,-9234.3759765625,1405000,42.5093
282,16.6647,4184.39,4316.26,282,-9178.2421875,1410000,42.5941
283,16.7497,4071.84,4255.27,283,-9247.4482421875,1415000,42.5328
284,17.8492,4064.96,4194.92,284,-9180.6884765625,1420000,43.0384
285,16.1664,4041.64,4229.76,285,-9309.650390625,1425000,42.7774
286,14.6455,3253.45,4051.69,286,-10963.21484375,1430000,42.3463
287,17.0111,4087.58,3902.56,287,-9331.0,1435000,42.7199
288,16.9373,4185.01,4258.18,288,-9179.3193359375,1440000,42.3574
289,17.5309,4164.76,4275.74,289,-9258.7255859375,1445000,42.5882
290,17.1885,4095.02,4190.14,290,-9343.447265625,1450000,42.5709
291,16.9568,4110.37,4198.85,291,-9367.515625,1455000,42.7763
292,16.4342,4046.33,4179.65,292,-9499.693359375,1460000,42.178
293,16.1829,4045.47,4144.86,293,-9386.55859375,1465000,42.1064
294,15.9949,4116.11,4204.0,294,-9333.2080078125,1470000,42.1604
295,16.0382,4075.47,4238.55,295,-9497.9833984375,1475000,42.047
296,16.1829,4107.14,4247.02,296,-9578.021484375,1480000,41.8132
297,15.6134,4162.64,4288.08,297,-9772.6376953125,1485000,42.5814
298,16.1471,4147.21,4326.99,298,-9715.4140625,1490000,42.1299
299,15.9604,4064.87,4218.48,299,-9489.24609375,1495000,41.644
300,16.4331,3930.28,3926.17,300,-9989.16796875,1500000,42.3332
301,15.584,3894.82,4266.42,301,-10376.5595703125,1505000,42.1744
302,16.1516,4129.92,4309.34,302,-9781.5810546875,1510000,42.0262
303,16.9273,4122.58,4282.78,303,-9850.185546875,1515000,42.2002
304,16.8724,4196.69,4309.64,304,-10508.2236328125,1520000,42.4644
305,15.3675,4102.48,4294.72,305,-10038.5380859375,1525000,42.0433
306,15.3849,3947.87,4177.15,306,-10154.6435546875,1530000,41.9937
307,15.9337,4140.25,4310.91,307,-10077.9560546875,1535000,41.6939
308,16.2633,4177.08,4291.97,308,-10654.2265625,1540000,42.9724
309,15.9367,4185.98,4312.44,309,-10123.583984375,1545000,42.0971
310,16.3147,4192.05,4315.79,310,-10071.3798828125,1550000,41.7175
311,16.3723,4201.96,4342.33,311,-10622.9853515625,1555000,42.5142
312,15.8571,4209.07,4342.96,312,-10800.3037109375,1560000,42.7379
313,52.4702,-14.62,-15.71,313,-17166.75390625,1565000,53.7192
314,17.6038,3797.45,3767.38,314,-11222.9228515625,1570000,42.7134
315,15.9689,3565.29,3543.67,315,-11686.162109375,1575000,42.2757
316,14.994,3897.79,3913.55,316,-10723.880859375,1580000,41.9082
317,15.8126,4032.16,4105.48,317,-11159.310546875,1585000,41.7652
318,16.0116,4072.5,4199.66,318,-10808.296875,1590000,42.1409
319,15.4062,4180.02,4350.75,319,-10490.701171875,1595000,41.093
320,16.5166,4278.4,4302.1,320,-10422.533203125,1600000,41.5759
321,16.4696,4213.37,4326.72,321,-10964.9873046875,1605000,41.9985
322,16.1751,4238.51,4413.27,322,-10821.2431640625,1610000,42.2869
323,17.5436,4255.68,4397.51,323,-10523.466796875,1615000,41.9934
324,17.4866,4320.17,4411.17,324,-11024.2216796875,1620000,42.7772
325,16.3657,4278.33,4403.19,325,-11092.205078125,1625000,42.1491
326,16.3972,4236.87,4357.56,326,-10886.65625,1630000,41.8039
327,16.6866,4251.28,4396.97,327,-10939.89453125,1635000,41.9206
328,42.7083,870.18,797.15,328,-18445.298828125,1640000,45.9687
329,29.0498,571.5,565.63,329,-19577.744140625,1645000,47.3458
330,32.5496,862.35,859.62,330,-18672.689453125,1650000,46.6561
331,14.1104,1276.16,792.56,331,-17014.05078125,1655000,45.0717
332,17.7939,3872.61,4292.26,332,-12722.9013671875,1660000,43.0406
333,16.6796,3823.32,3916.8,333,-13021.2890625,1665000,42.7128
334,17.4974,4020.52,4081.72,334,-12571.2392578125,1670000,42.7457
335,16.1995,4074.05,4142.31,335,-12461.8427734375,1675000,42.1299
336,16.0923,4077.22,4164.62,336,-12023.5048828125,1680000,41.7371
337,16.8594,4229.27,4339.98,337,-11834.9365234375,1685000,41.5118
338,16.3538,4174.84,4255.13,338,-12366.4765625,1690000,41.88
339,16.647,4196.26,4375.96,339,-12304.1142578125,1695000,42.2918
340,17.0424,4237.38,4336.69,340,-12408.3564453125,1700000,42.3746
341,16.9765,4214.24,4390.65,341,-12567.8798828125,1705000,42.8926
342,16.0479,4199.72,4310.12,342,-12892.2275390625,1710000,42.6473
343,16.8362,4194.95,4457.2,343,-13036.123046875,1715000,42.6636
344,16.4435,4227.4,4421.04,344,-12834.529296875,1720000,42.6867
345,16.5149,4245.9,4432.96,345,-12771.322265625,1725000,42.8604
346,17.3163,4308.75,4445.78,346,-12726.9208984375,1730000,42.4619
347,17.4103,4333.57,4412.63,347,-12719.9755859375,1735000,42.2295
348,17.1327,4313.11,4416.28,348,-12830.083984375,1740000,42.7041
349,16.9236,4331.61,4351.31,349,-12781.4072265625,1745000,42.1482
350,18.2725,4391.65,4430.44,350,-12558.166015625,1750000,42.3672
351,17.4734,4379.82,4515.39,351,-12843.373046875,1755000,42.3833
352,17.5102,4340.97,4379.29,352,-12912.892578125,1760000,42.4533
353,17.6343,4357.36,4417.62,353,-13312.888671875,1765000,42.5387
354,17.002,4363.25,4417.92,354,-13382.5107421875,1770000,42.4589
355,18.2271,4397.36,4473.96,355,-13250.4658203125,1775000,42.9268
356,17.5384,4401.48,4452.51,356,-13358.255859375,1780000,42.5056
357,17.6733,4437.53,4565.75,357,-13234.9541015625,1785000,42.4526
358,16.7632,4388.0,4477.41,358,-14320.4443359375,1790000,42.7579
359,17.1366,4311.0,4421.94,359,-13874.1357421875,1795000,42.3792
360,17.0175,4391.91,4483.61,360,-13481.4013671875,1800000,42.1619
361,16.8247,4242.58,4338.01,361,-14136.1806640625,1805000,42.3527
362,18.0251,3896.6,4425.86,362,-14525.357421875,1810000,42.9104
363,17.4697,4524.08,4588.82,363,-14320.4384765625,1815000,41.9939
364,17.9053,4363.49,4577.26,364,-13871.0556640625,1820000,42.0019
365,17.2046,4420.34,4569.19,365,-13872.3896484375,1825000,42.0626
366,18.4795,4419.03,4467.91,366,-13973.3232421875,1830000,42.851
367,16.7276,4332.97,4427.48,367,-14087.80859375,1835000,41.8704
368,18.096,4394.49,4537.34,368,-14070.0908203125,1840000,42.3587
369,17.8055,4383.75,4430.29,369,-13796.7822265625,1845000,42.1161
370,16.0427,4356.69,4445.63,370,-14713.150390625,1850000,42.2197
371,16.4766,4192.98,3000.48,371,-14894.146484375,1855000,42.2852
372,17.5979,4405.55,4484.58,372,-14177.9482421875,1860000,42.1461
373,16.5511,4180.24,3469.77,373,-15179.6396484375,1865000,42.451
374,17.8652,4281.62,4283.89,374,-15010.4482421875,1870000,42.631
375,17.9107,4149.16,4450.11,375,-14490.0693359375,1875000,42.5849
376,17.5909,4088.87,3510.87,376,-14056.6064453125,1880000,41.7127
377,20.2548,4086.38,3825.31,377,-15707.328125,1885000,42.4325
378,15.449,2841.87,3675.41,378,-17097.755859375,1890000,42.3273
379,15.8239,2155.91,4659.44,379,-21756.5078125,1895000,43.2244
380,16.4489,352.12,452.24,380,-24348.15234375,1900000,47.121
381,20.2097,872.26,1472.02,381,-25739.478515625,1905000,47.0438
382,14.9028,594.52,603.47,382,-25137.46484375,1910000,48.7534
383,25.0232,1252.85,1519.9,383,-25653.611328125,1915000,46.9777
384,14.237,2283.57,1910.41,384,-21757.919921875,1920000,44.905
385,16.9303,3150.83,3999.68,385,-18685.20703125,1925000,43.2387
386,20.4218,3364.56,3616.79,386,-21220.474609375,1930000,43.5879
387,16.9255,3656.06,4006.24,387,-17371.8828125,1935000,41.7502
388,16.4099,3692.46,3787.03,388,-18363.755859375,1940000,41.8304
