Real Det Return,Running Forward KL,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Itration
3466.88,15.6209,10.4236,510000,102,3442.44,-177.80125427246094,102
3462.17,15.6967,10.3672,515000,103,3434.45,-240.88755798339844,103
3432.45,18.2649,11.4116,520000,104,3278.82,-899.33740234375,104
3472.82,16.4809,12.0061,525000,105,3295.07,-705.1281127929688,105
3480.19,16.3408,10.8017,530000,106,3466.68,-203.94915771484375,106
3475.09,16.6259,11.5593,535000,107,3453.76,-257.73834228515625,107
3496.6,17.0221,11.5089,540000,108,3480.81,-232.5160675048828,108
3473.38,17.6188,11.6952,545000,109,3331.39,-468.7652893066406,109
3479.83,15.9263,10.6784,550000,110,3449.03,-224.9866180419922,110
3490.55,15.986,10.8925,555000,111,3469.92,-301.07244873046875,111
3465.54,16.5611,11.1795,560000,112,3439.38,-285.0733642578125,112
3436.12,15.6693,10.5199,565000,113,3404.78,-289.4167785644531,113
3453.87,15.9157,10.1269,570000,114,3416.41,-385.2032775878906,114
3430.45,16.2373,11.5358,575000,115,3409.92,-345.75445556640625,115
3458.32,16.7712,11.3075,580000,116,3443.7,-319.1136169433594,116
3416.88,16.2376,10.6761,585000,117,3225.93,-374.4151916503906,117
3473.03,16.8715,11.631,590000,118,3445.32,-324.3121643066406,118
3481.87,15.8796,10.5074,595000,119,3465.73,-275.6296691894531,119
3460.7,16.129,10.7304,600000,120,3438.46,-313.63055419921875,120
3468.4,16.9227,10.4105,605000,121,3446.23,-722.2571411132812,121
3467.72,17.2557,11.504,610000,122,3446.45,-563.1954956054688,122
3482.78,16.8693,10.5695,615000,123,3307.18,-784.7993774414062,123
3494.04,16.1841,10.1801,620000,124,3471.5,-483.0259704589844,124
3423.97,17.1754,11.6453,625000,125,3394.49,-651.0709228515625,125
3485.12,16.6836,10.9309,630000,126,3458.37,-318.46099853515625,126
3462.83,16.9316,11.0651,635000,127,3437.41,-792.0971069335938,127
3467.78,17.4508,11.3104,640000,128,3438.86,-780.3825073242188,128
3503.05,16.4525,10.2456,645000,129,3478.22,-511.3353576660156,129
3456.7,16.3506,10.4591,650000,130,3431.63,-734.3843994140625,130
3468.65,17.2457,11.1286,655000,131,3398.97,-829.384765625,131
3495.64,15.7626,10.403,660000,132,3478.85,-269.2667541503906,132
3465.92,16.9106,11.1312,665000,133,3291.33,-702.4263916015625,133
3470.53,16.9055,10.7085,670000,134,3448.12,-650.2822265625,134
3486.13,15.9189,10.6292,675000,135,3464.68,-364.0115051269531,135
3420.21,16.1256,10.3161,680000,136,3391.43,-634.5672607421875,136
3485.45,16.5016,10.6093,685000,137,3453.28,-355.8706970214844,137
3448.75,17.1445,11.6439,690000,138,3363.32,-722.2621459960938,138
3500.07,16.4467,10.877,695000,139,3472.77,-515.0044555664062,139
3466.56,16.4845,10.8887,700000,140,3206.03,-590.879150390625,140
3492.71,16.8415,11.128,705000,141,3463.47,-817.5791625976562,141
3496.91,17.3917,11.4013,710000,142,3472.69,-589.9708862304688,142
3448.91,16.3701,10.5009,715000,143,3329.13,-815.16455078125,143
3460.3,16.3001,11.111,720000,144,3436.93,-623.5159912109375,144
3463.16,15.8883,9.6686,725000,145,3434.18,-648.8630981445312,145
3487.68,16.5375,11.1513,730000,146,3466.18,-823.5625,146
3461.75,17.036,10.9209,735000,147,3439.84,-847.7874755859375,147
3478.57,16.3641,10.4532,740000,148,3453.97,-615.6114501953125,148
3487.02,16.3619,10.6219,745000,149,3452.7,-781.9840698242188,149
3491.2,16.4408,11.0488,750000,150,3295.63,-854.54345703125,150
3481.08,17.3504,11.4748,755000,151,3467.84,-881.321533203125,151
3479.19,16.887,10.6242,760000,152,3275.36,-766.0050048828125,152
3434.14,16.9689,11.0027,765000,153,3409.25,-735.0195922851562,153
3472.53,17.2169,10.8524,770000,154,3447.71,-914.782470703125,154
3486.6,17.2606,11.6578,775000,155,3375.12,-924.2377319335938,155
3469.24,17.3973,11.5908,780000,156,3434.38,-956.1605834960938,156
3453.61,16.3802,10.4456,785000,157,3360.61,-660.6861572265625,157
3465.4,16.5968,11.1094,790000,158,3372.49,-904.1310424804688,158
3477.2,16.5326,9.6697,795000,159,3341.92,-842.01220703125,159
3488.74,16.5282,10.7237,800000,160,3206.69,-896.3701171875,160
3472.29,17.1336,10.7494,805000,161,3440.35,-971.2737426757812,161
3489.5,16.7263,10.8659,810000,162,3303.75,-867.735595703125,162
3472.06,17.1916,11.4439,815000,163,3328.59,-1060.5760498046875,163
3466.39,16.4176,10.8159,820000,164,3433.65,-843.9299926757812,164
3483.75,16.6323,10.4774,825000,165,3002.11,-1054.486572265625,165
3501.11,17.1388,11.1878,830000,166,3266.83,-1052.138916015625,166
3474.94,17.7706,13.3663,835000,167,3311.76,-1037.6878662109375,167
3460.73,16.6331,11.4002,840000,168,3438.89,-856.1154174804688,168
3495.36,17.2035,11.1301,845000,169,3198.77,-952.0542602539062,169
3470.27,16.6105,10.4772,850000,170,3345.87,-780.18701171875,170
3489.36,17.5412,13.6622,855000,171,3182.88,-1135.632080078125,171
3495.63,16.148,9.7105,860000,172,3457.62,-627.8575439453125,172
3451.79,16.6738,10.9665,865000,173,3355.52,-814.5609741210938,173
3475.38,16.9769,10.2997,870000,174,3241.86,-902.2922973632812,174
3497.36,17.9508,10.715,875000,175,3059.1,-1332.0479736328125,175
3474.62,17.0494,11.1439,880000,176,3316.94,-818.0819091796875,176
3486.33,17.3733,10.8523,885000,177,3453.57,-770.286376953125,177
3496.93,17.8378,10.4405,890000,178,3120.02,-1257.0491943359375,178
3448.43,16.7414,10.4332,895000,179,3311.19,-922.2971801757812,179
3480.0,16.9636,10.7681,900000,180,3460.04,-775.841552734375,180
3470.89,17.208,14.1214,905000,181,3365.17,-1052.6968994140625,181
3485.13,17.0049,10.9885,910000,182,3454.44,-591.5418090820312,182
3450.86,16.3413,10.2734,915000,183,3415.96,-871.1132202148438,183
3460.49,16.6344,17.1258,920000,184,3443.74,-1060.966796875,184
3506.78,17.5709,10.5039,925000,185,2761.69,-1220.8299560546875,185
3451.22,16.649,11.4779,930000,186,3438.67,-830.586181640625,186
3484.91,16.9607,11.1742,935000,187,3346.33,-829.7964477539062,187
3481.98,17.1871,10.7945,940000,188,3265.89,-1051.986572265625,188
3469.41,17.7074,17.1038,945000,189,3362.04,-1236.77978515625,189
3494.02,17.3079,10.2162,950000,190,3396.15,-1053.520751953125,190
3476.32,17.9453,11.1794,955000,191,3210.82,-1136.8521728515625,191
3479.9,18.0082,9.8248,960000,192,3028.67,-1587.641845703125,192
3474.9,17.5178,11.5168,965000,193,3212.59,-963.0645141601562,193
3452.77,17.5083,10.9006,970000,194,3428.55,-963.9647216796875,194
3474.21,18.1624,9.9035,975000,195,2871.87,-1826.5528564453125,195
3492.57,16.7448,10.3119,980000,196,3267.16,-1110.66748046875,196
3468.08,16.7199,10.2773,985000,197,3414.98,-846.96337890625,197
3462.53,17.546,10.9044,990000,198,3458.35,-965.0576171875,198
3518.9,17.7886,12.4817,995000,199,2859.12,-1591.1019287109375,199
