Running Env Steps,Real Det Return,Running Reverse KL,Itration,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time
425000,7147.93,16.2127,85,6556.1,-2359.05078125,151.4251,85
430000,7137.2,15.9416,86,6437.16,-2379.40966796875,151.623,86
435000,7141.38,16.5446,87,6612.13,-2427.81689453125,152.2066,87
440000,7204.88,16.212,88,6293.96,-2425.936279296875,151.7488,88
445000,7225.97,16.0027,89,6661.37,-2484.63818359375,151.8466,89
450000,7485.7,15.1662,90,6825.09,-2540.01416015625,151.4816,90
455000,7430.82,16.7943,91,6923.99,-2462.246826171875,151.5005,91
460000,7481.86,15.5072,92,6742.76,-2581.075439453125,151.7397,92
465000,7412.18,16.4134,93,6875.28,-2547.51416015625,151.4218,93
470000,7261.89,16.4636,94,6770.14,-2572.114501953125,151.273,94
475000,7341.06,15.8806,95,6818.48,-2618.501708984375,151.2341,95
480000,7516.64,16.3235,96,6935.67,-2607.024169921875,151.1797,96
485000,7317.45,16.3997,97,6807.93,-2660.87158203125,151.6722,97
490000,7582.29,16.7072,98,6988.57,-2614.23828125,151.2869,98
495000,7295.63,16.0597,99,6841.16,-2689.443115234375,151.4547,99
500000,7588.71,16.6721,100,7020.76,-2693.921142578125,151.631,100
505000,7634.81,17.0326,101,7173.36,-2701.93359375,151.3163,101
510000,7682.87,17.0866,102,7176.29,-2742.778564453125,151.3928,102
515000,7688.93,16.5108,103,7167.04,-2723.936767578125,151.3363,103
520000,7472.06,17.4509,104,7131.87,-2785.326171875,151.4713,104
525000,7928.4,16.3058,105,7228.24,-2765.455322265625,150.7038,105
530000,7514.57,16.0724,106,7178.08,-2796.1416015625,150.4459,106
535000,7813.32,16.5262,107,7411.33,-2852.309814453125,151.1074,107
540000,7805.51,16.4534,108,7320.8,-2826.220947265625,150.6937,108
545000,7851.06,16.2245,109,7300.59,-2872.91845703125,150.5666,109
550000,7786.23,16.6978,110,7375.27,-2863.206298828125,150.6358,110
555000,8013.9,17.2652,111,7508.45,-2861.50537109375,150.8296,111
560000,7779.67,16.3431,112,7198.77,-2935.44482421875,150.8956,112
565000,7926.95,16.4607,113,7154.46,-2972.704345703125,150.8898,113
570000,7407.82,16.0218,114,7176.51,-3042.335693359375,150.9986,114
575000,7955.01,16.5198,115,7367.04,-3045.71337890625,150.8689,115
580000,8050.89,17.3057,116,7474.33,-2988.573974609375,150.6967,116
585000,7984.01,16.7665,117,7225.82,-3049.152099609375,151.0936,117
590000,8516.29,17.7738,118,7768.18,-2950.93212890625,150.3587,118
595000,8131.6,16.9379,119,7470.73,-3055.89599609375,150.4771,119
600000,8147.76,16.6504,120,7337.5,-3194.74169921875,150.4256,120
605000,8270.35,17.4542,121,7595.33,-3109.17333984375,150.4725,121
610000,7697.33,16.887,122,7443.45,-3180.21435546875,150.9081,122
615000,7647.07,17.4344,123,7307.92,-3257.859130859375,150.3464,123
620000,8056.65,16.8731,124,7080.57,-3187.08447265625,150.2447,124
625000,8075.18,17.9606,125,7287.1,-3134.232421875,150.2785,125
630000,8136.79,16.6031,126,7462.14,-3284.203125,150.4249,126
635000,7882.2,16.9751,127,7689.57,-3189.8974609375,150.6933,127
640000,8256.61,17.6681,128,7520.47,-3245.269775390625,150.3991,128
645000,8470.84,18.574,129,7804.13,-3238.54296875,150.3814,129
650000,8136.41,17.3908,130,7685.24,-3336.3486328125,150.4321,130
655000,8417.86,17.6029,131,7879.8,-3320.357421875,150.1574,131
660000,8584.98,17.313,132,7966.46,-3311.53662109375,150.4602,132
665000,8568.4,17.4864,133,8058.95,-3293.88134765625,150.1091,133
670000,8596.89,17.3616,134,8052.46,-3308.876220703125,150.0828,134
675000,8598.04,17.0543,135,8010.87,-3449.52197265625,150.6225,135
680000,8545.03,17.8962,136,8012.69,-3384.991943359375,150.0271,136
685000,8521.44,17.3737,137,7998.25,-3460.608154296875,149.9073,137
690000,8608.0,17.3873,138,7998.3,-3471.657958984375,150.0673,138
695000,8473.28,17.7865,139,7734.53,-3517.802734375,150.0523,139
700000,8641.0,18.2809,140,8189.6,-3508.452392578125,150.1481,140
705000,8672.41,18.1082,141,7969.39,-3548.3623046875,150.4156,141
710000,8658.73,17.5024,142,7777.22,-3470.234375,149.9054,142
715000,8516.71,17.6562,143,8150.52,-3612.888427734375,150.3571,143
720000,8733.63,18.0676,144,8306.51,-3546.2900390625,149.9009,144
725000,8896.7,18.2202,145,8097.63,-3642.890869140625,149.6827,145
730000,8650.03,18.4879,146,8280.53,-3538.242431640625,149.8443,146
735000,8638.33,17.7662,147,8029.6,-3592.1181640625,149.5613,147
740000,8644.21,17.9177,148,8004.35,-3792.13037109375,149.9921,148
745000,8790.36,18.1784,149,8158.16,-3734.748291015625,149.8025,149
750000,8658.23,17.7037,150,8234.37,-3782.1416015625,149.4774,150
755000,8605.65,18.2301,151,8322.96,-3767.6796875,149.4985,151
760000,8380.09,16.0655,152,6971.72,-4016.468017578125,149.2196,152
765000,8402.68,18.4882,153,8117.1,-3828.39599609375,149.1702,153
770000,8840.75,17.8565,154,8231.73,-3828.554931640625,149.4146,154
775000,9096.91,18.1303,155,8469.93,-3895.94873046875,149.7693,155
780000,8652.27,17.8712,156,7868.55,-4063.7197265625,150.064,156
785000,8460.26,16.578,157,7643.99,-4095.080810546875,149.4942,157
790000,8980.34,19.1115,158,7800.54,-3930.20751953125,149.5708,158
795000,9074.72,17.8527,159,8469.38,-4128.02783203125,149.5052,159
800000,8744.13,18.1098,160,8349.49,-3976.466796875,149.6559,160
805000,9023.69,17.8795,161,8423.7,-4018.766357421875,149.1961,161
810000,9107.39,18.5086,162,8420.92,-4063.01025390625,149.1454,162
815000,9029.39,17.8597,163,8277.69,-4176.45068359375,149.9644,163
820000,8995.25,18.6405,164,8564.04,-4084.06640625,149.1463,164
825000,9083.41,18.3092,165,8230.36,-4161.00390625,149.5016,165
830000,9109.79,17.6664,166,8607.68,-4101.41455078125,148.9746,166
835000,8665.2,17.9431,167,7644.23,-4119.69921875,148.8933,167
840000,9064.33,16.1425,168,7489.61,-4486.63232421875,148.6644,168
845000,8992.86,18.454,169,8575.2,-4238.806640625,149.848,169
850000,9048.34,18.4181,170,8661.66,-4194.9794921875,149.4746,170
855000,9139.66,18.1853,171,8688.6,-4181.974609375,149.2875,171
860000,9102.26,18.5004,172,8602.02,-4196.47265625,149.6795,172
865000,9015.08,18.2508,173,8677.97,-4235.40380859375,149.0801,173
870000,8837.48,18.5568,174,8505.46,-4362.103515625,148.8244,174
875000,8905.77,17.8775,175,8438.72,-4333.57958984375,149.1906,175
880000,9293.27,18.2762,176,8772.69,-4266.21142578125,148.9311,176
885000,9360.26,17.9498,177,8772.11,-4228.6025390625,148.6032,177
890000,8960.94,17.5959,178,8608.28,-4516.396484375,149.7433,178
895000,9345.38,18.77,179,8739.55,-4427.154296875,149.1859,179
900000,9040.02,18.5607,180,8671.35,-4430.27880859375,148.5926,180
905000,8690.47,17.2444,181,8242.65,-4711.34912109375,149.3767,181
910000,9148.39,17.5314,182,8615.43,-4430.7958984375,148.9422,182
915000,9373.36,17.8518,183,8805.48,-4713.3330078125,148.9193,183
920000,9262.47,17.6641,184,8872.35,-4550.8212890625,148.714,184
925000,9187.31,18.4746,185,8802.55,-4471.4765625,149.3323,185
930000,9369.64,18.9247,186,8928.23,-4497.54541015625,149.4171,186
935000,9533.36,18.278,187,8962.16,-4522.1806640625,148.5935,187
940000,9115.95,18.1676,188,8757.16,-4622.466796875,148.5555,188
945000,9454.9,16.6759,189,8791.94,-4729.1162109375,148.8161,189
950000,9082.75,18.8022,190,8673.31,-4694.04736328125,149.2257,190
955000,9456.43,17.9275,191,8521.12,-4549.25927734375,148.6649,191
960000,9492.25,18.6315,192,8945.32,-4588.54833984375,148.0145,192
965000,9532.05,18.3899,193,8980.99,-4563.37451171875,148.3429,193
970000,9449.99,17.8041,194,8689.8,-4660.841796875,148.4811,194
975000,8931.75,18.6231,195,8720.3,-4636.0166015625,148.3349,195
980000,9497.73,18.5396,196,8983.7,-4797.82177734375,148.7316,196
985000,9490.18,18.2989,197,8922.33,-4618.65087890625,148.1545,197
990000,9622.53,19.0426,198,8992.83,-4767.63671875,149.0644,198
995000,9624.69,18.0244,199,9070.62,-4638.966796875,148.1502,199
1000000,9196.28,18.2448,200,8654.04,-4845.615234375,149.0348,200
1005000,9091.94,17.6748,201,8352.49,-4891.23583984375,148.9835,201
1010000,8796.57,17.1358,202,8003.87,-5106.01904296875,148.9587,202
1015000,9582.91,18.0449,203,8825.85,-4801.54638671875,148.7492,203
1020000,9203.41,17.1394,204,8024.07,-4984.9140625,148.562,204
1025000,9286.28,17.3125,205,8439.74,-5035.123046875,149.2921,205
1030000,9300.13,17.5635,206,8478.24,-5085.17626953125,148.8298,206
1035000,8974.3,17.7575,207,8408.47,-5106.83251953125,149.2799,207
1040000,9413.51,18.2978,208,8671.67,-4999.29248046875,148.7971,208
1045000,9512.87,18.9406,209,8976.85,-4874.751953125,148.7369,209
1050000,9545.58,18.2899,210,8812.75,-4879.765625,148.4382,210
1055000,9564.98,18.0737,211,8843.41,-5043.59326171875,148.7813,211
1060000,9583.92,18.0487,212,9045.96,-4874.140625,148.1566,212
1065000,9611.68,18.3373,213,8915.35,-4964.8447265625,148.4007,213
1070000,9731.19,18.1488,214,9173.41,-4905.8525390625,147.7354,214
1075000,9666.68,18.4643,215,9139.8,-4883.4267578125,147.8027,215
1080000,9687.42,18.4156,216,9257.92,-4860.48583984375,147.808,216
1085000,9605.21,18.5503,217,8951.19,-4964.76953125,148.4539,217
1090000,9551.46,18.0254,218,8945.21,-5003.1357421875,147.9179,218
1095000,9759.28,19.2468,219,9205.58,-4951.138671875,148.5899,219
1100000,9712.94,18.6432,220,9146.44,-4987.93115234375,148.4455,220
1105000,9703.67,19.4567,221,9081.0,-4987.9658203125,148.0914,221
1110000,9697.11,18.4225,222,9157.7,-5004.2490234375,147.9186,222
1115000,9848.9,19.3722,223,9263.48,-5008.3828125,148.0681,223
1120000,9835.9,19.0044,224,9204.8,-5003.615234375,147.1914,224
1125000,9685.68,18.9464,225,9045.12,-5150.4296875,148.2998,225
1130000,9865.6,19.1339,226,9222.98,-5151.30224609375,148.3079,226
1135000,9811.47,18.441,227,9271.28,-4994.3994140625,147.2666,227
1140000,9727.82,18.5888,228,9045.19,-5089.57666015625,147.5845,228
1145000,9577.78,18.2506,229,9083.37,-5084.431640625,146.9371,229
1150000,9658.87,18.2799,230,9000.18,-5132.9208984375,147.2136,230
1155000,9603.6,18.2887,231,8692.51,-5180.46337890625,147.4905,231
1160000,9885.79,19.0597,232,9214.34,-5115.353515625,147.6855,232
1165000,9920.75,19.0643,233,9158.14,-5100.55712890625,147.2755,233
1170000,9946.02,18.9293,234,9416.05,-5182.50537109375,148.5196,234
1175000,9852.97,19.7992,235,9388.26,-5097.8212890625,146.4898,235
1180000,9883.62,19.5251,236,9379.78,-5076.20361328125,147.2367,236
1185000,9838.26,18.7779,237,9315.87,-5153.9423828125,147.8943,237
1190000,10101.88,18.8704,238,9467.13,-5086.69970703125,146.3019,238
1195000,10020.86,18.5105,239,9400.93,-5181.494140625,147.0723,239
1200000,10144.89,19.0363,240,9545.38,-5045.47216796875,146.507,240
1205000,10050.06,18.9357,241,9408.73,-5169.31591796875,146.9307,241
1210000,9825.97,18.9584,242,9213.08,-5189.39990234375,147.1058,242
1215000,9995.12,18.2069,243,9405.07,-5205.0400390625,146.4783,243
1220000,9729.03,18.7021,244,9290.86,-5244.35595703125,147.343,244
1225000,9713.64,18.8044,245,9431.8,-5304.2734375,147.1417,245
1230000,10260.95,18.295,246,9571.73,-5344.3193359375,146.0506,246
1235000,9976.78,18.9782,247,9229.99,-5271.119140625,146.2676,247
1240000,10051.86,19.1878,248,9561.25,-5217.7275390625,146.2521,248
1245000,9997.83,18.8507,249,9521.06,-5235.44140625,146.5655,249
1250000,10144.29,19.5176,250,9593.71,-5255.890625,146.8459,250
1255000,10229.55,19.2455,251,9283.09,-5199.796875,146.4034,251
1260000,10136.65,19.0887,252,9564.11,-5224.369140625,146.7742,252
1265000,10103.76,19.0561,253,9610.51,-5272.09130859375,146.6074,253
1270000,10036.81,19.1764,254,9489.21,-5271.0654296875,147.0259,254
1275000,10234.34,19.0936,255,9579.16,-5127.26611328125,146.4889,255
1280000,10003.63,18.6843,256,9529.99,-5243.1171875,146.8203,256
1285000,9960.62,18.217,257,9200.63,-5254.2373046875,145.6257,257
1290000,10156.56,18.8765,258,9712.35,-5203.95751953125,146.2828,258
1295000,10156.79,18.629,259,9619.98,-5210.81787109375,145.8056,259
1300000,10014.57,18.8066,260,9609.29,-5186.91357421875,146.2157,260
1305000,10271.76,18.4098,261,9807.29,-5183.66259765625,145.2291,261
1310000,10232.68,18.4937,262,9620.73,-5285.498046875,145.3084,262
1315000,10060.49,18.6042,263,9617.83,-5284.63671875,147.1526,263
1320000,10328.49,19.0691,264,9835.87,-5274.078125,146.6476,264
1325000,10401.31,19.0428,265,9839.54,-5261.81298828125,145.6922,265
1330000,10361.68,18.8903,266,9843.1,-5327.25830078125,146.5082,266
1335000,10492.29,19.2442,267,9941.54,-5237.97998046875,145.6611,267
1340000,10488.41,18.5796,268,9955.27,-5203.109375,145.7749,268
1345000,10472.79,19.1982,269,9407.07,-5266.14013671875,145.9632,269
1350000,10265.58,18.9999,270,9944.52,-5227.8603515625,145.8412,270
1355000,10493.84,19.0678,271,9949.28,-5166.56494140625,144.9194,271
1360000,10501.41,18.7986,272,9585.49,-5121.26904296875,144.3673,272
1365000,10094.2,18.6311,273,9698.62,-5268.17822265625,144.9177,273
1370000,10630.03,18.9314,274,10033.69,-5174.09228515625,144.0177,274
1375000,10502.37,19.2538,275,9876.67,-5341.462890625,145.3809,275
1380000,10575.41,19.1179,276,9917.35,-5329.1005859375,145.3823,276
1385000,10667.89,19.6804,277,10006.06,-5328.32080078125,145.6366,277
1390000,10067.58,19.3619,278,9970.07,-5410.5283203125,145.9795,278
1395000,10297.11,19.1737,279,9788.45,-5363.6015625,144.4639,279
1400000,10615.39,19.0266,280,9711.76,-5281.98046875,144.567,280
1405000,9235.1,18.8075,281,9341.38,-5397.73095703125,145.0607,281
1410000,10303.43,19.0096,282,9764.34,-5655.22705078125,144.8757,282
1415000,9471.01,19.1174,283,9481.37,-5371.423828125,145.4928,283
1420000,10070.05,17.8262,284,9434.05,-5655.96533203125,145.5128,284
1425000,10437.49,19.1566,285,10131.58,-5359.0888671875,144.6948,285
1430000,10167.27,18.7738,286,9796.77,-5669.84814453125,146.0201,286
1435000,10550.14,17.8558,287,9755.49,-5759.44482421875,144.7318,287
1440000,10255.72,18.8754,288,10121.33,-5505.28466796875,144.6912,288
1445000,10682.69,17.4661,289,9395.85,-5476.01513671875,143.5777,289
1450000,10324.09,19.1455,290,9478.33,-5420.18798828125,144.5329,290
1455000,10561.62,19.6126,291,10132.78,-5424.22900390625,145.2368,291
1460000,10467.18,18.9794,292,9824.87,-5662.3515625,144.5196,292
1465000,10606.81,19.7462,293,9773.28,-5595.38037109375,144.5491,293
1470000,9600.08,17.0021,294,9326.73,-6150.8525390625,146.4612,294
1475000,10512.72,19.2928,295,9723.11,-5622.16748046875,144.9032,295
1480000,8405.39,18.6064,296,9067.53,-5944.62158203125,145.7774,296
1485000,10714.2,19.4685,297,10043.74,-5501.07861328125,144.5084,297
1490000,10329.65,18.5307,298,9960.58,-5575.193359375,144.2028,298
1495000,10341.31,19.159,299,10107.4,-5633.8642578125,145.2552,299
1500000,10574.85,19.571,300,10015.55,-5495.99169921875,144.9631,300
1505000,9792.77,18.6193,301,8682.82,-5801.74658203125,144.6311,301
1510000,9806.24,18.4025,302,9206.36,-5806.4462890625,144.1493,302
1515000,10639.37,20.161,303,9867.93,-5653.82763671875,144.537,303
1520000,10387.19,18.6942,304,8963.61,-5805.7919921875,144.5645,304
1525000,10723.19,19.513,305,9287.53,-5655.1591796875,144.5808,305
1530000,10748.79,18.9782,306,10333.03,-5810.0390625,143.9909,306
1535000,10815.95,18.426,307,10280.8,-5615.802734375,143.6092,307
1540000,10747.71,19.8481,308,10289.14,-5652.4619140625,144.684,308
1545000,10638.32,17.9082,309,9996.92,-5916.1357421875,145.1708,309
1550000,10686.23,18.0101,310,9838.38,-5874.462890625,144.6833,310
1555000,10693.86,19.3103,311,9775.7,-5975.16552734375,144.7637,311
1560000,10376.42,18.9228,312,9853.4,-5783.51513671875,144.0712,312
1565000,10106.74,19.1236,313,9753.0,-5730.09619140625,143.7749,313
1570000,10414.01,18.9138,314,9846.06,-5794.3056640625,144.0555,314
1575000,10469.27,16.8432,315,9775.68,-6046.38671875,142.96,315
1580000,10324.09,17.9231,316,9958.37,-5929.29833984375,143.2196,316
1585000,10519.87,19.1623,317,9270.49,-5826.30078125,143.8899,317
1590000,10410.37,19.0427,318,10355.85,-5743.92041015625,143.4732,318
1595000,10593.37,17.2865,319,9879.47,-5984.53076171875,143.5007,319
1600000,10659.76,18.0421,320,10299.36,-5983.82958984375,144.1553,320
1605000,10214.82,18.5733,321,10317.74,-6033.33642578125,144.2652,321
1610000,10334.11,20.1935,322,9939.12,-5952.98974609375,145.1459,322
1615000,10862.37,19.02,323,9032.37,-5762.63427734375,143.0175,323
1620000,10851.76,20.2793,324,10264.17,-5945.8466796875,144.7232,324
1625000,10259.94,19.3931,325,10149.23,-5957.31005859375,143.8978,325
1630000,10126.52,20.2029,326,9833.48,-5987.3134765625,144.1606,326
1635000,10577.74,18.9685,327,10189.65,-5927.10302734375,143.7744,327
1640000,10221.27,19.1415,328,10168.83,-6085.70947265625,144.2313,328
1645000,10751.25,19.7392,329,10028.3,-6037.5146484375,144.2895,329
1650000,11033.47,18.9776,330,10439.3,-5946.0498046875,143.5688,330
1655000,11023.97,18.4992,331,10265.01,-5962.9560546875,142.7744,331
1660000,10985.17,20.1265,332,10508.2,-6016.7666015625,144.537,332
1665000,10687.44,17.9699,333,10273.58,-5965.734375,142.7361,333
1670000,10872.83,19.2331,334,10214.98,-6175.59033203125,143.7602,334
1675000,10957.31,19.5333,335,10500.66,-5891.1484375,143.5577,335
1680000,10859.27,19.0598,336,10062.47,-5982.31884765625,141.5861,336
1685000,10696.56,19.7721,337,10092.37,-5978.09033203125,144.1389,337
1690000,10737.27,19.0601,338,10434.52,-6189.35302734375,144.6869,338
1695000,10952.23,19.5748,339,9390.32,-5967.31494140625,143.6759,339
1700000,10651.31,19.4663,340,9736.0,-6100.900390625,144.5263,340
1705000,10526.57,18.6924,341,10482.33,-6091.81494140625,143.3162,341
1710000,10779.22,19.1657,342,9890.5,-6051.50390625,142.7324,342
1715000,11021.55,19.1559,343,10141.22,-6141.232421875,143.7669,343
1720000,10789.04,17.8238,344,10090.44,-6156.7236328125,143.2786,344
1725000,10038.99,17.6211,345,9657.74,-6505.84619140625,144.0394,345
1730000,10698.56,19.8231,346,10333.55,-6279.36865234375,144.0872,346
1735000,10914.63,18.7727,347,10305.48,-6407.66650390625,144.0563,347
1740000,10424.41,19.275,348,10262.89,-6292.32421875,143.8704,348
1745000,10714.51,19.6742,349,10016.2,-6324.91796875,143.8758,349
1750000,10793.94,19.3959,350,10407.23,-6326.66943359375,143.2244,350
1755000,10993.0,19.1531,351,10220.75,-6425.18408203125,143.2304,351
1760000,9962.58,18.6698,352,9613.84,-6017.58056640625,143.0056,352
1765000,10766.4,18.9069,353,10470.4,-6504.76220703125,144.0864,353
1770000,10431.2,19.1459,354,10493.93,-6066.12353515625,143.3849,354
1775000,10795.04,19.3002,355,10592.21,-6284.7373046875,143.6871,355
1780000,10442.35,19.6756,356,10547.11,-6420.96337890625,142.9071,356
1785000,10880.29,19.8863,357,10203.32,-6329.2138671875,143.6473,357
1790000,11076.35,19.6692,358,10400.77,-6578.28466796875,143.765,358
1795000,10391.97,20.7029,359,10795.04,-6355.1533203125,144.5131,359
1800000,10240.55,20.188,360,10735.55,-6401.06689453125,143.3405,360
1805000,9933.21,20.5356,361,10312.97,-6392.40234375,143.6504,361
1810000,9973.52,20.7368,362,10566.4,-6410.853515625,143.6687,362
1815000,10942.45,20.351,363,9598.76,-6402.18212890625,143.5494,363
1820000,10651.73,19.507,364,9547.39,-6760.7001953125,143.9908,364
1825000,10327.16,19.636,365,10126.31,-6787.1025390625,144.1177,365
1830000,10749.41,19.8383,366,10187.16,-6389.54638671875,143.4158,366
1835000,10447.09,20.5582,367,10138.02,-6588.97021484375,144.0163,367
1840000,11112.01,20.3766,368,10656.72,-6594.74462890625,143.1524,368
1845000,11087.79,20.2176,369,9119.45,-6409.58349609375,143.1514,369
1850000,5203.02,52.6742,370,2537.86,-7875.37158203125,146.6502,370
1855000,-526.52,80.3167,371,-524.41,-8211.6669921875,160.6334,371
1860000,702.85,63.6785,372,-395.71,-8208.2216796875,149.6913,372
1865000,4058.72,22.7204,373,667.44,-8517.2021484375,158.5466,373
1870000,5200.96,22.571,374,3137.52,-8201.0703125,146.6292,374
1875000,8858.11,17.3736,375,3761.2,-7663.6962890625,144.5406,375
1880000,10386.82,18.8554,376,9457.71,-6923.55322265625,143.9424,376
1885000,11147.68,19.4248,377,9572.32,-6422.701171875,143.3549,377
1890000,8772.13,19.3402,378,9054.89,-6471.75048828125,144.11,378
1895000,8386.06,17.284,379,8292.8,-6858.48828125,143.5755,379
1900000,11061.34,17.4055,380,9772.5,-6625.8076171875,141.9747,380
1905000,11406.5,18.6275,381,9929.69,-6706.96044921875,143.2416,381
1910000,11173.67,16.46,382,9779.48,-6856.7841796875,143.0658,382
1915000,9433.22,16.3635,383,8156.21,-7198.46337890625,143.5861,383
