Itration,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
153,153,765000,3451.38,16.7149,-351.7546081542969,11.0265,3278.52
154,154,770000,3380.84,19.4362,-2275.030029296875,18.7036,1630.25
155,155,775000,3388.41,17.6183,-882.4296264648438,17.6184,3301.17
156,156,780000,3437.75,16.2054,-837.5233764648438,17.024,3152.3
157,157,785000,3432.0,16.3538,-469.1867980957031,10.3324,3222.56
158,158,790000,3377.09,16.5329,-288.429931640625,9.5257,3341.26
159,159,795000,3483.33,17.1026,-468.5055847167969,12.0477,3330.23
160,160,800000,3390.45,17.0106,-779.5052490234375,16.8401,3241.36
161,161,805000,3465.14,16.9227,-495.27197265625,11.1797,3425.96
162,162,810000,3413.62,17.6398,-482.2577819824219,11.2258,3310.6
163,163,815000,3398.0,18.095,-643.1583862304688,12.2214,3361.77
164,164,820000,3417.41,16.9389,-1070.6446533203125,14.8293,3168.34
165,165,825000,3437.71,17.5327,-487.9575500488281,12.2337,3309.02
166,166,830000,3405.67,16.8914,-439.6551818847656,11.2248,3252.46
167,167,835000,3397.63,14.7101,-653.2579956054688,19.0242,3383.13
168,168,840000,3469.82,15.8607,-635.1258544921875,12.8839,3355.67
169,169,845000,3481.47,15.8261,-303.1745910644531,10.3397,3115.29
170,170,850000,3437.62,15.0785,-486.7876892089844,10.2678,3404.3
171,171,855000,3435.35,16.2712,-476.5374450683594,11.0779,3398.86
172,172,860000,3452.12,15.9232,-444.33050537109375,10.2463,3428.32
173,173,865000,3428.58,17.7534,-1159.7054443359375,22.9955,3179.02
174,174,870000,3473.04,15.8566,-467.90118408203125,10.3739,3354.98
175,175,875000,3470.9,18.3325,-2274.568115234375,16.4903,1880.85
176,176,880000,3437.09,15.5651,-573.2596435546875,10.5975,3408.22
177,177,885000,3456.55,16.5484,-589.2781982421875,11.3074,3412.26
178,178,890000,3440.35,16.3958,-530.3768920898438,11.3078,3303.61
179,179,895000,3437.23,16.0489,-438.3861083984375,10.0746,3169.87
180,180,900000,3349.81,19.3164,-742.8077392578125,12.0465,3299.38
181,181,905000,3480.31,16.5252,-1089.8507080078125,10.8005,2982.56
182,182,910000,3432.49,16.4163,-547.7147827148438,10.4071,3074.06
183,183,915000,3430.0,16.7781,-680.2782592773438,11.5049,941.38
