Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Itration,Real Det Return,Running Reverse KL,Running Forward KL
132,660000,3519.2,-1359.6966552734375,132,3553.98,10.1602,17.0265
133,665000,3306.54,-1416.064453125,133,3520.31,11.3646,17.4939
134,670000,3490.23,-1519.8487548828125,134,3540.62,10.5861,17.602
135,675000,3516.56,-1519.0625,135,3555.63,10.613,16.8101
136,680000,3438.43,-1472.9449462890625,136,3538.85,10.975,17.6745
137,685000,3447.78,-1535.767578125,137,3507.4,10.2321,16.6773
138,690000,3280.89,-1200.015625,138,3563.48,10.1433,17.3794
139,695000,3387.41,-1305.5723876953125,139,3538.8,10.5727,17.2233
140,700000,3515.39,-1410.0802001953125,140,3532.36,10.8628,16.8706
141,705000,3211.54,-1620.95263671875,141,3550.63,11.4476,17.5032
142,710000,3359.33,-1566.845947265625,142,3548.95,10.3631,17.6087
143,715000,3361.03,-1742.999755859375,143,3514.73,11.0432,17.6996
144,720000,3494.42,-1584.4173583984375,144,3508.49,11.6187,17.3967
145,725000,2894.69,-1783.9935302734375,145,3552.88,10.94,18.0694
146,730000,3457.04,-1537.920166015625,146,3507.75,10.6279,16.9456
147,735000,3486.18,-1421.61376953125,147,3529.08,10.4308,16.9192
148,740000,3519.0,-1675.7159423828125,148,3567.19,10.5434,16.9432
149,745000,3243.24,-1480.509033203125,149,3495.33,9.4972,16.6147
150,750000,3413.21,-1921.20556640625,150,3531.33,10.9027,18.1059
151,755000,3412.49,-1635.44677734375,151,3461.36,11.1739,17.1337
152,760000,3335.56,-1400.26220703125,152,3542.3,10.1179,17.7145
153,765000,3482.68,-1854.656494140625,153,3523.15,11.5954,17.7025
154,770000,3502.4,-1391.2637939453125,154,3542.78,11.6839,17.9711
155,775000,3475.91,-1512.59619140625,155,3499.36,11.4331,16.8368
156,780000,3484.17,-1823.8475341796875,156,3513.43,10.0837,16.8578
157,785000,3463.26,-1760.83203125,157,3507.37,11.8505,17.5296
158,790000,3482.47,-1922.530517578125,158,3512.54,11.4871,17.8638
159,795000,3278.14,-1374.609375,159,3541.45,9.7808,16.9277
160,800000,3450.48,-1585.8729248046875,160,3483.26,11.1952,17.1923
161,805000,3423.55,-1623.7447509765625,161,3531.99,10.3897,17.3363
162,810000,3463.13,-1629.097412109375,162,3527.78,10.2788,16.6578
163,815000,3418.37,-2002.3070068359375,163,3505.22,11.0219,17.324
164,820000,3506.09,-1714.60693359375,164,3543.46,10.2562,16.8289
165,825000,3495.54,-1808.417724609375,165,3536.41,10.2469,16.5476
166,830000,3491.97,-1859.699462890625,166,3527.23,10.8181,17.3557
167,835000,3458.81,-1842.20849609375,167,3496.77,9.8066,16.3939
168,840000,3476.09,-1838.718994140625,168,3515.25,10.7343,16.7535
169,845000,3463.29,-1850.933349609375,169,3541.58,10.2127,17.2531
170,850000,2707.12,-1977.82373046875,170,3556.55,12.0195,19.0477
171,855000,3495.99,-1963.451904296875,171,3522.16,10.4092,16.6662
172,860000,3485.43,-2049.73193359375,172,3520.79,10.6449,16.9663
173,865000,3254.36,-1674.817138671875,173,3542.39,10.5531,17.6541
174,870000,3358.55,-1835.80859375,174,3527.4,10.664,17.5173
175,875000,3462.95,-1954.155517578125,175,3496.77,10.1458,16.7736
176,880000,3140.89,-1757.1314697265625,176,3535.48,10.3625,16.8423
177,885000,3463.14,-1409.7471923828125,177,3541.91,10.1641,16.8781
178,890000,3338.59,-1962.1300048828125,178,3517.94,10.6941,16.9381
179,895000,3481.29,-2084.16162109375,179,3521.89,11.2784,17.0266
180,900000,3379.58,-1797.7064208984375,180,3535.5,10.9431,17.1105
181,905000,3161.51,-1798.8106689453125,181,3553.17,10.3918,17.0294
182,910000,3527.15,-1885.911376953125,182,3545.56,12.1423,17.2743
183,915000,3477.97,-1846.834716796875,183,3550.8,10.7733,17.0864
184,920000,3484.82,-2021.606689453125,184,3546.29,10.4558,17.0471
185,925000,3454.45,-2136.309326171875,185,3495.88,10.0916,16.3422
186,930000,3467.75,-1854.54833984375,186,3507.69,10.3017,16.4436
187,935000,3491.9,-1954.89453125,187,3523.14,10.4461,16.6168
188,940000,3491.62,-2268.429443359375,188,3538.11,10.8712,17.1365
189,945000,3465.27,-1931.29052734375,189,3505.43,10.0307,16.0843
190,950000,3473.84,-1881.676513671875,190,3514.04,10.147,16.0699
191,955000,3462.16,-2208.26513671875,191,3497.58,10.3174,16.5087
192,960000,3475.67,-1940.9342041015625,192,3513.26,10.4704,16.9189
193,965000,3463.23,-1858.289306640625,193,3535.11,9.8629,16.3361
194,970000,3506.11,-1956.1793212890625,194,3558.58,10.0008,17.153
195,975000,3409.69,-2037.1270751953125,195,3501.76,10.2706,16.2649
196,980000,3253.48,-1880.2315673828125,196,3519.12,10.039,16.8446
197,985000,3486.28,-2097.74853515625,197,3520.84,10.8799,16.8761
198,990000,3447.5,-2025.533935546875,198,3490.84,10.4357,16.1238
199,995000,3485.45,-2031.63720703125,199,3516.26,9.8638,16.4367
