Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss
99,11018.0,147.4753,10572.98,99,495000,21.4442,-9190.5751953125
100,10703.18,148.4818,10344.18,100,500000,20.4857,-9125.5009765625
101,10850.49,148.7305,10437.63,101,505000,21.2126,-9518.9755859375
102,10881.37,148.3895,10395.92,102,510000,20.7711,-9774.935546875
103,10837.14,147.2391,10215.88,103,515000,20.7563,-10051.5908203125
104,11060.36,148.2219,10686.98,104,520000,20.5854,-9561.4658203125
105,11292.73,147.8185,10739.46,105,525000,20.6851,-9754.8486328125
106,11106.82,148.4363,10636.12,106,530000,21.8867,-10115.83203125
107,11007.1,148.2965,10580.27,107,535000,21.0332,-9551.0927734375
108,11208.64,147.1838,10670.13,108,540000,21.0824,-9538.416015625
109,10892.26,148.0258,10194.98,109,545000,21.1184,-10340.5537109375
110,11051.04,147.0884,10070.95,110,550000,21.3989,-10305.537109375
111,11374.73,146.9963,10808.55,111,555000,20.5181,-10032.1943359375
112,11209.58,146.8872,10618.42,112,560000,20.1754,-10281.6416015625
113,11138.03,147.2775,10586.91,113,565000,20.6732,-10448.3564453125
114,11077.62,147.5867,10566.62,114,570000,20.5359,-10735.2333984375
115,11284.33,146.84,10786.74,115,575000,20.7026,-10355.986328125
116,11171.01,146.1851,10505.83,116,580000,19.7529,-11143.3974609375
117,11283.35,146.7625,10598.16,117,585000,20.2666,-10938.236328125
118,10920.62,146.3574,10313.8,118,590000,19.4652,-11279.80859375
119,11181.4,146.1467,10592.83,119,595000,20.2699,-11160.9873046875
120,11478.06,146.6237,10849.25,120,600000,19.6736,-10787.56640625
121,11374.31,146.8019,10892.81,121,605000,21.1737,-11096.53125
122,11283.74,147.3517,10722.84,122,610000,20.6987,-11359.3818359375
123,11177.54,146.8939,10607.52,123,615000,20.7781,-11697.95703125
124,11291.64,145.5855,10769.61,124,620000,20.3706,-11450.607421875
125,11315.25,147.1731,10527.71,125,625000,20.2772,-12021.4921875
126,11337.34,146.4498,10764.81,126,630000,20.5012,-11892.9208984375
127,11218.55,147.0954,10523.61,127,635000,21.0682,-12215.15625
128,11071.52,146.9138,10742.88,128,640000,20.1284,-11965.2490234375
129,11174.79,146.2873,10633.36,129,645000,19.9877,-12250.095703125
130,11320.07,147.2884,10753.27,130,650000,20.1597,-12189.111328125
131,11384.87,146.2623,10893.47,131,655000,20.9416,-12604.9892578125
132,10805.44,147.825,10581.91,132,660000,19.9536,-12745.66015625
133,11502.14,145.7493,10214.61,133,665000,20.5764,-12537.90625
134,11150.95,146.6222,10704.77,134,670000,19.4075,-12426.62109375
135,11430.33,145.7777,10949.6,135,675000,19.8962,-12461.291015625
136,11426.66,146.011,10947.1,136,680000,18.9099,-13487.318359375
137,11431.04,145.6746,10826.85,137,685000,20.5082,-13123.908203125
138,11491.1,145.9818,10527.56,138,690000,20.3657,-13263.962890625
139,11132.65,146.5824,10362.52,139,695000,18.8789,-13545.8388671875
140,11367.13,146.2497,10872.84,140,700000,20.4375,-13433.671875
141,11616.42,145.5524,10683.06,141,705000,20.7391,-13837.10546875
142,11561.11,146.564,10719.04,142,710000,19.1986,-13958.1171875
143,10889.62,146.298,10141.85,143,715000,18.4922,-13843.9482421875
144,11532.12,146.3494,11053.35,144,720000,20.5965,-13554.259765625
145,11003.07,146.2269,10642.37,145,725000,20.3229,-13373.6142578125
146,11502.0,146.1821,10879.36,146,730000,19.864,-14027.5244140625
147,11280.3,146.4695,10908.51,147,735000,20.7119,-14205.5634765625
148,11641.85,144.4297,10741.29,148,740000,19.0846,-13659.0244140625
149,11596.85,144.9437,11150.47,149,745000,18.6018,-14320.046875
150,11356.44,146.6751,10989.9,150,750000,20.339,-14364.677734375
151,11571.21,145.1295,11138.01,151,755000,20.6026,-13803.712890625
152,11423.89,145.4055,10967.01,152,760000,19.4728,-14109.2744140625
153,11160.25,146.3027,10820.54,153,765000,19.8575,-14515.1748046875
154,11334.64,146.6321,10652.46,154,770000,18.1571,-15805.1591796875
155,11600.46,146.7858,11009.37,155,775000,20.1998,-15049.6005859375
156,11335.12,145.7589,10158.4,156,780000,18.1931,-14942.8515625
157,9887.74,145.378,9493.24,157,785000,18.4673,-15112.3740234375
158,11144.77,146.4195,10771.1,158,790000,19.8852,-15310.9765625
159,11580.38,146.3752,11165.96,159,795000,20.9914,-15127.361328125
160,11502.91,145.2706,10946.71,160,800000,19.0167,-15025.0830078125
161,11606.16,144.9246,11057.3,161,805000,19.7269,-15148.1357421875
162,11693.82,144.2148,11186.43,162,810000,19.4931,-14888.7421875
163,10192.61,147.766,10149.6,163,815000,20.4275,-17089.482421875
164,11753.56,145.2808,11301.96,164,820000,19.7869,-15836.490234375
165,11652.95,146.2881,10920.65,165,825000,19.3554,-16698.505859375
166,11507.32,145.8479,11053.79,166,830000,19.9961,-15593.8193359375
167,11687.98,145.353,11163.29,167,835000,20.4816,-16811.154296875
168,11763.91,144.9378,11302.36,168,840000,19.6543,-16051.892578125
169,11396.21,146.1946,11062.09,169,845000,19.833,-15847.53515625
170,11700.06,145.3329,11140.78,170,850000,19.8571,-16495.111328125
171,11816.72,145.9176,11342.21,171,855000,21.4291,-16322.755859375
172,11530.74,145.4026,11143.11,172,860000,20.5887,-16334.06640625
173,11385.54,146.0133,10929.36,173,865000,20.3875,-17399.052734375
174,11904.1,145.4644,11112.27,174,870000,20.6373,-16843.947265625
175,11656.22,146.5177,11217.08,175,875000,20.3826,-17250.82421875
176,11205.44,145.5202,10903.85,176,880000,20.0395,-15732.439453125
177,11787.87,145.6811,11342.0,177,885000,20.0858,-16744.634765625
178,11885.57,144.9689,11289.23,178,890000,19.9716,-16637.107421875
179,11542.12,146.0336,11186.99,179,895000,20.2579,-16786.955078125
180,11800.24,146.6867,11368.69,180,900000,20.6488,-17380.6328125
181,11729.53,144.9909,11149.08,181,905000,19.6566,-16755.1484375
182,11855.65,144.8525,11259.64,182,910000,19.7743,-17242.583984375
183,11872.0,145.0733,11309.11,183,915000,20.7136,-17959.658203125
184,11942.77,144.5264,11428.68,184,920000,20.364,-17945.349609375
185,12012.96,145.325,11411.76,185,925000,20.3553,-17169.24609375
186,11864.96,144.8834,11331.07,186,930000,19.8219,-17601.5703125
187,11763.38,145.36,11235.24,187,935000,19.9815,-18528.8671875
188,11772.25,145.5767,11388.96,188,940000,20.4291,-17977.380859375
189,11488.54,144.2781,11201.63,189,945000,19.9783,-17165.33203125
190,11827.85,145.3531,11059.13,190,950000,19.7508,-18287.880859375
191,11866.13,144.5424,11331.68,191,955000,19.5748,-18518.896484375
192,11664.49,145.4328,11224.35,192,960000,20.0733,-19130.8359375
193,11694.01,144.6444,11361.22,193,965000,19.8991,-18608.4375
194,11964.59,145.567,11450.79,194,970000,20.3357,-19063.33203125
195,12032.55,146.2132,11314.49,195,975000,20.0133,-19563.12890625
196,12226.33,144.546,11612.38,196,980000,20.1616,-18316.8671875
197,12088.89,144.388,11649.44,197,985000,20.8775,-18528.763671875
198,11850.26,145.7464,11337.63,198,990000,20.2739,-19643.97265625
199,12051.97,145.0093,11440.28,199,995000,19.6616,-18574.513671875
200,11920.46,145.8212,11361.25,200,1000000,19.558,-18694.4609375
201,12113.68,145.6384,11574.6,201,1005000,19.9571,-19223.046875
202,11537.0,145.5007,11305.8,202,1010000,19.4109,-18646.1796875
203,12250.4,144.7914,11580.42,203,1015000,19.6642,-19265.28125
204,11686.74,145.0811,11256.63,204,1020000,19.3085,-19344.04296875
205,12141.04,145.4293,11598.08,205,1025000,20.0033,-19913.74609375
206,12051.7,144.6366,11182.23,206,1030000,19.2913,-19860.63671875
207,12043.34,146.178,11316.57,207,1035000,19.513,-20253.03125
208,12024.78,146.2533,11564.87,208,1040000,19.3547,-19782.1875
209,12074.89,145.7538,10969.91,209,1045000,19.0366,-20284.08203125
210,11472.21,144.2145,10482.4,210,1050000,18.2907,-21017.42578125
211,11409.11,144.7108,10582.99,211,1055000,17.7534,-21664.826171875
212,11855.76,145.8771,11356.93,212,1060000,18.5456,-21131.962890625
213,12016.26,145.1711,11638.34,213,1065000,20.0731,-20580.224609375
214,12022.8,145.3308,11567.47,214,1070000,20.535,-20903.37890625
215,12079.45,144.0542,11514.87,215,1075000,19.985,-20567.64453125
216,11856.17,145.581,11392.49,216,1080000,17.9661,-21974.1015625
217,12028.99,145.2089,11667.57,217,1085000,19.9747,-21082.974609375
218,12015.13,144.7826,11513.01,218,1090000,19.9883,-21167.54296875
219,12239.24,144.925,11629.15,219,1095000,19.8753,-21668.197265625
220,12156.8,144.3014,11693.51,220,1100000,20.3903,-20700.7421875
221,12105.8,144.7389,11519.4,221,1105000,20.1645,-22143.62109375
222,12148.89,144.5752,11175.09,222,1110000,20.0182,-22073.61328125
223,11820.63,145.1576,11318.68,223,1115000,19.0986,-22455.49609375
224,11751.21,144.5859,11307.46,224,1120000,20.111,-22387.40234375
225,11823.26,145.2378,11418.43,225,1125000,19.6101,-22640.333984375
226,11703.97,145.5104,11639.13,226,1130000,20.1167,-22782.9296875
227,11918.49,145.0012,11452.28,227,1135000,20.1259,-23191.021484375
228,12214.0,145.2548,11753.56,228,1140000,19.9198,-22267.060546875
229,12100.06,145.4163,11583.84,229,1145000,19.7291,-22430.90625
230,11917.37,145.2389,11557.64,230,1150000,20.5041,-23697.59765625
231,11797.46,144.3516,11244.96,231,1155000,18.3286,-23383.279296875
232,11203.75,144.797,10911.65,232,1160000,17.2583,-24254.728515625
233,11562.32,144.8327,11020.55,233,1165000,18.8791,-24850.0234375
234,10396.4,146.1972,10146.28,234,1170000,18.1453,-24134.857421875
235,11842.64,144.0335,11494.61,235,1175000,20.1082,-23157.119140625
236,11823.37,146.1872,11498.82,236,1180000,20.9427,-24358.884765625
237,11781.32,145.3167,11364.81,237,1185000,20.4576,-24051.80078125
238,11843.56,145.4124,11375.24,238,1190000,19.755,-24286.951171875
239,11975.33,144.7877,11495.55,239,1195000,19.8288,-24479.91796875
240,11874.77,144.815,11512.18,240,1200000,20.3276,-23673.45703125
241,11956.99,145.1095,11575.08,241,1205000,20.0653,-23964.580078125
242,11944.38,144.8773,11435.18,242,1210000,19.8749,-24798.099609375
243,11883.93,144.6798,11461.14,243,1215000,19.8318,-24482.0625
244,11891.26,144.6333,11455.77,244,1220000,19.6874,-24905.923828125
245,11853.03,144.6437,11333.0,245,1225000,19.4751,-23909.08203125
246,11999.84,146.4902,11526.13,246,1230000,20.637,-26461.859375
247,11908.37,145.1031,11536.52,247,1235000,20.3274,-24850.353515625
248,12109.93,144.6763,11632.62,248,1240000,19.821,-25438.046875
249,11209.09,144.6637,11034.26,249,1245000,19.7853,-24912.62890625
250,11870.51,143.9904,11274.27,250,1250000,18.3961,-24843.3828125
251,11204.71,146.6362,10451.05,251,1255000,18.9262,-26399.986328125
252,11525.68,144.1781,9841.82,252,1260000,17.7189,-26285.73046875
253,11907.39,144.4532,11356.61,253,1265000,19.6343,-25504.33203125
254,10985.34,144.4478,11114.39,254,1270000,18.6938,-27341.017578125
255,11455.82,143.8238,10489.32,255,1275000,18.2336,-26306.892578125
256,12047.62,144.6271,11706.67,256,1280000,17.2145,-27138.9140625
257,11797.6,143.5049,11062.0,257,1285000,18.249,-26270.22265625
258,11785.85,143.25,11421.96,258,1290000,19.1107,-25412.564453125
259,12017.92,145.3803,11500.12,259,1295000,20.3747,-26249.734375
260,10799.23,144.5709,9751.7,260,1300000,17.8086,-26635.86328125
261,11406.97,143.5734,9554.69,261,1305000,18.3606,-25984.037109375
262,11457.47,144.1055,11463.0,262,1310000,19.4879,-27039.40234375
263,11537.61,143.6903,11591.76,263,1315000,20.5645,-26387.224609375
264,11891.06,142.7953,11521.93,264,1320000,19.5868,-25504.013671875
265,12220.53,144.2178,11143.48,265,1325000,19.9998,-25887.322265625
266,11199.01,144.1459,11490.72,266,1330000,19.1336,-26584.62890625
267,12106.22,144.9804,11509.51,267,1335000,19.7086,-26688.4921875
268,11967.81,143.5549,11542.44,268,1340000,19.7301,-27202.197265625
269,12068.64,142.9037,11580.28,269,1345000,19.9802,-25278.58203125
270,11449.7,142.6306,11378.97,270,1350000,19.6359,-26606.56640625
271,12048.4,144.1375,11139.2,271,1355000,19.3739,-27261.994140625
272,11510.48,144.1656,10087.89,272,1360000,19.0858,-27312.60546875
273,11390.64,143.7548,10838.02,273,1365000,19.8369,-26586.43359375
274,11724.06,145.0783,11477.39,274,1370000,21.1847,-28128.46484375
275,11898.75,143.5765,11141.29,275,1375000,19.569,-27225.42578125
276,12141.82,144.1124,11674.41,276,1380000,18.8789,-27930.56640625
277,11849.18,143.9383,11360.45,277,1385000,19.7899,-27216.23828125
278,11427.43,143.6343,11001.07,278,1390000,18.7534,-26832.7421875
279,12144.66,142.6659,11046.71,279,1395000,19.7527,-27730.529296875
280,12128.22,144.2868,11666.84,280,1400000,20.3519,-27316.25390625
281,12141.34,144.7269,11771.84,281,1405000,20.5699,-27172.06640625
282,12240.2,143.7602,11659.26,282,1410000,19.4942,-26895.21484375
283,11915.22,143.8731,10993.13,283,1415000,18.4418,-28751.029296875
284,12062.75,144.2209,11267.49,284,1420000,19.9654,-28457.0234375
285,11727.15,144.2806,11405.87,285,1425000,19.6504,-29496.306640625
286,11614.07,144.1863,11174.57,286,1430000,19.1318,-26802.455078125
287,11795.74,144.0513,11507.36,287,1435000,20.1641,-28276.26171875
288,10808.01,144.3488,10755.02,288,1440000,17.2339,-30313.6796875
289,11468.31,142.7685,10641.34,289,1445000,18.7418,-28464.423828125
290,12171.93,145.2116,11806.63,290,1450000,19.5789,-29702.57421875
291,12099.73,144.8272,11695.12,291,1455000,21.3999,-29688.45703125
292,12169.73,144.5268,11693.23,292,1460000,20.7188,-28857.009765625
293,12319.25,144.3417,11784.45,293,1465000,20.4779,-28703.734375
294,11906.5,145.2234,11568.9,294,1470000,20.4714,-30142.7421875
295,12203.51,144.8973,11721.74,295,1475000,20.8766,-28967.923828125
296,12202.24,145.7717,11685.25,296,1480000,19.8998,-29574.47265625
297,12141.84,143.6228,11484.56,297,1485000,20.8797,-28703.14453125
298,12109.66,143.7426,11840.86,298,1490000,20.9666,-29730.087890625
299,12002.57,144.3645,11661.38,299,1495000,19.0691,-30172.837890625
300,12047.69,143.114,11843.25,300,1500000,20.5113,-29278.36328125
301,12168.19,142.1372,11695.46,301,1505000,19.6101,-29037.662109375
302,12208.88,144.1419,11747.25,302,1510000,20.4132,-29437.724609375
303,12056.57,144.1714,11686.41,303,1515000,19.7568,-29348.419921875
304,12068.25,144.0197,11683.1,304,1520000,19.5966,-30128.10546875
305,10760.68,144.4479,11049.72,305,1525000,19.3145,-33016.16015625
306,12104.86,145.1024,11427.59,306,1530000,20.8158,-32324.619140625
307,12065.85,144.339,11832.0,307,1535000,20.7947,-31188.98828125
308,12075.4,143.0095,11698.09,308,1540000,20.4965,-31646.064453125
309,11522.68,143.7586,10688.8,309,1545000,17.3602,-31290.681640625
310,10642.76,145.0203,10863.22,310,1550000,19.7197,-32237.068359375
311,12154.41,144.7692,11848.6,311,1555000,20.067,-31323.880859375
312,11907.71,142.7674,9838.16,312,1560000,18.9031,-31599.060546875
313,10249.07,143.4348,10187.32,313,1565000,18.232,-31879.720703125
314,9317.91,144.6174,10818.38,314,1570000,17.496,-32382.548828125
315,12040.24,144.6122,11021.38,315,1575000,18.6055,-32501.953125
316,11484.67,143.3202,9973.38,316,1580000,18.4667,-31111.99609375
317,10801.69,144.413,10735.77,317,1585000,19.9311,-31692.349609375
318,10037.27,144.7696,10248.02,318,1590000,20.5556,-31993.111328125
319,10793.13,144.5311,8795.49,319,1595000,18.7658,-33392.28125
320,11816.46,143.1107,11676.08,320,1600000,20.6896,-31318.107421875
321,11104.4,144.7011,10896.19,321,1605000,19.4173,-33740.6796875
322,11723.25,142.9934,8846.36,322,1610000,19.301,-31498.0859375
323,11962.15,143.4467,10873.65,323,1615000,18.347,-33710.87109375
324,12051.58,144.2219,11353.61,324,1620000,19.2818,-33643.546875
325,12210.25,144.5488,11673.24,325,1625000,20.706,-32222.48828125
326,12104.95,144.0413,11690.21,326,1630000,20.0532,-32493.900390625
327,9512.12,144.1597,9764.75,327,1635000,16.6035,-34332.3359375
328,12202.8,143.4588,11444.33,328,1640000,20.2546,-32372.38671875
329,12219.0,143.5627,11872.95,329,1645000,19.3926,-31108.49609375
330,12118.07,143.4471,11821.33,330,1650000,19.4702,-34465.9921875
331,12141.75,143.9278,11802.37,331,1655000,22.004,-35226.171875
332,12385.26,143.144,11941.82,332,1660000,20.7209,-33944.65625
333,12339.16,143.7509,11846.38,333,1665000,18.7723,-33581.7734375
334,12020.35,144.5209,11636.32,334,1670000,21.2272,-34899.734375
335,12002.89,143.9057,11577.62,335,1675000,20.12,-33279.296875
336,12157.24,143.9275,11815.57,336,1680000,21.5626,-34431.42578125
337,12314.18,144.4069,11618.44,337,1685000,20.655,-34885.5234375
338,10493.39,145.2313,9961.65,338,1690000,18.008,-34553.55078125
339,11089.96,145.96,10701.2,339,1695000,20.5079,-39136.734375
340,12013.17,143.0711,11681.3,340,1700000,20.8308,-36267.1640625
341,12133.31,145.3982,11789.72,341,1705000,21.2784,-36035.65234375
342,12299.99,144.1778,11926.85,342,1710000,22.4455,-36329.85546875
343,12106.09,143.8167,11081.18,343,1715000,21.5725,-37120.953125
344,12065.79,143.9769,10557.47,344,1720000,19.9044,-35394.125
345,11895.4,145.0561,11242.92,345,1725000,20.4945,-35666.7578125
346,11843.38,144.6708,11153.73,346,1730000,20.6448,-35696.47265625
347,11628.6,143.4336,11548.55,347,1735000,19.8506,-36267.03515625
348,11935.35,145.5061,11486.56,348,1740000,19.6023,-36784.078125
349,11010.46,144.7885,10643.58,349,1745000,19.5186,-38377.5703125
350,12146.63,144.1773,11835.68,350,1750000,20.9144,-36039.44921875
351,12248.63,144.649,11807.52,351,1755000,20.6623,-37685.04296875
352,12221.12,144.9952,11821.08,352,1760000,21.0034,-37568.359375
353,12221.5,145.2116,11863.54,353,1765000,21.989,-38185.7421875
354,11800.25,143.7588,11043.9,354,1770000,20.0123,-38207.59375
355,12142.12,144.2251,11839.14,355,1775000,18.9449,-36813.76171875
356,12213.39,144.9293,11682.0,356,1780000,21.4742,-36718.171875
357,11993.37,146.0764,11612.1,357,1785000,21.144,-40352.83203125
358,12020.82,144.0034,11506.6,358,1790000,20.3549,-37800.171875
359,11992.68,144.733,11689.22,359,1795000,21.0641,-38040.3984375
360,11826.16,143.9005,11522.85,360,1800000,21.0866,-38774.90625
361,11432.06,145.597,11446.09,361,1805000,21.6324,-39720.0234375
362,12208.83,145.2742,11726.3,362,1810000,21.1986,-36943.6640625
363,12085.8,144.2919,11650.16,363,1815000,19.1707,-38218.23828125
364,11998.69,144.4822,11622.99,364,1820000,21.3457,-39152.92578125
365,12247.35,145.1766,11827.01,365,1825000,21.0521,-39429.08984375
366,11002.1,145.1873,11194.78,366,1830000,17.1662,-39631.234375
367,12041.5,144.1482,11732.91,367,1835000,20.973,-38582.6796875
368,12036.24,143.4976,11517.0,368,1840000,18.8609,-38316.6875
369,11922.56,145.6892,11376.02,369,1845000,18.7638,-40329.1484375
370,12107.39,144.7663,11687.93,370,1850000,19.9809,-40713.2578125
371,11856.11,143.7999,10888.48,371,1855000,19.4055,-38670.15234375
372,11413.63,143.1512,11230.85,372,1860000,19.2042,-40048.60546875
373,11662.74,143.9386,11434.25,373,1865000,21.1547,-38512.53515625
374,11752.15,143.951,11648.65,374,1870000,19.6663,-38389.453125
375,12268.87,144.6261,11856.84,375,1875000,19.6354,-38665.97265625
376,11773.2,142.1831,11455.43,376,1880000,18.8136,-38484.72265625
377,12105.36,144.1333,11808.74,377,1885000,21.101,-38427.5234375
378,11658.48,143.7109,11679.8,378,1890000,21.1473,-38920.84375
379,12113.42,144.3892,10904.94,379,1895000,21.0956,-38073.86328125
380,12032.65,143.9402,11511.83,380,1900000,19.9786,-40582.01171875
381,11818.26,144.2601,11348.9,381,1905000,19.1582,-39282.078125
382,11958.18,143.6911,11245.74,382,1910000,19.3499,-40718.3984375
383,11948.89,143.8714,11202.67,383,1915000,20.4625,-42548.23828125
384,11677.83,143.2031,11549.08,384,1920000,19.3187,-40255.68359375
385,11812.22,144.3714,11075.58,385,1925000,18.7166,-39998.484375
386,11094.27,143.7735,10944.99,386,1930000,18.9045,-41154.640625
387,12127.61,143.9042,11230.26,387,1935000,19.9884,-39913.79296875
388,11774.25,145.1417,11504.4,388,1940000,20.8454,-40848.9140625
389,11867.61,143.3766,11103.47,389,1945000,21.1919,-41817.79296875
390,11483.6,143.7633,11084.2,390,1950000,18.3161,-41323.12890625
