Reward Loss,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps,Real Det Return
-4616.16796875,2217.88,99,99,35.6678,24.5341,495000,2309.28
-4674.56884765625,1429.36,100,100,31.2952,26.0481,500000,1754.76
-2741.7763671875,1793.86,101,101,29.1929,22.9648,505000,3165.08
-4243.13134765625,1999.77,102,102,30.6633,24.0457,510000,2490.75
-3081.02587890625,2313.42,103,103,29.1986,23.1134,515000,2913.68
-2335.17578125,2418.44,104,104,19.8893,23.6844,520000,3296.11
-4562.46484375,1590.38,105,105,30.3273,25.1179,525000,1952.58
-4501.12548828125,1591.44,106,106,45.4175,24.9383,530000,942.81
-3352.10205078125,2228.21,107,107,28.8289,23.18,535000,3289.2
-4733.46923828125,1556.55,108,108,30.0466,24.1805,540000,2092.78
-3606.31689453125,1744.63,109,109,24.1311,22.9211,545000,1369.75
-1472.3504638671875,2960.42,110,110,16.0524,22.2359,550000,2317.27
-3482.134521484375,2050.16,111,111,30.569,23.0012,555000,2957.33
-3772.66162109375,2015.69,112,112,34.5427,22.9454,560000,862.51
-4352.314453125,1517.52,113,113,68.3292,23.9611,565000,1433.39
-4685.07666015625,1903.42,114,114,36.0637,24.7588,570000,2783.51
-4327.58056640625,1770.44,115,115,35.7465,24.7968,575000,1894.41
-4369.76904296875,1442.36,116,116,36.5246,23.595,580000,1824.21
-3990.634033203125,1854.61,117,117,45.5577,23.3482,585000,3070.05
-4720.58056640625,1211.74,118,118,26.7527,23.4503,590000,2433.99
-3244.275390625,1775.19,119,119,20.6157,22.5289,595000,1766.69
-5427.07666015625,1182.25,120,120,47.4986,23.4441,600000,1728.83
-4356.2216796875,1828.63,121,121,31.3542,24.9087,605000,1629.64
-4987.9384765625,1540.01,122,122,35.1324,22.7941,610000,3289.34
-4611.20654296875,1665.38,123,123,32.7686,22.1913,615000,3508.23
-5404.0244140625,1092.77,124,124,31.9397,25.3541,620000,2187.35
-5940.29052734375,1331.08,125,125,45.8418,23.9029,625000,1172.82
-4520.61083984375,2050.13,126,126,33.2975,23.3166,630000,1221.53
-5996.4130859375,1378.13,127,127,31.7402,23.9186,635000,1211.86
-5478.7587890625,1845.43,128,128,45.7433,23.7173,640000,2291.83
-7688.484375,1177.59,129,129,49.0497,24.2922,645000,1196.21
-6039.30859375,1736.31,130,130,35.5555,23.7399,650000,2869.26
-5846.6552734375,1585.01,131,131,34.8962,23.5771,655000,1155.35
-3062.79736328125,2565.99,132,132,25.0804,22.8411,660000,3479.34
-5032.06982421875,2006.77,133,133,37.9393,23.056,665000,1243.56
-5116.4296875,1668.06,134,134,38.5468,23.4167,670000,3250.58
-6364.330078125,1119.13,135,135,34.2025,24.9144,675000,1028.14
-6426.4248046875,1870.75,136,136,45.38,24.521,680000,2014.95
-5530.1015625,1224.21,137,137,65.1746,21.8362,685000,2672.85
-6219.8115234375,1481.04,138,138,40.9489,22.4108,690000,1037.75
-8087.43798828125,1569.9,139,139,88.2551,24.8404,695000,2161.66
-6791.33837890625,1632.01,140,140,30.3047,23.0432,700000,1000.29
-6123.70263671875,2176.03,141,141,33.6087,23.7334,705000,3517.37
-7242.21142578125,1259.67,142,142,64.6074,23.7161,710000,2496.58
-6694.482421875,1433.27,143,143,38.4524,24.2472,715000,1057.26
-4897.79541015625,1734.42,144,144,30.069,23.2955,720000,1673.06
-6838.43994140625,1257.57,145,145,46.3466,22.3596,725000,1821.03
-4561.2451171875,1819.41,146,146,37.2229,21.2819,730000,1565.96
-5383.0791015625,2111.24,147,147,28.1076,22.7429,735000,1805.88
-5674.78515625,1572.35,148,148,23.7912,22.7461,740000,3435.36
-6235.380859375,1712.18,149,149,32.8488,22.5269,745000,1052.64
-8275.2451171875,1455.61,150,150,49.1613,23.8187,750000,792.64
-7996.119140625,1641.9,151,151,38.2828,23.2456,755000,754.85
-7133.23828125,1456.42,152,152,26.8716,23.8437,760000,797.45
-7061.30419921875,1529.34,153,153,38.4102,23.2729,765000,1313.41
-2885.0185546875,2599.5,154,154,16.3686,22.3361,770000,3057.55
-9289.705078125,882.57,155,155,63.6872,22.6131,775000,1268.13
-8981.9921875,1034.84,156,156,44.27,23.5139,780000,1654.04
-7854.19287109375,1192.94,157,157,60.2803,22.6933,785000,1264.13
-4979.56103515625,2060.98,158,158,27.4266,21.0494,790000,2775.5
-7288.30712890625,1637.41,159,159,29.858,22.9569,795000,1271.65
-8591.0654296875,1306.08,160,160,46.3724,22.6263,800000,719.86
-7378.89306640625,1481.93,161,161,32.2166,23.7674,805000,1344.33
-7912.12744140625,1268.63,162,162,36.25,22.1949,810000,1506.97
-7178.48388671875,1422.37,163,163,26.6473,22.2489,815000,3645.68
-4083.0556640625,2106.94,164,164,15.1552,21.287,820000,2555.08
-8059.73681640625,1664.89,165,165,35.1432,22.0427,825000,1652.13
-7746.76953125,1637.1,166,166,24.318,23.2846,830000,1774.34
-6345.52490234375,1422.94,167,167,40.6598,22.9803,835000,1458.98
-7444.2470703125,2518.88,168,168,37.1715,23.2191,840000,3226.6
-8569.4287109375,1580.49,169,169,48.5783,24.7011,845000,1546.93
-3425.583740234375,2669.15,170,170,20.6016,20.9514,850000,3223.4
-7485.03759765625,1362.87,171,171,27.3311,22.4976,855000,1320.5
-4830.41796875,1907.75,172,172,27.9126,22.1679,860000,2323.71
-9103.591796875,1035.83,173,173,49.8263,23.1361,865000,1084.38
-8136.5302734375,1174.48,174,174,41.3753,22.4814,870000,1264.75
-6763.9609375,2343.93,175,175,46.8725,23.1341,875000,1878.39
-8617.6865234375,1607.17,176,176,53.3893,23.3614,880000,1683.47
-6311.12939453125,2326.23,177,177,21.1261,20.5976,885000,2463.53
-7161.423828125,25.49,178,178,23.2124,22.7,890000,23.95
-9712.0703125,1652.22,179,179,51.2351,23.5592,895000,2693.46
-7910.18212890625,1769.55,180,180,43.1124,22.7763,900000,1303.99
-9616.724609375,1317.65,181,181,36.3345,23.4656,905000,2402.48
-6606.203125,402.42,182,182,35.2137,20.917,910000,26.11
-6867.58837890625,2072.11,183,183,26.5721,22.1288,915000,3422.93
-9268.1728515625,1853.11,184,184,38.2942,23.2396,920000,2408.79
-10011.8095703125,1373.29,185,185,77.9637,24.1836,925000,2382.09
-10979.9970703125,1076.68,186,186,50.3559,24.2385,930000,1378.21
