Running Forward KL,Reward Loss,Real Det Return,Itration,Real Sto Return,Running Update Time,Running Reverse KL,Running Env Steps
20.245,-140.34939575195312,3144.91,124,3182.41,124,11.8786,620000
20.9556,-141.41314697265625,3182.28,125,3103.32,125,13.1411,625000
20.2597,-136.9734344482422,3214.01,126,3117.97,126,11.7859,630000
20.2557,-161.4652862548828,3192.2,127,3054.29,127,12.3413,635000
21.2195,-155.40951538085938,3187.44,128,3078.72,128,13.5646,640000
20.5913,-153.90736389160156,3216.36,129,3110.23,129,12.5719,645000
20.694,-362.6054992675781,3214.49,130,2416.21,130,18.98,650000
20.7554,-228.4697265625,3236.53,131,2835.5,131,15.7558,655000
19.4448,-192.2509002685547,3147.57,132,3072.88,132,10.7124,660000
19.2909,-142.61520385742188,3138.55,133,3171.4,133,10.7057,665000
19.0171,-181.3129119873047,3222.27,134,2914.68,134,11.7953,670000
19.7825,-144.48106384277344,3199.21,135,3193.26,135,11.9612,675000
20.2752,-270.6920471191406,3165.7,136,2868.78,136,14.7041,680000
21.5302,-335.1385498046875,3164.9,137,2214.62,137,15.2256,685000
21.2498,-483.57843017578125,3160.93,138,1852.72,138,22.4532,690000
20.7017,-388.00750732421875,3166.0,139,2130.51,139,17.8192,695000
19.8463,-178.8128662109375,3167.51,140,2676.91,140,10.7697,700000
20.7489,-298.12841796875,3182.67,141,2318.0,141,15.0438,705000
20.6877,-333.8859558105469,3155.09,142,2520.32,142,17.2594,710000
19.7994,-228.7937469482422,3197.06,143,3172.14,143,12.4112,715000
21.3495,-531.3339233398438,3155.58,144,1542.29,144,25.3783,720000
19.6684,-267.54736328125,3114.52,145,2390.71,145,11.8546,725000
19.4973,-271.5560302734375,3186.01,146,2570.1,146,13.8058,730000
18.9871,-227.1983642578125,3239.96,147,2851.36,147,11.8528,735000
21.2497,-495.53173828125,3158.66,148,1893.78,148,22.2437,740000
19.5299,-204.3983917236328,3211.57,149,3171.46,149,11.2683,745000
20.3117,-212.41957092285156,3195.87,150,3060.16,150,10.9106,750000
19.4534,-467.32476806640625,3197.12,151,1405.43,151,36.4096,755000
19.4597,-381.0154724121094,3245.65,152,2591.69,152,16.3987,760000
19.5157,-202.41021728515625,3228.66,153,3001.9,153,11.2489,765000
19.7351,-220.16375732421875,3245.01,154,2920.48,154,11.804,770000
20.1961,-274.1654052734375,3226.02,155,2906.54,155,13.0987,775000
19.3651,-254.669189453125,3233.37,156,2993.81,156,13.0251,780000
36.1761,-819.8228759765625,4.12,157,4.1,157,184.1408,785000
40.664,-948.3956298828125,1002.55,158,1002.87,158,52.3532,790000
37.5901,-952.2576904296875,1027.79,159,1027.29,159,37.7176,795000
37.2883,-951.6385498046875,1017.49,160,1017.73,160,39.1188,800000
23.3966,-679.5484008789062,1299.09,161,1763.63,161,23.9539,805000
38.1148,-982.98779296875,997.27,162,997.33,162,45.9502,810000
36.1723,-979.4700317382812,1022.4,163,1022.19,163,28.8548,815000
35.5519,-837.9521484375,4.01,164,4.06,164,33.4154,820000
22.7392,-678.4440307617188,278.12,165,761.13,165,16.4397,825000
20.5243,-196.88600158691406,3260.91,166,3067.62,166,12.3207,830000
23.6131,-276.6504821777344,3030.77,167,2982.04,167,14.1743,835000
23.7662,-816.8828735351562,990.77,168,865.08,168,23.8669,840000
20.6372,-448.29595947265625,3196.26,169,1915.98,169,17.8671,845000
25.1652,-887.7413330078125,762.15,170,824.07,170,28.2829,850000
24.2563,-751.1576538085938,1041.43,171,966.71,171,14.4599,855000
20.7156,-607.1825561523438,2459.17,172,1600.94,172,14.0701,860000
20.7305,-644.3952026367188,3067.31,173,1451.78,173,50.7016,865000
23.2877,-918.9810791015625,1245.14,174,996.16,174,65.5525,870000
25.734,-966.5731201171875,724.29,175,749.38,175,42.1988,875000
24.9298,-994.3139038085938,690.57,176,629.69,176,43.6854,880000
23.316,-478.06756591796875,2707.8,177,2524.09,177,16.5082,885000
29.2893,-1168.3048095703125,2402.1,178,833.51,178,32.5878,890000
27.8599,-1218.9266357421875,485.34,179,434.07,179,72.0634,895000
32.9766,-1187.4404296875,684.6,180,526.76,180,45.7357,900000
29.0008,-1148.0576171875,386.38,181,452.45,181,25.8249,905000
32.3561,-963.35888671875,231.51,182,225.2,182,17.938,910000
40.0598,-1228.487060546875,984.0,183,984.62,183,46.9173,915000
23.144,-375.7263488769531,522.0,184,527.03,184,14.8971,920000
28.1726,-1206.6517333984375,269.47,185,298.62,185,24.4643,925000
38.118,-1276.1334228515625,1006.6,186,997.53,186,41.5915,930000
33.0208,-1336.798095703125,308.31,187,319.8,187,38.0451,935000
22.3369,-749.629638671875,1905.74,188,1214.04,188,21.5851,940000
31.1865,-1330.95068359375,196.43,189,243.91,189,39.6806,945000
23.8794,-590.191650390625,761.64,190,776.03,190,18.6839,950000
33.0788,-1388.3409423828125,339.85,191,328.62,191,30.5101,955000
25.0306,-728.74658203125,1406.86,192,2222.34,192,20.4818,960000
39.2974,-1376.6370849609375,997.0,193,996.34,193,41.8649,965000
38.9096,-1387.057373046875,971.46,194,970.7,194,50.0951,970000
25.3007,-498.3758239746094,2836.24,195,2810.83,195,15.7433,975000
22.8062,-663.9237670898438,2845.93,196,2441.25,196,18.4483,980000
22.8556,-427.19281005859375,2952.79,197,2776.71,197,12.1339,985000
23.0544,-473.3817443847656,2904.06,198,3029.22,198,12.6035,990000
24.0221,-459.019775390625,500.04,199,530.42,199,14.5386,995000
