Running Env Steps,Running Forward KL,Reward Loss,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return
315000,52.8214,-681.1563110351562,63,20.6195,1163.92,63,1812.63
320000,56.3692,-740.9977416992188,64,22.9947,790.89,64,1264.73
325000,52.9327,-672.4019775390625,65,21.7368,1020.21,65,2075.3
330000,55.4368,-802.8464965820312,66,22.5212,602.75,66,1205.21
335000,51.888,-711.1669921875,67,20.5796,630.95,67,1599.91
340000,55.0988,-780.4583129882812,68,22.2018,744.67,68,1349.58
345000,51.4752,-691.2726440429688,69,20.6679,940.17,69,1198.67
350000,52.6278,-770.6337890625,70,20.4299,1395.37,70,1913.53
355000,50.2132,-681.8832397460938,71,18.9389,1141.98,71,1495.65
360000,49.1988,-634.318359375,72,19.4846,975.92,72,1607.23
365000,50.311,-677.5858764648438,73,19.9838,1389.24,73,2086.15
370000,49.3415,-751.286865234375,74,18.2349,1179.77,74,1939.97
375000,50.6726,-750.6138305664062,75,19.4512,1083.28,75,2400.31
380000,49.617,-702.4662475585938,76,19.7207,1115.47,76,2404.72
385000,46.9456,-684.3536987304688,77,18.6323,1671.45,77,2059.64
390000,46.8473,-694.86962890625,78,17.5381,1690.93,78,2648.36
395000,46.4721,-683.8823852539062,79,17.8521,1614.26,79,2449.13
400000,44.8069,-619.2929077148438,80,17.2072,1554.39,80,2153.45
405000,48.6382,-767.9685668945312,81,19.0726,1399.73,81,2282.36
410000,49.1286,-882.664794921875,82,19.1504,1439.71,82,2397.08
415000,46.031,-648.2753295898438,83,19.4405,1599.31,83,3016.02
420000,44.7427,-572.0851440429688,84,19.8068,1817.19,84,2824.32
425000,46.3964,-612.7955322265625,85,21.072,2249.43,85,2876.06
430000,43.1109,-539.4244995117188,86,19.1683,2121.65,86,2851.67
435000,47.428,-766.4603881835938,87,17.8569,1639.23,87,2230.48
440000,45.0864,-713.749755859375,88,18.2375,2128.63,88,2475.61
445000,45.3841,-634.9256591796875,89,19.2217,1725.64,89,2923.05
450000,50.8197,-1025.3272705078125,90,19.5837,1314.48,90,1131.68
455000,44.8714,-642.0504760742188,91,19.4793,2631.06,91,2786.83
460000,46.0254,-744.7434692382812,92,17.3376,2109.18,92,2383.69
465000,43.9188,-622.1202392578125,93,17.371,1823.63,93,2785.36
470000,46.9378,-842.022705078125,94,18.0426,2266.52,94,2604.73
475000,45.2473,-749.5206298828125,95,17.137,2079.89,95,2868.65
480000,47.032,-861.9361572265625,96,18.1599,1833.38,96,2909.12
485000,43.5871,-620.4063720703125,97,18.4912,2062.7,97,3262.47
490000,46.6548,-843.9421997070312,98,17.1489,2316.94,98,2964.24
495000,43.716,-523.1309814453125,99,22.1942,2549.67,99,3086.44
500000,47.0856,-727.5485229492188,100,19.4491,2659.37,100,3507.57
505000,46.7011,-672.8861083984375,101,19.4104,2477.32,101,2718.31
510000,46.7318,-804.9591064453125,102,18.8807,2109.96,102,2817.59
515000,46.6739,-702.3471069335938,103,17.9535,1923.41,103,2420.82
520000,46.7844,-798.5761108398438,104,18.4553,1938.79,104,2875.99
525000,45.6305,-629.579345703125,105,19.8104,2858.53,105,3355.28
530000,46.5728,-609.0798950195312,106,20.9632,2220.43,106,3025.03
535000,45.654,-639.1423950195312,107,18.7589,2887.26,107,3272.01
540000,50.1066,-540.5379638671875,108,23.5052,1926.29,108,2410.37
545000,47.6413,-757.433349609375,109,19.3605,2006.3,109,2180.58
550000,49.278,-783.829345703125,110,22.111,2046.12,110,3210.28
555000,49.1392,-785.4093627929688,111,21.0084,1786.43,111,1782.38
560000,49.3063,-1042.073486328125,112,18.5375,2275.54,112,3167.43
565000,47.9611,-649.2133178710938,113,21.6529,2668.4,113,3664.64
570000,47.42,-674.9347534179688,114,20.7717,2526.35,114,2559.97
575000,48.1038,-637.3059692382812,115,22.7795,1855.84,115,2871.22
580000,50.0486,-721.776611328125,116,22.7933,2944.96,116,3562.58
585000,48.6956,-611.5098266601562,117,23.8166,2775.32,117,3402.2
590000,49.183,-703.9097290039062,118,21.9084,2458.61,118,3509.77
595000,52.7395,-752.7275390625,119,29.6778,2701.47,119,2806.17
600000,50.5793,-871.9645385742188,120,21.3143,2867.64,120,3122.8
605000,50.8974,-818.597412109375,121,21.4863,2542.92,121,3345.18
610000,50.1781,-858.4959716796875,122,20.3346,2413.03,122,3430.13
615000,49.2748,-783.7702026367188,123,21.914,2628.08,123,2857.73
620000,47.8137,-699.6694946289062,124,23.2051,2850.54,124,3652.77
625000,50.3182,-670.787841796875,125,25.8134,3136.28,125,3013.46
630000,53.0396,-698.124267578125,126,29.2717,2147.38,126,1887.66
635000,51.6674,-712.83349609375,127,28.3579,2642.94,127,3808.41
640000,51.5944,-780.2728271484375,128,26.3225,2741.03,128,3716.03
645000,50.7682,-681.4043579101562,129,25.1101,2206.11,129,3179.45
650000,51.7873,-801.7125244140625,130,24.6701,2705.92,130,3321.28
655000,53.3398,-799.8776245117188,131,32.3376,2837.3,131,3374.12
660000,52.6557,-700.876953125,132,30.45,2929.18,132,2983.78
665000,54.2886,-756.607177734375,133,34.6229,3066.56,133,3624.53
670000,50.4592,-747.0089111328125,134,25.1199,3334.23,134,3613.2
675000,51.8848,-928.03857421875,135,24.5939,2653.8,135,3924.18
680000,54.1774,-891.9931640625,136,28.4895,3510.12,136,3906.77
685000,51.6362,-929.4090576171875,137,24.8513,2703.03,137,3642.11
690000,55.9436,-944.3612060546875,138,29.2397,2610.44,138,2896.1
695000,52.3379,-845.005615234375,139,28.3359,3052.73,139,3394.81
700000,54.0269,-951.528564453125,140,28.6295,2157.25,140,2050.92
705000,53.1381,-1008.8125610351562,141,26.3704,2606.1,141,3317.41
710000,54.206,-1155.9515380859375,142,24.0139,2826.39,142,3111.48
715000,53.8684,-1128.4171142578125,143,24.9643,2067.52,143,3278.04
720000,53.1435,-915.9044189453125,144,27.1247,2290.67,144,2626.16
725000,55.1121,-943.6729125976562,145,31.4244,2621.42,145,3240.94
730000,55.4026,-1290.2083740234375,146,24.5358,3072.04,146,3709.09
735000,54.1931,-1113.1844482421875,147,28.0083,2467.05,147,3074.33
740000,55.0943,-1025.70166015625,148,32.3878,2253.62,148,2408.64
745000,57.3275,-929.7977905273438,149,36.6022,2971.63,149,3328.67
750000,58.0851,-1117.2598876953125,150,36.5028,2501.22,150,3222.96
755000,59.9585,-983.1012573242188,151,40.9508,2996.7,151,3481.01
760000,58.6807,-1166.22900390625,152,32.5439,3536.84,152,3988.92
765000,56.7229,-1192.0821533203125,153,31.1794,3459.01,153,3358.16
770000,58.853,-1107.3017578125,154,36.7258,1979.61,154,2285.19
775000,59.5913,-1143.437744140625,155,39.6977,1720.98,155,2374.91
780000,60.548,-1054.471435546875,156,42.1979,2896.02,156,3626.23
785000,60.0321,-1294.469482421875,157,39.9163,3609.57,157,3878.29
790000,62.5913,-1229.433837890625,158,44.2299,3546.26,158,4608.35
795000,62.9446,-1111.523193359375,159,48.4386,4105.54,159,4930.28
800000,59.664,-1411.35791015625,160,32.8628,3816.37,160,4226.86
805000,62.9204,-1340.8511962890625,161,43.5212,2848.46,161,4294.54
810000,63.6913,-1403.7652587890625,162,46.275,3813.26,162,4269.39
815000,67.5898,-1273.8560791015625,163,52.6246,3861.18,163,3920.37
820000,63.9296,-1226.8875732421875,164,46.1256,4196.74,164,4504.4
825000,62.1459,-1420.3316650390625,165,43.9398,3854.52,165,4354.34
830000,63.1713,-1448.9111328125,166,43.2272,3041.4,166,3322.88
835000,61.8485,-1789.26611328125,167,36.4235,3145.02,167,4119.64
840000,66.4267,-1463.315185546875,168,51.8283,2707.95,168,2450.08
845000,62.2768,-1493.163818359375,169,46.2973,3142.16,169,4152.04
850000,64.512,-1766.7271728515625,170,51.5504,3044.49,170,3832.52
855000,62.8516,-1696.4051513671875,171,46.5058,2379.12,171,3365.62
860000,64.5067,-1742.798095703125,172,49.7664,2557.53,172,3249.67
865000,67.0974,-1646.6214599609375,173,52.9962,4224.28,173,4665.83
870000,65.8654,-1785.693359375,174,50.8277,3703.71,174,3979.46
875000,65.7757,-1753.0628662109375,175,55.0378,3397.65,175,4302.21
880000,63.3679,-1964.1141357421875,176,47.5071,3522.05,176,4418.71
885000,67.455,-1698.1910400390625,177,56.0906,4030.82,177,4875.5
890000,68.5302,-1891.958251953125,178,57.1596,2678.39,178,2562.53
895000,67.6193,-1716.431396484375,179,52.4165,3719.65,179,4522.32
900000,66.982,-2034.2669677734375,180,58.1319,3402.07,180,4049.96
905000,68.8147,-1996.3865966796875,181,55.3145,4360.74,181,4734.14
910000,64.7514,-2010.845703125,182,51.4361,3632.13,182,4756.99
915000,64.1237,-1959.5498046875,183,46.586,4214.26,183,4355.91
920000,70.8031,-1949.274658203125,184,61.2328,4045.24,184,4108.9
925000,69.8978,-1783.2681884765625,185,55.0323,4004.19,185,4722.52
930000,68.4509,-2003.018798828125,186,56.2745,3301.64,186,4845.77
935000,70.2156,-1922.147705078125,187,57.5193,3890.68,187,4775.38
940000,70.2843,-2137.495849609375,188,61.2907,3843.71,188,4652.8
945000,66.6566,-1934.050048828125,189,56.8617,3779.64,189,4673.73
950000,65.5363,-2149.812255859375,190,52.9239,3754.59,190,4921.16
955000,68.5445,-2112.458740234375,191,54.6603,4307.36,191,4593.8
960000,64.8387,-1960.809814453125,192,50.7989,4384.06,192,4670.76
965000,67.483,-1951.2293701171875,193,52.9621,3953.18,193,4789.38
970000,68.2462,-2188.638671875,194,55.2899,4209.66,194,4931.73
975000,69.1975,-2388.00634765625,195,58.1549,3846.23,195,4273.21
980000,68.8229,-2277.114501953125,196,58.4312,3517.77,196,4243.59
985000,69.8553,-2351.80810546875,197,58.378,4623.87,197,4740.03
990000,67.3277,-2310.258544921875,198,56.089,4002.82,198,4459.7
995000,70.5783,-2404.8193359375,199,59.0407,4769.22,199,4921.53
1000000,71.0273,-2427.090087890625,200,59.3827,4262.28,200,5069.25
1005000,72.2542,-2382.118408203125,201,59.8986,4429.06,201,5110.85
1010000,68.2529,-2432.9453125,202,55.6246,4143.48,202,5133.01
1015000,70.3063,-2537.39013671875,203,57.5124,4613.43,203,5009.21
1020000,67.9467,-2566.16650390625,204,55.8471,4455.48,204,4680.53
1025000,72.4125,-2675.44091796875,205,62.4063,4025.5,205,4804.39
1030000,71.7602,-2711.48681640625,206,60.2986,4266.32,206,4928.0
1035000,73.2705,-2760.2568359375,207,63.2898,4563.63,207,5034.29
1040000,73.0424,-2713.007568359375,208,62.108,4778.21,208,4997.35
1045000,72.2161,-2750.739013671875,209,62.4209,4473.32,209,4840.26
1050000,73.4749,-2795.770263671875,210,63.9973,4512.72,210,5158.99
1055000,73.2341,-2850.03369140625,211,63.6283,4349.44,211,5091.31
1060000,71.0595,-2932.760498046875,212,59.2988,4589.71,212,5009.63
1065000,70.7877,-2968.328369140625,213,63.6444,4674.35,213,4773.91
1070000,72.724,-2915.595458984375,214,63.1828,4648.44,214,4903.07
1075000,72.2249,-3089.371337890625,215,62.4177,4622.75,215,5171.82
1080000,71.0429,-3132.969482421875,216,64.0761,4824.15,216,5049.95
1085000,70.2307,-3077.48046875,217,61.0725,4573.3,217,5090.64
1090000,72.7588,-3224.44775390625,218,66.1906,4607.7,218,5138.51
1095000,74.0318,-3207.41455078125,219,65.1576,4720.06,219,5199.98
1100000,73.2905,-3321.904541015625,220,65.707,4762.44,220,5120.69
1105000,73.0312,-3355.563720703125,221,62.4116,4330.94,221,4382.79
1110000,74.7031,-3345.099365234375,222,67.2962,4642.41,222,4923.49
1115000,72.4426,-3366.7998046875,223,65.4064,4556.58,223,5206.95
1120000,72.8825,-3519.587158203125,224,67.5727,4451.29,224,4937.56
1125000,70.9886,-3537.8974609375,225,63.8934,4315.17,225,4876.86
1130000,73.2907,-3535.70458984375,226,66.4424,4867.65,226,5206.39
1135000,72.1734,-3641.2177734375,227,65.98,4377.16,227,4901.03
1140000,69.7955,-3730.239501953125,228,63.494,4039.37,228,4798.88
1145000,73.4891,-3790.919189453125,229,68.5124,4563.41,229,4672.98
1150000,70.1876,-3820.457275390625,230,64.2719,4884.6,230,5122.1
1155000,73.7155,-3916.6357421875,231,69.7556,4038.95,231,4493.27
1160000,73.5689,-3874.61376953125,232,66.5969,4612.01,232,5218.54
1165000,68.5741,-3984.5283203125,233,60.7148,4065.84,233,5019.51
1170000,72.7246,-4002.170166015625,234,64.6323,4161.64,234,5029.85
1175000,74.2711,-4082.31982421875,235,69.0576,4298.78,235,5272.27
1180000,74.8947,-4090.670654296875,236,71.8407,4307.78,236,4988.7
1185000,73.6804,-4070.1474609375,237,67.0424,4305.42,237,4931.83
1190000,69.4686,-4194.4736328125,238,62.4799,4439.77,238,4826.08
1195000,70.1671,-4217.6044921875,239,62.4884,4471.61,239,4776.51
1200000,75.7697,-4375.87109375,240,72.1877,4545.54,240,5246.56
1205000,72.2047,-4366.60986328125,241,67.6859,4124.13,241,4761.65
1210000,73.7459,-4442.392578125,242,70.3636,4819.68,242,4931.35
1215000,72.2584,-4556.51806640625,243,65.8695,4025.44,243,4227.29
1220000,70.9878,-4640.123046875,244,66.9713,4165.46,244,5068.3
1225000,70.1961,-4509.005859375,245,64.0209,3641.18,245,4445.27
1230000,72.2389,-4627.8857421875,246,67.1385,4379.51,246,5164.71
1235000,69.3495,-4724.44140625,247,64.7596,3776.77,247,3872.47
1240000,73.7103,-4711.7626953125,248,65.4864,4189.22,248,5036.14
1245000,72.544,-4745.73974609375,249,66.5812,3998.03,249,5032.27
1250000,73.4765,-4757.6220703125,250,67.2084,5124.65,250,4818.89
1255000,70.4393,-4726.89013671875,251,62.8606,4984.07,251,5291.57
1260000,75.19,-4982.55078125,252,69.2245,4417.04,252,5153.41
1265000,71.5827,-4896.53515625,253,63.5058,4764.2,253,5284.93
1270000,75.92,-5165.87646484375,254,73.5963,3951.53,254,4718.75
1275000,69.3617,-4969.482421875,255,62.2364,4725.27,255,5001.5
1280000,70.9604,-5122.83056640625,256,68.5452,4329.44,256,5004.26
1285000,72.9397,-5223.2939453125,257,69.9435,4548.85,257,5136.81
1290000,70.5624,-5231.15283203125,258,65.088,4221.04,258,4604.15
1295000,77.223,-5270.94970703125,259,73.7425,4739.27,259,5131.75
1300000,74.7991,-5340.77294921875,260,69.7367,3799.81,260,3818.69
1305000,75.1413,-5461.4755859375,261,72.4508,4679.51,261,4636.25
1310000,74.1796,-5369.9794921875,262,68.093,4693.56,262,4499.82
1315000,70.6618,-5434.2265625,263,67.0529,4246.19,263,4546.48
1320000,73.8565,-5523.396484375,264,64.9131,4896.31,264,5102.12
1325000,74.3093,-5633.1552734375,265,70.9976,4128.41,265,5074.47
1330000,68.4105,-5488.4072265625,266,61.4211,4593.43,266,5056.59
1335000,73.7888,-5613.828125,267,66.875,4723.45,267,4780.99
1340000,77.0729,-5769.71923828125,268,71.7169,4347.01,268,4797.99
1345000,70.462,-5636.509765625,269,63.6346,4640.88,269,4577.95
1350000,68.8203,-5579.83251953125,270,63.6104,4873.05,270,4967.48
1355000,68.6681,-5677.91552734375,271,62.3102,4796.73,271,5099.61
1360000,75.1976,-5752.19873046875,272,68.9521,4690.81,272,5304.13
1365000,74.0792,-5905.984375,273,70.7103,4404.29,273,4465.98
1370000,68.9753,-5855.134765625,274,62.8192,4154.49,274,4786.11
1375000,73.3353,-5896.275390625,275,66.6014,4552.6,275,4511.8
1380000,74.721,-5960.05419921875,276,70.0682,4573.83,276,5165.54
1385000,68.4759,-5942.6162109375,277,61.42,4055.72,277,4269.77
1390000,70.8725,-5985.68115234375,278,64.1276,4448.78,278,4839.51
1395000,73.68,-6136.0673828125,279,67.8228,4206.35,279,4855.65
1400000,67.7401,-5777.44775390625,280,56.4918,3812.7,280,4293.18
1405000,76.6492,-6278.5595703125,281,74.6079,3892.78,281,4701.48
1410000,73.9921,-6291.65673828125,282,70.2527,4130.3,282,4743.63
1415000,75.4245,-6242.08984375,283,68.9742,4669.2,283,4758.24
1420000,75.2601,-6183.69775390625,284,66.8,4055.49,284,4680.62
1425000,75.2693,-6422.783203125,285,72.2415,4557.03,285,4765.74
1430000,68.0712,-6157.00244140625,286,57.6169,4573.45,286,4692.01
1435000,68.1533,-6073.2890625,287,60.4815,5079.92,287,5274.25
1440000,71.7188,-6401.20947265625,288,67.5171,4754.55,288,4918.41
1445000,73.0608,-6311.73095703125,289,67.9338,4196.06,289,4916.54
1450000,70.8353,-6529.81884765625,290,65.4537,4305.91,290,5204.3
1455000,75.6487,-6578.03125,291,71.3828,4456.39,291,4761.18
1460000,68.3459,-6545.11669921875,292,61.0661,4580.13,292,4523.76
1465000,71.4046,-6582.69384765625,293,70.0865,4224.93,293,4604.29
1470000,75.429,-6855.4267578125,294,71.2178,4508.45,294,4483.91
1475000,76.0607,-6757.22509765625,295,71.011,4658.8,295,4848.37
1480000,77.9824,-6775.07470703125,296,74.5562,4081.11,296,5236.57
1485000,76.4154,-7041.12890625,297,73.1339,3643.74,297,4294.29
1490000,76.9013,-7068.8984375,298,71.106,4380.42,298,5115.03
1495000,75.4449,-7004.70849609375,299,70.5697,4550.45,299,4925.07
1500000,70.536,-6989.72998046875,300,69.0512,4313.69,300,4515.39
1505000,75.9524,-7195.11572265625,301,72.0838,4326.24,301,4512.8
1510000,75.2822,-7291.748046875,302,74.6037,4695.49,302,5016.56
1515000,73.8571,-7232.4189453125,303,71.6456,4131.28,303,4515.37
1520000,74.361,-7213.44189453125,304,68.7345,4448.48,304,4703.68
1525000,75.2473,-7433.42822265625,305,71.184,4796.13,305,5051.51
1530000,76.5881,-7437.2294921875,306,74.2466,5080.16,306,5385.23
1535000,77.183,-7469.8984375,307,73.7763,4546.25,307,5331.07
1540000,78.5525,-7603.7578125,308,74.8907,4686.88,308,4840.1
1545000,77.1911,-7493.05029296875,309,71.2551,4603.74,309,5051.37
1550000,76.7766,-7579.7138671875,310,73.7681,4602.88,310,5405.4
1555000,76.9361,-7755.0966796875,311,73.8312,4179.33,311,4278.31
1560000,74.5221,-7511.8779296875,312,67.5725,4680.42,312,5323.13
1565000,74.6733,-7695.7587890625,313,69.8769,4936.34,313,5275.63
1570000,71.5007,-7566.1259765625,314,65.7034,4697.98,314,5014.28
