Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return
35,-1407.7469482421875,35,16.7879,175000,1538.51,157.8139,1992.82
36,-1440.9678955078125,36,16.116,180000,1570.65,157.4213,1922.13
37,-1477.8458251953125,37,16.2881,185000,1605.14,157.4771,1951.31
38,-1499.9378662109375,38,16.5415,190000,1624.57,157.4402,2007.64
39,-1549.687744140625,39,16.3024,195000,1627.69,157.4708,1976.4
40,-1598.8526611328125,40,16.5652,200000,1616.81,157.6091,1971.32
41,-1602.080810546875,41,16.2888,205000,1678.95,157.1744,2048.39
42,-1655.291259765625,42,16.0098,210000,1625.75,157.1571,1990.78
43,-1699.6353759765625,43,16.4625,215000,1651.39,157.5625,2024.83
44,-1740.9163818359375,44,16.6818,220000,1668.97,157.3671,2006.16
45,-1773.3487548828125,45,16.0755,225000,1671.35,157.285,2013.56
46,-1807.621826171875,46,16.1935,230000,1645.61,157.4237,2008.48
47,-1857.9356689453125,47,16.1359,235000,1674.52,157.1559,1998.25
48,-1886.4737548828125,48,16.3075,240000,1646.99,157.1188,1988.33
49,-1916.8951416015625,49,16.2509,245000,1695.2,157.2376,2034.29
50,-1948.344482421875,50,16.2646,250000,1659.76,157.2627,2051.46
51,-1986.295166015625,51,16.1296,255000,1668.21,157.24,1998.67
52,-2045.257080078125,52,16.0094,260000,1681.18,157.2846,2024.87
53,-2067.146484375,53,16.0588,265000,1702.33,157.1317,2050.0
54,-2120.777099609375,54,16.2822,270000,1652.72,157.2994,2003.24
55,-2148.40869140625,55,15.9686,275000,1669.07,157.0992,2017.35
56,-2200.729736328125,56,16.2313,280000,1690.52,157.2064,2031.31
57,-2226.04931640625,57,15.8997,285000,1697.92,157.0947,2005.8
58,-2256.377197265625,58,15.9335,290000,1661.98,157.2088,1999.74
59,-2310.0751953125,59,16.227,295000,1737.5,157.2873,2065.27
60,-2333.3076171875,60,15.8879,300000,1675.69,157.0837,2014.65
61,-2367.6494140625,61,16.2141,305000,1745.79,157.1931,2097.09
62,-2391.3212890625,62,16.2481,310000,1682.1,157.0133,2027.32
63,-2455.25732421875,63,16.0452,315000,1700.55,157.1292,2046.68
64,-2506.246826171875,64,16.4139,320000,1789.78,156.9323,2110.4
65,-2507.320068359375,65,15.4315,325000,1722.77,156.8497,2066.42
66,-2563.31494140625,66,15.8726,330000,1722.58,157.0771,2103.09
67,-2595.191162109375,67,15.7878,335000,1736.53,156.9636,2085.31
68,-2623.031494140625,68,15.7237,340000,1720.66,156.942,2063.41
69,-2706.281982421875,69,15.9652,345000,1764.84,156.9973,2118.17
70,-2733.73779296875,70,16.4106,350000,1771.99,156.9638,2108.45
71,-2760.5693359375,71,15.9232,355000,1720.06,157.0817,2073.01
72,-2822.242919921875,72,15.772,360000,1720.95,157.0247,2066.2
73,-2879.68212890625,73,16.4317,365000,1770.55,157.1396,2153.39
74,-2895.397216796875,74,16.3171,370000,1737.82,157.1146,2085.49
75,-2938.188720703125,75,16.342,375000,1766.14,157.1872,2116.01
76,-2971.03662109375,76,16.1142,380000,1776.1,156.9428,2123.51
77,-2987.297607421875,77,15.3243,385000,1632.71,157.059,1931.39
78,-3077.266357421875,78,16.2522,390000,1779.49,157.1372,2136.46
79,-3090.332763671875,79,16.246,395000,1721.32,157.0752,2094.79
80,-3122.668212890625,80,16.225,400000,1761.55,156.9401,2130.56
81,-3186.770263671875,81,15.7718,405000,1750.94,156.989,2110.44
82,-3226.51611328125,82,15.8276,410000,1756.89,156.9745,2078.29
83,-3260.129638671875,83,15.5581,415000,1748.63,156.8683,2095.71
84,-3298.98486328125,84,15.9337,420000,1746.21,157.0153,2131.64
85,-3340.029541015625,85,16.1529,425000,1764.57,156.9403,2140.14
86,-3389.132568359375,86,16.0862,430000,1769.27,156.9552,2091.05
87,-3415.2685546875,87,15.79,435000,1749.04,156.956,2126.94
88,-3453.1923828125,88,16.1072,440000,1742.9,157.2462,2021.13
89,-3493.8740234375,89,15.6143,445000,1751.81,156.8929,2116.22
90,-3571.99365234375,90,15.9989,450000,1763.49,157.244,2104.63
91,-3557.78466796875,91,15.7004,455000,1771.58,156.8513,2122.02
92,-3643.726318359375,92,16.336,460000,1814.26,156.7811,2157.43
93,-3667.62548828125,93,15.8097,465000,1785.31,156.9292,2114.12
94,-3722.807373046875,94,15.7266,470000,1768.99,156.9184,2042.74
95,-3773.479736328125,95,15.7973,475000,1780.13,156.9491,2115.77
96,-3828.785400390625,96,16.0183,480000,1828.07,156.9115,2167.98
97,-3858.322021484375,97,16.1664,485000,1824.79,157.0609,2166.65
98,-3886.348388671875,98,15.4369,490000,1785.23,156.7722,2136.02
99,-3925.88720703125,99,15.7118,495000,1759.51,156.9084,2098.68
100,-3974.923828125,100,15.36,500000,1758.63,156.8695,2066.45
101,-4032.686767578125,101,15.7932,505000,1785.78,157.1275,2148.45
102,-4071.796875,102,15.7211,510000,1758.47,157.0102,2117.34
103,-4121.39599609375,103,15.6698,515000,1776.98,156.7884,2071.67
104,-4162.26220703125,104,15.7513,520000,1825.77,156.7562,2134.8
105,-4192.296875,105,15.9028,525000,1802.17,156.8562,2147.63
106,-4277.65771484375,106,16.0617,530000,1809.87,156.8873,2173.81
107,-4293.89794921875,107,15.5134,535000,1784.9,156.8763,2087.05
108,-4348.5927734375,108,15.7827,540000,1807.1,156.882,2142.45
109,-4405.5263671875,109,15.5799,545000,1800.84,156.8358,2157.09
110,-4452.0576171875,110,15.7297,550000,1805.52,156.8463,2136.51
111,-4488.3427734375,111,15.3814,555000,1786.36,156.8032,2121.79
112,-4536.6748046875,112,15.5852,560000,1788.03,156.965,2102.74
113,-4610.6640625,113,15.7499,565000,1788.56,157.0208,2092.63
114,-4612.0390625,114,15.7404,570000,1791.44,156.9192,2131.16
115,-4670.798828125,115,15.4174,575000,1744.29,156.9278,2058.7
116,-4700.9970703125,116,15.5645,580000,1777.57,156.8078,2118.84
117,-4776.97802734375,117,15.3512,585000,1762.8,156.738,2153.46
118,-4804.173828125,118,15.5415,590000,1786.21,156.9513,2090.66
119,-4897.4248046875,119,15.7053,595000,1802.21,156.8612,2120.02
120,-4912.53857421875,120,15.7257,600000,1815.52,156.8762,2146.28
121,-4986.34521484375,121,15.8707,605000,1866.03,156.7568,2196.42
122,-5025.59716796875,122,15.5636,610000,1784.01,156.8396,2124.88
123,-5076.697265625,123,15.7736,615000,1851.93,156.7829,2187.16
124,-5126.32177734375,124,15.8108,620000,1837.06,157.0179,2181.83
125,-5188.9921875,125,15.8599,625000,1809.09,156.7517,2150.55
126,-5201.6806640625,126,15.7635,630000,1831.88,156.7732,2150.98
127,-5280.9580078125,127,15.5601,635000,1801.37,156.8573,2130.24
128,-5310.65185546875,128,15.7488,640000,1864.2,156.6309,2168.46
129,-5357.19677734375,129,15.5044,645000,1821.0,156.8327,2187.38
130,-5429.4736328125,130,15.7236,650000,1829.6,156.7445,2175.26
131,-5471.97412109375,131,15.2363,655000,1780.42,156.6716,2137.88
132,-5566.20654296875,132,15.5604,660000,1793.79,156.8462,2171.54
133,-5589.9384765625,133,15.5402,665000,1833.47,156.9213,2166.72
134,-5678.314453125,134,15.9608,670000,1849.26,156.8318,2223.01
135,-5670.0947265625,135,15.8572,675000,1840.35,156.684,2209.17
136,-5750.4150390625,136,15.5156,680000,1826.69,156.8997,2178.89
137,-5784.4638671875,137,15.687,685000,1815.49,156.8243,2154.37
138,-5815.02978515625,138,15.5629,690000,1830.05,156.7815,2157.84
139,-5892.44580078125,139,15.9098,695000,1830.56,156.8302,2185.73
140,-5848.94384765625,140,15.4493,700000,1810.76,156.7251,2149.88
141,-5962.55224609375,141,16.0241,705000,1851.69,156.8581,2228.42
142,-5951.56982421875,142,15.5797,710000,1844.86,156.6913,2203.78
143,-6030.298828125,143,15.6659,715000,1836.59,156.7497,2135.61
144,-6140.1171875,144,15.655,720000,1825.36,156.9469,2160.77
145,-6195.69287109375,145,15.8809,725000,1878.25,156.8501,2220.38
146,-6161.47802734375,146,15.6003,730000,1833.35,156.7795,2164.03
147,-6175.17333984375,147,15.3495,735000,1810.2,156.7242,2175.61
148,-6281.82421875,148,15.6368,740000,1863.26,156.9802,2165.66
149,-6319.59033203125,149,15.6916,745000,1849.41,156.7431,2170.87
150,-6336.8857421875,150,15.6368,750000,1803.99,156.8572,2147.39
151,-6410.55224609375,151,15.6726,755000,1847.57,156.6885,2181.63
152,-6450.11279296875,152,15.8151,760000,1859.9,156.7686,2199.69
153,-6457.74853515625,153,15.7116,765000,1866.79,156.8022,2193.59
154,-6587.3134765625,154,15.9481,770000,1881.73,156.9038,2228.88
155,-6565.4970703125,155,15.4534,775000,1805.83,156.9763,2141.57
156,-6651.90380859375,156,15.566,780000,1860.6,156.6239,2229.45
157,-6706.29052734375,157,15.6499,785000,1852.85,156.7602,2221.23
158,-6755.16357421875,158,15.8918,790000,1845.29,156.8266,2194.09
159,-6786.1181640625,159,15.677,795000,1872.7,156.8395,2240.04
160,-6871.7734375,160,15.7442,800000,1847.74,156.8133,2216.28
161,-6819.5341796875,161,15.2645,805000,1820.25,156.7527,2131.19
162,-6839.1748046875,162,15.2878,810000,1870.23,156.587,2178.53
163,-6959.32080078125,163,15.4074,815000,1873.57,156.8068,2206.96
164,-6943.01513671875,164,15.3174,820000,1864.73,156.6744,2211.63
165,-7069.21533203125,165,15.8564,825000,1882.22,156.858,2200.32
166,-7110.1796875,166,15.7265,830000,1830.34,156.8155,2224.81
167,-7079.630859375,167,15.304,835000,1805.94,156.8966,2126.35
168,-7152.4111328125,168,15.7472,840000,1888.3,156.7509,2250.43
169,-7199.41357421875,169,15.4633,845000,1835.0,156.8253,2187.77
170,-7313.77880859375,170,15.5525,850000,1846.11,156.907,2199.26
171,-7329.13134765625,171,15.7366,855000,1875.83,156.8072,2228.2
172,-7376.07568359375,172,15.8213,860000,1840.9,157.0181,2193.78
173,-7385.939453125,173,16.0493,865000,1895.05,156.866,2246.31
174,-7359.35302734375,174,15.4413,870000,1851.65,156.7211,2216.4
175,-7406.6865234375,175,15.4055,875000,1862.73,156.6367,2212.26
176,-7486.43896484375,176,15.5506,880000,1882.35,156.6013,2239.28
177,-7559.17041015625,177,15.8113,885000,1880.0,156.7132,2222.66
178,-7554.71923828125,178,15.3343,890000,1852.02,156.7983,2195.59
179,-7598.9453125,179,15.4432,895000,1842.02,156.7331,2217.31
180,-7636.45947265625,180,15.2626,900000,1841.43,156.8189,2197.6
181,-7653.68115234375,181,15.5344,905000,1886.29,156.5256,2201.93
182,-7691.5771484375,182,15.4796,910000,1866.68,156.7167,2204.94
183,-7767.494140625,183,15.4935,915000,1888.4,156.8502,2207.83
184,-7772.0390625,184,15.4108,920000,1866.01,156.6295,2226.32
185,-7786.677734375,185,15.5461,925000,1885.83,156.7008,2232.19
186,-7763.96435546875,186,15.6196,930000,1879.23,156.7534,2240.93
187,-7857.21240234375,187,15.4957,935000,1868.45,156.6207,2175.0
188,-7911.39013671875,188,15.435,940000,1859.98,156.9044,2185.05
189,-7891.29833984375,189,15.4403,945000,1865.17,156.7335,2226.68
190,-7901.578125,190,15.1354,950000,1855.71,156.5483,2192.86
191,-7857.53173828125,191,15.4733,955000,1886.45,156.5488,2242.95
192,-7988.744140625,192,15.2235,960000,1899.76,156.7401,2206.92
193,-7973.1259765625,193,15.1173,965000,1854.64,156.7503,2217.36
194,-7995.44921875,194,15.3604,970000,1888.23,156.7102,2223.96
195,-8097.84326171875,195,15.411,975000,1852.26,156.7161,2208.83
196,-8090.60498046875,196,15.3419,980000,1889.98,156.5143,2233.35
197,-8153.33154296875,197,15.4441,985000,1876.92,156.6979,2258.07
198,-8150.0576171875,198,15.3944,990000,1868.99,156.5992,2221.78
199,-8161.23974609375,199,15.3913,995000,1885.22,156.645,2226.18
200,-8200.8525390625,200,15.4318,1000000,1901.59,156.7593,2260.62
201,-8202.1396484375,201,15.2642,1005000,1869.23,156.6288,2245.34
202,-8233.8369140625,202,15.3237,1010000,1883.25,156.7036,2244.22
203,-8290.505859375,203,15.2759,1015000,1874.29,156.7053,2244.7
204,-8331.9072265625,204,15.2454,1020000,1877.08,156.6837,2246.04
205,-8332.759765625,205,15.1952,1025000,1878.76,156.5916,2238.15
206,-8339.630859375,206,15.3702,1030000,1900.25,156.6929,2257.35
207,-8368.037109375,207,15.2325,1035000,1891.84,156.5932,2251.23
208,-8408.6806640625,208,15.3201,1040000,1885.62,156.7415,2262.5
209,-8439.451171875,209,15.2082,1045000,1893.38,156.6872,2250.98
210,-8475.130859375,210,15.3288,1050000,1879.81,156.8051,2227.8
211,-8505.83984375,211,15.3922,1055000,1875.22,156.7755,2252.13
212,-8519.3447265625,212,15.2406,1060000,1883.02,156.717,2239.89
213,-8554.064453125,213,15.3051,1065000,1899.46,156.541,2255.59
214,-8547.5986328125,214,15.2745,1070000,1885.9,156.5886,2258.14
215,-8613.625,215,15.245,1075000,1907.61,156.7063,2235.44
216,-8648.55859375,216,15.3101,1080000,1885.14,156.7681,2238.35
217,-8636.306640625,217,15.0781,1085000,1896.03,156.5342,2263.05
218,-8637.576171875,218,14.1071,1090000,1503.68,156.7411,-37.95
219,-8268.3896484375,219,12.0113,1095000,-200.76,157.9439,-152.02
220,-8798.6455078125,220,17.3993,1100000,-331.85,157.9108,-508.58
221,-8190.9111328125,221,85.6224,1105000,-579.81,162.1586,-583.64
222,-8838.3828125,222,22.8707,1110000,-381.27,157.2903,-304.53
223,-7740.22607421875,223,23.944,1115000,191.01,157.432,108.59
224,-8360.875,224,24.6087,1120000,-240.65,157.6471,-190.4
225,-8499.765625,225,18.2808,1125000,-438.76,157.635,-439.02
226,-8412.185546875,226,15.9602,1130000,-405.11,158.0509,-371.75
227,-8775.580078125,227,71.1333,1135000,-505.66,158.6805,-445.84
228,-9667.4501953125,228,18.3843,1140000,-324.47,157.6863,-377.89
229,-7902.154296875,229,21.0662,1145000,-575.23,157.3897,-551.9
230,-7685.138671875,230,21.7638,1150000,-331.82,157.7563,-279.76
231,-9043.9501953125,231,18.8158,1155000,-500.9,158.8201,-489.9
232,-7970.9931640625,232,20.7315,1160000,-325.78,158.1494,-318.51
233,-8996.6474609375,233,15.5749,1165000,-324.2,158.0275,-309.58
234,-8647.376953125,234,20.6165,1170000,-632.88,158.404,-656.89
235,-8351.8251953125,235,13.1453,1175000,-253.94,157.6149,-224.71
236,-8661.25390625,236,11.7305,1180000,-508.56,157.7192,-495.25
237,-8696.38671875,237,16.5083,1185000,-487.02,157.7949,-479.04
238,-9072.1875,238,16.5518,1190000,-207.23,157.4637,-22.23
239,-8743.37890625,239,15.5441,1195000,-392.28,157.5422,-345.12
240,-9151.603515625,240,13.0453,1200000,-529.23,157.8386,-500.18
241,-8555.5830078125,241,12.9419,1205000,-398.59,157.6042,-398.1
242,-8398.7373046875,242,19.4472,1210000,-640.79,158.6813,-669.99
243,-8643.6513671875,243,14.3193,1215000,-119.67,157.171,-82.7
244,-8450.83203125,244,15.84,1220000,-287.25,157.8159,-322.56
245,-8242.349609375,245,15.3252,1225000,-163.88,158.3957,-34.35
246,-8463.7421875,246,22.8299,1230000,-438.11,159.9623,-501.76
247,-8702.2412109375,247,21.3532,1235000,-321.22,159.9082,-319.94
248,-8643.4443359375,248,20.405,1240000,-181.26,159.518,-141.64
249,-8321.91796875,249,15.6142,1245000,-40.7,158.2561,-118.12
250,-7714.767578125,250,16.3286,1250000,-412.25,158.3837,-522.54
251,-8260.4541015625,251,16.1152,1255000,-221.28,158.7715,-320.26
252,-8445.818359375,252,12.4513,1260000,-424.36,157.517,-443.12
253,-8446.3173828125,253,25.9907,1265000,-69.24,160.362,-145.01
254,-8127.693359375,254,12.4992,1270000,4.75,157.8555,-114.09
255,-8042.48828125,255,12.2438,1275000,-286.31,157.324,-325.9
256,-7834.46240234375,256,11.0452,1280000,-172.33,157.4393,-100.64
