Running Update Time,Real Det Return,Running Forward KL,Real Sto Return,Reward Loss,Running Env Steps,Running Reverse KL,Itration
40,3231.13,26.1276,2089.9,-605.6292114257812,200000,20.6311,40
41,1637.96,27.3969,1228.76,-760.0892333984375,205000,18.1538,41
42,3198.67,25.2098,2769.8,-369.1766357421875,210000,16.4362,42
43,3223.18,25.4696,2661.18,-374.8495178222656,215000,17.1302,43
44,896.01,26.7563,1720.17,-275.5500183105469,220000,17.0418,44
45,3164.37,25.9752,2999.35,-298.5885009765625,225000,17.187,45
46,3271.5,26.0559,2180.15,-432.58880615234375,230000,16.2432,46
47,3232.26,25.9657,2503.62,-477.1470947265625,235000,14.8683,47
48,3203.57,25.5879,3061.86,-358.1120910644531,240000,15.7811,48
49,3193.78,25.5382,2787.16,-472.0658874511719,245000,16.1105,49
50,3206.8,25.3421,2648.39,-454.8865966796875,250000,14.7897,50
51,3259.62,26.3021,3008.74,-385.2621154785156,255000,17.6877,51
52,3208.81,25.6873,2624.8,-471.1111755371094,260000,15.2406,52
53,3159.87,26.5373,2161.27,-684.9716186523438,265000,32.8228,53
54,2500.89,26.2146,1909.66,-752.2861938476562,270000,20.7301,54
55,3208.53,26.2585,3205.09,-459.2356872558594,275000,19.1501,55
56,3239.13,26.6768,2607.57,-551.8192138671875,280000,24.9607,56
57,3223.65,25.7403,2714.61,-494.1327819824219,285000,16.6821,57
58,2714.64,27.5148,1365.13,-921.6642456054688,290000,26.9012,58
59,3255.52,25.6339,2795.58,-636.5184326171875,295000,15.6905,59
60,3166.22,25.2825,3051.37,-530.7906494140625,300000,15.3639,60
61,3166.67,26.1737,3074.67,-645.2622680664062,305000,18.2045,61
62,2958.07,26.0045,1700.67,-1014.5360107421875,310000,15.2385,62
63,3159.82,24.2542,2789.52,-680.632568359375,315000,19.7266,63
64,3184.13,25.6089,2863.67,-559.1402587890625,320000,16.2108,64
65,3211.19,26.934,1796.96,-968.0067138671875,325000,15.0479,65
66,3260.15,26.2599,2886.86,-662.6234741210938,330000,16.0435,66
67,3205.39,25.3344,2305.49,-600.85888671875,335000,15.5418,67
68,3198.04,25.2677,2410.56,-764.2457885742188,340000,13.9354,68
69,2909.26,26.283,1716.77,-1113.5860595703125,345000,13.7412,69
70,3199.46,25.9376,1929.82,-1125.302001953125,350000,16.9482,70
71,2361.31,25.3973,1785.01,-1017.4520874023438,355000,13.575,71
72,1637.92,27.2175,1084.93,-1412.192626953125,360000,26.1965,72
73,1142.41,26.4714,950.53,-1617.258544921875,365000,16.1344,73
74,3107.43,25.9275,3116.0,-752.5191650390625,370000,16.5741,74
75,2354.63,24.8617,1639.92,-1382.784912109375,375000,29.2992,75
76,3149.22,24.7469,2989.89,-754.7220458984375,380000,15.6992,76
77,3249.28,25.3574,2826.29,-1037.237548828125,385000,16.3517,77
78,3219.13,25.7937,2050.92,-1091.470703125,390000,14.6536,78
79,3222.28,25.7375,2526.76,-921.6763916015625,395000,15.4422,79
80,3223.78,23.9435,2628.24,-936.8817138671875,400000,15.0799,80
81,2985.1,24.6441,1940.44,-1432.0360107421875,405000,16.733,81
82,3211.04,24.8049,2641.83,-1131.45556640625,410000,16.2914,82
83,3200.72,24.426,1709.93,-1420.9373779296875,415000,14.4523,83
84,3172.62,24.4297,3164.05,-726.7609252929688,420000,16.0582,84
85,3207.44,26.4478,2524.58,-1311.1982421875,425000,23.4418,85
86,3240.03,24.4897,2852.8,-1260.8612060546875,430000,22.4054,86
87,3091.86,24.4854,2925.58,-909.750244140625,435000,15.8033,87
88,3253.51,24.0381,2620.44,-1373.11181640625,440000,15.224,88
89,3254.37,24.971,2638.76,-1237.6746826171875,445000,17.6844,89
90,3215.45,26.5069,2809.56,-886.0205078125,450000,16.3608,90
91,3230.47,25.1579,2776.5,-993.7513427734375,455000,14.579,91
92,3226.45,25.0186,2987.06,-859.781005859375,460000,16.6922,92
93,3236.35,24.1872,3043.94,-920.1747436523438,465000,14.7086,93
94,3254.61,25.0967,2828.8,-1216.0938720703125,470000,14.9082,94
95,3225.81,23.9966,3115.71,-977.9495239257812,475000,15.9183,95
96,3244.05,24.378,3186.26,-876.9008178710938,480000,15.8873,96
97,3232.86,24.2546,2419.64,-1538.5167236328125,485000,20.9753,97
98,3096.61,24.5811,3077.04,-1063.5343017578125,490000,15.1948,98
99,3205.02,24.3949,2850.55,-1174.4647216796875,495000,15.7395,99
100,3249.6,25.143,2135.38,-1488.6722412109375,500000,24.9818,100
101,3254.04,23.9219,2950.71,-1297.2830810546875,505000,14.0006,101
102,3247.35,24.9693,2499.01,-1357.16064453125,510000,16.0742,102
103,3233.98,23.9627,3117.01,-1001.44384765625,515000,15.7962,103
104,3179.98,25.046,2128.25,-1580.305908203125,520000,15.1989,104
105,3191.35,23.3933,3194.72,-1115.0562744140625,525000,14.0862,105
106,3188.97,25.5415,3120.21,-1126.01953125,530000,17.0665,106
107,3249.58,24.3378,2971.8,-1119.4683837890625,535000,16.6085,107
108,3237.55,23.9488,2718.02,-1353.200439453125,540000,14.1446,108
109,3268.48,23.2543,3150.78,-1100.3692626953125,545000,14.0343,109
110,3207.45,23.7916,2881.56,-1126.1573486328125,550000,15.1116,110
111,3141.53,23.2397,2049.03,-1522.9208984375,555000,13.4996,111
112,3209.19,24.1738,3200.24,-1153.0548095703125,560000,15.7449,112
113,3243.13,23.8149,3084.96,-1193.2742919921875,565000,14.0156,113
114,3256.35,25.2001,3031.62,-1507.15087890625,570000,15.6641,114
115,3223.27,24.3778,3069.26,-1368.3392333984375,575000,14.3566,115
116,3250.89,24.2455,2929.14,-1194.3636474609375,580000,15.7325,116
117,3186.67,24.7285,3190.68,-1324.693603515625,585000,16.7473,117
118,3251.5,24.2438,3241.09,-1165.8717041015625,590000,15.7925,118
119,3203.56,24.5016,3096.17,-1359.6776123046875,595000,15.5216,119
120,3165.95,23.9502,3181.17,-1237.7750244140625,600000,15.2974,120
121,3245.18,23.7452,2645.21,-1551.44921875,605000,17.2743,121
122,3227.46,23.6149,3092.17,-1495.9256591796875,610000,14.9093,122
123,3227.56,24.7143,3127.3,-1227.942138671875,615000,15.9977,123
124,3245.74,23.512,3035.57,-1499.3402099609375,620000,14.9848,124
125,3208.63,23.5803,3198.77,-1251.6444091796875,625000,14.6577,125
126,3209.72,24.7273,3122.93,-1416.591796875,630000,15.945,126
127,3218.09,24.0291,2916.45,-1391.438232421875,635000,14.9533,127
128,3247.85,24.3836,1763.6,-2492.496826171875,640000,34.0954,128
129,3216.01,22.992,3202.97,-1311.3746337890625,645000,14.5782,129
130,3194.56,22.6653,3152.07,-1342.9293212890625,650000,14.1218,130
131,3207.23,22.793,3032.42,-1658.061767578125,655000,15.6398,131
132,3194.25,22.389,3205.53,-1376.4844970703125,660000,14.0616,132
133,3246.46,23.6497,2507.36,-1801.7822265625,665000,14.684,133
134,3204.68,23.6668,3185.44,-1425.3248291015625,670000,15.003,134
135,3248.75,23.1502,2404.4,-2051.853515625,675000,13.349,135
136,3275.82,23.8624,3231.11,-1495.435302734375,680000,15.1278,136
137,3224.41,24.9256,3198.1,-1600.37158203125,685000,16.1642,137
138,3230.65,23.3518,2810.58,-1464.05029296875,690000,15.7063,138
139,3245.24,24.0177,2829.54,-1757.2645263671875,695000,14.9345,139
140,3231.78,23.1539,2630.88,-1579.6903076171875,700000,14.7522,140
141,3254.98,22.5184,3224.43,-1399.6474609375,705000,14.3826,141
142,3243.94,22.7418,3224.11,-1544.9415283203125,710000,14.4756,142
143,3257.71,22.3552,2485.73,-1885.102783203125,715000,15.7505,143
144,3263.61,24.2106,1931.12,-2415.185546875,720000,16.3052,144
145,3224.44,23.0605,2895.87,-1842.8795166015625,725000,14.2666,145
146,3238.76,23.7115,3107.22,-1815.899658203125,730000,14.7957,146
147,3263.6,22.5805,2847.67,-1918.3587646484375,735000,15.2299,147
148,3203.1,23.3922,3191.76,-1583.7259521484375,740000,14.2689,148
149,3262.36,22.8741,3161.65,-1634.225341796875,745000,14.7927,149
150,3239.02,23.4999,2834.79,-1793.16162109375,750000,14.3837,150
151,3249.17,24.3767,3252.49,-1984.5684814453125,755000,17.6016,151
152,3231.0,23.5821,3057.66,-1701.2288818359375,760000,14.3194,152
153,3265.59,23.3884,3107.72,-1613.1009521484375,765000,15.1898,153
154,3258.53,23.1153,3139.19,-1600.1116943359375,770000,15.3343,154
155,3280.9,22.8326,3260.57,-1629.323974609375,775000,14.8027,155
156,3253.47,21.7239,3236.34,-1830.061279296875,780000,19.0147,156
157,3283.42,22.8205,1807.47,-2279.195556640625,785000,20.2626,157
158,3262.16,22.9034,3235.02,-1824.545654296875,790000,14.1867,158
159,1514.92,24.0768,1542.39,-3089.78564453125,795000,26.4041,159
160,3314.66,22.7024,3247.41,-1670.5345458984375,800000,14.5489,160
161,3304.87,20.7381,3204.82,-1524.216796875,805000,13.3371,161
162,3255.66,22.8938,3112.92,-1658.288330078125,810000,14.7261,162
163,3268.56,22.6798,3134.48,-1967.6488037109375,815000,14.0375,163
164,3279.7,21.4932,3277.24,-1524.2255859375,820000,14.3739,164
165,3247.04,21.3576,2942.73,-2100.172607421875,825000,16.7337,165
166,3272.58,21.9596,3142.68,-1673.7796630859375,830000,14.7495,166
167,3191.5,22.4949,1230.29,-2792.310302734375,835000,21.6335,167
168,3311.67,20.9092,2883.76,-1888.900634765625,840000,14.9031,168
169,3282.13,21.5025,2599.84,-1659.1593017578125,845000,14.1445,169
170,3290.46,21.7093,2656.0,-1953.1927490234375,850000,20.3729,170
171,3279.61,24.1842,2980.45,-2231.385009765625,855000,17.2831,171
172,3273.77,22.363,3165.02,-1938.826416015625,860000,14.1476,172
173,3285.32,22.1166,1953.18,-2765.705078125,865000,27.7729,173
174,3281.0,21.2717,3138.77,-1775.288818359375,870000,13.4728,174
175,3307.28,23.2316,2698.8,-2332.82568359375,875000,15.8871,175
176,3286.33,21.3683,2843.19,-2287.768798828125,880000,21.169,176
177,1286.08,21.2624,1170.47,-2317.04736328125,885000,17.8314,177
178,3245.18,22.5301,3071.43,-2360.978759765625,890000,16.2222,178
179,3293.7,22.0655,3172.53,-1864.6729736328125,895000,14.1533,179
180,3282.57,22.0223,3266.16,-1938.6832275390625,900000,13.8554,180
181,3274.13,21.3402,3250.37,-1745.7945556640625,905000,13.1651,181
182,3320.14,21.2225,2954.51,-1970.394287109375,910000,14.1776,182
183,3307.11,21.4563,3293.39,-1840.68994140625,915000,14.2503,183
184,3266.92,23.2918,3231.08,-2209.682861328125,920000,14.9276,184
185,3319.82,21.0504,3289.67,-1874.9908447265625,925000,14.2042,185
186,3265.83,21.2747,3064.98,-1977.402099609375,930000,15.1297,186
187,3297.82,21.6108,3279.8,-2054.031982421875,935000,14.3524,187
188,3317.73,21.67,1621.49,-2549.91748046875,940000,18.8572,188
189,3322.73,22.1567,1894.72,-2424.408203125,945000,14.6619,189
190,3293.17,21.8668,3181.67,-2160.20556640625,950000,15.0775,190
191,3286.11,21.945,3163.31,-1909.02001953125,955000,14.1474,191
192,3297.04,21.135,3291.16,-1521.97998046875,960000,14.0886,192
193,3301.52,22.419,2795.08,-2661.528564453125,965000,16.2947,193
194,3287.2,22.0079,2376.6,-2736.25830078125,970000,19.6982,194
195,3313.99,20.3387,3208.45,-1905.251953125,975000,19.4605,195
196,3326.21,20.8228,3102.42,-1817.84619140625,980000,13.9738,196
197,3312.94,20.6043,2906.85,-2024.1717529296875,985000,14.1534,197
198,3287.83,21.1596,3157.51,-1774.05615234375,990000,14.2027,198
199,3317.57,20.0056,3294.78,-1920.357421875,995000,12.4032,199
