Itration,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
48,197.9122,1721.96,1606.82,320.8976
49,238.5541,1566.46,973.76,326.3968
50,245.2726,1237.88,1041.79,332.5117
51,211.708,1937.38,2003.32,330.1203
52,244.6398,1330.85,1248.23,328.3898
53,369.5208,1563.0,1487.51,324.3397
54,337.6789,1343.99,765.75,351.3328
55,204.0857,2171.1,1919.32,316.3743
56,165.916,2146.13,2166.54,311.3454
57,257.1571,1641.69,889.14,340.2833
58,258.2523,1632.84,676.84,340.1754
59,165.3126,2495.21,1198.58,309.892
60,173.9578,2001.77,996.77,321.5246
61,180.7309,2092.79,1152.2,311.8038
62,246.7695,992.87,1194.05,340.503
63,159.428,3120.45,1965.67,309.3311
64,344.0198,2921.84,2446.14,311.8037
65,177.5283,2796.51,1177.78,307.502
66,159.1505,3213.91,2299.59,304.701
67,116.8275,2997.66,2064.4,290.8034
68,185.1562,2884.69,2705.76,306.6929
69,135.5728,3366.29,3158.71,297.5032
70,139.3762,2996.9,1198.01,299.5245
71,129.8642,2474.37,2185.51,295.6969
72,134.6857,4575.94,2352.18,297.9791
73,118.4479,4201.65,1392.2,293.6384
74,109.0938,4375.86,4731.45,289.3233
75,113.3789,4105.48,3543.14,290.2815
76,98.9161,4020.92,4217.59,285.9247
77,117.7248,4317.32,5048.99,295.722
78,113.6741,4455.43,4372.12,290.0943
79,98.6256,4469.35,4919.89,279.7574
80,109.5306,4317.73,5077.95,291.1989
81,122.9791,3725.08,5001.24,288.6734
82,121.1207,4565.94,5043.65,292.6478
83,149.7038,2834.13,1598.62,300.2117
84,124.134,3799.57,4933.47,304.5039
85,113.133,3764.7,5142.22,285.9494
86,114.1717,4236.76,3276.91,295.1514
87,101.2147,4526.11,4694.49,286.511
88,114.9552,2808.38,1766.71,300.6023
89,110.3893,4477.7,3956.24,291.8649
90,131.4278,3548.47,3238.34,295.4304
91,112.1194,4341.13,4237.86,288.0015
92,90.5984,4810.36,5111.2,278.5682
93,126.612,3941.92,4306.29,302.1258
94,100.6863,4668.77,5037.3,289.7046
95,107.9568,4462.11,4617.07,288.5353
96,101.0618,4180.93,1948.53,292.2555
97,94.8758,4479.01,3597.43,284.8907
98,90.7964,4915.7,4822.36,283.0378
99,100.6264,4301.74,1608.96,290.126
100,85.048,4601.29,3911.24,273.1298
101,105.5891,4771.69,4883.24,292.1631
102,109.2177,3948.33,4171.2,290.5409
103,98.6126,4502.08,2785.82,289.016
104,126.3341,4160.23,3834.02,308.8367
105,106.9315,4687.54,3126.16,296.9214
106,98.344,4527.45,4526.24,285.7299
107,100.1187,4568.15,2546.13,287.3603
108,123.6355,4686.28,3611.85,306.0684
109,160.6958,4012.72,2781.19,333.8222
110,151.5721,2315.37,1756.13,321.7536
111,94.0768,4570.47,4414.9,286.1437
112,149.2202,4265.96,2448.71,305.4773
113,95.0578,4075.15,3946.02,283.7847
114,109.7017,4070.28,5149.47,280.6197
115,114.4985,3354.25,1858.17,290.5732
116,91.3946,4561.6,3901.66,278.0386
117,90.7498,4427.12,4864.57,285.8737
118,95.959,4353.56,3119.21,282.6647
119,87.5438,4686.65,3338.03,283.7473
120,124.3851,2887.51,3614.14,296.0427
121,123.7232,3431.03,3149.73,285.0427
122,186.1013,2182.14,3117.34,309.7374
123,123.0659,3143.72,5048.36,299.107
124,178.8171,2473.6,4742.39,304.55
125,95.252,4881.35,4989.49,279.6184
126,96.8381,4669.38,2483.93,280.1383
127,96.2373,4431.64,5085.17,282.4464
128,81.6162,4931.06,4630.28,274.0455
129,184.6796,2514.7,1098.4,316.9579
130,81.3107,4266.98,4677.59,272.022
131,84.5912,4444.67,4735.92,278.2129
132,90.5759,4625.34,1969.27,280.3253
133,77.422,4910.05,4740.47,275.0313
134,84.4359,4947.46,4057.37,277.2132
135,99.0737,4230.75,4982.3,284.508
136,123.9048,4580.26,4818.72,301.968
137,89.392,4981.6,5255.38,278.8782
138,80.156,4846.96,5251.85,278.7385
139,81.305,4820.05,4816.9,276.8118
140,76.6398,4954.18,4991.21,276.3868
141,86.4454,5055.65,5210.52,276.3118
142,79.8614,4921.12,5124.84,273.3673
143,69.9717,4812.44,5070.96,268.7542
144,79.4857,4919.41,5072.69,275.8912
145,93.8226,4937.2,5157.33,280.1296
146,86.1477,4691.68,4875.37,281.3676
147,80.184,4734.32,5127.01,276.3777
148,75.4301,4926.14,4988.04,275.0164
149,75.4056,4842.23,4997.56,270.3478
150,79.7849,4643.22,5100.34,273.9923
151,75.06,4968.74,5130.79,273.1057
152,81.7721,5040.5,5247.55,274.1037
153,89.6058,4974.72,5116.76,280.1656
154,90.0818,4311.51,4491.3,276.7656
155,79.0972,4933.59,5137.62,275.5731
156,89.828,4174.11,4969.98,282.9042
157,79.6454,4980.46,5166.3,273.1555
158,94.2749,4820.22,4940.07,278.2449
159,82.8249,4967.35,5143.2,276.2253
160,72.9442,4639.12,5151.9,269.5157
161,89.3743,4624.33,5124.7,277.311
162,76.1755,4903.82,5102.86,274.9057
163,79.0974,4977.44,5151.32,272.4603
164,76.4114,5003.49,4938.24,274.5229
165,86.3106,4916.63,5033.63,280.7913
166,74.5688,4291.65,5104.89,273.0129
167,82.7856,4907.62,5117.2,276.0401
168,78.4619,5072.14,5099.16,272.5506
169,89.8184,4884.57,5186.19,280.7428
170,79.3041,5036.77,5177.73,272.2574
171,84.3295,5112.37,5210.39,273.8581
172,73.6346,4924.59,5120.31,270.5415
173,76.4102,4888.77,5103.33,273.996
174,90.4486,4837.0,4941.46,275.4045
175,92.9499,4571.85,4947.64,291.6037
176,70.1657,4905.41,5168.78,268.5583
177,75.1087,5003.74,5133.3,274.8616
178,73.7256,5022.77,5053.29,268.4938
179,75.741,4996.03,5132.71,269.2224
180,74.3416,4991.95,5105.34,269.0613
181,75.0886,4859.1,4898.91,275.6526
182,74.6408,5042.2,5149.57,269.4858
183,76.8533,4976.99,5119.45,274.4879
184,68.5112,5031.94,4685.98,266.6336
185,73.6238,4979.22,5160.01,275.4931
186,75.1523,4975.06,5144.92,271.098
187,75.8625,4801.85,4834.68,275.7594
188,74.6524,4998.58,5152.26,273.1771
189,86.083,4734.55,5074.14,284.4164
190,80.8387,4858.53,5050.58,274.0408
191,105.4297,4233.41,1749.33,293.0463
192,89.4309,3079.08,1303.02,281.2457
193,87.2135,4659.09,4588.81,283.7417
194,89.7729,4567.75,4313.85,283.4585
195,78.3616,4386.98,4915.28,275.2193
196,71.6486,4495.88,4713.71,262.8407
197,77.2248,4137.56,4512.98,273.3115
198,71.6004,5050.12,5167.48,264.1019
199,109.5158,4749.59,4867.88,296.577
200,75.6476,4923.21,5051.21,275.8345
201,75.0342,4956.39,5137.8,273.2638
202,85.3723,4833.46,4372.69,284.0536
203,81.4927,4850.31,4442.16,284.7927
204,104.2132,4895.97,3291.32,291.1076
205,89.906,4437.65,2862.7,284.4526
206,92.9326,4629.94,4246.55,287.5355
207,107.0428,4278.81,3122.32,292.9998
208,127.8113,4288.63,3628.15,297.1933
209,149.5663,3459.57,4044.45,307.0442
210,97.2745,4756.47,5042.67,281.6613
211,76.2791,4944.85,5059.67,280.6589
212,73.4708,4753.09,5016.59,277.9953
213,86.8283,4954.05,3969.69,282.4979
214,75.2267,4854.32,5057.58,270.9783
215,70.8456,5064.39,5125.94,271.5856
216,81.8051,5032.2,4988.94,278.7342
217,81.8838,4325.18,5021.47,271.9873
