Running Env Steps,Itration,Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Running Reverse KL
370000,74,1133.75,1137.55,35.1521,-3217.5693359375,74,21.4822
375000,75,1130.49,1131.88,34.2014,-3308.039306640625,75,20.5246
380000,76,1142.8,1143.3,34.2293,-3291.474853515625,76,22.0438
385000,77,1164.38,1163.22,34.123,-3299.572021484375,77,20.005
390000,78,1106.93,1104.87,33.953,-3433.062255859375,78,18.7842
395000,79,1178.36,1177.3,33.1478,-3111.877197265625,79,20.7276
400000,80,421.06,682.77,32.3794,-2677.60400390625,80,20.4906
405000,81,368.32,285.12,32.3804,-3148.878173828125,81,54.6657
410000,82,1215.05,1216.47,32.4461,-2525.68017578125,82,18.4779
415000,83,1199.94,1173.18,32.4969,-2989.6357421875,83,27.764
420000,84,964.1,1024.66,32.6116,-3204.616455078125,84,36.7002
425000,85,1150.99,1071.04,32.2294,-2974.42578125,85,37.6197
430000,86,1111.28,1051.47,32.4148,-3200.975341796875,86,20.3149
435000,87,237.2,254.1,31.9349,-3343.781982421875,87,51.6287
440000,88,1137.33,1143.97,31.7215,-3142.381103515625,88,19.7673
445000,89,237.22,313.42,30.5587,-3383.1123046875,89,23.9339
450000,90,1182.97,1188.91,32.1849,-3327.829345703125,90,17.8954
455000,91,1009.64,1009.55,33.752,-4330.7822265625,91,24.6444
460000,92,991.15,986.86,32.994,-4080.758544921875,92,21.3382
465000,93,1068.38,1073.63,32.3974,-3590.386474609375,93,17.2988
470000,94,1094.8,1113.6,31.0263,-2772.15673828125,94,20.955
475000,95,253.42,208.63,31.024,-3400.279541015625,95,51.4897
480000,96,65.42,65.46,32.9014,-4253.7255859375,96,49.1126
485000,97,1060.44,1069.79,33.728,-4460.94580078125,97,21.8961
490000,98,627.23,386.5,32.7487,-3822.2412109375,98,26.0351
495000,99,739.24,955.44,32.4518,-3731.343017578125,99,16.785
500000,100,792.18,738.36,30.1671,-3383.400146484375,100,21.1693
505000,101,273.49,320.99,31.8071,-3931.85595703125,101,47.0319
510000,102,1170.8,1130.85,32.8753,-4195.23046875,102,17.3155
515000,103,527.79,505.05,29.0482,-3983.739013671875,103,86.8783
520000,104,685.61,572.41,32.166,-4116.95458984375,104,33.5403
525000,105,975.77,975.83,38.5452,-5141.32080078125,105,40.0837
530000,106,974.84,975.67,37.5656,-5116.0634765625,106,59.4278
535000,107,329.71,243.03,28.9202,-4147.3955078125,107,156.4186
540000,108,968.28,968.14,35.5358,-4938.96923828125,108,37.1985
545000,109,1105.68,1065.42,32.7883,-4654.0078125,109,31.2271
550000,110,339.34,411.48,30.2691,-3598.4443359375,110,35.9675
555000,111,1049.64,1043.6,32.6629,-5215.26220703125,111,45.1446
560000,112,979.18,979.05,38.2662,-5498.57763671875,112,49.3832
565000,113,980.82,1121.99,30.6109,-4332.447265625,113,27.6762
570000,114,1191.43,1144.88,31.2535,-4954.66259765625,114,20.1762
575000,115,723.86,677.68,29.6906,-4775.10400390625,115,46.0736
580000,116,1176.81,1186.52,30.4709,-4697.345703125,116,19.6818
585000,117,451.29,420.97,29.7393,-4930.73046875,117,52.7191
590000,118,1050.04,992.69,30.4674,-4734.15869140625,118,22.5622
595000,119,999.03,997.1,33.3285,-5796.326171875,119,30.3175
600000,120,1234.09,1157.39,31.8787,-4792.44482421875,120,21.362
605000,121,1086.74,1086.35,33.2028,-5702.71728515625,121,32.2315
610000,122,641.57,709.8,30.3492,-4839.8271484375,122,31.3402
615000,123,1260.38,1260.69,31.8669,-4974.048828125,123,17.7818
620000,124,461.7,463.56,31.8963,-5125.52197265625,124,31.5966
625000,125,1049.42,1036.64,32.2808,-5749.6240234375,125,20.5163
630000,126,1079.43,1078.61,33.4079,-6108.1201171875,126,27.707
635000,127,388.15,393.14,30.5838,-5787.0556640625,127,46.3494
640000,128,1019.17,1020.62,32.7993,-6365.32666015625,128,66.6523
645000,129,688.3,639.25,32.2493,-5851.71044921875,129,38.1934
650000,130,301.59,308.7,33.0044,-5784.58154296875,130,47.3825
655000,131,347.27,321.66,32.7337,-6656.298828125,131,57.512
660000,132,335.86,335.63,32.057,-6176.751953125,132,43.4279
665000,133,282.81,282.99,31.4149,-6473.32421875,133,177.0247
670000,134,730.41,738.35,26.1301,-5480.8505859375,134,65.8228
675000,135,160.11,164.19,31.8682,-7170.56494140625,135,61.128
680000,136,431.46,561.55,28.9121,-4909.947265625,136,84.4002
685000,137,292.06,305.97,28.8293,-6237.65869140625,137,128.2373
690000,138,984.14,984.09,38.9165,-7147.765625,138,83.77
695000,139,1004.03,1003.94,37.3361,-7162.97509765625,139,75.8659
700000,140,279.2,261.42,30.7801,-6396.1015625,140,77.6187
705000,141,1059.88,1007.84,31.1665,-6455.607421875,141,48.4956
710000,142,1036.1,1036.35,36.3779,-6984.8017578125,142,29.3754
715000,143,992.43,992.13,37.3762,-7199.908203125,143,33.9275
720000,144,1274.07,1338.01,29.8827,-5141.69873046875,144,16.7632
725000,145,501.94,474.99,28.9642,-6347.6435546875,145,103.5494
730000,146,638.05,639.46,27.8539,-6199.63623046875,146,109.6025
735000,147,490.53,491.43,28.4461,-6847.73095703125,147,147.7767
740000,148,641.96,682.12,27.9567,-5385.20947265625,148,37.7114
745000,149,537.07,666.3,29.6428,-6373.8798828125,149,69.7473
750000,150,501.44,467.44,29.6929,-5910.69091796875,150,42.2517
755000,151,988.18,987.34,36.3319,-7137.2412109375,151,34.205
760000,152,983.95,986.23,35.842,-7786.09130859375,152,36.0037
765000,153,971.5,971.56,37.9986,-7840.43798828125,153,35.4166
770000,154,982.03,981.69,37.9931,-7903.28564453125,154,36.0221
775000,155,969.64,970.21,37.4587,-7826.0615234375,155,36.5502
780000,156,976.62,977.5,38.9782,-8036.02294921875,156,28.5728
785000,157,729.18,682.47,29.2818,-6968.91064453125,157,117.1634
790000,158,502.08,497.4,28.3069,-5536.587890625,158,32.1394
795000,159,405.43,407.58,28.5812,-6158.53515625,159,131.9517
800000,160,779.35,823.72,32.5941,-7578.6337890625,160,53.1885
805000,161,1491.37,1447.44,31.4275,-5304.84814453125,161,22.8678
810000,162,523.66,550.32,30.5455,-6672.0244140625,162,27.4046
815000,163,317.32,346.16,31.9974,-8018.6728515625,163,38.5462
820000,164,498.16,642.76,37.5482,-8607.16015625,164,39.1871
825000,165,1006.49,1006.47,38.5525,-8664.5146484375,165,43.477
830000,166,1004.95,1005.24,39.2161,-8711.9736328125,166,45.6243
835000,167,318.0,292.47,31.668,-6887.38623046875,167,23.6016
840000,168,297.11,231.31,34.4701,-7250.77099609375,168,161.4165
845000,169,1106.38,1112.74,33.2662,-5977.55712890625,169,21.1809
850000,170,553.44,545.16,30.4208,-7303.11865234375,170,40.9613
855000,171,1216.73,1217.62,33.7926,-6583.58251953125,171,24.1042
860000,172,1262.34,1260.65,33.098,-6674.64697265625,172,21.4018
865000,173,1274.47,1277.46,33.5346,-6810.8056640625,173,23.2891
870000,174,1194.77,1191.31,33.7292,-6960.46630859375,174,21.4654
875000,175,1240.12,1239.2,33.2346,-6647.1259765625,175,22.8252
880000,176,1208.08,1205.7,33.6917,-6938.333984375,176,21.7599
885000,177,1139.26,1126.72,33.5261,-7294.60888671875,177,19.6636
890000,178,1159.43,1160.27,33.5391,-7269.7841796875,178,20.4346
895000,179,1088.88,1081.86,33.6886,-7381.25927734375,179,21.5787
900000,180,978.93,1033.63,33.4812,-8127.6279296875,180,24.0524
905000,181,1010.54,1038.77,33.469,-9018.2109375,181,44.0605
910000,182,856.54,839.65,32.959,-7769.20458984375,182,41.2114
915000,183,1197.77,1198.77,33.8245,-7806.47021484375,183,20.9273
920000,184,1240.65,1242.5,33.5979,-7405.9560546875,184,21.8755
925000,185,1066.55,982.79,33.5104,-8063.4794921875,185,27.6463
930000,186,1049.89,1102.24,33.201,-7352.9921875,186,17.456
935000,187,1191.42,1191.31,33.0245,-7483.615234375,187,24.2667
940000,188,1127.54,1126.85,33.8617,-8184.328125,188,23.4805
945000,189,1187.63,1143.94,32.7826,-7684.765625,189,17.0257
950000,190,1222.89,1224.05,33.3506,-7343.5048828125,190,19.9423
955000,191,1180.63,1092.76,33.3554,-8843.732421875,191,25.9893
960000,192,1242.36,1242.56,33.4334,-7546.3818359375,192,19.3688
965000,193,1073.83,1078.12,33.9545,-8868.4638671875,193,21.801
970000,194,1009.92,962.15,32.8668,-8351.5693359375,194,20.7687
975000,195,507.02,610.7,32.7786,-8321.396484375,195,17.1549
980000,196,1162.49,1098.83,33.9798,-8482.3818359375,196,21.1282
985000,197,1183.88,1196.11,33.373,-8319.4033203125,197,18.4801
990000,198,1180.55,1181.59,33.389,-7942.49658203125,198,20.6377
995000,199,690.09,591.77,33.0093,-8255.77734375,199,17.2352
