Itration,Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return
60,60,23.8807,2935.1,300000,-1400.3363037109375,20.7575,1270.55
61,61,23.0044,3215.13,305000,-466.92913818359375,14.6414,3081.19
62,62,24.241,2957.42,310000,-994.9908447265625,17.1111,2297.77
63,63,23.1606,3164.36,315000,-850.7626953125,16.7366,2458.79
64,64,23.1016,3201.19,320000,-464.52313232421875,13.7668,2924.43
65,65,22.6502,3230.71,325000,-862.0322265625,14.5707,2151.34
66,66,23.4624,3213.63,330000,-472.2528076171875,14.3638,2884.01
67,67,23.5682,3197.07,335000,-1015.6807861328125,15.5178,2241.67
68,68,23.2329,3178.02,340000,-364.8017578125,13.4824,2841.48
69,69,23.2648,3223.47,345000,-327.8214416503906,14.0562,2985.33
70,70,24.3235,3116.22,350000,-672.1966552734375,16.2249,3102.75
71,71,20.5602,3311.63,355000,-211.22434997558594,12.555,3277.11
72,72,23.042,3203.82,360000,-600.010498046875,14.0453,3142.59
73,73,23.7237,3202.47,365000,-465.2049255371094,14.2,2983.4
74,74,22.7974,3167.49,370000,-719.6233520507812,14.423,2876.84
75,75,22.6703,3124.93,375000,-945.6817626953125,15.6512,2917.64
76,76,22.8005,3205.78,380000,-1119.8043212890625,16.5418,2698.28
77,77,23.2788,3208.86,385000,-563.4171752929688,14.6025,3154.02
78,78,22.8653,3206.21,390000,-676.5911254882812,13.9996,2892.34
79,79,22.7104,3245.72,395000,-355.9428405761719,14.2078,3088.01
80,80,21.7033,3221.34,400000,-529.5783081054688,13.2996,2322.5
81,81,21.8499,3258.47,405000,-411.59405517578125,13.2869,3171.89
82,82,22.3072,3211.79,410000,-573.9546508789062,13.2566,3071.26
83,83,21.9402,3298.48,415000,-863.19482421875,13.5908,2601.96
84,84,22.8724,3242.23,420000,-463.51324462890625,13.9202,3236.14
85,85,24.1911,2830.18,425000,-1377.7724609375,20.3453,1227.72
86,86,22.5763,3123.06,430000,-670.0604858398438,16.2588,1506.93
87,87,22.2512,3228.09,435000,-571.9287719726562,13.4068,2906.31
88,88,23.5696,3187.14,440000,-508.770751953125,15.0363,2940.54
89,89,21.8023,3240.06,445000,-488.3392639160156,13.2602,3223.08
90,90,22.5416,3197.88,450000,-566.1914672851562,13.724,3075.47
91,91,23.4137,3181.68,455000,-533.9785766601562,14.5327,2910.66
92,92,21.8356,3251.76,460000,-507.55462646484375,13.124,3230.31
93,93,22.2818,3255.66,465000,-785.1915283203125,13.4895,2846.24
94,94,22.1328,3265.79,470000,-770.2171630859375,13.6815,3046.58
95,95,23.0164,3242.89,475000,-546.798583984375,14.3715,3211.25
96,96,22.2964,3228.09,480000,-723.1702270507812,13.8071,2509.58
97,97,22.9793,3269.98,485000,-494.3425598144531,14.6476,3133.88
98,98,22.0682,3220.33,490000,-505.1553955078125,14.0016,3228.78
99,99,23.215,3214.55,495000,-631.3263549804688,14.5611,3197.11
100,100,22.0746,3270.5,500000,-582.9152221679688,13.4141,3154.69
101,101,22.7366,3251.19,505000,-557.6395874023438,13.9353,3131.81
102,102,22.1999,3210.78,510000,-620.7137451171875,13.9865,3180.76
103,103,21.7755,3250.82,515000,-694.9390869140625,12.5009,3022.96
104,104,21.9487,3299.53,520000,-806.6670532226562,11.7847,2921.59
105,105,21.8788,3314.13,525000,-514.8244018554688,13.9937,3252.18
106,106,21.8052,3300.6,530000,-582.065673828125,13.6143,3162.87
107,107,20.8479,3291.84,535000,-552.3394775390625,12.5661,3248.77
108,108,21.325,3233.25,540000,-1118.489013671875,16.1331,2260.83
109,109,19.7681,3286.82,545000,-456.4566955566406,12.4034,3259.24
110,110,19.5218,3314.84,550000,-507.50469970703125,11.91,3240.75
111,111,21.7052,3275.0,555000,-1271.2156982421875,12.6043,2192.64
112,112,21.0655,3287.84,560000,-508.4688720703125,13.1104,3168.42
113,113,21.0062,3336.86,565000,-796.1014404296875,12.6567,3157.89
114,114,20.8045,3304.49,570000,-733.676513671875,12.3218,2883.87
115,115,21.2455,3281.6,575000,-630.640380859375,13.3077,3229.63
116,116,20.5523,3311.72,580000,-715.83154296875,12.5996,3287.98
117,117,20.3888,3203.99,585000,-867.3817749023438,12.1238,3105.14
118,118,22.6939,3305.38,590000,-813.712890625,13.5066,2744.77
119,119,20.8278,3285.75,595000,-606.7303466796875,12.8716,3172.34
120,120,20.5009,3349.35,600000,-440.8005676269531,12.8992,3250.71
121,121,20.1471,3331.22,605000,-557.6691284179688,12.0753,3313.57
122,122,19.2135,3354.56,610000,-598.1502685546875,11.6591,3242.03
123,123,21.3888,3227.42,615000,-693.3433837890625,13.2424,3217.67
124,124,19.7146,3250.36,620000,-694.394287109375,11.2383,3185.09
125,125,20.0655,3328.06,625000,-586.6417846679688,12.3197,3282.73
126,126,20.5175,3317.95,630000,-562.1126098632812,12.8629,3304.9
127,127,20.2352,3319.31,635000,-630.1676025390625,12.1963,3196.61
128,128,20.3266,3252.35,640000,-744.8529052734375,11.7708,3180.77
129,129,20.9665,3281.45,645000,-690.9393920898438,12.4333,3162.5
130,130,20.0849,3344.3,650000,-458.2485656738281,11.934,3253.39
131,131,19.8838,3334.5,655000,-526.9528198242188,12.4764,3150.38
132,132,20.6176,3338.03,660000,-679.1409912109375,13.0825,3319.67
133,133,20.4754,3280.15,665000,-622.8209838867188,13.6587,3218.8
134,134,21.8435,3311.7,670000,-640.4295654296875,14.1263,3284.54
135,135,20.4698,3357.61,675000,-569.3829345703125,13.3054,3358.09
136,136,20.7936,3351.45,680000,-589.2147827148438,13.194,3330.5
137,137,20.0138,3327.06,685000,-1076.163330078125,14.043,2764.28
138,138,19.6606,3330.33,690000,-763.6521606445312,11.617,3112.63
139,139,19.9601,3383.41,695000,-602.160888671875,12.3022,3321.09
140,140,19.8617,3424.11,700000,-482.13134765625,12.7471,3396.03
141,141,20.1941,3376.87,705000,-701.1889038085938,12.5982,3318.88
142,142,19.5066,3306.62,710000,-687.9152221679688,11.8671,3297.72
143,143,20.8951,3287.31,715000,-814.0032958984375,13.0022,3161.02
144,144,20.5985,3329.21,720000,-909.0806884765625,13.2985,3077.94
145,145,20.4135,3300.39,725000,-713.0864868164062,12.8372,3191.14
146,146,19.8225,3424.37,730000,-818.8407592773438,12.8251,3146.79
147,147,19.8922,3306.35,735000,-694.3114013671875,12.1408,3272.31
148,148,19.729,3370.73,740000,-653.810546875,12.5623,3259.95
149,149,20.2493,3251.52,745000,-814.395263671875,11.9089,3093.82
150,150,20.5222,3355.38,750000,-736.3099975585938,12.6086,3261.12
151,151,20.0288,3343.97,755000,-733.72802734375,12.3369,3339.67
152,152,19.8108,3299.71,760000,-836.4601440429688,11.7206,3056.44
153,153,21.0136,3300.29,765000,-745.5491943359375,13.9764,3295.11
154,154,20.854,3358.59,770000,-879.8823852539062,13.5597,3103.19
155,155,19.8485,3316.88,775000,-733.9898071289062,12.1401,3313.93
156,156,20.2463,3420.78,780000,-1153.9271240234375,13.6801,2917.18
157,157,19.9046,3286.02,785000,-834.8978881835938,12.0732,3265.65
158,158,20.3669,3393.71,790000,-722.88623046875,12.8405,3358.94
159,159,19.5118,3396.14,795000,-751.6861572265625,11.9154,2903.1
160,160,19.8401,3352.39,800000,-718.2410888671875,12.4322,3225.49
161,161,19.6955,3334.37,805000,-794.3079833984375,11.7617,3313.78
162,162,19.9167,3364.1,810000,-676.1690673828125,12.8072,3344.66
163,163,21.5001,3326.45,815000,-919.946044921875,13.9171,3311.09
164,164,19.357,3422.58,820000,-725.4409790039062,12.2197,2913.14
165,165,20.5688,3311.3,825000,-921.3069458007812,12.6094,3311.22
166,166,19.7322,3387.47,830000,-1192.5042724609375,13.2736,2894.19
167,167,20.3941,3361.7,835000,-789.33837890625,13.4928,3259.53
168,168,18.927,3337.37,840000,-740.2461547851562,11.7071,3337.72
169,169,19.9859,3281.53,845000,-863.1097412109375,12.9317,3299.12
170,170,19.7894,3385.24,850000,-815.713134765625,12.6012,3348.89
171,171,18.7988,3297.79,855000,-822.6709594726562,11.7044,3286.51
172,172,20.3816,3321.25,860000,-898.0858764648438,13.1208,3185.37
173,173,19.0028,3308.69,865000,-777.3561401367188,11.538,3241.42
174,174,19.148,3359.6,870000,-801.6441040039062,12.3321,3355.31
175,175,19.3849,3381.28,875000,-756.2330322265625,12.3719,3381.34
176,176,19.3647,3400.53,880000,-800.5451049804688,11.8583,3371.31
177,177,19.7972,3425.63,885000,-900.7192993164062,12.2577,3137.79
178,178,19.8205,3346.6,890000,-981.6691284179688,11.7304,3330.55
179,179,19.0535,3376.55,895000,-767.8389892578125,11.9639,2876.63
180,180,19.8524,3425.07,900000,-1027.51123046875,10.9644,3190.69
181,181,19.8633,3411.82,905000,-759.3427734375,12.7565,3317.38
182,182,19.7579,3395.57,910000,-1063.986328125,11.2481,2496.73
183,183,19.3023,3462.07,915000,-961.2114868164062,12.2077,3403.95
184,184,18.6076,3322.42,920000,-877.2667236328125,10.5833,3280.15
185,185,19.0005,3404.26,925000,-833.2850952148438,11.7305,3108.66
186,186,20.3489,3413.47,930000,-1218.9434814453125,12.2366,2788.42
187,187,19.448,3383.97,935000,-985.2059936523438,11.9431,3266.33
188,188,19.1609,3391.74,940000,-863.149658203125,12.4265,3203.2
189,189,19.5625,3398.9,945000,-996.9531860351562,12.5775,3396.73
190,190,18.1444,3406.07,950000,-722.052001953125,11.1396,3242.66
191,191,19.8082,3331.03,955000,-1005.6290283203125,12.3389,3158.08
192,192,19.2535,3367.29,960000,-910.8854370117188,12.1482,3249.68
193,193,19.5867,3459.8,965000,-917.0511474609375,12.9023,2833.5
194,194,19.3819,3429.62,970000,-821.4173583984375,12.8888,3332.04
195,195,19.4247,3451.48,975000,-1136.5545654296875,12.3523,2652.12
196,196,19.0825,3402.89,980000,-972.9391479492188,12.2138,3067.98
197,197,20.5081,3398.67,985000,-1031.566650390625,13.2704,2765.22
198,198,20.4374,3410.07,990000,-968.90771484375,13.8391,3397.84
199,199,19.0332,3390.1,995000,-931.9979858398438,12.6726,3370.48
