Running Forward KL,Real Sto Return,Running Reverse KL,Itration,Real Det Return
263.0006,5243.67,61.3372,157,3876.47
268.2591,4893.94,61.7429,158,2950.77
258.5826,5179.17,53.6797,159,4326.71
259.6032,4752.71,53.9968,160,4995.48
255.8003,5204.76,57.3847,161,4815.93
258.8132,5233.99,63.3231,162,3548.18
256.4554,4360.24,74.2708,163,4987.71
277.7771,2881.46,141.7943,164,4764.95
267.6261,4969.02,76.536,165,3398.91
271.7856,3069.06,98.3471,166,5049.54
270.7749,3754.99,119.6441,167,5010.83
254.563,5130.76,56.0763,168,5332.49
258.0199,4522.42,67.6368,169,4406.82
272.4354,3783.81,102.6429,170,4678.51
272.9457,4594.59,91.9992,171,5104.6
255.2113,4841.6,56.2383,172,4323.95
263.8165,4335.02,82.3135,173,3624.26
268.3038,3972.56,123.1468,174,4559.19
253.5962,5277.76,57.0057,175,5286.47
253.3307,5077.14,82.4793,176,5143.05
253.4403,4885.77,52.5758,177,5279.02
257.7856,5032.75,58.9044,178,5414.09
258.7508,4872.09,59.2075,179,4956.82
252.2616,5215.55,55.5024,180,5304.11
251.6116,4998.37,70.0883,181,5091.27
255.8937,4942.39,61.3417,182,5341.18
260.1732,4910.67,60.2186,183,5356.99
252.8127,5209.68,51.5071,184,3733.54
249.7156,5023.57,47.1245,185,5095.45
261.1501,5262.58,77.7729,186,5342.1
254.0064,5203.61,55.3317,187,5318.91
265.914,4836.05,69.9785,188,5332.09
253.2359,5301.99,55.2594,189,5428.31
258.9976,4777.46,71.7697,190,5179.67
257.8564,5115.92,61.4642,191,5081.69
258.8769,4971.53,67.5669,192,4456.7
247.1054,5217.93,49.4449,193,5330.04
253.1683,5230.71,52.7716,194,5307.85
252.6872,5188.25,58.5206,195,5375.25
262.3482,5219.61,73.0422,196,5328.51
263.8775,4903.73,58.9037,197,5246.54
256.7411,5171.78,53.1909,198,5322.68
253.8088,5071.02,51.9036,199,4566.57
270.6094,4614.88,88.5062,200,5239.06
262.2832,4914.84,78.5795,201,4705.57
257.4455,4421.97,53.5424,202,5267.89
252.6477,4918.27,50.2336,203,5276.74
252.0341,4516.94,72.2214,204,5284.22
261.327,4945.54,96.5998,205,4853.04
251.3587,4612.53,73.2781,206,5102.29
249.2885,4708.31,48.0843,207,4933.31
249.0941,4822.65,48.7382,208,5126.44
249.1819,4900.58,47.0416,209,5059.38
255.045,4800.73,68.4326,210,4403.9
247.8845,5213.44,47.1456,211,5332.56
247.7092,5096.73,48.7137,212,5369.05
248.2676,5169.93,45.5412,213,5342.56
254.0086,5269.63,62.4157,214,5273.27
251.7618,4259.04,83.2879,215,3695.76
247.6922,4815.32,58.7055,216,4581.94
253.3992,5281.4,52.3323,217,3569.58
254.5627,4255.67,87.9661,218,5180.11
256.8615,3939.28,105.8041,219,3297.42
243.6289,4666.78,59.1501,220,5307.62
245.1538,5238.69,44.2324,221,5373.06
241.3894,5251.16,38.1556,222,4836.77
255.4921,5072.3,88.4153,223,4393.78
248.9667,5105.78,65.7233,224,5120.32
243.3573,4883.29,38.4738,225,5144.18
243.0042,5203.64,37.5164,226,5317.09
245.8546,4983.22,62.0188,227,5332.69
248.017,5137.92,41.5388,228,5236.34
240.109,5163.69,34.3073,229,5199.34
252.2634,4978.45,79.0739,230,5323.84
248.705,4943.02,57.1739,231,5305.77
