Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Itration
15.3978,156.6893,1906.54,2265.73,204
15.2626,156.6837,1906.71,2286.6,205
15.4314,156.7225,1916.71,2261.31,206
15.3073,156.8065,1904.0,2248.18,207
15.3127,156.7213,1907.27,2273.03,208
15.1882,156.6439,1902.46,2257.41,209
15.1569,156.7531,1881.79,2253.73,210
15.2156,156.6988,1899.47,2240.5,211
15.4868,156.7072,1890.78,2267.56,212
15.0128,156.5058,1902.76,2258.98,213
15.1396,156.7726,1892.33,2270.94,214
15.2566,156.6846,1917.85,2263.95,215
15.1284,156.7104,1904.09,2268.38,216
15.1733,156.7769,1884.58,2271.85,217
15.0744,156.6351,1873.92,2256.09,218
14.9417,156.6518,1888.37,2250.45,219
15.0567,156.6808,1896.2,2258.72,220
15.1746,156.6758,1894.56,2276.7,221
15.0179,156.8278,1893.42,2272.15,222
15.1578,156.6743,1898.26,2275.43,223
15.0461,156.744,1911.6,2282.17,224
15.0779,156.7065,1795.82,2250.81,225
15.1479,156.7488,1915.66,2287.8,226
15.1422,156.7162,1922.4,2305.12,227
15.1737,156.6015,1924.53,2307.14,228
15.164,156.7486,1908.57,2274.15,229
15.29,156.755,1926.28,2314.14,230
15.1147,156.7618,1904.34,2285.52,231
15.3562,156.702,1922.89,2291.03,232
15.3563,156.8368,1919.45,2303.27,233
15.2331,156.682,1909.65,2298.14,234
15.1509,156.5902,1926.73,2304.57,235
15.2542,156.655,1936.51,2314.34,236
15.3593,156.6153,1924.71,2310.68,237
15.4374,156.694,1912.41,2309.16,238
15.2639,156.6545,1916.46,2301.38,239
15.2036,156.6284,1887.71,2208.94,240
14.894,156.4713,1787.3,2141.77,241
15.4112,156.6946,1952.56,2327.89,242
14.0706,156.659,1562.84,1869.91,243
15.1212,156.6584,1906.9,2254.68,244
15.4178,156.7498,1934.13,2286.07,245
15.6207,156.6936,1945.43,2353.85,246
15.4078,156.6707,1933.91,2302.69,247
15.3532,156.7153,1928.8,2328.89,248
15.2836,156.8377,1942.08,2308.57,249
15.5282,156.7512,1937.13,2315.34,250
15.5587,156.8115,1921.16,2313.08,251
15.4465,156.7322,1947.41,2311.88,252
15.4522,156.6336,1943.0,2321.48,253
15.3457,156.7137,1952.7,2337.54,254
15.2662,156.6924,1939.72,2323.43,255
15.3473,156.7651,1937.52,2321.42,256
15.4781,156.7757,1930.25,2322.94,257
15.2877,156.7714,1944.59,2319.89,258
15.6285,156.6681,1930.65,2310.43,259
15.4241,156.656,1945.63,2337.93,260
15.373,156.7331,1944.26,2325.3,261
15.3462,156.7491,1954.3,2352.98,262
15.5528,156.7955,1952.2,2345.43,263
15.3785,156.5765,1957.47,2340.21,264
15.4666,156.8505,1950.76,2330.37,265
15.344,156.7118,1942.95,2326.37,266
15.3932,156.6649,1968.65,2344.71,267
15.3642,156.6949,1940.19,2320.69,268
15.3035,156.5957,1959.6,2334.92,269
15.5704,156.7286,1943.84,2345.22,270
15.3474,156.6442,1947.96,2341.53,271
15.2079,156.5897,1931.91,2332.26,272
15.4249,156.666,1959.4,2337.67,273
15.2581,156.7507,1954.66,2333.52,274
15.2627,156.8099,1937.11,2314.22,275
15.2006,156.7306,1948.36,2330.47,276
15.2346,156.636,1933.51,2304.18,277
15.2505,156.5171,1952.7,2324.92,278
15.1828,156.5453,1940.08,2319.3,279
15.3547,156.8559,1913.44,2276.33,280
15.409,156.6569,1929.22,2332.14,281
15.2536,156.587,1907.42,2307.32,282
15.1261,156.7257,1930.36,2300.72,283
15.2546,156.7587,1916.15,2288.69,284
15.1743,156.6928,1914.43,2309.34,285
15.3088,156.6355,1922.05,2296.25,286
15.2478,156.6776,1900.77,2297.48,287
15.3674,156.6713,1924.01,2307.48,288
15.101,156.6986,1919.78,2302.65,289
15.1876,156.725,1920.76,2287.1,290
15.1555,156.6353,1933.31,2288.08,291
15.1853,156.6728,1913.57,2303.35,292
15.2045,156.5809,1927.9,2298.9,293
15.2979,156.6714,1909.98,2311.3,294
15.1154,156.7674,1891.45,2294.57,295
15.0473,156.6122,1900.04,2307.12,296
15.2211,156.6192,1918.05,2306.12,297
15.0997,156.5726,1904.28,2318.01,298
15.0118,156.5857,1899.86,2288.8,299
15.1902,156.6208,1932.52,2302.27,300
15.2439,156.5771,1913.28,2297.2,301
14.9987,156.6776,1884.48,2284.87,302
15.1526,156.5944,1920.55,2292.96,303
15.2729,156.6281,1910.09,2299.99,304
15.1655,156.7409,1901.16,2281.87,305
15.0658,156.5616,1900.83,2307.31,306
15.0901,156.6134,1914.06,2292.98,307
15.0676,156.6596,1902.22,2301.62,308
14.9687,156.5298,1885.5,2299.7,309
15.0728,156.5507,1910.75,2262.73,310
15.0754,156.6005,1917.67,2304.18,311
15.1334,156.6005,1891.5,2281.11,312
14.9555,156.505,1909.35,2284.7,313
15.088,156.528,1910.62,2300.55,314
14.9894,156.4803,1911.04,2270.19,315
15.0909,156.7137,1904.07,2274.68,316
15.1588,156.5458,1924.09,2175.28,317
15.1759,156.7621,1942.53,2271.84,318
15.2194,156.4371,1929.11,2271.25,319
15.0254,156.5581,1929.73,2282.92,320
15.3336,156.596,1966.97,2292.52,321
15.2585,156.4621,1953.07,2310.64,322
15.2992,156.6212,1943.93,2049.3,323
14.8561,156.6182,1639.47,1746.57,324
15.2442,156.6094,1890.12,2272.56,325
15.1279,156.5466,1908.92,2243.94,326
15.0151,156.6785,1911.78,2284.07,327
15.0248,156.5338,1932.69,2283.27,328
15.213,156.5445,1940.32,2303.48,329
15.0924,156.6685,1879.33,2082.48,330
15.4366,156.7593,1919.79,2274.18,331
15.1646,156.7611,1897.17,2247.22,332
15.3508,156.6017,1915.42,2285.21,333
15.1925,156.7106,1902.94,2264.59,334
15.2363,156.7455,1950.91,2315.72,335
15.3783,156.405,1952.48,2301.67,336
15.2809,156.7839,1944.82,2315.42,337
15.4291,156.8524,1966.36,2306.68,338
15.2621,156.451,1955.56,2326.97,339
15.3104,156.6373,1941.33,2311.27,340
15.4979,156.5361,1949.23,2296.45,341
15.4169,156.5793,1963.31,2326.33,342
15.4165,156.798,1948.33,2320.04,343
15.4436,156.7242,1951.41,2322.67,344
15.4572,156.8459,1945.63,2317.5,345
15.4413,156.7682,1946.56,2298.73,346
15.4287,156.6635,1965.8,2313.86,347
15.188,156.7209,1959.84,2312.96,348
15.5566,156.792,1955.21,2307.19,349
15.109,156.5791,1945.4,2297.34,350
15.2639,156.5557,1933.09,2302.88,351
15.3746,156.8039,1953.38,2306.3,352
15.2393,156.5192,1947.0,2301.53,353
15.068,156.6681,1925.76,2301.53,354
15.0612,156.6166,1923.27,2294.26,355
14.9257,156.5519,1905.35,2256.19,356
14.9681,156.455,1931.97,2285.66,357
14.9438,156.3813,1894.15,2273.37,358
15.0457,156.5671,1934.49,2300.21,359
14.9599,156.5441,1912.3,2279.6,360
14.8593,156.4978,1918.12,2290.38,361
14.914,156.4708,1927.74,2279.5,362
15.0265,156.5154,1927.34,2307.1,363
14.9274,156.6747,1914.58,2298.91,364
14.911,156.5864,1917.3,2290.92,365
15.1749,156.5497,1947.9,2311.46,366
14.9859,156.4868,1925.55,2283.42,367
15.0238,156.5676,1949.58,2291.01,368
15.0842,156.549,1954.96,2317.44,369
15.1279,156.6267,1955.09,2317.13,370
15.2286,156.6323,1985.97,2342.0,371
15.1029,156.5525,1967.67,2324.75,372
15.2599,156.53,1954.96,2308.07,373
15.1523,156.6867,1970.89,2331.51,374
15.1523,156.5854,1945.1,2325.32,375
15.2243,156.5469,1957.58,2314.29,376
15.1937,156.6873,1961.51,2308.03,377
15.2591,156.5073,1977.71,2331.64,378
15.0509,156.4703,1946.55,2313.53,379
15.1162,156.5301,1950.62,2312.25,380
15.1444,156.5733,1986.51,2340.46,381
15.0786,156.6172,1973.73,2325.46,382
14.9954,156.5924,1956.96,2317.9,383
15.1651,156.6321,1964.0,2324.36,384
15.0311,156.4345,1972.16,2340.22,385
15.1448,156.5644,1984.38,2319.49,386
15.1333,156.5956,1966.76,2326.47,387
15.0061,156.5242,1956.53,2317.81,388
15.1056,156.5089,1948.36,2312.09,389
14.9351,156.417,1924.96,2310.6,390
14.9826,156.5165,1969.62,2318.76,391
15.0609,156.6622,1942.23,2318.58,392
14.9241,156.6064,1969.4,2345.27,393
15.0333,156.5205,1955.58,2341.94,394
14.8081,156.5357,1945.62,2333.73,395
14.9414,156.493,1954.03,2335.9,396
14.8384,156.4846,1950.84,2330.7,397
15.0121,156.5675,1949.03,2345.55,398
15.0732,156.535,1952.76,2332.19,399
14.9984,156.5209,1945.72,2318.51,400
14.9417,156.6038,1954.01,2336.8,401
15.0888,156.6057,1939.04,2331.48,402
