Running Forward KL,Running Update Time,Running Reverse KL,Running Env Steps,Real Det Return,Real Sto Return,Itration,Reward Loss
23.0651,31,42.2257,155000,1233.92,1141.61,31,-956.6470336914062
22.8255,32,40.5301,160000,1443.27,1415.37,32,-977.4757080078125
23.1728,33,45.869,165000,967.13,1318.11,33,-1006.6332397460938
22.9533,34,35.6324,170000,2544.98,1420.62,34,-909.6787719726562
23.0876,35,49.905,175000,1350.49,1023.98,35,-1085.853759765625
23.6113,36,52.395,180000,3012.4,1359.21,36,-973.7324829101562
23.2255,37,47.7991,185000,1787.69,1010.61,37,-1275.3955078125
23.432,38,41.1257,190000,1926.64,1178.24,38,-1185.29833984375
23.1976,39,36.0164,195000,3063.17,1721.79,39,-1160.26171875
22.444,40,38.6861,200000,1677.57,1126.2,40,-1317.649658203125
23.1796,41,42.3707,205000,1069.33,976.08,41,-1333.576904296875
22.4623,42,33.2041,210000,1725.5,1202.98,42,-1209.2381591796875
22.3209,43,38.8719,215000,1334.97,1488.98,43,-1252.080322265625
23.1828,44,28.1436,220000,3113.2,1361.65,44,-1127.570556640625
22.5144,45,28.9081,225000,3163.19,1587.38,45,-1119.7794189453125
22.1723,46,23.0453,230000,3211.89,2115.36,46,-1158.9095458984375
22.2905,47,30.022,235000,999.78,1125.18,47,-1505.3720703125
22.6231,48,18.962,240000,3165.5,2427.4,48,-757.118896484375
23.2091,49,31.9524,245000,2786.62,1690.91,49,-1616.69091796875
23.1777,50,27.827,250000,3096.59,1710.31,50,-1446.0849609375
23.2099,51,42.2598,255000,1023.27,1020.03,51,-1967.8240966796875
22.3177,52,14.2071,260000,3221.92,2651.84,52,-328.4092712402344
22.3344,53,21.898,265000,3213.43,2012.31,53,-775.2532958984375
22.0485,54,23.1945,270000,3283.33,2451.07,54,-918.9010009765625
21.8805,55,22.3545,275000,3247.42,3252.58,55,-305.4753112792969
21.4093,56,16.1781,280000,3266.45,2818.35,56,-534.0523681640625
21.7765,57,13.0008,285000,3340.83,3055.13,57,-115.7485122680664
22.0831,58,18.2895,290000,3283.95,2851.66,58,-580.4281616210938
22.9185,59,12.9764,295000,3252.52,3266.5,59,-178.72171020507812
22.5502,60,17.0983,300000,3283.17,2950.72,60,-591.90625
21.9251,61,22.8768,305000,2159.6,2385.67,61,-1229.6834716796875
22.4089,62,13.9903,310000,3305.43,2863.83,62,-533.0982666015625
22.0635,63,15.2804,315000,3304.56,3286.86,63,-380.95294189453125
20.6533,64,15.1227,320000,3349.32,2993.96,64,-361.8304138183594
21.5526,65,12.924,325000,3334.47,3330.54,65,-131.00845336914062
21.8671,66,19.3326,330000,968.36,2187.54,66,-1094.5675048828125
21.0352,67,20.3965,335000,3371.57,2116.9,67,-575.163818359375
21.1616,68,23.1985,340000,1018.51,2292.41,68,-1264.2275390625
20.5004,69,20.9431,345000,3392.48,2558.7,69,-503.39447021484375
21.6661,70,14.333,350000,3355.93,3331.85,70,-192.2471923828125
21.3742,71,17.7746,355000,3399.09,2711.96,71,-843.0487670898438
20.542,72,20.4667,360000,3384.41,3034.51,72,-1069.7030029296875
20.7854,73,17.7267,365000,3360.25,2824.81,73,-696.9998168945312
19.9709,74,15.3016,370000,3414.39,3158.11,74,-403.3509826660156
19.9058,75,12.6205,375000,3415.98,3399.24,75,-104.31976318359375
20.9009,76,15.116,380000,3403.24,2727.24,76,-640.1668701171875
20.0311,77,11.7735,385000,3402.51,3360.73,77,-185.5449676513672
20.7373,78,13.2371,390000,3436.45,3423.28,78,-165.03207397460938
20.8122,79,17.8092,395000,3449.37,3432.96,79,-318.6230163574219
20.7214,80,13.0126,400000,3398.01,3374.42,80,-214.49972534179688
19.8408,81,12.8978,405000,3445.76,3428.64,81,-150.3146514892578
19.6435,82,12.7199,410000,3442.74,3423.45,82,-141.01014709472656
19.8134,83,12.8066,415000,3419.06,3409.39,83,-179.7414093017578
20.4591,84,12.9925,420000,3408.2,3386.3,84,-211.45533752441406
19.9389,85,13.14,425000,3446.45,3420.08,85,-154.53030395507812
20.2979,86,13.3518,430000,3422.19,3401.34,86,-201.08990478515625
19.642,87,12.713,435000,3418.42,3398.41,87,-193.89569091796875
19.9912,88,13.045,440000,3461.34,3426.67,88,-164.62911987304688
20.0428,89,12.6759,445000,3461.12,3433.62,89,-175.82606506347656
20.044,90,13.0407,450000,3443.72,3420.03,90,-150.1953887939453
20.5468,91,14.3825,455000,3467.45,3454.17,91,-375.58551025390625
20.055,92,12.8333,460000,3453.07,3429.3,92,-187.3665008544922
20.205,93,12.7453,465000,3447.43,3277.18,93,-263.7054443359375
19.6762,94,12.5348,470000,3461.66,3430.54,94,-197.0825958251953
20.5763,95,13.4609,475000,3423.01,3408.33,95,-260.05059814453125
18.1338,96,11.8299,480000,3416.87,3395.69,96,-286.4317321777344
20.7393,97,13.3204,485000,3453.07,3398.08,97,-215.9032745361328
20.7518,98,12.6399,490000,3467.34,3056.34,98,-247.35861206054688
21.2911,99,14.3006,495000,3455.64,3424.38,99,-260.441162109375
21.2487,100,13.481,500000,3406.02,3378.82,100,-305.20001220703125
19.9646,101,12.747,505000,3442.47,3408.19,101,-236.27159118652344
19.5763,102,12.5234,510000,3457.52,3430.19,102,-211.0425567626953
20.9552,103,13.7925,515000,3447.6,3412.47,103,-276.092529296875
19.8864,104,12.7313,520000,3469.64,3447.31,104,-224.05569458007812
19.5628,105,12.6825,525000,3437.44,3402.92,105,-268.6164855957031
20.2768,106,12.3604,530000,3449.89,3430.0,106,-278.81298828125
20.0301,107,12.7937,535000,3456.0,3431.46,107,-256.8907775878906
20.138,108,12.9971,540000,3451.96,3422.07,108,-269.3447265625
19.5794,109,12.4715,545000,3468.61,3445.31,109,-249.36590576171875
19.2167,110,12.0095,550000,3481.49,3453.39,110,-254.85186767578125
19.3282,111,11.9166,555000,3463.35,3433.08,111,-261.6256103515625
20.0275,112,12.8188,560000,3479.57,3450.3,112,-265.6658630371094
19.5761,113,12.2247,565000,3463.84,3435.36,113,-280.7020568847656
18.9539,114,12.3872,570000,3485.36,3464.0,114,-235.73800659179688
19.1662,115,11.7778,575000,3486.21,3456.76,115,-230.5259246826172
19.4438,116,12.1204,580000,3478.79,3448.37,116,-275.2787170410156
18.722,117,11.5153,585000,3470.11,3438.77,117,-276.8481140136719
19.5567,118,11.6635,590000,3493.7,3272.62,118,-285.8451232910156
19.6022,119,12.2213,595000,3485.49,3458.31,119,-296.5376892089844
18.8465,120,10.8573,600000,3470.26,3431.81,120,-264.7781982421875
19.1546,121,12.0816,605000,3470.51,3435.93,121,-310.80511474609375
18.8776,122,11.5892,610000,3467.8,3430.08,122,-285.32745361328125
18.8127,123,11.1957,615000,3477.14,3442.26,123,-286.12445068359375
18.6835,124,10.9444,620000,3471.52,3207.28,124,-262.91326904296875
17.9679,125,10.8746,625000,3479.76,3455.37,125,-274.3165588378906
18.2792,126,10.6915,630000,3478.42,3446.17,126,-312.40350341796875
18.6403,127,11.2281,635000,3471.87,3421.5,127,-334.5043029785156
21.6413,128,15.4908,640000,3483.14,3464.62,128,-436.1913757324219
22.098,129,13.5481,645000,165.4,166.68,129,-466.7077941894531
21.578,130,18.5249,650000,886.38,973.0,130,-1900.9031982421875
20.2138,131,13.3937,655000,3213.23,878.81,131,-375.81439208984375
20.1805,132,13.2064,660000,3220.78,3268.66,132,-471.0739440917969
20.1855,133,13.336,665000,3388.77,3365.68,133,-445.1844177246094
20.1299,134,13.4433,670000,3447.69,3424.64,134,-402.8939208984375
19.1405,135,12.275,675000,3454.09,3417.15,135,-358.1498107910156
19.3716,136,11.6985,680000,3464.64,3338.28,136,-351.4314880371094
19.4518,137,11.8397,685000,3466.13,3344.32,137,-371.28546142578125
19.675,138,12.1294,690000,3466.56,3424.26,138,-410.9165954589844
19.7411,139,12.2248,695000,3444.16,3405.69,139,-447.9593811035156
18.9174,140,10.8227,700000,3448.6,3412.99,140,-393.17938232421875
19.3675,141,11.6246,705000,3476.23,3446.03,141,-437.9735412597656
18.7113,142,11.4944,710000,3470.94,3444.22,142,-405.7691345214844
18.9799,143,11.9118,715000,3489.25,3448.83,143,-394.3215637207031
19.018,144,11.4193,720000,3469.72,3435.87,144,-424.91424560546875
19.3091,145,11.4634,725000,3474.66,3459.64,145,-378.4912414550781
18.8488,146,11.5209,730000,3442.28,3400.98,146,-435.7951354980469
18.7624,147,11.4399,735000,3454.92,3427.18,147,-415.3817443847656
19.3426,148,12.2464,740000,3472.25,3446.23,148,-426.22674560546875
18.6514,149,11.4128,745000,3480.65,3441.89,149,-391.09417724609375
18.487,150,10.8852,750000,3482.08,3454.61,150,-346.5360412597656
18.9467,151,11.6179,755000,3476.04,3445.13,151,-427.153076171875
19.3431,152,11.9889,760000,3480.79,3449.39,152,-446.32421875
18.9378,153,11.3949,765000,3493.82,3462.62,153,-369.7808532714844
19.0305,154,11.9641,770000,3486.17,3458.84,154,-446.728759765625
18.5778,155,10.608,775000,3477.68,3441.82,155,-438.707763671875
18.7005,156,11.6215,780000,3474.84,3446.24,156,-401.05841064453125
18.2366,157,10.8366,785000,3472.27,3446.5,157,-378.7908020019531
18.4409,158,11.8953,790000,3492.31,3280.59,158,-448.494384765625
18.5637,159,11.7164,795000,3497.54,3464.58,159,-435.7614440917969
18.2873,160,10.6379,800000,3488.49,3450.87,160,-476.1728820800781
18.7132,161,11.518,805000,3489.4,3464.16,161,-410.8506774902344
18.7375,162,11.728,810000,3486.22,3455.87,162,-368.2015380859375
19.1273,163,12.0544,815000,3484.36,3444.75,163,-506.0099182128906
19.0402,164,11.9131,820000,3497.42,3367.19,164,-440.6150207519531
19.0497,165,11.9674,825000,3493.23,3331.89,165,-441.83026123046875
19.3771,166,11.9437,830000,3502.31,3465.23,166,-366.3448181152344
19.077,167,12.1522,835000,3498.22,3473.71,167,-473.0155334472656
18.9899,168,11.5231,840000,3473.33,3351.62,168,-467.213623046875
18.666,169,11.5594,845000,3483.95,3456.65,169,-431.0818786621094
19.0841,170,11.3688,850000,3500.12,3472.99,170,-419.03619384765625
19.2288,171,12.1215,855000,3509.93,3478.25,171,-484.90057373046875
18.7316,172,11.6328,860000,3497.73,3468.89,172,-521.9976196289062
18.734,173,11.5906,865000,3484.34,3367.26,173,-464.19744873046875
18.6738,174,11.5837,870000,3485.11,3458.28,174,-457.57000732421875
18.8724,175,11.9877,875000,3504.47,3459.09,175,-469.799072265625
18.2913,176,11.4195,880000,3479.5,3444.97,176,-491.7657470703125
18.5087,177,11.8272,885000,3490.38,3461.74,177,-534.3168334960938
18.1192,178,11.1094,890000,3528.29,3504.3,178,-456.0976867675781
19.1133,179,11.508,895000,3497.66,3470.12,179,-589.6685180664062
18.2216,180,11.4225,900000,3504.19,3469.94,180,-500.8298645019531
18.0605,181,11.0273,905000,3505.37,3305.36,181,-433.13836669921875
18.1546,182,11.2272,910000,3500.8,3466.6,182,-520.4617919921875
17.9389,183,10.715,915000,3520.78,3300.21,183,-373.6540832519531
18.9038,184,11.9014,920000,3508.65,3475.75,184,-495.5337219238281
18.6823,185,11.516,925000,3509.72,3482.54,185,-500.50225830078125
18.4633,186,10.9544,930000,3496.77,3455.95,186,-519.3727416992188
18.8817,187,11.3172,935000,3497.26,3195.51,187,-582.5121459960938
18.2852,188,10.7376,940000,3517.15,3338.83,188,-482.01605224609375
18.855,189,11.7276,945000,3490.94,3459.71,189,-559.58251953125
18.5793,190,11.7065,950000,3501.41,3470.03,190,-521.2431030273438
18.5041,191,11.3685,955000,3504.02,3477.97,191,-573.7591552734375
18.1379,192,11.4579,960000,3506.15,3471.76,192,-551.2291870117188
19.3634,193,12.2632,965000,3491.88,3456.52,193,-632.0889892578125
18.8279,194,11.403,970000,3504.94,3449.1,194,-555.955078125
18.8427,195,11.4599,975000,3497.67,3464.24,195,-601.8078002929688
18.836,196,11.2277,980000,3498.06,3471.97,196,-509.8968200683594
18.7007,197,11.4367,985000,3512.93,3404.45,197,-534.2435302734375
17.8326,198,11.0078,990000,3505.99,3467.45,198,-554.113037109375
18.5788,199,11.2433,995000,3506.01,3328.32,199,-599.7406616210938
