Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL
560000,26.9045,112,112,3087.03,-1164.93701171875,3282.4,19.8123
565000,25.6472,113,113,3188.47,-1136.28173828125,3271.5,18.8904
570000,26.0009,114,114,3115.66,-1179.85693359375,3283.61,18.1006
575000,25.8855,115,115,2772.52,-1489.3389892578125,3343.68,21.8861
580000,25.9458,116,116,3257.91,-1339.15087890625,3268.72,20.4296
585000,25.8352,117,117,2714.43,-1503.2327880859375,3329.28,21.322
590000,25.2348,118,118,2586.21,-1311.013671875,3294.23,19.2793
595000,25.3243,119,119,3216.25,-1396.5216064453125,3297.71,20.2711
600000,25.6415,120,120,3142.54,-1393.81201171875,3313.38,19.3997
605000,25.7108,121,121,2613.7,-1767.625732421875,3336.81,24.2914
610000,25.9813,122,122,2712.61,-1609.330810546875,3322.3,23.399
615000,25.8114,123,123,3184.6,-1295.0704345703125,3297.57,19.1122
620000,25.4649,124,124,3282.57,-1290.6278076171875,3306.47,18.2893
625000,25.1476,125,125,3285.58,-1498.978759765625,3281.61,19.7499
630000,25.7386,126,126,2678.27,-1478.2086181640625,3347.22,20.2573
635000,25.5016,127,127,3195.79,-1513.4329833984375,3284.61,20.0776
640000,26.5023,128,128,2866.3,-1768.05859375,3337.98,22.7649
645000,26.5616,129,129,2457.8,-1630.1480712890625,3332.02,20.8388
650000,26.1288,130,130,3108.09,-1493.71484375,3312.5,18.8609
655000,24.9255,131,131,2892.26,-1598.9248046875,3344.18,19.5193
660000,24.9066,132,132,3294.61,-1460.5640869140625,3283.46,18.0419
665000,25.4345,133,133,3084.13,-1410.328857421875,3216.66,18.5113
670000,25.7578,134,134,3068.9,-1692.7020263671875,3341.51,18.8708
675000,25.8184,135,135,2328.79,-1993.712890625,3316.26,18.553
680000,26.0437,136,136,3253.12,-1610.0208740234375,3287.59,18.3229
685000,24.8819,137,137,3091.9,-1633.9949951171875,3327.55,17.3656
690000,25.15,138,138,3097.01,-1620.28564453125,3306.48,17.051
695000,26.1774,139,139,2800.43,-1655.1689453125,3318.9,18.1106
700000,25.3781,140,140,3226.77,-1818.4422607421875,3296.62,19.3306
705000,25.0415,141,141,2899.16,-1739.6474609375,3319.6,17.9803
710000,25.5035,142,142,2986.07,-1665.542236328125,3336.34,17.9363
715000,25.525,143,143,2405.83,-2006.2257080078125,3308.49,22.5789
720000,25.4045,144,144,2725.18,-1722.399169921875,3323.37,17.0914
725000,25.3822,145,145,2730.5,-1834.039306640625,3300.79,19.4845
730000,25.9918,146,146,3309.71,-1776.0882568359375,3314.28,18.8257
735000,26.3004,147,147,3252.01,-1816.274658203125,3256.22,18.4481
740000,25.4591,148,148,2554.65,-2252.885498046875,3312.16,24.9064
745000,25.4877,149,149,3008.36,-1846.287841796875,3324.01,18.9884
750000,24.9585,150,150,2818.29,-1976.113525390625,3289.53,22.5658
755000,25.6777,151,151,3190.56,-1887.8795166015625,3282.67,18.8626
760000,25.2283,152,152,3094.06,-1933.4588623046875,3296.15,19.132
765000,25.2024,153,153,2861.55,-1827.5438232421875,3293.83,18.1968
770000,25.7169,154,154,3031.42,-2024.8363037109375,3285.79,19.2735
775000,25.5129,155,155,2571.33,-1982.852783203125,3312.08,17.7677
780000,25.9457,156,156,2580.88,-2106.25341796875,3343.7,20.0959
785000,25.3209,157,157,1989.28,-2414.10205078125,3329.59,24.1851
790000,27.0177,158,158,1777.3,-2597.361328125,3349.68,28.6224
795000,26.9913,159,159,2184.33,-2622.701171875,3296.4,23.0526
800000,25.3265,160,160,2505.36,-1971.303955078125,3319.78,17.9837
805000,25.5373,161,161,2859.71,-2022.92431640625,3345.15,18.1181
810000,25.276,162,162,2342.93,-2170.87890625,3321.09,17.5478
815000,25.0808,163,163,2519.03,-2112.305419921875,3315.32,16.0119
820000,24.9515,164,164,2897.51,-2118.76806640625,3293.83,16.3998
825000,24.8717,165,165,2702.76,-2147.505859375,3301.71,15.408
830000,25.5444,166,166,2489.63,-2281.4912109375,3342.4,15.6814
835000,25.1196,167,167,2753.02,-2200.116943359375,3343.73,15.7158
840000,25.2936,168,168,3064.2,-2161.489013671875,3318.47,16.7534
845000,24.915,169,169,2845.62,-2223.4775390625,3328.67,16.045
850000,25.5892,170,170,1821.82,-2224.369140625,3316.26,15.0541
855000,25.785,171,171,2173.15,-2407.591064453125,3313.1,15.7293
860000,25.905,172,172,2132.82,-2701.30615234375,3364.51,24.4139
865000,25.0807,173,173,2210.45,-2425.13525390625,3366.77,16.2317
870000,25.423,174,174,2601.64,-2277.134033203125,3338.3,16.9162
875000,25.7381,175,175,3240.02,-2387.19677734375,3329.95,18.135
880000,25.1461,176,176,2771.04,-2496.381591796875,3334.53,16.1828
885000,25.4471,177,177,2616.68,-2221.616455078125,3338.09,15.4021
890000,25.8305,178,178,2225.68,-2370.22705078125,3360.59,15.475
895000,25.4755,179,179,2262.15,-2291.76318359375,3367.91,14.1663
900000,25.5617,180,180,1923.3,-2412.945068359375,3360.11,14.4435
905000,24.8506,181,181,3268.87,-2346.9189453125,3323.22,16.9741
910000,25.7238,182,182,1931.82,-2324.173095703125,3192.59,13.7475
915000,25.2249,183,183,2368.89,-2512.39990234375,3358.0,15.7701
920000,25.1678,184,184,2238.61,-2490.179931640625,3363.05,14.4156
925000,24.9611,185,185,3054.76,-2437.210205078125,3256.63,16.431
930000,24.6819,186,186,2892.05,-2528.7802734375,3346.85,16.7331
935000,25.9084,187,187,2431.81,-2554.291015625,3350.22,15.7519
940000,25.6074,188,188,1748.17,-2668.7412109375,3346.73,13.8283
945000,25.7395,189,189,3029.19,-2507.50927734375,3339.09,15.6609
950000,24.9334,190,190,2772.19,-2476.642333984375,3348.1,15.1623
955000,26.0566,191,191,2054.9,-2648.08447265625,3361.55,14.6101
960000,25.6508,192,192,2638.03,-2581.9697265625,3366.07,16.8633
965000,24.8485,193,193,2580.2,-2594.919921875,3333.39,16.4538
970000,25.8888,194,194,1991.15,-2651.833984375,3361.13,13.5192
975000,25.2817,195,195,3001.6,-2777.8974609375,3332.17,16.8196
980000,25.1708,196,196,2912.58,-2693.89111328125,3338.69,17.8275
985000,25.0858,197,197,2517.66,-2700.42138671875,3334.92,15.5079
990000,24.9908,198,198,3310.22,-2799.22216796875,3304.65,18.5172
995000,25.3393,199,199,2981.25,-2888.988525390625,3342.66,15.7051
