Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Update Time,Running Env Steps,Itration
17.4957,-1760.1357421875,2045.37,20.577,3470.37,127,635000,127
15.7011,-1667.1746826171875,2031.97,20.8661,3560.51,128,640000,128
10.7304,-566.6273193359375,2386.88,18.4258,1963.86,129,645000,129
20.6848,-2587.06640625,1516.9,24.1515,1963.07,130,650000,130
16.8147,-1895.708984375,2031.25,21.3126,2326.73,131,655000,131
17.5587,-2280.4892578125,1443.6,22.5903,2028.89,132,660000,132
16.1234,-1958.06396484375,2056.69,21.4228,3146.95,133,665000,133
18.571,-2416.544921875,1487.45,22.5893,3207.81,134,670000,134
13.6472,-1248.2449951171875,2505.6,20.5424,3482.23,135,675000,135
14.3072,-1574.9013671875,2376.91,20.6795,3474.5,136,680000,136
14.5289,-1570.162841796875,2956.88,20.6923,3491.34,137,685000,137
12.5021,-555.41162109375,3076.57,20.0233,3478.51,138,690000,138
12.1502,-897.6142578125,3138.24,19.6822,3460.6,139,695000,139
20.7948,-2650.517578125,1788.67,21.192,3305.73,140,700000,140
15.8976,-1692.965576171875,2571.19,20.4023,3492.89,141,705000,141
20.4777,-2863.507080078125,1685.19,21.7546,3181.66,142,710000,142
23.9845,-2269.993408203125,2020.2,20.9536,2814.48,143,715000,143
20.1905,-2002.00439453125,2297.7,20.2357,3396.38,144,720000,144
17.0039,-2285.456298828125,2442.65,21.793,3496.49,145,725000,145
14.5907,-1723.550048828125,2551.9,20.193,3452.53,146,730000,146
14.975,-1446.217041015625,2142.74,20.6327,3462.46,147,735000,147
14.6286,-1003.5919189453125,3334.15,19.8451,3452.99,148,740000,148
16.0633,-1842.12744140625,2120.45,20.7907,3430.51,149,745000,149
14.4085,-2123.244384765625,2068.96,20.5366,3460.3,150,750000,150
18.4514,-2722.258544921875,2550.39,21.1711,3453.36,151,755000,151
12.7388,-1278.224365234375,2376.18,19.4472,3447.82,152,760000,152
14.2999,-1197.5797119140625,3199.77,19.4375,3468.74,153,765000,153
15.6943,-2888.927490234375,2086.12,21.3921,3083.37,154,770000,154
16.1026,-2274.16748046875,2377.18,20.4793,3502.77,155,775000,155
12.6491,-914.9977416992188,3064.04,19.8015,3484.59,156,780000,156
14.4844,-1435.101318359375,2743.78,19.7502,3448.02,157,785000,157
14.0643,-1860.95751953125,2296.23,20.5086,3480.92,158,790000,158
13.4152,-1630.388427734375,3044.38,19.2737,3456.15,159,795000,159
11.0086,-632.3386840820312,3143.13,18.1421,3449.47,160,800000,160
22.2712,-2901.980224609375,2246.67,20.3622,3503.75,161,805000,161
11.488,-769.2301635742188,3002.45,18.5031,3463.85,162,810000,162
11.3716,-607.6578979492188,3381.34,18.1291,3429.94,163,815000,163
14.2278,-1671.6759033203125,2623.59,19.4354,3451.54,164,820000,164
14.8762,-1948.0035400390625,2493.77,19.2323,3462.11,165,825000,165
14.2937,-1794.987548828125,3008.81,18.6334,3453.82,166,830000,166
14.3679,-1168.6444091796875,2897.63,18.5224,3480.33,167,835000,167
14.4913,-1977.749267578125,2242.7,20.5222,3441.86,168,840000,168
14.563,-1881.747802734375,2553.55,20.483,3503.78,169,845000,169
14.0129,-1697.324462890625,2434.09,19.9175,3516.58,170,850000,170
12.4635,-1469.5751953125,2712.43,18.7645,3459.38,171,855000,171
12.7167,-1628.7801513671875,3010.63,18.9149,3447.12,172,860000,172
13.0217,-1316.8212890625,3164.24,19.5565,3446.6,173,865000,173
13.6643,-2006.9761962890625,2631.92,20.9458,3460.2,174,870000,174
12.3644,-1314.0977783203125,2845.57,18.1779,3454.46,175,875000,175
14.8612,-2245.107421875,2548.65,20.4416,3480.39,176,880000,176
14.5244,-1921.0364990234375,2286.63,19.755,3495.94,177,885000,177
15.1553,-2192.294189453125,2438.71,19.191,3444.07,178,890000,178
14.5529,-1301.6865234375,2793.53,18.8476,3468.89,179,895000,179
15.2752,-2248.770751953125,2839.98,19.5615,3515.06,180,900000,180
14.0644,-1874.5106201171875,3003.35,18.9032,3434.89,181,905000,181
11.273,-569.4942626953125,3383.71,17.1951,3470.2,182,910000,182
14.7047,-1905.620849609375,2774.43,19.3312,3450.18,183,915000,183
11.3187,-609.8466186523438,3253.89,17.4035,3484.38,184,920000,184
14.0605,-1905.5001220703125,2934.92,19.7149,3494.73,185,925000,185
11.898,-833.1856079101562,3370.1,17.7771,3473.64,186,930000,186
12.4284,-1114.4169921875,3170.45,18.3358,3480.97,187,935000,187
16.1452,-2569.430419921875,2711.72,20.2951,3489.6,188,940000,188
12.0971,-1052.285400390625,3228.47,19.5951,3470.58,189,945000,189
12.6581,-1666.6829833984375,2832.63,18.8825,3472.32,190,950000,190
11.378,-861.2967529296875,3309.12,18.7159,3435.39,191,955000,191
11.602,-798.4862060546875,3423.59,18.9868,3452.37,192,960000,192
14.0239,-1958.5994873046875,2918.79,20.3166,3463.14,193,965000,193
11.0703,-956.6235961914062,3344.81,18.1125,3452.45,194,970000,194
16.3494,-2919.664306640625,2420.73,20.8668,3514.82,195,975000,195
11.3894,-1027.8392333984375,3321.06,18.1627,3452.97,196,980000,196
11.9119,-1273.1065673828125,3286.49,18.731,3451.74,197,985000,197
12.1902,-1080.0262451171875,3411.56,18.8008,3457.35,198,990000,198
12.709,-1315.6263427734375,3187.86,18.2148,3465.63,199,995000,199
