Itration,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
166,94.1141,10.61,8.39,40.4668
167,47.2097,986.61,986.6,45.6438
168,47.9387,1005.84,1006.23,45.2882
169,41.1691,1039.3,1039.86,42.4497
170,39.574,1038.05,1038.12,42.3301
171,37.1516,669.56,673.98,40.0632
172,53.989,618.84,619.78,40.3463
173,33.6532,322.26,321.16,42.3692
174,33.2006,464.16,455.02,44.5918
175,51.6426,379.5,384.66,41.0486
176,48.1155,309.25,310.62,40.8153
177,25.249,680.03,713.86,38.7073
178,44.9341,986.99,986.78,45.9977
179,43.7857,980.88,980.54,43.6229
180,44.2274,984.0,984.1,43.9814
181,40.7249,982.47,982.12,45.6298
182,38.9477,981.43,981.31,45.1042
183,34.8971,1007.88,1006.09,45.5503
184,50.4324,350.09,346.46,46.1602
185,36.5195,986.72,987.29,44.8701
186,57.5725,979.49,979.78,44.7725
187,34.5358,1008.27,1009.95,43.2602
188,45.4456,1014.96,1014.22,44.3704
189,31.2937,219.4,158.68,38.6866
190,22.7169,287.93,276.84,38.0471
191,32.762,1043.12,1041.92,43.8452
192,36.576,1032.96,1033.14,42.8073
193,36.9023,1046.62,1048.56,42.7745
194,31.6716,992.2,992.02,45.9814
195,49.2017,991.1,990.51,45.5532
196,101.0247,237.08,255.39,44.7322
197,32.9402,121.93,121.81,41.4273
198,18.6645,468.68,478.18,38.6144
199,31.7286,573.25,122.77,44.3303
