Running Update Time,Real Sto Return,Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Itration,Real Det Return
37,2278.3,-368.07769775390625,185000,16.2016,22.3872,37,3119.04
38,2344.34,-370.2151184082031,190000,14.7089,22.5222,38,3026.79
39,2878.92,-346.8398132324219,195000,13.8321,22.744,39,3150.66
40,2124.65,-364.0528259277344,200000,13.7229,22.0684,40,3106.39
41,2500.29,-379.5193786621094,205000,14.0316,22.1923,41,3096.15
42,2276.04,-426.18450927734375,210000,21.5442,22.3698,42,2925.43
43,3043.51,-464.6369323730469,215000,13.9802,22.9649,43,2991.74
44,2664.9,-423.69378662109375,220000,17.1014,22.819,44,3118.69
45,2450.77,-448.74224853515625,225000,18.5472,22.9306,45,3071.06
46,2963.49,-488.4385070800781,230000,21.1329,22.955,46,3136.22
47,3109.8,-471.468505859375,235000,16.3966,22.3105,47,3099.0
48,2808.45,-463.3034973144531,240000,13.0223,22.202,48,3123.65
49,2508.63,-478.1641845703125,245000,13.7944,22.4571,49,3134.3
50,3138.06,-494.5694274902344,250000,14.3295,22.4689,50,3121.21
51,3035.76,-499.6590881347656,255000,14.083,22.4287,51,3133.59
52,2650.53,-535.0982055664062,260000,14.0878,22.4144,52,3111.25
53,2589.05,-576.6918334960938,265000,13.1754,22.1132,53,3072.06
54,2847.96,-546.34326171875,270000,15.3132,22.2259,54,3126.27
55,2941.21,-564.6648559570312,275000,14.9131,22.1827,55,3139.3
56,3140.0,-551.1925659179688,280000,13.847,21.9675,56,3123.28
57,1843.93,-548.3358154296875,285000,13.5563,21.8372,57,3158.27
58,2964.04,-595.2880249023438,290000,13.1996,22.2169,58,3105.66
59,2951.21,-603.7740478515625,295000,14.6942,21.9186,59,3174.01
60,2302.56,-605.5305786132812,300000,12.8684,21.6204,60,3190.42
61,2995.38,-607.4089965820312,305000,13.2771,21.64,61,3125.77
62,2017.91,-633.955810546875,310000,13.2751,21.6384,62,3090.71
63,3145.16,-651.4485473632812,315000,18.1779,22.0138,63,3119.61
64,3138.58,-623.5518798828125,320000,12.3735,21.2769,64,3139.48
65,3061.71,-666.4209594726562,325000,13.6988,22.1911,65,3101.13
66,3113.58,-661.7350463867188,330000,13.2727,21.7129,66,3126.03
67,3023.5,-648.4349975585938,335000,12.2772,21.312,67,3162.35
68,3103.8,-665.5702514648438,340000,12.8809,21.3867,68,3158.57
69,2456.07,-698.2236328125,345000,18.7382,21.5158,69,3211.21
70,3211.12,-666.2542114257812,350000,12.0524,20.5479,70,3199.83
71,3188.36,-702.7767944335938,355000,12.9479,21.2531,71,3181.05
72,3120.2,-730.981689453125,360000,12.4384,21.1028,72,3212.31
73,3197.56,-726.3071899414062,365000,12.7767,21.4265,73,3190.11
74,3251.88,-716.080810546875,370000,12.8364,21.5409,74,3247.3
75,2882.87,-780.9020385742188,375000,12.2611,20.9422,75,3167.38
76,3238.41,-733.072509765625,380000,13.1855,20.9554,76,3230.48
77,3212.7,-772.1544799804688,385000,12.7098,21.0493,77,3207.0
78,3255.61,-790.4263916015625,390000,12.6246,21.1473,78,3230.68
79,3268.14,-724.884765625,395000,12.2543,20.0895,79,3255.13
80,3287.99,-739.2141723632812,400000,12.7922,20.9397,80,3264.42
81,3256.8,-795.8472290039062,405000,12.5355,20.8931,81,3239.08
82,3264.41,-799.9564819335938,410000,12.3509,20.9105,82,3249.19
83,3280.36,-795.0668334960938,415000,12.0633,20.6843,83,3268.36
84,3336.55,-775.6756591796875,420000,13.0061,20.7864,84,3335.77
85,3321.71,-859.9144897460938,425000,13.5788,21.7092,85,3295.14
86,3370.5,-767.4932250976562,430000,12.382,20.5912,86,3360.4
87,3354.76,-818.7842407226562,435000,13.1385,21.0189,87,3337.44
88,3360.7,-849.3951416015625,440000,13.528,21.2131,88,3348.63
89,3427.23,-694.4107666015625,445000,12.694,20.2584,89,3458.12
90,3459.57,-646.9915771484375,450000,13.0255,20.5615,90,3488.67
91,3416.03,-765.54541015625,455000,12.7298,20.4161,91,3468.77
92,3200.47,-876.2635498046875,460000,12.3365,20.7133,92,3330.03
93,3464.95,-636.455810546875,465000,12.9232,20.1643,93,3503.88
94,3234.87,-852.7974853515625,470000,13.011,21.0495,94,3403.2
95,3439.54,-740.9573364257812,475000,12.6231,20.0925,95,3473.38
96,1979.45,-808.7190551757812,480000,12.016,19.7224,96,3479.89
97,3447.92,-735.7467651367188,485000,12.7294,20.0597,97,3497.92
98,3139.34,-796.7109375,490000,12.5773,20.2245,98,3463.12
99,2306.01,-761.8084716796875,495000,12.5312,19.6182,99,3471.03
100,3382.02,-783.4818115234375,500000,12.4015,19.4895,100,3409.0
101,2435.01,-812.7816772460938,505000,12.1254,19.4686,101,3470.67
102,3443.63,-671.3644409179688,510000,12.0035,18.6825,102,3506.03
103,3446.38,-672.392578125,515000,11.9614,19.1851,103,3512.57
104,3359.98,-600.6365356445312,520000,11.1629,17.9479,104,3478.63
105,3433.76,-751.8194580078125,525000,11.7235,18.921,105,3495.27
106,3475.81,-610.312744140625,530000,11.7441,18.5113,106,3524.59
107,3316.18,-845.9908447265625,535000,11.9154,19.4648,107,3485.95
108,3463.16,-607.6552124023438,540000,11.5035,18.0339,108,3493.04
109,3078.57,-664.9661254882812,545000,11.511,18.2931,109,3486.98
110,3481.97,-585.2154541015625,550000,11.7804,18.5048,110,3522.82
111,3463.77,-643.1659545898438,555000,11.9655,18.6705,111,3502.95
112,3485.81,-649.3898315429688,560000,11.5131,18.8176,112,3523.97
113,3466.18,-699.7061157226562,565000,11.224,18.1922,113,3514.55
114,3460.06,-686.9224243164062,570000,11.9954,18.2347,114,3506.66
115,3442.72,-623.0145874023438,575000,11.5632,18.3859,115,3528.04
116,3384.06,-793.6581420898438,580000,11.1516,18.9007,116,3481.04
117,3440.1,-819.0186767578125,585000,11.5282,18.3292,117,3488.62
118,3497.54,-586.89013671875,590000,11.3565,18.4792,118,3548.95
119,3415.73,-786.1605224609375,595000,11.5981,18.2888,119,3513.35
120,3222.1,-685.1256713867188,600000,10.7162,17.5742,120,3492.65
121,3001.26,-680.8499755859375,605000,10.8058,18.6358,121,3526.65
122,3090.04,-737.9216918945312,610000,10.7569,18.1271,122,3497.49
123,3355.78,-819.576904296875,615000,11.5963,18.7254,123,3507.54
124,3499.26,-819.7046508789062,620000,12.3247,19.0392,124,3531.2
125,2544.46,-804.1634521484375,625000,11.9264,18.6088,125,3511.22
126,3338.13,-686.000732421875,630000,11.6171,18.0369,126,3508.09
127,3088.11,-690.7089233398438,635000,11.5788,18.8503,127,3529.67
128,3496.75,-775.697998046875,640000,11.9242,18.8356,128,3520.24
129,3476.85,-778.686767578125,645000,11.0124,17.4081,129,3513.49
130,3491.45,-822.8990478515625,650000,11.5061,18.3861,130,3516.27
131,3301.75,-746.7694702148438,655000,11.2512,18.202,131,3504.27
132,3433.59,-805.7061767578125,660000,11.2263,17.9699,132,3503.96
133,3290.22,-793.0132446289062,665000,11.144,18.7722,133,3519.98
134,3473.12,-932.1704711914062,670000,11.7001,19.1715,134,3515.56
135,3302.72,-794.29150390625,675000,11.5089,18.1873,135,3511.73
136,3451.86,-937.4373168945312,680000,11.2116,17.9742,136,3488.19
137,3381.34,-898.7581787109375,685000,11.5692,18.6009,137,3509.74
138,3443.63,-1028.720703125,690000,12.4415,18.9134,138,3481.5
139,3418.09,-855.63525390625,695000,12.5223,18.9991,139,3534.78
140,3416.94,-847.6044921875,700000,10.9441,17.7526,140,3511.95
141,3493.71,-861.374755859375,705000,12.51,18.2974,141,3504.08
142,3302.0,-894.0349731445312,710000,11.9529,18.8993,142,3501.0
143,3413.01,-862.9585571289062,715000,11.5433,18.4013,143,3500.1
144,3449.47,-856.6812133789062,720000,12.1325,18.2197,144,3519.86
145,3466.4,-967.0479736328125,725000,11.85,18.0996,145,3506.17
146,3033.04,-938.5010986328125,730000,12.2976,19.0423,146,3488.4
147,3428.4,-973.32470703125,735000,12.4387,18.9259,147,3502.65
148,3342.12,-1004.8035888671875,740000,12.0675,18.5721,148,3500.41
149,2978.62,-1030.732666015625,745000,15.0494,18.5843,149,3480.5
150,3324.32,-969.3723754882812,750000,12.8861,18.5802,150,3478.66
151,2888.26,-978.673828125,755000,15.1502,19.0361,151,3482.38
152,3147.34,-1058.344970703125,760000,11.4234,17.9798,152,3476.09
153,3487.25,-989.0567016601562,765000,11.923,18.4072,153,3510.63
154,3294.22,-1006.6776733398438,770000,11.3556,17.9289,154,3504.47
155,3381.94,-1071.78564453125,775000,11.5802,18.6781,155,3477.42
156,3436.25,-979.0621948242188,780000,11.4652,17.7069,156,3498.69
