Itration,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss
226,1130000,4377.65,117.0699,4809.22,226,311.8743,-17372.517578125
227,1135000,4621.58,107.5567,4642.17,227,307.0594,-17503.5234375
228,1140000,4081.69,133.8043,4488.77,228,311.8588,-17194.75390625
229,1145000,4605.37,102.451,3918.17,229,310.1106,-17453.88671875
230,1150000,3791.65,128.6644,4235.5,230,312.5387,-17443.029296875
231,1155000,4659.43,99.9502,4549.99,231,306.7599,-17674.6015625
232,1160000,3859.4,115.7319,4551.85,232,310.9826,-17458.341796875
233,1165000,4134.33,111.4036,4509.58,233,308.6482,-17457.263671875
234,1170000,3128.02,108.3381,3673.5,234,308.3824,-17434.48046875
235,1175000,4378.63,111.9704,4800.21,235,308.1402,-17485.06640625
236,1180000,4911.27,100.7873,4828.83,236,311.2473,-17895.595703125
237,1185000,3766.94,102.2167,4525.17,237,310.8689,-17547.048828125
238,1190000,3851.83,101.4934,4795.18,238,308.8778,-17697.634765625
239,1195000,4327.13,100.0793,4652.71,239,312.4107,-17842.96875
240,1200000,3969.92,116.1317,4809.97,240,312.5322,-17676.4453125
241,1205000,4809.64,94.4925,4375.94,241,310.718,-17843.8125
242,1210000,3619.3,115.4809,4704.69,242,310.5988,-17596.984375
243,1215000,2870.83,145.6326,4000.37,243,319.995,-17580.16015625
244,1220000,3879.46,95.7722,4585.58,244,312.8616,-17777.703125
245,1225000,4398.53,100.6747,4448.59,245,314.4791,-17771.78125
246,1230000,3878.22,104.4328,4790.97,246,312.5268,-17744.63671875
247,1235000,4569.93,113.3411,4738.34,247,316.2039,-17950.65234375
248,1240000,4264.12,115.3803,4223.93,248,320.8919,-17826.833984375
249,1245000,4387.54,98.2217,4823.8,249,312.0095,-17760.384765625
250,1250000,4953.5,111.0449,4831.45,250,317.1165,-17986.29296875
251,1255000,4916.36,111.6705,4451.1,251,316.713,-17992.783203125
252,1260000,4337.12,103.8562,4828.12,252,315.0261,-18084.73046875
253,1265000,2469.34,106.632,3910.91,253,314.8315,-18059.236328125
254,1270000,4635.99,100.8855,4640.02,254,316.3639,-18231.232421875
255,1275000,4277.11,98.2906,4678.27,255,313.5837,-18299.234375
256,1280000,4543.54,120.6557,4637.77,256,319.8404,-18175.724609375
257,1285000,3508.69,112.9723,4598.7,257,321.9807,-18291.83984375
258,1290000,4827.66,116.3526,4592.14,258,317.6494,-18362.056640625
259,1295000,3043.55,113.09,3678.84,259,317.7458,-18436.748046875
260,1300000,4268.59,122.0743,4775.36,260,321.8478,-18548.7890625
261,1305000,4589.88,107.8393,4838.35,261,318.3486,-18525.771484375
262,1310000,2804.44,122.5478,4156.88,262,318.9535,-18300.404296875
263,1315000,4127.93,111.1004,4610.07,263,313.8235,-18412.728515625
264,1320000,4378.0,102.693,4497.3,264,311.58,-18464.099609375
265,1325000,2818.52,107.2099,4231.04,265,310.7916,-18618.67578125
266,1330000,2241.18,138.0458,4759.68,266,319.0986,-18402.896484375
267,1335000,2359.48,115.5426,4137.01,267,313.1671,-18381.419921875
268,1340000,2605.15,127.5604,4518.55,268,315.1098,-18482.35546875
269,1345000,3957.68,112.6565,4221.96,269,309.5714,-18534.43359375
270,1350000,3576.63,105.8018,4195.1,270,306.9401,-18454.662109375
271,1355000,3225.21,116.5923,4501.5,271,314.2331,-18479.48046875
272,1360000,2185.57,120.9582,4013.87,272,309.4281,-18571.912109375
273,1365000,4293.48,104.6859,4425.99,273,306.3441,-18622.185546875
274,1370000,3713.06,110.464,4602.85,274,310.9275,-18531.9765625
275,1375000,5039.68,115.4778,4818.27,275,308.3106,-18633.53515625
276,1380000,4787.67,109.2944,4891.94,276,306.324,-18612.052734375
277,1385000,4611.51,100.598,4556.19,277,303.8034,-18751.568359375
278,1390000,4654.48,107.8274,4770.76,278,307.9496,-18661.619140625
279,1395000,4452.81,105.1153,4355.34,279,304.5859,-18728.111328125
280,1400000,4979.12,100.7495,4703.04,280,303.0429,-18539.443359375
281,1405000,5018.41,105.8461,4694.67,281,301.3843,-18526.427734375
282,1410000,4941.05,112.2418,4937.17,282,303.3806,-18460.27734375
283,1415000,4888.97,103.6555,4663.09,283,304.3776,-18528.001953125
284,1420000,4889.26,99.8561,4811.16,284,306.7855,-18786.25
285,1425000,4516.04,106.2764,4134.93,285,303.8755,-18651.326171875
286,1430000,4294.35,97.9812,4668.39,286,304.8833,-18717.8671875
287,1435000,4350.93,111.6466,4950.56,287,307.0022,-18532.76171875
288,1440000,5012.42,95.3738,4815.5,288,297.6722,-18672.677734375
289,1445000,4988.13,99.015,4829.93,289,300.5584,-18634.080078125
290,1450000,4771.38,101.0785,4595.58,290,300.0979,-18490.96875
291,1455000,4750.47,101.0363,4646.7,291,298.3201,-18562.4140625
292,1460000,4494.33,108.8765,4718.45,292,302.5003,-18294.576171875
293,1465000,4972.94,97.4014,4950.77,293,302.5858,-18561.90625
294,1470000,4853.57,102.9752,4938.67,294,301.8589,-18543.994140625
295,1475000,4980.71,100.8795,4930.84,295,300.4492,-18579.138671875
296,1480000,4838.67,102.1072,4917.47,296,301.5714,-18809.544921875
297,1485000,4964.55,100.9021,4911.27,297,299.6124,-18565.673828125
298,1490000,4981.29,101.1097,4651.07,298,302.0829,-18555.0
299,1495000,4715.79,89.5932,4946.65,299,296.8574,-18653.365234375
300,1500000,4978.48,94.8211,4917.59,300,299.1312,-18708.55859375
301,1505000,4875.55,104.0205,4706.3,301,306.058,-18795.220703125
302,1510000,4227.29,99.3046,4554.89,302,304.3268,-18818.154296875
303,1515000,4979.78,102.6106,4355.64,303,303.387,-18905.982421875
304,1520000,4325.56,119.7435,4182.9,304,307.489,-18243.140625
305,1525000,2871.99,151.6045,3690.65,305,311.788,-17754.021484375
306,1530000,4485.36,131.6022,4526.48,306,306.994,-17907.642578125
307,1535000,4883.44,109.5953,4921.44,307,305.74,-18611.431640625
308,1540000,3667.33,131.9456,4251.11,308,312.8211,-17954.78125
309,1545000,4445.0,129.6599,4349.92,309,313.988,-18762.85546875
310,1550000,3494.44,135.2291,4280.45,310,301.6355,-17939.685546875
311,1555000,3125.63,115.4012,4071.51,311,298.6921,-18062.294921875
312,1560000,4769.59,99.176,4694.3,312,295.46,-18601.67578125
313,1565000,2180.15,114.0189,3868.14,313,295.7168,-17524.82421875
314,1570000,2631.97,111.6275,4059.25,314,293.4321,-16872.0546875
315,1575000,1274.98,208.0414,1413.07,315,337.081,-15486.546875
316,1580000,1809.5,134.8576,3540.43,316,298.1615,-15494.5009765625
317,1585000,1060.62,138.1126,1952.78,317,308.2121,-16639.595703125
318,1590000,595.36,238.5247,1128.23,318,358.1164,-13899.966796875
319,1595000,2331.18,171.0769,2886.67,319,318.6925,-15272.390625
320,1600000,1964.87,161.3758,3057.29,320,311.0188,-14347.107421875
321,1605000,644.54,291.1461,403.07,321,379.998,-12587.2060546875
322,1610000,446.28,305.6896,443.95,322,412.0166,-11742.97265625
323,1615000,278.68,325.2671,192.12,323,539.3095,-7391.5234375
324,1620000,276.51,294.7614,181.96,324,462.9349,-10604.3310546875
325,1625000,178.56,588.2097,128.9,325,527.2926,-9962.7041015625
326,1630000,312.04,670.3577,209.61,326,499.98,-8796.146484375
327,1635000,69.98,966.8119,85.37,327,471.4585,-10411.3779296875
328,1640000,70.29,1076.6114,69.97,328,682.0251,-5940.34033203125
329,1645000,70.96,1149.2627,70.93,329,687.9951,-14026.453125
330,1650000,69.1,1629.7186,70.01,330,674.5508,-16716.23046875
331,1655000,71.13,1247.6997,69.59,331,666.2951,-16094.56640625
332,1660000,68.93,1284.8715,69.06,332,683.6826,-16089.265625
333,1665000,68.27,612.4262,69.37,333,622.0403,-11431.2890625
334,1670000,67.47,1315.3092,68.91,334,613.7428,-16009.9736328125
335,1675000,66.72,1202.5359,68.32,335,753.4716,-17855.021484375
336,1680000,66.95,1646.4522,69.26,336,727.0052,-18569.10546875
337,1685000,67.27,1096.5969,68.36,337,644.5766,-18051.056640625
338,1690000,65.98,828.204,67.11,338,645.3166,-16486.4765625
339,1695000,66.02,774.5029,68.26,339,639.8249,-18240.869140625
340,1700000,65.68,1648.4547,67.22,340,549.36,-18247.58203125
341,1705000,66.44,356.5605,67.43,341,539.1992,-16043.14453125
342,1710000,66.52,1390.5335,67.79,342,673.7355,-18130.767578125
343,1715000,68.62,1287.3493,67.79,343,595.2281,-16468.572265625
344,1720000,68.89,1957.8449,67.91,344,666.4509,-16828.037109375
345,1725000,69.65,1146.8578,69.09,345,622.5961,-18419.052734375
346,1730000,65.1,407.8822,65.49,346,562.6672,-16267.2197265625
347,1735000,79.02,1397.7428,82.31,347,661.2732,-18299.55859375
348,1740000,114.8,410.4095,142.95,348,586.0811,-16201.9580078125
349,1745000,269.11,480.6779,252.5,349,510.0264,-14624.076171875
350,1750000,163.46,613.3542,175.37,350,543.786,-18735.076171875
351,1755000,262.02,368.0497,243.62,351,487.8986,-16941.24609375
352,1760000,314.91,336.0618,314.44,352,491.859,-15755.2646484375
353,1765000,374.85,1137.2717,341.97,353,482.8931,-17877.974609375
354,1770000,318.07,596.6092,311.67,354,471.2983,-16658.72265625
355,1775000,235.81,426.7129,235.4,355,530.4057,-16069.2783203125
356,1780000,229.84,418.7991,264.98,356,506.3841,-16909.05078125
357,1785000,252.4,355.2281,250.17,357,474.4579,-15914.9560546875
358,1790000,166.34,567.2675,170.61,358,514.2543,-16964.0546875
359,1795000,190.98,701.7533,200.2,359,485.1249,-17692.166015625
360,1800000,139.92,439.7,125.32,360,611.3957,-18545.982421875
361,1805000,69.09,421.7512,73.94,361,665.0548,-15040.5390625
362,1810000,70.62,398.9074,69.24,362,671.005,-14764.33984375
363,1815000,69.33,425.6035,70.15,363,644.9428,-14247.4541015625
364,1820000,70.83,570.4041,69.64,364,647.426,-16237.7734375
365,1825000,69.33,578.9815,69.16,365,648.0151,-16577.6796875
366,1830000,67.34,490.3715,69.1,366,648.199,-17592.171875
367,1835000,69.85,493.1961,68.69,367,646.8088,-18025.2109375
368,1840000,69.41,501.0984,69.12,368,650.993,-18784.580078125
369,1845000,69.62,527.085,68.9,369,656.7599,-19578.876953125
370,1850000,69.44,514.1025,68.81,370,672.7731,-19492.04296875
371,1855000,68.69,488.892,68.25,371,659.8945,-18851.462890625
372,1860000,67.99,510.5977,68.57,372,670.0687,-19654.548828125
373,1865000,68.19,494.465,67.93,373,679.4725,-19574.986328125
374,1870000,68.64,487.5158,68.12,374,670.5891,-19587.6640625
375,1875000,67.86,468.1764,68.73,375,660.6514,-19612.744140625
376,1880000,69.96,443.4651,69.26,376,671.8539,-18466.224609375
377,1885000,68.08,431.2484,68.75,377,672.6916,-17015.904296875
378,1890000,76.97,435.5287,74.95,378,610.1516,-19151.55859375
379,1895000,63.47,494.1735,67.85,379,652.3037,-18565.34765625
380,1900000,69.16,433.7168,67.4,380,653.3284,-17741.31640625
381,1905000,69.21,386.8366,68.48,381,647.4997,-18161.232421875
382,1910000,68.33,423.9238,69.0,382,682.1345,-18731.1484375
383,1915000,67.68,915.5549,69.33,383,691.9103,-19342.48828125
384,1920000,68.75,846.8315,68.33,384,686.3951,-19382.904296875
385,1925000,69.45,663.8032,68.41,385,701.7262,-19317.0546875
386,1930000,66.46,972.6184,68.7,386,715.6471,-19575.111328125
387,1935000,68.02,699.7032,69.05,387,710.0568,-19378.501953125
388,1940000,70.43,840.6289,68.77,388,690.3859,-19031.609375
389,1945000,67.61,884.2275,68.16,389,727.3128,-19316.40234375
390,1950000,69.97,473.7062,68.07,390,672.1694,-17699.396484375
391,1955000,79.45,476.0908,83.75,391,668.8811,-17506.37890625
392,1960000,72.11,492.4004,70.78,392,692.6276,-18342.427734375
393,1965000,69.26,506.471,67.7,393,692.853,-15772.4287109375
394,1970000,67.48,537.3891,68.45,394,683.0445,-17836.654296875
395,1975000,69.99,521.725,68.44,395,681.0454,-17324.59765625
