Running Reverse KL,Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Real Det Return
16.4004,67,67,424.04,335000,28.0464,-1556.4901123046875,434.49
19.0544,68,68,683.71,340000,26.2544,-1357.46435546875,654.41
13.4355,69,69,337.81,345000,29.3327,-1072.4962158203125,359.56
26.7911,70,70,699.68,350000,26.0396,-1246.0477294921875,706.7
25.7209,71,71,813.91,355000,25.3885,-1440.3697509765625,821.65
29.7532,72,72,477.31,360000,27.5046,-1906.0068359375,432.81
24.2469,73,73,1393.72,365000,23.3873,-1188.4014892578125,2367.37
17.2171,74,74,624.93,370000,25.2158,-1299.79638671875,754.7
17.4985,75,75,1021.22,375000,25.5134,-1058.540771484375,1327.4
13.7021,76,76,740.12,380000,26.0786,-1275.6005859375,816.69
21.2742,77,77,1100.39,385000,23.3108,-1420.4356689453125,1183.64
71.3341,78,78,885.8,390000,25.9116,-1874.96044921875,918.95
38.1202,79,79,1287.86,395000,22.4812,-1260.2606201171875,1681.85
34.8011,80,80,1183.85,400000,23.5695,-983.92626953125,2091.01
10.9893,81,81,2259.61,405000,22.101,-621.7836303710938,2594.19
11.6933,82,82,1032.85,410000,25.1864,-1209.681884765625,1495.39
15.1946,83,83,1031.81,415000,23.0311,-1402.849365234375,1598.27
41.3866,84,84,969.96,420000,25.1264,-2959.044677734375,970.28
25.1887,85,85,832.34,425000,23.958,-2213.08349609375,937.53
15.0442,86,86,1761.87,430000,22.2507,-1353.6937255859375,1123.37
38.3084,87,87,726.79,435000,24.6043,-2267.541015625,771.55
13.0105,88,88,577.55,440000,27.1973,-1616.9620361328125,636.06
16.7459,89,89,2055.97,445000,28.2875,-1508.7613525390625,2117.89
15.2827,90,90,1100.52,450000,26.7268,-1703.3287353515625,1583.85
14.6438,91,91,691.78,455000,26.1027,-2013.931640625,152.42
34.7463,92,92,915.02,460000,27.6903,-3160.17333984375,974.94
15.0446,93,93,1541.24,465000,28.3456,-2014.0821533203125,1572.91
20.178,94,94,649.62,470000,26.6038,-2118.68994140625,711.92
20.463,95,95,436.84,475000,26.9491,-2400.02197265625,446.46
27.4882,96,96,189.47,480000,31.6774,-2806.342529296875,147.77
21.3551,97,97,416.53,485000,30.889,-1996.3856201171875,355.14
12.9174,98,98,978.77,490000,26.6707,-1895.4307861328125,894.56
11.9151,99,99,1244.79,495000,25.7914,-1796.123291015625,1352.16
20.2634,100,100,484.1,500000,27.5907,-2295.624267578125,421.07
12.5864,101,101,1736.85,505000,25.7946,-1600.05419921875,2470.86
12.2318,102,102,861.28,510000,25.2894,-1711.657470703125,709.02
15.5685,103,103,884.11,515000,24.1077,-2283.16162109375,720.69
32.2756,104,104,891.32,520000,25.6633,-2134.926025390625,1419.8
14.7537,105,105,1546.28,525000,30.4881,-2061.600830078125,1579.35
25.9896,106,106,808.92,530000,26.7062,-2025.6678466796875,1239.18
13.2014,107,107,1675.1,535000,26.0145,-1754.3179931640625,1750.39
22.7486,108,108,673.87,540000,28.8242,-1854.23046875,604.78
17.8416,109,109,925.59,545000,26.6713,-1768.862548828125,765.25
14.2495,110,110,882.91,550000,27.4687,-2079.8076171875,1017.11
49.1756,111,111,970.8,555000,37.9087,-4208.35546875,972.02
24.1133,112,112,1019.63,560000,31.8548,-4023.9521484375,974.08
24.4164,113,113,973.05,565000,26.1802,-2461.60498046875,963.6
12.761,114,114,1682.45,570000,23.311,-1710.228759765625,2486.94
15.8342,115,115,1152.13,575000,25.9746,-2252.0791015625,1173.48
21.7494,116,116,1375.73,580000,22.4196,-2461.40234375,885.67
15.0921,117,117,961.15,585000,27.87,-2963.0146484375,1202.25
12.4144,118,118,1253.87,590000,25.1855,-1942.163818359375,1298.55
11.8511,119,119,664.23,595000,24.5461,-1610.81103515625,1164.04
25.9179,120,120,755.91,600000,35.406,-3934.857421875,970.99
25.9121,121,121,1380.07,605000,27.1257,-3170.185546875,1587.91
32.7616,122,122,593.19,610000,30.7696,-4193.14892578125,321.99
19.6038,123,123,1101.42,615000,25.2168,-3555.00927734375,550.89
12.4561,124,124,875.27,620000,25.226,-2490.754638671875,942.52
26.6589,125,125,998.14,625000,32.182,-4581.17138671875,1000.41
35.3145,126,126,973.93,630000,38.3036,-4702.37744140625,975.8
30.6145,127,127,969.09,635000,34.5176,-4458.42822265625,974.82
49.8879,128,128,11.81,640000,32.6706,-2895.42333984375,8.9
33.0461,129,129,971.42,645000,36.6492,-4682.98583984375,973.28
