Running Env Steps,Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL
260000,146.39,52,52,30.7361,-729.394775390625,511.03,75.3758
265000,100.26,53,53,32.0097,-754.058349609375,560.07,74.4521
270000,120.8,54,54,30.4574,-747.224365234375,455.15,73.1686
275000,142.84,55,55,30.862,-772.2638549804688,357.89,73.3449
280000,72.37,56,56,30.6154,-785.6692504882812,404.21,72.1506
285000,142.51,57,57,30.6275,-790.7781372070312,446.19,72.9389
290000,143.93,58,58,30.6513,-821.05517578125,501.87,74.9547
295000,140.28,59,59,30.9609,-844.2619018554688,360.45,73.8645
300000,135.09,60,60,30.8106,-862.5363159179688,443.89,74.8387
305000,140.44,61,61,30.1915,-887.4985961914062,381.69,74.878
310000,120.14,62,62,30.7237,-896.0656127929688,480.92,73.8121
315000,240.61,63,63,30.894,-914.7076416015625,616.21,74.4785
320000,223.27,64,64,30.383,-935.903564453125,557.23,74.4642
325000,141.22,65,65,30.8098,-949.5651245117188,545.98,75.1384
330000,183.02,66,66,30.9422,-969.3848876953125,601.24,74.2721
335000,179.96,67,67,30.8574,-996.19873046875,517.95,74.4945
340000,141.27,68,68,30.9629,-1016.9598999023438,636.9,73.799
345000,158.04,69,69,30.2869,-1031.702880859375,644.5,72.5438
350000,137.28,70,70,30.2554,-1050.595703125,519.83,72.364
355000,200.66,71,71,30.201,-1066.0360107421875,610.68,73.931
360000,203.75,72,72,30.839,-1106.435791015625,443.43,73.6884
365000,200.05,73,73,30.5156,-1113.661376953125,457.99,72.9895
370000,196.23,74,74,31.1464,-1124.7012939453125,784.58,70.816
375000,194.8,75,75,30.8031,-1161.181396484375,703.7,74.5228
380000,184.53,76,76,30.2975,-1179.0830078125,579.89,73.21
385000,137.31,77,77,30.6067,-1203.6490478515625,548.86,75.6056
390000,170.82,78,78,31.135,-1226.8046875,455.5,75.291
395000,129.68,79,79,30.3219,-1248.998291015625,489.04,74.862
400000,119.54,80,80,30.6271,-1283.9066162109375,570.37,75.1631
405000,131.65,81,81,30.5232,-1284.7996826171875,457.96,73.528
410000,169.7,82,82,30.7436,-1324.312255859375,551.56,74.9252
415000,225.88,83,83,30.5492,-1354.6881103515625,807.51,76.5176
420000,144.19,84,84,30.3766,-1373.1884765625,409.34,75.3244
425000,212.67,85,85,30.6368,-1395.12451171875,486.17,75.159
430000,159.73,86,86,30.2453,-1410.3131103515625,542.83,73.9072
435000,139.52,87,87,30.7937,-1433.8272705078125,448.73,74.5196
440000,167.09,88,88,30.4378,-1450.434326171875,673.8,73.4443
445000,172.13,89,89,30.4059,-1486.7608642578125,359.69,74.8462
450000,142.03,90,90,30.3245,-1520.4105224609375,450.1,74.6102
455000,126.78,91,91,30.2648,-1522.8145751953125,536.3,73.7277
460000,190.37,92,92,30.0667,-1569.065673828125,829.72,73.4789
465000,137.47,93,93,30.2242,-1585.703125,578.52,73.7464
470000,126.28,94,94,30.4135,-1623.543212890625,485.12,74.8399
475000,224.71,95,95,31.2083,-1631.1473388671875,385.27,71.6741
480000,135.37,96,96,30.7925,-1672.0433349609375,412.09,75.3689
485000,195.66,97,97,30.1695,-1684.60498046875,511.39,72.6671
490000,178.93,98,98,30.4645,-1721.2010498046875,652.27,73.6693
495000,175.47,99,99,30.9429,-1791.8631591796875,595.14,74.2398
500000,199.18,100,100,30.4387,-1776.9261474609375,746.69,73.7566
505000,263.51,101,101,30.5445,-1811.830810546875,511.98,72.0758
510000,173.6,102,102,30.3693,-1827.1328125,584.89,73.2582
515000,188.46,103,103,30.1259,-1870.8026123046875,643.97,73.9896
520000,177.16,104,104,30.4217,-1911.150634765625,508.67,75.7753
525000,164.62,105,105,30.4242,-1935.5653076171875,775.79,72.9181
530000,192.87,106,106,30.5546,-1961.902587890625,786.22,74.056
535000,199.37,107,107,30.9498,-2016.581787109375,643.2,75.9027
540000,179.16,108,108,30.4096,-2044.260986328125,871.16,73.9741
545000,271.91,109,109,30.8773,-2061.05615234375,649.52,74.3702
550000,236.65,110,110,30.5549,-2107.7900390625,568.47,74.7305
555000,181.9,111,111,30.609,-2163.62158203125,447.63,74.8032
560000,230.99,112,112,30.3543,-2176.798583984375,613.01,74.4818
565000,145.92,113,113,30.623,-2228.774658203125,680.3,75.6351
570000,194.49,114,114,31.1351,-2234.250732421875,628.36,73.7587
575000,122.49,115,115,31.0096,-2287.247314453125,628.88,74.8479
580000,211.83,116,116,31.0434,-2290.013916015625,525.36,74.389
585000,198.3,117,117,33.0604,-2331.721923828125,409.97,72.9289
590000,177.42,118,118,30.7484,-2405.379150390625,660.03,75.0801
595000,194.33,119,119,30.9268,-2418.248291015625,492.44,75.7245
600000,-131.65,120,120,36.892,-2407.784423828125,-94.32,75.1844
605000,-1549.74,121,121,100.6831,-2475.519775390625,-1886.39,91.4527
610000,-2819.4,122,122,562.5796,-1778.73828125,-2879.33,138.6042
615000,-40.72,123,123,100.6476,-2633.86865234375,-213.95,87.678
620000,-26.34,124,124,95.4933,-2885.852294921875,-138.25,86.682
625000,-332.86,125,125,75.8914,-2766.091552734375,-160.03,81.613
630000,-30.88,126,126,76.5606,-2730.66943359375,-36.03,77.2111
635000,-12.96,127,127,32.907,-2714.215087890625,148.42,75.838
640000,10.07,128,128,35.211,-2705.24755859375,152.37,75.0909
645000,2.98,129,129,32.9675,-2773.031494140625,79.61,74.8218
650000,7.34,130,130,31.969,-2789.69970703125,77.44,73.9953
655000,14.12,131,131,32.2591,-2837.79345703125,118.03,74.5862
660000,29.99,132,132,29.6567,-2847.63427734375,349.16,73.5204
665000,32.4,133,133,30.1056,-2905.88671875,418.15,73.2811
670000,112.55,134,134,29.6154,-2918.416259765625,729.6,71.9878
675000,263.57,135,135,32.3512,-3049.7548828125,491.57,73.2143
680000,282.6,136,136,32.5454,-3103.60302734375,682.26,75.5245
685000,271.28,137,137,32.1534,-3163.871337890625,441.25,75.3727
690000,280.67,138,138,31.8906,-3194.338134765625,842.35,75.3505
695000,183.27,139,139,30.3383,-3165.323974609375,536.51,74.5257
700000,406.37,140,140,32.2697,-3332.199462890625,806.41,75.4113
705000,296.74,141,141,32.1413,-3355.695556640625,975.89,75.3077
710000,353.61,142,142,32.7097,-3342.956298828125,674.47,72.454
715000,302.44,143,143,31.9729,-3401.846923828125,798.43,74.8953
720000,334.65,144,144,33.6836,-3387.034912109375,410.7,72.4706
725000,369.13,145,145,32.8082,-3520.703369140625,899.25,74.1709
730000,347.41,146,146,32.5214,-3544.889404296875,809.32,73.7915
735000,405.99,147,147,34.051,-3576.408447265625,349.5,73.4837
740000,196.71,148,148,34.381,-3540.444091796875,219.6,73.6551
745000,118.6,149,149,34.802,-3688.05078125,396.02,75.8363
750000,47.08,150,150,38.4706,-3666.8828125,77.55,73.9983
755000,-140.15,151,151,79.15,-3832.582763671875,-256.15,80.0762
760000,-504.51,152,152,46.6019,-3949.374755859375,-329.63,76.3939
765000,-10.84,153,153,33.8309,-3920.461669921875,224.79,74.324
770000,127.16,154,154,30.2429,-3950.65576171875,658.0,75.8639
775000,153.06,155,155,29.7823,-3989.99755859375,855.62,75.5819
780000,235.19,156,156,32.344,-4109.51708984375,770.1,75.5945
785000,344.43,157,157,33.278,-4174.61572265625,741.15,76.6113
790000,325.69,158,158,32.698,-4235.1103515625,668.77,76.3641
795000,290.72,159,159,38.078,-4311.3505859375,868.5,76.7523
800000,332.78,160,160,33.5857,-4373.19677734375,814.97,76.0543
805000,-29.63,161,161,38.8631,-4327.9072265625,-159.09,75.6277
810000,152.41,162,162,30.247,-4439.68017578125,709.47,76.5424
815000,240.91,163,163,33.5567,-4484.05908203125,745.36,74.9453
820000,156.82,164,164,35.351,-4591.578125,613.76,74.4738
825000,170.08,165,165,32.3316,-4654.232421875,136.2,75.6853
830000,174.57,166,166,29.7138,-4645.4091796875,532.38,75.5353
835000,167.61,167,167,36.8512,-4487.77490234375,-165.96,72.7171
840000,24.18,168,168,37.4381,-4578.81982421875,168.95,76.134
845000,217.59,169,169,35.9947,-4829.4921875,730.1,75.7077
850000,311.57,170,170,36.0018,-4940.00146484375,893.2,74.5012
855000,196.99,171,171,34.7964,-4926.12646484375,828.77,74.7505
860000,-202.38,172,172,48.2724,-4914.4130859375,-100.82,77.7727
865000,-31.24,173,173,32.9242,-5058.18603515625,-5.58,76.3877
870000,97.98,174,174,35.8303,-5287.330078125,530.26,76.7561
875000,145.18,175,175,29.1259,-5160.9501953125,597.78,75.7981
880000,146.48,176,176,28.9343,-5172.70166015625,797.85,75.7412
885000,176.0,177,177,29.2336,-5339.095703125,905.13,75.9976
890000,334.88,178,178,32.9224,-5478.39599609375,779.36,76.1906
895000,396.02,179,179,32.2706,-5513.1513671875,871.95,76.2389
900000,330.83,180,180,32.1664,-5573.0908203125,752.47,74.9233
905000,295.2,181,181,32.1077,-5618.92822265625,902.13,75.5345
910000,367.96,182,182,31.9046,-5729.46044921875,878.53,77.2175
915000,-1349.95,183,183,164.983,-6236.25537109375,-440.27,81.8145
920000,-2949.47,184,184,616.1309,-3567.693115234375,-2983.94,139.7163
925000,-118.1,185,185,99.1697,-5953.58642578125,-52.28,87.2408
930000,-29.76,186,186,58.0422,-6004.26220703125,-13.44,77.6146
935000,-33.69,187,187,42.715,-5850.28125,-21.91,76.8015
940000,-18.35,188,188,37.4964,-6031.931640625,-23.17,76.6825
945000,-16.02,189,189,38.7559,-6152.8662109375,-16.8,77.1107
950000,-8.29,190,190,32.7685,-6253.23974609375,-3.48,77.6859
955000,-6.83,191,191,32.3047,-6278.85595703125,-0.6,76.9475
960000,-5.04,192,192,29.7258,-6250.36669921875,4.61,74.9168
965000,34.51,193,193,29.6411,-6386.21435546875,148.1,75.7513
970000,23.99,194,194,29.389,-6402.89892578125,286.34,74.7068
975000,36.77,195,195,29.0965,-6488.1533203125,599.26,75.5946
980000,82.98,196,196,28.4596,-6512.7626953125,761.27,73.8774
985000,106.37,197,197,30.7553,-6665.771484375,479.99,75.7259
990000,83.5,198,198,29.1824,-6736.4423828125,755.33,74.9476
995000,217.36,199,199,29.7017,-6775.4814453125,799.53,73.5782
1000000,168.22,200,200,29.1307,-6763.150390625,730.11,75.4707
1005000,148.02,201,201,29.0217,-6923.001953125,890.71,75.5522
1010000,177.92,202,202,28.8513,-6985.8681640625,815.33,74.679
1015000,169.91,203,203,28.5855,-6996.91796875,732.52,74.2099
1020000,192.9,204,204,28.3855,-7104.744140625,782.25,74.4715
1025000,179.95,205,205,28.6168,-7210.3056640625,840.64,74.8667
1030000,186.7,206,206,28.9897,-7228.97314453125,832.48,74.6941
1035000,166.2,207,207,28.5292,-7346.08154296875,774.8,73.9482
1040000,167.28,208,208,28.872,-7465.6953125,792.01,74.8762
1045000,157.08,209,209,28.6822,-7496.06396484375,743.84,74.7276
1050000,163.25,210,210,29.2281,-7610.45654296875,825.22,74.3739
1055000,181.5,211,211,29.0524,-7664.32373046875,675.38,74.9837
1060000,144.91,212,212,28.3234,-7782.650390625,784.15,75.6435
1065000,161.52,213,213,28.555,-7889.18701171875,571.83,75.1369
1070000,161.34,214,214,28.1055,-8005.79638671875,880.63,74.5551
1075000,158.84,215,215,28.4059,-8097.02685546875,817.02,74.8506
1080000,153.45,216,216,28.9056,-8168.95849609375,772.72,72.9731
1085000,134.19,217,217,28.4899,-8259.279296875,774.71,73.2976
1090000,112.0,218,218,28.5173,-8352.1298828125,813.7,74.6062
1095000,122.77,219,219,28.4828,-8474.376953125,905.5,74.1577
1100000,156.52,220,220,28.4696,-8559.1376953125,886.46,73.1403
1105000,108.0,221,221,27.8226,-8424.521484375,435.21,72.8584
1110000,-110.82,222,222,29.8156,-8570.4453125,53.35,74.893
1115000,108.05,223,223,31.9431,-8883.0576171875,564.97,76.6132
1120000,118.81,224,224,28.9476,-8888.2470703125,692.1,76.2115
1125000,67.9,225,225,40.5497,-8825.8525390625,494.37,74.3842
1130000,-163.56,226,226,29.9313,-9014.1591796875,126.69,75.0298
1135000,65.46,227,227,30.5158,-9424.6357421875,342.6,77.0133
1140000,-34.82,228,228,27.3608,-9124.271484375,180.45,73.2443
