Real Sto Return,Itration,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Running Env Steps,Real Det Return
1858.4,164,-6571.15380859375,164,156.7118,15.333,820000,2175.42
1832.17,165,-6633.298828125,165,156.7282,15.2361,825000,2170.84
1868.64,166,-6698.36962890625,166,156.8136,15.5441,830000,2232.84
1866.05,167,-6736.26416015625,167,156.7546,15.6067,835000,2181.8
1846.08,168,-6789.94677734375,168,156.8933,15.0434,840000,2187.3
1835.31,169,-6841.04638671875,169,156.7059,15.1362,845000,2210.74
1858.5,170,-6853.6181640625,170,156.6588,15.3346,850000,2245.36
1836.13,171,-6888.28857421875,171,156.666,15.321,855000,2198.92
1844.29,172,-6943.48876953125,172,156.8344,15.3496,860000,2183.39
1886.67,173,-7055.95703125,173,156.7204,15.6419,865000,2260.42
1841.8,174,-7085.05078125,174,156.6817,15.3537,870000,2192.18
1883.61,175,-7115.77001953125,175,156.7675,15.2916,875000,2258.28
1902.95,176,-7190.390625,176,156.6573,15.3989,880000,2208.32
1859.04,177,-7232.380859375,177,156.7138,15.522,885000,2215.99
1854.1,178,-7263.86962890625,178,156.7902,15.4679,890000,2206.63
1853.83,179,-7326.1162109375,179,156.6398,15.2717,895000,2178.07
1879.8,180,-7360.71435546875,180,156.7581,15.1708,900000,2231.53
1904.58,181,-7407.4189453125,181,156.6411,15.5014,905000,2254.12
1861.24,182,-7487.345703125,182,156.6993,15.4453,910000,2188.23
1867.76,183,-7546.80126953125,183,156.7078,15.1133,915000,2172.01
1855.85,184,-7569.404296875,184,156.7016,15.1185,920000,2173.28
1831.18,185,-7628.2880859375,185,156.6461,15.2096,925000,2142.41
1861.64,186,-7653.8193359375,186,156.7424,15.2566,930000,2173.05
1878.81,187,-7697.59033203125,187,156.6895,15.4095,935000,2225.78
1878.32,188,-7745.4345703125,188,156.7456,15.3609,940000,2239.5
1881.93,189,-7847.39306640625,189,156.7017,15.237,945000,2211.3
1854.18,190,-7909.29150390625,190,156.7576,15.5435,950000,2200.17
1860.86,191,-7921.62353515625,191,156.8865,15.2449,955000,2231.45
1860.62,192,-7961.861328125,192,156.7396,15.0867,960000,2221.08
1887.92,193,-7978.3544921875,193,156.6932,15.378,965000,2216.5
1895.97,194,-8024.869140625,194,156.6426,15.2516,970000,2226.77
1869.29,195,-8006.7529296875,195,156.4952,15.2849,975000,2203.99
1849.83,196,-8100.84228515625,196,156.8608,15.273,980000,2171.85
1858.92,197,-8172.353515625,197,156.7215,15.2999,985000,2215.05
1896.07,198,-8196.525390625,198,156.7672,15.2148,990000,2243.3
1904.76,199,-8234.24609375,199,156.8076,15.6069,995000,2226.7
1895.22,200,-8257.857421875,200,156.6451,15.3259,1000000,2216.53
1894.82,201,-8307.88671875,201,156.7154,15.3137,1005000,2230.8
1890.72,202,-8345.216796875,202,156.6795,15.2434,1010000,2234.2
1873.48,203,-8383.2353515625,203,156.7577,15.3883,1015000,2222.05
1888.6,204,-8394.6650390625,204,156.7454,15.2832,1020000,2233.09
1893.55,205,-8437.3359375,205,156.5007,15.3368,1025000,2231.55
1896.74,206,-8457.83203125,206,156.6976,15.3835,1030000,2223.41
1911.94,207,-8485.076171875,207,156.7201,15.307,1035000,2241.52
1902.7,208,-8541.5078125,208,156.6706,15.3186,1040000,2227.12
1901.59,209,-8576.17578125,209,156.5645,15.25,1045000,2233.96
1895.79,210,-8582.6259765625,210,156.6234,15.3436,1050000,2214.82
1895.84,211,-8652.4765625,211,156.649,15.4195,1055000,2236.98
1896.52,212,-8662.841796875,212,156.6941,15.231,1060000,2235.07
1878.36,213,-8712.34765625,213,156.7934,15.1446,1065000,2204.7
1865.73,214,-8728.0,214,156.5655,15.1578,1070000,2206.55
1862.22,215,-8753.234375,215,156.6191,15.2648,1075000,2215.12
1886.37,216,-8792.6875,216,156.6012,15.3864,1080000,2233.89
1883.3,217,-8804.771484375,217,156.6358,15.4022,1085000,2208.32
1858.45,218,-8827.583984375,218,156.5299,15.1715,1090000,2185.27
1897.37,219,-8858.931640625,219,156.6406,15.1499,1095000,2228.03
1845.95,220,-8900.3642578125,220,156.6137,15.1994,1100000,2156.68
1887.6,221,-8907.12890625,221,156.5351,15.249,1105000,2214.3
1870.57,222,-8950.5302734375,222,156.6341,15.2661,1110000,2213.0
1882.93,223,-8965.9873046875,223,156.6919,15.2912,1115000,2188.5
1911.9,224,-8994.76953125,224,156.623,15.2424,1120000,2247.59
1892.49,225,-9041.0283203125,225,156.5964,15.301,1125000,2233.54
1892.89,226,-9046.380859375,226,156.6826,15.343,1130000,2243.67
1901.65,227,-9106.3115234375,227,156.6985,15.4658,1135000,2255.79
1898.03,228,-9104.376953125,228,156.5986,15.3648,1140000,2241.17
1890.76,229,-9146.685546875,229,156.4514,15.328,1145000,2204.7
1562.25,230,-9180.6484375,230,156.7778,14.6803,1150000,-384.61
-364.54,231,-9116.4970703125,231,159.9816,26.0761,1155000,-375.49
-663.0,232,-8702.1884765625,232,157.118,14.107,1160000,-687.99
-393.14,233,-8968.3984375,233,160.9348,26.3014,1165000,-426.64
22.98,234,-9297.3720703125,234,157.692,13.426,1170000,-178.12
-378.62,235,-9125.7412109375,235,160.8565,29.3946,1175000,-389.5
-100.82,236,-9137.62109375,236,159.7391,19.2744,1180000,-117.86
-187.13,237,-9226.6611328125,237,160.2212,19.896,1185000,-58.01
87.65,238,-9139.5908203125,238,159.1747,16.1486,1190000,-94.45
-87.7,239,-9281.302734375,239,157.6467,17.7421,1195000,82.14
-295.96,240,-9301.95703125,240,159.7685,21.343,1200000,-288.09
-115.41,241,-9238.15625,241,159.3606,16.2887,1205000,-61.94
1846.95,242,-9434.697265625,242,156.5826,14.8116,1210000,2133.03
1569.72,243,-9431.982421875,243,156.7047,14.5242,1215000,337.34
1541.0,244,-9449.7607421875,244,156.7482,14.6146,1220000,-215.67
1818.61,245,-9507.6953125,245,156.5859,14.9112,1225000,2180.18
1817.16,246,-9524.5087890625,246,156.7292,15.136,1230000,2169.25
1855.14,247,-9538.2265625,247,156.4997,15.1777,1235000,2222.45
1850.67,248,-9571.4384765625,248,156.6839,15.2104,1240000,2187.93
1884.76,249,-9606.642578125,249,156.7553,15.1379,1245000,2222.5
1880.76,250,-9608.0625,250,156.6044,15.0736,1250000,2228.31
1879.67,251,-9660.85546875,251,156.6805,15.2568,1255000,2212.31
1886.6,252,-9679.00390625,252,156.6891,15.1919,1260000,2249.78
1889.53,253,-9696.9697265625,253,156.6242,15.0881,1265000,2237.37
1891.94,254,-9704.56640625,254,156.6419,15.1313,1270000,2250.03
1901.56,255,-9712.0,255,156.7297,15.056,1275000,2258.08
1894.48,256,-9750.4345703125,256,156.7043,15.1665,1280000,2250.48
1882.73,257,-9748.326171875,257,156.7665,15.0641,1285000,2246.78
1914.36,258,-9787.1767578125,258,156.6796,15.2907,1290000,2250.58
1914.04,259,-9809.0556640625,259,156.6785,15.0321,1295000,2254.12
1911.51,260,-9859.259765625,260,156.6344,15.0594,1300000,2264.43
1897.9,261,-9876.712890625,261,156.6476,15.068,1305000,2258.93
1906.8,262,-9856.087890625,262,156.7332,15.1569,1310000,2256.0
1914.18,263,-9925.80859375,263,156.5986,15.0793,1315000,2269.69
1922.74,264,-9960.1748046875,264,156.688,15.2299,1320000,2275.5
1941.28,265,-9958.6513671875,265,156.6232,15.2015,1325000,2275.93
1904.63,266,-9969.701171875,266,156.5399,15.1834,1330000,2261.77
1928.68,267,-9998.44921875,267,156.6804,15.2512,1335000,2245.9
1902.89,268,-10014.7109375,268,156.7549,15.1117,1340000,2246.64
1922.94,269,-10030.6640625,269,156.6577,15.2214,1345000,2271.93
1900.62,270,-10049.8671875,270,156.6944,15.0634,1350000,2246.92
