Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration
295.2937,128.72,5067.45,5203.8,190
292.5535,117.6641,5046.22,5037.25,191
301.3965,137.2049,5310.22,5356.23,192
294.1304,130.115,5422.48,5482.97,193
287.2078,110.5177,5157.49,3884.46,194
288.4126,121.6611,4846.12,5599.82,195
294.3982,121.7664,5257.27,4255.16,196
294.1206,122.858,5346.37,5528.39,197
302.1861,125.4342,5452.53,4254.77,198
297.6929,124.0475,5314.99,4805.32,199
292.5825,114.3887,4759.7,5004.06,200
293.911,120.8489,5204.73,4031.64,201
297.2932,125.2483,5290.31,4448.99,202
296.7279,130.5308,5498.18,4656.58,203
295.8463,124.1291,5278.1,4726.93,204
