Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Itration,Reward Loss
36,180000,30.206,216.99,69.4968,705.15,36,-1884.8787841796875
37,185000,30.1258,206.81,70.8497,873.45,37,-1953.9156494140625
38,190000,30.3771,229.89,68.2685,766.89,38,-1979.1973876953125
39,195000,30.5922,228.55,70.9737,846.92,39,-2105.094970703125
40,200000,30.5252,222.96,72.1001,946.19,40,-2177.4736328125
41,205000,30.186,220.69,70.3722,722.79,41,-2206.72705078125
42,210000,29.9029,236.84,69.6883,956.01,42,-2262.753173828125
43,215000,30.5479,242.16,70.9515,877.48,43,-2351.14697265625
44,220000,30.1229,224.18,70.8699,878.08,44,-2433.273193359375
45,225000,30.2487,257.16,69.9145,822.96,45,-2525.596435546875
46,230000,30.2347,214.93,69.7313,648.69,46,-2585.419921875
47,235000,30.3234,293.32,69.988,868.78,47,-2633.152099609375
48,240000,30.6407,236.54,70.654,915.91,48,-2731.81005859375
49,245000,30.9733,241.05,72.2639,899.12,49,-2812.2919921875
50,250000,30.541,236.93,70.5312,923.52,50,-2852.04736328125
51,255000,31.5598,253.01,71.9056,753.0,51,-2968.2666015625
52,260000,30.7683,229.02,69.6418,901.43,52,-2992.643798828125
53,265000,30.9146,232.56,69.9434,974.44,53,-3073.18798828125
54,270000,29.7248,209.12,68.3719,915.32,54,-3121.5537109375
55,275000,29.7618,191.27,67.868,975.78,55,-3178.447509765625
56,280000,29.5488,274.22,67.3429,908.69,56,-3205.155029296875
57,285000,30.6137,294.05,70.9318,916.93,57,-3377.16650390625
58,290000,30.4865,336.26,70.5508,792.68,58,-3482.139892578125
59,295000,30.443,333.79,68.1222,865.85,59,-3478.3349609375
60,300000,30.0878,272.43,68.3181,879.34,60,-3532.263427734375
61,305000,30.0011,293.38,68.3958,836.29,61,-3624.29931640625
62,310000,30.2813,271.04,68.7722,1012.8,62,-3747.22216796875
63,315000,30.2065,290.41,68.8323,1020.01,63,-3773.887939453125
64,320000,29.8777,274.36,68.5173,886.0,64,-3871.450927734375
65,325000,29.8659,312.34,66.5175,1015.87,65,-3957.846435546875
66,330000,29.0965,296.81,66.3502,920.3,66,-3987.7490234375
67,335000,29.9801,288.56,69.1346,860.93,67,-4201.77099609375
68,340000,30.8415,346.09,70.3324,1002.94,68,-4254.14013671875
69,345000,30.5118,296.32,70.1956,929.61,69,-4363.3125
70,350000,29.9199,272.44,69.6323,889.3,70,-4410.130859375
71,355000,29.8724,296.77,68.0545,966.66,71,-4499.453125
72,360000,29.5995,328.33,65.8871,1064.34,72,-4498.68408203125
73,365000,30.4931,344.16,68.0191,966.64,73,-4683.9697265625
74,370000,30.4378,323.6,69.353,954.69,74,-4819.06005859375
75,375000,30.4893,300.35,71.0708,925.22,75,-4952.044921875
76,380000,29.8517,287.84,67.2747,1010.19,76,-4958.23876953125
77,385000,29.9982,268.03,70.0984,886.14,77,-5149.08544921875
78,390000,29.3661,327.67,66.3617,1010.8,78,-5083.66650390625
79,395000,29.496,365.1,66.7477,981.24,79,-5232.18408203125
80,400000,29.5382,413.21,66.941,981.3,80,-5234.072265625
81,405000,30.0826,327.23,68.8051,954.81,81,-5488.92919921875
82,410000,28.7323,358.26,65.3843,957.14,82,-5389.22900390625
83,415000,29.3401,312.14,65.0308,890.2,83,-5473.2900390625
84,420000,30.264,327.57,69.079,1020.31,84,-5740.99072265625
85,425000,27.4498,436.8,61.5992,1207.75,85,-5344.45361328125
86,430000,28.6234,372.94,65.6322,821.75,86,-5763.14599609375
87,435000,29.8968,335.38,68.0216,1064.18,87,-6157.08203125
88,440000,29.9772,324.78,68.968,892.7,88,-6228.83154296875
89,445000,28.309,345.82,63.3802,1115.0,89,-6033.4423828125
90,450000,29.3831,365.33,67.2841,1021.14,90,-6346.9111328125
91,455000,28.9766,348.67,66.5583,965.93,91,-6394.67041015625
92,460000,30.1628,336.34,67.9529,970.16,92,-6639.71435546875
93,465000,28.2431,488.79,61.1377,1096.2,93,-6172.78857421875
94,470000,28.5058,322.1,65.8626,879.41,94,-6716.02587890625
95,475000,29.2279,399.27,65.8235,1000.88,95,-6769.009765625
96,480000,28.1594,400.34,62.7317,1122.39,96,-6659.23193359375
97,485000,28.0342,404.26,63.1398,1080.1,97,-6910.70849609375
98,490000,28.5217,343.3,65.4216,999.27,98,-7191.03857421875
99,495000,27.4074,402.49,62.4095,1067.64,99,-7061.29150390625
100,500000,29.7992,369.95,68.7416,962.28,100,-7563.99853515625
101,505000,27.5172,447.79,62.5348,1132.44,101,-7247.02294921875
102,510000,28.8518,388.69,64.9905,1037.26,102,-7650.60595703125
103,515000,28.5635,355.74,65.5652,1041.16,103,-7790.2041015625
104,520000,26.5578,448.88,59.7992,889.7,104,-7369.9541015625
105,525000,26.4538,544.3,58.5933,1100.83,105,-7361.6552734375
106,530000,28.639,378.17,64.9824,1081.92,106,-8093.78759765625
107,535000,28.2916,388.98,63.8454,972.4,107,-8234.0263671875
108,540000,27.4317,465.97,61.4525,915.4,108,-7954.11328125
109,545000,29.4274,396.7,65.0776,949.3,109,-8559.748046875
110,550000,27.5279,409.12,60.7445,975.57,110,-8396.16015625
111,555000,28.1981,475.24,62.2285,1015.72,111,-8679.6416015625
112,560000,27.7158,537.89,62.0246,1023.93,112,-8732.6435546875
113,565000,28.8552,427.59,64.2787,891.32,113,-9082.2900390625
114,570000,25.6446,518.7,57.802,1180.6,114,-8322.56640625
115,575000,25.5518,469.28,59.2473,1035.52,115,-8617.484375
116,580000,25.9117,605.1,58.4883,1033.75,116,-8820.9521484375
117,585000,25.8974,660.41,59.5607,1114.73,117,-9081.2216796875
118,590000,26.7204,503.83,61.2341,1180.58,118,-9274.46484375
119,595000,25.4744,521.52,58.2353,1457.13,119,-9157.462890625
120,600000,26.7916,588.09,60.1192,1239.28,120,-9423.2138671875
121,605000,26.2462,682.6,59.4181,1409.3,121,-9823.1689453125
122,610000,25.529,632.0,57.8438,1513.18,122,-9188.630859375
123,615000,25.6451,621.4,57.5392,1850.11,123,-9713.91796875
124,620000,23.7403,1198.1,50.2243,1455.88,124,-6653.05419921875
125,625000,23.0195,699.45,54.5493,1820.21,125,-9008.623046875
126,630000,29.1876,500.42,64.1357,1125.34,126,-11184.3525390625
127,635000,24.3297,761.53,55.1139,1853.18,127,-9202.443359375
128,640000,20.9207,989.35,50.858,1589.3,128,-8509.7138671875
129,645000,22.1273,875.77,50.5568,1675.47,129,-8315.939453125
130,650000,25.5328,976.45,56.2571,1852.65,130,-10242.4609375
131,655000,23.3562,868.66,52.7898,1939.54,131,-9237.94921875
132,660000,24.5858,1141.01,53.8953,1987.77,132,-9622.8154296875
133,665000,23.3226,1114.65,52.5649,1885.28,133,-8965.1123046875
134,670000,22.8231,753.76,53.6665,2184.89,134,-9905.8017578125
135,675000,21.2689,1145.13,50.6531,2230.58,135,-9267.5341796875
136,680000,21.5833,1028.55,50.9451,2144.26,136,-9424.83984375
137,685000,26.5809,471.51,60.3792,1077.87,137,-12175.5068359375
138,690000,21.0506,962.74,49.6287,1991.49,138,-8092.48486328125
139,695000,21.9006,770.65,54.4865,2380.19,139,-10250.3828125
140,700000,23.7977,1501.37,51.7405,2167.58,140,-8230.634765625
141,705000,22.8274,1347.69,51.249,2586.74,141,-8920.3056640625
142,710000,20.9894,1256.29,46.5918,2131.58,142,-8064.029296875
143,715000,21.823,1731.88,53.1724,2494.61,143,-10926.7890625
144,720000,21.9758,1202.11,49.0418,2332.48,144,-8802.0556640625
145,725000,22.5843,988.89,51.3932,2645.34,145,-9227.4814453125
146,730000,22.1415,1806.71,49.8353,2915.39,146,-9221.228515625
147,735000,20.8515,1019.66,50.1076,2370.24,147,-9175.5830078125
148,740000,21.2835,1805.55,50.3217,2893.56,148,-9373.080078125
149,745000,21.2827,1624.26,48.4629,2405.13,149,-8661.744140625
150,750000,19.9187,708.51,49.5704,2213.19,150,-9141.0732421875
151,755000,21.9337,2067.08,46.8912,2974.04,151,-7740.70654296875
152,760000,26.7405,1701.22,50.2456,2542.6,152,-7697.8349609375
153,765000,19.6735,1889.9,48.7881,3270.73,153,-9087.3330078125
154,770000,21.9026,2212.71,47.7085,3132.75,154,-7635.90966796875
155,775000,25.5597,2369.23,48.4496,3648.05,155,-6119.70751953125
156,780000,25.4663,2411.44,50.5423,3526.09,156,-6914.85205078125
157,785000,21.1149,2060.8,49.073,2744.0,157,-7861.98193359375
158,790000,24.5092,2097.73,48.8152,3596.19,158,-6135.376953125
159,795000,25.2409,2527.77,49.0623,3617.75,159,-6255.09130859375
160,800000,22.3747,1807.6,51.1357,3150.83,160,-7449.8994140625
161,805000,29.7662,2532.43,50.5959,3836.29,161,-5316.04345703125
162,810000,25.4007,2336.64,50.0779,3532.47,162,-5934.40234375
163,815000,29.1355,3141.65,53.4849,3882.55,163,-6559.89453125
164,820000,29.7215,3104.23,51.2828,4080.14,164,-5634.01220703125
165,825000,31.8409,3042.97,50.8149,3875.42,165,-5522.50244140625
166,830000,25.4992,2649.18,53.4723,3370.36,166,-8445.5869140625
167,835000,26.7921,2659.44,51.2345,3440.17,167,-6784.7900390625
168,840000,24.5044,2253.31,51.254,3798.3,168,-7422.23779296875
169,845000,27.7756,2510.68,52.9058,3733.27,169,-7110.9296875
170,850000,31.3452,3167.89,55.4027,3970.76,170,-6778.767578125
171,855000,23.4776,2279.3,52.2091,3880.54,171,-7959.68994140625
172,860000,27.4919,3049.8,51.6291,4108.98,172,-6341.8486328125
173,865000,25.7857,2601.52,51.1543,3759.02,173,-7825.5830078125
174,870000,26.5509,1945.94,55.1522,3394.0,174,-9113.0078125
175,875000,32.7741,3424.26,54.3063,3592.16,175,-5970.7109375
176,880000,24.6226,2281.23,52.2711,3673.55,176,-7600.52001953125
177,885000,27.2709,2485.39,54.7714,3275.45,177,-7756.38427734375
178,890000,28.3881,3149.9,52.113,4103.32,178,-6917.24169921875
179,895000,20.8365,2357.69,54.1042,2912.36,179,-11259.4482421875
180,900000,27.1796,2301.71,52.3195,3547.77,180,-7455.537109375
181,905000,27.6401,3109.41,54.9813,3958.64,181,-9173.34765625
182,910000,25.7835,2637.38,54.2553,3724.09,182,-9094.3818359375
183,915000,30.2864,3217.77,52.195,4297.74,183,-6079.91748046875
184,920000,34.9447,2868.99,56.7997,3974.71,184,-6026.3515625
185,925000,32.3111,3331.16,55.5503,4062.39,185,-6933.87646484375
186,930000,35.5654,3254.65,55.3896,4154.75,186,-6290.41015625
187,935000,36.228,3496.6,57.5738,4088.52,187,-6240.03466796875
188,940000,31.8919,3719.85,54.2177,3827.5,188,-6398.64501953125
189,945000,31.1377,2669.07,55.4103,4171.93,189,-7956.8076171875
190,950000,27.3664,2868.04,54.5549,4077.44,190,-9920.7578125
191,955000,36.543,3541.11,58.6153,4469.75,191,-7151.326171875
192,960000,28.6553,3405.03,55.4098,4170.19,192,-8627.0869140625
193,965000,28.9845,2659.24,56.1858,3745.73,193,-9022.2890625
194,970000,23.6536,2687.82,55.8067,2750.03,194,-12339.96484375
195,975000,35.6677,3635.19,56.9819,4434.6,195,-6732.64892578125
196,980000,32.3898,3401.44,56.8109,4006.25,196,-7259.8232421875
197,985000,31.8229,3602.8,55.7903,4000.23,197,-8418.826171875
198,990000,33.7925,3018.04,58.1834,3859.29,198,-9482.95703125
199,995000,35.9927,3724.64,57.8892,4696.4,199,-6878.99755859375
200,1000000,26.5034,1754.92,55.486,3357.98,200,-9153.4404296875
201,1005000,28.2412,3194.82,55.692,3629.4,201,-9625.796875
202,1010000,28.7866,2525.19,55.9422,3289.07,202,-9894.60546875
203,1015000,30.7262,2681.11,57.7167,3468.72,203,-9979.9599609375
204,1020000,27.9197,2528.42,58.3305,4122.31,204,-12829.96484375
205,1025000,30.6294,3056.35,58.3222,3481.99,205,-11831.3779296875
206,1030000,28.5775,3152.3,58.0159,3189.91,206,-11729.6005859375
207,1035000,35.584,3796.85,59.3484,4512.16,207,-8925.7841796875
208,1040000,32.9874,3161.95,58.5841,3709.39,208,-9804.705078125
209,1045000,34.1836,2715.39,58.7088,4263.94,209,-10004.37890625
210,1050000,34.9151,3425.68,58.4779,4199.9,210,-8138.69384765625
211,1055000,42.6007,4129.44,61.1295,5050.79,211,-7318.45556640625
212,1060000,39.487,4120.54,61.0584,4454.3,212,-8312.4150390625
213,1065000,36.7556,4094.92,58.4386,4789.01,213,-9329.779296875
214,1070000,44.1391,4519.8,63.1185,5065.17,214,-8075.962890625
215,1075000,43.2743,4367.4,61.2271,5018.38,215,-8073.166015625
216,1080000,45.4551,4157.22,62.9545,4889.0,216,-7914.7646484375
217,1085000,43.7948,4611.25,62.1405,4973.22,217,-8525.97265625
218,1090000,49.1429,3424.79,65.6881,4281.93,218,-8203.9052734375
219,1095000,45.202,3959.95,63.7928,4084.11,219,-8113.59619140625
220,1100000,46.7647,4045.83,63.6095,4902.42,220,-10047.7548828125
221,1105000,39.7476,3759.87,61.8945,4445.08,221,-10497.93359375
222,1110000,43.4113,4302.44,62.1397,4895.74,222,-10204.1298828125
223,1115000,42.8134,3598.7,62.2973,3588.19,223,-10007.1787109375
224,1120000,49.2252,4531.85,65.9908,5272.87,224,-9508.9775390625
225,1125000,42.7155,4166.55,62.4817,4822.11,225,-11312.392578125
226,1130000,48.3457,4592.48,64.0463,4964.67,226,-10423.375
227,1135000,49.7796,4549.39,63.2164,4718.0,227,-10342.5068359375
228,1140000,50.0696,4541.12,64.5024,4522.62,228,-11091.9814453125
229,1145000,55.5905,4903.47,68.5258,4997.69,229,-10008.9755859375
230,1150000,54.4399,4713.15,65.8073,5404.54,230,-10477.0146484375
231,1155000,56.3771,4093.62,67.5948,4595.21,231,-10994.4951171875
232,1160000,56.5597,3782.74,67.6281,4796.2,232,-10531.04296875
233,1165000,50.7031,4217.82,64.8068,5022.32,233,-12061.9453125
234,1170000,62.1525,4732.44,72.9316,5000.87,234,-11387.2548828125
235,1175000,58.8502,4910.47,70.0594,5279.11,235,-11829.2509765625
236,1180000,56.4184,4619.76,68.3215,5121.79,236,-11593.294921875
237,1185000,55.3279,4591.8,67.2815,5400.85,237,-12123.408203125
238,1190000,50.9213,4613.2,65.3355,5203.44,238,-14152.791015625
239,1195000,62.2743,4588.23,70.2994,4990.18,239,-12632.4697265625
240,1200000,59.4496,4592.93,67.1467,5115.28,240,-13450.7041015625
241,1205000,53.1141,4535.65,65.1464,4363.47,241,-13505.859375
242,1210000,66.4745,4679.65,72.2425,5172.5,242,-13217.3798828125
243,1215000,61.5956,4930.9,71.8021,5022.9,243,-12939.1357421875
244,1220000,59.7078,4292.02,69.4816,4994.57,244,-13621.6005859375
245,1225000,62.5122,4070.17,71.2488,4732.7,245,-13643.0439453125
246,1230000,66.5896,4856.5,74.0867,5425.91,246,-13217.5419921875
247,1235000,57.6163,4308.29,67.0228,5030.11,247,-14441.18359375
248,1240000,58.2871,4684.19,67.4939,5058.6,248,-14826.4892578125
249,1245000,64.1457,4852.96,73.3422,5174.99,249,-14235.7109375
250,1250000,56.4356,4687.46,67.5121,5367.96,250,-15597.1728515625
251,1255000,62.9817,4716.35,71.7043,5317.87,251,-14689.3310546875
252,1260000,64.9882,4967.02,73.2656,5335.32,252,-15096.7607421875
253,1265000,67.9065,4529.95,73.2537,5313.87,253,-15837.4365234375
254,1270000,63.2322,5115.9,71.9725,5181.38,254,-16219.3994140625
255,1275000,66.0093,4909.07,71.5465,5403.57,255,-16645.6875
256,1280000,68.7484,5061.41,74.4435,5342.45,256,-16622.0
257,1285000,65.9699,4888.67,73.5354,5227.11,257,-16967.451171875
258,1290000,65.9174,4705.22,72.2122,5378.01,258,-16854.556640625
259,1295000,65.8608,4996.53,74.0551,5178.19,259,-16540.943359375
260,1300000,63.941,5153.19,70.209,5118.18,260,-17364.3125
261,1305000,67.8692,4967.85,75.082,4956.54,261,-17455.171875
262,1310000,68.1672,4213.38,73.2404,5167.68,262,-17877.796875
263,1315000,67.8563,4731.45,73.9447,5440.99,263,-18220.88671875
264,1320000,66.8055,4867.52,73.6393,5344.74,264,-18385.23046875
265,1325000,65.7421,4854.52,71.744,5380.16,265,-18415.06640625
266,1330000,61.8741,4818.54,69.497,5464.7,266,-18581.880859375
267,1335000,67.9593,4945.32,73.497,5356.66,267,-18791.607421875
268,1340000,66.6145,4843.42,70.8206,5368.99,268,-20325.892578125
269,1345000,64.7649,4768.84,68.8,5416.08,269,-19445.484375
270,1350000,57.9386,4867.9,67.5488,5342.18,270,-20072.529296875
271,1355000,70.946,4872.73,76.0438,5437.52,271,-20211.35546875
272,1360000,71.4259,4189.21,76.1575,4948.21,272,-19543.693359375
273,1365000,59.9335,4780.6,68.5068,5487.5,273,-21362.36328125
274,1370000,69.4381,5126.79,75.9114,5447.01,274,-20621.23828125
275,1375000,62.4904,4795.86,68.8765,4785.0,275,-22219.91796875
276,1380000,73.4047,4855.98,76.4751,5346.29,276,-21815.814453125
277,1385000,70.5015,4426.55,75.5763,5462.32,277,-21676.880859375
278,1390000,67.3347,4521.79,70.2935,5401.22,278,-22152.44921875
279,1395000,65.6058,5054.3,72.4328,5427.21,279,-22049.81640625
280,1400000,67.8141,4584.78,73.9673,5412.91,280,-21965.396484375
281,1405000,68.3216,4030.51,73.5456,5188.03,281,-23055.9765625
282,1410000,64.4006,4660.77,72.8873,5425.65,282,-21878.494140625
283,1415000,65.3598,4321.24,73.9025,4984.05,283,-23318.462890625
284,1420000,60.6924,4531.25,68.1852,5314.25,284,-23780.462890625
285,1425000,71.4041,4679.24,76.3172,5503.11,285,-22959.109375
286,1430000,68.2114,4986.8,75.0158,5450.89,286,-23336.755859375
287,1435000,69.3423,5139.69,73.9572,5466.73,287,-23257.86328125
288,1440000,73.2262,4899.14,75.3368,5445.41,288,-23856.734375
289,1445000,63.0033,4689.85,68.2756,5216.55,289,-24900.333984375
290,1450000,57.3175,5304.08,66.2093,5456.63,290,-24255.939453125
291,1455000,70.0165,5132.37,75.7069,5525.54,291,-24185.03125
292,1460000,70.9077,4619.91,76.73,4887.83,292,-24590.59375
293,1465000,69.8376,4928.3,76.7284,5455.28,293,-24920.5
294,1470000,68.4365,5126.76,74.6474,5533.18,294,-24102.58984375
295,1475000,71.5057,3479.63,74.3545,4617.64,295,-26092.134765625
296,1480000,69.3966,5059.19,75.5966,5248.6,296,-25553.869140625
297,1485000,70.1311,4874.32,74.2514,5565.75,297,-26244.7890625
298,1490000,69.4716,4991.98,75.6757,5284.52,298,-25478.140625
299,1495000,63.7211,5003.97,70.2167,5406.43,299,-26822.607421875
300,1500000,69.1718,4605.82,72.4935,5454.68,300,-27255.845703125
301,1505000,71.4372,4862.25,78.3341,5610.51,301,-26363.8671875
302,1510000,71.487,4918.07,76.4078,5606.84,302,-26343.728515625
303,1515000,68.3923,5174.08,74.7022,5610.2,303,-27180.72265625
304,1520000,70.8372,4440.22,74.7461,5211.81,304,-28500.712890625
305,1525000,70.4286,5306.55,76.1323,5407.68,305,-27359.248046875
306,1530000,68.8073,5216.15,72.2911,5509.85,306,-28918.724609375
307,1535000,49.1756,4611.97,65.0852,5345.58,307,-28349.515625
308,1540000,73.5084,5280.81,78.7337,5574.75,308,-29095.974609375
309,1545000,67.1868,5271.88,75.2552,5686.42,309,-28977.2109375
310,1550000,74.9142,5178.03,78.2152,5700.96,310,-28976.95703125
311,1555000,71.7749,4843.09,77.6606,5604.69,311,-30195.66796875
312,1560000,71.3057,4159.84,77.8693,5611.54,312,-29015.390625
313,1565000,70.0624,5187.67,76.2192,5613.48,313,-30160.2421875
314,1570000,70.7959,5326.48,77.4893,5720.23,314,-29625.10546875
315,1575000,70.6187,5297.32,77.8492,5307.01,315,-29229.052734375
316,1580000,67.9835,5243.83,77.0789,5617.58,316,-31078.482421875
317,1585000,71.0267,4832.69,76.4534,5474.15,317,-30826.837890625
318,1590000,69.2354,4647.57,75.3443,5375.91,318,-31259.1015625
319,1595000,67.9467,4745.96,70.7675,5501.95,319,-31798.298828125
320,1600000,70.8703,4859.72,76.8997,5434.77,320,-31739.08984375
321,1605000,70.7451,5243.29,77.7724,5369.81,321,-32179.083984375
322,1610000,69.1218,4893.77,78.2763,5760.42,322,-31148.986328125
323,1615000,70.2826,5132.14,77.883,5588.61,323,-32765.69921875
324,1620000,73.2216,5240.55,78.2224,5329.71,324,-32749.173828125
325,1625000,68.8269,5379.03,77.8368,5561.88,325,-33210.71484375
326,1630000,72.813,5153.83,78.2047,5243.42,326,-34079.15625
327,1635000,73.0302,5130.45,77.3624,5294.18,327,-34419.69140625
328,1640000,73.5831,4449.19,78.3897,5691.74,328,-33557.671875
329,1645000,71.4131,4807.68,76.2316,5284.87,329,-34975.5703125
330,1650000,73.43,5085.05,78.0679,5468.93,330,-34480.7734375
331,1655000,65.72,5260.2,73.6429,5678.22,331,-34769.14453125
332,1660000,73.437,5085.99,78.6352,5628.95,332,-34919.81640625
333,1665000,66.3656,4942.43,71.0606,5430.76,333,-34384.58984375
334,1670000,71.5881,5147.53,78.4769,5525.07,334,-35587.26171875
335,1675000,65.7281,4619.23,70.6892,4876.32,335,-35583.61328125
336,1680000,69.9941,4966.58,76.0402,5641.27,336,-35894.71484375
337,1685000,68.67,5240.4,76.5104,5774.65,337,-35680.50390625
338,1690000,72.4802,5115.86,77.7922,5623.03,338,-36812.01953125
339,1695000,65.129,5200.67,70.7257,5475.32,339,-36024.8046875
340,1700000,63.9082,5203.29,70.6594,5219.65,340,-35864.49609375
341,1705000,72.7427,5168.78,77.6222,5275.4,341,-37806.19140625
342,1710000,67.8697,3946.6,74.5637,5740.5,342,-36893.5625
343,1715000,70.7259,4664.91,77.3558,5431.09,343,-37782.6484375
344,1720000,68.9896,4673.94,75.9073,5420.8,344,-37667.765625
345,1725000,60.6266,4991.62,69.5584,5229.03,345,-37431.94140625
346,1730000,69.2121,4267.61,76.1373,5084.22,346,-38349.421875
347,1735000,70.2779,4967.04,76.1789,5662.17,347,-37300.52734375
348,1740000,71.5602,5261.71,76.3922,5350.38,348,-37868.62109375
349,1745000,70.3693,4543.01,77.161,5142.57,349,-37805.421875
350,1750000,67.286,4528.09,74.7373,5568.89,350,-39201.63671875
351,1755000,70.3769,5000.2,76.8969,5508.46,351,-39249.02734375
352,1760000,69.4531,4510.45,75.3934,5625.88,352,-40014.1328125
353,1765000,71.3569,5175.81,76.3021,5172.8,353,-38338.1796875
354,1770000,63.5412,4996.44,70.7889,5625.35,354,-38547.37890625
355,1775000,69.4059,4820.59,77.2553,5328.41,355,-39818.7109375
356,1780000,70.2923,5238.54,76.3781,5643.03,356,-39987.77734375
357,1785000,67.2145,5151.21,73.2764,5542.14,357,-40682.12109375
358,1790000,71.8571,4993.2,77.2812,5739.73,358,-40781.33203125
359,1795000,69.7096,4540.92,76.5445,4535.82,359,-40806.078125
360,1800000,69.2972,5041.59,78.3223,5471.28,360,-41329.57421875
361,1805000,68.1122,4706.83,74.6839,5772.86,361,-40533.2890625
362,1810000,69.5568,4288.8,75.9417,5384.92,362,-41565.40234375
363,1815000,70.3641,5451.74,78.1912,5870.51,363,-42412.6953125
364,1820000,70.4319,5434.06,76.8825,5857.14,364,-41021.609375
365,1825000,67.924,4971.71,76.1319,5740.06,365,-40163.69921875
366,1830000,67.0722,5116.42,77.1762,5218.66,366,-40849.765625
367,1835000,66.1784,4782.09,75.3087,5804.04,367,-42035.109375
368,1840000,67.2106,4509.42,76.5607,5307.39,368,-41305.44140625
369,1845000,71.0058,5263.98,78.9439,5673.08,369,-42222.62109375
370,1850000,66.8586,5169.99,75.3015,5602.88,370,-42732.64453125
371,1855000,68.4057,4116.49,77.2002,5230.12,371,-41844.16015625
372,1860000,65.6331,5021.47,71.0005,5758.52,372,-43124.90234375
373,1865000,59.5865,5367.34,68.3166,5879.86,373,-40994.76171875
374,1870000,67.0444,5458.94,77.4228,5853.99,374,-42837.3515625
375,1875000,65.7412,5049.81,74.6321,5635.27,375,-43525.70703125
376,1880000,68.9956,4459.48,77.5797,5659.02,376,-44381.13671875
377,1885000,65.6233,5271.48,76.108,5895.96,377,-43755.60546875
378,1890000,66.5039,4852.19,77.0816,5826.31,378,-45693.84765625
379,1895000,66.4315,5018.11,76.5621,5500.44,379,-44547.14453125
380,1900000,68.1618,5318.08,76.9065,5652.89,380,-45147.98828125
381,1905000,66.8246,4838.87,75.8184,5566.02,381,-44203.57421875
382,1910000,67.0523,5290.83,76.2523,5801.33,382,-44673.95703125
383,1915000,66.2422,5063.31,76.3574,5423.87,383,-45215.09375
384,1920000,67.7201,5414.49,75.6731,5782.38,384,-44740.28125
385,1925000,65.3741,5275.4,74.2992,5825.25,385,-46050.3203125
386,1930000,70.2148,5538.95,76.0299,5792.48,386,-45618.46484375
387,1935000,69.5851,5593.68,76.3612,5811.24,387,-46421.36328125
388,1940000,69.919,5457.06,77.1547,5926.08,388,-47552.50390625
389,1945000,68.765,5418.12,76.8268,5715.56,389,-47135.22265625
390,1950000,70.2908,5002.12,76.2847,4813.1,390,-46772.4140625
391,1955000,69.6541,3967.17,77.0573,5298.63,391,-48152.1875
392,1960000,63.4109,5147.51,69.2779,5599.6,392,-45894.03515625
393,1965000,64.983,5373.58,70.9191,5784.34,393,-46924.83984375
