Itration,Running Env Steps,Real Sto Return,Real Det Return,Running Forward KL,Running Reverse KL,Running Update Time,Reward Loss
30,150000,893.53,701.08,350.4851,261.0933,30,-8308.099609375
31,155000,982.3,740.27,337.8695,212.2423,31,-6068.123046875
32,160000,802.02,667.62,339.0084,234.9568,32,-7959.84326171875
33,165000,1030.01,704.75,328.3614,199.8411,33,-6804.1728515625
34,170000,1262.95,652.63,321.9538,217.8683,34,-7580.6259765625
35,175000,1331.44,691.34,315.6313,202.9799,35,-6938.1708984375
36,180000,1285.8,844.03,337.969,219.3897,36,-7810.77783203125
37,185000,1255.41,773.92,320.2235,200.8626,37,-7390.1484375
38,190000,1334.09,773.95,323.0171,198.6788,38,-7037.10400390625
39,195000,1279.55,682.8,312.0737,159.1248,39,-5247.37841796875
40,200000,1398.6,617.12,326.2007,168.9356,40,-5601.72265625
41,205000,1606.01,784.67,314.4438,196.9338,41,-7634.69482421875
42,210000,1241.0,776.85,359.2808,232.5806,42,-8887.0576171875
43,215000,1045.56,672.68,324.2054,204.2159,43,-7619.7568359375
44,220000,1428.25,699.45,334.6217,228.5057,44,-8279.4931640625
45,225000,1416.02,682.84,345.9497,208.7579,45,-7663.9169921875
46,230000,1038.19,625.92,342.6951,223.6385,46,-8515.9892578125
47,235000,1711.62,843.94,323.946,169.9921,47,-6365.708984375
48,240000,2146.45,2227.75,309.355,164.2744,48,-5806.2626953125
49,245000,1484.97,653.65,321.8401,179.2949,49,-7148.140625
50,250000,2527.46,1494.66,306.2901,145.2665,50,-4946.5830078125
51,255000,2565.15,678.46,311.6825,191.3338,51,-8210.7490234375
52,260000,2137.78,946.34,304.089,173.5425,52,-6956.03125
53,265000,2179.28,866.16,304.7733,163.3873,53,-5887.1669921875
54,270000,1775.43,1130.48,329.1896,192.3258,54,-7841.658203125
55,275000,1219.22,598.58,330.2539,231.0449,55,-9244.998046875
56,280000,1415.34,1239.26,315.1935,190.3013,56,-7407.6337890625
57,285000,1989.07,741.39,309.0391,157.8942,57,-6076.7392578125
58,290000,2980.84,1836.55,305.7328,136.4661,58,-5103.6875
59,295000,3024.52,1523.24,299.7083,177.4856,59,-7282.234375
60,300000,2958.59,1631.09,306.0672,170.7931,60,-7416.54296875
61,305000,3017.07,4178.26,299.6356,121.8536,61,-4512.83056640625
62,310000,2510.84,3834.69,301.9273,127.7542,62,-4824.6015625
63,315000,3523.31,2359.13,302.0573,134.0462,63,-4500.68603515625
64,320000,2871.9,2392.71,316.9467,166.5144,64,-7016.3828125
65,325000,3157.39,3666.87,302.3245,111.1201,65,-3060.1796875
66,330000,3811.97,3172.75,301.7016,127.0528,66,-4653.94580078125
67,335000,2081.72,2155.84,312.7563,191.0751,67,-8286.80859375
68,340000,2107.23,3291.84,330.3618,204.7785,68,-8886.65625
69,345000,3092.52,3384.79,310.0975,134.6904,69,-5212.3173828125
70,350000,3079.4,2337.98,304.2988,132.3553,70,-4658.7744140625
71,355000,1982.78,1886.99,320.1607,197.2475,71,-9398.4765625
72,360000,4046.94,4428.32,301.8097,139.3846,72,-6607.3916015625
73,365000,4568.04,4451.13,290.4087,101.4965,73,-3134.3212890625
74,370000,4705.02,3454.52,282.4121,83.0407,74,-2523.51416015625
75,375000,4584.85,4164.17,283.7909,81.7742,75,-2084.040283203125
76,380000,4544.41,3314.56,294.4338,102.0765,76,-3213.0947265625
77,385000,3633.83,2910.94,301.655,152.3603,77,-6930.4345703125
78,390000,4667.12,4070.61,281.8812,91.1043,78,-3888.3447265625
79,395000,4297.09,4613.97,291.9948,104.9619,79,-4292.46435546875
80,400000,4703.89,5042.39,280.4563,85.6639,80,-3826.56591796875
81,405000,4917.62,3718.39,301.3976,103.7757,81,-4665.5263671875
82,410000,3443.56,4741.19,295.8383,112.3521,82,-5230.513671875
83,415000,4430.84,4503.44,304.9509,129.5275,83,-5626.2294921875
84,420000,3822.53,5225.4,288.9788,89.2479,84,-3273.314453125
85,425000,4312.43,4955.05,291.5339,91.4539,85,-3506.724609375
86,430000,4902.36,5198.61,289.1951,93.7172,86,-3637.842529296875
87,435000,4596.16,5212.44,294.6732,131.1814,87,-6860.7158203125
88,440000,5076.21,5251.93,283.518,89.962,88,-4804.55224609375
89,445000,5027.79,5249.16,296.6016,106.1881,89,-4678.16796875
90,450000,3915.67,5204.87,301.7356,110.2311,90,-5587.8076171875
91,455000,4293.97,5218.12,294.0043,95.7003,91,-4569.1748046875
92,460000,4608.07,5198.54,293.9665,108.2011,92,-5882.07177734375
93,465000,4344.4,4946.1,287.3586,92.2805,93,-5379.86474609375
94,470000,4338.71,5092.98,292.9815,114.4436,94,-6694.076171875
95,475000,4327.28,4885.15,280.779,88.2413,95,-5714.2939453125
96,480000,4128.38,4945.92,296.6425,122.8827,96,-7372.73876953125
97,485000,4446.58,5305.55,276.964,93.2157,97,-6246.09130859375
98,490000,4044.42,5271.03,281.8716,82.2737,98,-5976.7353515625
99,495000,5146.39,5226.84,276.2461,82.2345,99,-5824.375
100,500000,5143.44,5284.42,272.4104,68.8848,100,-5576.3837890625
101,505000,4705.17,5251.86,288.8242,92.0507,101,-6702.8212890625
102,510000,4999.34,5301.21,272.9152,71.7688,102,-6399.3251953125
103,515000,4188.51,5082.55,290.6138,110.7068,103,-7545.8896484375
104,520000,4984.44,5243.09,279.2013,85.3816,104,-6921.40380859375
105,525000,4980.99,5291.95,259.4451,60.2038,105,-6000.390625
106,530000,4105.05,5226.45,258.8478,55.885,106,-6265.81982421875
107,535000,4757.1,5341.64,271.8547,87.2475,107,-7647.8681640625
108,540000,4846.85,5321.59,262.2306,59.8721,108,-6436.00341796875
109,545000,4354.91,5072.37,266.6869,63.3665,109,-6780.36181640625
110,550000,5139.51,5316.1,265.0289,86.6257,110,-7332.18310546875
111,555000,5173.1,5269.18,264.179,73.8853,111,-7733.205078125
112,560000,4720.95,5298.58,261.6693,56.4951,112,-7012.7392578125
113,565000,5224.95,5300.65,267.5521,90.4085,113,-8223.8115234375
114,570000,4841.98,5331.83,264.0204,74.6569,114,-7757.646484375
115,575000,5011.95,5301.01,266.9191,69.2742,115,-8049.34765625
116,580000,4687.56,4955.02,264.6075,74.8798,116,-8021.5234375
117,585000,4878.57,5315.6,261.6627,65.7395,117,-8006.3828125
118,590000,4960.04,5223.58,259.526,58.0886,118,-7846.8896484375
119,595000,4906.33,5309.65,254.786,54.9256,119,-7621.65478515625
120,600000,4862.29,5231.63,258.4219,53.2383,120,-7910.611328125
121,605000,4721.2,5098.93,259.4179,57.1599,121,-8501.1474609375
122,610000,4905.07,5352.82,257.1725,58.2143,122,-8309.8955078125
123,615000,4927.39,5332.35,262.7218,65.5365,123,-8817.072265625
124,620000,4093.14,5301.13,262.8903,70.8089,124,-9149.96875
125,625000,4543.45,5090.05,263.0246,75.8712,125,-9192.8935546875
126,630000,3805.14,3461.75,284.3194,147.9307,126,-10737.4443359375
127,635000,4092.09,5237.04,262.2918,62.869,127,-9036.630859375
128,640000,4648.95,5295.67,262.3209,60.3197,128,-9350.400390625
129,645000,4791.31,5322.75,260.3146,71.8193,129,-9393.3115234375
130,650000,5158.64,5067.4,256.9043,56.4667,130,-9490.0556640625
131,655000,4348.66,5105.11,263.3952,57.4936,131,-9835.625
132,660000,4175.62,5217.93,270.3456,73.04,132,-10229.150390625
133,665000,4696.16,5291.06,254.882,47.4986,133,-9662.19140625
134,670000,4426.51,5222.72,262.8357,77.0322,134,-10262.125
135,675000,3861.92,4911.56,258.6918,70.0406,135,-10346.4189453125
136,680000,4228.69,5092.18,268.9054,92.8257,136,-10767.6337890625
137,685000,4923.32,5304.77,260.4563,61.5822,137,-10645.3359375
138,690000,4776.68,4848.88,262.1893,72.8202,138,-10748.904296875
139,695000,4414.38,4837.75,268.0739,59.5311,139,-10979.6171875
140,700000,4572.61,4604.39,265.0707,67.0823,140,-11044.9697265625
141,705000,4346.7,5256.8,271.4687,85.6612,141,-11384.052734375
142,710000,4197.43,4889.73,271.3505,74.9689,142,-11302.6064453125
143,715000,4711.53,4974.88,257.1265,66.4724,143,-11111.7958984375
144,720000,4911.76,5130.89,261.0067,79.011,144,-11860.8798828125
145,725000,4047.33,3607.57,257.4047,48.8583,145,-10862.5009765625
146,730000,4248.03,4491.39,263.6988,59.0322,146,-11587.3466796875
147,735000,4623.6,5092.84,260.4293,57.4205,147,-11666.56640625
148,740000,3149.55,4082.65,280.0766,116.835,148,-12074.6611328125
149,745000,4390.5,4400.46,256.5874,61.0101,149,-12097.666015625
150,750000,4740.78,4826.34,262.4029,59.2013,150,-11909.7822265625
151,755000,5110.17,5139.19,267.439,62.2187,151,-12379.796875
152,760000,5104.52,5032.59,266.5491,66.5104,152,-12541.3779296875
153,765000,4638.77,4976.59,261.4839,57.8913,153,-12241.484375
154,770000,4901.45,5236.41,255.2971,51.0141,154,-12139.8564453125
155,775000,4420.99,5283.74,254.3602,53.4055,155,-12321.7197265625
156,780000,4723.36,5245.7,263.9221,59.2731,156,-12912.42578125
157,785000,4886.69,4962.61,257.9445,51.0039,157,-12354.51171875
158,790000,5102.54,5181.38,258.8811,51.7848,158,-12651.986328125
159,795000,4145.45,4936.92,279.9939,80.1198,159,-13266.9462890625
160,800000,4714.05,4458.88,263.5803,64.4978,160,-12835.412109375
161,805000,4745.24,5070.02,262.6724,60.8279,161,-13091.0625
162,810000,4818.31,5013.49,262.5829,68.1574,162,-13011.2783203125
163,815000,4448.26,2529.53,262.9512,68.1892,163,-13118.9560546875
164,820000,4675.58,3493.72,265.0385,74.4606,164,-13340.015625
165,825000,3548.45,5265.16,260.2628,81.222,165,-13279.5029296875
166,830000,4446.6,5185.72,259.4343,60.5058,166,-13597.228515625
167,835000,5028.32,4753.21,252.223,51.3511,167,-13490.4033203125
168,840000,4728.68,5256.66,260.446,57.1753,168,-13865.3662109375
169,845000,3394.0,4862.81,264.3696,68.9755,169,-14050.46875
170,850000,4773.89,4453.34,256.8595,52.5487,170,-13431.0439453125
171,855000,4416.49,4849.18,263.3054,63.9217,171,-13731.5419921875
172,860000,4233.26,2922.59,279.3163,94.3773,172,-14843.4580078125
173,865000,5034.31,3803.46,264.9574,82.7835,173,-14332.0068359375
174,870000,4450.41,4789.05,275.0276,78.3104,174,-15038.7783203125
175,875000,4863.87,4832.35,263.6264,66.0981,175,-14662.9560546875
176,880000,4802.91,3586.54,266.1685,63.6721,176,-14619.380859375
177,885000,5108.78,5266.43,255.4342,59.6221,177,-14242.033203125
178,890000,4932.53,5248.71,255.6769,60.2048,178,-13971.8173828125
179,895000,4524.4,3919.75,258.5244,58.0345,179,-13940.5517578125
180,900000,4623.14,3750.71,265.4093,68.1533,180,-14506.8984375
181,905000,4457.76,5093.49,262.859,72.0254,181,-14632.1103515625
182,910000,4865.39,5083.5,258.3744,60.4637,182,-14506.34375
183,915000,4832.55,4356.89,256.8356,56.9097,183,-14503.8681640625
184,920000,4803.3,3872.58,266.5597,83.2911,184,-15188.0625
185,925000,4504.24,4972.24,264.3281,70.673,185,-15230.017578125
186,930000,3999.07,5182.52,258.29,79.9955,186,-14236.083984375
187,935000,4462.17,4904.66,259.4302,71.5711,187,-14703.4541015625
188,940000,4279.31,5255.25,252.0528,52.7848,188,-14390.91015625
189,945000,5028.46,5088.34,257.4473,76.0082,189,-14732.6220703125
190,950000,4730.19,4822.4,256.9039,55.7332,190,-15012.9521484375
191,955000,4193.19,4647.84,257.1011,57.6663,191,-15118.125
192,960000,4122.22,5261.11,265.7391,74.584,192,-15211.587890625
