Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Det Return,Real Sto Return
19.7839,-2508.33984375,685000,29.0266,137,137,1027.53,2379.57
18.7101,-2044.91845703125,690000,25.2268,138,138,2299.9,1970.74
16.5699,-1884.2916259765625,695000,25.2109,139,139,2269.9,2442.8
17.1805,-2246.311767578125,700000,25.7816,140,140,1728.89,2149.48
16.1635,-2554.454833984375,705000,26.5465,141,141,1118.11,1753.82
16.7368,-1028.260986328125,710000,26.2479,142,142,2400.32,2679.74
17.4422,-1209.6002197265625,715000,26.4692,143,143,3072.31,2820.3
16.2319,-980.2887573242188,720000,25.5634,144,144,3028.7,2704.49
18.5031,-1117.85302734375,725000,27.9374,145,145,2987.94,2951.11
21.2249,-3327.41064453125,730000,26.7863,146,146,1810.86,1598.64
16.0968,-1472.6845703125,735000,24.3014,147,147,3009.71,2801.49
21.2773,-2755.54541015625,740000,26.7082,148,148,1346.71,2565.12
19.01,-1520.312744140625,745000,28.2711,149,149,3060.93,3075.33
18.1935,-1392.1978759765625,750000,26.3717,150,150,2970.24,2987.63
22.3423,-3048.163818359375,755000,26.3677,151,151,1253.32,2327.34
24.6574,-3548.1328125,760000,26.4473,152,152,3120.42,2585.29
17.197,-1351.511474609375,765000,25.0541,153,153,3095.16,2970.36
17.7113,-3530.52001953125,770000,26.0563,154,154,1292.31,1791.11
18.2383,-1202.26513671875,775000,26.9137,155,155,3103.83,3064.02
18.2137,-1061.1502685546875,780000,27.1479,156,156,3066.53,3102.95
20.7361,-1334.8704833984375,785000,26.8623,157,157,3165.33,2392.05
18.3395,-1315.068603515625,790000,27.1364,158,158,3062.11,3069.01
17.5079,-1129.854736328125,795000,26.2009,159,159,3092.52,3082.04
18.9288,-1215.521484375,800000,27.8918,160,160,3118.25,3118.52
15.7135,-3018.521728515625,805000,24.4376,161,161,3077.16,2706.49
18.2751,-1361.106689453125,810000,26.9838,162,162,2975.06,3067.18
18.2685,-955.55419921875,815000,27.0344,163,163,3143.3,3153.6
17.2723,-1350.1005859375,820000,26.8174,164,164,3116.94,2925.43
17.8529,-1317.857177734375,825000,26.9049,165,165,3085.25,3150.41
20.1532,-1531.77392578125,830000,28.0427,166,166,3027.09,3112.76
18.0971,-1062.44091796875,835000,26.5596,167,167,3126.64,3046.2
16.9324,-783.8099975585938,840000,25.5256,168,168,3150.37,3148.91
17.5645,-1766.8822021484375,845000,27.7352,169,169,2997.58,2966.94
17.9471,-1581.92919921875,850000,26.7074,170,170,3146.56,2956.12
17.7855,-1369.4908447265625,855000,25.436,171,171,3182.08,3025.35
18.1655,-1262.6943359375,860000,27.3587,172,172,3156.95,3141.45
17.9334,-1898.01953125,865000,27.4626,173,173,3001.48,3026.11
17.0384,-1262.0872802734375,870000,25.4663,174,174,3100.06,3051.92
15.3179,-1494.2933349609375,875000,25.0846,175,175,3112.73,3107.86
17.7819,-2079.494140625,880000,25.5148,176,176,3111.4,2769.52
18.8144,-1998.68017578125,885000,27.4507,177,177,3082.02,3078.84
18.1958,-1553.0621337890625,890000,26.8668,178,178,3099.6,3103.47
16.509,-1478.3662109375,895000,25.2601,179,179,2991.37,2960.35
17.6134,-2185.034423828125,900000,26.3073,180,180,3085.99,3086.35
19.84,-2379.436279296875,905000,28.1023,181,181,2856.47,2861.71
19.2823,-2889.2509765625,910000,27.4811,182,182,2748.32,2656.07
17.348,-2050.248291015625,915000,26.3738,183,183,3131.91,2840.87
16.1749,-2306.798583984375,920000,26.5381,184,184,2788.93,2762.2
16.4593,-1571.3525390625,925000,26.5036,185,185,2993.55,2997.35
17.2675,-1675.5185546875,930000,26.7676,186,186,3022.58,3028.59
14.3019,-2161.33447265625,935000,25.2172,187,187,3198.74,2807.32
16.6971,-1360.74951171875,940000,25.6703,188,188,3151.21,3171.96
15.1277,-1408.259765625,945000,25.0936,189,189,3041.66,3035.31
16.4765,-1486.468505859375,950000,26.5745,190,190,3059.05,3073.99
24.0792,-3594.779541015625,955000,26.3193,191,191,216.45,390.12
19.2328,-2388.121337890625,960000,27.1656,192,192,2881.72,2952.66
18.4897,-1770.8013916015625,965000,25.9046,193,193,3010.59,3057.74
16.9315,-1471.4495849609375,970000,25.1875,194,194,3036.61,3013.0
15.3656,-1286.9658203125,975000,25.0993,195,195,3148.09,3123.79
16.3932,-1776.005859375,980000,24.9954,196,196,3062.9,2889.71
16.3884,-4380.5693359375,985000,26.9115,197,197,1076.54,1522.45
17.1686,-1565.511474609375,990000,26.5598,198,198,2793.49,2836.69
21.9295,-5768.85693359375,995000,30.9702,199,199,990.12,985.09
