Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Env Steps,Itration,Running Reverse KL
4730.97,5621.66,89,81.3754,-923.29443359375,445000,89,68.7941
4766.28,4965.59,90,84.4498,-963.2510986328125,450000,90,72.4902
4178.29,5069.15,91,81.4999,-997.55078125,455000,91,71.7248
4231.05,5099.95,92,86.9596,-1021.03564453125,460000,92,74.2247
3669.17,4188.0,93,81.8952,-1008.1778564453125,465000,93,69.0966
4584.44,4787.37,94,72.6544,-1062.2802734375,470000,94,63.39
4605.57,5016.37,95,73.9414,-1049.5445556640625,475000,95,64.8187
4719.04,5200.78,96,88.3974,-1088.0714111328125,480000,96,81.1023
4906.96,5232.8,97,84.0514,-1133.87939453125,485000,97,77.0999
4116.68,5234.32,98,80.8031,-1108.0416259765625,490000,98,70.7541
4830.71,4993.46,99,87.3471,-1180.0211181640625,495000,99,80.1123
4705.78,4989.87,100,74.1664,-1159.367431640625,500000,100,63.1265
4945.55,5510.17,101,82.5874,-1227.682373046875,505000,101,75.5198
5022.01,5347.12,102,82.7746,-1245.0120849609375,510000,102,77.3771
4546.28,5404.64,103,75.3731,-1212.2840576171875,515000,103,66.2626
5120.74,5352.25,104,91.2275,-1301.365478515625,520000,104,88.6373
4917.27,5270.56,105,81.7564,-1217.9918212890625,525000,105,71.979
3990.43,4607.98,106,85.1381,-1343.699951171875,530000,106,82.5164
4240.52,5616.1,107,86.2883,-1328.276611328125,535000,107,74.1042
5100.71,5531.53,108,87.7665,-1375.0989990234375,540000,108,85.0617
5144.0,5500.93,109,88.4607,-1356.225830078125,545000,109,84.423
5132.37,5198.88,110,74.6517,-1369.49755859375,550000,110,67.4302
4551.88,5574.7,111,83.223,-1434.8170166015625,555000,111,77.5006
4270.64,5433.89,112,78.7482,-1493.47705078125,560000,112,75.7813
5193.76,5566.4,113,80.958,-1432.148193359375,565000,113,81.7985
4789.97,5183.24,114,79.3291,-1474.39697265625,570000,114,80.8826
4032.88,5434.07,115,91.5849,-1529.2677001953125,575000,115,89.6741
4921.59,5594.35,116,88.3676,-1569.0233154296875,580000,116,84.4077
4910.81,5569.07,117,78.0467,-1529.7816162109375,585000,117,80.0784
4430.18,5546.14,118,88.8587,-1579.9122314453125,590000,118,85.1096
4162.35,5327.76,119,85.4215,-1592.072509765625,595000,119,80.5612
4300.73,5578.75,120,85.3231,-1624.6531982421875,600000,120,84.9053
4955.62,5398.25,121,76.7461,-1672.0528564453125,605000,121,72.9449
5095.05,5706.85,122,89.4184,-1741.1177978515625,610000,122,85.9942
4836.28,5636.55,123,93.1139,-1751.0057373046875,615000,123,90.16
4941.42,4943.71,124,77.4184,-1724.1895751953125,620000,124,75.7377
5318.57,5238.19,125,82.398,-1743.837890625,625000,125,79.5546
4916.14,5549.43,126,87.9796,-1813.8072509765625,630000,126,80.4598
5010.67,5832.79,127,83.2607,-1899.22998046875,635000,127,81.7881
4737.62,5403.22,128,86.2765,-1867.3046875,640000,128,86.0668
4574.27,5269.46,129,77.6911,-1866.1651611328125,645000,129,74.4888
4493.34,5708.84,130,79.1008,-1905.0040283203125,650000,130,76.2402
5262.8,5407.37,131,89.3032,-1976.0489501953125,655000,131,86.5336
5090.57,5137.4,132,89.1938,-2029.438720703125,660000,132,80.2049
5224.33,5728.99,133,88.2301,-2015.6583251953125,665000,133,83.7712
5351.58,5563.38,134,89.0938,-2080.595703125,670000,134,81.3669
5323.93,5553.48,135,90.0222,-2078.833984375,675000,135,88.7318
5333.88,5498.02,136,80.1568,-2140.34130859375,680000,136,82.6031
5053.55,5606.71,137,81.7679,-2110.841796875,685000,137,79.1561
5226.16,5666.71,138,90.4148,-2197.995361328125,690000,138,90.4308
4898.77,5375.71,139,76.0111,-2089.391845703125,695000,139,76.2955
4937.95,5391.28,140,84.5091,-2244.430908203125,700000,140,85.399
4880.33,5500.98,141,89.8501,-2301.76318359375,705000,141,80.2113
4897.18,5066.52,142,76.1582,-2216.490234375,710000,142,74.3413
4916.68,5869.97,143,90.4681,-2372.86669921875,715000,143,83.5143
4401.35,5598.12,144,76.6598,-2283.0078125,720000,144,71.8433
5178.69,5641.05,145,76.6675,-2333.477783203125,725000,145,75.5748
5016.32,4862.48,146,90.6833,-2442.26953125,730000,146,82.2843
5004.93,5513.67,147,92.7155,-2565.354736328125,735000,147,91.2606
4952.04,5294.83,148,82.1853,-2458.42626953125,740000,148,80.2344
5196.69,5691.86,149,80.2185,-2546.04638671875,745000,149,81.1951
4757.47,5305.19,150,88.5107,-2607.688232421875,750000,150,81.0458
5136.18,5645.62,151,89.7804,-2664.8330078125,755000,151,84.8518
5091.43,5826.85,152,91.8678,-2678.681884765625,760000,152,85.5441
4667.14,5212.39,153,89.3696,-2680.501220703125,765000,153,83.2318
4894.79,5344.9,154,91.8647,-2800.489501953125,770000,154,85.9306
5294.46,5554.05,155,90.9898,-2733.976318359375,775000,155,84.3049
5241.72,5296.56,156,83.0902,-2835.3701171875,780000,156,80.8479
5532.96,5651.53,157,81.1094,-2848.061767578125,785000,157,82.4638
4921.25,5442.76,158,81.2053,-2850.284912109375,790000,158,79.7924
5256.59,5704.72,159,90.2539,-2971.204833984375,795000,159,84.8508
5037.33,5773.13,160,91.405,-3023.797119140625,800000,160,86.7509
5315.93,5243.41,161,79.5336,-2885.179931640625,805000,161,81.4732
4394.16,5667.29,162,92.0842,-3090.174560546875,810000,162,84.5694
5400.15,5679.3,163,92.4311,-3124.62841796875,815000,163,89.2807
5044.73,5792.4,164,85.6721,-3107.30224609375,820000,164,84.1805
5319.96,5057.92,165,90.0115,-3120.04833984375,825000,165,87.1096
5159.93,5309.26,166,81.1583,-3244.593994140625,830000,166,82.1746
5062.77,5733.34,167,89.8199,-3293.90478515625,835000,167,85.8391
5404.24,5614.66,168,83.0461,-3289.328369140625,840000,168,80.5698
5395.42,5757.99,169,89.7524,-3363.595458984375,845000,169,83.7116
5532.97,5903.32,170,90.025,-3444.139892578125,850000,170,86.7898
4948.57,5856.42,171,88.521,-3482.443359375,855000,171,88.1788
5183.47,5750.02,172,90.6257,-3651.680908203125,860000,172,86.0546
5529.37,5860.86,173,88.6728,-3598.962158203125,865000,173,85.5594
4934.38,5868.05,174,88.8857,-3674.060302734375,870000,174,87.9888
5101.08,5857.8,175,76.3899,-3419.956787109375,875000,175,76.6085
5558.3,5816.45,176,90.2122,-3705.736572265625,880000,176,91.9457
5391.92,5730.83,177,92.9408,-3875.661865234375,885000,177,90.3563
4715.56,4717.57,178,90.3165,-3805.3359375,890000,178,89.1067
5152.86,5519.76,179,89.3278,-3899.211669921875,895000,179,89.3647
5303.45,5587.28,180,91.3071,-3835.332763671875,900000,180,87.6098
5385.6,5395.09,181,79.1849,-3815.114013671875,905000,181,78.6474
5695.88,5955.75,182,88.4072,-4045.333984375,910000,182,84.8458
5584.37,5641.54,183,79.3716,-3906.263427734375,915000,183,78.2123
5161.62,5771.51,184,89.0814,-4053.7734375,920000,184,82.6282
5117.71,5278.96,185,81.1953,-4060.029541015625,925000,185,80.6699
5329.66,5645.13,186,86.1526,-4202.076171875,930000,186,88.5546
4917.15,5200.24,187,89.6406,-4236.0810546875,935000,187,85.5498
5634.82,5477.8,188,83.291,-4182.4140625,940000,188,79.7838
5372.29,5831.84,189,90.1227,-4363.59033203125,945000,189,87.4745
5288.02,5805.01,190,92.3651,-4477.03662109375,950000,190,92.9897
5060.99,5831.55,191,90.0412,-4440.03125,955000,191,86.6347
4997.82,5843.7,192,90.7477,-4446.63134765625,960000,192,83.6226
5068.47,5568.97,193,78.3519,-4413.2978515625,965000,193,80.2646
5577.69,5895.89,194,91.6341,-4664.74560546875,970000,194,90.6414
5292.72,5750.65,195,90.0234,-4699.09716796875,975000,195,88.3676
4699.51,5863.63,196,80.5414,-4571.88623046875,980000,196,81.7246
5176.97,5515.56,197,82.3307,-4744.5341796875,985000,197,84.1077
5317.3,5726.61,198,79.4726,-4768.82080078125,990000,198,78.6353
5277.17,5857.54,199,81.4099,-4708.6748046875,995000,199,76.9082
5220.37,5913.87,200,89.7416,-5020.0703125,1000000,200,83.8138
5463.56,5600.98,201,90.786,-5033.4560546875,1005000,201,87.2547
5523.4,5905.16,202,90.9333,-5074.4814453125,1010000,202,85.4032
5223.96,5801.01,203,89.1071,-5124.74609375,1015000,203,83.9891
4964.74,5653.02,204,92.165,-5204.396484375,1020000,204,87.2169
5627.53,5852.1,205,91.6348,-5261.65283203125,1025000,205,88.3537
5466.91,5672.57,206,92.695,-5293.97216796875,1030000,206,88.0424
5201.15,5531.08,207,80.3206,-5147.84423828125,1035000,207,81.1461
5343.46,5814.83,208,90.2105,-5428.69189453125,1040000,208,88.4303
5648.03,5936.82,209,93.2909,-5521.13134765625,1045000,209,91.653
5381.06,5928.6,210,92.5423,-5571.66650390625,1050000,210,87.2068
5338.1,5611.98,211,91.3062,-5566.1162109375,1055000,211,85.5386
5387.47,5709.04,212,79.2354,-5404.8603515625,1060000,212,81.9122
5445.6,5938.32,213,78.4511,-5482.04345703125,1065000,213,79.5473
5021.4,5679.61,214,91.0634,-5740.56201171875,1070000,214,89.6211
5104.04,6033.25,215,91.5595,-5813.34423828125,1075000,215,88.3142
5209.09,6024.57,216,91.5246,-5873.14599609375,1080000,216,86.1933
5286.94,5962.63,217,93.1901,-5988.1904296875,1085000,217,90.3278
5402.28,5937.85,218,80.2067,-5801.83349609375,1090000,218,84.1746
5254.63,5908.89,219,76.82,-5633.908203125,1095000,219,78.4386
5421.16,5836.7,220,78.7586,-5913.60986328125,1100000,220,82.1394
5460.84,5828.32,221,91.5006,-6234.79052734375,1105000,221,89.3808
5605.89,5821.44,222,79.4012,-5998.88330078125,1110000,222,79.6217
5643.35,5926.52,223,94.2416,-6335.27734375,1115000,223,94.2481
4795.61,6013.92,224,90.2302,-6384.32666015625,1120000,224,83.8447
5682.07,6039.51,225,79.2501,-6186.099609375,1125000,225,79.9862
5359.54,6008.69,226,91.0577,-6475.77294921875,1130000,226,86.3078
5528.74,5663.27,227,93.2444,-6497.349609375,1135000,227,90.6084
5403.16,6016.41,228,91.7632,-6570.21484375,1140000,228,90.3849
5659.59,6046.62,229,92.3108,-6625.23095703125,1145000,229,88.2976
5172.56,5947.79,230,93.843,-6683.0654296875,1150000,230,90.8601
5206.75,5759.77,231,91.0038,-6729.9423828125,1155000,231,86.2009
5338.61,6020.38,232,92.0538,-6765.5830078125,1160000,232,90.2041
5650.06,6000.7,233,77.1558,-6357.623046875,1165000,233,74.5672
5615.91,5880.43,234,91.9166,-6952.28955078125,1170000,234,92.6632
5648.87,6057.86,235,89.496,-6887.39501953125,1175000,235,83.325
5526.37,5670.07,236,91.0674,-7025.89013671875,1180000,236,83.6793
5483.26,5539.46,237,91.22,-7014.67724609375,1185000,237,85.5677
5589.38,6108.16,238,89.5601,-7101.072265625,1190000,238,85.4589
5590.89,5997.65,239,77.2466,-6708.16796875,1195000,239,74.6057
5066.41,5933.93,240,90.8836,-7218.11767578125,1200000,240,84.6474
5535.77,5986.85,241,78.6738,-7012.1650390625,1205000,241,78.6734
5514.77,6022.94,242,89.5257,-7333.978515625,1210000,242,84.4813
5406.74,6060.51,243,90.1783,-7421.2568359375,1215000,243,88.7077
5592.57,5814.46,244,90.1531,-7500.427734375,1220000,244,83.7561
5535.72,5696.31,245,91.2486,-7484.0869140625,1225000,245,86.1145
5515.07,5989.63,246,90.4951,-7626.8330078125,1230000,246,88.7506
5648.41,5912.17,247,75.2462,-7093.0146484375,1235000,247,71.9915
5698.29,6041.5,248,91.2221,-7726.21875,1240000,248,86.0832
4998.72,5727.54,249,89.8041,-7704.4677734375,1245000,249,86.3334
5773.42,6098.33,250,90.5471,-7779.890625,1250000,250,83.7533
5492.61,5997.26,251,87.6192,-7785.533203125,1255000,251,84.1749
5096.56,6009.11,252,90.7105,-7912.5107421875,1260000,252,85.1236
5395.41,5879.73,253,85.2969,-7919.8759765625,1265000,253,83.1035
5627.62,6059.87,254,79.8186,-7824.10009765625,1270000,254,80.8579
5534.16,5308.48,255,77.5392,-7599.453125,1275000,255,75.4993
5786.22,6104.97,256,91.1027,-8364.5859375,1280000,256,89.1522
5496.57,6051.7,257,90.4958,-8246.6943359375,1285000,257,85.2602
5685.01,5767.01,258,91.0807,-8347.6103515625,1290000,258,87.6289
5366.01,5893.52,259,89.4515,-8323.96875,1295000,259,84.4348
5189.16,6041.01,260,89.927,-8365.3974609375,1300000,260,86.0089
5188.48,5878.21,261,90.8566,-8517.982421875,1305000,261,86.4667
5528.06,6024.85,262,88.7034,-8505.708984375,1310000,262,82.0739
4973.08,6132.41,263,88.9136,-8623.2294921875,1315000,263,81.9776
5735.42,6154.23,264,74.7145,-7784.27783203125,1320000,264,69.1108
5437.76,6107.85,265,87.703,-8598.2841796875,1325000,265,78.463
5331.03,5810.54,266,77.7402,-8343.09765625,1330000,266,73.0672
5250.22,5386.09,267,80.5871,-8481.685546875,1335000,267,77.3767
5359.1,6089.59,268,83.9024,-8687.2255859375,1340000,268,81.0548
5564.32,5857.77,269,79.6126,-8662.9248046875,1345000,269,76.8176
4835.94,5999.34,270,89.9593,-8902.009765625,1350000,270,85.6557
5169.59,6133.22,271,88.6152,-9016.0556640625,1355000,271,83.7224
5187.83,5614.02,272,88.7485,-9044.517578125,1360000,272,81.2481
5451.3,5821.64,273,88.7728,-9137.5458984375,1365000,273,86.0551
5281.38,5674.08,274,79.5709,-8941.2958984375,1370000,274,76.6214
5348.24,5957.73,275,89.696,-9163.8115234375,1375000,275,80.8662
5616.18,6114.06,276,91.4006,-9365.9775390625,1380000,276,85.0899
5605.04,5846.49,277,76.5932,-8733.451171875,1385000,277,72.2434
5061.82,5260.66,278,90.7804,-9486.6318359375,1390000,278,83.9598
5299.29,5986.99,279,76.3236,-8945.521484375,1395000,279,70.7673
5229.47,5332.71,280,77.87,-9107.6533203125,1400000,280,75.8517
5009.7,5855.43,281,91.5758,-9700.09375,1405000,281,85.6118
5050.13,4841.23,282,76.9652,-8891.1611328125,1410000,282,71.5327
5425.47,5908.91,283,76.3923,-9127.4208984375,1415000,283,73.8534
5651.38,5737.54,284,87.1425,-9526.953125,1420000,284,79.7022
4720.95,5782.48,285,77.291,-9084.8935546875,1425000,285,74.2806
5068.01,5790.51,286,88.8893,-9803.064453125,1430000,286,81.5363
5105.2,5622.62,287,75.5152,-9063.685546875,1435000,287,70.5666
5185.21,5292.35,288,90.9833,-9952.27734375,1440000,288,84.4075
4836.34,5562.79,289,88.571,-9937.7880859375,1445000,289,83.9854
4762.08,5826.15,290,89.9279,-10072.4443359375,1450000,290,84.6223
5355.97,5805.75,291,89.0509,-10121.98828125,1455000,291,84.0314
5013.17,5705.64,292,89.9067,-10248.7841796875,1460000,292,85.8463
5012.63,5829.24,293,91.0678,-10334.4365234375,1465000,293,91.6652
5168.81,5922.01,294,89.3005,-10306.5185546875,1470000,294,83.3945
4837.62,6068.21,295,80.46,-9975.748046875,1475000,295,83.181
5061.36,6118.33,296,89.9187,-10374.33984375,1480000,296,85.0688
5658.45,5465.11,297,78.5268,-9892.25390625,1485000,297,76.4238
5321.44,5821.03,298,89.7143,-10504.9033203125,1490000,298,86.5846
5720.55,5658.55,299,78.2057,-9942.6630859375,1495000,299,77.394
4552.94,6046.09,300,90.8429,-10587.1484375,1500000,300,87.2713
4871.74,5482.08,301,82.525,-10311.509765625,1505000,301,80.6658
5730.39,5728.89,302,85.1569,-10424.3125,1510000,302,83.9722
5334.72,5471.65,303,85.4096,-10576.5771484375,1515000,303,85.0975
4775.43,6140.99,304,89.7531,-10882.0556640625,1520000,304,86.0905
4971.79,5599.78,305,88.7321,-10770.201171875,1525000,305,83.0651
5036.31,6008.49,306,82.9463,-10698.3544921875,1530000,306,83.8432
5682.84,5991.81,307,77.4538,-10207.8359375,1535000,307,75.1717
5008.52,6115.77,308,88.7824,-11004.474609375,1540000,308,84.7305
5665.41,5985.02,309,81.7775,-10654.5009765625,1545000,309,81.9821
5292.45,5471.76,310,81.9607,-10844.294921875,1550000,310,82.7515
5392.33,5851.55,311,89.063,-11202.7998046875,1555000,311,88.9181
5262.51,5513.57,312,81.1748,-10818.9462890625,1560000,312,80.3864
5450.16,6061.84,313,83.3577,-10790.1650390625,1565000,313,81.3964
4412.81,5805.75,314,89.1949,-11289.380859375,1570000,314,83.3523
5352.2,5856.81,315,89.9579,-11403.2119140625,1575000,315,90.0692
4629.88,5454.24,316,90.2481,-11369.75390625,1580000,316,85.7618
5403.45,5798.29,317,87.0132,-11295.90234375,1585000,317,82.128
5121.18,5761.72,318,87.8501,-11342.0166015625,1590000,318,83.1276
4745.84,5641.98,319,80.4637,-11211.3193359375,1595000,319,77.5039
4985.19,6053.3,320,77.8516,-10940.5634765625,1600000,320,75.6365
4623.77,5813.59,321,76.6495,-10878.703125,1605000,321,78.4999
5250.35,5882.69,322,78.0906,-10878.4345703125,1610000,322,73.9603
5517.52,6108.3,323,81.2949,-11432.1708984375,1615000,323,80.7808
4992.2,5702.28,324,77.3963,-10982.6181640625,1620000,324,76.7476
5085.27,5789.22,325,89.3641,-11723.05859375,1625000,325,86.2143
5138.4,5670.0,326,88.8919,-11848.08984375,1630000,326,83.8034
5292.16,6150.7,327,88.7479,-11894.9130859375,1635000,327,85.2898
5158.97,6168.88,328,88.6299,-11951.517578125,1640000,328,86.1439
4981.14,6093.08,329,84.493,-11794.3505859375,1645000,329,84.7767
4783.08,5697.29,330,88.3744,-11892.8525390625,1650000,330,80.4786
5135.25,5004.54,331,85.707,-11874.037109375,1655000,331,81.6465
5616.18,6029.31,332,85.8275,-11850.998046875,1660000,332,83.5822
5596.74,6113.08,333,88.4401,-12001.19921875,1665000,333,85.4796
5158.9,5949.3,334,87.2833,-12142.4052734375,1670000,334,84.7765
5329.56,5935.87,335,77.3195,-11318.4833984375,1675000,335,76.7288
5020.0,5792.03,336,85.3964,-11950.1865234375,1680000,336,79.2827
5086.41,6044.75,337,81.3519,-11830.4755859375,1685000,337,83.3135
4982.15,5633.59,338,90.0611,-12273.3310546875,1690000,338,86.5034
4846.3,5815.01,339,89.9013,-12331.4326171875,1695000,339,88.2163
5475.8,6105.68,340,90.1955,-12352.859375,1700000,340,90.2427
4421.37,5920.98,341,88.8358,-12384.068359375,1705000,341,84.575
5063.92,6129.85,342,80.5692,-12047.5048828125,1710000,342,80.8618
4345.19,5826.54,343,88.0412,-12507.404296875,1715000,343,86.4975
5359.95,6161.29,344,87.1984,-12443.443359375,1720000,344,83.3449
5221.07,6131.79,345,88.809,-12526.18359375,1725000,345,83.0664
5263.37,5570.85,346,88.9386,-12479.4345703125,1730000,346,85.4116
5036.64,5551.69,347,89.4755,-12500.0322265625,1735000,347,84.9574
4939.69,6106.82,348,78.5702,-12110.6279296875,1740000,348,79.6719
5153.93,5814.21,349,88.7647,-12603.2314453125,1745000,349,84.3252
5090.73,6025.29,350,89.8923,-12700.0244140625,1750000,350,87.8882
5572.4,6073.23,351,87.0935,-12721.3310546875,1755000,351,85.7475
4877.45,5480.09,352,89.3447,-12676.01953125,1760000,352,84.8781
5277.75,6023.27,353,89.9497,-12867.904296875,1765000,353,85.0363
4342.0,5197.74,354,79.377,-12294.646484375,1770000,354,81.9522
4687.92,5901.35,355,87.0651,-12848.3623046875,1775000,355,81.5931
5122.83,5428.03,356,88.7048,-12823.00390625,1780000,356,86.119
5186.5,5273.3,357,86.7856,-12869.7724609375,1785000,357,86.7237
5099.66,6080.21,358,89.5113,-13001.1005859375,1790000,358,88.5567
5018.17,6036.38,359,88.5088,-12977.81640625,1795000,359,84.9709
5496.85,5379.94,360,76.0856,-11912.455078125,1800000,360,78.1254
5694.23,6024.03,361,76.9054,-12323.486328125,1805000,361,78.9588
4812.91,4928.98,362,88.5811,-12970.9375,1810000,362,86.6579
5549.2,5562.15,363,89.3723,-13124.5,1815000,363,88.5693
5228.55,5792.72,364,89.6365,-13075.27734375,1820000,364,85.5763
5567.02,5872.8,365,78.0233,-12587.8759765625,1825000,365,81.7396
5086.23,5744.11,366,81.6816,-12712.1162109375,1830000,366,81.886
5149.14,6113.84,367,82.4086,-12968.966796875,1835000,367,87.8858
4777.55,5710.38,368,90.6033,-13176.833984375,1840000,368,88.2889
4824.1,5854.37,369,81.8619,-12795.42578125,1845000,369,83.6932
5141.93,5661.94,370,84.5443,-12998.5732421875,1850000,370,86.9446
5451.39,5592.24,371,80.0622,-12787.2958984375,1855000,371,82.0132
5088.74,5962.37,372,90.1751,-13252.1728515625,1860000,372,91.0851
5348.84,5799.32,373,90.6626,-13388.34765625,1865000,373,93.0595
4129.37,5617.44,374,76.5943,-12362.80859375,1870000,374,79.7037
5594.64,5518.82,375,92.5977,-13517.76171875,1875000,375,96.7375
5335.22,5639.25,376,91.7842,-13509.4697265625,1880000,376,95.0918
5331.58,5916.6,377,91.1756,-13479.4814453125,1885000,377,94.1971
4812.14,5705.77,378,78.2068,-12540.935546875,1890000,378,81.8182
5316.47,5475.05,379,89.5774,-13551.7041015625,1895000,379,92.6822
5458.58,5993.84,380,91.4275,-13649.9921875,1900000,380,94.1542
4790.68,5712.57,381,91.7316,-13637.86328125,1905000,381,89.8235
4765.52,5377.64,382,90.739,-13460.5087890625,1910000,382,87.2105
5683.79,6061.22,383,88.3165,-13541.0283203125,1915000,383,87.125
4942.35,5929.42,384,80.7178,-13119.625,1920000,384,86.3151
4882.39,5831.43,385,91.7514,-13564.2001953125,1925000,385,97.2064
