Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Itration,Running Update Time
875000,11.3003,17.2586,3481.58,3467.9,-1043.99560546875,175,175
880000,12.6935,18.8359,3502.17,3213.98,-1256.718994140625,176,176
885000,11.8029,17.78,3470.09,3427.81,-1197.20654296875,177,177
890000,11.6023,17.7419,3500.37,3479.98,-1217.450439453125,178,178
895000,11.4685,17.89,3511.22,3388.67,-1167.6502685546875,179,179
900000,12.5666,18.7428,3487.27,3360.54,-1348.8226318359375,180,180
905000,11.4377,17.7916,3495.67,3401.9,-1270.6915283203125,181,181
910000,10.7596,16.547,3461.73,3436.81,-1146.2918701171875,182,182
915000,11.3501,17.6746,3448.29,3424.63,-1379.324951171875,183,183
920000,11.6305,17.7871,3484.68,3470.44,-1287.449462890625,184,184
925000,12.7821,18.55,3506.45,3348.24,-1265.9222412109375,185,185
930000,11.6125,17.8318,3475.17,3426.41,-1338.188232421875,186,186
935000,10.9973,17.6812,3474.9,3391.2,-1298.8822021484375,187,187
940000,11.2209,16.8614,3490.56,3476.88,-1372.7659912109375,188,188
945000,12.2688,18.2116,3471.31,3450.23,-1306.8057861328125,189,189
950000,10.6635,17.2397,3457.81,3418.99,-1242.85009765625,190,190
955000,11.4145,17.4851,3491.3,3428.73,-1384.0052490234375,191,191
960000,11.9447,17.7484,3492.37,3406.24,-1340.3304443359375,192,192
965000,11.2744,17.4754,3444.0,3438.87,-1377.60791015625,193,193
970000,11.0384,17.3023,3458.71,3440.77,-1322.4324951171875,194,194
975000,10.8412,17.5702,3486.29,3274.94,-1213.715087890625,195,195
980000,11.368,17.5037,3485.85,3462.36,-1320.7750244140625,196,196
985000,10.661,17.5066,3457.37,3318.56,-1280.6488037109375,197,197
990000,10.8001,17.4138,3476.65,3446.71,-1248.139892578125,198,198
995000,11.4108,17.7102,3485.42,3120.7,-1330.16259765625,199,199
