Running Update Time,Running Env Steps,Real Det Return,Itration,Real Sto Return,Running Reverse KL,Reward Loss,Running Forward KL
28,140000,3124.4,28,2518.44,16.5995,-88.72160339355469,30.8951
29,145000,3139.78,29,2759.03,25.5444,-110.44558715820312,31.1344
30,150000,3183.63,30,2942.63,19.3174,-154.7310028076172,29.8169
31,155000,3194.33,31,1820.19,26.7171,-226.8397979736328,31.533
32,160000,3178.85,32,3128.31,15.2418,-64.87679290771484,30.4683
33,165000,3195.64,33,2872.21,17.569,-106.86641693115234,29.6797
34,170000,3195.01,34,3140.32,15.3188,-77.39305114746094,30.1348
35,175000,3177.44,35,2953.78,15.295,-104.42632293701172,29.9534
36,180000,3160.85,36,2489.41,15.1069,-165.6426239013672,29.8833
37,185000,3162.76,37,2774.51,16.2202,-143.32005310058594,30.5774
38,190000,3169.35,38,2124.26,15.2787,-84.177734375,30.43
39,195000,3224.32,39,2999.44,15.6682,-93.28490447998047,29.6612
40,200000,3124.76,40,2710.63,14.2063,-65.00169372558594,29.125
41,205000,3185.6,41,2947.27,16.044,-103.33422088623047,29.9596
42,210000,3231.93,42,2981.09,14.4844,-92.20770263671875,30.6615
43,215000,2748.4,43,2287.77,13.689,-106.31710052490234,30.7108
44,220000,3194.06,44,3109.4,16.3712,-103.41352081298828,30.9283
45,225000,3187.32,45,2095.28,18.9757,-215.0926055908203,31.1825
46,230000,3231.98,46,2340.37,20.4274,-192.9330596923828,30.4183
47,235000,3188.46,47,2160.88,17.5676,-159.45529174804688,30.2354
48,240000,3172.94,48,2767.64,14.6035,-106.9255142211914,29.6525
49,245000,3173.34,49,2093.37,16.889,-162.07611083984375,30.0388
50,250000,3199.09,50,3184.03,15.8145,-108.0526123046875,29.2823
51,255000,3186.21,51,3067.44,14.585,-115.20245361328125,29.7573
52,260000,3210.66,52,1789.27,27.3438,-224.16368103027344,30.6334
53,265000,985.75,53,984.89,35.5362,-406.6460266113281,44.6176
54,270000,3209.21,54,3067.31,16.4407,-97.99549102783203,30.7626
55,275000,3191.12,55,3158.16,15.9849,-121.90109252929688,31.0159
56,280000,2669.62,56,2352.71,17.1295,-193.4156951904297,30.8101
57,285000,3225.63,57,2737.52,24.6389,-195.97238159179688,30.363
58,290000,3129.58,58,2338.58,23.7399,-251.5269775390625,30.678
59,295000,2938.24,59,2081.8,29.0404,-295.9687805175781,29.8389
60,300000,3219.9,60,3074.22,18.1914,-158.38876342773438,29.9405
61,305000,3238.57,61,2121.55,16.8153,-126.04305267333984,29.9957
62,310000,3254.11,62,3120.32,16.0683,-124.56259155273438,29.5566
63,315000,3223.7,63,3001.22,14.59,-163.49127197265625,29.0476
64,320000,3229.31,64,3208.61,16.5959,-147.57981872558594,29.2272
65,325000,3218.93,65,2990.65,15.5255,-113.78890228271484,29.6522
66,330000,3237.3,66,2956.48,16.7148,-164.89007568359375,30.3512
67,335000,3211.25,67,3189.42,15.1419,-128.61282348632812,29.8093
68,340000,3256.81,68,3101.32,15.5466,-143.08071899414062,29.7699
69,345000,3218.9,69,2900.1,14.8978,-150.9993896484375,29.8929
70,350000,3240.11,70,3084.98,15.447,-124.01887512207031,29.2014
71,355000,3263.72,71,3195.73,14.4637,-131.3457794189453,29.1726
72,360000,3236.53,72,3231.08,15.8971,-123.57899475097656,29.8539
73,365000,3285.36,73,3152.24,15.0062,-134.19520568847656,28.2588
74,370000,3240.14,74,3042.48,17.8024,-173.1105194091797,29.6464
75,375000,3262.45,75,3250.87,16.0793,-139.16197204589844,29.5174
76,380000,3221.77,76,3196.9,15.8444,-141.90676879882812,29.4145
77,385000,3275.47,77,3204.23,15.9815,-140.55728149414062,29.3053
78,390000,3261.59,78,3263.51,16.8965,-142.0828399658203,30.2386
79,395000,3267.58,79,3193.66,16.2289,-135.4527130126953,29.9137
80,400000,3245.8,80,3232.46,15.7351,-151.8538360595703,29.2206
81,405000,3240.22,81,3249.22,15.3327,-161.39126586914062,28.5904
82,410000,1865.62,82,1485.86,16.447,-275.9647216796875,30.8635
83,415000,3265.91,83,3164.56,17.4524,-191.64251708984375,29.8655
84,420000,3266.45,84,3099.03,14.7823,-166.47317504882812,28.9177
85,425000,3238.99,85,2882.42,17.4942,-186.47735595703125,29.812
86,430000,3249.12,86,3246.72,15.2786,-176.05560302734375,28.8563
87,435000,3286.16,87,2922.5,14.6488,-182.3620147705078,28.7437
88,440000,3275.62,88,3066.97,15.2562,-179.28504943847656,29.3456
89,445000,3291.37,89,3246.61,15.0774,-164.39491271972656,29.3569
90,450000,3290.08,90,3172.94,16.3841,-202.89340209960938,28.6271
91,455000,3275.62,91,3039.77,15.0211,-186.3705291748047,30.1172
92,460000,3264.31,92,2690.28,12.7367,-212.59486389160156,29.1413
93,465000,3273.3,93,3093.38,14.2804,-213.71910095214844,29.4336
94,470000,3255.28,94,2564.62,16.1274,-245.48265075683594,28.6551
95,475000,3268.46,95,2724.35,14.2365,-181.93519592285156,28.7722
96,480000,3264.59,96,2123.52,15.0895,-273.6788024902344,29.5711
97,485000,3258.02,97,3046.01,14.4639,-201.83509826660156,29.5364
98,490000,3248.31,98,2857.99,12.9952,-232.499755859375,28.8084
99,495000,3294.68,99,3130.81,16.9396,-217.15382385253906,29.7931
100,500000,3245.24,100,3250.41,16.2027,-192.01132202148438,28.8473
101,505000,3306.3,101,3125.06,14.2879,-200.67262268066406,28.7947
102,510000,3303.16,102,2918.4,14.5151,-197.6678924560547,28.8218
103,515000,3224.99,103,3216.47,15.8524,-194.16574096679688,28.6805
104,520000,3276.77,104,2796.63,14.3889,-250.0414276123047,28.7443
105,525000,3298.44,105,3110.3,14.9542,-188.08523559570312,28.1686
106,530000,3233.11,106,3155.19,14.9989,-224.85939025878906,28.4208
107,535000,3251.65,107,3249.23,15.0269,-215.76222229003906,28.11
108,540000,2488.2,108,1829.31,23.7132,-437.73126220703125,30.1976
109,545000,3311.36,109,3311.38,16.0783,-202.77679443359375,28.0232
110,550000,3261.59,110,3277.17,16.0184,-232.7035675048828,29.2256
111,555000,3268.71,111,2575.14,14.9921,-293.72296142578125,29.3096
112,560000,3239.84,112,2374.17,16.0385,-353.74505615234375,29.5296
113,565000,3292.07,113,2944.77,15.2543,-269.1015319824219,29.2307
114,570000,3320.44,114,2558.85,15.8306,-282.3605041503906,29.4847
115,575000,3316.54,115,2535.91,17.3755,-306.6194152832031,28.3343
116,580000,3311.97,116,3183.26,15.3857,-218.8029022216797,28.2595
117,585000,3273.62,117,3271.38,15.0053,-235.73046875,28.1106
118,590000,3332.48,118,3289.07,14.3829,-231.10198974609375,26.7594
119,595000,3320.55,119,2609.72,14.9151,-292.3780212402344,28.286
120,600000,3305.08,120,3132.88,14.7615,-253.95089721679688,28.7745
121,605000,3317.58,121,3305.27,14.8616,-234.78176879882812,27.5142
122,610000,3343.82,122,3322.81,22.4977,-302.0099792480469,27.8357
123,615000,3328.03,123,3308.3,14.8355,-243.00384521484375,27.6696
124,620000,3247.47,124,2469.04,14.3319,-297.7432556152344,27.8682
125,625000,3280.29,125,2514.91,16.2237,-355.5964050292969,28.9373
126,630000,3326.28,126,3320.19,16.3913,-284.39373779296875,27.5961
127,635000,3328.35,127,3130.64,14.7405,-261.8550109863281,27.2948
128,640000,3332.52,128,3312.75,15.4708,-261.2943115234375,27.8546
129,645000,3316.79,129,3220.72,14.93,-277.587158203125,27.4017
130,650000,3294.82,130,3298.86,15.3273,-258.4775695800781,27.9938
131,655000,3316.11,131,3305.7,15.5311,-261.970458984375,27.4236
132,660000,3299.6,132,3213.98,15.2827,-252.98806762695312,28.7493
133,665000,3334.02,133,2995.92,15.0864,-294.5327453613281,28.2768
134,670000,3320.82,134,3309.56,15.0282,-277.0292053222656,26.9149
135,675000,3329.14,135,3321.45,15.0929,-253.94412231445312,26.8704
136,680000,3305.44,136,3307.0,15.1052,-269.2060852050781,26.9165
137,685000,3321.43,137,3330.68,14.3751,-274.1345520019531,26.4789
138,690000,3331.12,138,3164.45,15.3762,-276.55718994140625,27.4081
139,695000,3333.48,139,3337.2,14.1224,-272.2127990722656,26.2895
140,700000,3302.25,140,3294.97,14.8971,-283.5188903808594,26.776
141,705000,3336.14,141,3318.06,14.892,-276.3102722167969,26.8116
142,710000,3337.06,142,3247.43,14.6036,-271.664306640625,26.4695
143,715000,3341.25,143,3227.5,14.0105,-288.6475830078125,26.6869
144,720000,3306.48,144,3230.21,14.336,-287.8634948730469,26.5643
145,725000,3372.89,145,3372.55,14.6408,-279.7080383300781,26.2639
146,730000,3426.47,146,3396.92,14.4321,-275.96221923828125,26.1732
147,735000,3383.66,147,3346.13,14.1171,-290.9331970214844,26.0262
148,740000,3347.7,148,3346.71,13.7887,-295.9306945800781,26.0169
149,745000,3377.59,149,3169.53,13.6474,-304.3063049316406,26.1559
150,750000,3376.52,150,3268.53,14.511,-353.9101257324219,27.4356
151,755000,3364.36,151,3354.08,14.473,-282.73089599609375,26.5638
152,760000,3411.23,152,3395.73,14.3274,-268.57952880859375,25.9157
153,765000,3295.06,153,3281.91,14.1337,-300.788818359375,26.4314
154,770000,3373.71,154,3381.56,15.001,-304.8310241699219,26.7084
155,775000,3469.51,155,3429.01,14.8811,-320.8382873535156,26.8408
156,780000,3367.65,156,3357.46,14.2691,-315.60748291015625,25.9134
157,785000,3457.41,157,3432.21,14.1791,-317.7008972167969,26.877
158,790000,3443.39,158,3410.53,13.7389,-303.82098388671875,25.5811
159,795000,3312.33,159,3326.46,14.2376,-302.3100280761719,26.247
160,800000,3418.77,160,3377.53,13.1076,-304.5528564453125,25.4173
161,805000,3402.42,161,3385.01,13.9771,-303.04742431640625,25.5687
162,810000,3399.38,162,3277.29,13.4967,-301.3993835449219,25.515
163,815000,3455.65,163,3428.09,13.6074,-316.91845703125,26.1168
164,820000,3486.29,164,3425.52,13.8669,-283.65191650390625,25.3497
165,825000,3395.6,165,3368.45,13.9367,-344.37353515625,26.4229
166,830000,3449.44,166,3234.88,14.5893,-322.1441345214844,26.0805
167,835000,3498.54,167,3405.42,13.5079,-340.9242248535156,26.3691
168,840000,3496.67,168,3422.91,13.8998,-319.7247619628906,26.2068
169,845000,3403.7,169,3361.02,13.661,-334.1600646972656,26.0752
170,850000,3458.72,170,3415.01,13.641,-336.91650390625,25.6791
171,855000,3500.57,171,3357.4,13.0134,-314.1798400878906,25.8027
172,860000,3441.31,172,3379.74,12.8649,-315.6877746582031,25.36
173,865000,3450.54,173,3298.69,13.0053,-321.8651123046875,24.6372
174,870000,3490.25,174,3428.75,13.8752,-325.9815979003906,25.7634
175,875000,3439.57,175,2957.1,12.1866,-380.0467224121094,26.2157
176,880000,3462.97,176,2979.66,14.2818,-384.9140930175781,26.1374
177,885000,3493.09,177,2686.84,12.0922,-433.7452087402344,26.0896
178,890000,3481.68,178,3437.81,13.3691,-327.3697509765625,25.4318
179,895000,3467.44,179,3290.89,12.9837,-352.2468566894531,25.1916
180,900000,3489.8,180,2777.78,17.5225,-423.64599609375,26.6237
181,905000,3459.69,181,2796.06,13.4576,-448.30157470703125,26.1138
182,910000,3514.72,182,3458.55,11.9714,-342.8175964355469,24.4748
183,915000,3493.91,183,3366.6,13.3286,-333.18719482421875,25.8128
184,920000,3470.98,184,3413.31,12.9614,-378.0120544433594,25.6747
185,925000,3469.96,185,3326.05,13.3402,-372.5963134765625,25.9341
186,930000,3485.78,186,3404.63,12.9273,-362.1181945800781,25.1778
187,935000,3446.25,187,3395.54,13.4384,-376.97198486328125,25.8351
188,940000,3506.63,188,3437.46,13.6461,-382.2651672363281,26.2644
189,945000,3463.06,189,3302.7,12.9017,-371.7501220703125,25.1932
190,950000,3493.17,190,3448.58,13.7151,-365.82135009765625,25.5378
191,955000,3466.45,191,3094.25,12.6514,-349.3672790527344,25.4438
192,960000,3478.38,192,3405.86,12.7479,-373.01751708984375,25.5843
193,965000,3498.18,193,3418.7,13.5642,-369.3904724121094,25.437
194,970000,3466.8,194,3394.43,12.8969,-409.2212219238281,25.2172
195,975000,3479.77,195,3422.07,12.7515,-408.08953857421875,25.2121
196,980000,3475.88,196,3418.39,13.4068,-369.6083679199219,25.347
197,985000,3454.32,197,3410.59,13.5019,-397.3322448730469,25.2113
198,990000,3495.69,198,3434.32,12.542,-397.4888916015625,24.803
199,995000,3466.55,199,3394.98,12.6309,-393.76165771484375,25.0923
