Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return
17.1953,3834.17,102,43.9856,3883.84
16.7695,3831.42,103,43.5774,3960.32
16.9385,3760.8,104,43.6992,3873.55
16.8109,3825.47,105,43.7956,3923.64
16.597,3768.43,106,43.5447,3955.38
17.3633,3883.61,107,43.716,4003.07
16.1008,3810.72,108,43.6057,3900.79
16.6251,3865.5,109,43.4974,3915.22
15.9703,3727.19,110,43.8421,3879.47
16.6841,3809.84,111,43.5317,3871.73
16.1432,3864.13,112,43.7534,3884.08
17.2046,3897.15,113,43.8599,3873.4
17.7308,3965.04,114,43.8594,3933.88
16.0821,3882.34,115,43.5807,3929.02
16.0465,3874.35,116,43.6948,3905.86
16.4662,3829.29,117,43.7766,3849.62
17.6016,3916.08,118,43.7555,3983.81
15.8791,3826.8,119,43.4297,3909.02
16.8736,3795.43,120,43.767,3888.46
16.8307,3897.65,121,43.4644,3953.79
16.4542,3901.93,122,43.6839,3871.26
16.1536,3873.12,123,43.7643,3953.46
15.4982,3851.76,124,43.2075,3931.94
16.4881,3886.31,125,43.3602,3825.88
17.1012,3931.49,126,43.3206,3987.32
16.2804,3829.64,127,43.7856,3960.91
16.0497,3854.21,128,43.6607,3893.59
16.4412,3858.22,129,43.7181,3976.57
16.5239,3943.16,130,43.8279,3925.39
16.4728,3922.77,131,43.4452,4001.7
15.9053,3887.05,132,43.3089,3954.69
16.245,3963.72,133,43.3344,3981.87
16.3114,3910.07,134,43.2178,3964.33
14.9506,3881.4,135,43.0695,3969.94
17.1369,3637.92,136,43.4597,3952.31
16.6653,3927.5,137,43.4276,3994.11
16.8555,3924.2,138,43.5993,3963.44
16.8374,3922.69,139,43.5448,3980.89
16.4114,3930.7,140,43.4806,4022.33
16.3032,3902.49,141,43.4391,3969.5
15.6627,3887.71,142,43.089,3888.83
15.8343,3885.65,143,43.2534,3914.48
16.8393,3938.98,144,43.4606,4028.12
16.8213,3927.72,145,43.447,3977.6
16.1704,3879.99,146,43.3826,3869.48
16.3452,3900.36,147,43.5785,3939.98
16.7706,3911.12,148,43.0476,3972.29
16.841,3908.47,149,43.6269,3989.15
16.3233,3940.74,150,43.1441,3976.26
16.2513,3932.04,151,43.4443,4044.68
16.9657,3947.44,152,43.4929,3972.77
16.3656,3925.34,153,43.1503,3994.75
16.8322,3956.68,154,43.176,4043.44
16.4055,3908.23,155,43.4037,3988.35
15.9693,3965.39,156,42.9031,4052.87
16.6763,3974.2,157,43.4501,3983.85
15.5504,3931.96,158,43.3386,4046.2
15.7214,3912.25,159,42.9551,3987.76
16.2756,3893.85,160,43.3851,3992.71
16.1233,3957.21,161,43.4948,3982.47
15.8584,3934.69,162,43.1965,4037.8
16.8886,3909.89,163,43.3333,3871.39
16.4936,3915.53,164,43.6302,3967.12
17.0245,3923.47,165,43.3116,3951.56
16.1448,3929.33,166,43.1385,4019.74
16.6672,3939.69,167,42.9907,4044.11
16.6706,3939.71,168,43.4107,3942.49
15.9663,3962.66,169,43.1603,4033.63
16.0287,3900.03,170,42.9567,4025.16
15.9032,3926.42,171,42.6728,4000.26
16.5812,3957.69,172,43.1747,4007.75
17.1115,3971.94,173,43.2943,4036.3
16.8336,3807.45,174,42.7154,4020.91
17.3902,3994.52,175,43.4114,4144.65
15.9972,3945.57,176,43.032,4046.73
16.1884,3953.83,177,42.8606,4013.87
16.2203,3943.34,178,43.0017,3958.27
15.8834,3972.45,179,43.5313,3962.85
16.8392,3950.89,180,43.1661,4057.2
16.4209,3955.02,181,42.9697,4018.6
15.4848,3945.39,182,43.5056,3956.4
16.6718,3957.08,183,43.307,3946.71
16.6432,3972.0,184,43.0466,4084.42
16.4008,3960.61,185,43.1259,4029.65
15.3258,3968.65,186,43.1814,4064.81
16.8105,3820.64,187,43.2272,3991.38
15.981,3992.59,188,43.0674,3963.56
16.6497,3985.68,189,43.0444,4000.32
16.2883,3955.2,190,43.4284,4001.05
16.1454,3940.51,191,43.1342,4062.67
15.8399,3944.89,192,43.4285,4029.73
16.5194,3989.9,193,42.9339,4072.69
15.26,3960.0,194,42.9189,4007.56
16.0482,3984.39,195,42.8858,3977.7
16.6868,3990.95,196,43.2576,4074.73
15.7364,3967.47,197,42.6204,4077.8
16.4728,3901.54,198,42.9663,4034.04
15.4455,3984.32,199,43.2046,3999.1
15.6569,3963.52,200,43.0646,4070.68
15.5905,3968.64,201,42.9644,4073.88
15.5765,3981.94,202,42.8498,4056.61
16.1052,3970.61,203,43.0837,4064.66
16.1054,3978.7,204,43.0165,4086.9
16.2599,3994.07,205,43.1292,4081.15
15.7383,3987.95,206,42.4827,4093.67
15.8498,3996.36,207,42.9404,4073.72
15.9006,4005.57,208,43.0326,3997.43
15.8229,3989.41,209,43.2273,4082.15
15.7305,3982.05,210,43.0241,4078.42
15.8598,3998.64,211,42.7496,4077.19
15.6202,3986.57,212,42.9496,4006.63
15.8009,4017.68,213,43.0177,4057.28
16.1203,4007.56,214,42.5465,4075.41
15.5168,3960.39,215,42.5824,4066.85
15.6572,4019.72,216,42.9418,4084.17
15.6816,4001.9,217,42.7235,4079.43
15.9921,3988.87,218,42.6218,4075.36
15.8064,3998.17,219,42.617,4082.81
15.7959,3964.26,220,43.0466,4074.46
15.0256,3983.02,221,42.474,4075.5
15.7417,3983.59,222,42.6244,4049.6
15.6143,3984.12,223,42.8164,4060.17
15.2965,3977.58,224,42.5097,4049.34
15.8284,3973.42,225,42.7815,4069.48
15.479,3966.1,226,42.7807,4076.36
15.5652,3974.58,227,42.9256,4034.62
15.5469,3974.7,228,42.2804,4099.44
15.674,3979.6,229,42.8837,4098.27
16.1058,3982.25,230,42.9891,4082.33
14.3522,476.2,231,45.2713,-5.19
18.2816,1484.7,232,46.0848,1340.99
48.5079,910.47,233,47.2606,749.94
59.9989,772.87,234,47.3283,802.78
46.3015,1595.83,235,46.9305,988.2
28.5761,364.89,236,44.5654,-2.33
23.1095,2727.92,237,45.5077,3198.69
20.3773,3761.4,238,44.0554,2656.73
19.2909,3659.07,239,44.013,3814.49
17.8463,3670.22,240,43.5678,3911.11
17.7663,3861.51,241,43.4167,4001.49
17.2146,3761.46,242,43.3846,3773.36
17.5144,3817.69,243,43.3829,3917.85
18.3128,3980.57,244,43.0219,4014.56
16.9051,3380.08,245,42.9909,3986.68
16.7741,3892.85,246,43.085,3935.37
16.0037,3675.12,247,42.6833,3825.76
16.1569,3607.05,248,42.9935,4019.2
16.8804,3976.29,249,43.113,3972.86
15.9776,3937.24,250,42.7181,4059.04
15.9436,3522.99,251,43.0107,4041.65
16.4563,3911.24,252,43.1463,3876.45
16.4434,3967.38,253,42.8707,4059.62
16.5527,3940.71,254,42.9545,3921.47
16.9337,3764.79,255,43.2435,4048.22
16.7119,3961.37,256,42.7228,4063.74
16.7246,4009.48,257,42.957,4064.58
16.6386,3984.27,258,43.1344,3962.07
16.6018,3984.53,259,42.9178,4075.16
16.0756,4003.25,260,43.2861,4086.32
16.6062,4006.33,261,43.4174,4094.16
17.0804,4041.89,262,42.8167,4116.38
16.8752,3966.26,263,42.9945,4145.73
16.7215,3997.88,264,43.0084,4099.97
16.4576,3995.73,265,43.0887,4036.85
16.657,3972.82,266,43.021,3864.32
16.6264,4009.34,267,42.9211,4043.57
16.3582,3836.11,268,42.9142,4056.43
16.2714,3983.31,269,43.26,4012.71
16.2414,4002.19,270,43.0275,4062.56
16.4149,3982.99,271,42.8742,4020.26
15.919,3968.79,272,42.5028,4015.92
16.1351,4003.1,273,42.9937,4076.72
15.9827,3980.39,274,42.7892,3990.16
16.1855,3970.21,275,43.059,4028.78
15.5144,4017.59,276,42.5627,4017.01
15.9978,4019.03,277,43.0995,4045.68
16.2711,3997.92,278,43.0581,4019.23
15.9134,4001.97,279,42.6776,4026.2
16.1362,4034.1,280,42.9935,4044.28
15.7773,4014.39,281,43.1665,4045.48
16.2833,4006.37,282,43.1338,4035.06
15.7656,4004.77,283,43.3065,4040.85
15.7334,3967.36,284,42.885,4028.19
16.1733,4005.98,285,42.9546,4057.63
16.0,4007.59,286,43.1355,4003.46
15.4693,4019.77,287,43.035,4021.29
16.1999,3990.49,288,43.304,4040.71
16.117,3973.44,289,43.0648,4044.24
16.0145,4007.4,290,42.6751,3995.63
15.6661,3997.56,291,43.0831,4045.35
15.9084,3998.31,292,43.2011,4050.77
16.3031,3996.85,293,43.3011,4036.83
15.3089,3993.8,294,42.6214,4056.81
15.7803,3974.78,295,42.9403,4028.43
15.7287,4010.52,296,42.6445,4119.08
15.8228,4011.35,297,42.9566,4114.61
15.8168,4033.41,298,42.8457,4074.51
15.966,4031.02,299,42.951,4096.3
15.7741,4034.29,300,42.8253,4042.32
16.4553,4035.1,301,42.9196,4103.26
15.4776,4029.93,302,42.6554,4068.21
16.2724,4004.01,303,42.8904,4044.27
15.6824,3971.74,304,42.8357,4059.99
15.8701,4020.9,305,43.0907,4047.44
15.8476,4023.89,306,43.1213,4050.91
15.4694,4054.75,307,42.8166,4070.1
15.984,4026.39,308,42.4246,4089.29
15.5596,4011.29,309,43.0185,4064.49
15.8379,3993.79,310,43.0095,4037.38
15.4411,3998.43,311,42.796,4050.24
15.5629,4056.96,312,42.8128,4121.6
16.0642,3952.99,313,42.8332,4073.87
15.26,4053.41,314,42.7149,4060.37
16.1867,4011.93,315,43.1333,4066.04
15.5646,4028.33,316,42.9196,4073.16
15.5651,4042.35,317,42.892,4112.67
15.9234,4012.54,318,43.211,4083.33
15.2971,4020.96,319,42.8264,4072.26
15.7086,4057.43,320,42.9987,4117.09
15.5942,3996.48,321,42.5754,4097.09
15.3316,4035.86,322,42.6719,4079.95
16.0172,4031.84,323,42.8354,4068.39
15.5497,4015.94,324,43.0281,4050.88
15.3232,4014.42,325,42.7408,4156.02
15.3114,4027.64,326,42.7065,4041.93
15.4641,3984.08,327,43.0124,4108.2
15.4712,4062.92,328,42.8726,4157.31
15.5253,4036.81,329,42.5906,4087.64
15.8666,4053.65,330,42.6836,4105.48
15.4789,4041.03,331,42.4493,4123.42
15.0342,4040.12,332,42.3461,4079.75
15.6039,4033.75,333,42.5827,4089.76
15.1588,4029.44,334,42.5608,4083.48
15.0485,4032.29,335,42.2889,4113.89
15.1918,4069.62,336,42.7309,4131.51
15.9074,3994.35,337,42.8115,4113.4
15.2431,4016.92,338,42.8466,4073.62
15.4949,4030.43,339,42.5738,4068.24
15.7431,4053.88,340,42.7798,4108.05
15.4692,4027.93,341,43.0531,4091.61
15.908,4023.55,342,42.7896,4070.28
15.7315,4010.79,343,42.6525,4095.65
15.8797,4061.09,344,42.7346,4055.3
16.0947,4080.16,345,42.7883,4088.46
15.5793,4030.74,346,42.6924,4055.27
15.0561,4020.92,347,42.884,4059.99
14.9803,4040.23,348,42.6233,4107.69
16.1167,4035.34,349,42.6006,4132.46
15.637,4038.22,350,42.7533,4130.48
15.6569,4057.64,351,43.0002,4092.67
15.6874,4041.11,352,42.8327,4153.58
15.4758,4051.03,353,42.5524,4071.46
15.189,4029.57,354,42.2222,4096.98
15.1442,4035.21,355,42.7086,4102.38
15.1009,4064.32,356,42.2218,4106.95
15.4135,4059.66,357,42.1542,4098.2
15.1443,4065.33,358,42.2038,4108.88
15.3211,4067.06,359,42.7099,4076.33
15.3832,4077.98,360,42.6811,4043.67
15.2263,4058.83,361,42.5873,4086.32
15.3774,4104.8,362,41.7856,4129.87
15.9519,4101.6,363,42.3772,4126.68
15.6257,4047.42,364,42.9739,4077.51
15.2958,4058.33,365,42.561,4101.88
15.6553,4024.95,366,43.0432,4080.59
15.4193,4042.15,367,42.8567,4035.1
15.1388,4049.3,368,42.9594,4055.6
15.6061,4066.35,369,42.4539,4065.6
15.7211,4054.47,370,42.7251,4099.0
15.7073,4031.01,371,42.6334,4114.03
16.2269,4109.99,372,42.5085,4169.58
16.2872,4062.06,373,42.969,4107.0
15.5634,4088.33,374,42.2928,4077.27
15.8522,4071.3,375,42.5285,4130.96
15.3091,4025.15,376,42.5608,4129.12
15.7692,4066.57,377,42.4915,4116.48
16.3356,4021.71,378,42.8654,4021.82
15.7365,4055.08,379,42.1885,4097.28
16.586,4112.38,380,42.1528,4135.73
16.4513,4034.84,381,42.6134,4113.23
16.7072,4097.47,382,42.5962,4234.73
16.7762,4084.97,383,42.5511,4120.97
16.4813,4072.18,384,42.7114,4176.88
16.7265,4055.16,385,42.6207,4143.5
16.6469,4090.62,386,42.4943,4175.68
16.5549,3998.17,387,42.4351,4021.76
16.4962,4077.75,388,43.0181,4118.78
16.4409,3966.66,389,42.0526,4070.94
16.2253,4079.54,390,42.3453,4102.96
17.0258,4088.83,391,42.1571,4205.57
17.1161,4134.01,392,42.7828,4217.9
16.5493,4105.7,393,41.8692,4158.87
16.4482,4112.6,394,42.5283,4116.22
16.2126,4113.22,395,42.4341,4132.74
16.961,4112.9,396,42.2942,4200.78
16.4866,4086.46,397,42.7884,4145.21
16.4274,4092.28,398,42.1837,4128.17
16.3463,4061.82,399,41.6624,4199.69
16.7996,3999.78,400,42.467,4224.63
16.2075,4082.37,401,42.7817,4046.39
