Running Env Steps,Running Update Time,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Itration,Running Reverse KL
560000,112,145.1993,10930.77,-1872.7069091796875,11352.58,112,22.6641
565000,113,145.1246,10601.16,-1892.6162109375,11302.7,113,21.3202
570000,114,144.9427,10698.02,-1915.8973388671875,11030.5,114,22.0801
575000,115,144.8588,10456.62,-1923.3863525390625,11452.86,115,20.8541
580000,116,144.11,10412.48,-1962.0687255859375,10785.01,116,20.8143
585000,117,143.675,10914.58,-1929.581787109375,11459.49,117,19.6072
590000,118,144.8479,10804.74,-1979.857421875,11305.0,118,21.2643
595000,119,144.7745,10839.42,-2096.195068359375,11253.28,119,18.981
600000,120,143.6563,10960.93,-1985.7076416015625,11440.97,120,20.648
605000,121,144.6449,10708.96,-1993.677001953125,11219.84,121,20.9556
610000,122,145.0802,10764.69,-2007.194580078125,11319.15,122,20.7337
615000,123,145.366,10943.49,-2027.2252197265625,11365.26,123,21.7583
620000,124,144.3064,10999.44,-2049.333740234375,11487.91,124,21.2022
625000,125,146.0842,10505.21,-2155.855712890625,10768.24,125,23.0849
630000,126,145.0232,10977.56,-2147.6044921875,11374.05,126,22.9901
635000,127,144.8128,10951.99,-2111.136474609375,11451.08,127,21.3913
640000,128,144.77,11123.81,-2118.910400390625,11560.44,128,21.3146
645000,129,144.5185,10866.02,-2154.198974609375,11403.89,129,21.3802
650000,130,143.885,10537.72,-2176.208984375,11454.37,130,21.1617
655000,131,145.0973,10665.4,-2225.9677734375,11078.19,131,22.1864
660000,132,146.088,10796.25,-2245.819580078125,11065.77,132,22.3547
665000,133,144.1466,10706.96,-2227.17431640625,11424.83,133,20.5769
670000,134,144.1475,11052.46,-2223.280029296875,11597.52,134,20.7746
675000,135,144.7701,10999.06,-2240.715087890625,11493.08,135,22.3703
680000,136,144.6633,10705.57,-2257.980712890625,11249.38,136,21.1019
685000,137,145.3809,10592.61,-2298.926513671875,11069.96,137,21.5376
690000,138,144.7758,10851.49,-2265.662109375,11352.56,138,21.1229
695000,139,144.7128,10795.02,-2320.551513671875,11437.09,139,20.4891
700000,140,144.6001,10846.92,-2326.763916015625,11380.26,140,21.794
705000,141,144.0214,10925.02,-2307.120849609375,11419.93,141,20.741
710000,142,143.9724,8996.12,-2438.2275390625,10373.78,142,18.5405
715000,143,144.5616,10245.6,-2374.117919921875,10144.62,143,20.551
720000,144,144.0734,10807.77,-2391.022705078125,11506.06,144,20.6707
725000,145,144.0796,10384.67,-2562.02685546875,10988.69,145,18.9831
730000,146,143.9535,10823.27,-2438.252197265625,11064.37,146,19.8497
735000,147,143.3272,10820.02,-2540.819580078125,11330.02,147,19.3241
740000,148,143.8478,10908.72,-2482.830322265625,11383.29,148,20.9939
745000,149,143.789,9885.81,-2612.984619140625,11220.94,149,18.3961
750000,150,144.2948,10385.0,-2511.990966796875,11266.78,150,19.0993
755000,151,143.5121,10629.75,-2586.307373046875,11134.95,151,18.268
760000,152,144.3616,10669.35,-2589.222412109375,11237.52,152,20.9159
765000,153,142.8397,10414.41,-2529.852294921875,11424.65,153,19.4076
770000,154,144.5191,10588.29,-2623.5234375,11043.47,154,20.5289
775000,155,144.282,10771.15,-2663.642578125,11125.92,155,20.3473
780000,156,143.9829,10882.74,-2629.101318359375,11417.9,156,21.1515
785000,157,144.6339,10998.46,-2640.926025390625,11478.47,157,20.6054
790000,158,143.4758,11025.19,-2620.5400390625,11518.29,158,19.8286
795000,159,143.7346,10688.81,-2713.376953125,11462.82,159,21.4248
800000,160,143.3096,10714.33,-2684.26513671875,11532.14,160,19.7022
805000,161,143.7687,11130.23,-2764.28173828125,11600.48,161,19.6357
810000,162,143.8933,11022.43,-2782.81396484375,11671.3,162,20.1547
815000,163,143.7566,10509.94,-2775.98779296875,11458.39,163,21.024
820000,164,143.7984,10579.67,-2853.689208984375,11603.98,164,19.6846
825000,165,144.2502,10908.72,-2890.085205078125,11433.92,165,20.6683
830000,166,143.9567,10714.74,-2842.017578125,11474.55,166,21.1855
835000,167,143.8164,11177.65,-2822.81884765625,11726.35,167,19.9585
840000,168,143.531,9951.64,-2919.35400390625,11541.27,168,20.4683
845000,169,143.8705,9992.86,-2918.648681640625,10810.99,169,20.4702
850000,170,143.247,10324.63,-2840.85888671875,11731.76,170,20.4377
855000,171,143.1717,11123.25,-2904.841064453125,11637.12,171,20.0178
860000,172,142.9247,11104.33,-2925.740234375,11606.29,172,21.0446
865000,173,143.0475,11255.27,-2927.635986328125,11765.89,173,21.0262
870000,174,143.4278,11117.28,-2978.7802734375,11567.91,174,20.6402
875000,175,143.3918,11316.63,-2934.57763671875,11824.43,175,20.7954
880000,176,143.5558,11100.94,-3006.829345703125,11575.04,176,20.6161
885000,177,143.4789,10687.3,-3076.197265625,11600.35,177,21.0829
890000,178,143.9705,11358.14,-3092.358154296875,11807.38,178,21.9203
895000,179,143.7788,11001.27,-3131.690673828125,11566.64,179,21.5584
900000,180,144.3837,10378.72,-3126.7607421875,11710.9,180,21.4659
905000,181,143.6675,11042.9,-3201.32958984375,11442.72,181,21.2261
910000,182,143.0809,10070.26,-3129.694580078125,11781.48,182,20.9762
915000,183,143.5644,11281.39,-3274.799560546875,11762.87,183,19.9035
920000,184,143.947,11017.05,-3177.157470703125,11467.05,184,20.6435
925000,185,143.9885,10792.36,-3255.608642578125,11604.94,185,21.2003
930000,186,143.5768,11181.03,-3291.329833984375,11558.59,186,21.762
935000,187,142.7347,11350.53,-3234.038818359375,11800.7,187,20.8174
940000,188,143.7156,11032.6,-3334.17138671875,11516.78,188,19.6043
945000,189,144.0032,11321.82,-3385.879150390625,11611.93,189,22.1658
950000,190,143.19,10675.81,-3387.99560546875,11484.61,190,19.0711
955000,191,143.802,11061.49,-3394.6572265625,11442.44,191,21.446
960000,192,142.9456,10917.13,-3371.1533203125,11890.84,192,19.6078
965000,193,142.0376,10734.43,-3301.521240234375,11354.09,193,19.4921
970000,194,144.0309,11048.58,-3535.09765625,11428.04,194,20.4695
975000,195,144.0648,11132.47,-3482.2431640625,11525.65,195,21.0461
980000,196,143.4808,11274.01,-3512.904052734375,11802.21,196,20.1547
985000,197,142.4702,11209.28,-3465.50146484375,11677.0,197,19.1149
990000,198,143.0197,11468.65,-3536.676025390625,11812.73,198,20.7131
995000,199,142.4603,11467.11,-3555.612060546875,11579.7,199,19.7546
1000000,200,142.8559,11118.42,-3581.731201171875,11750.05,200,20.9974
1005000,201,143.0295,11389.32,-3655.216796875,11569.86,201,19.3326
1010000,202,142.4774,11444.11,-3585.878662109375,12014.85,202,20.4554
1015000,203,142.5132,11077.69,-3708.674072265625,11232.34,203,18.7207
1020000,204,142.6092,11211.08,-3644.219970703125,11742.87,204,20.2999
1025000,205,143.0938,10766.16,-3690.931396484375,11561.22,205,20.6884
1030000,206,142.5611,11527.55,-3725.357177734375,11684.75,206,21.0765
1035000,207,142.8162,11565.04,-3746.15576171875,11997.33,207,20.2373
1040000,208,143.243,11332.0,-3873.35205078125,12067.29,208,19.9247
1045000,209,142.8203,11492.34,-3808.10498046875,12036.59,209,21.226
1050000,210,142.844,10433.31,-3920.360107421875,12042.86,210,20.1094
1055000,211,142.4691,11561.07,-3893.099853515625,12060.68,211,20.6992
1060000,212,142.8419,11346.86,-3919.202880859375,12060.37,212,21.3475
1065000,213,142.6489,11528.6,-4094.288818359375,11970.65,213,19.7381
1070000,214,142.6368,11053.25,-4030.15576171875,12009.21,214,20.867
1075000,215,142.0078,11650.0,-3933.654296875,12023.26,215,21.3814
1080000,216,142.0781,11667.02,-4073.3818359375,12071.03,216,20.6558
1085000,217,142.0799,11537.51,-4058.01953125,12042.62,217,21.1609
1090000,218,143.1583,11615.13,-4133.6298828125,12029.1,218,21.3027
1095000,219,143.0476,11665.57,-4139.2353515625,12136.74,219,20.0286
1100000,220,142.7658,11613.37,-4178.16748046875,12067.62,220,21.3364
1105000,221,142.5157,11563.4,-4128.12060546875,12047.22,221,20.8407
1110000,222,142.2885,10994.78,-4160.98583984375,12076.13,222,21.344
1115000,223,142.6028,11650.33,-4184.826171875,12160.31,223,20.9594
1120000,224,142.618,11513.06,-4339.91357421875,12030.48,224,20.364
1125000,225,142.5696,11322.99,-4285.6435546875,12033.25,225,20.49
1130000,226,142.4764,11602.89,-4315.6806640625,12069.75,226,21.7728
1135000,227,142.6892,10910.21,-4341.841796875,11387.42,227,21.0578
1140000,228,142.0358,11758.85,-4355.2353515625,12221.38,228,21.1436
1145000,229,143.3108,11634.29,-4357.16943359375,12245.0,229,21.6471
1150000,230,142.2087,11461.57,-4396.59130859375,12245.79,230,19.4548
1155000,231,142.5073,11730.17,-4416.22509765625,12233.97,231,21.5281
1160000,232,142.8907,11616.51,-4445.958984375,12167.46,232,21.1254
1165000,233,141.6738,11448.25,-4435.22900390625,12206.55,233,21.4066
1170000,234,143.1626,11247.74,-4538.03466796875,12199.81,234,21.703
1175000,235,143.0116,11127.81,-4438.65380859375,11883.08,235,21.4695
1180000,236,142.4631,11447.73,-4518.00390625,12304.48,236,21.5897
1185000,237,142.3399,9250.87,-4580.8974609375,12199.35,237,20.3247
1190000,238,144.0551,10788.85,-4637.4814453125,12186.59,238,21.0283
1195000,239,143.5823,11438.64,-4619.6513671875,12166.1,239,21.4614
1200000,240,143.582,10687.45,-4586.38330078125,11910.89,240,21.5914
1205000,241,143.0247,10861.57,-4700.2919921875,12164.35,241,21.0217
1210000,242,142.1212,10979.67,-4621.271484375,12299.01,242,21.646
1215000,243,143.1474,11824.01,-4927.5322265625,12171.9,243,19.3021
1220000,244,142.3407,10846.85,-4718.5283203125,12297.03,244,20.9831
1225000,245,143.7883,11191.06,-4923.6982421875,11448.98,245,20.8039
1230000,246,142.1536,11814.85,-4744.37646484375,12317.43,246,21.2429
1235000,247,142.3568,11741.78,-4825.74462890625,12093.83,247,20.6007
1240000,248,143.7152,10390.42,-4971.99755859375,12182.0,248,20.1543
1245000,249,143.0091,11831.83,-4825.3876953125,12221.15,249,20.542
1250000,250,142.6942,10962.69,-4960.42822265625,12192.93,250,19.4748
1255000,251,143.0262,11787.49,-4837.3984375,12263.11,251,21.3496
1260000,252,142.9713,11368.02,-4917.3466796875,12271.22,252,20.8002
1265000,253,143.4193,11721.03,-5086.1015625,12306.53,253,18.6753
1270000,254,142.3595,11714.29,-4949.1953125,12372.87,254,19.5075
1275000,255,142.7203,11287.08,-4989.23486328125,12360.12,255,20.7019
1280000,256,142.2109,11804.68,-5023.1748046875,11690.36,256,18.8602
1285000,257,142.9322,11689.99,-5009.47802734375,12428.33,257,20.7889
1290000,258,143.2014,11509.79,-5150.0283203125,12321.28,258,19.3206
1295000,259,142.9807,11670.74,-5066.10302734375,12263.56,259,20.8878
1300000,260,143.0777,11827.04,-5054.935546875,12450.65,260,19.9764
1305000,261,143.0163,11001.69,-5079.68505859375,11936.11,261,18.9446
1310000,262,143.1711,11331.81,-5051.49560546875,12525.72,262,21.1428
1315000,263,143.0122,11915.38,-5093.98974609375,12520.9,263,19.0163
1320000,264,142.7386,11805.11,-4978.15869140625,12545.51,264,21.0769
1325000,265,143.189,11719.13,-5084.82861328125,12296.56,265,21.3317
1330000,266,142.3745,11696.8,-5066.6494140625,12221.28,266,20.746
1335000,267,141.3637,11733.95,-5075.298828125,11688.13,267,20.1122
1340000,268,142.2592,11571.57,-4961.7001953125,12525.45,268,21.2141
1345000,269,142.3498,11378.2,-5110.88232421875,12555.64,269,19.8809
1350000,270,143.6698,11437.95,-5245.5341796875,12396.74,270,20.5551
1355000,271,142.545,11862.53,-5123.32421875,12408.06,271,20.7339
1360000,272,142.0747,11668.48,-5167.18017578125,12420.39,272,20.884
1365000,273,142.5408,11746.61,-5104.86376953125,12548.33,273,20.1318
1370000,274,143.4347,11135.34,-5220.10546875,12217.57,274,20.2041
1375000,275,142.7593,11423.64,-5237.57275390625,12443.83,275,20.8491
1380000,276,142.2165,11551.29,-5303.7314453125,12517.35,276,20.8049
1385000,277,142.4461,11826.94,-5301.17919921875,12356.44,277,19.6292
1390000,278,142.585,10697.02,-5227.53564453125,12327.43,278,20.354
1395000,279,141.8017,11678.38,-5229.8515625,12176.12,279,20.7253
1400000,280,142.2767,11043.64,-5321.57861328125,11854.97,280,19.9512
1405000,281,142.3215,11157.18,-5260.2060546875,12449.68,281,20.5592
1410000,282,142.7949,11680.76,-5342.09716796875,12347.81,282,20.285
1415000,283,142.2166,11780.79,-5405.02294921875,12548.19,283,20.2484
1420000,284,142.2768,11480.72,-5411.42236328125,12377.24,284,20.1532
1425000,285,142.6883,11605.16,-5342.79443359375,12302.43,285,20.5483
1430000,286,143.5736,11585.25,-5471.1494140625,12064.42,286,20.8044
1435000,287,141.8607,11560.18,-5456.76904296875,12071.61,287,20.6712
1440000,288,142.6847,11904.44,-5443.2001953125,12609.06,288,21.3191
1445000,289,143.4317,11536.64,-5528.6357421875,12243.68,289,20.7482
1450000,290,143.221,11694.24,-5656.201171875,12063.83,290,20.9526
1455000,291,143.416,11683.7,-5611.0078125,12263.05,291,20.8715
1460000,292,142.9582,11587.36,-5746.06640625,11871.87,292,21.3897
1465000,293,143.193,11565.63,-5727.97314453125,11977.72,293,20.1177
1470000,294,143.291,11636.98,-5608.40234375,12480.98,294,21.0465
1475000,295,143.3606,11188.92,-5673.58984375,12342.15,295,21.3246
1480000,296,142.2168,11729.52,-5672.95556640625,12555.23,296,21.3995
1485000,297,143.2175,11727.56,-5695.53759765625,12142.04,297,20.946
1490000,298,143.5316,11234.75,-5753.4423828125,12124.42,298,21.1615
1495000,299,142.6394,11432.26,-5766.134765625,12409.68,299,21.2365
1500000,300,143.3948,10599.61,-5823.25830078125,12255.73,300,20.6373
1505000,301,142.221,11929.06,-5767.26611328125,12499.77,301,21.1909
1510000,302,143.5884,11710.8,-5765.2685546875,12261.24,302,21.5514
1515000,303,143.0435,12010.98,-5857.9755859375,12385.69,303,22.1444
1520000,304,144.0318,11612.13,-5872.4501953125,11956.92,304,21.0037
1525000,305,144.1578,11342.37,-5878.30810546875,12303.55,305,22.2578
1530000,306,142.3081,11473.27,-6067.89501953125,12505.23,306,21.3843
1535000,307,143.5414,11665.93,-5902.4375,12414.07,307,21.8886
1540000,308,142.9484,11880.64,-5914.67529296875,12506.91,308,21.6358
1545000,309,142.9761,11881.21,-5972.67236328125,12322.36,309,21.7499
1550000,310,143.2851,11247.59,-6118.71630859375,12506.07,310,20.8144
1555000,311,143.1287,11788.79,-6048.18310546875,12338.84,311,21.5305
1560000,312,142.9691,11366.58,-6102.0302734375,12365.41,312,20.7808
1565000,313,143.3511,12027.5,-6184.25244140625,12678.47,313,21.257
1570000,314,143.764,11973.45,-6350.9873046875,12537.96,314,21.0986
1575000,315,143.1335,11600.3,-6356.501953125,12399.07,315,20.6259
1580000,316,143.6026,11798.42,-6298.10205078125,12357.17,316,21.3876
1585000,317,143.0891,11763.38,-6315.8759765625,12374.87,317,20.9497
1590000,318,142.803,11819.34,-6397.76416015625,12641.9,318,21.7837
1595000,319,142.2408,12018.59,-6252.72998046875,12714.84,319,21.7013
1600000,320,142.8395,11889.3,-6360.44287109375,12662.64,320,21.347
1605000,321,142.9568,11948.55,-6380.58154296875,12559.45,321,21.8939
1610000,322,142.6352,11697.5,-6279.36572265625,12534.21,322,21.6712
1615000,323,142.5682,12033.53,-6321.87255859375,12691.19,323,21.8968
1620000,324,144.0146,11464.37,-6402.8896484375,11825.98,324,19.3885
1625000,325,142.0966,11963.39,-6511.07177734375,12521.74,325,21.0576
1630000,326,144.5314,11349.32,-6589.74951171875,10963.46,326,21.3789
1635000,327,143.154,11908.57,-6562.13232421875,12213.73,327,22.1715
1640000,328,143.5848,11780.89,-6478.107421875,12231.94,328,21.8369
1645000,329,143.2882,11823.54,-6635.6650390625,12210.18,329,21.6064
1650000,330,143.1437,12016.03,-6597.52001953125,12476.6,330,22.6678
1655000,331,143.0632,11672.69,-6529.775390625,12248.47,331,21.086
1660000,332,143.2934,11832.01,-6623.5126953125,12105.78,332,21.8946
1665000,333,144.4083,11163.42,-6805.65673828125,11662.01,333,22.7717
1670000,334,143.4177,11509.59,-6555.74951171875,11438.81,334,21.0234
1675000,335,142.9695,11662.17,-6788.63720703125,12106.15,335,21.5624
1680000,336,143.3825,11630.46,-6649.23046875,12150.94,336,20.8095
1685000,337,143.8029,11573.97,-6680.60595703125,11975.78,337,21.4952
1690000,338,143.7606,11564.82,-6727.18505859375,11855.12,338,21.1682
1695000,339,142.9932,11764.05,-6672.58447265625,12202.07,339,21.6535
1700000,340,143.9054,11975.12,-7037.04150390625,12140.33,340,21.907
1705000,341,143.8445,11980.96,-6950.7666015625,12419.66,341,22.006
1710000,342,144.03,11942.1,-6827.15869140625,12284.36,342,22.4763
1715000,343,144.4678,11595.63,-6940.16015625,11966.47,343,21.9553
1720000,344,144.0909,11670.54,-6821.1552734375,11982.49,344,22.4524
1725000,345,144.3016,11556.77,-6777.365234375,11923.51,345,20.6941
1730000,346,144.6058,11360.7,-6815.02392578125,11902.79,346,21.3884
1735000,347,144.3502,11408.49,-6934.97705078125,11629.05,347,21.3858
1740000,348,143.7729,11709.08,-6928.7490234375,11953.27,348,21.4055
1745000,349,143.8077,11426.43,-6888.59765625,11663.54,349,21.371
1750000,350,143.6784,11583.93,-6855.421875,11838.47,350,21.6464
1755000,351,141.6693,11759.96,-6890.02783203125,12142.52,351,21.5827
1760000,352,144.3975,11227.99,-6918.89306640625,11509.51,352,20.7599
1765000,353,144.1255,11192.64,-7021.1689453125,11694.19,353,22.1209
1770000,354,143.9662,11486.08,-6939.17578125,11628.89,354,20.8537
1775000,355,143.7002,10831.47,-6968.298828125,11985.89,355,20.364
1780000,356,143.8451,11730.27,-7018.96826171875,12140.54,356,21.697
1785000,357,144.4801,11492.29,-6980.92822265625,11739.07,357,21.3929
1790000,358,143.404,12023.86,-7318.90087890625,12397.06,358,22.4416
1795000,359,142.7812,11936.96,-7067.140625,12358.65,359,20.5267
1800000,360,143.6701,11620.09,-7232.31103515625,11915.04,360,20.975
1805000,361,143.0781,11330.07,-7139.6865234375,12031.29,361,22.001
1810000,362,143.7644,11729.82,-7175.4833984375,12056.37,362,20.4299
