Itration,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return
76,72.9947,87.95,28.0876,-24.61
77,72.6943,179.96,30.1724,-75.98
78,73.6576,146.7,30.0982,-17.4
79,72.7236,158.17,33.5329,-51.49
80,71.7491,79.36,35.7394,-113.73
81,74.4572,152.42,35.3267,-32.67
82,72.9556,207.33,31.3375,12.71
83,73.5553,317.79,29.1831,-32.66
84,70.9457,21.76,31.4773,-42.03
85,71.9197,-310.2,31.0766,-87.76
86,72.1712,140.97,29.9463,-17.61
87,72.0708,127.92,29.8415,-21.44
88,70.7356,379.11,28.243,3.18
89,72.2894,333.68,27.463,-29.36
90,73.664,338.9,32.864,-11.69
91,69.7846,-502.13,32.5363,-84.7
92,72.2618,-57.03,30.5061,-33.93
93,72.6505,185.69,30.6687,-55.51
94,74.4429,204.47,29.8465,-11.53
95,71.4498,125.86,33.2546,-22.53
96,70.7184,193.59,28.4981,-17.59
97,70.9851,202.35,28.4445,-6.87
98,72.5887,346.98,29.2626,-15.86
99,73.8705,221.77,30.2748,-17.95
100,71.2917,145.0,27.3829,-24.66
101,72.5013,-13.12,32.8221,-129.66
102,71.7129,226.93,30.3313,22.22
103,73.6143,63.78,33.9127,-19.19
104,72.2077,278.49,30.4281,8.45
105,72.2701,209.57,28.7597,-28.31
106,70.9478,148.6,29.3968,4.96
107,71.0928,110.11,31.0649,-16.88
108,72.2236,281.81,31.3887,-37.38
109,70.3875,253.89,28.7546,-20.0
110,73.6153,318.01,30.6912,12.21
111,71.1727,214.24,28.8459,11.38
112,67.9334,198.18,31.2557,-38.53
113,69.2468,221.75,26.4177,-46.06
114,71.586,310.35,29.3138,-53.91
115,71.2376,249.74,27.9488,-25.58
116,66.7644,189.03,27.2754,29.28
117,70.5945,132.39,30.8672,-61.97
118,71.9993,103.49,28.4208,-21.72
119,71.1582,315.11,26.9954,14.75
120,69.5468,170.22,29.9346,1.76
121,68.7546,145.29,28.8029,-0.37
122,70.5176,216.2,27.8866,5.36
123,69.6998,31.17,32.1709,-75.36
124,70.0685,32.52,41.2282,-122.92
125,73.0588,199.11,32.3878,-20.54
126,73.2179,196.33,28.2692,-33.53
127,71.8483,126.43,29.8316,-20.43
128,71.2338,157.65,29.3123,-56.75
129,69.9256,209.82,27.5901,-40.68
130,70.3358,140.46,26.3938,-96.99
131,71.4886,173.11,25.023,-48.23
132,71.7101,144.57,26.5264,-4.64
133,70.9991,253.48,26.0293,-46.28
134,70.9207,312.97,26.4967,-6.3
135,72.5889,216.33,26.6819,-4.35
136,72.6301,194.06,27.0298,-87.31
137,67.1784,154.89,25.8898,-22.56
138,72.0469,310.76,27.5751,-25.09
139,71.7317,119.56,26.6096,-87.18
140,72.128,343.46,26.0641,-32.01
141,71.9183,101.38,27.7668,-66.89
142,69.3739,216.22,30.0017,9.31
143,70.5419,98.89,28.0905,-73.57
144,71.6768,310.32,27.4571,28.71
145,70.0071,371.84,28.3771,-100.11
146,71.704,290.25,29.4259,-12.84
147,69.8519,48.94,26.5186,-27.88
148,71.0025,325.01,27.7462,-26.86
149,69.9164,212.63,33.1987,-57.56
150,72.4921,29.85,29.2637,-58.34
151,69.8182,301.63,26.53,-53.07
152,70.2866,259.84,28.4238,-42.43
153,71.8049,139.63,28.6799,-12.32
154,72.0558,398.44,27.8628,-63.37
155,69.3817,-26.05,25.4524,-21.24
156,72.3815,103.6,33.6356,-39.25
157,72.2065,161.14,28.8299,-67.54
158,72.0623,215.95,26.6416,-10.44
159,67.8957,143.4,25.2866,23.75
160,69.8383,265.35,28.7793,-27.11
161,70.7728,309.31,27.0548,-7.45
162,71.617,340.48,32.2394,-10.7
163,73.0472,309.66,29.2859,-25.95
164,71.8761,127.01,28.8186,-18.06
165,71.6704,120.06,27.913,17.78
166,66.9832,487.21,27.7348,114.76
167,71.2977,39.78,31.0576,-122.74
168,69.705,353.92,26.2666,-18.41
169,70.6704,272.71,26.7936,0.69
170,70.6704,232.09,30.6936,2.39
171,69.4591,139.69,28.2856,-8.28
172,72.0423,209.06,27.9044,-45.54
173,69.0949,402.84,25.7138,-28.95
174,69.6151,333.07,26.8757,-25.13
175,67.4822,247.65,27.2389,19.65
176,69.1258,293.8,27.647,-21.89
177,70.4758,68.92,30.8266,-42.67
178,68.3008,154.89,28.1231,7.99
179,70.9774,181.17,27.1222,-5.02
180,70.5185,160.09,26.359,5.76
181,70.2761,388.66,28.6055,-34.27
182,71.3863,88.19,29.5416,-58.48
183,69.3935,131.6,29.332,-40.12
184,68.9749,394.96,27.0071,-7.34
185,71.2595,-6.18,29.3017,-34.98
186,72.3658,101.64,29.8947,-1.23
187,71.8283,172.68,28.6296,-12.23
188,68.798,214.9,26.1516,-3.37
189,70.069,19.4,26.4834,-33.2
190,69.336,142.67,30.4189,-34.32
191,73.6206,176.99,33.0668,-28.69
192,71.0922,-315.9,35.4265,-86.14
193,70.1339,187.11,25.737,-42.39
194,72.1353,156.82,27.3333,-81.57
195,71.1263,91.84,27.8793,-29.5
196,73.5894,186.01,29.9876,-70.7
197,70.0891,85.53,27.5356,-50.19
198,70.2154,264.14,28.2503,-6.95
199,68.0578,182.85,24.848,3.41
200,68.6582,265.71,28.0755,-15.83
201,71.1223,279.45,27.0965,-35.5
202,69.2606,166.91,26.2956,-14.62
203,71.9928,-98.93,28.5303,-56.28
204,71.4765,-96.83,27.7765,-49.75
205,68.8275,-438.07,29.8286,-47.52
206,70.7157,264.16,28.6463,-28.85
207,69.5377,139.76,28.1601,-12.09
208,70.3664,222.56,27.6513,-34.78
209,70.5806,152.0,27.8313,-75.3
210,72.3734,163.15,27.1053,-48.49
211,70.9972,92.67,27.5044,-37.3
212,71.3042,26.96,27.3093,-10.78
213,70.8633,49.64,27.3503,-42.94
214,70.5672,9.89,29.8464,-41.52
215,70.9583,65.11,28.0406,-58.82
216,70.9704,-84.71,30.0279,-150.1
217,72.6983,44.58,25.3935,-49.77
218,71.6928,67.47,28.4394,-52.98
219,69.6567,-6.35,25.5315,-49.5
220,73.6468,71.11,28.5094,-51.11
221,71.5626,66.5,27.2789,-15.36
222,70.9826,100.53,26.5565,-12.87
223,72.861,50.62,30.5782,-8.03
224,72.7492,76.34,27.5446,-120.13
225,73.8304,9.79,29.4236,-69.11
226,74.0533,37.48,30.2399,-45.88
227,72.1428,-19.13,30.016,-47.65
228,71.6355,9.08,27.2786,-68.35
229,71.9198,10.11,33.9022,-165.29
230,72.1756,-20.14,29.5509,-26.36
231,73.2309,-18.96,29.3801,-114.17
232,74.3813,-267.94,30.9023,-94.71
233,69.6271,18.78,27.6062,-22.37
234,70.476,-48.36,29.3429,-56.33
235,71.7004,90.7,26.9679,-30.63
236,71.4343,37.86,28.1963,-34.89
237,73.9404,31.61,30.1143,-33.35
238,71.0589,23.83,28.0255,-25.17
239,72.0069,51.11,27.4665,-45.12
240,70.4572,41.73,26.4861,-76.49
241,71.8706,51.98,28.1898,-93.43
242,72.9429,64.16,28.6346,-32.65
243,72.8307,25.45,28.0964,5.42
244,71.884,40.6,30.7122,-173.35
245,69.8262,4.97,26.3929,-71.29
246,70.1374,32.67,26.8094,-65.71
247,71.97,-0.22,25.4841,-160.64
248,71.9119,20.42,25.7973,-66.39
249,71.2756,30.9,25.9397,-149.47
250,69.8046,-53.1,27.1215,-39.83
251,72.4475,31.93,26.0806,-145.83
252,72.0758,59.54,25.6758,-94.87
253,69.8324,83.19,23.9547,-8.64
254,72.2826,63.79,24.5518,-103.35
255,70.4196,52.89,25.0863,-57.99
256,70.4941,45.32,25.8179,-72.27
257,71.2517,3.46,24.5735,-219.61
258,72.7873,43.64,25.2282,-94.42
259,74.126,39.77,26.7309,-64.93
260,70.1202,61.03,23.436,-68.29
261,71.997,50.39,24.4369,-20.22
262,71.4738,44.63,24.5153,2.9
263,72.5825,41.73,25.9509,-56.47
264,73.3756,24.44,25.2234,-86.22
265,72.0549,-28.57,25.6444,-60.92
266,72.0855,9.0,25.4677,-58.71
267,72.4199,42.68,25.0029,-71.86
268,73.827,-60.72,25.4693,-32.32
269,73.117,18.24,26.4039,-49.46
270,72.6743,22.0,26.4328,-164.63
271,74.3401,47.01,26.7342,-102.95
272,73.42,43.09,26.3444,-39.22
273,71.7573,57.05,26.1432,-67.2
274,71.0065,16.81,23.8034,-39.2
275,72.5826,48.55,26.0007,-84.81
276,72.4579,71.31,25.1304,-55.69
277,73.3928,-107.0,25.5939,-123.08
278,70.2662,47.81,27.047,-30.44
279,71.0126,-3.66,23.9367,-75.59
280,72.6658,36.33,24.4083,-11.76
281,71.074,51.4,24.8398,-61.97
282,71.1961,53.64,24.1026,-59.3
283,73.6996,82.49,24.6844,-30.68
284,71.4623,19.08,25.4901,-77.8
285,73.5219,55.49,25.5781,-84.29
286,73.1522,45.33,25.1541,-56.55
287,73.5573,83.69,26.8011,-83.97
288,72.4597,-20.95,26.1261,-105.97
289,72.6807,-101.7,26.2786,-70.51
290,70.1756,-142.72,27.7347,-124.73
291,72.2352,9.62,25.7143,-104.44
292,72.7508,-137.23,29.2358,-36.33
293,73.5455,8.57,26.0651,-95.31
294,71.8861,24.04,25.0924,-127.79
295,72.1411,-3.19,25.9611,-60.55
296,70.5721,3.94,25.3581,-82.94
297,70.6245,16.98,27.4763,-51.69
298,72.7907,20.05,28.7329,-120.86
299,72.8356,-12.25,26.171,-95.64
300,71.9126,7.88,24.9281,-51.19
301,72.2186,13.88,25.3683,-104.1
302,70.888,-4.88,23.4356,-77.14
303,72.4636,5.07,27.1759,-59.12
304,69.9824,4.78,26.967,-59.59
305,71.2482,40.46,25.0347,-22.26
306,72.7459,30.36,25.0563,-76.33
307,71.1743,54.01,27.663,-75.3
308,72.1224,-62.57,24.9006,-145.1
309,72.7022,33.68,25.6574,-60.45
310,73.5305,-1.77,26.8972,-94.94
311,71.6456,-259.91,26.9548,-45.03
312,70.4003,38.47,23.7779,-64.87
313,71.8198,-28.44,27.3383,-92.2
314,71.0894,-56.18,25.6981,-99.83
315,70.5543,40.15,25.528,-66.13
316,72.6838,22.33,25.5969,-92.82
317,71.593,16.02,25.5285,-99.18
318,70.7691,53.43,26.474,-47.75
319,71.0391,-126.09,24.2139,-144.28
320,72.0151,28.58,23.8747,-177.79
321,71.9182,35.71,24.5117,1.23
322,70.6281,-23.06,23.9245,-122.24
323,72.3593,-106.73,25.7877,-199.86
324,70.3626,-1.82,27.6366,-161.44
325,71.9633,-82.09,26.5325,-144.05
326,71.5406,-45.33,24.7087,-51.22
327,69.0235,-62.03,25.49,-160.57
328,71.7959,17.76,26.563,-85.32
329,72.2311,-13.14,24.9573,-75.13
330,71.9821,17.54,25.0025,-90.07
331,72.3127,23.72,25.0807,-65.99
332,72.3471,-43.83,25.829,-50.24
333,72.6993,20.49,26.6372,-63.71
334,71.2142,-136.19,24.6311,-57.88
335,70.7066,-98.03,23.4622,-77.6
336,70.9923,-25.08,24.5312,-47.0
337,72.685,-48.19,25.1932,-154.78
338,71.9919,-3.7,23.925,-8.14
339,70.7373,32.89,24.3112,-99.37
340,70.8867,-98.1,26.0836,-96.91
341,70.9943,-38.85,23.0588,-57.02
342,71.3766,-33.01,23.2588,-79.33
343,72.1345,-128.28,25.0769,-126.25
344,71.6189,-67.3,29.4048,-78.69
345,72.4631,-5.84,26.9445,-15.22
346,72.981,-115.8,27.7323,-63.2
347,71.4,-30.23,28.4888,-118.58
348,70.9987,-33.92,29.174,-52.72
349,72.7527,12.83,25.4032,-78.57
350,72.0512,-33.61,27.0092,-77.88
351,72.3852,-14.16,27.5324,-135.42
352,72.9348,-104.69,28.671,-71.63
353,72.5505,-48.78,26.5249,-75.15
354,71.5584,-79.55,27.4475,-119.29
355,71.636,-18.81,24.6422,-97.1
356,72.256,-52.71,28.8233,-158.37
357,71.9679,9.19,25.2508,-37.35
358,71.896,2.89,26.3044,-33.91
359,72.5379,-79.47,30.741,-145.5
360,73.2035,0.08,26.4867,-94.38
361,72.9735,-17.34,24.5677,-156.65
362,71.511,-0.55,24.2209,-75.47
363,71.06,-58.48,27.2698,-71.55
364,70.7828,-62.71,26.6885,-52.8
365,71.4566,-76.25,28.5041,-92.96
366,72.2837,-43.58,27.3398,-96.44
367,71.2525,-125.69,26.8572,-101.54
368,71.5375,-78.15,26.1368,-103.11
