Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Real Det Return,Running Reverse KL,Itration,Reward Loss
364.16,30.8004,29,145000,364.88,18.4821,29,-399.9226989746094
449.76,30.8658,30,150000,455.19,16.6184,30,-356.1635437011719
498.8,29.914,31,155000,502.94,15.5538,31,-377.7832946777344
799.37,31.4094,32,160000,796.51,35.0523,32,-943.8056640625
418.14,30.6669,33,165000,413.68,43.9034,33,-919.166015625
983.8,33.617,34,170000,1033.36,34.9531,34,-1220.8609619140625
965.03,31.7333,35,175000,854.54,21.0436,35,-1103.91162109375
819.85,34.3999,36,180000,822.67,28.7995,36,-1443.98828125
996.94,34.6408,37,185000,996.24,35.9782,37,-1585.0732421875
760.65,29.5022,38,190000,1057.7,25.7894,38,-919.535400390625
1062.68,33.7375,39,195000,1062.28,39.4963,39,-1310.802734375
1055.29,34.1766,40,200000,1053.18,29.4664,40,-1439.9620361328125
58.44,31.0551,41,205000,57.7,37.4944,41,-1193.9466552734375
1034.49,33.9787,42,210000,894.67,32.7665,42,-1494.6483154296875
198.01,29.3768,43,215000,202.53,17.5757,43,-1237.357421875
1062.67,36.0181,44,220000,1062.91,45.3677,44,-1573.531982421875
1015.04,31.343,45,225000,1052.49,18.5133,45,-1551.5023193359375
1042.16,33.7253,46,230000,1038.97,35.3016,46,-1765.8599853515625
1060.27,36.576,47,235000,1059.73,46.717,47,-1690.1414794921875
968.86,33.4124,48,240000,1019.82,26.2611,48,-1647.798828125
190.33,29.6401,49,245000,191.67,22.7822,49,-1198.7132568359375
1015.43,37.2732,50,250000,1015.68,32.2571,50,-2100.945556640625
791.6,33.0351,51,255000,883.5,35.7674,51,-1882.195068359375
1030.37,36.4292,52,260000,1029.84,30.5128,52,-2123.271240234375
1020.19,36.3368,53,265000,1019.25,28.6743,53,-2218.705322265625
978.07,37.4475,54,270000,979.0,47.0771,54,-2297.703857421875
557.02,34.9367,55,275000,866.24,37.2497,55,-2252.504150390625
78.41,32.1536,56,280000,79.14,44.9629,56,-2007.2061767578125
26.82,30.7648,57,285000,21.48,29.3527,57,-1963.101318359375
990.36,40.997,58,290000,990.72,48.1946,58,-2515.8984375
1014.25,40.0221,59,295000,1014.6,46.4479,59,-2552.487060546875
1001.2,40.5044,60,300000,1001.24,44.9775,60,-2559.5556640625
987.77,39.4589,61,305000,984.3,36.6996,61,-2557.549072265625
125.18,33.4567,62,310000,124.88,57.4119,62,-1915.2232666015625
974.86,40.0246,63,315000,975.56,49.4466,63,-2733.76953125
26.61,32.4158,64,320000,26.06,24.0562,64,-2262.843017578125
431.92,31.0043,65,325000,439.21,33.9312,65,-1962.372314453125
-2.43,38.0091,66,330000,-2.35,237.591,66,-2723.509765625
1012.1,37.2071,67,335000,1011.9,32.3493,67,-2882.5009765625
1051.31,35.9879,68,340000,1051.49,36.1274,68,-2780.30712890625
1006.97,33.118,69,345000,1008.09,31.3393,69,-2954.72802734375
989.09,32.8968,70,350000,989.34,35.4692,70,-2967.028564453125
981.11,39.9678,71,355000,980.12,40.0933,71,-3119.65380859375
972.96,40.0365,72,360000,973.67,46.7543,72,-3133.740966796875
1023.37,32.798,73,365000,1011.65,28.1946,73,-2975.779052734375
989.78,32.0982,74,370000,1013.32,23.6788,74,-2933.032958984375
1024.94,31.7324,75,375000,1039.5,26.5691,75,-3035.041259765625
122.16,40.2378,76,380000,125.79,53.41,76,-3371.120361328125
454.11,28.2717,77,385000,428.54,61.2431,77,-2643.75390625
587.91,28.5411,78,390000,718.44,48.8662,78,-3158.595458984375
1010.02,38.0643,79,395000,1010.84,40.1016,79,-3480.89599609375
438.63,28.6559,80,400000,474.31,64.1142,80,-2986.796630859375
1049.14,33.8365,81,405000,1041.24,24.7346,81,-3389.377197265625
1061.27,34.5446,82,410000,1057.5,35.4348,82,-3404.572998046875
987.52,26.3396,83,415000,1013.56,34.5732,83,-2769.995849609375
79.34,32.9531,84,420000,83.31,39.2278,84,-3679.02001953125
944.7,33.9086,85,425000,1042.23,52.199,85,-3780.514892578125
1044.36,33.16,86,430000,1045.35,49.8698,86,-3797.404052734375
1054.48,36.5006,87,435000,1054.24,31.118,87,-3706.827880859375
1057.4,33.849,88,440000,1054.44,26.3522,88,-3740.70654296875
1039.86,36.8477,89,445000,1039.87,39.7111,89,-4016.309814453125
578.94,33.6322,90,450000,1012.98,24.7502,90,-3645.569580078125
368.18,33.4155,91,455000,450.01,23.2094,91,-3823.30126953125
1047.2,34.7978,92,460000,1046.6,45.5826,92,-4183.8505859375
351.02,32.7923,93,465000,262.28,35.4658,93,-3493.2294921875
887.4,32.177,94,470000,1057.83,27.1934,94,-3676.482421875
1040.69,36.2044,95,475000,1039.62,37.2366,95,-4121.486328125
349.6,30.3915,96,480000,347.37,28.1006,96,-2197.1552734375
1055.71,34.777,97,485000,1055.56,34.4415,97,-4249.2333984375
90.56,29.2186,98,490000,89.59,31.1741,98,-3443.717529296875
1053.05,35.4933,99,495000,1051.44,25.3147,99,-4341.66162109375
1052.62,34.8989,100,500000,1052.99,41.6945,100,-4262.37841796875
364.36,31.0605,101,505000,958.51,22.9183,101,-4042.563232421875
977.33,38.6345,102,510000,978.61,27.4598,102,-4611.2724609375
972.5,38.5297,103,515000,968.64,28.7413,103,-4622.04296875
114.29,38.7082,104,520000,113.46,39.5086,104,-3852.27490234375
1040.84,33.819,105,525000,1040.76,37.143,105,-4482.7373046875
693.11,34.4865,106,530000,563.25,40.4692,106,-4886.822265625
467.59,34.0027,107,535000,810.51,27.3685,107,-4747.818359375
1053.59,35.4706,108,540000,1053.33,46.0181,108,-4687.50244140625
699.29,34.0616,109,545000,952.68,67.7098,109,-4153.18505859375
1059.72,34.2448,110,550000,1059.37,41.264,110,-4938.0283203125
852.79,30.1685,111,555000,507.29,36.1264,111,-4236.66064453125
401.13,29.6495,112,560000,393.47,55.595,112,-2906.99267578125
1054.8,36.2753,113,565000,1055.25,26.4757,113,-5083.654296875
927.19,29.5052,114,570000,1008.85,20.5759,114,-4479.05615234375
412.53,31.8216,115,575000,441.31,38.4546,115,-3544.280029296875
403.65,30.1019,116,580000,428.84,85.7172,116,-4469.0322265625
109.66,35.9416,117,585000,108.37,47.6677,117,-5316.19677734375
219.37,30.028,118,590000,231.49,25.0701,118,-3440.381103515625
853.87,33.3888,119,595000,1050.51,24.5472,119,-4297.4521484375
318.13,31.053,120,600000,741.54,44.7855,120,-4668.4521484375
393.99,30.9895,121,605000,483.67,74.5458,121,-4364.505859375
696.82,28.8896,122,610000,736.32,70.0608,122,-4129.95703125
179.61,28.0441,123,615000,179.22,88.2293,123,-4483.8857421875
1040.36,34.0885,124,620000,1040.61,37.0604,124,-5632.91650390625
969.26,35.0698,125,625000,960.03,28.3363,125,-5573.705078125
276.27,31.0001,126,630000,278.28,18.8568,126,-4469.94873046875
789.52,29.1864,127,635000,1059.06,26.3343,127,-4210.15673828125
383.68,28.2243,128,640000,422.9,34.4201,128,-3999.210205078125
1054.22,37.5308,129,645000,1054.24,45.0734,129,-5928.61279296875
970.34,37.7241,130,650000,970.41,54.7063,130,-6112.51611328125
1042.16,36.3919,131,655000,1042.77,35.6146,131,-6029.5048828125
145.35,35.9924,132,660000,240.45,33.5591,132,-6063.08544921875
1050.95,35.8877,133,665000,1053.78,41.5547,133,-5948.5556640625
1021.3,36.0656,134,670000,1022.05,38.5276,134,-6259.77001953125
128.06,39.565,135,675000,135.72,56.6523,135,-6376.6376953125
1059.14,34.6484,136,680000,1059.11,44.5128,136,-6298.49462890625
1041.72,37.3235,137,685000,1043.16,28.7901,137,-6390.93212890625
1011.27,32.2253,138,690000,1012.28,54.9123,138,-6521.07666015625
1043.24,36.2353,139,695000,1042.51,34.549,139,-6489.326171875
1025.77,36.0795,140,700000,1026.27,39.3603,140,-6538.73046875
497.84,27.4462,141,705000,460.9,24.7595,141,-3614.370849609375
970.77,37.4533,142,710000,971.92,48.1546,142,-6668.919921875
976.96,37.3439,143,715000,978.32,36.8821,143,-6703.94384765625
1053.86,39.5126,144,720000,1053.94,38.5464,144,-6906.50244140625
1000.42,40.4881,145,725000,1000.36,48.694,145,-6966.27392578125
972.37,39.0621,146,730000,972.65,46.8074,146,-7042.74365234375
1041.36,35.9027,147,735000,1011.69,34.8693,147,-6881.30078125
1051.27,37.3435,148,740000,1051.47,51.3997,148,-6923.6611328125
1028.85,32.0254,149,745000,1027.95,36.5528,149,-6772.54296875
1049.95,35.5068,150,750000,1040.24,25.2603,150,-6723.16748046875
1056.12,36.3593,151,755000,1056.46,48.6289,151,-7248.16748046875
1050.44,35.9544,152,760000,1050.39,49.339,152,-7261.693359375
1047.22,37.2637,153,765000,1046.92,57.9251,153,-7782.20947265625
1054.99,36.7186,154,770000,1055.15,48.2982,154,-7300.111328125
605.33,28.8839,155,775000,618.01,31.5088,155,-4273.55859375
1061.86,35.4322,156,780000,1061.87,50.385,156,-7562.9970703125
493.53,30.074,157,785000,509.79,66.6643,157,-6293.67041015625
284.15,29.5135,158,790000,326.93,45.1318,158,-6029.67236328125
1052.35,35.2271,159,795000,1053.28,32.627,159,-8079.7587890625
947.87,36.4832,160,800000,1051.63,41.2763,160,-8219.376953125
734.69,31.2448,161,805000,513.27,44.6638,161,-7214.27490234375
1052.89,36.0783,162,810000,1053.28,37.1968,162,-8247.7744140625
1058.11,35.3761,163,815000,1058.2,38.8207,163,-8075.50390625
992.68,38.2843,164,820000,993.75,35.1927,164,-8202.6455078125
80.53,36.0217,165,825000,80.81,33.699,165,-8291.5634765625
998.76,39.4448,166,830000,998.79,45.1751,166,-8167.0986328125
161.36,32.8074,167,835000,168.93,91.8187,167,-6982.58251953125
143.79,27.8889,168,840000,144.42,31.6292,168,-5456.4833984375
217.1,31.0345,169,845000,153.68,57.8797,169,-6424.76171875
396.5,30.1609,170,850000,403.36,19.0755,170,-6318.822265625
1020.5,36.7524,171,855000,1020.4,53.935,171,-8665.548828125
1017.11,39.5839,172,860000,1017.13,49.1577,172,-8762.6728515625
1022.24,38.6027,173,865000,1022.37,47.5108,173,-8731.283203125
982.93,38.8137,174,870000,981.11,42.4185,174,-8813.345703125
977.72,36.8277,175,875000,992.02,40.8588,175,-8850.69921875
986.17,29.4917,176,880000,1031.74,37.4735,176,-8081.35986328125
979.77,36.6425,177,885000,985.05,36.0472,177,-8940.1796875
192.87,28.286,178,890000,217.02,47.521,178,-6787.1787109375
671.56,28.344,179,895000,684.09,33.8684,179,-6014.62841796875
672.66,27.2334,180,900000,679.39,40.2618,180,-5700.978515625
603.16,30.2597,181,905000,824.45,35.5414,181,-7189.3349609375
109.25,30.0089,182,910000,126.07,154.2078,182,-6719.9365234375
20.82,28.5039,183,915000,20.59,72.6484,183,-7108.20068359375
1009.95,40.9531,184,920000,1010.01,45.7036,184,-9615.48046875
1036.98,38.4033,185,925000,1036.27,35.3499,185,-9605.6416015625
1031.7,37.0729,186,930000,1031.06,41.543,186,-9668.1171875
1021.27,36.151,187,935000,1028.03,42.0128,187,-9625.779296875
1043.73,37.8733,188,940000,1044.09,36.2395,188,-10174.4052734375
1033.14,39.9621,189,945000,1034.62,40.1759,189,-9854.4267578125
988.74,40.4266,190,950000,988.23,48.8374,190,-9846.876953125
1017.42,37.6843,191,955000,1017.42,51.1711,191,-9982.4990234375
1022.35,34.3827,192,960000,1022.3,41.1057,192,-10072.0615234375
988.79,39.1099,193,965000,989.1,37.3812,193,-10468.2724609375
1035.46,35.1127,194,970000,1035.33,35.653,194,-10079.7646484375
1045.57,36.4566,195,975000,1045.26,29.9376,195,-10431.638671875
210.42,28.2259,196,980000,195.86,67.9692,196,-8929.2080078125
180.04,37.4552,197,985000,178.1,46.8524,197,-10391.4609375
278.59,34.9887,198,990000,318.14,30.8252,198,-9486.9755859375
325.44,36.8815,199,995000,719.99,48.6153,199,-10617.052734375
