Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps
-2291.5849609375,21.7585,3131.95,158,158,3196.04,13.2194,790000
-2419.94287109375,21.4182,2830.26,159,159,3195.78,13.1639,795000
-2135.010986328125,21.7374,3005.31,160,160,3181.37,12.9398,800000
-2105.392822265625,21.7749,3181.75,161,161,3177.95,13.5858,805000
-2165.14013671875,21.8866,3036.08,162,162,3155.13,13.7011,810000
-2200.916748046875,22.4575,3174.12,163,163,3168.16,14.5302,815000
-2251.739990234375,21.9984,3169.37,164,164,3159.78,13.9761,820000
-2170.845703125,21.5397,3175.1,165,165,3173.8,13.12,825000
-2381.3125,22.1433,3073.57,166,166,3166.11,13.6288,830000
-2220.465576171875,21.9686,3081.21,167,167,3187.83,13.2437,835000
-2215.667236328125,21.6925,3199.99,168,168,3205.21,13.3115,840000
-2394.953369140625,22.0746,3151.0,169,169,3194.02,13.8859,845000
-2562.282958984375,23.4651,3189.75,170,170,3197.5,15.7206,850000
-2709.39306640625,22.4612,2955.98,171,171,3188.74,15.5298,855000
-2285.825927734375,21.2404,3169.7,172,172,3162.4,13.303,860000
-2539.181640625,21.7767,2937.44,173,173,3195.18,13.6194,865000
-2329.483154296875,22.0728,3179.2,174,174,3191.79,14.268,870000
-2446.071533203125,22.5702,3181.6,175,175,3195.63,14.0883,875000
-2434.1904296875,21.6691,3161.95,176,176,3154.22,13.4888,880000
-2405.893798828125,21.7451,3182.29,177,177,3194.51,13.6287,885000
-2391.46337890625,21.3911,3196.8,178,178,3196.67,13.5621,890000
-2537.236328125,21.992,3148.97,179,179,3143.1,13.6312,895000
-2515.537109375,21.8771,3177.91,180,180,3175.51,13.8884,900000
-2523.950927734375,22.209,3186.25,181,181,3194.95,14.3912,905000
-2501.981689453125,21.9762,3187.1,182,182,3188.29,13.948,910000
-2535.95947265625,21.8045,3167.17,183,183,3165.83,13.7819,915000
-2512.093505859375,21.4429,3190.9,184,184,3202.39,12.7837,920000
-2581.82763671875,21.6113,3187.72,185,185,3197.62,13.194,925000
-2640.468994140625,21.3343,3081.16,186,186,3169.69,13.0809,930000
-2578.1826171875,21.6987,3188.84,187,187,3193.2,13.2984,935000
-2642.1669921875,21.6167,3056.61,188,188,3139.05,12.7813,940000
-2658.9443359375,21.4529,3189.33,189,189,3193.51,13.5665,945000
-2591.03759765625,21.5352,3196.56,190,190,3203.92,13.6084,950000
-3089.746337890625,21.3166,2993.5,191,191,3193.6,14.886,955000
-2759.513671875,21.1296,3183.4,192,192,3191.24,13.0036,960000
-2666.095458984375,21.1225,3202.95,193,193,3215.14,13.3739,965000
-2726.803466796875,21.0683,3187.68,194,194,3196.03,12.9267,970000
-3286.840087890625,21.1602,2792.97,195,195,3185.53,14.8644,975000
-2761.48486328125,21.6813,3190.82,196,196,3198.0,13.5413,980000
-2826.006591796875,22.0353,3192.96,197,197,3199.57,14.0107,985000
-2855.9814453125,21.6791,3177.51,198,198,3179.29,13.6449,990000
-2923.431884765625,21.8029,3179.65,199,199,3191.12,13.4266,995000
